sequence,v115@FhB8HeB8HeB8BeB8BeD8JeZEJvhF0hB6nBupBzlBFl?B3rB,v115@FhB8HeB8HeB8BeB8BeD8JeZEJvhFThB6nBupBfrB8r?BFqB,v115@FhB8HeB8HeB8BeB8BeD8JeZEJvhFXhB6nBupBzmBFl?BUrB,v115@FhB8HeB8HeB8BeB8BeD8JeZEJvhF8lBfnB6nBupBFl?BTrB,v115@FhB8HeB8HeB8BeB8BeD8JeXAJvhFxhBSrBTnBlpBOp?BUrB,v115@FhB8HeB8HeB8BeB8BeD8Jex/IvhFXhBTiBWsBlpBUr?BipB,v115@FhB8HeB8HeB8BeB8BeD8Jex/IvhFXhB+nBypBFrB8r?BTpB,v115@FhB8HeB8HeB8BeB8BeD8JeRAJvhFGiB0lBVsBipB/p?BTrB,v115@FhB8HeB8HeB8BeB8BeD8JeFAJvhF8lBTiBipBxrB/p?B+rB,v115@FhB8HeB8HeB8BeB8BeD8JeFBJvhFxkBGnBypBXnBUr?BTpB
TSOLIJZ,O,X,X,X,O,X,X,X,X,X
TSOLIZJ,O,X,X,X,O,X,X,X,X,X
TSOLJIZ,O,X,X,X,O,X,X,X,X,X
TSOLJZI,O,X,X,X,O,X,X,X,X,X
TSOLZIJ,O,X,X,X,O,X,X,X,X,X
TSOLZJI,O,X,X,X,O,X,X,X,X,X
TSOJILZ,O,X,X,X,X,X,X,X,X,X
TSOJIZL,O,X,X,X,X,X,X,X,X,X
TSOJLIZ,O,X,X,X,O,X,X,X,X,X
TSOJLZI,O,X,X,X,O,X,X,X,X,X
TSOJZIL,O,X,X,X,X,X,X,X,X,X
TSOJZLI,O,X,X,X,X,X,X,X,X,X
TSOZILJ,O,X,X,X,X,X,X,X,X,X
TSOZIJL,O,X,X,X,X,X,X,X,X,X
TSOZLIJ,O,X,X,X,O,X,X,X,X,X
TSOZLJI,O,X,X,X,O,X,X,X,X,X
TSOZJIL,O,X,X,X,X,X,X,X,X,X
TSOZJLI,O,X,X,X,X,X,X,X,X,X
TZILJSO,X,O,X,X,X,X,X,O,O,O
TZILJOS,X,X,X,X,X,X,X,X,O,O
TZILSJO,X,O,X,X,X,X,X,O,O,X
TZILSOJ,X,O,X,X,X,X,X,O,O,X
TZILOJS,X,X,X,X,X,X,X,O,X,X
TZILOSJ,X,X,X,X,X,X,X,O,X,X
TZIJLSO,X,O,X,X,X,O,X,O,X,O
TZIJLOS,X,X,X,X,X,O,X,X,X,O
TZIJSLO,X,O,X,O,X,O,X,X,X,O
TZIJSOL,X,O,O,X,X,O,X,X,X,O
TZIJOLS,X,X,O,X,X,O,X,X,X,O
TZIJOSL,X,X,O,X,X,O,X,X,X,O
TZISLJO,X,O,X,O,X,O,X,X,X,X
TZISLOJ,X,O,X,X,X,X,X,X,X,X
TZISJLO,X,O,X,O,X,O,X,X,X,O
TZISJOL,X,O,O,X,X,O,X,X,X,O
TZISOLJ,X,O,O,X,X,X,X,X,X,X
TZISOJL,X,O,O,X,X,O,X,X,X,X
TZIOLJS,X,X,O,X,X,X,X,X,X,X
TZIOLSJ,X,X,O,X,X,X,X,X,X,X
TZIOJLS,X,X,O,X,X,X,X,X,X,O
TZIOJSL,X,X,O,X,X,X,X,X,X,O
TZIOSLJ,X,X,O,X,X,X,X,X,X,X
TZIOSJL,X,X,O,X,X,X,X,X,X,X
TZLIJSO,X,O,X,X,X,X,O,O,O,O
TZLIJOS,X,X,X,X,X,X,O,X,O,O
TZLISJO,X,O,X,X,X,X,X,O,O,X
TZLISOJ,X,O,X,X,X,X,X,O,O,X
TZLIOJS,X,X,X,X,X,X,X,O,X,X
TZLIOSJ,X,X,X,X,X,X,X,O,X,X
TZLJISO,X,O,X,X,X,O,O,O,X,O
TZLJIOS,X,X,X,X,X,O,O,X,X,O
TZLJSIO,X,O,X,X,X,O,O,O,X,X
TZLJSOI,X,O,X,X,X,O,O,O,X,X
TZLJOIS,X,X,X,X,X,O,O,O,X,X
TZLJOSI,X,X,X,X,X,O,O,O,X,X
TZLSIJO,X,O,X,X,X,O,X,O,X,X
TZLSIOJ,X,O,X,X,X,X,X,O,X,X
TZLSJIO,X,O,X,X,X,O,X,O,X,X
TZLSJOI,X,O,X,X,X,O,X,O,X,X
TZLSOIJ,X,O,X,X,O,X,X,O,X,X
TZLSOJI,X,O,X,X,O,X,X,O,X,X
TZLOIJS,X,X,X,X,O,X,X,O,X,X
TZLOISJ,X,X,X,X,O,X,X,O,X,X
TZLOJIS,X,X,X,X,O,X,X,O,X,X
TZLOJSI,X,X,X,X,O,X,X,O,X,X
TZLOSIJ,X,X,X,X,O,X,X,O,X,X
TZLOSJI,X,X,X,X,O,X,X,O,X,X
TZJILSO,X,O,X,X,X,O,X,O,X,O
TZJILOS,X,X,X,X,X,O,X,X,X,O
TZJISLO,X,O,X,O,X,O,X,X,X,O
TZJISOL,X,O,O,X,X,O,X,X,X,O
TZJIOLS,X,X,O,X,X,O,X,X,X,O
TZJIOSL,X,X,O,X,X,O,X,X,X,O
TZJLISO,X,O,X,X,X,O,O,O,X,O
TZJLIOS,X,X,X,X,X,O,O,X,X,O
TZJLSIO,X,O,X,X,X,O,O,O,X,X
TZJLSOI,X,O,X,X,X,O,O,O,X,X
TZJLOIS,X,X,X,X,X,O,O,O,X,X
TZJLOSI,X,X,X,X,X,O,O,O,X,X
TZJSILO,X,O,X,O,X,O,X,X,X,O
TZJSIOL,X,O,O,X,X,O,X,X,X,O
TZJSLIO,X,O,X,O,X,O,X,O,X,X
TZJSLOI,X,O,X,X,X,O,X,O,X,X
TZJSOIL,X,O,O,X,X,O,X,X,X,X
TZJSOLI,X,O,O,X,X,O,X,X,X,X
TZJOILS,X,X,O,X,X,O,X,X,X,O
TZJOISL,X,X,O,X,X,O,X,X,X,O
TZJOLIS,X,X,O,X,X,O,X,X,X,X
TZJOLSI,X,X,O,X,X,O,X,O,X,X
TZJOSIL,X,X,O,X,X,O,X,X,X,X
TZJOSLI,X,X,O,X,X,O,X,X,X,X
TZSILJO,X,O,X,O,X,O,X,X,X,X
TZSILOJ,X,O,X,X,X,X,X,X,X,X
TZSIJLO,X,O,X,O,X,O,X,X,X,O
TZSIJOL,X,O,O,X,X,O,X,X,X,O
TZSIOLJ,X,O,O,X,X,X,X,X,X,X
TZSIOJL,X,O,O,X,X,O,X,X,X,X
TZSLIJO,X,O,X,O,X,O,X,O,X,X
TZSLIOJ,X,O,X,X,X,X,X,O,X,X
TZSLJIO,X,O,X,O,X,O,X,O,X,X
TZSLJOI,X,O,X,X,X,O,X,O,X,X
TZSLOIJ,X,O,X,X,O,X,X,O,X,X
TZSLOJI,X,O,X,X,O,X,X,O,X,X
TZSJILO,X,O,X,O,X,O,X,X,X,O
TZSJIOL,X,O,O,X,X,O,X,X,X,O
TZSJLIO,X,O,X,O,X,O,X,O,X,X
TZSJLOI,X,O,X,X,X,O,X,O,X,X
TZSJOIL,X,O,O,X,X,O,X,X,X,X
TZSJOLI,X,O,O,X,X,O,X,X,X,X
TZSOILJ,X,O,O,X,X,X,X,X,X,X
TZSOIJL,X,O,O,X,X,O,X,X,X,X
TZSOLIJ,X,O,O,X,O,X,X,X,X,X
TZSOLJI,X,O,O,X,O,X,X,X,X,X
TZSOJIL,X,O,O,X,X,O,X,X,X,X
TZSOJLI,X,O,O,X,X,O,X,X,X,X
TZOILJS,X,X,O,X,O,X,X,X,X,X
TZOILSJ,X,X,O,X,O,X,X,X,X,X
TZOIJLS,X,X,O,X,X,X,X,X,X,O
TZOIJSL,X,X,O,X,X,X,X,X,X,O
TZOISLJ,X,X,O,X,X,X,X,X,X,X
TZOISJL,X,X,O,X,X,X,X,X,X,X
TZOLIJS,X,X,O,X,O,X,X,O,X,X
TZOLISJ,X,X,O,X,O,X,X,O,X,X
TZOLJIS,X,X,O,X,O,X,X,O,X,X
TZOLJSI,X,X,O,X,O,X,X,O,X,X
TZOLSIJ,X,X,O,X,O,X,X,O,X,X
TZOLSJI,X,X,O,X,O,X,X,O,X,X
TZOJILS,X,X,O,X,X,O,X,X,X,O
TZOJISL,X,X,O,X,X,O,X,X,X,O
TZOJLIS,X,X,O,X,X,O,X,X,X,X
TZOJLSI,X,X,O,X,X,O,X,O,X,X
TZOJSIL,X,X,O,X,X,O,X,X,X,X
TZOJSLI,X,X,O,X,X,O,X,X,X,X
TZOSILJ,X,X,O,X,X,X,X,X,X,X
TZOSIJL,X,X,O,X,X,O,X,X,X,X
TZOSLIJ,X,X,O,X,O,X,X,X,X,X
TZOSLJI,X,X,O,X,O,X,X,X,X,X
TZOSJIL,X,X,O,X,X,O,X,X,X,X
TZOSJLI,X,X,O,X,X,O,X,X,X,X
TOILJSZ,X,X,O,X,O,X,X,X,X,X
TOILJZS,O,X,O,X,O,X,X,X,X,X
TOILSJZ,X,X,O,X,O,X,X,X,X,X
TOILSZJ,X,X,X,X,O,X,X,X,X,X
TOILZJS,O,X,X,X,O,X,X,X,X,X
TOILZSJ,X,X,X,X,O,X,X,X,X,X
TOIJLSZ,X,X,O,X,O,X,X,X,X,X
TOIJLZS,O,X,O,X,O,X,X,X,X,X
TOIJSLZ,X,X,O,O,X,X,X,X,X,X
TOIJSZL,X,X,X,O,X,X,X,X,X,X
TOIJZLS,O,X,O,X,X,X,X,X,X,X
TOIJZSL,X,X,O,O,X,X,X,X,X,X
TOISLJZ,X,X,O,O,O,X,X,X,X,X
TOISLZJ,X,X,X,O,O,X,X,X,X,X
TOISJLZ,X,X,O,O,X,X,X,X,X,X
TOISJZL,X,X,X,O,X,X,X,X,X,X
TOISZLJ,X,X,X,O,X,X,X,X,X,X
TOISZJL,X,X,X,O,X,X,X,X,X,X
TOIZLJS,O,X,X,X,O,X,X,X,X,X
TOIZLSJ,X,X,X,X,O,X,X,X,X,X
TOIZJLS,O,X,X,X,X,X,X,X,X,X
TOIZJSL,X,X,X,O,X,X,X,X,X,X
TOIZSLJ,X,X,X,O,X,X,X,X,X,X
TOIZSJL,X,X,X,O,X,X,X,X,X,X
TOLIJSZ,X,X,O,X,O,X,X,X,X,X
TOLIJZS,O,X,O,X,O,X,O,X,X,X
TOLISJZ,X,X,O,X,O,X,X,X,X,X
TOLISZJ,X,X,X,X,O,X,X,X,X,X
TOLIZJS,O,X,X,X,O,X,X,X,X,X
TOLIZSJ,X,X,X,X,O,X,X,X,X,X
TOLJISZ,X,X,O,X,O,X,O,X,X,X
TOLJIZS,O,X,O,X,O,X,O,X,X,X
TOLJSIZ,X,X,O,X,O,X,O,X,X,X
TOLJSZI,X,X,X,X,O,X,O,X,X,X
TOLJZIS,O,X,O,X,O,X,O,X,X,X
TOLJZSI,X,X,O,X,O,X,O,O,X,X
TOLSIJZ,X,X,O,X,O,X,X,X,X,X
TOLSIZJ,X,X,X,X,O,X,X,X,X,X
TOLSJIZ,X,X,O,X,O,X,X,X,X,X
TOLSJZI,X,X,X,X,O,X,X,X,X,X
TOLSZIJ,X,X,X,X,O,X,X,X,X,X
TOLSZJI,X,X,X,X,O,X,X,X,X,X
TOLZIJS,O,X,X,X,O,X,X,O,X,X
TOLZISJ,X,X,X,X,O,X,X,O,X,X
TOLZJIS,O,X,X,X,O,X,X,O,X,X
TOLZJSI,X,X,X,X,O,X,X,O,X,X
TOLZSIJ,X,X,X,X,O,X,X,O,X,X
TOLZSJI,X,X,X,X,O,X,X,O,X,X
TOJILSZ,X,X,O,X,O,X,X,X,X,X
TOJILZS,O,X,O,X,O,X,X,X,X,X
TOJISLZ,X,X,O,O,X,X,X,X,X,X
TOJISZL,X,X,X,O,X,X,X,X,X,X
TOJIZLS,O,X,O,X,X,X,X,X,X,X
TOJIZSL,X,X,O,O,X,X,X,X,X,X
TOJLISZ,X,X,O,X,O,X,O,X,X,X
TOJLIZS,O,X,O,X,O,X,O,X,X,X
TOJLSIZ,X,X,O,X,O,X,O,X,X,X
TOJLSZI,X,X,X,X,O,X,O,X,X,X
TOJLZIS,O,X,O,X,O,X,O,X,X,X
TOJLZSI,X,X,O,X,O,X,O,O,X,X
TOJSILZ,X,X,O,O,X,X,X,X,X,X
TOJSIZL,X,X,X,O,X,X,X,X,X,X
TOJSLIZ,X,X,O,O,O,X,X,X,X,X
TOJSLZI,X,X,X,O,O,X,X,X,X,X
TOJSZIL,X,X,X,O,X,X,X,X,X,X
TOJSZLI,X,X,X,O,X,X,X,X,X,X
TOJZILS,O,X,O,X,X,X,X,X,X,X
TOJZISL,X,X,O,O,X,X,X,X,X,X
TOJZLIS,O,X,O,X,X,X,X,X,X,X
TOJZLSI,X,X,O,X,X,X,X,O,X,X
TOJZSIL,X,X,O,O,X,X,X,X,X,X
TOJZSLI,X,X,O,O,X,X,X,X,X,X
TOSILJZ,X,X,O,O,O,X,X,X,X,X
TOSILZJ,X,X,X,O,O,X,X,X,X,X
TOSIJLZ,X,X,O,O,X,X,X,X,X,X
TOSIJZL,X,X,X,O,X,X,X,X,X,X
TOSIZLJ,X,X,X,O,X,X,X,X,X,X
TOSIZJL,X,X,X,O,X,X,X,X,X,X
TOSLIJZ,X,X,O,O,O,X,X,X,X,X
TOSLIZJ,X,X,X,O,O,X,X,X,X,X
TOSLJIZ,X,X,O,O,O,X,X,X,X,X
TOSLJZI,X,X,X,O,O,X,X,X,X,X
TOSLZIJ,X,X,X,O,O,X,X,X,X,X
TOSLZJI,X,X,X,O,O,X,X,X,X,X
TOSJILZ,X,X,O,O,X,X,X,X,X,X
TOSJIZL,X,X,X,O,X,X,X,X,X,X
TOSJLIZ,X,X,O,O,O,X,X,X,X,X
TOSJLZI,X,X,X,O,O,X,X,X,X,X
TOSJZIL,X,X,X,O,X,X,X,X,X,X
TOSJZLI,X,X,X,O,X,X,X,X,X,X
TOSZILJ,X,X,X,O,X,X,X,X,X,X
TOSZIJL,X,X,X,O,X,X,X,X,X,X
TOSZLIJ,X,X,X,O,O,X,X,X,X,X
TOSZLJI,X,X,X,O,O,X,X,X,X,X
TOSZJIL,X,X,X,O,X,X,X,X,X,X
TOSZJLI,X,X,X,O,X,X,X,X,X,X
TOZILJS,O,X,X,X,O,X,X,X,X,X
TOZILSJ,X,X,X,X,O,X,X,X,X,X
TOZIJLS,O,X,X,X,X,X,X,X,X,X
TOZIJSL,X,X,X,O,X,X,X,X,X,X
TOZISLJ,X,X,X,O,X,X,X,X,X,X
TOZISJL,X,X,X,O,X,X,X,X,X,X
TOZLIJS,O,X,X,X,O,X,X,O,X,X
TOZLISJ,X,X,X,X,O,X,X,O,X,X
TOZLJIS,O,X,X,X,O,X,X,O,X,X
TOZLJSI,X,X,X,X,O,X,X,O,X,X
TOZLSIJ,X,X,X,X,O,X,X,O,X,X
TOZLSJI,X,X,X,X,O,X,X,O,X,X
TOZJILS,O,X,X,X,X,O,X,X,X,X
TOZJISL,X,X,X,O,X,O,X,X,X,X
TOZJLIS,O,X,X,X,X,O,X,X,X,X
TOZJLSI,X,X,X,X,X,O,X,O,X,X
TOZJSIL,X,X,X,O,X,O,X,X,X,X
TOZJSLI,X,X,X,O,X,O,X,X,X,X
TOZSILJ,X,X,X,O,X,X,X,X,X,X
TOZSIJL,X,X,X,O,X,O,X,X,X,X
TOZSLIJ,X,X,X,O,O,X,X,X,X,X
TOZSLJI,X,X,X,O,O,X,X,X,X,X
TOZSJIL,X,X,X,O,X,O,X,X,X,X
TOZSJLI,X,X,X,O,X,O,X,X,X,X
ITLJSZO,X,O,X,O,X,X,O,X,X,X
ITLJSOZ,O,X,X,X,X,X,X,X,X,X
ITLJZSO,X,O,X,X,X,X,O,O,X,X
ITLJZOS,X,X,X,X,X,X,O,X,X,X
ITLJOSZ,X,X,O,X,X,X,O,X,X,X
ITLJOZS,O,X,O,X,X,X,O,X,X,X
ITLSJZO,X,O,X,O,X,X,O,X,X,X
ITLSJOZ,O,X,X,X,X,X,X,X,X,X
ITLSZJO,X,O,X,O,X,X,X,X,X,X
ITLSZOJ,O,O,X,X,X,X,X,X,X,X
ITLSOJZ,O,X,X,X,O,X,X,X,X,X
ITLSOZJ,O,X,X,X,O,X,X,X,X,X
ITLZJSO,X,O,X,X,X,X,O,O,O,X
ITLZJOS,X,X,X,X,X,X,O,X,O,X
ITLZSJO,X,O,X,X,X,X,X,O,O,X
ITLZSOJ,X,O,X,X,X,X,X,O,O,X
ITLZOJS,X,X,X,X,X,X,X,O,X,X
ITLZOSJ,X,X,X,X,X,X,X,O,X,X
ITLOJSZ,X,X,O,X,O,X,X,X,X,X
ITLOJZS,O,X,O,X,O,X,O,X,X,X
ITLOSJZ,X,X,O,X,O,X,X,X,X,X
ITLOSZJ,X,X,X,X,O,X,X,X,X,X
ITLOZJS,O,X,X,X,O,X,X,X,X,X
ITLOZSJ,X,X,X,X,O,X,X,X,X,X
ITJLSZO,X,O,X,O,X,X,O,X,X,X
ITJLSOZ,O,X,X,X,X,X,X,X,X,X
ITJLZSO,X,O,X,X,X,X,O,O,X,X
ITJLZOS,X,X,X,X,X,X,O,X,X,X
ITJLOSZ,X,X,O,X,X,X,O,X,X,X
ITJLOZS,O,X,O,X,X,X,O,X,X,X
ITJSLZO,X,O,X,O,X,X,X,X,X,X
ITJSLOZ,O,X,X,X,X,X,X,X,X,X
ITJSZLO,X,O,X,O,X,X,X,X,X,X
ITJSZOL,X,O,X,X,X,X,X,X,X,X
ITJSOLZ,O,X,X,X,X,X,X,X,X,X
ITJSOZL,O,X,X,X,X,X,X,X,X,X
ITJZLSO,X,O,X,X,X,X,X,O,X,X
ITJZLOS,X,X,X,X,X,X,X,X,X,X
ITJZSLO,X,O,X,O,X,X,X,X,X,X
ITJZSOL,X,O,O,X,X,X,X,X,X,X
ITJZOLS,X,X,O,X,X,X,X,X,X,X
ITJZOSL,X,X,O,X,X,X,X,X,X,X
ITJOLSZ,X,X,O,X,X,X,X,X,X,X
ITJOLZS,O,X,O,X,X,X,X,X,X,X
ITJOSLZ,X,X,O,O,X,X,X,X,X,X
ITJOSZL,X,X,X,O,X,X,X,X,X,X
ITJOZLS,O,X,O,X,X,X,X,X,X,X
ITJOZSL,X,X,O,O,X,X,X,X,X,X
ITSLJZO,X,O,X,O,X,X,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,X,X,X,X
ITSLZJO,X,O,X,O,X,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X,X,X,X
ITSLOJZ,O,X,X,X,O,X,X,X,X,X
ITSLOZJ,O,X,X,X,O,X,X,X,X,X
ITSJLZO,X,O,X,O,X,X,X,X,X,X
ITSJLOZ,O,X,X,X,X,X,X,X,X,X
ITSJZLO,X,O,X,O,X,X,X,X,X,X
ITSJZOL,X,O,X,X,X,X,X,X,X,X
ITSJOLZ,O,X,X,X,X,X,X,X,X,X
ITSJOZL,O,X,X,X,X,X,X,X,X,X
ITSZLJO,X,O,X,O,X,X,X,X,X,X
ITSZLOJ,O,O,X,X,X,X,X,X,X,X
ITSZJLO,X,O,X,O,X,X,X,X,X,X
ITSZJOL,X,O,X,X,X,X,X,X,X,X
ITSZOLJ,O,O,X,X,X,X,X,X,X,X
ITSZOJL,O,O,X,X,X,X,X,X,X,X
ITSOLJZ,O,X,X,X,O,X,X,X,X,X
ITSOLZJ,O,X,X,X,O,X,X,X,X,X
ITSOJLZ,O,X,X,X,X,X,X,X,X,X
ITSOJZL,O,X,X,X,X,X,X,X,X,X
ITSOZLJ,O,X,X,X,X,X,X,X,X,X
ITSOZJL,O,X,X,X,X,X,X,X,X,X
ITZLJSO,X,O,X,X,X,X,X,O,O,X
ITZLJOS,X,X,X,X,X,X,X,X,O,X
ITZLSJO,X,O,X,X,X,X,X,O,O,X
ITZLSOJ,X,O,X,X,X,X,X,O,O,X
ITZLOJS,X,X,X,X,X,X,X,O,X,X
ITZLOSJ,X,X,X,X,X,X,X,O,X,X
ITZJLSO,X,O,X,X,X,O,X,O,X,X
ITZJLOS,X,X,X,X,X,O,X,X,X,X
ITZJSLO,X,O,X,O,X,O,X,X,X,X
ITZJSOL,X,O,O,X,X,O,X,X,X,X
ITZJOLS,X,X,O,X,X,O,X,X,X,X
ITZJOSL,X,X,O,X,X,O,X,X,X,X
ITZSLJO,X,O,X,O,X,O,X,X,X,X
ITZSLOJ,X,O,X,X,X,X,X,X,X,X
ITZSJLO,X,O,X,O,X,O,X,X,X,X
ITZSJOL,X,O,O,X,X,O,X,X,X,X
ITZSOLJ,X,O,O,X,X,X,X,X,X,X
ITZSOJL,X,O,O,X,X,O,X,X,X,X
ITZOLJS,X,X,O,X,X,X,X,X,X,X
ITZOLSJ,X,X,O,X,X,X,X,X,X,X
ITZOJLS,X,X,O,X,X,X,X,X,X,X
ITZOJSL,X,X,O,X,X,X,X,X,X,X
ITZOSLJ,X,X,O,X,X,X,X,X,X,X
ITZOSJL,X,X,O,X,X,X,X,X,X,X
ITOLJSZ,X,X,O,X,O,X,X,X,X,X
ITOLJZS,O,X,O,X,O,X,X,X,X,X
ITOLSJZ,X,X,O,X,O,X,X,X,X,X
ITOLSZJ,X,X,X,X,O,X,X,X,X,X
ITOLZJS,O,X,X,X,O,X,X,X,X,X
ITOLZSJ,X,X,X,X,O,X,X,X,X,X
ITOJLSZ,X,X,O,X,O,X,X,X,X,X
ITOJLZS,O,X,O,X,O,X,X,X,X,X
ITOJSLZ,X,X,O,O,X,X,X,X,X,X
ITOJSZL,X,X,X,O,X,X,X,X,X,X
ITOJZLS,O,X,O,X,X,X,X,X,X,X
ITOJZSL,X,X,O,O,X,X,X,X,X,X
ITOSLJZ,X,X,O,O,O,X,X,X,X,X
ITOSLZJ,X,X,X,O,O,X,X,X,X,X
ITOSJLZ,X,X,O,O,X,X,X,X,X,X
ITOSJZL,X,X,X,O,X,X,X,X,X,X
ITOSZLJ,X,X,X,O,X,X,X,X,X,X
ITOSZJL,X,X,X,O,X,X,X,X,X,X
ITOZLJS,O,X,X,X,O,X,X,X,X,X
ITOZLSJ,X,X,X,X,O,X,X,X,X,X
ITOZJLS,O,X,X,X,X,X,X,X,X,X
ITOZJSL,X,X,X,O,X,X,X,X,X,X
ITOZSLJ,X,X,X,O,X,X,X,X,X,X
ITOZSJL,X,X,X,O,X,X,X,X,X,X
ILTJSZO,X,O,X,O,X,X,O,X,X,X
ILTJSOZ,O,X,X,X,X,X,X,X,X,X
ILTJZSO,X,O,X,X,X,X,O,O,X,X
ILTJZOS,X,X,X,X,X,X,O,X,X,X
ILTJOSZ,X,X,O,X,X,X,O,X,X,X
ILTJOZS,O,X,O,X,X,X,O,X,X,X
ILTSJZO,X,O,X,O,X,X,O,X,X,X
ILTSJOZ,O,X,X,X,X,X,X,X,X,X
ILTSZJO,X,O,X,O,X,X,X,X,X,X
ILTSZOJ,O,O,X,X,X,X,X,X,X,X
ILTSOJZ,O,X,X,X,O,X,X,X,X,X
ILTSOZJ,O,X,X,X,O,X,X,X,X,X
ILTZJSO,X,O,X,X,X,X,O,O,O,X
ILTZJOS,X,X,X,X,X,X,O,X,O,X
ILTZSJO,X,O,X,X,X,X,X,O,O,X
ILTZSOJ,X,O,X,X,X,X,X,O,O,X
ILTZOJS,X,X,X,X,X,X,X,O,X,X
ILTZOSJ,X,X,X,X,X,X,X,O,X,X
ILTOJSZ,X,X,O,X,O,X,X,X,X,X
ILTOJZS,O,X,O,X,O,X,O,X,X,X
ILTOSJZ,X,X,O,X,O,X,X,X,X,X
ILTOSZJ,X,X,X,X,O,X,X,X,X,X
ILTOZJS,O,X,X,X,O,X,X,X,X,X
ILTOZSJ,X,X,X,X,O,X,X,X,X,X
ILJTSZO,X,O,X,O,X,X,O,X,X,X
ILJTSOZ,O,X,X,X,X,X,X,X,X,X
ILJTZSO,X,O,X,X,X,X,O,X,X,X
ILJTZOS,X,X,X,X,X,X,O,X,X,X
ILJTOSZ,X,X,O,X,X,X,O,X,X,X
ILJTOZS,O,X,O,X,X,X,O,X,X,X
ILJSTZO,X,O,X,O,X,X,O,X,X,X
ILJSTOZ,O,X,X,X,X,X,X,X,X,X
ILJSZTO,X,O,X,O,X,X,X,X,X,X
ILJSZOT,O,O,X,O,X,X,X,X,X,X
ILJSOTZ,O,X,O,X,X,X,X,X,X,X
ILJSOZT,O,O,O,O,X,X,X,X,X,X
ILJZTSO,X,O,X,X,X,X,O,X,O,X
ILJZTOS,X,X,X,X,X,X,O,X,O,X
ILJZSTO,X,O,X,O,X,X,X,X,O,X
ILJZSOT,O,O,O,O,X,X,X,X,O,X
ILJZOTS,O,X,O,X,X,X,X,X,O,X
ILJZOST,O,O,O,X,X,X,X,X,O,X
ILJOTSZ,X,X,O,X,X,X,X,X,X,X
ILJOTZS,O,X,O,X,X,X,O,X,X,X
ILJOSTZ,O,X,O,O,X,X,X,X,X,X
ILJOSZT,O,O,O,O,X,X,X,X,X,X
ILJOZTS,O,X,O,X,X,X,X,X,X,X
ILJOZST,O,O,O,O,X,X,X,X,X,X
ILSTJZO,X,O,X,O,X,X,O,X,X,X
ILSTJOZ,O,X,X,X,X,X,X,X,X,X
ILSTZJO,X,O,X,O,X,X,X,X,X,X
ILSTZOJ,O,O,X,X,X,X,X,X,X,X
ILSTOJZ,O,X,X,X,X,X,X,X,X,X
ILSTOZJ,O,X,X,X,X,X,X,X,X,X
ILSJTZO,X,O,X,O,X,X,O,X,X,X
ILSJTOZ,O,X,X,X,X,X,X,X,X,X
ILSJZTO,X,O,X,O,X,X,X,X,X,X
ILSJZOT,O,O,X,O,X,X,X,X,X,X
ILSJOTZ,O,X,O,X,X,X,X,X,X,X
ILSJOZT,O,O,O,O,X,X,X,X,X,X
ILSZTJO,X,O,X,O,X,X,X,X,O,X
ILSZTOJ,O,O,X,X,X,X,X,X,O,X
ILSZJTO,X,O,X,O,X,X,X,X,O,X
ILSZJOT,O,O,X,O,X,X,X,X,O,X
ILSZOTJ,O,O,X,X,X,X,X,X,O,X
ILSZOJT,O,O,X,O,X,X,X,X,O,X
ILSOTJZ,O,X,O,X,X,X,X,X,X,X
ILSOTZJ,O,X,X,X,X,X,X,X,X,X
ILSOJTZ,O,X,O,X,X,X,X,X,X,X
ILSOJZT,O,O,O,O,X,X,X,X,X,X
ILSOZTJ,O,O,X,X,X,X,X,X,X,X
ILSOZJT,O,O,O,O,X,X,X,X,X,X
ILZTJSO,X,O,X,X,X,X,O,O,O,X
ILZTJOS,X,X,X,X,X,X,O,X,O,X
ILZTSJO,X,O,X,X,X,X,X,O,O,X
ILZTSOJ,X,O,X,X,X,X,X,O,O,X
ILZTOJS,X,X,X,X,X,X,X,O,X,X
ILZTOSJ,X,X,X,X,X,X,X,O,X,X
ILZJTSO,X,O,X,X,X,X,O,X,O,X
ILZJTOS,X,X,X,X,X,X,O,X,O,X
ILZJSTO,X,O,X,O,X,X,X,X,O,X
ILZJSOT,O,O,O,O,X,X,X,X,O,X
ILZJOTS,O,X,O,X,X,X,X,X,O,X
ILZJOST,O,O,O,X,X,X,X,X,O,X
ILZSTJO,X,O,X,O,X,X,X,X,O,X
ILZSTOJ,O,O,X,X,X,X,X,X,O,X
ILZSJTO,X,O,X,O,X,X,X,X,O,X
ILZSJOT,O,O,O,O,X,X,X,X,O,X
ILZSOTJ,O,O,O,X,X,X,X,X,O,X
ILZSOJT,O,O,O,O,X,X,X,X,O,X
ILZOTJS,O,X,O,X,X,X,X,X,X,X
ILZOTSJ,X,X,O,X,X,X,X,X,X,X
ILZOJTS,O,X,O,X,X,X,X,X,O,X
ILZOJST,O,O,O,X,X,X,X,X,O,X
ILZOSTJ,X,O,O,X,X,X,X,X,O,X
ILZOSJT,O,O,O,X,X,X,X,X,O,X
ILOTJSZ,X,X,O,X,O,X,X,X,X,X
ILOTJZS,O,X,O,X,O,X,O,X,X,X
ILOTSJZ,X,X,O,X,O,X,X,X,X,X
ILOTSZJ,X,X,X,X,O,X,X,X,X,X
