sequence,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigB3hB?GjBcqBlnBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigBGiB?TjBcqBlmBXsB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigBGjB?cqBlmB3nBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeuEJvhF1lB0hB?xiBCoBXqBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFXiBTjB?llBSsBOqB0rB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeRAJvhFGjBClB?0mBlnBXqBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeRAJvhFFiBTjB?WqB6rBcsBXqB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JexBJvhFTjBfqB?llBurBcsBCqB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeTDJvhFRlBGnB?XnBFqBCqB0rB
LTIOZJS,X,O,X,O,X,X,O,X,X
LTIOZSJ,X,O,X,O,O,X,O,X,X
LTJISZO,O,X,X,O,X,X,X,X,X
LTJISOZ,X,X,X,O,O,X,X,X,X
LTJIZSO,O,O,X,O,X,X,O,X,X
LTJIZOS,O,O,X,O,X,X,O,X,X
LTJIOSZ,X,X,X,O,O,X,X,X,O
LTJIOZS,X,O,X,O,X,X,O,X,X
LTJSIZO,O,X,X,O,X,O,X,X,X
LTJSIOZ,X,X,X,O,O,O,X,X,X
LTJSZIO,O,X,X,O,X,O,X,X,X
LTJSZOI,O,X,X,O,X,O,X,X,X
LTJSOIZ,X,X,X,O,O,O,X,X,X
LTJSOZI,X,X,X,O,X,O,X,X,X
LTJZISO,O,O,X,O,X,X,O,X,X
LTJZIOS,O,O,X,O,X,X,O,X,X
LTJZSIO,O,O,X,O,X,O,O,X,X
LTJZSOI,O,O,X,O,X,O,O,X,X
LTJZOIS,O,O,X,O,X,X,O,X,X
LTJZOSI,O,O,X,O,X,X,O,X,X
LTJOISZ,X,X,X,O,O,X,X,X,O
LTJOIZS,X,O,X,O,X,X,O,X,X
LTJOSIZ,X,X,X,O,O,X,X,X,X
LTJOSZI,X,X,X,O,X,X,X,X,X
LTJOZIS,X,O,X,O,X,X,O,X,X
LTJOZSI,X,O,X,O,X,X,O,X,X
LTSIJZO,O,X,O,O,X,O,X,X,X
LTSIJOZ,X,X,X,O,O,O,X,X,X
LTSIZJO,O,X,O,O,X,O,X,X,X
LTSIZOJ,O,X,O,O,O,O,X,X,X
LTSIOJZ,X,X,X,O,O,O,X,X,X
LTSIOZJ,X,X,X,O,O,O,X,X,X
LTSJIZO,O,X,O,O,X,O,X,X,X
LTSJIOZ,X,X,X,O,O,O,X,X,X
LTSJZIO,O,X,O,O,X,O,X,X,X
LTSJZOI,O,X,O,O,X,O,X,X,X
LTSJOIZ,X,X,X,O,O,O,X,X,X
LTSJOZI,X,X,X,O,X,O,X,X,X
LTSZIJO,O,X,O,O,X,O,X,X,X
LTSZIOJ,O,X,O,O,O,O,X,X,X
LTSZJIO,O,X,O,O,X,O,X,X,X
LTSZJOI,O,X,O,O,X,O,X,X,X
LTSZOIJ,O,X,O,O,O,O,X,X,X
LTSZOJI,O,X,O,O,X,O,X,X,X
LTSOIJZ,X,X,X,O,O,O,X,X,X
LTSOIZJ,X,X,X,O,O,O,X,X,X
LTSOJIZ,X,X,X,O,O,O,X,X,X
LTSOJZI,X,X,X,O,X,O,X,X,X
LTSOZIJ,X,X,X,O,O,O,X,X,X
LTSOZJI,X,X,X,O,X,O,X,X,X
LTZIJSO,O,O,O,O,X,X,O,X,X
LTZIJOS,O,O,X,O,X,X,O,X,X
LTZISJO,O,O,O,O,X,X,X,X,X
LTZISOJ,O,O,O,O,O,X,O,X,X
LTZIOJS,O,O,X,O,X,X,O,X,X
LTZIOSJ,O,O,O,O,O,X,O,X,X
LTZJISO,O,O,O,O,X,X,O,X,X
LTZJIOS,O,O,X,O,X,X,O,X,X
LTZJSIO,O,O,O,O,X,O,O,X,X
LTZJSOI,O,O,O,O,X,O,O,X,X
LTZJOIS,O,O,X,O,X,X,O,X,X
LTZJOSI,O,O,X,O,X,X,O,X,X
LTZSIJO,O,O,O,O,X,O,X,X,X
LTZSIOJ,O,O,O,O,O,O,O,X,X
LTZSJIO,O,O,O,O,X,O,O,X,X
LTZSJOI,O,O,O,O,X,O,O,X,X
LTZSOIJ,O,O,O,O,O,O,O,X,X
LTZSOJI,O,O,O,O,X,O,O,X,X
LTZOIJS,O,O,X,O,X,X,O,X,X
LTZOISJ,O,O,O,O,O,X,O,X,X
LTZOJIS,O,O,X,O,X,X,O,X,X
LTZOJSI,O,O,X,O,X,X,O,X,X
LTZOSIJ,O,O,O,O,O,X,O,X,X
LTZOSJI,O,O,O,O,X,X,O,X,X
LTOIJSZ,X,X,X,O,O,X,X,X,O
LTOIJZS,X,O,X,O,X,X,X,X,X
LTOISJZ,X,X,X,O,O,X,X,X,X
LTOISZJ,X,X,X,O,O,X,X,X,X
LTOIZJS,X,O,X,O,X,X,O,X,X
LTOIZSJ,X,O,X,O,O,X,O,X,X
LTOJISZ,X,X,X,O,O,X,X,X,O
LTOJIZS,X,O,X,O,X,X,O,X,X
LTOJSIZ,X,X,X,O,O,X,X,X,X
LTOJSZI,X,X,X,O,X,X,X,X,X
LTOJZIS,X,O,X,O,X,X,O,X,X
LTOJZSI,X,O,X,O,X,X,O,X,X
LTOSIJZ,X,X,X,O,O,X,X,X,X
LTOSIZJ,X,X,X,O,O,X,X,X,X
LTOSJIZ,X,X,X,O,O,X,X,X,X
LTOSJZI,X,X,X,O,X,X,X,X,X
LTOSZIJ,X,X,X,O,O,X,X,X,X
LTOSZJI,X,X,X,O,X,X,X,X,X
LTOZIJS,X,O,X,O,X,X,O,X,X
LTOZISJ,X,O,X,O,O,X,O,X,X
LTOZJIS,X,O,X,O,X,X,O,X,X
LTOZJSI,X,O,X,O,X,X,O,X,X
LTOZSIJ,X,O,X,O,O,X,O,X,X
LTOZSJI,X,O,X,O,X,X,O,X,X
LITJSZO,O,X,X,O,X,X,X,X,X
LITJSOZ,X,X,X,O,O,X,X,X,X
LITJZSO,O,O,X,O,X,X,X,X,X
LITJZOS,O,O,X,O,X,X,X,X,X
LITJOSZ,X,X,X,O,O,X,X,X,X
LITJOZS,X,O,X,O,X,X,X,X,X
LITSJZO,O,X,O,O,X,X,X,X,X
LITSJOZ,X,X,X,O,O,X,X,X,X
LITSZJO,O,X,O,O,X,X,X,X,X
LITSZOJ,O,X,O,O,O,X,X,X,X
LITSOJZ,X,X,X,O,O,X,X,X,X
LITSOZJ,X,X,X,O,O,X,X,X,X
LITZJSO,O,O,O,O,X,X,X,X,X
LITZJOS,O,O,X,O,X,X,O,X,X
LITZSJO,O,O,O,O,X,X,X,X,X
LITZSOJ,O,O,O,O,O,X,O,X,X
LITZOJS,O,O,X,O,X,X,O,X,X
LITZOSJ,O,O,O,O,O,X,O,X,X
LITOJSZ,X,X,X,O,O,X,X,X,X
LITOJZS,X,O,X,O,X,X,X,X,X
LITOSJZ,X,X,X,O,O,X,X,X,X
LITOSZJ,X,X,X,O,O,X,X,X,X
LITOZJS,X,O,X,O,X,X,O,X,X
LITOZSJ,X,O,X,O,O,X,O,X,X
LIJTSZO,O,X,X,O,X,X,X,X,X
LIJTSOZ,X,X,X,O,O,X,X,X,X
LIJTZSO,O,X,X,O,X,X,O,X,X
LIJTZOS,O,X,X,O,X,X,O,X,X
LIJTOSZ,X,X,X,X,O,X,X,X,X
LIJTOZS,X,X,X,O,X,X,O,X,X
LIJSTZO,X,X,O,O,X,X,X,X,X
LIJSTOZ,X,X,X,O,O,X,X,X,X
LIJSZTO,O,X,O,O,X,X,O,X,X
LIJSZOT,O,X,O,X,X,X,O,X,X
LIJSOTZ,X,X,X,O,O,X,X,X,X
LIJSOZT,X,X,X,X,X,X,O,X,X
LIJZTSO,O,X,O,X,X,X,O,X,X
LIJZTOS,O,X,X,X,X,X,O,X,X
LIJZSTO,O,X,O,X,X,X,O,X,X
LIJZSOT,O,X,O,X,X,X,O,X,X
LIJZOTS,O,X,X,X,X,X,O,X,X
LIJZOST,O,X,O,X,X,X,O,X,X
LIJOTSZ,X,X,X,X,O,X,X,X,O
LIJOTZS,X,X,X,X,X,X,O,X,X
LIJOSTZ,X,X,X,X,O,X,X,X,O
LIJOSZT,O,X,X,X,X,X,O,X,X
LIJOZTS,O,X,X,X,X,X,O,X,X
LIJOZST,O,X,X,X,X,X,O,X,X
LISTJZO,O,O,O,O,X,X,X,X,X
LISTJOZ,X,O,X,O,O,X,X,X,X
LISTZJO,O,O,O,O,X,X,X,X,X
LISTZOJ,O,O,O,O,O,X,X,X,X
LISTOJZ,X,O,X,O,O,X,X,X,X
LISTOZJ,X,O,X,O,O,X,X,X,X
LISJTZO,X,X,O,O,X,X,X,X,X
LISJTOZ,X,X,X,O,O,X,X,X,X
LISJZTO,O,O,O,O,X,X,X,X,X
LISJZOT,O,O,O,X,X,X,X,X,X
LISJOTZ,X,X,X,O,O,X,X,X,X
LISJOZT,X,O,X,O,X,X,X,X,X
LISZTJO,O,O,O,O,X,X,X,X,X
LISZTOJ,O,O,O,O,O,X,O,X,X
LISZJTO,O,O,O,O,X,X,X,X,X
LISZJOT,O,O,O,X,X,X,X,X,X
LISZOTJ,O,O,O,X,O,X,O,X,X
LISZOJT,O,O,O,X,X,X,X,X,X
LISOTJZ,X,O,X,O,O,X,X,X,X
LISOTZJ,X,O,X,O,O,X,X,X,X
LISOJTZ,X,X,X,O,O,X,X,X,X
LISOJZT,X,O,X,O,X,X,X,X,X
LISOZTJ,X,O,X,O,O,X,O,X,X
LISOZJT,X,O,X,O,X,X,X,X,X
LIZTJSO,O,O,O,O,X,X,O,X,X
LIZTJOS,O,O,X,O,X,X,O,X,X
LIZTSJO,O,O,O,O,X,X,X,X,X
LIZTSOJ,O,O,O,O,O,X,O,X,X
LIZTOJS,O,O,X,O,X,X,O,X,X
LIZTOSJ,O,O,O,O,O,X,O,X,X
LIZJTSO,O,O,O,X,X,X,O,X,X
LIZJTOS,O,O,X,X,X,X,O,X,X
LIZJSTO,O,O,O,X,X,X,O,X,X
LIZJSOT,O,O,O,X,X,X,O,X,X
LIZJOTS,O,O,X,X,X,X,O,X,X
LIZJOST,O,O,O,X,X,X,O,X,X
LIZSTJO,O,O,O,O,X,X,X,X,X
LIZSTOJ,O,O,O,O,O,X,O,X,X
LIZSJTO,O,O,O,O,X,X,X,X,X
LIZSJOT,O,O,O,X,X,X,X,X,X
LIZSOTJ,O,O,O,X,O,X,O,X,X
LIZSOJT,O,O,O,X,X,X,X,X,X
LIZOTJS,O,O,X,X,X,X,O,X,X
LIZOTSJ,O,O,O,X,O,X,O,X,X
LIZOJTS,O,O,X,X,X,X,O,X,X
LIZOJST,O,O,O,X,X,X,O,X,X
LIZOSTJ,O,O,O,X,O,X,O,X,X
LIZOSJT,O,O,O,X,X,X,X,X,X
LIOTJSZ,O,X,X,O,O,X,X,X,X
LIOTJZS,O,O,X,O,X,X,X,X,X
LIOTSJZ,O,X,X,O,O,X,X,X,X
LIOTSZJ,O,X,X,O,O,X,X,X,X
LIOTZJS,O,O,X,O,X,X,O,X,X
LIOTZSJ,O,O,X,O,O,X,O,X,X
LIOJTSZ,X,X,X,O,O,X,X,X,O
LIOJTZS,X,X,X,O,X,X,O,X,X
LIOJSTZ,X,X,X,O,O,X,X,X,O
LIOJSZT,O,X,X,O,X,X,O,X,X
LIOJZTS,O,X,X,O,X,X,O,X,X
LIOJZST,O,X,X,O,X,X,O,X,X
LIOSTJZ,O,O,X,O,O,X,X,X,X
LIOSTZJ,O,O,X,O,O,X,X,X,X
LIOSJTZ,X,X,X,O,O,X,X,X,X
LIOSJZT,O,O,X,O,X,X,X,X,X
LIOSZTJ,O,O,X,O,O,X,O,X,X
LIOSZJT,O,O,X,O,X,X,X,X,X
LIOZTJS,O,O,X,O,X,X,O,X,X
LIOZTSJ,O,O,X,O,O,X,O,X,X
LIOZJTS,O,O,X,O,X,X,O,X,X
LIOZJST,O,O,X,O,X,X,O,X,X
LIOZSTJ,O,O,X,O,O,X,O,X,X
LIOZSJT,O,O,X,O,X,X,X,X,X
LJTISZO,O,X,X,O,X,X,X,X,X
LJTISOZ,X,X,X,O,O,X,X,X,X
LJTIZSO,O,X,X,O,X,X,O,X,X
LJTIZOS,O,X,X,O,X,X,O,X,X
LJTIOSZ,X,X,X,O,O,X,X,X,O
LJTIOZS,X,X,X,O,X,X,O,X,X
LJTSIZO,O,X,X,O,X,O,X,X,X
LJTSIOZ,X,X,X,O,O,O,X,X,X
LJTSZIO,O,X,X,O,X,O,X,X,X
LJTSZOI,O,X,X,O,X,O,X,X,X
LJTSOIZ,X,X,X,O,O,O,X,X,X
LJTSOZI,X,X,X,O,X,O,X,X,X
LJTZISO,O,X,X,O,X,X,O,X,X
LJTZIOS,O,X,X,O,X,X,O,X,X
LJTZSIO,O,X,X,O,X,O,O,X,X
LJTZSOI,O,X,X,O,X,O,O,X,X
LJTZOIS,O,X,X,O,X,X,O,X,X
LJTZOSI,O,X,X,O,X,X,O,X,X
LJTOISZ,X,X,X,O,O,X,X,X,O
LJTOIZS,X,X,X,O,X,X,O,X,X
LJTOSIZ,X,X,X,O,O,X,X,X,X
LJTOSZI,X,X,X,O,X,X,X,X,X
LJTOZIS,X,X,X,O,X,X,O,X,X
LJTOZSI,X,X,X,O,X,X,O,X,X
LJITSZO,O,X,X,O,X,X,X,X,X
LJITSOZ,X,X,X,O,O,X,X,X,X
LJITZSO,O,X,X,O,X,X,O,X,X
LJITZOS,O,X,X,O,X,X,O,X,X
LJITOSZ,X,X,X,X,O,X,X,X,X
LJITOZS,X,X,X,O,X,X,O,X,X
LJISTZO,X,X,O,O,X,X,X,X,X
LJISTOZ,X,X,X,O,O,X,X,X,X
LJISZTO,O,X,O,O,X,X,O,X,X
LJISZOT,O,X,O,X,X,X,O,X,X
LJISOTZ,X,X,X,O,O,X,X,X,X
LJISOZT,X,X,X,X,X,X,O,X,X
LJIZTSO,O,X,O,X,X,X,O,X,X
LJIZTOS,O,X,X,X,X,X,O,X,X
LJIZSTO,O,X,O,X,X,X,O,X,X
LJIZSOT,O,X,O,X,X,X,O,X,X
LJIZOTS,O,X,X,X,X,X,O,X,X
LJIZOST,O,X,O,X,X,X,O,X,X
LJIOTSZ,X,X,X,X,O,X,X,X,O
LJIOTZS,X,X,X,X,X,X,O,X,X
LJIOSTZ,X,X,X,X,O,X,X,X,O
LJIOSZT,O,X,X,X,X,X,O,X,X
LJIOZTS,O,X,X,X,X,X,O,X,X
LJIOZST,O,X,X,X,X,X,O,X,X
LJSTIZO,X,X,O,O,X,O,X,X,X
LJSTIOZ,X,X,X,O,O,O,X,X,X
LJSTZIO,X,X,O,O,X,O,X,X,X
LJSTZOI,X,X,O,O,X,O,X,X,X
LJSTOIZ,X,X,X,O,O,O,X,X,X
LJSTOZI,X,X,X,O,X,O,X,X,X
LJSITZO,X,X,O,O,X,O,X,X,X
LJSITOZ,X,X,X,O,O,O,X,X,X
LJSIZTO,O,X,O,O,X,O,O,X,X
LJSIZOT,O,X,O,X,X,X,O,X,X
LJSIOTZ,X,X,X,O,O,O,X,X,X
LJSIOZT,X,X,X,O,X,X,O,X,X
LJSZTIO,O,X,O,O,X,O,O,X,X
LJSZTOI,X,X,O,O,X,O,O,X,X
LJSZITO,O,X,O,O,X,O,O,X,X
LJSZIOT,O,X,O,X,X,X,O,X,X
LJSZOTI,X,X,O,O,X,X,O,X,X
LJSZOIT,O,X,O,O,X,X,O,X,X
LJSOTIZ,X,X,X,O,O,O,X,X,X
LJSOTZI,X,X,X,O,X,O,X,X,X
LJSOITZ,X,X,X,O,O,O,X,X,X
LJSOIZT,X,X,X,O,X,X,O,X,X
LJSOZTI,X,X,X,O,X,X,O,X,X
LJSOZIT,X,X,X,O,X,X,O,X,X
LJZTISO,O,X,O,X,X,X,O,X,X
LJZTIOS,O,X,X,X,X,X,O,X,X
LJZTSIO,O,X,O,X,X,X,O,X,X
LJZTSOI,O,X,O,X,X,X,O,X,X
LJZTOIS,O,X,X,X,X,X,O,X,X
LJZTOSI,O,X,X,X,X,X,O,X,X
LJZITSO,O,X,O,X,X,X,O,X,X
LJZITOS,O,X,X,X,X,X,O,X,X
LJZISTO,O,X,O,X,X,X,O,X,X
LJZISOT,O,X,O,X,X,X,O,X,X
LJZIOTS,O,X,X,X,X,X,O,X,X
LJZIOST,O,X,O,X,X,X,O,X,X
LJZSTIO,O,X,O,X,X,X,O,X,X
LJZSTOI,O,X,O,X,X,X,O,X,X
LJZSITO,O,X,O,X,X,X,O,X,X
LJZSIOT,O,X,O,X,X,X,O,X,X
LJZSOTI,O,X,O,X,X,X,O,X,X
LJZSOIT,O,X,O,X,X,X,O,X,X
LJZOTIS,O,X,X,X,X,X,O,X,X
LJZOTSI,O,X,X,X,X,X,O,X,X
LJZOITS,O,X,X,X,X,X,O,X,X
LJZOIST,O,X,O,X,X,X,O,X,X
LJZOSTI,O,X,O,X,X,X,O,X,X
LJZOSIT,O,X,O,X,X,X,O,X,X
LJOTISZ,X,X,X,O,O,X,X,X,O
LJOTIZS,X,X,X,O,X,X,O,X,X
LJOTSIZ,X,X,X,O,O,X,X,X,X
LJOTSZI,X,X,X,O,X,X,X,X,X
LJOTZIS,X,X,X,O,X,X,O,X,X
LJOTZSI,X,X,X,O,X,X,O,X,X
LJOITSZ,X,X,X,O,O,X,X,X,O
LJOITZS,X,X,X,O,X,X,O,X,X
LJOISTZ,X,X,X,O,O,X,X,X,O
LJOISZT,O,X,X,O,X,X,O,X,X
LJOIZTS,O,X,X,O,X,X,O,X,X
LJOIZST,O,X,X,O,X,X,O,X,X
LJOSTIZ,X,X,X,O,O,X,X,X,X
LJOSTZI,X,X,X,O,X,X,X,X,X
LJOSITZ,X,X,X,O,O,X,X,X,X
LJOSIZT,O,X,X,O,X,X,O,X,X
LJOSZTI,O,X,X,O,X,X,O,X,X
LJOSZIT,O,X,X,O,X,X,O,X,X
LJOZTIS,O,X,X,O,X,X,O,X,X
LJOZTSI,O,X,X,O,X,X,O,X,X
LJOZITS,O,X,X,O,X,X,O,X,X
LJOZIST,O,X,X,O,X,X,O,X,X
LJOZSTI,O,X,X,O,X,X,O,X,X
LJOZSIT,O,X,X,O,X,X,O,X,X
LSTIJZO,O,O,O,O,X,O,X,X,X
LSTIJOZ,X,O,X,O,O,O,X,X,X
LSTIZJO,O,O,O,O,X,O,X,X,X
LSTIZOJ,O,O,O,O,O,O,X,X,X
LSTIOJZ,X,O,X,O,O,O,X,X,X
LSTIOZJ,X,O,X,O,O,O,X,X,X
LSTJIZO,O,O,O,O,X,O,X,X,X
LSTJIOZ,X,O,X,O,O,O,X,X,X
LSTJZIO,O,O,O,O,X,O,X,X,X
LSTJZOI,O,O,O,O,X,O,X,X,X
LSTJOIZ,X,O,X,O,O,O,X,X,X
LSTJOZI,X,O,X,O,X,O,X,X,X
LSTZIJO,O,O,O,O,X,O,X,X,X
LSTZIOJ,O,O,O,O,O,O,X,X,X
LSTZJIO,O,O,O,O,X,O,X,O,X
LSTZJOI,O,O,O,O,X,O,X,O,X
LSTZOIJ,O,O,O,O,O,O,X,X,X
LSTZOJI,O,O,O,O,X,O,X,O,X
LSTOIJZ,X,O,X,O,O,O,X,X,X
LSTOIZJ,X,O,X,O,O,O,X,X,X
LSTOJIZ,X,O,X,O,O,O,X,X,X
LSTOJZI,X,O,X,O,X,O,X,X,X
LSTOZIJ,X,O,X,O,O,O,X,X,X
LSTOZJI,X,O,X,O,X,O,X,O,X
LSITJZO,O,O,O,O,X,O,X,X,X
LSITJOZ,X,O,X,O,O,O,X,X,X
LSITZJO,O,O,O,O,X,O,X,X,X
LSITZOJ,O,O,O,O,O,O,X,X,X
LSITOJZ,X,O,X,O,O,O,X,X,X
LSITOZJ,X,O,X,O,O,O,X,X,X
LSIJTZO,X,X,O,O,X,O,X,X,X
LSIJTOZ,X,X,X,O,O,O,X,X,X
LSIJZTO,O,O,O,O,X,O,X,X,X
LSIJZOT,O,O,O,X,X,X,X,X,X
LSIJOTZ,X,X,X,O,O,O,X,X,X
LSIJOZT,X,O,X,O,X,X,X,X,X
LSIZTJO,O,O,O,O,X,O,X,X,X
LSIZTOJ,O,O,O,O,O,O,O,X,X
LSIZJTO,O,O,O,O,X,O,X,X,X
LSIZJOT,O,O,O,X,X,X,X,X,X
LSIZOTJ,O,O,O,X,O,O,O,X,X
LSIZOJT,O,O,O,X,X,X,X,X,X
LSIOTJZ,X,O,X,O,O,O,X,X,X
LSIOTZJ,X,O,X,O,O,O,X,X,X
LSIOJTZ,X,X,X,O,O,O,X,X,X
LSIOJZT,X,O,X,O,X,X,X,X,X
LSIOZTJ,X,O,X,O,O,O,O,X,X
LSIOZJT,X,O,X,O,X,X,X,X,X
LSJTIZO,X,X,O,O,X,O,X,X,X
LSJTIOZ,X,X,X,O,O,O,X,X,X
LSJTZIO,X,X,O,O,X,O,X,X,X
LSJTZOI,X,X,O,O,X,O,X,X,X
LSJTOIZ,X,X,X,O,O,O,X,X,X
LSJTOZI,X,X,X,O,X,O,X,X,X
LSJITZO,X,X,O,O,X,O,X,X,X
LSJITOZ,X,X,X,O,O,O,X,X,X
LSJIZTO,O,O,O,O,X,O,O,X,X
LSJIZOT,O,O,O,X,X,X,O,X,X
LSJIOTZ,X,X,X,O,O,O,X,X,X
LSJIOZT,X,O,X,O,X,X,O,X,X
LSJZTIO,O,O,O,O,X,O,O,X,X
LSJZTOI,X,O,O,O,X,O,O,X,X
LSJZITO,O,O,O,O,X,O,O,X,X
LSJZIOT,O,O,O,X,X,X,O,X,X
LSJZOTI,X,O,O,O,X,X,O,X,X
LSJZOIT,O,O,O,O,X,X,O,X,X
LSJOTIZ,X,X,X,O,O,O,X,X,X
LSJOTZI,X,X,X,O,X,O,X,X,X
LSJOITZ,X,X,X,O,O,O,X,X,X
LSJOIZT,X,O,X,O,X,X,O,X,X
LSJOZTI,X,O,X,O,X,X,O,X,X
LSJOZIT,X,O,X,O,X,X,O,X,X
LSZTIJO,O,O,O,O,X,O,X,X,X
LSZTIOJ,O,O,O,O,O,O,O,X,X
LSZTJIO,O,O,O,O,X,O,O,O,X
LSZTJOI,O,O,O,O,X,O,O,O,X
LSZTOIJ,O,O,O,O,O,O,O,X,X
LSZTOJI,O,O,O,O,X,O,O,O,X
LSZITJO,O,O,O,O,X,O,X,X,X
LSZITOJ,O,O,O,O,O,O,O,X,X
LSZIJTO,O,O,O,O,X,O,X,X,X
LSZIJOT,O,O,O,X,X,X,X,X,X
LSZIOTJ,O,O,O,X,O,O,O,X,X
LSZIOJT,O,O,O,X,X,X,X,X,X
LSZJTIO,O,O,O,O,X,O,O,O,X
LSZJTOI,O,O,O,O,X,O,O,O,X
LSZJITO,O,O,O,O,X,O,O,O,X
LSZJIOT,O,O,O,X,X,X,O,O,X
LSZJOTI,X,O,O,O,X,X,O,O,X
LSZJOIT,O,O,O,O,X,X,O,O,X
LSZOTIJ,O,O,O,O,O,O,O,X,X
LSZOTJI,O,O,O,O,X,O,O,O,X
LSZOITJ,O,O,O,O,O,O,O,X,X
LSZOIJT,O,O,O,O,X,X,X,X,X
LSZOJTI,X,O,O,O,X,X,O,O,X
LSZOJIT,O,O,O,O,X,X,O,O,X
LSOTIJZ,X,O,X,O,O,O,X,X,X
LSOTIZJ,X,O,X,O,O,O,X,X,X
LSOTJIZ,X,O,X,O,O,O,X,X,X
LSOTJZI,X,O,X,O,X,O,X,X,X
LSOTZIJ,X,O,X,O,O,O,X,X,X
LSOTZJI,X,O,X,O,X,O,X,O,X
LSOITJZ,X,O,X,O,O,O,X,X,X
LSOITZJ,X,O,X,O,O,O,X,X,X
LSOIJTZ,X,X,X,O,O,O,X,X,X
LSOIJZT,X,O,X,O,X,X,X,X,X
LSOIZTJ,X,O,X,O,O,O,O,X,X
LSOIZJT,X,O,X,O,X,X,X,X,X
LSOJTIZ,X,X,X,O,O,O,X,X,X
LSOJTZI,X,X,X,O,X,O,X,X,X
LSOJITZ,X,X,X,O,O,O,X,X,X
LSOJIZT,X,O,X,O,X,X,O,X,X
LSOJZTI,X,O,X,O,X,X,O,X,X
LSOJZIT,X,O,X,O,X,X,O,X,X
LSOZTIJ,X,O,X,O,O,O,O,X,X
LSOZTJI,X,O,X,O,X,O,O,O,X
LSOZITJ,X,O,X,O,O,O,O,X,X
LSOZIJT,X,O,X,O,X,X,X,X,X
LSOZJTI,X,O,X,O,X,X,O,O,X
LSOZJIT,X,O,X,O,X,X,O,O,X
LZTIJSO,O,O,O,O,X,X,O,X,X
LZTIJOS,O,O,X,O,X,X,O,X,X
LZTISJO,O,O,O,O,X,X,X,X,X
LZTISOJ,O,O,O,O,O,X,O,X,X
LZTIOJS,O,O,X,O,X,X,O,X,X
LZTIOSJ,O,O,O,O,O,X,O,X,X
LZTJISO,O,O,O,O,X,X,O,X,X
LZTJIOS,O,O,X,O,X,X,O,X,X
LZTJSIO,O,O,O,O,X,O,O,X,X
LZTJSOI,O,O,O,O,X,O,O,X,X
LZTJOIS,O,O,X,O,X,X,O,X,X
LZTJOSI,O,O,X,O,X,X,O,X,X
LZTSIJO,O,O,O,O,X,O,X,X,X
LZTSIOJ,O,O,O,O,O,O,O,X,X
LZTSJIO,O,O,O,O,X,O,O,X,X
LZTSJOI,O,O,O,O,X,O,O,X,X
LZTSOIJ,O,O,O,O,O,O,O,X,X
LZTSOJI,O,O,O,O,X,O,O,X,X
LZTOIJS,O,O,X,O,X,X,O,X,X
LZTOISJ,O,O,O,O,O,X,O,X,X
LZTOJIS,O,O,X,O,X,X,O,X,X
LZTOJSI,O,O,X,O,X,X,O,X,X
LZTOSIJ,O,O,O,O,O,X,O,X,X
LZTOSJI,O,O,O,O,X,X,O,X,X
LZITJSO,O,O,O,O,X,X,O,X,X
LZITJOS,O,O,X,O,X,X,O,X,X
LZITSJO,O,O,O,O,X,X,X,X,X
LZITSOJ,O,O,O,O,O,X,O,X,X
LZITOJS,O,O,X,O,X,X,O,X,X
LZITOSJ,O,O,O,O,O,X,O,X,X
LZIJTSO,O,O,O,X,X,X,O,X,X
LZIJTOS,O,O,X,X,X,X,O,X,X
LZIJSTO,O,O,O,X,X,X,O,X,X
LZIJSOT,O,O,O,X,X,X,O,X,X
LZIJOTS,O,O,X,X,X,X,O,X,X
LZIJOST,O,O,O,X,X,X,O,X,X
LZISTJO,O,O,O,O,X,X,X,X,X
LZISTOJ,O,O,O,O,O,X,O,X,X
LZISJTO,O,O,O,O,X,X,X,X,X
LZISJOT,O,O,O,X,X,X,X,X,X
LZISOTJ,O,O,O,X,O,X,O,X,X
LZISOJT,O,O,O,X,X,X,X,X,X
LZIOTJS,O,O,X,X,X,X,O,X,X
LZIOTSJ,O,O,O,X,O,X,O,X,X
LZIOJTS,O,O,X,X,X,X,O,X,X
LZIOJST,O,O,O,X,X,X,O,X,X
LZIOSTJ,O,O,O,X,O,X,O,X,X
LZIOSJT,O,O,O,X,X,X,X,X,X
LZJTISO,O,O,O,X,X,X,O,X,X
LZJTIOS,O,O,X,X,X,X,O,X,X
LZJTSIO,O,O,O,X,X,X,O,X,X
LZJTSOI,O,O,O,X,X,X,O,X,X
LZJTOIS,O,O,X,X,X,X,O,X,X
LZJTOSI,O,O,X,X,X,X,O,X,X
LZJITSO,O,O,O,X,X,X,O,X,X
LZJITOS,O,O,X,X,X,X,O,X,X
LZJISTO,O,O,O,X,X,X,O,O,X
LZJISOT,O,O,O,X,X,X,O,O,X
LZJIOTS,O,O,X,X,X,X,O,X,X
