sequence,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigB3hB?GjBcqBlnBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigBGiB?TjBcqBlmBXsB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigBGjB?cqBlmB3nBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeuEJvhF1lB0hB?xiBCoBXqBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFXiBTjB?llBSsBOqB0rB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeRAJvhFGjBClB?0mBlnBXqBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeRAJvhFFiBTjB?WqB6rBcsBXqB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JexBJvhFTjBfqB?llBurBcsBCqB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeTDJvhFRlBGnB?XnBFqBCqB0rB
TLJOSZI,X,X,X,O,X,X,X,X,X
TLJOZIS,X,O,X,O,X,X,O,X,X
TLJOZSI,X,O,X,O,X,X,O,X,X
TLSIJZO,O,X,O,O,X,O,X,X,X
TLSIJOZ,X,X,X,O,O,O,X,X,X
TLSIZJO,O,X,O,O,X,O,X,X,X
TLSIZOJ,O,X,O,O,O,O,X,X,X
TLSIOJZ,X,X,X,O,O,O,X,X,X
TLSIOZJ,X,X,X,O,O,O,X,X,X
TLSJIZO,O,X,O,O,X,O,X,X,X
TLSJIOZ,X,X,X,O,O,O,X,X,X
TLSJZIO,O,X,O,O,X,O,X,X,X
TLSJZOI,O,X,O,O,X,O,X,X,X
TLSJOIZ,X,X,X,O,O,O,X,X,X
TLSJOZI,X,X,X,O,X,O,X,X,X
TLSZIJO,O,X,O,O,X,O,X,X,X
TLSZIOJ,O,X,O,O,O,O,X,X,X
TLSZJIO,O,X,O,O,X,O,X,X,X
TLSZJOI,O,X,O,O,X,O,X,X,X
TLSZOIJ,O,X,O,O,O,O,X,X,X
TLSZOJI,O,X,O,O,X,O,X,X,X
TLSOIJZ,X,X,X,O,O,O,X,X,X
TLSOIZJ,X,X,X,O,O,O,X,X,X
TLSOJIZ,X,X,X,O,O,O,X,X,X
TLSOJZI,X,X,X,O,X,O,X,X,X
TLSOZIJ,X,X,X,O,O,O,X,X,X
TLSOZJI,X,X,X,O,X,O,X,X,X
TLZIJSO,O,O,O,O,X,X,O,X,X
TLZIJOS,O,O,X,O,X,X,O,X,X
TLZISJO,O,O,O,O,X,X,X,X,X
TLZISOJ,O,O,O,O,O,X,O,X,X
TLZIOJS,O,O,X,O,X,X,O,X,X
TLZIOSJ,O,O,O,O,O,X,O,X,X
TLZJISO,O,O,O,O,X,X,O,X,X
TLZJIOS,O,O,X,O,X,X,O,X,X
TLZJSIO,O,O,O,O,X,O,O,X,X
TLZJSOI,O,O,O,O,X,O,O,X,X
TLZJOIS,O,O,X,O,X,X,O,X,X
TLZJOSI,O,O,X,O,X,X,O,X,X
TLZSIJO,O,O,O,O,X,O,X,X,X
TLZSIOJ,O,O,O,O,O,O,O,X,X
TLZSJIO,O,O,O,O,X,O,O,X,X
TLZSJOI,O,O,O,O,X,O,O,X,X
TLZSOIJ,O,O,O,O,O,O,O,X,X
TLZSOJI,O,O,O,O,X,O,O,X,X
TLZOIJS,O,O,X,O,X,X,O,X,X
TLZOISJ,O,O,O,O,O,X,O,X,X
TLZOJIS,O,O,X,O,X,X,O,X,X
TLZOJSI,O,O,X,O,X,X,O,X,X
TLZOSIJ,O,O,O,O,O,X,O,X,X
TLZOSJI,O,O,O,O,X,X,O,X,X
TLOIJSZ,X,X,X,O,O,X,X,X,O
TLOIJZS,X,O,X,O,X,X,X,X,X
TLOISJZ,X,X,X,O,O,X,X,X,X
TLOISZJ,X,X,X,O,O,X,X,X,X
TLOIZJS,X,O,X,O,X,X,O,X,X
TLOIZSJ,X,O,X,O,O,X,O,X,X
TLOJISZ,X,X,X,O,O,X,X,X,O
TLOJIZS,X,O,X,O,X,X,O,X,X
TLOJSIZ,X,X,X,O,O,X,X,X,X
TLOJSZI,X,X,X,O,X,X,X,X,X
TLOJZIS,X,O,X,O,X,X,O,X,X
TLOJZSI,X,O,X,O,X,X,O,X,X
TLOSIJZ,X,X,X,O,O,X,X,X,X
TLOSIZJ,X,X,X,O,O,X,X,X,X
TLOSJIZ,X,X,X,O,O,X,X,X,X
TLOSJZI,X,X,X,O,X,X,X,X,X
TLOSZIJ,X,X,X,O,O,X,X,X,X
TLOSZJI,X,X,X,O,X,X,X,X,X
TLOZIJS,X,O,X,O,X,X,O,X,X
TLOZISJ,X,O,X,O,O,X,O,X,X
TLOZJIS,X,O,X,O,X,X,O,X,X
TLOZJSI,X,O,X,O,X,X,O,X,X
TLOZSIJ,X,O,X,O,O,X,O,X,X
TLOZSJI,X,O,X,O,X,X,O,X,X
TJILSZO,O,X,X,O,X,X,X,X,X
TJILSOZ,X,X,X,X,O,X,X,X,X
TJILZSO,O,O,X,O,X,X,O,X,X
TJILZOS,O,O,X,O,X,X,O,X,X
TJILOSZ,X,X,X,O,O,X,X,X,O
TJILOZS,X,O,X,O,X,X,O,X,X
TJISLZO,O,X,O,X,X,O,X,X,X
TJISLOZ,X,X,X,X,X,O,X,X,X
TJISZLO,O,O,O,X,X,O,X,X,X
TJISZOL,O,O,O,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,X,X,O
TJISOZL,O,O,O,X,X,X,X,X,O
TJIZLSO,O,O,O,O,X,X,X,X,X
TJIZLOS,O,O,X,O,X,X,O,X,X
TJIZSLO,O,O,O,O,X,O,X,X,X
TJIZSOL,O,O,O,X,X,X,O,X,X
TJIZOLS,O,O,X,O,X,X,O,X,X
TJIZOSL,O,O,X,X,X,X,O,X,O
TJIOLSZ,X,X,X,O,O,X,X,X,O
TJIOLZS,X,O,X,O,X,X,O,X,X
TJIOSLZ,X,X,X,X,X,X,X,X,O
TJIOSZL,O,O,X,X,X,X,X,X,O
TJIOZLS,O,O,X,O,X,X,O,X,X
TJIOZSL,O,O,X,O,X,X,O,X,O
TJLISZO,O,X,X,O,X,X,X,X,X
TJLISOZ,X,X,X,O,O,X,X,X,X
TJLIZSO,O,O,X,O,X,X,O,X,X
TJLIZOS,O,O,X,O,X,X,O,X,X
TJLIOSZ,X,X,X,O,O,X,X,X,O
TJLIOZS,X,O,X,O,X,X,O,X,X
TJLSIZO,O,X,X,O,X,O,X,X,X
TJLSIOZ,X,X,X,O,O,O,X,X,X
TJLSZIO,O,X,X,O,X,O,X,X,X
TJLSZOI,O,X,X,O,X,O,X,X,X
TJLSOIZ,X,X,X,O,O,O,X,X,X
TJLSOZI,X,X,X,O,X,O,X,X,X
TJLZISO,O,O,X,O,X,X,O,X,X
TJLZIOS,O,O,X,O,X,X,O,X,X
TJLZSIO,O,O,X,O,X,O,O,X,X
TJLZSOI,O,O,X,O,X,O,O,X,X
TJLZOIS,O,O,X,O,X,X,O,X,X
TJLZOSI,O,O,X,O,X,X,O,X,X
TJLOISZ,X,X,X,O,O,X,X,X,O
TJLOIZS,X,O,X,O,X,X,O,X,X
TJLOSIZ,X,X,X,O,O,X,X,X,X
TJLOSZI,X,X,X,O,X,X,X,X,X
TJLOZIS,X,O,X,O,X,X,O,X,X
TJLOZSI,X,O,X,O,X,X,O,X,X
TJSILZO,O,X,O,O,X,O,X,X,X
TJSILOZ,X,X,X,O,X,O,X,X,X
TJSIZLO,O,O,O,O,X,O,X,X,X
TJSIZOL,O,O,O,O,X,X,X,X,X
TJSIOLZ,X,X,X,O,X,X,X,X,O
TJSIOZL,O,O,O,O,X,X,X,X,O
TJSLIZO,O,X,O,O,X,O,X,X,X
TJSLIOZ,X,X,X,O,X,O,X,X,X
TJSLZIO,O,X,O,O,X,O,X,X,X
TJSLZOI,O,X,O,O,X,O,X,X,X
TJSLOIZ,X,X,X,O,X,O,X,X,X
TJSLOZI,X,X,X,O,X,O,X,X,X
TJSZILO,O,O,O,O,X,O,X,X,X
TJSZIOL,O,O,O,O,X,X,X,X,X
TJSZLIO,O,O,O,O,X,O,X,X,X
TJSZLOI,O,O,O,O,X,O,X,X,X
TJSZOIL,O,O,O,O,X,X,X,X,X
TJSZOLI,O,O,O,O,X,O,X,X,X
TJSOILZ,X,X,X,O,X,X,X,X,O
TJSOIZL,O,O,O,O,X,X,X,X,O
