sequence,v115@QhF8DeA8BeB8BeA8AeB8JeCBJvhFFjBRsBOpB8pB/s?BTrB,v115@QhF8DeA8BeB8BeA8AeB8JezAJvhFWnBxiB8sB3rBip?BlpB,v115@QhF8DeA8BeB8BeA8AeB8Jez/IvhFGhBFjBRsBKpB/s?BUrB,v115@QhF8DeA8BeB8BeA8AeB8Jem/IvhFSmBFjBRsB/sBTp?BUrB,v115@QhF8DeA8BeB8BeA8AeB8JeyEJvhFlhB5nBOoB8rBfr?BTpB,v115@QhF8DeA8BeB8BeA8AeB8JezAJvhFxiBXnB8sB+rBip?BlpB,v115@QhF8DeA8BeB8BeA8AeB8JeyEJvhFxiBXnB8sBFrBTp?BGrB,v115@QhF8DeA8BeB8BeA8AeB8JeyEJvhFxiBXnB8sBGrBTp?BFrB,v115@QhF8DeA8BeB8BeA8AeB8Jez/IvhFlhB5nBOoB8rBKp?BfrB,v115@QhF8DeA8BeB8BeA8AeB8JeWGJvhFxiBXnB8sBlpBip?BTrB,v115@QhF8DeA8BeB8BeA8AeB8Je2EJvhFRhB8rBznBFrB3p?BCtB,v115@QhF8DeA8BeB8BeA8AeB8Je2EJvhFRmBznB8rB3pBFr?BCtB
ITZOSLJ,O,X,X,X,X,X,X,X,X,X,X,X
ITZOSJL,O,X,X,X,X,X,X,X,X,X,X,X
ITOLJSZ,X,X,X,O,X,X,X,X,X,X,X,X
ITOLJZS,X,X,X,X,X,X,X,X,X,X,X,X
ITOLSJZ,O,X,X,O,X,X,X,X,X,X,X,X
ITOLSZJ,O,X,X,O,X,X,X,X,X,X,X,X
ITOLZJS,O,X,X,X,X,X,X,X,X,X,X,X
ITOLZSJ,O,X,X,X,X,X,X,X,X,X,X,X
ITOJLSZ,X,X,X,O,X,X,X,X,X,X,X,X
ITOJLZS,X,X,X,X,X,X,X,X,X,X,X,X
ITOJSLZ,X,X,X,O,X,X,X,X,X,X,X,X
ITOJSZL,X,X,X,O,X,X,X,X,X,X,X,X
ITOJZLS,X,X,X,X,X,X,X,X,X,X,X,O
ITOJZSL,X,X,X,X,X,X,X,X,X,X,X,O
ITOSLJZ,O,X,X,O,X,X,X,X,X,X,X,X
ITOSLZJ,O,X,X,O,X,X,X,X,X,X,X,X
ITOSJLZ,O,X,X,O,X,X,X,X,X,X,X,X
ITOSJZL,O,X,X,O,X,X,X,X,X,X,X,X
ITOSZLJ,O,X,X,O,X,X,X,X,X,X,X,X
ITOSZJL,O,X,X,O,X,X,X,X,X,X,X,X
ITOZLJS,O,X,X,X,X,X,X,X,X,X,X,X
ITOZLSJ,O,X,X,X,X,X,X,X,X,X,X,X
ITOZJLS,O,X,X,X,X,X,X,X,X,X,X,X
ITOZJSL,O,X,X,X,X,X,X,X,X,X,X,X
ITOZSLJ,O,X,X,X,X,X,X,X,X,X,X,X
ITOZSJL,O,X,X,X,X,X,X,X,X,X,X,X
ILTJSZO,X,X,X,X,X,X,X,X,X,X,X,X
ILTJSOZ,X,X,X,X,X,X,X,X,X,X,X,X
ILTJZSO,X,X,X,X,O,X,X,X,X,X,X,X
ILTJZOS,X,X,X,X,X,X,X,X,X,X,X,X
ILTJOSZ,X,X,X,X,X,X,X,X,X,X,X,X
ILTJOZS,X,X,X,X,X,X,X,X,X,X,X,X
ILTSJZO,O,X,O,X,X,X,X,X,X,X,X,X
ILTSJOZ,X,X,O,O,X,X,X,X,X,X,X,X
ILTSZJO,O,X,O,X,X,X,X,X,X,X,X,X
ILTSZOJ,O,X,O,O,X,X,X,X,X,X,X,X
ILTSOJZ,X,X,O,O,X,X,X,X,X,X,X,X
ILTSOZJ,O,X,O,O,X,X,X,X,X,X,X,X
ILTZJSO,O,X,O,X,O,X,X,X,X,X,X,X
ILTZJOS,X,X,O,X,X,X,X,X,X,X,X,X
ILTZSJO,O,X,O,X,X,X,O,O,X,X,X,X
ILTZSOJ,O,X,O,X,X,X,O,X,X,X,X,X
ILTZOJS,X,X,O,X,X,X,X,X,X,X,X,X
ILTZOSJ,X,X,O,X,X,X,X,X,X,X,X,X
ILTOJSZ,X,X,X,O,X,X,X,X,X,X,X,X
ILTOJZS,X,X,X,X,X,X,X,X,X,X,X,X
ILTOSJZ,X,X,O,O,X,X,X,X,X,X,X,X
ILTOSZJ,X,X,O,O,X,X,X,X,X,X,X,X
ILTOZJS,X,X,O,X,X,X,X,X,X,X,X,X
ILTOZSJ,X,X,O,X,X,X,X,X,X,X,X,X
ILJTSZO,X,X,X,X,X,X,X,X,X,X,X,X
ILJTSOZ,X,X,X,X,X,X,X,X,X,X,X,X
ILJTZSO,X,X,X,X,O,X,X,X,X,X,X,X
ILJTZOS,X,X,X,X,X,X,X,X,X,X,X,X
ILJTOSZ,X,X,X,X,X,X,X,X,X,X,X,X
ILJTOZS,X,X,X,X,X,X,X,X,X,X,X,X
ILJSTZO,O,X,O,X,X,X,X,X,X,X,X,X
ILJSTOZ,X,X,O,O,X,X,X,X,X,X,X,X
ILJSZTO,O,X,O,X,O,X,X,X,X,X,X,X
ILJSZOT,O,X,O,X,O,X,X,X,X,X,X,X
ILJSOTZ,X,X,O,O,X,X,X,X,X,X,X,X
ILJSOZT,X,X,O,O,X,X,X,X,X,X,X,X
ILJZTSO,O,X,O,X,O,X,X,X,O,X,X,X
ILJZTOS,X,X,O,X,X,X,X,X,O,X,X,X
ILJZSTO,O,X,O,X,O,X,O,O,O,X,X,X
ILJZSOT,O,X,O,X,O,X,X,O,O,X,X,X
ILJZOTS,X,X,O,X,X,X,X,X,O,X,X,X
ILJZOST,O,X,O,X,O,X,X,X,O,X,X,X
ILJOTSZ,X,X,X,O,X,X,X,X,X,X,X,X
ILJOTZS,X,X,X,X,X,X,X,X,X,X,X,X
ILJOSTZ,X,X,O,O,X,X,X,X,X,X,X,X
ILJOSZT,X,X,O,O,X,X,X,X,X,X,X,X
ILJOZTS,X,X,O,X,X,X,X,X,X,X,X,O
ILJOZST,X,X,O,O,O,X,X,X,X,X,X,O
ILSTJZO,O,X,O,X,X,X,X,X,X,X,X,X
ILSTJOZ,X,X,O,O,X,X,X,X,X,X,X,X
ILSTZJO,O,X,O,X,X,X,X,X,X,X,X,X
ILSTZOJ,O,X,O,O,X,X,X,X,X,X,X,X
ILSTOJZ,O,X,O,O,X,X,X,X,X,X,X,X
ILSTOZJ,O,X,O,O,X,X,X,X,X,X,X,X
ILSJTZO,O,X,O,X,X,X,X,X,X,X,X,X
ILSJTOZ,X,X,O,O,X,X,X,X,X,X,X,X
ILSJZTO,O,X,O,X,O,X,X,X,X,X,X,X
ILSJZOT,O,X,O,X,O,X,X,X,X,X,X,X
ILSJOTZ,X,X,O,O,X,X,X,X,X,X,X,X
ILSJOZT,X,X,O,O,X,X,X,X,X,X,X,X
ILSZTJO,O,X,O,X,X,X,O,O,X,X,X,X
ILSZTOJ,O,X,O,O,X,X,O,X,X,X,X,X
ILSZJTO,O,X,O,X,O,X,O,O,X,X,X,X
ILSZJOT,O,X,O,X,O,X,X,O,X,X,X,X
ILSZOTJ,O,X,O,O,X,X,O,X,X,X,X,X
ILSZOJT,O,X,O,O,X,X,X,O,X,X,X,X
ILSOTJZ,O,X,O,O,X,X,X,X,X,X,X,X
ILSOTZJ,O,X,O,O,X,X,X,X,X,X,X,X
ILSOJTZ,O,X,O,O,X,X,X,X,X,X,X,X
ILSOJZT,O,X,O,O,X,X,X,X,X,X,X,X
ILSOZTJ,O,X,O,O,X,X,X,X,X,X,X,X
ILSOZJT,O,X,O,O,X,X,X,X,X,X,X,X
ILZTJSO,O,X,O,X,O,X,X,X,X,X,X,X
ILZTJOS,X,X,O,X,X,X,X,X,X,X,X,X
ILZTSJO,O,X,O,X,X,X,O,O,X,X,X,X
ILZTSOJ,O,X,O,X,X,X,O,X,X,X,X,X
ILZTOJS,X,X,O,X,X,X,X,X,X,X,X,X
ILZTOSJ,X,X,O,X,X,X,X,X,X,X,X,X
ILZJTSO,O,X,O,X,O,X,X,X,O,X,X,X
ILZJTOS,X,X,O,X,X,X,X,X,O,X,X,X
ILZJSTO,O,X,O,X,O,X,O,O,O,X,X,X
ILZJSOT,O,X,O,X,O,X,X,O,O,X,X,X
ILZJOTS,O,X,O,X,X,X,X,X,O,X,X,X
ILZJOST,O,X,O,X,O,X,X,X,O,X,X,X
ILZSTJO,O,O,O,X,X,O,O,O,X,O,X,X
ILZSTOJ,O,O,O,O,X,X,O,X,X,X,X,X
ILZSJTO,O,O,O,X,O,O,O,O,X,O,X,X
ILZSJOT,O,O,O,X,O,O,X,O,X,X,X,X
ILZSOTJ,O,O,O,O,X,X,O,X,X,X,X,X
ILZSOJT,O,O,O,O,X,O,X,O,X,X,X,X
ILZOTJS,O,X,O,X,X,X,X,X,X,X,X,X
ILZOTSJ,O,X,O,X,X,X,X,X,X,X,X,X
ILZOJTS,O,X,O,X,X,X,X,X,X,X,X,X
ILZOJST,O,X,O,O,O,X,X,X,X,X,X,X
ILZOSTJ,O,X,O,O,X,X,O,X,X,X,X,X
ILZOSJT,O,X,O,O,X,X,X,O,X,X,X,X
ILOTJSZ,X,X,X,O,X,X,X,X,X,X,X,X
ILOTJZS,X,X,X,X,X,X,X,X,X,X,X,X
ILOTSJZ,O,X,O,O,X,X,X,X,X,X,X,X
ILOTSZJ,O,X,O,O,X,X,X,X,X,X,X,X
ILOTZJS,O,X,O,X,X,X,X,X,X,X,X,X
ILOTZSJ,O,X,O,X,X,X,X,X,X,X,X,X
ILOJTSZ,X,X,X,O,X,X,X,X,X,X,X,X
ILOJTZS,X,X,X,X,X,X,X,X,X,X,X,X
ILOJSTZ,O,X,O,O,X,X,X,X,X,X,X,X
ILOJSZT,O,X,O,O,X,X,X,X,X,X,X,X
ILOJZTS,O,X,O,X,X,X,X,X,X,X,X,O
ILOJZST,O,X,O,O,O,X,X,X,X,X,X,O
ILOSTJZ,O,X,O,O,X,X,X,X,X,X,X,X
ILOSTZJ,O,X,O,O,X,X,X,X,X,X,X,X
ILOSJTZ,O,X,O,O,X,X,X,X,X,X,X,X
ILOSJZT,O,X,O,O,X,X,X,X,X,X,X,X
ILOSZTJ,O,X,O,O,X,X,X,X,X,X,X,X
ILOSZJT,O,X,O,O,X,X,X,X,X,X,X,X
ILOZTJS,O,X,O,X,X,X,X,X,X,X,X,X
ILOZTSJ,O,X,O,X,X,X,X,X,X,X,X,X
ILOZJTS,O,X,O,X,X,X,X,X,X,X,X,X
ILOZJST,O,X,O,O,O,X,X,X,X,X,X,X
ILOZSTJ,O,X,O,O,X,X,O,X,X,X,X,X
ILOZSJT,O,X,O,O,X,X,X,O,X,X,X,X
IJTLSZO,X,X,X,X,X,X,X,X,X,X,X,X
IJTLSOZ,X,X,X,X,X,X,X,X,X,X,X,X
IJTLZSO,X,X,X,X,O,X,X,X,X,X,X,X
IJTLZOS,X,X,X,X,X,X,X,X,X,X,X,X
IJTLOSZ,X,X,X,X,X,X,X,X,X,X,X,X
IJTLOZS,X,X,X,X,X,X,X,X,X,X,X,X
IJTSLZO,X,X,X,X,X,X,X,X,X,X,X,X
IJTSLOZ,X,X,X,X,X,X,X,X,X,X,X,X
IJTSZLO,X,X,X,X,X,X,X,X,X,X,X,X
IJTSZOL,X,X,X,X,X,X,X,X,X,X,X,X
IJTSOLZ,X,X,X,X,X,X,X,X,X,X,X,X
IJTSOZL,X,X,X,X,X,X,X,X,X,X,X,X
IJTZLSO,X,X,X,X,O,X,X,X,O,X,X,X
IJTZLOS,X,X,X,X,X,X,X,X,O,X,X,X
IJTZSLO,X,X,X,X,O,X,X,X,O,X,X,X
IJTZSOL,X,X,X,X,O,X,X,X,O,X,X,X
IJTZOLS,X,X,X,X,X,X,X,X,X,X,X,X
IJTZOSL,X,X,X,X,X,X,X,X,X,X,X,X
IJTOLSZ,X,X,X,X,X,X,X,X,X,X,X,X
IJTOLZS,X,X,X,X,X,X,X,X,X,X,X,X
IJTOSLZ,X,X,X,X,X,X,X,X,X,X,X,X
IJTOSZL,X,X,X,X,X,X,X,X,X,X,X,X
IJTOZLS,X,X,X,X,X,X,X,X,X,X,X,O
IJTOZSL,X,X,X,X,X,X,X,X,X,X,X,O
IJLTSZO,X,X,X,X,X,X,X,X,X,X,X,X
IJLTSOZ,X,X,X,X,X,X,X,X,X,X,X,X
IJLTZSO,X,X,X,X,O,X,X,X,X,X,X,X
IJLTZOS,X,X,X,X,X,X,X,X,X,X,X,X
IJLTOSZ,X,X,X,X,X,X,X,X,X,X,X,X
IJLTOZS,X,X,X,X,X,X,X,X,X,X,X,X
IJLSTZO,O,X,O,X,X,X,X,X,X,X,X,X
IJLSTOZ,X,X,O,O,X,X,X,X,X,X,X,X
IJLSZTO,O,X,O,X,O,X,X,X,X,X,X,X
IJLSZOT,O,X,O,X,O,X,X,X,X,X,X,X
IJLSOTZ,X,X,O,O,X,X,X,X,X,X,X,X
IJLSOZT,X,X,O,O,X,X,X,X,X,X,X,X
IJLZTSO,O,X,O,X,O,X,X,X,O,X,X,X
IJLZTOS,X,X,O,X,X,X,X,X,O,X,X,X
IJLZSTO,O,X,O,X,O,X,O,O,O,X,X,X
IJLZSOT,O,X,O,X,O,X,X,O,O,X,X,X
IJLZOTS,X,X,O,X,X,X,X,X,O,X,X,X
IJLZOST,O,X,O,X,O,X,X,X,O,X,X,X
IJLOTSZ,X,X,X,O,X,X,X,X,X,X,X,X
IJLOTZS,X,X,X,X,X,X,X,X,X,X,X,X
IJLOSTZ,X,X,O,O,X,X,X,X,X,X,X,X
IJLOSZT,X,X,O,O,X,X,X,X,X,X,X,X
IJLOZTS,X,X,O,X,X,X,X,X,X,X,X,O
IJLOZST,X,X,O,O,O,X,X,X,X,X,X,O
IJSTLZO,O,X,O,X,X,X,X,X,X,X,X,X
IJSTLOZ,X,X,O,O,X,X,X,X,X,X,X,X
IJSTZLO,O,X,O,X,X,X,X,X,X,X,X,X
IJSTZOL,O,X,O,X,X,X,X,X,X,X,X,X
IJSTOLZ,O,X,X,O,X,X,X,X,X,X,X,X
IJSTOZL,O,X,X,O,X,X,X,X,X,X,X,X
IJSLTZO,O,X,O,X,X,X,X,X,X,X,X,X
IJSLTOZ,X,X,O,O,X,X,X,X,X,X,X,X
IJSLZTO,O,X,O,X,O,X,X,X,X,X,X,X
IJSLZOT,O,X,O,X,O,X,X,X,X,X,X,X
IJSLOTZ,X,X,O,O,X,X,X,X,X,X,X,X
IJSLOZT,X,X,O,O,X,X,X,X,X,X,X,X
IJSZTLO,O,X,O,X,O,X,X,X,O,X,X,X
IJSZTOL,O,X,O,X,O,X,X,X,O,X,X,X
IJSZLTO,O,X,O,X,O,X,X,X,O,X,X,X
IJSZLOT,O,X,O,X,O,X,X,X,O,X,X,X
IJSZOTL,O,X,O,X,O,X,X,X,O,X,X,X
IJSZOLT,O,X,O,X,O,X,X,X,O,X,X,X
IJSOTLZ,O,X,X,O,X,X,X,X,X,X,X,X
IJSOTZL,O,X,X,O,X,X,X,X,X,X,X,X
IJSOLTZ,O,X,X,O,X,X,X,X,X,X,X,X
IJSOLZT,O,X,X,O,X,X,X,X,X,X,X,X
IJSOZTL,O,X,X,O,X,X,X,X,X,X,X,O
IJSOZLT,O,X,X,O,X,X,X,X,X,X,X,O
IJZTLSO,O,X,O,X,O,X,X,X,O,X,X,X
IJZTLOS,X,X,O,X,X,X,X,X,O,X,X,X
IJZTSLO,O,X,O,X,O,X,X,X,O,X,X,X
IJZTSOL,O,X,O,X,O,X,X,X,O,X,X,X
IJZTOLS,O,X,X,X,X,X,X,X,X,X,X,X
IJZTOSL,O,X,X,X,X,X,X,X,X,X,X,X
IJZLTSO,O,X,O,X,O,X,X,X,O,X,X,X
IJZLTOS,X,X,O,X,X,X,X,X,O,X,X,X
IJZLSTO,O,X,O,X,O,X,O,O,O,X,X,X
IJZLSOT,O,X,O,X,O,X,X,O,O,X,X,X
IJZLOTS,O,X,O,X,X,X,X,X,O,X,X,X
IJZLOST,O,X,O,X,O,X,X,X,O,X,X,X
IJZSTLO,O,O,O,X,O,O,O,O,O,O,X,X
IJZSTOL,O,O,O,X,O,O,X,X,O,O,X,X
IJZSLTO,O,O,O,X,O,O,O,O,O,O,X,X
IJZSLOT,O,O,O,X,O,O,X,O,O,X,X,X
IJZSOTL,O,O,O,X,O,O,X,X,O,O,X,X
IJZSOLT,O,O,O,X,O,O,X,O,O,X,X,X
IJZOTLS,O,X,X,X,X,X,X,X,X,X,O,O
IJZOTSL,O,X,X,X,X,X,X,X,X,X,O,O
IJZOLTS,O,X,O,X,X,X,X,X,O,X,X,O
IJZOLST,O,X,O,X,O,X,X,X,O,X,X,O
IJZOSTL,O,X,O,X,O,X,X,X,O,X,X,O
IJZOSLT,O,X,O,X,O,X,X,X,O,X,X,O
IJOTLSZ,X,X,X,O,X,X,X,X,X,X,X,X
IJOTLZS,X,X,X,X,X,X,X,X,X,X,X,X
IJOTSLZ,X,X,X,O,X,X,X,X,X,X,X,X
IJOTSZL,X,X,X,O,X,X,X,X,X,X,X,X
IJOTZLS,X,X,X,X,X,X,X,X,X,X,X,O
IJOTZSL,X,X,X,X,X,X,X,X,X,X,X,O
IJOLTSZ,X,X,X,O,X,X,X,X,X,X,X,X
IJOLTZS,X,X,X,X,X,X,X,X,X,X,X,X
IJOLSTZ,O,X,X,O,X,X,X,X,X,X,X,X
IJOLSZT,O,X,X,O,X,X,X,X,X,X,X,X
IJOLZTS,O,X,X,X,X,X,X,X,X,X,X,O
IJOLZST,O,X,X,O,O,X,X,X,X,X,X,O
IJOSTLZ,O,X,X,O,X,X,X,X,X,X,X,X
IJOSTZL,O,X,X,O,X,X,X,X,X,X,X,X
IJOSLTZ,O,X,X,O,X,X,X,X,X,X,X,X
IJOSLZT,O,X,X,O,X,X,X,X,X,X,X,X
IJOSZTL,O,X,X,O,X,X,X,X,X,X,X,O
IJOSZLT,O,X,X,O,X,X,X,X,X,X,X,O
IJOZTLS,O,X,X,X,X,X,X,X,X,X,O,O
IJOZTSL,O,X,X,X,X,X,X,X,X,X,O,O
IJOZLTS,O,X,X,X,X,X,X,X,O,X,X,O
IJOZLST,O,X,X,O,O,X,X,X,O,X,X,O
IJOZSTL,O,X,X,O,O,X,X,X,O,X,X,O
IJOZSLT,O,X,X,O,O,X,X,X,O,X,X,O
ISTLJZO,O,X,O,X,X,X,X,X,X,X,X,X
ISTLJOZ,X,X,O,O,X,X,X,X,X,X,X,X
ISTLZJO,O,X,O,X,X,X,X,X,X,X,X,X
ISTLZOJ,O,X,O,O,X,X,X,X,X,X,X,X
ISTLOJZ,O,X,O,O,X,X,X,X,X,X,X,X
ISTLOZJ,O,X,O,O,X,X,X,X,X,X,X,X
ISTJLZO,O,X,O,X,X,X,X,X,X,X,X,X
ISTJLOZ,X,X,O,O,X,X,X,X,X,X,X,X
ISTJZLO,O,X,O,X,X,X,X,X,X,X,X,X
ISTJZOL,O,X,O,X,X,X,X,X,X,X,X,X
ISTJOLZ,O,X,X,O,X,X,X,X,X,X,X,X
ISTJOZL,O,X,X,O,X,X,X,X,X,X,X,X
ISTZLJO,O,X,O,X,X,X,X,X,X,X,X,X
ISTZLOJ,O,X,O,O,X,X,X,X,X,X,X,X
ISTZJLO,O,X,O,X,X,X,X,X,X,X,X,X
ISTZJOL,O,X,O,X,X,X,X,X,X,X,X,X
ISTZOLJ,O,X,O,O,X,X,X,X,X,X,X,X
ISTZOJL,O,X,O,O,X,X,X,X,X,X,X,X
ISTOLJZ,O,X,O,O,X,X,X,X,X,X,X,X
ISTOLZJ,O,X,O,O,X,X,X,X,X,X,X,X
ISTOJLZ,O,X,X,O,X,X,X,X,X,X,X,X
ISTOJZL,O,X,X,O,X,X,X,X,X,X,X,X
ISTOZLJ,O,X,O,O,X,X,X,X,X,X,X,X
ISTOZJL,O,X,O,O,X,X,X,X,X,X,X,X
ISLTJZO,O,X,O,X,X,X,X,X,X,X,X,X
ISLTJOZ,X,X,O,O,X,X,X,X,X,X,X,X
ISLTZJO,O,X,O,X,X,X,X,X,X,X,X,X
ISLTZOJ,O,X,O,O,X,X,X,X,X,X,X,X
ISLTOJZ,O,X,O,O,X,X,X,X,X,X,X,X
ISLTOZJ,O,X,O,O,X,X,X,X,X,X,X,X
ISLJTZO,O,X,O,X,X,X,X,X,X,X,X,X
ISLJTOZ,X,X,O,O,X,X,X,X,X,X,X,X
ISLJZTO,O,X,O,X,O,X,X,X,X,X,X,X
ISLJZOT,O,X,O,X,O,X,X,X,X,X,X,X
ISLJOTZ,X,X,O,O,X,X,X,X,X,X,X,X
ISLJOZT,X,X,O,O,X,X,X,X,X,X,X,X
ISLZTJO,O,X,O,X,X,X,O,O,X,X,X,X
ISLZTOJ,O,X,O,O,X,X,O,X,X,X,X,X
ISLZJTO,O,X,O,X,O,X,O,O,X,X,X,X
ISLZJOT,O,X,O,X,O,X,X,O,X,X,X,X
ISLZOTJ,O,X,O,O,X,X,O,X,X,X,X,X
ISLZOJT,O,X,O,O,X,X,X,O,X,X,X,X
ISLOTJZ,O,X,O,O,X,X,X,X,X,X,X,X
ISLOTZJ,O,X,O,O,X,X,X,X,X,X,X,X
ISLOJTZ,O,X,O,O,X,X,X,X,X,X,X,X
ISLOJZT,O,X,O,O,X,X,X,X,X,X,X,X
ISLOZTJ,O,X,O,O,X,X,X,X,X,X,X,X
ISLOZJT,O,X,O,O,X,X,X,X,X,X,X,X
ISJTLZO,O,X,O,X,X,X,X,X,X,X,X,X
ISJTLOZ,X,X,O,O,X,X,X,X,X,X,X,X
ISJTZLO,O,X,O,X,X,X,X,X,X,X,X,X
ISJTZOL,O,X,O,X,X,X,X,X,X,X,X,X
ISJTOLZ,O,X,X,O,X,X,X,X,X,X,X,X
ISJTOZL,O,X,X,O,X,X,X,X,X,X,X,X
ISJLTZO,O,X,O,X,X,X,X,X,X,X,X,X
ISJLTOZ,X,X,O,O,X,X,X,X,X,X,X,X
ISJLZTO,O,X,O,X,O,X,X,X,X,X,X,X
ISJLZOT,O,X,O,X,O,X,X,X,X,X,X,X
ISJLOTZ,X,X,O,O,X,X,X,X,X,X,X,X
ISJLOZT,X,X,O,O,X,X,X,X,X,X,X,X
ISJZTLO,O,X,O,X,O,X,X,X,O,X,X,X
ISJZTOL,O,X,O,X,O,X,X,X,O,X,X,X
ISJZLTO,O,X,O,X,O,X,X,X,O,X,X,X
ISJZLOT,O,X,O,X,O,X,X,X,O,X,X,X
ISJZOTL,O,X,O,X,O,X,X,X,O,X,X,X
ISJZOLT,O,X,O,X,O,X,X,X,O,X,X,X
ISJOTLZ,O,X,X,O,X,X,X,X,X,X,X,X
ISJOTZL,O,X,X,O,X,X,X,X,X,X,X,X
ISJOLTZ,O,X,X,O,X,X,X,X,X,X,X,X
ISJOLZT,O,X,X,O,X,X,X,X,X,X,X,X
ISJOZTL,O,X,X,O,X,X,X,X,X,X,X,O
ISJOZLT,O,X,X,O,X,X,X,X,X,X,X,O
ISZTLJO,O,O,O,X,X,O,O,O,X,O,X,X
ISZTLOJ,O,O,O,O,X,X,O,X,X,X,X,X
ISZTJLO,O,O,O,X,X,O,O,O,X,O,X,X
ISZTJOL,O,O,O,X,X,O,X,X,X,O,X,X
ISZTOLJ,O,O,O,O,X,X,O,X,X,X,X,X
ISZTOJL,O,O,O,O,X,X,X,X,X,O,X,X
ISZLTJO,O,O,O,X,X,O,O,O,X,O,X,X
ISZLTOJ,O,O,O,O,X,X,O,X,X,X,X,X
ISZLJTO,O,O,O,X,O,O,O,O,X,O,X,X
ISZLJOT,O,O,O,X,O,O,X,O,X,X,X,X
ISZLOTJ,O,O,O,O,X,X,O,X,X,X,X,X
ISZLOJT,O,O,O,O,X,O,X,O,X,X,X,X
ISZJTLO,O,O,O,X,O,O,O,O,O,O,X,X
ISZJTOL,O,O,O,X,O,O,X,X,O,O,X,X
ISZJLTO,O,O,O,X,O,O,O,O,O,O,X,X
ISZJLOT,O,O,O,X,O,O,X,O,O,X,X,X
ISZJOTL,O,O,O,X,O,O,X,X,O,O,X,X
ISZJOLT,O,O,O,X,O,O,X,O,O,X,X,X
ISZOTLJ,O,O,O,O,X,X,O,X,X,X,X,X
ISZOTJL,O,O,O,O,X,X,X,X,X,O,X,X
ISZOLTJ,O,O,O,O,X,X,O,X,X,X,X,X
ISZOLJT,O,O,O,O,X,O,X,O,X,X,X,X
ISZOJTL,O,O,O,O,X,O,X,X,X,O,X,X
ISZOJLT,O,O,O,O,X,O,X,O,X,X,X,X
ISOTLJZ,O,X,O,O,X,X,X,X,X,X,X,X
ISOTLZJ,O,X,O,O,X,X,X,X,X,X,X,X
ISOTJLZ,O,X,X,O,X,X,X,X,X,X,X,X
ISOTJZL,O,X,X,O,X,X,X,X,X,X,X,X
ISOTZLJ,O,X,O,O,X,X,X,X,X,X,X,X
ISOTZJL,O,X,O,O,X,X,X,X,X,X,X,X
ISOLTJZ,O,X,O,O,X,X,X,X,X,X,X,X
ISOLTZJ,O,X,O,O,X,X,X,X,X,X,X,X
ISOLJTZ,O,X,O,O,X,X,X,X,X,X,X,X
ISOLJZT,O,X,O,O,X,X,X,X,X,X,X,X
ISOLZTJ,O,X,O,O,X,X,X,X,X,X,X,X
ISOLZJT,O,X,O,O,X,X,X,X,X,X,X,X
ISOJTLZ,O,X,X,O,X,X,X,X,X,X,X,X
ISOJTZL,O,X,X,O,X,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,O,X,X,X,X,X,X,X,X
ISOJLZT,O,X,X,O,X,X,X,X,X,X,X,X
ISOJZTL,O,X,X,O,X,X,X,X,X,X,X,O
ISOJZLT,O,X,X,O,X,X,X,X,X,X,X,O
ISOZTLJ,O,O,O,O,X,X,X,X,X,X,X,X
ISOZTJL,O,O,O,O,X,X,X,X,X,X,X,X
ISOZLTJ,O,O,O,O,X,X,X,X,X,X,X,X
ISOZLJT,O,O,O,O,X,X,X,X,X,X,X,X
ISOZJTL,O,O,O,O,X,X,X,X,X,X,X,X
ISOZJLT,O,O,O,O,X,X,X,X,X,X,X,X
IZTLJSO,O,X,O,X,O,X,X,X,X,X,X,X
IZTLJOS,X,X,O,X,X,X,X,X,X,X,X,X
IZTLSJO,O,X,O,X,X,X,O,O,X,X,X,X
IZTLSOJ,O,X,O,X,X,X,O,X,X,X,X,X
IZTLOJS,X,X,O,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,X,O,X,X,X,X,X,X,X,X,X
IZTJLSO,O,X,O,X,O,X,X,X,O,X,X,X
IZTJLOS,X,X,O,X,X,X,X,X,O,X,X,X
IZTJSLO,O,X,O,X,O,X,X,X,O,X,X,X
IZTJSOL,O,X,O,X,O,X,X,X,O,X,X,X
IZTJOLS,O,X,X,X,X,X,X,X,X,X,X,X
IZTJOSL,O,X,X,X,X,X,X,X,X,X,X,X
IZTSLJO,O,O,O,X,X,O,O,O,X,O,X,X
IZTSLOJ,O,O,O,X,X,X,O,X,X,X,X,X
IZTSJLO,O,O,O,X,X,O,O,O,X,O,X,X
IZTSJOL,O,O,O,X,X,O,X,X,X,O,X,X
IZTSOLJ,O,O,O,X,X,X,O,X,X,X,X,X
IZTSOJL,O,O,O,X,X,X,X,X,X,O,X,X
IZTOLJS,O,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,O,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,O,X,X,X,X,X,X,X,X,X,X,X
IZTOJSL,O,X,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,O,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,O,X,X,X,X,X,X,X,X,X,X,X
IZLTJSO,O,X,O,X,O,X,X,X,X,X,X,X
IZLTJOS,X,X,O,X,X,X,X,X,X,X,X,X
IZLTSJO,O,X,O,X,X,X,O,O,X,X,X,X
IZLTSOJ,O,X,O,X,X,X,O,X,X,X,X,X
