sequence,v115@MhB8CeA8EeB8BeB8CeE8JeT/IvhF2lBRhBfoB6oBUq?BFrB,v115@MhB8CeA8EeB8BeB8CeE8JeT/IvhF2lBRhBSoBUoBFq?BXrB,v115@MhB8CeA8EeB8BeB8CeE8Jei/IvhFRhBziB+oBfqBVr?B0qB,v115@MhB8CeA8EeB8BeB8CeE8Jex/IvhFihBziB+oBlkBcq?BXrB,v115@MhB8CeA8EeB8BeB8CeE8Jei/IvhFRhBGjBzkBUoBFr?B3qB,v115@MhB8CeA8EeB8BeB8CeE8Jem/IvhFRhBCjB0kBToBFr?B3qB,v115@MhB8CeA8EeB8BeB8CeE8Je/EJvhFihBziB+oBxqB0q?BFqB,v115@MhB8CeA8EeB8BeB8CeE8Je/EJvhFUgBRhBCjBVrBTo?B2vB,v115@MhB8CeA8EeB8BeB8CeE8JeRBJvhFCjB0kBllBToBXr?BmpB
TZIOJSL,O,X,X,O,O,O,X,X,X
TZIOSLJ,O,X,X,X,O,O,X,O,X
TZIOSJL,O,X,X,X,O,O,X,O,X
TZLIJSO,O,X,X,O,O,O,X,X,X
TZLIJOS,O,O,O,O,O,O,X,X,X
TZLISJO,O,X,X,O,O,O,X,O,X
TZLISOJ,O,X,X,X,X,X,X,O,X
TZLIOJS,O,O,X,O,O,O,X,X,X
TZLIOSJ,O,X,X,X,O,O,X,X,X
TZLJISO,O,X,X,O,O,O,X,O,X
TZLJIOS,O,O,O,O,O,O,X,X,X
TZLJSIO,O,X,X,O,O,O,X,O,X
TZLJSOI,O,X,X,O,X,X,X,O,X
TZLJOIS,O,O,O,O,O,O,X,X,X
TZLJOSI,O,O,X,O,O,O,X,X,X
TZLSIJO,O,O,X,O,O,O,X,O,X
TZLSIOJ,O,O,X,X,X,X,X,O,X
TZLSJIO,O,O,X,O,O,O,X,O,X
TZLSJOI,O,O,X,O,X,X,X,O,X
TZLSOIJ,O,O,X,X,X,X,X,O,X
TZLSOJI,O,O,X,X,X,X,X,X,X
TZLOIJS,O,O,X,O,O,O,X,X,X
TZLOISJ,O,X,X,X,O,O,X,X,O
TZLOJIS,O,O,X,O,O,O,X,X,X
TZLOJSI,O,O,X,O,O,O,X,X,O
TZLOSIJ,O,O,X,X,O,O,X,X,O
TZLOSJI,O,O,X,X,O,O,X,X,O
TZJILSO,O,X,X,O,O,O,X,O,X
TZJILOS,O,O,O,O,O,O,X,X,X
TZJISLO,O,X,O,O,O,O,X,O,X
TZJISOL,O,X,O,O,O,O,X,O,X
TZJIOLS,O,O,O,O,O,O,X,O,X
TZJIOSL,O,X,O,O,O,O,X,O,X
TZJLISO,O,X,X,O,O,O,X,O,X
TZJLIOS,O,O,O,O,O,O,X,X,X
TZJLSIO,O,X,X,O,O,O,X,O,X
TZJLSOI,O,X,X,O,X,X,X,O,X
TZJLOIS,O,O,O,O,O,O,X,X,X
TZJLOSI,O,O,X,O,O,O,X,X,X
TZJSILO,O,X,O,O,O,O,X,O,X
TZJSIOL,O,X,O,O,O,O,X,O,X
TZJSLIO,O,X,O,O,O,O,X,O,X
TZJSLOI,O,X,O,O,X,X,X,O,X
TZJSOIL,O,X,O,O,O,O,X,O,X
TZJSOLI,O,X,O,O,O,O,X,O,X
TZJOILS,O,O,O,O,O,O,X,O,X
TZJOISL,O,X,O,O,O,O,X,O,X
TZJOLIS,O,O,O,O,O,O,X,O,X
TZJOLSI,O,O,X,O,O,O,X,O,O
TZJOSIL,O,X,O,O,O,O,X,O,X
TZJOSLI,O,X,O,O,O,O,X,O,X
TZSILJO,O,O,O,O,O,O,X,O,X
TZSILOJ,O,O,X,X,X,X,X,O,O
TZSIJLO,O,O,O,O,O,O,X,O,X
TZSIJOL,O,O,O,O,O,O,X,O,O
TZSIOLJ,O,O,X,X,O,O,X,O,O
TZSIOJL,O,O,X,X,O,O,X,O,O
TZSLIJO,O,O,O,O,O,O,X,O,X
TZSLIOJ,O,O,X,X,X,X,X,O,O
TZSLJIO,O,O,O,O,O,O,X,O,X
TZSLJOI,O,O,O,O,X,X,X,O,X
TZSLOIJ,O,O,X,X,X,X,X,O,O
TZSLOJI,O,O,X,X,X,X,X,O,O
TZSJILO,O,O,O,O,O,O,X,O,X
TZSJIOL,O,O,O,O,O,O,X,O,O
TZSJLIO,O,O,O,O,O,O,X,O,X
TZSJLOI,O,O,O,O,X,X,X,O,X
TZSJOIL,O,O,O,O,O,O,X,O,O
TZSJOLI,O,O,O,O,O,O,X,O,O
TZSOILJ,O,O,X,X,O,O,X,O,O
TZSOIJL,O,O,X,X,O,O,X,O,O
TZSOLIJ,O,O,X,X,O,O,X,O,O
TZSOLJI,O,O,X,X,O,O,X,O,O
TZSOJIL,O,O,X,X,O,O,X,O,O
TZSOJLI,O,O,X,X,O,O,X,O,O
TZOILJS,O,O,X,O,O,O,X,X,X
TZOILSJ,O,X,X,X,O,O,X,O,O
TZOIJLS,O,O,X,O,O,O,X,X,X
TZOIJSL,O,X,X,O,O,O,X,X,X
TZOISLJ,O,X,X,X,O,O,X,O,X
TZOISJL,O,X,X,X,O,O,X,O,X
TZOLIJS,O,O,X,O,O,O,X,X,X
TZOLISJ,O,X,X,X,O,O,X,O,O
TZOLJIS,O,O,X,O,O,O,X,O,X
TZOLJSI,O,O,X,O,O,O,X,O,O
TZOLSIJ,O,O,X,X,O,O,X,O,O
TZOLSJI,O,O,X,X,O,O,X,O,O
TZOJILS,O,O,X,O,O,O,X,O,X
TZOJISL,O,X,X,O,O,O,X,O,X
TZOJLIS,O,O,X,O,O,O,X,O,X
TZOJLSI,O,O,X,O,O,O,X,O,O
TZOJSIL,O,X,X,O,O,O,X,O,X
TZOJSLI,O,X,X,O,O,O,X,O,X
TZOSILJ,O,O,X,X,O,O,X,O,O
TZOSIJL,O,O,X,X,O,O,X,O,O
TZOSLIJ,O,O,X,X,O,O,X,O,O
TZOSLJI,O,O,X,X,O,O,X,O,O
TZOSJIL,O,O,X,X,O,O,X,O,O
TZOSJLI,O,O,X,X,O,O,X,O,O
TOILJSZ,O,O,O,X,X,X,X,O,X
TOILJZS,X,O,O,X,O,O,X,O,X
TOILSJZ,O,O,X,X,X,X,X,O,O
TOILSZJ,O,O,X,X,O,O,X,O,O
TOILZJS,X,O,X,X,O,O,X,X,X
TOILZSJ,X,X,X,X,O,O,X,O,X
TOIJLSZ,O,O,O,X,X,X,X,O,X
TOIJLZS,X,O,O,O,O,O,X,O,X
TOIJSLZ,O,O,O,X,X,X,X,O,X
TOIJSZL,O,X,O,O,X,X,X,O,X
TOIJZLS,X,O,O,O,O,O,X,O,X
TOIJZSL,O,X,O,O,O,O,X,O,X
TOISLJZ,O,O,O,X,X,X,X,O,O
TOISLZJ,O,O,X,X,O,O,X,O,O
TOISJLZ,O,O,O,X,X,X,X,O,O
TOISJZL,O,O,O,X,X,X,X,O,O
TOISZLJ,O,O,X,X,O,O,X,O,O
TOISZJL,O,O,X,X,O,O,X,O,O
TOIZLJS,O,O,X,O,O,O,X,X,X
TOIZLSJ,O,X,X,X,O,O,X,O,X
TOIZJLS,O,O,X,O,O,O,X,X,X
TOIZJSL,O,X,X,O,O,O,X,X,X
TOIZSLJ,O,X,X,X,O,O,X,O,X
TOIZSJL,O,X,X,X,O,O,X,O,X
TOLIJSZ,O,O,O,X,X,X,X,O,X
TOLIJZS,X,O,O,X,O,O,X,O,X
TOLISJZ,O,O,X,X,X,X,X,O,O
TOLISZJ,O,O,X,X,O,O,X,O,O
TOLIZJS,X,O,X,X,O,O,X,X,X
TOLIZSJ,X,X,X,X,O,O,X,O,X
TOLJISZ,O,O,O,X,X,X,X,O,X
TOLJIZS,X,O,O,X,O,O,X,O,X
TOLJSIZ,O,O,O,X,X,X,X,O,X
TOLJSZI,O,O,X,X,X,X,X,O,X
TOLJZIS,X,O,O,X,O,O,X,O,X
TOLJZSI,X,O,X,X,O,O,X,O,X
TOLSIJZ,O,O,X,X,X,X,X,O,O
TOLSIZJ,O,O,X,X,O,O,X,O,O
TOLSJIZ,O,O,X,X,X,X,X,O,O
TOLSJZI,O,O,X,X,X,X,X,O,O
TOLSZIJ,O,O,X,X,O,O,X,O,O
TOLSZJI,O,O,X,X,O,O,X,O,O
TOLZIJS,O,O,X,X,O,O,X,X,X
TOLZISJ,O,X,X,X,O,O,X,O,O
TOLZJIS,O,O,X,X,O,O,X,O,X
TOLZJSI,O,O,X,X,O,O,X,O,O
TOLZSIJ,O,O,X,X,O,O,X,O,O
TOLZSJI,O,O,X,X,O,O,X,O,O
TOJILSZ,O,O,O,X,X,X,X,O,X
TOJILZS,X,O,O,O,O,O,X,O,X
TOJISLZ,O,O,O,X,X,X,X,O,X
TOJISZL,O,X,O,O,X,X,X,O,X
TOJIZLS,X,O,O,O,O,O,X,O,X
TOJIZSL,O,X,O,O,O,O,X,O,X
TOJLISZ,O,O,O,X,X,X,X,O,X
TOJLIZS,X,O,O,O,O,O,X,O,X
TOJLSIZ,O,O,O,X,X,X,X,O,X
TOJLSZI,O,O,O,X,X,X,X,O,X
TOJLZIS,X,O,O,O,O,O,X,O,X
TOJLZSI,X,O,X,O,O,O,X,O,X
TOJSILZ,O,O,O,X,X,X,X,O,X
TOJSIZL,O,O,O,O,X,X,X,O,X
TOJSLIZ,O,O,O,X,X,X,X,O,X
TOJSLZI,O,O,O,X,X,X,X,O,X
TOJSZIL,O,O,O,O,X,X,X,O,X
TOJSZLI,O,O,O,O,X,X,X,O,X
TOJZILS,O,O,O,O,O,O,X,O,X
TOJZISL,O,X,O,O,O,O,X,O,X
TOJZLIS,O,O,O,O,O,O,X,O,X
TOJZLSI,O,O,X,O,O,O,X,O,X
TOJZSIL,O,X,O,O,O,O,X,O,X
TOJZSLI,O,X,O,O,O,O,X,O,X
TOSILJZ,O,O,O,X,X,X,X,O,O
TOSILZJ,O,O,X,X,O,O,X,O,O
TOSIJLZ,O,O,O,X,X,X,X,O,O
TOSIJZL,O,O,O,X,X,X,X,O,O
TOSIZLJ,O,O,X,X,O,O,X,O,O
TOSIZJL,O,O,X,X,O,O,X,O,O
TOSLIJZ,O,O,O,X,X,X,X,O,O
TOSLIZJ,O,O,X,X,O,O,X,O,O
TOSLJIZ,O,O,O,X,X,X,X,O,O
TOSLJZI,O,O,O,X,X,X,X,O,O
TOSLZIJ,O,O,X,X,O,O,X,O,O
TOSLZJI,O,O,X,X,O,O,X,O,O
TOSJILZ,O,O,O,X,X,X,X,O,O
TOSJIZL,O,O,O,X,X,X,X,O,O
TOSJLIZ,O,O,O,X,X,X,X,O,O
TOSJLZI,O,O,O,X,X,X,X,O,O
TOSJZIL,O,O,O,X,X,X,X,O,O
TOSJZLI,O,O,O,X,X,X,X,O,O
TOSZILJ,O,O,X,X,O,O,X,O,O
TOSZIJL,O,O,X,X,O,O,X,O,O
TOSZLIJ,O,O,X,X,O,O,X,O,O
TOSZLJI,O,O,X,X,O,O,X,O,O
TOSZJIL,O,O,X,X,O,O,X,O,O
TOSZJLI,O,O,X,X,O,O,X,O,O
TOZILJS,O,O,X,O,O,O,X,X,X
TOZILSJ,O,X,X,X,O,O,X,O,O
TOZIJLS,O,O,X,O,O,O,X,X,X
TOZIJSL,O,X,X,O,O,O,X,X,X
TOZISLJ,O,X,X,X,O,O,X,O,X
TOZISJL,O,X,X,X,O,O,X,O,X
TOZLIJS,O,O,X,O,O,O,X,X,X
TOZLISJ,O,X,X,X,O,O,X,O,O
TOZLJIS,O,O,X,O,O,O,X,O,X
TOZLJSI,O,O,X,O,O,O,X,O,O
TOZLSIJ,O,O,X,X,O,O,X,O,O
TOZLSJI,O,O,X,X,O,O,X,O,O
TOZJILS,O,O,X,O,O,O,X,O,X
TOZJISL,O,X,X,O,O,O,X,O,X
TOZJLIS,O,O,X,O,O,O,X,O,X
TOZJLSI,O,O,X,O,O,O,X,O,O
TOZJSIL,O,X,X,O,O,O,X,O,X
TOZJSLI,O,X,X,O,O,O,X,O,X
TOZSILJ,O,O,X,X,O,O,X,O,O
TOZSIJL,O,O,X,X,O,O,X,O,O
TOZSLIJ,O,O,X,X,O,O,X,O,O
TOZSLJI,O,O,X,X,O,O,X,O,O
TOZSJIL,O,O,X,X,O,O,X,O,O
TOZSJLI,O,O,X,X,O,O,X,O,O
ITLJSZO,O,X,O,X,X,X,O,O,X
ITLJSOZ,O,O,O,X,X,X,O,O,X
ITLJZSO,X,X,X,O,O,O,X,O,X
ITLJZOS,X,O,O,O,O,O,X,X,X
ITLJOSZ,O,O,O,X,X,X,O,O,X
ITLJOZS,X,O,O,O,X,X,X,X,X
ITLSJZO,O,O,O,X,X,X,O,O,X
ITLSJOZ,O,O,O,X,X,X,O,O,X
ITLSZJO,O,O,O,X,O,O,X,O,X
ITLSZOJ,O,O,X,X,X,X,X,O,X
ITLSOJZ,O,O,O,X,X,X,X,O,X
ITLSOZJ,O,O,X,X,X,X,X,O,X
ITLZJSO,X,X,X,O,O,O,X,X,X
ITLZJOS,X,O,O,O,O,O,X,X,X
ITLZSJO,X,X,X,O,O,O,X,O,X
ITLZSOJ,X,X,X,X,X,X,X,O,X
ITLZOJS,X,O,X,O,O,O,X,X,X
ITLZOSJ,X,X,X,X,O,O,X,X,X
ITLOJSZ,O,O,O,X,X,X,X,O,X
ITLOJZS,X,O,O,X,O,O,X,X,X
ITLOSJZ,O,O,X,X,X,X,X,O,X
ITLOSZJ,O,O,X,X,O,O,X,O,X
ITLOZJS,X,O,X,X,O,O,X,X,X
ITLOZSJ,X,X,X,X,O,O,X,O,X
ITJLSZO,O,X,O,X,X,X,O,O,X
ITJLSOZ,O,O,O,X,X,X,O,O,X
ITJLZSO,X,X,X,O,O,O,X,O,X
ITJLZOS,X,O,O,O,O,O,X,X,X
ITJLOSZ,O,O,O,X,X,X,O,O,X
ITJLOZS,X,O,O,O,X,X,X,O,X
ITJSLZO,O,X,O,X,X,X,O,O,X
ITJSLOZ,O,O,O,X,X,X,O,O,X
ITJSZLO,O,X,O,O,X,X,O,O,X
ITJSZOL,O,X,O,O,X,X,O,O,X
ITJSOLZ,O,O,O,X,X,X,O,O,X
ITJSOZL,O,X,O,O,X,X,O,O,X
ITJZLSO,X,X,X,O,O,O,X,O,X
ITJZLOS,X,O,O,O,O,O,X,X,X
ITJZSLO,O,X,O,O,O,O,X,O,X
ITJZSOL,O,X,O,O,O,O,X,O,X
ITJZOLS,X,O,O,O,O,O,X,O,X
ITJZOSL,O,X,O,O,O,O,X,O,X
ITJOLSZ,O,O,O,X,X,X,O,O,X
ITJOLZS,X,O,O,O,O,O,X,O,X
ITJOSLZ,O,O,O,X,X,X,O,O,X
ITJOSZL,O,X,O,O,X,X,O,O,X
ITJOZLS,X,O,O,O,O,O,X,O,X
ITJOZSL,O,X,O,O,O,O,X,O,X
ITSLJZO,O,O,O,X,X,X,O,O,X
ITSLJOZ,O,O,O,X,X,X,O,O,X
ITSLZJO,O,O,O,X,O,O,X,O,X
ITSLZOJ,O,O,X,X,X,X,X,O,O
ITSLOJZ,O,O,O,X,X,X,X,O,O
ITSLOZJ,O,O,X,X,X,X,X,O,O
ITSJLZO,O,O,O,X,X,X,O,O,X
ITSJLOZ,O,O,O,X,X,X,O,O,X
ITSJZLO,O,O,O,O,X,X,O,O,X
ITSJZOL,O,O,O,O,X,X,O,O,O
ITSJOLZ,O,O,O,X,X,X,O,O,O
ITSJOZL,O,O,O,O,X,X,O,O,O
ITSZLJO,O,O,O,O,O,O,X,O,X
ITSZLOJ,O,O,X,X,X,X,X,O,O
ITSZJLO,O,O,O,O,O,O,X,O,X
ITSZJOL,O,O,O,O,O,O,X,O,O
ITSZOLJ,O,O,X,X,O,O,X,O,O
ITSZOJL,O,O,X,X,O,O,X,O,O
ITSOLJZ,O,O,O,X,X,X,X,O,O
ITSOLZJ,O,O,X,X,O,O,X,O,O
ITSOJLZ,O,O,O,X,X,X,X,O,O
ITSOJZL,O,O,O,X,X,X,X,O,O
ITSOZLJ,O,O,X,X,O,O,X,O,O
ITSOZJL,O,O,X,X,O,O,X,O,O
ITZLJSO,O,X,X,O,O,O,X,X,X
ITZLJOS,O,O,O,O,O,O,X,X,X
ITZLSJO,O,X,X,O,O,O,X,O,X
ITZLSOJ,O,X,X,X,X,X,X,O,X
ITZLOJS,O,O,X,O,O,O,X,X,X
ITZLOSJ,O,X,X,X,O,O,X,X,X
ITZJLSO,O,X,X,O,O,O,X,X,X
ITZJLOS,O,O,O,O,O,O,X,X,X
ITZJSLO,O,X,O,O,O,O,X,X,X
ITZJSOL,O,X,O,O,O,O,X,X,X
ITZJOLS,O,O,O,O,O,O,X,X,X
ITZJOSL,O,X,O,O,O,O,X,X,X
ITZSLJO,O,X,O,O,O,O,X,O,X
ITZSLOJ,O,X,X,X,X,X,X,O,X
ITZSJLO,O,X,O,O,O,O,X,O,X
ITZSJOL,O,X,O,O,O,O,X,O,X
ITZSOLJ,O,X,X,X,O,O,X,O,X
ITZSOJL,O,X,X,X,O,O,X,O,X
ITZOLJS,O,O,X,O,O,O,X,X,X
ITZOLSJ,O,X,X,X,O,O,X,O,X
ITZOJLS,O,O,X,O,O,O,X,X,X
ITZOJSL,O,X,X,O,O,O,X,X,X
ITZOSLJ,O,X,X,X,O,O,X,O,X
ITZOSJL,O,X,X,X,O,O,X,O,X
ITOLJSZ,O,O,O,X,X,X,X,O,X
ITOLJZS,X,O,O,X,O,O,X,O,X
ITOLSJZ,O,O,X,X,X,X,X,O,O
ITOLSZJ,O,O,X,X,O,O,X,O,O
ITOLZJS,X,O,X,X,O,O,X,X,X
ITOLZSJ,X,X,X,X,O,O,X,O,X
ITOJLSZ,O,O,O,X,X,X,X,O,X
ITOJLZS,X,O,O,O,O,O,X,O,X
ITOJSLZ,O,O,O,X,X,X,X,O,X
ITOJSZL,O,X,O,O,X,X,X,O,X
ITOJZLS,X,O,O,O,O,O,X,O,X
ITOJZSL,O,X,O,O,O,O,X,O,X
ITOSLJZ,O,O,O,X,X,X,X,O,O
ITOSLZJ,O,O,X,X,O,O,X,O,O
ITOSJLZ,O,O,O,X,X,X,X,O,O
ITOSJZL,O,O,O,X,X,X,X,O,O
ITOSZLJ,O,O,X,X,O,O,X,O,O
ITOSZJL,O,O,X,X,O,O,X,O,O
ITOZLJS,O,O,X,O,O,O,X,X,X
ITOZLSJ,O,X,X,X,O,O,X,O,X
ITOZJLS,O,O,X,O,O,O,X,X,X
ITOZJSL,O,X,X,O,O,O,X,X,X
ITOZSLJ,O,X,X,X,O,O,X,O,X
ITOZSJL,O,X,X,X,O,O,X,O,X
ILTJSZO,O,X,O,X,X,X,O,O,X
ILTJSOZ,O,O,O,X,X,X,O,O,X
ILTJZSO,X,X,X,X,O,O,X,O,X
ILTJZOS,X,O,O,X,O,O,X,X,X
ILTJOSZ,O,O,O,X,X,X,O,O,X
ILTJOZS,X,O,O,X,X,X,X,X,X
ILTSJZO,O,O,O,X,X,X,O,O,X
ILTSJOZ,O,O,O,X,X,X,O,O,X
ILTSZJO,O,O,O,X,O,O,X,O,X
ILTSZOJ,O,O,X,X,X,X,X,O,X
ILTSOJZ,O,O,O,X,X,X,X,O,X
ILTSOZJ,O,O,X,X,X,X,X,O,X
ILTZJSO,X,X,X,X,O,O,X,X,X
ILTZJOS,X,O,O,X,O,O,X,X,X
ILTZSJO,X,X,X,X,O,O,X,O,X
ILTZSOJ,X,X,X,X,X,X,X,O,X
ILTZOJS,X,O,X,X,O,O,X,X,X
ILTZOSJ,X,X,X,X,O,O,X,X,X
ILTOJSZ,O,O,O,X,X,X,X,O,X
ILTOJZS,X,O,O,X,O,O,X,X,X
ILTOSJZ,O,O,X,X,X,X,X,O,X
ILTOSZJ,O,O,X,X,O,O,X,O,X
ILTOZJS,X,O,X,X,O,O,X,X,X
ILTOZSJ,X,X,X,X,O,O,X,O,X
ILJTSZO,X,X,O,X,X,X,O,O,X
ILJTSOZ,X,O,O,X,X,X,O,X,X
ILJTZSO,X,X,X,X,X,O,X,X,X
ILJTZOS,X,O,O,X,X,O,X,X,X
ILJTOSZ,X,O,O,X,X,X,O,X,X
ILJTOZS,X,O,O,X,X,X,X,X,X
ILJSTZO,X,O,O,X,X,X,O,X,X
ILJSTOZ,X,O,O,X,X,X,O,X,X
ILJSZTO,X,X,X,O,X,X,O,X,X
ILJSZOT,X,O,O,O,X,X,O,X,X
ILJSOTZ,X,O,O,X,X,X,O,X,X
ILJSOZT,X,O,O,O,X,X,O,X,X
ILJZTSO,X,X,X,O,O,O,X,X,X
ILJZTOS,X,X,X,O,O,O,X,X,X
ILJZSTO,X,X,X,X,O,O,O,X,X
ILJZSOT,X,X,X,O,O,O,O,X,X
ILJZOTS,X,X,O,O,O,O,X,X,X
ILJZOST,X,X,O,O,O,O,O,X,X
ILJOTSZ,X,X,O,X,X,X,O,X,X
ILJOTZS,X,X,O,X,X,X,X,X,X
ILJOSTZ,X,X,O,X,X,X,O,X,X
ILJOSZT,X,X,O,O,X,X,O,X,X
ILJOZTS,X,X,O,O,X,X,X,X,X
ILJOZST,X,X,O,O,X,X,O,X,X
ILSTJZO,O,O,O,X,X,X,O,O,X
ILSTJOZ,O,O,O,X,X,X,O,O,X
ILSTZJO,O,O,O,X,X,O,X,O,X
ILSTZOJ,O,O,X,X,X,X,X,O,O
ILSTOJZ,O,O,O,X,X,X,X,X,O
ILSTOZJ,O,O,X,X,X,X,X,O,O
ILSJTZO,O,O,O,X,X,X,O,X,X
ILSJTOZ,O,O,O,X,X,X,O,X,X
ILSJZTO,O,X,X,O,X,X,O,X,X
ILSJZOT,O,O,O,O,X,X,O,X,X
ILSJOTZ,X,O,O,X,X,X,O,X,X
ILSJOZT,X,O,O,O,X,X,O,X,X
ILSZTJO,O,O,X,O,X,X,X,X,X
ILSZTOJ,O,O,X,O,X,X,X,X,X
ILSZJTO,O,X,X,O,O,O,O,X,X
ILSZJOT,O,O,O,O,O,O,O,X,X
ILSZOTJ,O,X,X,X,X,X,X,X,X
ILSZOJT,O,O,X,O,X,X,X,X,X
ILSOTJZ,O,O,X,X,X,X,X,X,O
ILSOTZJ,O,O,X,X,X,X,X,X,O
ILSOJTZ,X,O,O,X,X,X,O,X,O
ILSOJZT,X,O,O,X,X,X,O,X,X
ILSOZTJ,O,X,X,X,X,X,X,X,O
ILSOZJT,O,O,X,X,X,X,X,X,X
ILZTJSO,X,X,X,O,O,O,X,X,X
ILZTJOS,X,O,X,O,O,O,X,X,X
ILZTSJO,X,X,X,O,O,O,X,O,X
ILZTSOJ,X,X,X,X,X,X,X,O,X
ILZTOJS,X,O,X,O,O,O,X,X,X
ILZTOSJ,X,X,X,X,O,X,X,X,X
ILZJTSO,X,X,X,O,O,O,X,X,X
ILZJTOS,X,X,X,O,O,O,X,X,X
ILZJSTO,O,X,X,X,O,O,O,X,X
ILZJSOT,O,X,X,O,O,O,O,X,X
ILZJOTS,X,X,O,O,O,O,X,X,X
ILZJOST,O,X,O,O,O,O,O,X,X
ILZSTJO,O,O,X,X,X,X,X,X,X
ILZSTOJ,O,O,X,X,X,X,X,X,X
ILZSJTO,O,X,X,X,O,O,O,X,X
ILZSJOT,O,O,X,O,O,O,O,X,X
ILZSOTJ,O,X,X,X,X,X,X,X,X
ILZSOJT,O,O,X,X,X,X,X,X,X
ILZOTJS,X,X,X,X,O,O,X,X,X
ILZOTSJ,X,X,X,X,O,X,X,X,X
ILZOJTS,X,X,X,O,O,O,X,X,X
ILZOJST,O,X,X,O,O,O,X,X,X
ILZOSTJ,O,X,X,X,X,X,X,X,X
ILZOSJT,O,X,X,X,O,O,X,X,X
ILOTJSZ,X,O,X,X,X,X,X,O,X
ILOTJZS,X,O,X,X,O,O,X,X,X
ILOTSJZ,X,O,X,X,X,X,X,O,O
ILOTSZJ,X,O,X,X,O,O,X,O,O
ILOTZJS,X,O,X,X,O,O,X,X,X
ILOTZSJ,X,X,X,X,O,O,X,O,X
ILOJTSZ,X,X,O,X,X,X,O,O,X
ILOJTZS,X,X,O,X,X,O,X,X,X
ILOJSTZ,X,X,O,X,X,X,O,X,O
ILOJSZT,X,X,O,X,X,X,O,X,X
ILOJZTS,X,X,O,X,O,O,X,X,X
ILOJZST,X,X,O,X,O,O,O,X,X
ILOSTJZ,X,O,X,X,X,X,X,O,O
ILOSTZJ,X,O,X,X,X,O,X,O,O
ILOSJTZ,X,O,X,X,X,X,O,X,O
ILOSJZT,X,O,X,X,X,X,O,X,X
ILOSZTJ,X,X,X,X,X,X,X,X,O
ILOSZJT,X,O,X,X,O,O,X,X,X
ILOZTJS,X,X,X,X,O,O,X,X,X
ILOZTSJ,X,X,X,X,O,O,X,O,X
ILOZJTS,X,X,X,X,O,O,X,X,X
ILOZJST,X,X,X,X,O,O,X,X,X
ILOZSTJ,X,X,X,X,X,X,X,X,O
ILOZSJT,X,X,X,X,O,O,X,X,X
IJTLSZO,O,X,O,X,X,X,O,O,X
IJTLSOZ,O,O,O,X,X,X,O,X,X
IJTLZSO,X,X,X,O,O,O,X,X,X
IJTLZOS,X,O,O,O,O,O,X,X,X
IJTLOSZ,O,O,O,X,X,X,O,X,X
IJTLOZS,X,O,O,O,X,X,X,X,X
IJTSLZO,O,X,O,X,X,X,O,O,X
IJTSLOZ,O,O,O,X,X,X,O,X,X
IJTSZLO,O,X,O,O,X,X,O,O,X
IJTSZOL,O,X,O,O,X,X,O,O,X
IJTSOLZ,O,O,O,X,X,X,O,O,X
IJTSOZL,O,X,O,O,X,X,O,O,X
IJTZLSO,X,X,X,O,O,O,X,X,X
IJTZLOS,X,O,O,O,O,O,X,X,X
IJTZSLO,O,X,O,O,O,O,X,X,X
IJTZSOL,O,X,O,O,O,O,X,X,X
IJTZOLS,X,O,O,O,O,O,X,X,X
IJTZOSL,O,X,O,O,O,O,X,X,X
IJTOLSZ,O,O,O,X,X,X,O,O,X
IJTOLZS,X,O,O,O,O,O,X,X,X
IJTOSLZ,O,O,O,X,X,X,O,O,X
IJTOSZL,O,X,O,O,X,X,O,O,X
IJTOZLS,X,O,O,O,O,O,X,X,X
IJTOZSL,O,X,O,O,O,O,X,X,X
IJLTSZO,X,X,O,X,X,X,O,O,X
IJLTSOZ,X,O,O,X,X,X,O,X,X
IJLTZSO,X,X,X,X,X,O,X,X,X
IJLTZOS,X,O,O,X,X,O,X,X,X
IJLTOSZ,X,O,O,X,X,X,O,X,X
IJLTOZS,X,O,O,X,X,X,X,X,X
IJLSTZO,X,O,O,X,X,X,O,X,X
IJLSTOZ,X,O,O,X,X,X,O,X,X
IJLSZTO,X,X,X,O,X,X,O,X,X
IJLSZOT,X,O,O,O,X,X,O,X,X
IJLSOTZ,X,O,O,X,X,X,O,X,X
IJLSOZT,X,O,O,O,X,X,O,X,X
IJLZTSO,X,X,X,O,O,O,X,X,X
IJLZTOS,X,X,X,O,O,O,X,X,X
IJLZSTO,X,X,X,X,O,O,O,X,X
IJLZSOT,X,X,X,O,O,O,O,X,X
IJLZOTS,X,X,O,O,O,O,X,X,X
IJLZOST,X,X,O,O,O,O,O,X,X
IJLOTSZ,X,X,O,X,X,X,O,X,X
IJLOTZS,X,X,O,X,X,X,X,X,X
IJLOSTZ,X,X,O,X,X,X,O,X,X
IJLOSZT,X,X,O,O,X,X,O,X,X
IJLOZTS,X,X,O,O,X,X,X,X,X
IJLOZST,X,X,O,O,X,X,O,X,X
IJSTLZO,O,O,O,X,X,X,O,X,X
IJSTLOZ,O,O,O,X,X,X,O,X,X
IJSTZLO,O,O,O,X,X,X,O,X,X
IJSTZOL,O,O,O,X,X,X,O,X,O
IJSTOLZ,O,O,O,X,X,X,O,X,O
IJSTOZL,O,O,O,X,X,X,O,X,O
IJSLTZO,O,O,O,X,X,X,O,X,X
IJSLTOZ,O,O,O,X,X,X,O,X,X
IJSLZTO,O,X,X,O,X,X,O,X,X
