sequence,v115@ShC8FeG8AeB8JeOEJvhFXgBxhBTjBUmBFnBCtB,v115@ShC8FeG8AeB8JeOEJvhFXgB0iB6oBRmBTmBlsB,v115@ShC8FeG8AeB8JeOEJvhFXgBxiBFmB6sBTtB0rB,v115@ShC8FeG8AeB8JeOEJvhFXgBVmBUiBToBxrBCtB
TSZLIJO,O,O,X,X
TSZLIOJ,O,X,X,X
TSZLJIO,O,O,X,X
TSZLJOI,O,X,X,X
TSZLOIJ,O,X,X,X
TSZLOJI,O,X,X,X
TSZJILO,O,O,X,X
TSZJIOL,X,X,X,O
TSZJLIO,O,O,X,X
TSZJLOI,O,X,X,X
TSZJOIL,X,X,X,O
TSZJOLI,X,X,X,X
TSZOILJ,X,X,X,X
TSZOIJL,X,X,X,X
TSZOLIJ,X,X,X,X
TSZOLJI,X,X,X,X
TSZOJIL,X,X,X,O
TSZOJLI,X,X,X,X
TSOILJZ,X,X,X,X
TSOILZJ,X,X,X,X
TSOIJLZ,X,X,X,X
TSOIJZL,X,X,X,O
TSOIZLJ,X,X,X,X
TSOIZJL,X,X,X,O
TSOLIJZ,X,X,O,X
TSOLIZJ,X,X,X,X
TSOLJIZ,X,X,O,X
TSOLJZI,X,X,O,X
TSOLZIJ,X,X,X,X
TSOLZJI,X,X,X,X
TSOJILZ,X,X,X,X
TSOJIZL,X,X,X,O
TSOJLIZ,X,X,O,X
TSOJLZI,X,X,O,X
TSOJZIL,X,X,X,O
TSOJZLI,X,X,X,X
TSOZILJ,X,X,X,X
TSOZIJL,X,X,X,X
TSOZLIJ,X,X,X,X
TSOZLJI,X,X,X,X
TSOZJIL,X,X,X,O
TSOZJLI,X,X,X,X
TZILJSO,O,O,X,X
TZILJOS,O,X,X,X
TZILSJO,O,O,X,X
TZILSOJ,O,X,X,X
TZILOJS,O,X,X,X
TZILOSJ,O,X,X,X
TZIJLSO,O,O,X,X
TZIJLOS,O,X,X,X
TZIJSLO,O,O,X,X
TZIJSOL,X,X,X,O
TZIJOLS,X,X,X,X
TZIJOSL,X,X,X,O
TZISLJO,O,O,X,X
TZISLOJ,O,X,X,X
TZISJLO,O,O,X,X
TZISJOL,X,X,X,O
TZISOLJ,X,X,X,X
TZISOJL,X,X,X,O
TZIOLJS,X,X,X,X
TZIOLSJ,X,X,X,X
TZIOJLS,X,X,X,X
