sequence,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8KeqEJvhFTgB0hB?liB5oB3qB2wB,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8Kez/IvhFqlBlhB?3iB5oBUqB2wB,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8KeuEJvhF3gBcmB?liB5oBTqBywB,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8KeGAJvhFliB5oB?zkB3qBirB0rB,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8KeuEJvhFliB5oB?KqBzlBfsBUrB,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8KeuEJvhFzgBliB?5oBKqBUrBfsB
LZSOJTI,O,O,X,X,X,X
LZSOJIT,O,O,X,X,X,O
LZOTIJS,X,O,O,X,O,O
LZOTISJ,O,O,O,X,X,X
LZOTJIS,X,O,O,X,O,O
LZOTJSI,X,O,O,X,X,X
LZOTSIJ,O,O,O,X,X,X
LZOTSJI,O,O,O,X,X,X
LZOITJS,X,O,O,X,O,O
LZOITSJ,O,O,O,X,X,X
LZOIJTS,X,O,O,X,O,O
LZOIJST,X,O,O,X,O,O
LZOISTJ,O,O,O,X,X,X
LZOISJT,O,O,O,X,X,O
LZOJTIS,X,O,O,X,O,O
LZOJTSI,X,O,O,X,X,X
LZOJITS,X,O,O,X,O,O
LZOJIST,X,O,O,X,O,O
LZOJSTI,X,O,O,X,X,X
LZOJSIT,X,O,O,X,X,O
LZOSTIJ,O,O,O,X,X,X
LZOSTJI,O,O,O,X,X,X
LZOSITJ,O,O,O,X,X,X
LZOSIJT,O,O,O,X,X,O
LZOSJTI,O,O,O,X,X,X
LZOSJIT,O,O,O,X,X,O
LOTIJSZ,X,X,X,X,O,X
LOTIJZS,X,X,O,X,O,X
LOTISJZ,O,X,X,O,O,X
LOTISZJ,O,X,X,O,X,X
LOTIZJS,X,X,O,X,O,X
LOTIZSJ,O,X,O,X,X,X
LOTJISZ,X,X,X,X,O,X
LOTJIZS,X,X,O,X,O,X
LOTJSIZ,X,X,X,X,O,X
LOTJSZI,X,X,X,X,X,X
LOTJZIS,X,X,O,X,O,X
LOTJZSI,X,X,O,X,X,X
LOTSIJZ,O,X,X,O,O,X
LOTSIZJ,O,X,X,O,X,X
LOTSJIZ,O,X,X,O,O,X
LOTSJZI,O,X,X,X,X,X
LOTSZIJ,O,X,X,X,X,X
LOTSZJI,O,X,X,X,X,X
LOTZIJS,X,X,O,X,O,X
LOTZISJ,O,X,O,X,X,X
LOTZJIS,X,X,O,X,O,X
LOTZJSI,X,X,O,X,X,X
LOTZSIJ,O,X,O,X,X,X
LOTZSJI,O,X,O,X,X,X
LOITJSZ,X,X,X,X,O,X
LOITJZS,X,X,O,X,O,X
LOITSJZ,O,X,X,O,O,X
LOITSZJ,O,X,X,O,X,X
LOITZJS,X,X,O,X,O,X
LOITZSJ,O,X,O,X,X,X
LOIJTSZ,X,X,X,X,O,X
LOIJTZS,X,X,O,X,O,X
LOIJSTZ,X,X,X,X,O,X
LOIJSZT,X,X,X,X,O,X
LOIJZTS,X,X,O,X,O,O
LOIJZST,X,X,O,X,O,O
LOISTJZ,O,X,X,O,O,X
LOISTZJ,O,X,X,O,X,X
LOISJTZ,O,X,X,O,O,X
LOISJZT,O,X,X,O,O,X
LOISZTJ,O,X,X,O,X,X
LOISZJT,O,X,X,O,X,X
LOIZTJS,X,X,O,X,O,O
LOIZTSJ,O,X,O,X,X,X
LOIZJTS,X,X,O,X,O,O
LOIZJST,X,X,O,X,O,O
LOIZSTJ,O,X,O,X,X,X
LOIZSJT,O,X,O,X,X,O
LOJTISZ,X,X,X,X,O,X
LOJTIZS,X,X,O,X,O,X
LOJTSIZ,X,X,X,X,O,X
LOJTSZI,X,X,X,X,X,X
LOJTZIS,X,X,O,X,O,X
LOJTZSI,X,X,O,X,X,X
LOJITSZ,X,X,X,X,O,X
LOJITZS,X,X,O,X,O,X
LOJISTZ,X,X,X,X,O,X
LOJISZT,X,X,X,X,O,X
LOJIZTS,X,X,O,X,O,O
LOJIZST,X,X,O,X,O,O
LOJSTIZ,X,X,X,X,O,X
LOJSTZI,X,X,X,X,X,X
LOJSITZ,X,X,X,X,O,X
LOJSIZT,X,X,X,X,O,X
LOJSZTI,X,X,X,X,X,X
LOJSZIT,X,X,X,X,X,X
LOJZTIS,X,X,O,X,O,O
LOJZTSI,X,X,O,X,X,X
LOJZITS,X,X,O,X,O,O
LOJZIST,X,X,O,X,O,O
LOJZSTI,X,X,O,X,X,X
LOJZSIT,X,X,O,X,X,O
LOSTIJZ,O,X,X,O,O,X
LOSTIZJ,O,X,X,O,X,X
LOSTJIZ,O,X,X,O,O,X
LOSTJZI,O,X,X,X,X,X
LOSTZIJ,O,X,X,X,X,X
LOSTZJI,O,X,X,X,X,X
LOSITJZ,O,X,X,O,O,X
LOSITZJ,O,X,X,O,X,X
LOSIJTZ,O,X,X,O,O,X
LOSIJZT,O,X,X,O,O,X
LOSIZTJ,O,X,X,O,X,X
LOSIZJT,O,X,X,O,X,X
LOSJTIZ,O,X,X,O,O,X
LOSJTZI,O,X,X,X,X,X
LOSJITZ,O,X,X,O,O,X
LOSJIZT,O,X,X,O,O,X
LOSJZTI,O,X,X,X,X,X
LOSJZIT,O,X,X,X,X,X
LOSZTIJ,O,X,X,X,X,X
LOSZTJI,O,X,X,X,X,X
LOSZITJ,O,X,X,X,X,X
LOSZIJT,O,X,X,X,X,X
LOSZJTI,O,X,X,X,X,X
LOSZJIT,O,X,X,X,X,X
LOZTIJS,X,X,O,X,O,O
LOZTISJ,O,X,O,X,X,X
LOZTJIS,X,X,O,X,O,O
LOZTJSI,X,X,O,X,X,X
LOZTSIJ,O,X,O,X,X,X
LOZTSJI,O,X,O,X,X,X
LOZITJS,X,X,O,X,O,O
LOZITSJ,O,X,O,X,X,X
LOZIJTS,X,X,O,X,O,O
LOZIJST,X,X,O,X,O,O
LOZISTJ,O,X,O,X,X,X
LOZISJT,O,X,O,X,X,O
LOZJTIS,X,X,O,X,O,O
LOZJTSI,X,X,O,X,X,X
LOZJITS,X,X,O,X,O,O
LOZJIST,X,X,O,X,O,O
LOZJSTI,X,X,O,X,X,X
LOZJSIT,X,X,O,X,X,O
LOZSTIJ,O,X,O,X,X,X
LOZSTJI,O,X,O,X,X,X
LOZSITJ,O,X,O,X,X,X
LOZSIJT,O,X,O,X,X,O
LOZSJTI,O,X,O,X,X,X
LOZSJIT,O,X,O,X,X,O
JTILSZO,O,X,X,X,X,X
JTILSOZ,O,X,X,X,O,X
JTILZSO,O,X,X,X,X,O
JTILZOS,X,X,X,X,O,O
JTILOSZ,X,X,X,X,O,X
JTILOZS,X,X,O,X,O,X
JTISLZO,O,X,X,X,X,X
JTISLOZ,O,X,X,X,O,X
JTISZLO,O,O,X,X,X,X
JTISZOL,X,O,X,X,X,X
JTISOLZ,X,X,X,O,X,X
JTISOZL,X,X,O,O,X,X
JTIZLSO,O,O,X,X,X,X
JTIZLOS,X,O,X,X,O,X
JTIZSLO,O,O,X,X,X,X
JTIZSOL,X,O,X,X,X,X
JTIZOLS,X,O,O,X,X,X
JTIZOSL,X,O,O,X,X,X
JTIOLSZ,X,X,X,X,O,X
JTIOLZS,X,X,O,X,O,X
JTIOSLZ,X,X,X,O,X,X
JTIOSZL,X,X,O,O,X,X
JTIOZLS,X,X,O,X,X,X
JTIOZSL,X,X,O,X,X,X
JTLISZO,O,X,X,X,X,X
JTLISOZ,O,X,X,X,O,X
JTLIZSO,O,X,X,X,X,O
JTLIZOS,X,X,X,X,O,O
JTLIOSZ,X,X,X,X,O,X
JTLIOZS,X,X,O,X,O,X
JTLSIZO,O,X,X,X,X,X
JTLSIOZ,O,X,X,X,O,X
JTLSZIO,O,X,X,X,X,X
JTLSZOI,O,X,X,X,X,X
JTLSOIZ,O,X,X,X,O,X
JTLSOZI,O,X,X,X,X,X
JTLZISO,O,X,X,X,X,O
JTLZIOS,X,X,X,X,O,O
JTLZSIO,O,X,X,X,X,X
JTLZSOI,O,X,X,X,X,X
JTLZOIS,X,X,X,X,O,O
JTLZOSI,X,X,X,X,X,X
JTLOISZ,X,X,X,X,O,X
JTLOIZS,X,X,O,X,O,X
JTLOSIZ,X,X,X,X,O,X
JTLOSZI,X,X,X,X,X,X
JTLOZIS,X,X,O,X,O,X
JTLOZSI,X,X,O,X,X,X
JTSILZO,O,X,X,X,X,X
JTSILOZ,O,X,X,X,O,X
JTSIZLO,O,O,X,X,X,X
JTSIZOL,X,O,X,X,X,X
JTSIOLZ,X,X,X,O,X,X
JTSIOZL,X,X,O,O,X,X
JTSLIZO,O,X,X,X,X,X
JTSLIOZ,O,X,X,X,O,X
JTSLZIO,O,X,X,X,X,X
JTSLZOI,O,X,X,X,X,X
JTSLOIZ,O,X,X,X,O,X
JTSLOZI,O,X,X,X,X,X
JTSZILO,O,O,X,X,X,X
JTSZIOL,X,O,X,X,X,X
JTSZLIO,O,O,X,X,X,X
JTSZLOI,O,O,X,X,X,X
JTSZOIL,X,O,X,X,X,X
JTSZOLI,X,O,X,X,X,X
JTSOILZ,X,X,X,O,X,X
JTSOIZL,X,X,O,O,X,X
JTSOLIZ,X,X,X,O,X,X
JTSOLZI,X,X,X,X,X,X
JTSOZIL,X,X,O,O,X,X
JTSOZLI,X,X,O,X,X,X
JTZILSO,O,O,X,X,X,X
JTZILOS,X,O,X,X,O,X
JTZISLO,O,O,X,X,X,X
JTZISOL,X,O,X,X,X,X
JTZIOLS,X,O,O,X,X,X
JTZIOSL,X,O,O,X,X,X
JTZLISO,O,O,X,X,X,X
JTZLIOS,X,O,X,X,O,X
JTZLSIO,O,O,X,X,X,X
JTZLSOI,O,O,X,X,X,X
JTZLOIS,X,O,X,X,O,X
JTZLOSI,X,O,X,X,X,X
JTZSILO,O,O,X,X,X,X
JTZSIOL,X,O,X,X,X,X
JTZSLIO,O,O,X,X,X,X
JTZSLOI,O,O,X,X,X,X
JTZSOIL,X,O,X,X,X,X
JTZSOLI,X,O,X,X,X,X
JTZOILS,X,O,O,X,X,X
JTZOISL,X,O,O,X,X,X
JTZOLIS,X,O,O,X,X,X
JTZOLSI,X,O,O,X,X,X
JTZOSIL,X,O,O,X,X,X
JTZOSLI,X,O,O,X,X,X
JTOILSZ,X,X,X,X,O,X
JTOILZS,X,X,O,X,O,X
JTOISLZ,X,X,X,O,X,X
JTOISZL,X,X,O,O,X,X
JTOIZLS,X,X,O,X,X,X
JTOIZSL,X,X,O,X,X,X
JTOLISZ,X,X,X,X,O,X
JTOLIZS,X,X,O,X,O,X
JTOLSIZ,X,X,X,X,O,X
JTOLSZI,X,X,X,X,X,X
JTOLZIS,X,X,O,X,O,X
JTOLZSI,X,X,O,X,X,X
JTOSILZ,X,X,X,O,X,X
JTOSIZL,X,X,O,O,X,X
JTOSLIZ,X,X,X,O,X,X
JTOSLZI,X,X,X,X,X,X
JTOSZIL,X,X,O,O,X,X
JTOSZLI,X,X,O,X,X,X
JTOZILS,X,X,O,X,X,X
JTOZISL,X,X,O,X,X,X
JTOZLIS,X,X,O,X,X,X
JTOZLSI,X,X,O,X,X,X
JTOZSIL,X,X,O,X,X,X
JTOZSLI,X,X,O,X,X,X
JITLSZO,O,X,X,X,X,X
JITLSOZ,O,X,X,X,O,X
JITLZSO,O,X,X,X,X,O
JITLZOS,X,X,X,X,O,O
JITLOSZ,X,X,X,X,O,X
JITLOZS,X,X,O,X,O,X
JITSLZO,O,X,X,X,X,X
JITSLOZ,O,X,X,X,O,X
JITSZLO,O,O,X,X,X,X
JITSZOL,X,O,X,X,X,X
JITSOLZ,X,X,X,O,X,X
JITSOZL,X,X,O,O,X,X
JITZLSO,O,O,X,X,X,X
JITZLOS,X,O,X,X,O,X
JITZSLO,O,O,X,X,X,X
JITZSOL,X,O,X,X,X,X
JITZOLS,X,O,O,X,X,X
JITZOSL,X,O,O,X,X,X
JITOLSZ,X,X,X,X,O,X
JITOLZS,X,X,O,X,O,X
JITOSLZ,X,X,X,O,X,X
JITOSZL,X,X,O,O,X,X
JITOZLS,X,X,O,X,X,X
JITOZSL,X,X,O,X,X,X
JILTSZO,O,X,X,X,X,X
JILTSOZ,O,X,X,X,O,X
JILTZSO,O,X,X,X,X,O
JILTZOS,X,X,X,X,O,O
JILTOSZ,X,X,X,X,O,X
JILTOZS,X,X,O,X,O,X
JILSTZO,O,X,X,X,X,X
JILSTOZ,O,X,X,X,O,X
JILSZTO,O,X,X,X,X,O
JILSZOT,O,X,X,X,X,O
JILSOTZ,O,X,X,X,O,X
JILSOZT,O,X,X,X,O,X
JILZTSO,O,X,X,X,X,O
JILZTOS,X,X,X,X,O,O
JILZSTO,O,X,X,X,X,O
JILZSOT,O,X,X,X,X,O
JILZOTS,X,X,X,X,O,O
JILZOST,X,X,X,X,O,O
JILOTSZ,X,X,X,X,O,X
JILOTZS,X,X,O,X,O,X
JILOSTZ,X,X,X,X,O,X
JILOSZT,X,X,X,X,O,X
JILOZTS,X,X,O,X,O,O
JILOZST,X,X,O,X,O,O
JISTLZO,O,X,X,X,X,X
JISTLOZ,O,X,X,X,O,X
JISTZLO,O,O,X,X,X,X
JISTZOL,X,O,X,X,X,X
JISTOLZ,X,X,X,O,X,X
JISTOZL,X,X,O,O,X,X
JISLTZO,O,X,X,X,X,X
JISLTOZ,O,X,X,X,O,X
JISLZTO,O,X,X,X,X,O
JISLZOT,O,X,X,X,X,O
JISLOTZ,O,X,X,X,O,X
JISLOZT,O,X,X,X,O,X
JISZTLO,O,O,X,X,X,X
JISZTOL,X,O,X,X,X,X
JISZLTO,O,O,X,X,X,X
JISZLOT,O,O,X,X,X,X
JISZOTL,X,O,X,X,X,X
JISZOLT,X,O,X,X,X,X
JISOTLZ,X,X,X,O,X,X
JISOTZL,X,X,O,O,X,X
JISOLTZ,X,X,X,O,X,X
JISOLZT,X,X,X,O,X,X
JISOZTL,X,X,O,O,X,X
JISOZLT,X,X,O,O,X,X
JIZTLSO,O,O,X,X,X,X
JIZTLOS,X,O,X,X,O,X
JIZTSLO,O,O,X,X,X,X
JIZTSOL,X,O,X,X,X,X
JIZTOLS,X,O,O,X,X,X
JIZTOSL,X,O,O,X,X,X
JIZLTSO,O,O,X,X,X,O
JIZLTOS,X,O,X,X,O,O
JIZLSTO,O,O,X,X,X,O
JIZLSOT,O,O,X,X,X,O
JIZLOTS,X,O,X,X,O,O
JIZLOST,X,O,X,X,O,O
JIZSTLO,O,O,X,X,X,X
JIZSTOL,X,O,X,X,X,X
JIZSLTO,O,O,X,X,X,X
JIZSLOT,O,O,X,X,X,X
JIZSOTL,X,O,X,X,X,X
JIZSOLT,X,O,X,X,X,X
JIZOTLS,X,O,O,X,X,X
JIZOTSL,X,O,O,X,X,X
JIZOLTS,X,O,O,X,X,O
JIZOLST,X,O,O,X,X,O
JIZOSTL,X,O,O,X,X,X
JIZOSLT,X,O,O,X,X,X
JIOTLSZ,X,X,X,X,O,X
JIOTLZS,X,X,O,X,O,X
JIOTSLZ,X,X,X,O,X,X
JIOTSZL,X,X,O,O,X,X
JIOTZLS,X,X,O,X,X,X
JIOTZSL,X,X,O,X,X,X
JIOLTSZ,X,X,X,X,O,X
JIOLTZS,X,X,O,X,O,X
JIOLSTZ,X,X,X,X,O,X
JIOLSZT,X,X,X,X,O,X
JIOLZTS,X,X,O,X,O,O
JIOLZST,X,X,O,X,O,O
JIOSTLZ,X,X,X,O,X,X
JIOSTZL,X,X,O,O,X,X
JIOSLTZ,X,X,X,O,X,X
JIOSLZT,X,X,X,O,X,X
JIOSZTL,X,X,O,O,X,X
JIOSZLT,X,X,O,O,X,X
JIOZTLS,X,X,O,X,X,X
JIOZTSL,X,X,O,X,X,X
JIOZLTS,X,X,O,X,X,X
JIOZLST,X,X,O,X,X,X
JIOZSTL,X,X,O,X,X,X
JIOZSLT,X,X,O,X,X,X
JLTISZO,O,X,X,X,X,X
JLTISOZ,O,X,X,X,O,X
JLTIZSO,O,X,X,X,X,O
JLTIZOS,X,X,X,X,O,O
JLTIOSZ,X,X,X,X,O,X
JLTIOZS,X,X,O,X,O,X
JLTSIZO,O,X,X,X,X,X
JLTSIOZ,O,X,X,X,O,X
JLTSZIO,O,X,X,X,X,X
JLTSZOI,O,X,X,X,X,X
JLTSOIZ,O,X,X,X,O,X
JLTSOZI,O,X,X,X,X,X
JLTZISO,O,X,X,X,X,O
JLTZIOS,X,X,X,X,O,O
JLTZSIO,O,X,X,X,X,X
JLTZSOI,O,X,X,X,X,X
JLTZOIS,X,X,X,X,O,O
JLTZOSI,X,X,X,X,X,X
JLTOISZ,X,X,X,X,O,X
JLTOIZS,X,X,O,X,O,X
JLTOSIZ,X,X,X,X,O,X
JLTOSZI,X,X,X,X,X,X
JLTOZIS,X,X,O,X,O,X
JLTOZSI,X,X,O,X,X,X
JLITSZO,O,X,X,X,X,X
JLITSOZ,O,X,X,X,O,X
JLITZSO,O,X,X,X,X,O
JLITZOS,X,X,X,X,O,O
JLITOSZ,X,X,X,X,O,X
JLITOZS,X,X,O,X,O,X
JLISTZO,O,X,X,X,X,X
JLISTOZ,O,X,X,X,O,X
JLISZTO,O,X,X,X,X,O
JLISZOT,O,X,X,X,X,O
JLISOTZ,O,X,X,X,O,X
JLISOZT,O,X,X,X,O,X
JLIZTSO,O,X,X,X,X,O
JLIZTOS,X,X,X,X,O,O
JLIZSTO,O,X,X,X,X,O
JLIZSOT,O,X,X,X,X,O
JLIZOTS,X,X,X,X,O,O
JLIZOST,X,X,X,X,O,O
JLIOTSZ,X,X,X,X,O,X
JLIOTZS,X,X,O,X,O,X
JLIOSTZ,X,X,X,X,O,X
JLIOSZT,X,X,X,X,O,X
JLIOZTS,X,X,O,X,O,O
JLIOZST,X,X,O,X,O,O
JLSTIZO,O,X,X,X,X,X
JLSTIOZ,O,X,X,X,O,X
JLSTZIO,O,X,X,X,X,X
JLSTZOI,O,X,X,X,X,X
JLSTOIZ,O,X,X,X,O,X
JLSTOZI,O,X,X,X,X,X
JLSITZO,O,X,X,X,X,X
JLSITOZ,O,X,X,X,O,X
JLSIZTO,O,X,X,X,X,O
JLSIZOT,O,X,X,X,X,O
JLSIOTZ,O,X,X,X,O,X
JLSIOZT,O,X,X,X,O,X
JLSZTIO,O,X,X,X,X,X
JLSZTOI,O,X,X,X,X,X
JLSZITO,O,X,X,X,X,O
JLSZIOT,O,X,X,X,X,O
JLSZOTI,O,X,X,X,X,X
JLSZOIT,O,X,X,X,X,O
JLSOTIZ,O,X,X,X,O,X
JLSOTZI,O,X,X,X,X,X
JLSOITZ,O,X,X,X,O,X
JLSOIZT,O,X,X,X,O,X
JLSOZTI,O,X,X,X,X,X
JLSOZIT,O,X,X,X,X,X
JLZTISO,O,X,X,X,X,O
JLZTIOS,X,X,X,X,O,O
JLZTSIO,O,X,X,X,X,X
JLZTSOI,O,X,X,X,X,X
JLZTOIS,X,X,X,X,O,O
JLZTOSI,X,X,X,X,X,X
JLZITSO,O,X,X,X,X,O
JLZITOS,X,X,X,X,O,O
JLZISTO,O,X,X,X,X,O
JLZISOT,O,X,X,X,X,O
JLZIOTS,X,X,X,X,O,O
JLZIOST,X,X,X,X,O,O
JLZSTIO,O,X,X,X,X,X
JLZSTOI,O,X,X,X,X,X
JLZSITO,O,X,X,X,X,O
JLZSIOT,O,X,X,X,X,O
JLZSOTI,O,X,X,X,X,X
JLZSOIT,O,X,X,X,X,O
JLZOTIS,X,X,X,X,O,O
JLZOTSI,X,X,X,X,X,X
JLZOITS,X,X,X,X,O,O
JLZOIST,X,X,X,X,O,O
JLZOSTI,X,X,X,X,X,X
JLZOSIT,X,X,X,X,X,O
JLOTISZ,X,X,X,X,O,X
JLOTIZS,X,X,O,X,O,X
JLOTSIZ,X,X,X,X,O,X
JLOTSZI,X,X,X,X,X,X
JLOTZIS,X,X,O,X,O,X
JLOTZSI,X,X,O,X,X,X
JLOITSZ,X,X,X,X,O,X
JLOITZS,X,X,O,X,O,X
JLOISTZ,X,X,X,X,O,X
JLOISZT,X,X,X,X,O,X
JLOIZTS,X,X,O,X,O,O
JLOIZST,X,X,O,X,O,O
JLOSTIZ,X,X,X,X,O,X
JLOSTZI,X,X,X,X,X,X
JLOSITZ,X,X,X,X,O,X
JLOSIZT,X,X,X,X,O,X
JLOSZTI,X,X,X,X,X,X
JLOSZIT,X,X,X,X,X,X
JLOZTIS,X,X,O,X,O,O
JLOZTSI,X,X,O,X,X,X
JLOZITS,X,X,O,X,O,O
JLOZIST,X,X,O,X,O,O
JLOZSTI,X,X,O,X,X,X
JLOZSIT,X,X,O,X,X,O
JSTILZO,O,X,X,X,X,X
JSTILOZ,O,X,X,X,O,X
JSTIZLO,O,O,X,X,X,X
JSTIZOL,X,O,X,X,X,X
JSTIOLZ,X,X,X,O,X,X
JSTIOZL,X,X,O,O,X,X
JSTLIZO,O,X,X,X,X,X
JSTLIOZ,O,X,X,X,O,X
JSTLZIO,O,X,X,X,X,X
JSTLZOI,O,X,X,X,X,X
JSTLOIZ,O,X,X,X,O,X
JSTLOZI,O,X,X,X,X,X
JSTZILO,O,O,X,X,X,X
JSTZIOL,X,O,X,X,X,X
JSTZLIO,O,O,X,X,X,X
JSTZLOI,O,O,X,X,X,X
JSTZOIL,X,O,X,X,X,X
JSTZOLI,X,O,X,X,X,X
JSTOILZ,X,X,X,O,X,X
JSTOIZL,X,X,O,O,X,X
JSTOLIZ,X,X,X,O,X,X
JSTOLZI,X,X,X,X,X,X
JSTOZIL,X,X,O,O,X,X
JSTOZLI,X,X,O,X,X,X
JSITLZO,O,X,X,X,X,X
JSITLOZ,O,X,X,X,O,X
JSITZLO,O,O,X,X,X,X
JSITZOL,X,O,X,X,X,X
JSITOLZ,X,X,X,O,X,X
JSITOZL,X,X,O,O,X,X
JSILTZO,O,X,X,X,X,X
JSILTOZ,O,X,X,X,O,X
JSILZTO,O,X,X,X,X,O
JSILZOT,O,X,X,X,X,O
JSILOTZ,O,X,X,X,O,X
JSILOZT,O,X,X,X,O,X
JSIZTLO,O,O,X,X,X,X
JSIZTOL,X,O,X,X,X,X
JSIZLTO,O,O,X,X,X,X
JSIZLOT,O,O,X,X,X,X
JSIZOTL,X,O,X,X,X,X
JSIZOLT,X,O,X,X,X,X
JSIOTLZ,X,X,X,O,X,X
JSIOTZL,X,X,O,O,X,X
JSIOLTZ,X,X,X,O,X,X
JSIOLZT,X,X,X,O,X,X
JSIOZTL,X,X,O,O,X,X
JSIOZLT,X,X,O,O,X,X
JSLTIZO,O,X,X,X,X,X
JSLTIOZ,O,X,X,X,O,X
JSLTZIO,O,X,X,X,X,X
JSLTZOI,O,X,X,X,X,X
JSLTOIZ,O,X,X,X,O,X
JSLTOZI,O,X,X,X,X,X
JSLITZO,O,X,X,X,X,X
JSLITOZ,O,X,X,X,O,X
JSLIZTO,O,X,X,X,X,O
JSLIZOT,O,X,X,X,X,O
JSLIOTZ,O,X,X,X,O,X
JSLIOZT,O,X,X,X,O,X
JSLZTIO,O,X,X,X,X,X
JSLZTOI,O,X,X,X,X,X
JSLZITO,O,X,X,X,X,O
JSLZIOT,O,X,X,X,X,O
JSLZOTI,O,X,X,X,X,X
JSLZOIT,O,X,X,X,X,O
JSLOTIZ,O,X,X,X,O,X
JSLOTZI,O,X,X,X,X,X
JSLOITZ,O,X,X,X,O,X
JSLOIZT,O,X,X,X,O,X
JSLOZTI,O,X,X,X,X,X
JSLOZIT,O,X,X,X,X,X
JSZTILO,O,O,X,X,X,X
JSZTIOL,X,O,X,X,X,X
JSZTLIO,O,O,X,X,X,X
JSZTLOI,O,O,X,X,X,X
JSZTOIL,X,O,X,X,X,X
JSZTOLI,X,O,X,X,X,X
JSZITLO,O,O,X,X,X,X
JSZITOL,X,O,X,X,X,X
JSZILTO,O,O,X,X,X,X
JSZILOT,O,O,X,X,X,X
JSZIOTL,X,O,X,X,X,X
JSZIOLT,X,O,X,X,X,X
JSZLTIO,O,O,X,X,X,X
JSZLTOI,O,O,X,X,X,X
JSZLITO,O,O,X,X,X,X
JSZLIOT,O,O,X,X,X,X
JSZLOTI,O,O,X,X,X,X
JSZLOIT,O,O,X,X,X,X
JSZOTIL,X,O,X,X,X,X
JSZOTLI,X,O,X,X,X,X
JSZOITL,X,O,X,X,X,X
JSZOILT,X,O,X,X,X,X
JSZOLTI,X,O,X,X,X,X
JSZOLIT,X,O,X,X,X,X
JSOTILZ,X,X,X,O,X,X
JSOTIZL,X,X,O,O,X,X
JSOTLIZ,X,X,X,O,X,X
JSOTLZI,X,X,X,X,X,X
JSOTZIL,X,X,O,O,X,X
JSOTZLI,X,X,O,X,X,X
JSOITLZ,X,X,X,O,X,X
JSOITZL,X,X,O,O,X,X
JSOILTZ,X,X,X,O,X,X
JSOILZT,X,X,X,O,X,X
JSOIZTL,X,X,O,O,X,X
JSOIZLT,X,X,O,O,X,X
JSOLTIZ,X,X,X,O,X,X
JSOLTZI,X,X,X,X,X,X
JSOLITZ,X,X,X,O,X,X
JSOLIZT,X,X,X,O,X,X
JSOLZTI,X,X,X,X,X,X
JSOLZIT,X,X,X,X,X,X
JSOZTIL,X,X,O,O,X,X
JSOZTLI,X,X,O,X,X,X
JSOZITL,X,X,O,O,X,X
JSOZILT,X,X,O,O,X,X
JSOZLTI,X,X,O,X,X,X
JSOZLIT,X,X,O,X,X,X
JZTILSO,O,O,X,X,X,X
JZTILOS,X,O,X,X,O,X
JZTISLO,O,O,X,X,X,X
JZTISOL,X,O,X,X,X,X
JZTIOLS,X,O,O,X,X,X
JZTIOSL,X,O,O,X,X,X
JZTLISO,O,O,X,X,X,X
JZTLIOS,X,O,X,X,O,X
JZTLSIO,O,O,X,X,X,X
JZTLSOI,O,O,X,X,X,X
JZTLOIS,X,O,X,X,O,X
JZTLOSI,X,O,X,X,X,X
JZTSILO,O,O,X,X,X,X
JZTSIOL,X,O,X,X,X,X
JZTSLIO,O,O,X,X,X,X
JZTSLOI,O,O,X,X,X,X
JZTSOIL,X,O,X,X,X,X
JZTSOLI,X,O,X,X,X,X
JZTOILS,X,O,O,X,X,X
JZTOISL,X,O,O,X,X,X
JZTOLIS,X,O,O,X,X,X
JZTOLSI,X,O,O,X,X,X
JZTOSIL,X,O,O,X,X,X
JZTOSLI,X,O,O,X,X,X
JZITLSO,O,O,X,X,X,X
JZITLOS,X,O,X,X,O,X
JZITSLO,O,O,X,X,X,X
JZITSOL,X,O,X,X,X,X
JZITOLS,X,O,O,X,X,X
JZITOSL,X,O,O,X,X,X
JZILTSO,O,O,X,X,X,O
JZILTOS,X,O,X,X,O,O
JZILSTO,O,O,X,X,X,O
JZILSOT,O,O,X,X,X,O
JZILOTS,X,O,X,X,O,O
JZILOST,X,O,X,X,O,O
JZISTLO,O,O,X,X,X,X
JZISTOL,X,O,X,X,X,X
JZISLTO,O,O,X,X,X,X
JZISLOT,O,O,X,X,X,X
JZISOTL,X,O,X,X,X,X
JZISOLT,X,O,X,X,X,X
JZIOTLS,X,O,O,X,X,X
JZIOTSL,X,O,O,X,X,X
JZIOLTS,X,O,O,X,X,O
JZIOLST,X,O,O,X,X,O
JZIOSTL,X,O,O,X,X,X
JZIOSLT,X,O,O,X,X,X
JZLTISO,O,O,X,X,X,O
JZLTIOS,X,O,X,X,O,O
JZLTSIO,O,O,X,X,X,X
JZLTSOI,O,O,X,X,X,X
JZLTOIS,X,O,X,X,O,O
JZLTOSI,X,O,X,X,X,X
JZLITSO,O,O,X,X,X,O
JZLITOS,X,O,X,X,O,O
JZLISTO,O,O,X,X,X,O
JZLISOT,O,O,X,X,X,O
JZLIOTS,X,O,X,X,O,O
JZLIOST,X,O,X,X,O,O
JZLSTIO,O,O,X,X,X,X
JZLSTOI,O,O,X,X,X,X
