sequence,v115@IhB8GeC8FeE8DeB8Jei/IvhFRhBGjBzlB8sB3rBFsB,v115@IhB8GeC8FeE8DeB8Jei/IvhFGhBcoBzlBXnBlnBxwB,v115@IhB8GeC8FeE8DeB8Jei/IvhFzgBRiBcoBFrBXsBGsB,v115@IhB8GeC8FeE8DeB8Jei/IvhFxhBTjB1sBGrBfrBUsB,v115@IhB8GeC8FeE8DeB8Jei/IvhFFhBTjBfrBRsB8rB+sB,v115@IhB8GeC8FeE8DeB8Jei/IvhFzgBGjB8sBRrBFsB3rB
IOLTJZS,O,O,X,O,X,X
IOLTSJZ,O,O,X,X,O,X
IOLTSZJ,O,O,X,X,X,X
IOLTZJS,O,O,X,X,X,O
IOLTZSJ,X,O,X,X,X,O
IOLJTSZ,O,O,X,O,X,X
IOLJTZS,O,O,X,O,X,X
IOLJSTZ,O,O,X,X,O,X
IOLJSZT,O,O,X,X,O,X
IOLJZTS,O,O,X,X,X,O
IOLJZST,O,O,X,X,X,O
IOLSTJZ,O,O,X,X,O,X
IOLSTZJ,O,O,X,X,O,X
IOLSJTZ,O,O,X,X,O,X
IOLSJZT,O,O,X,X,O,X
IOLSZTJ,O,O,X,X,O,O
IOLSZJT,O,O,X,X,O,O
IOLZTJS,O,O,X,X,X,O
IOLZTSJ,X,O,X,X,X,O
IOLZJTS,O,O,X,X,X,O
IOLZJST,O,O,X,X,X,O
IOLZSTJ,O,O,X,X,X,O
IOLZSJT,O,O,X,X,O,O
IOJTLSZ,O,O,X,O,X,X
IOJTLZS,O,O,X,O,X,X
IOJTSLZ,X,O,X,O,X,X
IOJTSZL,X,O,X,O,X,X
IOJTZLS,X,O,X,O,X,X
IOJTZSL,X,O,X,O,X,X
IOJLTSZ,O,O,X,O,X,X
IOJLTZS,O,O,X,O,X,X
IOJLSTZ,O,O,X,X,O,X
IOJLSZT,O,O,X,X,O,X
IOJLZTS,O,O,X,X,X,O
IOJLZST,O,O,X,X,X,O
IOJSTLZ,O,O,X,X,O,X
IOJSTZL,X,O,X,X,O,X
IOJSLTZ,O,O,X,X,O,X
IOJSLZT,O,O,X,X,O,X
IOJSZTL,O,O,X,X,O,X
IOJSZLT,O,O,X,X,O,X
IOJZTLS,O,O,X,X,X,O
IOJZTSL,X,O,X,X,X,O
IOJZLTS,O,O,X,X,X,O
IOJZLST,O,O,X,X,X,O
IOJZSTL,O,O,X,X,X,O
IOJZSLT,O,O,X,X,X,O
IOSTLJZ,O,O,X,X,O,X
IOSTLZJ,O,O,X,X,O,X
IOSTJLZ,O,O,X,X,O,X
IOSTJZL,X,O,X,X,O,X
IOSTZLJ,O,O,X,X,O,X
IOSTZJL,O,O,X,X,O,X
IOSLTJZ,O,O,X,X,O,X
IOSLTZJ,O,O,X,X,O,X
IOSLJTZ,O,O,X,X,O,X
IOSLJZT,O,O,X,X,O,X
IOSLZTJ,O,O,X,X,O,O
IOSLZJT,O,O,X,X,O,O
IOSJTLZ,O,O,X,X,O,X
IOSJTZL,X,O,X,X,O,X
IOSJLTZ,O,O,X,X,O,X
IOSJLZT,O,O,X,X,O,X
IOSJZTL,O,O,X,X,O,X
IOSJZLT,O,O,X,X,O,X
IOSZTLJ,O,O,X,X,O,O
IOSZTJL,O,O,X,X,O,O
IOSZLTJ,O,O,X,X,O,O
IOSZLJT,O,O,X,X,O,O
IOSZJTL,O,O,X,X,O,O
IOSZJLT,O,O,X,X,O,O
IOZTLJS,O,O,X,X,X,O
IOZTLSJ,X,O,X,X,X,O
IOZTJLS,O,O,X,X,X,O
IOZTJSL,X,O,X,X,X,O
IOZTSLJ,X,O,X,X,X,O
IOZTSJL,X,O,X,X,X,O
IOZLTJS,O,O,X,X,X,O
IOZLTSJ,X,O,X,X,X,O
IOZLJTS,O,O,X,X,X,O
IOZLJST,O,O,X,X,X,O
IOZLSTJ,O,O,X,X,X,O
IOZLSJT,O,O,X,X,O,O
IOZJTLS,O,O,X,X,X,O
IOZJTSL,X,O,X,X,X,O
IOZJLTS,O,O,X,X,X,O
IOZJLST,O,O,X,X,X,O
IOZJSTL,O,O,X,X,X,O
IOZJSLT,O,O,X,X,X,O
IOZSTLJ,O,O,X,X,X,O
IOZSTJL,O,O,X,X,X,O
IOZSLTJ,O,O,X,X,X,O
IOZSLJT,O,O,X,X,O,O
IOZSJTL,O,O,X,X,O,O
IOZSJLT,O,O,X,X,O,O
LTIJSZO,X,X,X,O,X,X
LTIJSOZ,X,X,X,O,X,X
LTIJZSO,X,X,X,O,X,X
LTIJZOS,X,X,X,O,X,X
LTIJOSZ,X,X,X,O,X,X
LTIJOZS,X,X,X,O,X,X
LTISJZO,X,X,X,X,O,X
LTISJOZ,X,X,X,X,O,X
LTISZJO,X,X,O,X,O,X
LTISZOJ,X,O,O,X,O,X
LTISOJZ,X,O,X,X,O,X
LTISOZJ,X,O,O,X,O,X
LTIZJSO,X,X,X,X,X,O
LTIZJOS,X,X,O,X,X,O
LTIZSJO,X,X,O,X,X,O
LTIZSOJ,X,O,O,X,X,O
LTIZOJS,X,O,O,X,X,O
LTIZOSJ,X,O,O,X,X,O
LTIOJSZ,X,O,X,O,X,X
LTIOJZS,X,O,X,O,X,X
LTIOSJZ,X,O,X,X,O,X
LTIOSZJ,X,O,O,X,X,X
LTIOZJS,X,O,O,X,X,O
LTIOZSJ,X,O,O,X,X,O
LTJISZO,X,X,X,O,X,X
LTJISOZ,X,X,X,O,X,X
LTJIZSO,X,X,X,O,X,X
LTJIZOS,X,X,X,O,X,X
LTJIOSZ,X,X,X,O,X,X
LTJIOZS,X,X,X,O,X,X
LTJSIZO,X,X,X,O,X,X
LTJSIOZ,X,X,X,O,X,X
LTJSZIO,X,X,O,O,X,X
LTJSZOI,X,X,O,O,X,X
LTJSOIZ,O,X,X,O,X,X
LTJSOZI,X,X,O,O,X,X
LTJZISO,X,X,X,O,X,O
LTJZIOS,X,X,O,O,X,O
LTJZSIO,X,X,O,O,X,X
LTJZSOI,O,X,O,O,X,X
LTJZOIS,O,X,O,O,X,X
LTJZOSI,O,X,O,O,X,X
LTJOISZ,O,X,X,O,X,X
LTJOIZS,O,X,X,O,X,X
LTJOSIZ,O,X,X,O,X,X
LTJOSZI,X,X,O,O,X,X
LTJOZIS,O,X,O,O,X,X
LTJOZSI,O,X,O,O,X,X
LTSIJZO,X,X,X,X,O,X
LTSIJOZ,X,X,X,X,O,X
LTSIZJO,X,X,O,X,O,X
LTSIZOJ,X,X,O,X,O,X
LTSIOJZ,X,X,X,X,O,X
LTSIOZJ,X,X,O,X,O,X
LTSJIZO,X,X,X,O,O,X
LTSJIOZ,X,X,X,O,X,X
LTSJZIO,X,X,O,O,X,X
LTSJZOI,X,X,O,O,X,X
LTSJOIZ,O,X,X,O,X,X
LTSJOZI,X,X,O,O,X,X
LTSZIJO,X,X,O,X,O,X
LTSZIOJ,X,X,O,X,O,X
LTSZJIO,X,X,O,X,X,X
LTSZJOI,O,X,O,X,X,X
LTSZOIJ,O,X,O,X,X,X
LTSZOJI,O,X,O,X,X,X
LTSOIJZ,O,X,X,X,O,X
LTSOIZJ,O,X,O,X,O,X
LTSOJIZ,O,X,X,O,X,X
LTSOJZI,X,X,O,O,X,X
LTSOZIJ,O,X,O,X,X,X
LTSOZJI,O,X,O,X,X,X
LTZIJSO,X,X,X,X,X,O
LTZIJOS,X,X,O,X,X,O
LTZISJO,X,X,O,X,X,O
LTZISOJ,X,O,O,X,X,O
LTZIOJS,X,O,O,X,X,O
LTZIOSJ,X,O,O,X,X,O
LTZJISO,X,X,X,O,X,O
LTZJIOS,X,X,O,O,X,O
LTZJSIO,X,X,O,O,X,X
LTZJSOI,O,X,O,O,X,X
LTZJOIS,O,X,O,O,X,X
LTZJOSI,O,X,O,O,X,X
LTZSIJO,X,X,O,X,X,X
LTZSIOJ,X,X,O,X,X,X
LTZSJIO,X,X,O,X,X,X
LTZSJOI,O,X,O,X,X,X
LTZSOIJ,O,X,O,X,X,X
LTZSOJI,O,X,O,X,X,X
LTZOIJS,O,O,O,X,X,X
LTZOISJ,X,O,O,X,X,X
LTZOJIS,O,O,O,O,X,X
LTZOJSI,O,X,O,O,X,X
LTZOSIJ,O,X,O,X,X,X
LTZOSJI,O,X,O,X,X,X
LTOIJSZ,O,O,X,O,X,X
LTOIJZS,O,O,X,O,X,X
LTOISJZ,O,O,X,X,O,X
LTOISZJ,O,O,O,X,X,X
LTOIZJS,O,O,O,X,X,X
LTOIZSJ,X,O,O,X,X,X
LTOJISZ,O,O,X,O,X,X
LTOJIZS,O,O,X,O,X,X
LTOJSIZ,O,X,X,O,X,X
LTOJSZI,X,X,O,O,X,X
LTOJZIS,O,O,O,O,X,X
LTOJZSI,O,X,O,O,X,X
LTOSIJZ,O,X,X,X,O,X
LTOSIZJ,O,X,O,X,X,X
LTOSJIZ,O,X,X,O,X,X
LTOSJZI,X,X,O,O,X,X
LTOSZIJ,O,X,O,X,X,X
LTOSZJI,O,X,O,X,X,X
LTOZIJS,O,O,O,X,X,X
LTOZISJ,X,O,O,X,X,X
LTOZJIS,O,O,O,O,X,X
LTOZJSI,O,X,O,O,X,X
LTOZSIJ,O,X,O,X,X,X
LTOZSJI,O,X,O,X,X,X
LITJSZO,X,X,X,O,X,X
LITJSOZ,X,X,X,O,X,X
LITJZSO,X,X,X,O,X,X
LITJZOS,X,X,X,O,X,X
LITJOSZ,X,X,X,O,X,X
LITJOZS,X,X,X,O,X,X
LITSJZO,X,X,X,X,O,X
LITSJOZ,X,X,X,X,O,X
LITSZJO,X,X,O,X,O,X
LITSZOJ,X,O,O,X,O,X
LITSOJZ,X,O,X,X,O,X
LITSOZJ,X,O,O,X,O,X
LITZJSO,X,X,X,X,X,O
LITZJOS,X,X,O,X,X,O
LITZSJO,X,X,O,X,X,O
LITZSOJ,X,O,O,X,X,O
LITZOJS,X,O,O,X,X,O
LITZOSJ,X,O,O,X,X,O
LITOJSZ,X,O,X,O,X,X
LITOJZS,X,O,X,O,X,X
LITOSJZ,X,O,X,X,O,X
LITOSZJ,X,O,O,X,X,X
LITOZJS,X,O,O,X,X,O
LITOZSJ,X,O,O,X,X,O
LIJTSZO,X,X,X,O,X,X
LIJTSOZ,X,X,X,O,X,X
LIJTZSO,X,X,X,O,X,X
LIJTZOS,X,X,X,O,X,X
LIJTOSZ,X,X,X,O,X,X
LIJTOZS,X,X,X,O,X,X
LIJSTZO,X,X,X,X,O,X
LIJSTOZ,X,X,X,X,O,X
LIJSZTO,X,X,X,X,O,X
LIJSZOT,X,O,X,X,O,X
LIJSOTZ,O,O,X,X,O,X
LIJSOZT,O,O,X,X,O,X
LIJZTSO,X,X,X,X,X,O
LIJZTOS,X,X,X,X,X,O
LIJZSTO,X,X,X,X,X,O
LIJZSOT,O,O,X,X,X,O
LIJZOTS,O,O,X,X,X,O
LIJZOST,O,O,X,X,X,O
LIJOTSZ,O,O,X,O,X,X
LIJOTZS,O,O,X,O,X,X
LIJOSTZ,O,O,X,X,O,X
LIJOSZT,O,O,X,X,O,X
LIJOZTS,O,O,X,X,X,O
LIJOZST,O,O,X,X,X,O
LISTJZO,X,X,X,X,O,X
LISTJOZ,X,X,X,X,O,X
LISTZJO,X,X,O,X,O,X
LISTZOJ,X,O,O,X,O,X
LISTOJZ,X,O,X,X,O,X
LISTOZJ,X,O,O,X,O,X
LISJTZO,X,X,X,X,O,X
LISJTOZ,X,X,X,X,O,X
LISJZTO,X,X,X,X,O,X
LISJZOT,X,O,X,X,O,X
LISJOTZ,O,O,X,X,O,X
LISJOZT,O,O,X,X,O,X
LISZTJO,X,X,O,X,O,O
LISZTOJ,X,O,O,X,O,O
LISZJTO,X,X,O,X,O,O
LISZJOT,O,O,X,X,O,O
LISZOTJ,O,O,O,X,O,O
LISZOJT,O,O,X,X,O,O
LISOTJZ,O,O,X,X,O,X
LISOTZJ,O,O,X,X,O,X
LISOJTZ,O,O,X,X,O,X
LISOJZT,O,O,X,X,O,X
LISOZTJ,O,O,X,X,O,O
LISOZJT,O,O,X,X,O,O
LIZTJSO,X,X,X,X,X,O
LIZTJOS,X,X,O,X,X,O
LIZTSJO,X,X,O,X,X,O
LIZTSOJ,X,O,O,X,X,O
LIZTOJS,X,O,O,X,X,O
LIZTOSJ,X,O,O,X,X,O
LIZJTSO,X,X,X,X,X,O
LIZJTOS,X,X,O,X,X,O
LIZJSTO,X,X,O,X,X,O
LIZJSOT,O,O,X,X,X,O
LIZJOTS,O,O,X,X,X,O
LIZJOST,O,O,X,X,X,O
LIZSTJO,X,X,O,X,O,O
LIZSTOJ,X,O,O,X,O,O
LIZSJTO,X,X,O,X,O,O
LIZSJOT,O,O,X,X,O,O
LIZSOTJ,O,O,O,X,O,O
LIZSOJT,O,O,X,X,O,O
LIZOTJS,O,O,O,X,X,O
LIZOTSJ,X,O,O,X,X,O
LIZOJTS,O,O,X,X,X,O
LIZOJST,O,O,X,X,X,O
LIZOSTJ,O,O,O,X,X,O
LIZOSJT,O,O,X,X,O,O
LIOTJSZ,O,O,X,O,X,X
LIOTJZS,O,O,X,O,X,X
LIOTSJZ,O,O,X,X,O,X
LIOTSZJ,O,O,X,X,X,X
LIOTZJS,O,O,X,X,X,O
LIOTZSJ,X,O,X,X,X,O
LIOJTSZ,O,O,X,O,X,X
LIOJTZS,O,O,X,O,X,X
LIOJSTZ,O,O,X,X,O,X
LIOJSZT,O,O,X,X,O,X
LIOJZTS,O,O,X,X,X,O
LIOJZST,O,O,X,X,X,O
LIOSTJZ,O,O,X,X,O,X
LIOSTZJ,O,O,X,X,O,X
LIOSJTZ,O,O,X,X,O,X
LIOSJZT,O,O,X,X,O,X
LIOSZTJ,O,O,X,X,O,O
LIOSZJT,O,O,X,X,O,O
LIOZTJS,O,O,X,X,X,O
LIOZTSJ,X,O,X,X,X,O
LIOZJTS,O,O,X,X,X,O
LIOZJST,O,O,X,X,X,O
LIOZSTJ,O,O,X,X,X,O
LIOZSJT,O,O,X,X,O,O
LJTISZO,X,X,X,O,X,X
LJTISOZ,X,X,X,O,X,X
LJTIZSO,X,X,X,O,X,X
LJTIZOS,X,X,X,O,X,X
LJTIOSZ,X,X,X,O,X,X
LJTIOZS,X,X,X,O,X,X
LJTSIZO,X,X,X,O,X,X
LJTSIOZ,X,X,X,O,X,X
LJTSZIO,X,X,O,O,X,X
LJTSZOI,X,X,O,O,X,X
LJTSOIZ,O,X,X,O,X,X
LJTSOZI,X,X,O,O,X,X
LJTZISO,X,X,X,O,X,O
LJTZIOS,X,X,O,O,X,O
LJTZSIO,X,X,O,O,X,X
LJTZSOI,O,X,O,O,X,X
LJTZOIS,O,X,O,O,X,X
LJTZOSI,O,X,O,O,X,X
LJTOISZ,O,X,X,O,X,X
LJTOIZS,O,X,X,O,X,X
LJTOSIZ,O,X,X,O,X,X
LJTOSZI,X,X,O,O,X,X
LJTOZIS,O,X,O,O,X,X
LJTOZSI,O,X,O,O,X,X
LJITSZO,X,X,X,O,X,X
LJITSOZ,X,X,X,O,X,X
LJITZSO,X,X,X,O,X,X
LJITZOS,X,X,X,O,X,X
LJITOSZ,X,X,X,O,X,X
LJITOZS,X,X,X,O,X,X
LJISTZO,X,X,X,X,O,X
LJISTOZ,X,X,X,X,O,X
LJISZTO,X,X,X,X,O,X
LJISZOT,X,O,X,X,O,X
LJISOTZ,O,O,X,X,O,X
LJISOZT,O,O,X,X,O,X
LJIZTSO,X,X,X,X,X,O
LJIZTOS,X,X,X,X,X,O
LJIZSTO,X,X,X,X,X,O
LJIZSOT,O,O,X,X,X,O
LJIZOTS,O,O,X,X,X,O
LJIZOST,O,O,X,X,X,O
LJIOTSZ,O,O,X,O,X,X
LJIOTZS,O,O,X,O,X,X
LJIOSTZ,O,O,X,X,O,X
LJIOSZT,O,O,X,X,O,X
LJIOZTS,O,O,X,X,X,O
LJIOZST,O,O,X,X,X,O
LJSTIZO,X,X,X,O,O,X
LJSTIOZ,X,X,X,O,X,X
LJSTZIO,X,X,O,O,X,X
LJSTZOI,X,X,O,O,X,X
LJSTOIZ,O,X,X,O,X,X
LJSTOZI,X,X,O,O,X,X
LJSITZO,X,X,X,X,O,X
LJSITOZ,X,X,X,X,O,X
LJSIZTO,X,X,X,X,O,X
LJSIZOT,X,X,X,X,O,X
LJSIOTZ,O,X,X,X,O,X
LJSIOZT,O,X,X,X,O,X
LJSZTIO,X,X,O,X,X,X
LJSZTOI,O,X,O,X,X,X
LJSZITO,X,X,O,X,X,O
LJSZIOT,O,X,X,X,X,O
LJSZOTI,O,X,X,X,X,X
LJSZOIT,O,X,X,X,X,X
LJSOTIZ,O,X,X,O,X,X
LJSOTZI,X,X,X,O,X,X
LJSOITZ,O,X,X,X,O,X
LJSOIZT,O,X,X,X,O,X
LJSOZTI,O,X,X,X,X,X
LJSOZIT,O,X,X,X,X,X
LJZTISO,X,X,X,O,X,O
LJZTIOS,X,X,O,O,X,O
LJZTSIO,X,X,O,O,X,X
LJZTSOI,O,X,O,O,X,X
LJZTOIS,O,X,O,O,X,X
LJZTOSI,O,X,O,O,X,X
LJZITSO,X,X,X,X,X,O
LJZITOS,X,X,O,X,X,O
LJZISTO,X,X,O,X,X,O
LJZISOT,O,O,X,X,X,O
LJZIOTS,O,O,X,X,X,O
LJZIOST,O,O,X,X,X,O
LJZSTIO,X,X,O,X,X,X
LJZSTOI,O,X,O,X,X,X
LJZSITO,X,X,O,X,X,O
LJZSIOT,O,X,X,X,X,O
LJZSOTI,O,X,X,X,X,X
LJZSOIT,O,X,X,X,X,X
LJZOTIS,O,O,X,O,X,X
LJZOTSI,O,X,X,O,X,X
LJZOITS,O,O,X,X,X,O
LJZOIST,O,O,X,X,X,O
LJZOSTI,O,X,X,X,X,X
LJZOSIT,O,O,X,X,X,X
LJOTISZ,O,O,X,O,X,X
LJOTIZS,O,O,X,O,X,X
LJOTSIZ,O,X,X,O,X,X
LJOTSZI,X,X,X,O,X,X
LJOTZIS,O,O,X,O,X,X
LJOTZSI,O,X,X,O,X,X
LJOITSZ,O,O,X,O,X,X
LJOITZS,O,O,X,O,X,X
LJOISTZ,O,O,X,X,O,X
LJOISZT,O,O,X,X,O,X
LJOIZTS,O,O,X,X,X,X
LJOIZST,O,O,X,X,X,X
LJOSTIZ,O,X,X,O,X,X
LJOSTZI,X,X,X,O,X,X
LJOSITZ,O,O,X,X,O,X
LJOSIZT,O,O,X,X,O,X
LJOSZTI,O,X,X,X,X,X
LJOSZIT,O,O,X,X,X,X
LJOZTIS,O,O,X,O,X,X
LJOZTSI,O,X,X,O,X,X
LJOZITS,O,O,X,X,X,O
LJOZIST,O,O,X,X,X,O
LJOZSTI,O,X,X,X,X,X
LJOZSIT,O,O,X,X,X,X
LSTIJZO,X,X,X,X,O,X
LSTIJOZ,X,X,X,X,O,X
LSTIZJO,X,X,O,X,O,X
LSTIZOJ,X,X,O,X,O,X
LSTIOJZ,X,X,X,X,O,X
LSTIOZJ,X,X,O,X,O,X
LSTJIZO,X,X,X,O,O,X
LSTJIOZ,X,X,X,O,X,X
LSTJZIO,X,X,O,O,X,X
LSTJZOI,X,X,O,O,X,X
LSTJOIZ,O,X,X,O,X,X
LSTJOZI,X,X,O,O,X,X
LSTZIJO,X,X,O,X,O,X
LSTZIOJ,X,X,O,X,O,X
LSTZJIO,X,X,O,X,X,X
LSTZJOI,O,X,O,X,X,X
LSTZOIJ,O,X,O,X,X,X
LSTZOJI,O,X,O,X,X,X
LSTOIJZ,O,X,X,X,O,X
LSTOIZJ,O,X,O,X,O,X
LSTOJIZ,O,X,X,O,X,X
LSTOJZI,X,X,O,O,X,X
LSTOZIJ,O,X,O,X,X,X
LSTOZJI,O,X,O,X,X,X
LSITJZO,X,X,X,X,O,X
LSITJOZ,X,X,X,X,O,X
LSITZJO,X,X,O,X,O,X
LSITZOJ,X,O,O,X,O,X
LSITOJZ,X,O,X,X,O,X
LSITOZJ,X,O,O,X,O,X
LSIJTZO,X,X,X,X,O,X
LSIJTOZ,X,X,X,X,O,X
LSIJZTO,X,X,X,X,O,X
LSIJZOT,X,O,X,X,O,X
LSIJOTZ,O,O,X,X,O,X
LSIJOZT,O,O,X,X,O,X
LSIZTJO,X,X,O,X,O,O
LSIZTOJ,X,O,O,X,O,O
LSIZJTO,X,X,O,X,O,O
LSIZJOT,O,O,X,X,O,O
LSIZOTJ,O,O,O,X,O,O
LSIZOJT,O,O,X,X,O,O
LSIOTJZ,O,O,X,X,O,X
LSIOTZJ,O,O,X,X,O,X
LSIOJTZ,O,O,X,X,O,X
LSIOJZT,O,O,X,X,O,X
LSIOZTJ,O,O,X,X,O,O
LSIOZJT,O,O,X,X,O,O
LSJTIZO,X,X,X,O,O,X
LSJTIOZ,X,X,X,O,X,X
LSJTZIO,X,X,O,O,X,X
LSJTZOI,X,X,O,O,X,X
LSJTOIZ,O,X,X,O,X,X
LSJTOZI,X,X,O,O,X,X
LSJITZO,X,X,X,X,O,X
LSJITOZ,X,X,X,X,O,X
LSJIZTO,X,X,X,X,O,X
LSJIZOT,X,X,X,X,O,X
LSJIOTZ,O,X,X,X,O,X
LSJIOZT,O,X,X,X,O,X
LSJZTIO,X,X,O,X,X,X
LSJZTOI,O,X,O,X,X,X
LSJZITO,X,X,O,X,X,O
LSJZIOT,O,X,X,X,X,O
LSJZOTI,O,X,X,X,X,X
LSJZOIT,O,X,X,X,X,X
LSJOTIZ,O,X,X,O,X,X
LSJOTZI,X,X,X,O,X,X
LSJOITZ,O,X,X,X,O,X
LSJOIZT,O,X,X,X,O,X
LSJOZTI,O,X,X,X,X,X
LSJOZIT,O,X,X,X,X,X
LSZTIJO,X,X,O,X,O,X
LSZTIOJ,X,X,O,X,O,X
LSZTJIO,X,X,O,X,X,X
LSZTJOI,O,X,O,X,X,X
LSZTOIJ,O,X,O,X,X,X
LSZTOJI,O,X,O,X,X,X
LSZITJO,X,X,O,X,O,O
LSZITOJ,X,O,O,X,O,O
LSZIJTO,X,X,O,X,O,O
LSZIJOT,O,O,X,X,O,O
LSZIOTJ,O,O,O,X,O,O
LSZIOJT,O,O,X,X,O,O
LSZJTIO,X,X,O,X,X,X
LSZJTOI,O,X,O,X,X,X
LSZJITO,X,X,O,X,X,O
LSZJIOT,O,X,X,X,X,O
LSZJOTI,O,X,X,X,X,X
LSZJOIT,O,X,X,X,X,X
LSZOTIJ,O,X,O,X,X,X
LSZOTJI,O,X,O,X,X,X
LSZOITJ,O,O,O,X,X,X
LSZOIJT,O,O,X,X,O,X
LSZOJTI,O,X,X,X,X,X
LSZOJIT,O,O,X,X,X,X
LSOTIJZ,O,X,X,X,O,X
LSOTIZJ,O,X,O,X,O,X
LSOTJIZ,O,X,X,O,X,X
LSOTJZI,X,X,O,O,X,X
LSOTZIJ,O,X,O,X,X,X
LSOTZJI,O,X,O,X,X,X
LSOITJZ,O,O,X,X,O,X
LSOITZJ,O,O,X,X,O,X
LSOIJTZ,O,O,X,X,O,X
LSOIJZT,O,O,X,X,O,X
LSOIZTJ,O,O,X,X,O,X
LSOIZJT,O,O,X,X,O,X
LSOJTIZ,O,X,X,O,X,X
LSOJTZI,X,X,X,O,X,X
LSOJITZ,O,O,X,X,O,X
LSOJIZT,O,O,X,X,O,X
LSOJZTI,O,X,X,X,X,X
LSOJZIT,O,O,X,X,X,X
LSOZTIJ,O,X,O,X,X,X
LSOZTJI,O,X,O,X,X,X
LSOZITJ,O,O,O,X,X,X
LSOZIJT,O,O,X,X,O,X
LSOZJTI,O,X,X,X,X,X
LSOZJIT,O,O,X,X,X,X
LZTIJSO,X,X,X,X,X,O
LZTIJOS,X,X,O,X,X,O
LZTISJO,X,X,O,X,X,O
LZTISOJ,X,O,O,X,X,O
LZTIOJS,X,O,O,X,X,O
LZTIOSJ,X,O,O,X,X,O
LZTJISO,X,X,X,O,X,O
LZTJIOS,X,X,O,O,X,O
LZTJSIO,X,X,O,O,X,X
LZTJSOI,O,X,O,O,X,X
LZTJOIS,O,X,O,O,X,X
LZTJOSI,O,X,O,O,X,X
LZTSIJO,X,X,O,X,X,X
LZTSIOJ,X,X,O,X,X,X
LZTSJIO,X,X,O,X,X,X
LZTSJOI,O,X,O,X,X,X
LZTSOIJ,O,X,O,X,X,X
LZTSOJI,O,X,O,X,X,X
LZTOIJS,O,O,O,X,X,X
LZTOISJ,X,O,O,X,X,X
LZTOJIS,O,O,O,O,X,X
LZTOJSI,O,X,O,O,X,X
LZTOSIJ,O,X,O,X,X,X
LZTOSJI,O,X,O,X,X,X
LZITJSO,X,X,X,X,X,O
LZITJOS,X,X,O,X,X,O
LZITSJO,X,X,O,X,X,O
LZITSOJ,X,O,O,X,X,O
LZITOJS,X,O,O,X,X,O
LZITOSJ,X,O,O,X,X,O
LZIJTSO,X,X,X,X,X,O
LZIJTOS,X,X,O,X,X,O
LZIJSTO,X,X,O,X,X,O
LZIJSOT,O,O,X,X,X,O
LZIJOTS,O,O,X,X,X,O
LZIJOST,O,O,X,X,X,O
LZISTJO,X,X,O,X,O,O
LZISTOJ,X,O,O,X,O,O
LZISJTO,X,X,O,X,O,O
LZISJOT,O,O,X,X,O,O
LZISOTJ,O,O,O,X,O,O
LZISOJT,O,O,X,X,O,O
LZIOTJS,O,O,O,X,X,O
LZIOTSJ,X,O,O,X,X,O
LZIOJTS,O,O,X,X,X,O
LZIOJST,O,O,X,X,X,O
LZIOSTJ,O,O,O,X,X,O
LZIOSJT,O,O,X,X,O,O
LZJTISO,X,X,X,O,X,O
LZJTIOS,X,X,O,O,X,O
LZJTSIO,X,X,O,O,X,X
LZJTSOI,O,X,O,O,X,X
LZJTOIS,O,X,O,O,X,X
LZJTOSI,O,X,O,O,X,X
LZJITSO,X,X,X,X,X,O
LZJITOS,X,X,O,X,X,O
LZJISTO,X,X,O,X,X,O
LZJISOT,O,O,X,X,X,O
LZJIOTS,O,O,X,X,X,O
LZJIOST,O,O,X,X,X,O
LZJSTIO,X,X,O,X,X,X
LZJSTOI,O,X,O,X,X,X
LZJSITO,X,X,O,X,X,O
LZJSIOT,O,X,X,X,X,O
LZJSOTI,O,X,X,X,X,X
LZJSOIT,O,X,X,X,X,X
LZJOTIS,O,O,X,O,X,X
LZJOTSI,O,X,X,O,X,X
LZJOITS,O,O,X,X,X,O
LZJOIST,O,O,X,X,X,O
LZJOSTI,O,X,X,X,X,X
LZJOSIT,O,O,X,X,X,X
LZSTIJO,X,X,O,X,O,X
LZSTIOJ,X,X,O,X,O,X
LZSTJIO,X,X,O,X,X,X
LZSTJOI,O,X,O,X,X,X
LZSTOIJ,O,X,O,X,X,X
LZSTOJI,O,X,O,X,X,X
LZSITJO,X,X,O,X,O,O
LZSITOJ,X,O,O,X,O,O
LZSIJTO,X,X,O,X,O,O
LZSIJOT,O,O,X,X,O,O
LZSIOTJ,O,O,O,X,O,O
LZSIOJT,O,O,X,X,O,O
LZSJTIO,X,X,O,X,X,X
LZSJTOI,O,X,O,X,X,X
LZSJITO,X,X,O,X,X,O
LZSJIOT,O,X,X,X,X,O
LZSJOTI,O,X,X,X,X,X
LZSJOIT,O,X,X,X,X,X
LZSOTIJ,O,X,O,X,X,X
LZSOTJI,O,X,O,X,X,X
LZSOITJ,O,O,O,X,X,X
LZSOIJT,O,O,X,X,O,X
LZSOJTI,O,X,X,X,X,X
LZSOJIT,O,O,X,X,X,X
LZOTIJS,O,O,O,X,X,X
LZOTISJ,X,O,O,X,X,X
LZOTJIS,O,O,O,O,X,X
LZOTJSI,O,X,O,O,X,X
LZOTSIJ,O,X,O,X,X,X
LZOTSJI,O,X,O,X,X,X
LZOITJS,O,O,O,X,X,O
LZOITSJ,X,O,O,X,X,O
LZOIJTS,O,O,X,X,X,O
LZOIJST,O,O,X,X,X,O
LZOISTJ,O,O,O,X,X,O
LZOISJT,O,O,X,X,O,O
