sequence,v115@9gB8HeB8HeA8GeD8BeB8CeA8JexAJvhFXiBTjBllBq?sBUqBmrB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JexAJvhF6nBTjBllB3?mBUqB2xB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeeFJvhFChBTjBxmB3?qBFsB0sB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeFCJvhFTjBfsBqsBR?qBOqB8qB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je/FJvhFRhBGjBTmBi?nBUqB1xB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je/FJvhFRhBGjBimBU?qBFsBzsB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je/FJvhFFhBSnBTjBU?qBxrB2xB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeiAJvhFWnBTjBRqBF?sB3qB0sB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeiAJvhFTjBWsBRqB3?qB0sBFsB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je2FJvhFCiBTjBRqBF?sB0sB3qB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeeFJvhFRhBcnBTjBS?rB1xB3qB
TSJZOLI,X,X,O,X,X,O,X,X,X,X,X
TSJOILZ,X,O,O,X,X,X,X,O,X,X,X
TSJOIZL,X,X,O,X,X,X,X,O,X,X,X
TSJOLIZ,X,O,O,X,X,X,X,X,X,X,X
TSJOLZI,X,O,O,X,X,X,X,X,X,X,X
TSJOZIL,X,X,O,X,X,X,X,X,X,X,X
TSJOZLI,X,X,O,X,X,X,X,X,X,X,X
TSZILJO,X,O,X,X,X,O,X,X,X,X,X
TSZILOJ,X,O,X,X,X,O,X,X,X,X,X
TSZIJLO,X,O,O,X,X,O,X,X,X,X,X
TSZIJOL,X,O,O,X,X,O,X,X,X,X,X
TSZIOLJ,X,O,X,X,X,O,X,X,X,X,X
TSZIOJL,X,O,O,X,X,O,X,X,X,X,X
TSZLIJO,X,O,X,X,X,O,X,X,X,X,X
TSZLIOJ,X,O,X,X,X,O,X,X,X,X,X
TSZLJIO,X,O,X,X,X,O,X,X,X,X,X
TSZLJOI,X,O,X,X,X,O,X,X,X,X,X
TSZLOIJ,X,O,X,X,X,O,X,X,X,X,X
TSZLOJI,X,O,X,X,X,O,X,X,X,X,X
TSZJILO,X,O,O,X,X,O,X,X,X,X,X
TSZJIOL,X,O,O,X,X,O,X,X,X,X,X
TSZJLIO,X,O,O,X,X,O,X,X,X,X,X
TSZJLOI,X,O,O,X,X,O,X,X,X,X,X
TSZJOIL,X,O,O,X,X,O,X,X,X,X,X
TSZJOLI,X,O,O,X,X,O,X,X,X,X,X
TSZOILJ,X,O,X,X,X,O,X,X,X,X,X
TSZOIJL,X,O,O,X,X,O,X,X,X,X,X
TSZOLIJ,X,O,X,X,X,O,X,X,X,X,X
TSZOLJI,X,O,X,X,X,O,X,X,X,X,X
TSZOJIL,X,O,O,X,X,O,X,X,X,X,X
TSZOJLI,X,O,O,X,X,O,X,X,X,X,X
TSOILJZ,X,O,O,O,X,X,X,O,X,X,X
TSOILZJ,X,O,X,O,X,X,X,O,X,X,X
TSOIJLZ,X,O,O,X,X,X,X,O,X,X,X
TSOIJZL,X,X,O,X,X,X,X,O,X,X,X
TSOIZLJ,X,O,X,X,X,X,X,O,X,X,X
TSOIZJL,X,X,O,X,X,X,X,O,X,X,X
TSOLIJZ,X,O,O,O,X,X,X,X,X,X,X
TSOLIZJ,X,O,X,O,X,X,X,X,X,X,X
TSOLJIZ,X,O,O,O,X,X,X,X,X,X,X
TSOLJZI,X,O,O,X,X,X,X,X,X,X,X
TSOLZIJ,X,O,X,O,X,X,X,X,X,X,X
TSOLZJI,X,O,X,X,X,X,X,X,X,X,X
TSOJILZ,X,O,O,X,X,X,X,O,X,X,X
TSOJIZL,X,X,O,X,X,X,X,O,X,X,X
TSOJLIZ,X,O,O,X,X,X,X,X,X,X,X
TSOJLZI,X,O,O,X,X,X,X,X,X,X,X
TSOJZIL,X,X,O,X,X,X,X,X,X,X,X
TSOJZLI,X,X,O,X,X,X,X,X,X,X,X
TSOZILJ,X,O,X,X,X,X,X,X,X,X,X
TSOZIJL,X,O,O,X,X,X,X,X,X,X,X
TSOZLIJ,X,O,X,X,X,X,X,X,X,X,X
TSOZLJI,X,O,X,X,X,X,X,X,X,X,X
TSOZJIL,X,O,O,X,X,X,X,X,X,X,X
TSOZJLI,X,O,O,X,X,X,X,X,X,X,X
TZILJSO,O,X,X,X,X,O,X,X,X,O,X
TZILJOS,O,X,X,X,X,X,X,X,X,O,X
TZILSJO,O,O,X,X,X,O,O,X,X,O,X
TZILSOJ,O,O,X,X,X,O,O,X,X,O,X
TZILOJS,O,X,X,X,X,X,X,X,X,O,X
TZILOSJ,O,O,X,X,X,X,O,X,X,O,X
TZIJLSO,O,X,X,X,X,O,X,X,X,O,X
TZIJLOS,O,X,X,X,X,X,X,X,X,O,X
TZIJSLO,O,O,X,X,X,O,X,O,X,O,X
TZIJSOL,O,O,X,X,X,O,X,O,X,O,X
TZIJOLS,O,X,X,X,X,X,X,X,X,O,X
TZIJOSL,O,O,X,X,X,X,X,O,X,O,X
TZISLJO,O,O,X,X,X,O,O,O,X,O,X
TZISLOJ,O,O,X,X,X,O,O,O,X,O,X
TZISJLO,O,O,O,X,X,O,O,O,X,O,X
TZISJOL,O,O,O,X,X,O,O,O,X,O,X
TZISOLJ,O,O,X,X,X,O,O,O,X,O,X
TZISOJL,O,O,O,X,X,O,O,O,X,O,X
TZIOLJS,O,X,X,X,X,X,X,X,X,O,X
TZIOLSJ,O,O,X,X,X,X,O,X,X,O,X
TZIOJLS,O,X,X,X,X,X,X,X,X,O,X
TZIOJSL,O,O,X,X,X,X,X,O,X,O,X
TZIOSLJ,O,O,X,X,X,X,O,O,X,O,X
TZIOSJL,O,O,O,X,X,X,O,O,X,O,X
TZLIJSO,O,X,X,X,X,O,X,X,X,O,X
TZLIJOS,O,X,X,X,X,X,X,X,X,O,X
TZLISJO,O,O,X,X,X,O,X,X,X,O,X
TZLISOJ,O,O,X,X,X,O,X,X,X,O,X
TZLIOJS,O,X,X,X,X,X,X,X,X,O,X
TZLIOSJ,O,O,X,X,X,X,X,X,X,O,X
TZLJISO,O,X,X,X,X,O,X,X,X,X,X
TZLJIOS,O,X,X,X,X,X,X,X,X,X,X
TZLJSIO,O,X,X,X,X,O,X,X,X,X,X
TZLJSOI,O,X,X,X,X,O,X,X,X,X,X
TZLJOIS,O,X,X,X,X,X,X,X,X,X,X
TZLJOSI,O,X,X,X,X,O,X,X,X,X,X
TZLSIJO,O,O,X,X,X,O,X,X,X,X,X
TZLSIOJ,O,O,X,X,X,O,X,X,X,X,X
TZLSJIO,O,O,X,X,X,O,X,X,X,X,X
TZLSJOI,O,O,X,X,X,O,X,X,X,X,X
TZLSOIJ,O,O,X,X,X,O,X,X,X,X,X
TZLSOJI,O,O,X,X,X,O,X,X,X,X,X
TZLOIJS,O,X,X,X,X,X,X,X,X,X,X
TZLOISJ,O,O,X,X,X,X,X,X,X,X,X
TZLOJIS,O,X,X,X,X,X,X,X,X,X,X
TZLOJSI,O,X,X,X,X,O,X,X,X,X,X
TZLOSIJ,O,O,X,X,X,O,X,X,X,X,X
TZLOSJI,O,O,X,X,X,O,X,X,X,X,X
TZJILSO,O,X,X,X,X,O,X,X,X,X,X
TZJILOS,O,X,X,X,X,X,X,X,X,X,X
TZJISLO,O,O,X,X,X,O,X,O,X,X,X
TZJISOL,O,O,X,X,X,O,X,O,X,X,X
TZJIOLS,O,X,X,X,X,X,X,X,X,X,X
TZJIOSL,O,O,X,X,X,X,X,O,X,X,X
TZJLISO,O,X,X,X,X,O,X,X,X,X,X
TZJLIOS,O,X,X,X,X,X,X,X,X,X,X
TZJLSIO,O,X,X,X,X,O,X,X,X,X,X
TZJLSOI,O,X,X,X,X,O,X,X,X,X,X
TZJLOIS,O,X,X,X,X,X,X,X,X,X,X
TZJLOSI,O,X,X,X,X,O,X,X,X,X,X
TZJSILO,O,O,X,X,X,O,X,X,X,X,X
TZJSIOL,O,O,X,X,O,O,X,X,X,X,X
TZJSLIO,O,O,X,X,X,O,X,X,X,X,X
TZJSLOI,O,O,X,X,X,O,X,X,X,X,X
TZJSOIL,O,O,X,X,O,O,X,X,X,X,X
TZJSOLI,O,O,X,X,X,O,X,X,X,X,X
TZJOILS,O,X,X,X,X,X,X,X,X,X,X
TZJOISL,O,O,X,X,X,X,X,O,X,X,X
TZJOLIS,O,X,X,X,X,X,X,X,X,X,X
TZJOLSI,O,X,X,X,X,O,X,X,X,X,X
TZJOSIL,O,O,X,X,O,O,X,X,X,X,X
TZJOSLI,O,O,X,X,X,O,X,X,X,X,X
TZSILJO,O,O,X,X,X,O,O,X,X,X,X
TZSILOJ,O,O,X,X,X,O,O,X,X,X,X
TZSIJLO,O,O,O,X,X,O,O,X,X,X,X
TZSIJOL,O,O,O,X,O,O,O,X,X,X,X
TZSIOLJ,O,O,X,X,X,O,O,X,X,X,X
TZSIOJL,O,O,O,X,X,O,O,X,X,X,X
TZSLIJO,O,O,X,X,X,O,O,X,X,X,X
TZSLIOJ,O,O,X,X,X,O,O,X,X,X,X
TZSLJIO,O,O,X,X,X,O,X,X,X,X,X
TZSLJOI,O,O,X,X,X,O,X,X,X,X,X
TZSLOIJ,O,O,X,X,X,O,O,X,X,X,X
TZSLOJI,O,O,X,X,X,O,X,X,X,X,X
TZSJILO,O,O,O,X,X,O,O,X,X,X,X
TZSJIOL,O,O,O,X,O,O,O,X,X,X,X
TZSJLIO,O,O,O,X,X,O,X,X,X,X,X
TZSJLOI,O,O,O,X,X,O,X,X,X,X,X
TZSJOIL,O,O,O,X,O,O,O,X,X,X,X
TZSJOLI,O,O,O,X,X,O,X,X,X,X,X
TZSOILJ,O,O,X,X,O,O,O,X,X,X,X
TZSOIJL,O,O,O,X,O,O,O,X,X,X,X
TZSOLIJ,O,O,X,X,O,O,O,X,X,X,X
TZSOLJI,O,O,X,X,O,O,X,X,X,X,X
TZSOJIL,O,O,O,X,O,O,O,X,X,X,X
TZSOJLI,O,O,O,X,O,O,X,X,X,X,X
TZOILJS,O,X,X,X,O,X,X,X,X,X,X
TZOILSJ,O,O,X,X,O,X,O,X,X,X,X
TZOIJLS,O,X,X,X,O,X,X,X,X,X,X
TZOIJSL,O,O,X,X,O,X,X,O,X,X,X
TZOISLJ,O,O,X,X,O,X,O,O,X,X,X
TZOISJL,O,O,O,X,O,X,O,O,X,X,X
TZOLIJS,O,X,X,X,O,X,X,X,X,X,X
TZOLISJ,O,O,X,X,O,X,X,X,X,X,X
TZOLJIS,O,X,X,X,O,X,X,X,X,X,X
TZOLJSI,O,X,X,X,O,O,X,X,X,X,X
TZOLSIJ,O,O,X,X,O,O,X,X,X,X,X
TZOLSJI,O,O,X,X,O,O,X,X,X,X,X
TZOJILS,O,X,X,X,O,X,X,X,X,X,X
TZOJISL,O,O,X,X,O,X,X,O,X,X,X
TZOJLIS,O,X,X,X,O,X,X,X,X,X,X
TZOJLSI,O,X,X,X,O,O,X,X,X,X,X
TZOJSIL,O,O,X,X,O,O,X,X,X,X,X
TZOJSLI,O,O,X,X,O,O,X,X,X,X,X
TZOSILJ,O,O,X,X,O,O,O,X,X,X,X
TZOSIJL,O,O,O,X,O,O,O,X,X,X,X
TZOSLIJ,O,O,X,X,O,O,O,X,X,X,X
TZOSLJI,O,O,X,X,O,O,X,X,X,X,X
TZOSJIL,O,O,O,X,O,O,O,X,X,X,X
TZOSJLI,O,O,O,X,O,O,X,X,X,X,X
TOILJSZ,X,X,X,X,X,X,X,O,X,X,X
TOILJZS,X,X,X,X,O,X,X,X,X,O,X
TOILSJZ,X,X,O,O,X,X,X,O,X,X,X
TOILSZJ,X,X,X,O,X,X,X,O,X,X,X
TOILZJS,X,X,X,X,O,X,X,X,X,O,X
TOILZSJ,X,X,X,X,O,X,O,X,X,O,X
TOIJLSZ,X,X,X,X,X,X,X,O,X,X,X
TOIJLZS,X,X,X,X,O,X,X,X,X,O,X
TOIJSLZ,X,X,O,X,X,X,X,O,O,X,X
TOIJSZL,X,X,O,X,X,X,X,O,O,X,X
TOIJZLS,X,X,X,X,O,X,X,X,X,O,X
TOIJZSL,X,X,X,X,O,X,X,O,O,O,X
TOISLJZ,X,X,O,O,X,X,X,O,X,X,X
TOISLZJ,X,X,X,O,X,X,X,O,X,X,X
TOISJLZ,X,X,O,X,X,X,X,O,X,X,X
TOISJZL,X,X,O,X,X,X,X,O,X,X,X
TOISZLJ,X,X,X,X,X,X,X,O,X,X,X
TOISZJL,X,X,O,X,X,X,X,O,X,X,X
TOIZLJS,X,X,X,X,O,X,X,X,X,O,X
TOIZLSJ,X,X,X,X,O,X,O,X,X,O,X
TOIZJLS,X,X,X,X,O,X,X,X,X,O,X
TOIZJSL,X,X,X,X,O,X,X,O,X,O,X
TOIZSLJ,X,X,X,X,O,X,O,O,X,O,X
TOIZSJL,X,X,O,X,O,X,O,O,X,O,X
TOLIJSZ,X,X,X,X,X,X,X,O,X,X,X
TOLIJZS,X,X,X,X,O,X,X,X,X,O,O
TOLISJZ,X,X,O,O,X,X,X,O,X,X,X
TOLISZJ,X,X,X,O,X,X,X,O,X,X,X
TOLIZJS,X,X,X,X,O,X,X,X,X,O,O
TOLIZSJ,X,X,X,X,O,X,X,X,X,O,X
TOLJISZ,O,X,X,X,X,X,X,O,X,X,X
TOLJIZS,O,X,X,X,O,X,X,X,X,X,O
TOLJSIZ,O,X,X,X,X,X,X,X,X,X,X
TOLJSZI,O,X,X,X,O,X,X,X,X,X,O
TOLJZIS,O,X,X,X,O,X,X,X,X,X,O
TOLJZSI,O,X,X,X,O,O,X,X,X,X,O
TOLSIJZ,O,X,O,O,X,X,X,X,X,X,X
TOLSIZJ,O,X,X,O,X,X,X,X,X,X,X
TOLSJIZ,O,X,O,O,X,X,X,X,X,X,X
TOLSJZI,O,X,O,X,O,X,X,X,X,X,O
TOLSZIJ,O,X,X,O,O,X,X,X,X,X,X
TOLSZJI,O,X,X,X,O,X,X,X,X,X,O
TOLZIJS,O,X,X,X,O,X,X,X,X,X,O
TOLZISJ,O,X,X,X,O,X,X,X,X,X,X
TOLZJIS,O,X,X,X,O,X,X,X,X,X,O
TOLZJSI,O,X,X,X,O,O,X,X,X,X,O
TOLZSIJ,O,X,X,X,O,O,X,X,X,X,X
TOLZSJI,O,X,X,X,O,O,X,X,X,X,O
TOJILSZ,O,X,X,X,X,X,X,O,X,X,X
TOJILZS,O,X,X,X,O,X,X,X,X,X,X
TOJISLZ,O,X,O,X,X,X,X,O,O,X,X
TOJISZL,X,X,O,X,X,X,X,O,O,X,X
TOJIZLS,O,X,X,X,O,X,X,X,X,X,X
TOJIZSL,X,X,X,X,O,X,X,O,O,X,X
TOJLISZ,O,X,X,X,X,X,X,O,X,X,X
TOJLIZS,O,X,X,X,O,X,X,X,X,X,O
TOJLSIZ,O,X,X,X,X,X,X,X,X,X,X
TOJLSZI,O,X,X,X,O,X,X,X,X,X,O
TOJLZIS,O,X,X,X,O,X,X,X,X,X,O
TOJLZSI,O,X,X,X,O,O,X,X,X,X,O
TOJSILZ,O,X,O,X,X,X,X,O,X,X,X
TOJSIZL,X,X,O,X,X,X,X,O,X,X,X
TOJSLIZ,O,X,O,X,X,X,X,X,X,X,X
TOJSLZI,O,X,O,X,O,X,X,X,X,X,X
TOJSZIL,X,X,O,X,O,X,X,X,X,X,X
TOJSZLI,X,X,O,X,O,X,X,X,X,X,X
TOJZILS,O,X,X,X,O,X,X,X,X,X,X
TOJZISL,O,X,X,X,O,X,X,O,X,X,X
TOJZLIS,O,X,X,X,O,X,X,X,X,X,X
TOJZLSI,O,X,X,X,O,O,X,X,X,X,X
TOJZSIL,O,X,X,X,O,O,X,X,X,X,X
TOJZSLI,O,X,X,X,O,O,X,X,X,X,X
TOSILJZ,X,O,O,O,X,X,X,O,X,X,X
TOSILZJ,X,O,X,O,X,X,X,O,X,X,X
TOSIJLZ,X,O,O,X,X,X,X,O,X,X,X
TOSIJZL,X,X,O,X,X,X,X,O,X,X,X
TOSIZLJ,X,O,X,X,X,X,X,O,X,X,X
TOSIZJL,X,X,O,X,X,X,X,O,X,X,X
TOSLIJZ,X,O,O,O,X,X,X,X,X,X,X
TOSLIZJ,X,O,X,O,X,X,X,X,X,X,X
TOSLJIZ,X,O,O,O,X,X,X,X,X,X,X
TOSLJZI,X,O,O,X,O,X,X,X,X,X,X
TOSLZIJ,X,O,X,O,O,X,X,X,X,X,X
TOSLZJI,X,O,X,X,O,X,X,X,X,X,X
TOSJILZ,X,O,O,X,X,X,X,O,X,X,X
TOSJIZL,X,X,O,X,X,X,X,O,X,X,X
TOSJLIZ,X,O,O,X,X,X,X,X,X,X,X
TOSJLZI,X,O,O,X,O,X,X,X,X,X,X
TOSJZIL,X,X,O,X,O,X,X,X,X,X,X
TOSJZLI,X,X,O,X,O,X,X,X,X,X,X
TOSZILJ,X,O,X,X,O,X,X,X,X,X,X
TOSZIJL,X,O,O,X,O,X,X,X,X,X,X
TOSZLIJ,X,O,X,X,O,X,X,X,X,X,X
TOSZLJI,X,O,X,X,O,X,X,X,X,X,X
TOSZJIL,X,O,O,X,O,X,X,X,X,X,X
TOSZJLI,X,O,O,X,O,X,X,X,X,X,X
TOZILJS,O,X,X,X,O,X,X,X,X,X,X
TOZILSJ,O,O,X,X,O,X,O,X,X,X,X
TOZIJLS,O,X,X,X,O,X,X,X,X,X,X
TOZIJSL,O,O,X,X,O,X,X,O,X,X,X
TOZISLJ,O,O,X,X,O,X,O,O,X,X,X
TOZISJL,O,O,O,X,O,X,O,O,X,X,X
TOZLIJS,O,X,X,X,O,X,X,X,X,X,X
TOZLISJ,O,O,X,X,O,X,X,X,X,X,X
TOZLJIS,O,X,X,X,O,X,X,X,X,X,X
TOZLJSI,O,X,X,X,O,O,X,X,X,X,X
TOZLSIJ,O,O,X,X,O,O,X,X,X,X,X
TOZLSJI,O,O,X,X,O,O,X,X,X,X,X
TOZJILS,O,X,X,X,O,X,X,X,X,X,X
TOZJISL,O,O,X,X,O,X,X,O,X,X,X
TOZJLIS,O,X,X,X,O,X,X,X,X,X,X
TOZJLSI,O,X,X,X,O,O,X,X,X,X,X
TOZJSIL,O,O,X,X,O,O,X,X,X,X,X
TOZJSLI,O,O,X,X,O,O,X,X,X,X,X
TOZSILJ,O,O,X,X,O,O,O,X,X,X,X
TOZSIJL,O,O,O,X,O,O,O,X,X,X,X
TOZSLIJ,O,O,X,X,O,O,O,X,X,X,X
TOZSLJI,O,O,X,X,O,O,X,X,X,X,X
TOZSJIL,O,O,O,X,O,O,O,X,X,X,X
TOZSJLI,O,O,O,X,O,O,X,X,X,X,X
ITLJSZO,X,X,X,X,X,X,X,O,X,O,X
ITLJSOZ,X,X,X,X,X,X,X,O,X,X,X
ITLJZSO,X,X,X,X,X,O,X,X,X,O,X
ITLJZOS,X,X,X,X,X,X,X,X,X,O,X
ITLJOSZ,X,X,X,X,X,X,X,O,X,X,X
ITLJOZS,X,X,X,X,X,X,X,X,X,O,X
ITLSJZO,X,X,O,O,X,X,X,O,X,O,X
ITLSJOZ,X,X,O,O,X,X,X,O,X,X,X
ITLSZJO,X,X,X,O,X,X,X,O,X,O,X
ITLSZOJ,X,X,X,O,X,X,X,O,X,O,X
ITLSOJZ,X,X,O,O,X,X,X,O,X,X,X
ITLSOZJ,X,X,X,O,X,X,X,O,X,X,X
ITLZJSO,X,X,X,X,X,O,X,X,X,O,X
ITLZJOS,X,X,X,X,X,X,X,X,X,O,X
ITLZSJO,X,X,X,X,X,O,O,X,X,O,X
ITLZSOJ,X,X,X,X,X,O,O,X,X,O,X
ITLZOJS,X,X,X,X,X,X,X,X,X,O,X
ITLZOSJ,X,X,X,X,X,X,O,X,X,O,X
ITLOJSZ,X,X,X,X,X,X,X,O,X,X,X
ITLOJZS,X,X,X,X,X,X,X,X,X,O,X
ITLOSJZ,X,X,O,O,X,X,X,O,X,X,X
ITLOSZJ,X,X,X,O,X,X,X,O,X,X,X
ITLOZJS,X,X,X,X,X,X,X,X,X,O,X
ITLOZSJ,X,X,X,X,X,X,O,X,X,O,X
ITJLSZO,X,X,X,X,X,X,X,O,X,O,X
ITJLSOZ,X,X,X,X,X,X,X,O,X,X,X
ITJLZSO,X,X,X,X,X,O,X,X,X,O,X
ITJLZOS,X,X,X,X,X,X,X,X,X,O,X
ITJLOSZ,X,X,X,X,X,X,X,O,X,X,X
ITJLOZS,X,X,X,X,X,X,X,X,X,O,X
ITJSLZO,X,X,O,X,X,X,X,O,O,O,X
ITJSLOZ,X,X,O,X,X,X,X,O,O,X,X
ITJSZLO,X,X,O,X,X,X,X,O,O,O,X
ITJSZOL,X,X,O,X,X,X,X,O,O,O,X
ITJSOLZ,X,X,O,X,X,X,X,O,O,X,X
ITJSOZL,X,X,O,X,X,X,X,O,O,X,X
ITJZLSO,X,X,X,X,X,O,X,X,X,O,X
ITJZLOS,X,X,X,X,X,X,X,X,X,O,X
ITJZSLO,X,X,X,X,X,O,X,O,O,O,X
ITJZSOL,X,X,X,X,X,O,X,O,O,O,X
ITJZOLS,X,X,X,X,X,X,X,X,X,O,X
ITJZOSL,X,X,X,X,X,X,X,O,O,O,X
ITJOLSZ,X,X,X,X,X,X,X,O,X,X,X
ITJOLZS,X,X,X,X,X,X,X,X,X,O,X
ITJOSLZ,X,X,O,X,X,X,X,O,O,X,X
ITJOSZL,X,X,O,X,X,X,X,O,O,X,X
ITJOZLS,X,X,X,X,X,X,X,X,X,O,X
ITJOZSL,X,X,X,X,X,X,X,O,O,O,X
ITSLJZO,X,X,O,O,X,X,X,O,X,O,X
ITSLJOZ,X,X,O,O,X,X,X,O,X,X,X
ITSLZJO,X,X,X,O,X,X,X,O,X,O,X
ITSLZOJ,X,X,X,O,X,X,X,O,X,O,X
ITSLOJZ,X,X,O,O,X,X,X,O,X,X,X
ITSLOZJ,X,X,X,O,X,X,X,O,X,X,X
ITSJLZO,X,X,O,X,X,X,X,O,X,O,X
ITSJLOZ,X,X,O,X,X,X,X,O,X,X,X
ITSJZLO,X,X,O,X,X,X,X,O,X,O,X
ITSJZOL,X,X,O,X,X,X,X,O,X,O,X
ITSJOLZ,X,X,O,X,X,X,X,O,X,X,X
ITSJOZL,X,X,O,X,X,X,X,O,X,X,X
ITSZLJO,X,X,X,X,X,X,X,O,X,O,X
ITSZLOJ,X,X,X,X,X,X,X,O,X,O,X
ITSZJLO,X,X,O,X,X,X,X,O,X,O,X
ITSZJOL,X,X,O,X,X,X,X,O,X,O,X
ITSZOLJ,X,X,X,X,X,X,X,O,X,O,X
ITSZOJL,X,X,O,X,X,X,X,O,X,O,X
ITSOLJZ,X,X,O,O,X,X,X,O,X,X,X
ITSOLZJ,X,X,X,O,X,X,X,O,X,X,X
ITSOJLZ,X,X,O,X,X,X,X,O,X,X,X
ITSOJZL,X,X,O,X,X,X,X,O,X,X,X
ITSOZLJ,X,X,X,X,X,X,X,O,X,X,X
ITSOZJL,X,X,O,X,X,X,X,O,X,X,X
ITZLJSO,X,X,X,X,X,O,X,X,X,O,X
ITZLJOS,X,X,X,X,X,X,X,X,X,O,X
ITZLSJO,X,X,X,X,X,O,O,X,X,O,X
ITZLSOJ,X,X,X,X,X,O,O,X,X,O,X
ITZLOJS,X,X,X,X,X,X,X,X,X,O,X
ITZLOSJ,X,X,X,X,X,X,O,X,X,O,X
ITZJLSO,X,X,X,X,X,O,X,X,X,O,X
ITZJLOS,X,X,X,X,X,X,X,X,X,O,X
ITZJSLO,X,X,X,X,X,O,X,O,X,O,X
ITZJSOL,X,X,X,X,X,O,X,O,X,O,X
ITZJOLS,X,X,X,X,X,X,X,X,X,O,X
ITZJOSL,X,X,X,X,X,X,X,O,X,O,X
ITZSLJO,X,X,X,X,X,O,O,O,X,O,X
ITZSLOJ,X,X,X,X,X,O,O,O,X,O,X
ITZSJLO,X,X,O,X,X,O,O,O,X,O,X
ITZSJOL,X,X,O,X,X,O,O,O,X,O,X
ITZSOLJ,X,X,X,X,X,O,O,O,X,O,X
ITZSOJL,X,X,O,X,X,O,O,O,X,O,X
ITZOLJS,X,X,X,X,X,X,X,X,X,O,X
ITZOLSJ,X,X,X,X,X,X,O,X,X,O,X
ITZOJLS,X,X,X,X,X,X,X,X,X,O,X
ITZOJSL,X,X,X,X,X,X,X,O,X,O,X
ITZOSLJ,X,X,X,X,X,X,O,O,X,O,X
ITZOSJL,X,X,O,X,X,X,O,O,X,O,X
ITOLJSZ,X,X,X,X,X,X,X,O,X,X,X
ITOLJZS,X,X,X,X,X,X,X,X,X,O,X
ITOLSJZ,X,X,O,O,X,X,X,O,X,X,X
ITOLSZJ,X,X,X,O,X,X,X,O,X,X,X
ITOLZJS,X,X,X,X,X,X,X,X,X,O,X
ITOLZSJ,X,X,X,X,X,X,O,X,X,O,X
ITOJLSZ,X,X,X,X,X,X,X,O,X,X,X
ITOJLZS,X,X,X,X,X,X,X,X,X,O,X
ITOJSLZ,X,X,O,X,X,X,X,O,O,X,X
ITOJSZL,X,X,O,X,X,X,X,O,O,X,X
ITOJZLS,X,X,X,X,X,X,X,X,X,O,X
ITOJZSL,X,X,X,X,X,X,X,O,O,O,X
ITOSLJZ,X,X,O,O,X,X,X,O,X,X,X
ITOSLZJ,X,X,X,O,X,X,X,O,X,X,X
ITOSJLZ,X,X,O,X,X,X,X,O,X,X,X
ITOSJZL,X,X,O,X,X,X,X,O,X,X,X
ITOSZLJ,X,X,X,X,X,X,X,O,X,X,X
ITOSZJL,X,X,O,X,X,X,X,O,X,X,X
ITOZLJS,X,X,X,X,X,X,X,X,X,O,X
ITOZLSJ,X,X,X,X,X,X,O,X,X,O,X
ITOZJLS,X,X,X,X,X,X,X,X,X,O,X
ITOZJSL,X,X,X,X,X,X,X,O,X,O,X
ITOZSLJ,X,X,X,X,X,X,O,O,X,O,X
ITOZSJL,X,X,O,X,X,X,O,O,X,O,X
ILTJSZO,X,X,X,X,X,X,X,O,X,O,X
ILTJSOZ,X,X,X,X,X,X,X,O,X,X,X
ILTJZSO,X,X,X,X,X,X,X,X,X,O,O
ILTJZOS,X,X,X,X,X,X,X,X,X,O,O
ILTJOSZ,X,X,X,X,X,X,X,O,X,X,X
ILTJOZS,X,X,X,X,X,X,X,X,X,O,O
ILTSJZO,X,X,X,O,X,X,X,O,X,O,X
ILTSJOZ,X,X,X,O,X,X,X,O,X,X,X
ILTSZJO,X,X,X,O,X,X,X,O,X,O,X
ILTSZOJ,X,X,X,O,X,X,X,O,X,O,X
ILTSOJZ,X,X,X,O,X,X,X,O,X,X,X
ILTSOZJ,X,X,X,O,X,X,X,O,X,X,X
ILTZJSO,X,X,X,X,X,X,X,X,X,O,O
ILTZJOS,X,X,X,X,X,X,X,X,X,O,O
ILTZSJO,X,X,X,X,X,X,O,X,X,O,X
ILTZSOJ,X,X,X,X,X,X,O,X,X,O,X
ILTZOJS,X,X,X,X,X,X,X,X,X,O,O
ILTZOSJ,X,X,X,X,X,X,O,X,X,O,X
ILTOJSZ,X,X,X,X,X,X,X,O,X,X,X
ILTOJZS,X,X,X,X,X,X,X,X,X,O,O
ILTOSJZ,X,X,X,O,X,X,X,O,X,X,X
ILTOSZJ,X,X,X,O,X,X,X,O,X,X,X
ILTOZJS,X,X,X,X,X,X,X,X,X,O,O
ILTOZSJ,X,X,X,X,X,X,O,X,X,O,X
ILJTSZO,O,X,X,X,X,X,X,X,X,O,X
ILJTSOZ,O,X,X,X,X,X,X,X,X,X,X
ILJTZSO,O,X,X,X,X,X,X,X,X,O,O
ILJTZOS,O,X,X,X,X,X,X,X,X,O,O
ILJTOSZ,O,X,X,X,X,X,X,X,X,X,X
