sequence,v115@JhA8DeA8DeA8DeC8AeC8CeC8JeZEJvhFukBtlBXiBT?jBirB0rB,v115@JhA8DeA8DeA8DeC8AeC8CeC8JeZEJvhFukBUhBTjBf?rBdsBCsB,v115@JhA8DeA8DeA8DeC8AeC8CeC8Jei/IvhFtlBxhBTjBc?pBmrB3rB
TOSIZLJ,X,O,O
TOSIZJL,O,O,X
TOSLIJZ,O,O,X
TOSLIZJ,O,O,X
TOSLJIZ,O,O,X
TOSLJZI,O,O,X
TOSLZIJ,O,O,X
TOSLZJI,O,O,X
TOSJILZ,O,O,X
TOSJIZL,O,O,O
TOSJLIZ,O,O,X
TOSJLZI,O,O,X
TOSJZIL,O,O,O
TOSJZLI,X,O,O
TOSZILJ,X,O,O
TOSZIJL,O,O,X
TOSZLIJ,X,O,O
TOSZLJI,X,O,O
TOSZJIL,O,O,O
TOSZJLI,X,O,O
TOZILJS,O,X,O
TOZILSJ,O,X,O
TOZIJLS,O,X,O
TOZIJSL,O,O,O
TOZISLJ,X,O,O
TOZISJL,O,O,X
TOZLIJS,O,X,O
TOZLISJ,O,X,O
TOZLJIS,O,X,O
TOZLJSI,O,X,O
TOZLSIJ,O,X,O
TOZLSJI,O,X,O
TOZJILS,O,X,O
TOZJISL,O,O,O
TOZJLIS,O,X,O
TOZJLSI,O,X,O
TOZJSIL,O,O,O
TOZJSLI,X,O,O
TOZSILJ,X,O,O
TOZSIJL,O,O,X
TOZSLIJ,X,O,O
TOZSLJI,X,O,O
TOZSJIL,O,O,O
TOZSJLI,X,O,O
ITLJSZO,O,O,X
ITLJSOZ,O,O,X
ITLJZSO,O,X,X
ITLJZOS,O,X,X
ITLJOSZ,O,O,X
ITLJOZS,O,X,X
ITLSJZO,O,O,X
ITLSJOZ,O,O,X
ITLSZJO,O,O,X
ITLSZOJ,O,O,X
ITLSOJZ,O,O,X
ITLSOZJ,O,O,X
ITLZJSO,O,X,X
ITLZJOS,O,X,O
ITLZSJO,O,X,X
ITLZSOJ,O,X,O
ITLZOJS,O,X,O
ITLZOSJ,O,X,O
ITLOJSZ,O,O,X
ITLOJZS,O,X,X
ITLOSJZ,O,O,X
ITLOSZJ,O,O,X
ITLOZJS,O,X,O
ITLOZSJ,O,X,O
ITJLSZO,O,O,X
ITJLSOZ,O,O,X
ITJLZSO,O,X,O
ITJLZOS,O,X,O
ITJLOSZ,O,O,X
ITJLOZS,O,X,O
ITJSLZO,O,O,X
ITJSLOZ,O,O,X
ITJSZLO,X,O,O
ITJSZOL,O,O,O
ITJSOLZ,O,O,X
ITJSOZL,O,O,O
ITJZLSO,O,X,O
ITJZLOS,O,X,O
ITJZSLO,X,O,O
ITJZSOL,O,O,O
ITJZOLS,O,X,O
ITJZOSL,O,O,O
ITJOLSZ,O,O,X
ITJOLZS,O,X,O
ITJOSLZ,O,O,X
ITJOSZL,O,O,O
ITJOZLS,O,X,O
ITJOZSL,O,O,O
ITSLJZO,O,O,X
ITSLJOZ,O,O,X
ITSLZJO,O,O,X
ITSLZOJ,O,O,X
ITSLOJZ,O,O,X
ITSLOZJ,O,O,X
ITSJLZO,O,O,X
ITSJLOZ,O,O,X
ITSJZLO,X,O,X
ITSJZOL,O,O,X
ITSJOLZ,O,O,X
ITSJOZL,O,O,X
ITSZLJO,X,O,X
ITSZLOJ,X,O,O
ITSZJLO,X,O,X
ITSZJOL,O,O,X
ITSZOLJ,X,O,O
ITSZOJL,O,O,X
ITSOLJZ,O,O,X
ITSOLZJ,O,O,X
ITSOJLZ,O,O,X
ITSOJZL,O,O,X
ITSOZLJ,X,O,O
ITSOZJL,O,O,X
ITZLJSO,O,X,O
ITZLJOS,O,X,O
ITZLSJO,O,X,X
ITZLSOJ,O,X,O
ITZLOJS,O,X,O
ITZLOSJ,O,X,O
ITZJLSO,O,X,O
ITZJLOS,O,X,O
ITZJSLO,X,O,O
ITZJSOL,O,O,O
ITZJOLS,O,X,O
ITZJOSL,O,O,O
ITZSLJO,X,O,X
ITZSLOJ,X,O,O
ITZSJLO,X,O,X
ITZSJOL,O,O,X
ITZSOLJ,X,O,O
ITZSOJL,O,O,X
ITZOLJS,O,X,O
ITZOLSJ,O,X,O
ITZOJLS,O,X,O
ITZOJSL,O,O,O
ITZOSLJ,X,O,O
ITZOSJL,O,O,X
ITOLJSZ,O,O,X
ITOLJZS,O,X,X
ITOLSJZ,O,O,X
ITOLSZJ,O,O,X
ITOLZJS,O,X,O
ITOLZSJ,O,X,O
ITOJLSZ,O,O,X
ITOJLZS,O,X,O
ITOJSLZ,O,O,X
ITOJSZL,O,O,O
ITOJZLS,O,X,O
ITOJZSL,O,O,O
ITOSLJZ,O,O,X
ITOSLZJ,O,O,X
ITOSJLZ,O,O,X
ITOSJZL,O,O,X
ITOSZLJ,X,O,O
ITOSZJL,O,O,X
ITOZLJS,O,X,O
ITOZLSJ,O,X,O
ITOZJLS,O,X,O
ITOZJSL,O,O,O
ITOZSLJ,X,O,O
ITOZSJL,O,O,X
ILTJSZO,O,O,X
ILTJSOZ,O,O,X
ILTJZSO,O,X,X
ILTJZOS,O,X,X
ILTJOSZ,O,O,X
ILTJOZS,O,X,X
ILTSJZO,O,O,X
ILTSJOZ,O,O,X
ILTSZJO,O,O,X
ILTSZOJ,O,O,X
ILTSOJZ,O,O,X
ILTSOZJ,O,O,X
ILTZJSO,O,X,X
ILTZJOS,O,X,X
ILTZSJO,O,X,X
ILTZSOJ,O,X,X
ILTZOJS,O,X,X
ILTZOSJ,O,X,X
ILTOJSZ,O,O,X
ILTOJZS,O,X,X
ILTOSJZ,O,O,X
ILTOSZJ,O,O,X
ILTOZJS,O,X,X
ILTOZSJ,O,X,X
ILJTSZO,O,O,X
ILJTSOZ,O,O,X
ILJTZSO,O,X,X
ILJTZOS,O,X,X
ILJTOSZ,O,O,X
ILJTOZS,O,X,X
ILJSTZO,O,O,X
ILJSTOZ,O,O,X
ILJSZTO,O,X,X
ILJSZOT,O,X,X
ILJSOTZ,O,O,X
ILJSOZT,O,X,X
ILJZTSO,O,X,X
ILJZTOS,O,X,X
ILJZSTO,O,X,X
ILJZSOT,O,X,X
ILJZOTS,O,X,X
ILJZOST,O,X,X
ILJOTSZ,O,O,X
ILJOTZS,O,X,X
ILJOSTZ,O,O,X
ILJOSZT,O,X,X
ILJOZTS,O,X,X
ILJOZST,O,X,X
ILSTJZO,O,O,X
ILSTJOZ,O,O,X
ILSTZJO,O,O,X
ILSTZOJ,O,O,X
ILSTOJZ,O,O,X
ILSTOZJ,O,O,X
ILSJTZO,O,O,X
ILSJTOZ,O,O,X
ILSJZTO,O,X,X
ILSJZOT,O,X,X
ILSJOTZ,O,O,X
ILSJOZT,O,X,X
ILSZTJO,O,X,X
ILSZTOJ,O,X,X
ILSZJTO,O,X,X
ILSZJOT,O,X,X
ILSZOTJ,O,X,X
ILSZOJT,O,X,X
ILSOTJZ,O,O,X
ILSOTZJ,O,O,X
ILSOJTZ,O,O,X
ILSOJZT,O,X,X
ILSOZTJ,O,X,X
ILSOZJT,O,X,X
ILZTJSO,O,X,X
ILZTJOS,O,X,X
ILZTSJO,O,X,X
ILZTSOJ,O,X,X
ILZTOJS,O,X,X
ILZTOSJ,O,X,X
ILZJTSO,O,X,X
ILZJTOS,O,X,X
ILZJSTO,O,X,X
ILZJSOT,O,X,X
ILZJOTS,O,X,X
ILZJOST,O,X,X
ILZSTJO,O,X,X
ILZSTOJ,O,X,X
ILZSJTO,O,X,X
ILZSJOT,O,X,X
ILZSOTJ,O,X,X
ILZSOJT,O,X,X
ILZOTJS,O,X,X
ILZOTSJ,O,X,X
ILZOJTS,O,X,X
ILZOJST,O,X,X
ILZOSTJ,O,X,X
ILZOSJT,O,X,X
