sequence,v115@BhB8GeB8HeA8FeA8BeF8KeT/IvhFOlBliB5oB3mBys?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeT/IvhFOlB/nBaoB5oB1r?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeOEJvhFXgBynB5oB1rB0n?BzpB,v115@BhB8GeB8HeA8FeA8BeF8KeOFJvhF/nBaoB5oBTkB1r?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeOFJvhFliB5oBTkB3mBys?B0pB
TSJLOIZ,O,O,O,O,O
TSJLOZI,O,O,X,O,O
TSJZILO,O,O,O,O,X
TSJZIOL,O,O,X,O,X
TSJZLIO,O,O,O,O,X
TSJZLOI,O,O,X,O,X
TSJZOIL,O,O,X,O,X
TSJZOLI,O,O,X,O,X
TSJOILZ,X,O,O,O,O
TSJOIZL,O,O,X,O,X
TSJOLIZ,X,O,O,O,O
TSJOLZI,X,O,X,O,O
TSJOZIL,O,O,X,O,X
TSJOZLI,O,O,X,O,X
TSZILJO,O,O,O,O,X
TSZILOJ,O,O,X,O,X
TSZIJLO,O,O,O,O,X
TSZIJOL,O,O,X,O,X
TSZIOLJ,O,O,X,O,X
TSZIOJL,O,O,X,O,X
TSZLIJO,O,O,O,O,X
TSZLIOJ,O,O,X,O,X
TSZLJIO,O,O,O,O,X
TSZLJOI,O,O,X,O,X
TSZLOIJ,O,O,X,O,X
TSZLOJI,O,O,X,O,X
TSZJILO,O,O,O,O,X
TSZJIOL,O,O,X,O,X
TSZJLIO,O,O,O,O,X
TSZJLOI,O,O,X,O,X
TSZJOIL,O,O,X,O,X
TSZJOLI,O,O,X,O,X
TSZOILJ,O,O,X,O,X
TSZOIJL,O,O,X,O,X
TSZOLIJ,O,O,X,O,X
TSZOLJI,O,O,X,O,X
TSZOJIL,O,O,X,O,X
TSZOJLI,O,O,X,O,X
TSOILJZ,X,O,O,O,O
TSOILZJ,X,O,O,O,O
TSOIJLZ,X,O,O,O,O
TSOIJZL,O,O,O,O,X
TSOIZLJ,O,O,O,O,X
TSOIZJL,O,O,O,O,X
TSOLIJZ,X,O,O,O,O
TSOLIZJ,X,O,O,O,O
TSOLJIZ,X,O,O,O,O
TSOLJZI,X,O,O,O,O
TSOLZIJ,X,O,O,O,O
TSOLZJI,X,O,O,O,O
TSOJILZ,X,O,O,O,O
TSOJIZL,O,O,O,O,X
TSOJLIZ,X,O,O,O,O
TSOJLZI,X,O,O,O,O
TSOJZIL,O,O,O,O,X
TSOJZLI,O,O,O,O,X
TSOZILJ,O,O,O,O,X
TSOZIJL,O,O,O,O,X
TSOZLIJ,O,O,O,O,X
TSOZLJI,O,O,O,O,X
TSOZJIL,O,O,O,O,X
TSOZJLI,O,O,O,O,X
TZILJSO,O,O,O,X,X
TZILJOS,O,O,X,X,X
TZILSJO,O,O,O,X,X
TZILSOJ,O,O,X,X,X
TZILOJS,O,O,O,X,X
TZILOSJ,O,O,O,X,X
TZIJLSO,O,O,O,X,X
TZIJLOS,O,O,X,X,X
TZIJSLO,O,O,O,O,X
TZIJSOL,O,O,X,O,X
TZIJOLS,O,O,X,X,X
TZIJOSL,O,O,X,O,X
TZISLJO,O,O,O,O,X
TZISLOJ,O,O,X,O,X
TZISJLO,O,O,O,O,X
TZISJOL,O,O,X,O,X
TZISOLJ,O,O,X,O,X
TZISOJL,O,O,X,O,X
TZIOLJS,O,O,O,X,X
TZIOLSJ,O,O,O,X,X
TZIOJLS,O,O,O,X,X
TZIOJSL,O,O,O,O,X
TZIOSLJ,O,O,O,O,X
TZIOSJL,O,O,O,O,X
TZLIJSO,O,O,O,X,X
TZLIJOS,O,O,X,X,X
TZLISJO,O,O,O,X,X
TZLISOJ,O,O,X,X,X
TZLIOJS,O,O,O,X,X
TZLIOSJ,O,O,O,X,X
TZLJISO,O,O,O,X,X
TZLJIOS,O,O,X,X,X
TZLJSIO,O,O,O,X,X
TZLJSOI,O,O,X,X,X
TZLJOIS,O,O,X,X,X
TZLJOSI,O,O,X,X,X
TZLSIJO,O,O,O,X,X
TZLSIOJ,O,O,X,X,X
TZLSJIO,O,O,O,X,X
TZLSJOI,O,O,X,X,X
TZLSOIJ,O,O,X,X,X
TZLSOJI,O,O,X,X,X
TZLOIJS,O,O,O,X,X
TZLOISJ,O,O,O,X,X
TZLOJIS,O,O,O,X,X
TZLOJSI,O,O,O,X,X
TZLOSIJ,O,O,O,X,X
TZLOSJI,O,O,O,X,X
TZJILSO,O,O,O,X,X
TZJILOS,O,O,X,X,X
TZJISLO,O,O,O,O,X
TZJISOL,O,O,X,O,X
TZJIOLS,O,O,X,X,X
TZJIOSL,O,O,X,O,X
TZJLISO,O,O,O,X,X
TZJLIOS,O,O,X,X,X
TZJLSIO,O,O,O,X,X
TZJLSOI,O,O,X,X,X
TZJLOIS,O,O,X,X,X
TZJLOSI,O,O,X,X,X
TZJSILO,O,O,O,O,X
TZJSIOL,O,O,X,O,X
TZJSLIO,O,O,O,O,X
TZJSLOI,O,O,X,O,X
TZJSOIL,O,O,X,O,X
TZJSOLI,O,O,X,O,X
TZJOILS,O,O,X,X,X
TZJOISL,O,O,X,O,X
TZJOLIS,O,O,X,X,X
TZJOLSI,O,O,X,X,X
TZJOSIL,O,O,X,O,X
TZJOSLI,O,O,X,O,X
TZSILJO,O,O,O,O,X
TZSILOJ,O,O,X,O,X
TZSIJLO,O,O,O,O,X
TZSIJOL,O,O,X,O,X
TZSIOLJ,O,O,X,O,X
TZSIOJL,O,O,X,O,X
TZSLIJO,O,O,O,O,X
TZSLIOJ,O,O,X,O,X
TZSLJIO,O,O,O,O,X
TZSLJOI,O,O,X,O,X
TZSLOIJ,O,O,X,O,X
TZSLOJI,O,O,X,O,X
TZSJILO,O,O,O,O,X
TZSJIOL,O,O,X,O,X
TZSJLIO,O,O,O,O,X
TZSJLOI,O,O,X,O,X
TZSJOIL,O,O,X,O,X
TZSJOLI,O,O,X,O,X
TZSOILJ,O,O,X,O,X
TZSOIJL,O,O,X,O,X
TZSOLIJ,O,O,X,O,X
TZSOLJI,O,O,X,O,X
TZSOJIL,O,O,X,O,X
TZSOJLI,O,O,X,O,X
TZOILJS,O,O,O,X,X
TZOILSJ,O,O,O,X,X
TZOIJLS,O,O,O,X,X
TZOIJSL,O,O,O,O,X
TZOISLJ,O,O,O,O,X
TZOISJL,O,O,O,O,X
TZOLIJS,O,O,O,X,X
TZOLISJ,O,O,O,X,X
TZOLJIS,O,O,O,X,X
TZOLJSI,O,O,O,X,X
TZOLSIJ,O,O,O,X,X
TZOLSJI,O,O,O,X,X
TZOJILS,O,O,O,X,X
TZOJISL,O,O,O,O,X
TZOJLIS,O,O,O,X,X
TZOJLSI,O,O,O,X,X
TZOJSIL,O,O,O,O,X
TZOJSLI,O,O,O,O,X
TZOSILJ,O,O,O,O,X
TZOSIJL,O,O,O,O,X
TZOSLIJ,O,O,O,O,X
TZOSLJI,O,O,O,O,X
TZOSJIL,O,O,O,O,X
TZOSJLI,O,O,O,O,X
TOILJSZ,X,X,O,O,X
TOILJZS,X,X,O,X,X
TOILSJZ,X,X,O,O,X
TOILSZJ,X,X,O,O,X
TOILZJS,X,X,O,X,X
TOILZSJ,X,X,O,X,X
TOIJLSZ,X,X,O,O,X
TOIJLZS,X,X,O,X,X
TOIJSLZ,X,O,O,O,O
TOIJSZL,X,O,O,O,X
TOIJZLS,X,O,O,X,X
TOIJZSL,X,O,O,O,X
TOISLJZ,X,O,O,O,O
TOISLZJ,X,O,O,O,O
TOISJLZ,X,O,O,O,O
TOISJZL,X,O,O,O,X
TOISZLJ,X,O,O,O,X
TOISZJL,X,O,O,O,X
TOIZLJS,X,O,O,X,X
TOIZLSJ,X,O,O,X,X
TOIZJLS,X,O,O,X,X
TOIZJSL,X,O,O,O,X
TOIZSLJ,X,O,O,O,X
TOIZSJL,X,O,O,O,X
TOLIJSZ,X,X,O,O,X
TOLIJZS,X,X,O,X,X
TOLISJZ,X,X,O,O,X
TOLISZJ,X,X,O,O,X
TOLIZJS,X,X,O,X,X
TOLIZSJ,X,X,O,X,X
TOLJISZ,X,X,O,O,X
TOLJIZS,X,X,O,X,X
TOLJSIZ,X,X,O,O,X
TOLJSZI,X,X,O,O,X
TOLJZIS,X,X,O,X,X
TOLJZSI,X,X,O,X,X
TOLSIJZ,X,X,O,O,X
TOLSIZJ,X,X,O,O,X
TOLSJIZ,X,X,O,O,X
TOLSJZI,X,X,O,O,X
TOLSZIJ,X,X,O,O,X
TOLSZJI,X,X,O,O,X
TOLZIJS,X,X,O,X,X
TOLZISJ,X,X,O,X,X
TOLZJIS,X,X,O,X,X
TOLZJSI,X,X,O,X,X
TOLZSIJ,X,X,O,X,X
TOLZSJI,X,X,O,X,X
TOJILSZ,X,X,O,O,X
TOJILZS,X,X,O,X,X
TOJISLZ,X,O,O,O,O
TOJISZL,X,O,O,O,X
TOJIZLS,X,O,O,X,X
TOJIZSL,X,O,O,O,X
TOJLISZ,X,X,O,O,X
TOJLIZS,X,X,O,X,X
TOJLSIZ,X,X,O,O,X
TOJLSZI,X,X,O,O,X
TOJLZIS,X,X,O,X,X
TOJLZSI,X,X,O,X,X
TOJSILZ,X,O,O,O,O
TOJSIZL,X,O,O,O,X
TOJSLIZ,X,O,O,O,O
TOJSLZI,X,O,O,O,O
TOJSZIL,X,O,O,O,X
TOJSZLI,X,O,O,O,X
TOJZILS,X,O,O,X,X
TOJZISL,X,O,O,O,X
TOJZLIS,X,O,O,X,X
TOJZLSI,X,O,O,X,X
TOJZSIL,X,O,O,O,X
TOJZSLI,X,O,O,O,X
TOSILJZ,X,O,O,O,O
TOSILZJ,X,O,O,O,O
TOSIJLZ,X,O,O,O,O
TOSIJZL,X,O,O,O,X
TOSIZLJ,X,O,O,O,X
TOSIZJL,X,O,O,O,X
TOSLIJZ,X,O,O,O,O
TOSLIZJ,X,O,O,O,O
TOSLJIZ,X,O,O,O,O
TOSLJZI,X,O,O,O,O
TOSLZIJ,X,O,O,O,O
TOSLZJI,X,O,O,O,O
TOSJILZ,X,O,O,O,O
TOSJIZL,X,O,O,O,X
TOSJLIZ,X,O,O,O,O
TOSJLZI,X,O,O,O,O
TOSJZIL,X,O,O,O,X
TOSJZLI,X,O,O,O,X
TOSZILJ,X,O,O,O,X
TOSZIJL,X,O,O,O,X
TOSZLIJ,X,O,O,O,X
TOSZLJI,X,O,O,O,X
TOSZJIL,X,O,O,O,X
TOSZJLI,X,O,O,O,X
TOZILJS,X,O,O,X,X
TOZILSJ,X,O,O,X,X
TOZIJLS,X,O,O,X,X
TOZIJSL,X,O,O,O,X
TOZISLJ,X,O,O,O,X
TOZISJL,X,O,O,O,X
TOZLIJS,X,O,O,X,X
TOZLISJ,X,O,O,X,X
TOZLJIS,X,O,O,X,X
TOZLJSI,X,O,O,X,X
TOZLSIJ,X,O,O,X,X
TOZLSJI,X,O,O,X,X
TOZJILS,X,O,O,X,X
TOZJISL,X,O,O,O,X
TOZJLIS,X,O,O,X,X
TOZJLSI,X,O,O,X,X
TOZJSIL,X,O,O,O,X
TOZJSLI,X,O,O,O,X
TOZSILJ,X,O,O,O,X
TOZSIJL,X,O,O,O,X
TOZSLIJ,X,O,O,O,X
TOZSLJI,X,O,O,O,X
