sequence,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeOEJvhFVlBRhB3iB0?mBzpBSxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8Jex/IvhFXhBliBikBU?nBzpBWxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeOEJvhFXgBliBRmB0?mBzpBSxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8Jex/IvhFXhBliBmkBz?mB0pBSxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8Jex/IvhFXhB8mBunBi?kBzpBVxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeUBJvhFRiB/pBFlB6?sBzrBmpB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeUBJvhF3iBxkBzmBm?pBSxBlpB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeKEJvhFUhBRiBFlBG?sBXsBzpB
TZJSOLI,X,X,X,X,O,X,X,X
TZJOILS,X,X,X,O,O,X,X,X
TZJOISL,O,X,X,O,O,X,X,X
TZJOLIS,O,X,X,O,O,X,X,X
TZJOLSI,O,X,X,O,O,X,X,X
TZJOSIL,O,X,X,O,O,X,X,X
TZJOSLI,X,X,X,X,O,X,X,X
TZSILJO,O,O,X,O,O,X,O,X
TZSILOJ,X,X,X,O,O,O,O,X
TZSIJLO,O,O,X,O,O,X,O,X
TZSIJOL,O,O,X,O,O,X,X,X
TZSIOLJ,O,O,X,O,O,O,X,X
TZSIOJL,O,O,X,O,O,X,X,X
TZSLIJO,O,O,X,O,O,X,X,X
TZSLIOJ,O,X,X,O,O,O,X,X
TZSLJIO,O,X,X,O,O,X,X,X
TZSLJOI,O,X,X,O,O,O,X,X
TZSLOIJ,O,X,X,O,O,O,X,X
TZSLOJI,O,X,X,O,O,O,X,X
TZSJILO,O,X,X,O,O,X,O,X
TZSJIOL,O,X,X,O,O,X,X,X
TZSJLIO,O,X,X,O,O,X,X,X
TZSJLOI,O,X,X,O,O,O,X,X
TZSJOIL,O,X,X,O,O,X,X,X
TZSJOLI,X,X,X,X,O,O,X,X
TZSOILJ,O,O,X,O,O,O,X,X
TZSOIJL,O,O,X,O,O,X,X,X
TZSOLIJ,O,O,X,X,O,O,X,X
TZSOLJI,O,X,X,X,O,O,X,X
TZSOJIL,O,X,X,O,O,X,X,X
TZSOJLI,O,X,X,X,O,O,X,X
TZOILJS,O,X,X,X,O,X,X,X
TZOILSJ,O,X,X,X,O,X,X,X
TZOIJLS,O,X,X,X,O,X,X,X
TZOIJSL,O,X,O,X,O,X,X,X
TZOISLJ,O,X,X,X,O,X,X,X
TZOISJL,O,X,O,X,O,X,X,X
TZOLIJS,O,X,O,X,O,X,X,X
TZOLISJ,O,O,O,X,O,O,X,X
TZOLJIS,O,X,O,O,O,X,X,X
TZOLJSI,O,X,O,O,O,X,X,X
TZOLSIJ,O,O,O,O,O,O,X,X
TZOLSJI,O,X,O,O,O,O,X,X
TZOJILS,O,X,X,O,O,X,X,X
TZOJISL,O,X,O,O,O,X,X,X
TZOJLIS,O,X,O,O,O,X,X,X
TZOJLSI,O,X,O,O,O,X,X,X
TZOJSIL,O,X,O,O,O,X,X,X
TZOJSLI,O,X,O,X,O,X,X,X
TZOSILJ,O,O,X,O,O,O,X,X
TZOSIJL,O,O,O,O,O,X,X,X
TZOSLIJ,O,O,O,X,O,O,X,X
TZOSLJI,O,X,O,X,O,O,X,X
TZOSJIL,O,X,O,O,O,X,X,X
TZOSJLI,O,X,O,X,O,O,X,X
TOILJSZ,O,O,O,X,O,X,X,X
TOILJZS,O,X,O,X,O,X,X,X
TOILSJZ,O,O,O,X,O,X,X,X
TOILSZJ,O,O,O,X,O,X,X,X
TOILZJS,O,X,O,X,O,X,X,X
TOILZSJ,O,O,O,X,O,X,X,X
TOIJLSZ,O,X,O,X,O,X,X,X
TOIJLZS,O,X,O,X,O,X,X,X
TOIJSLZ,O,X,O,X,X,X,X,X
TOIJSZL,O,X,O,X,X,X,X,X
TOIJZLS,O,X,X,X,O,X,X,X
TOIJZSL,O,X,O,X,O,X,X,X
TOISLJZ,O,O,O,X,X,X,X,X
TOISLZJ,O,O,O,X,X,X,X,X
TOISJLZ,O,O,O,X,X,X,X,X
TOISJZL,O,O,O,X,X,X,X,X
TOISZLJ,O,O,X,X,X,X,X,X
TOISZJL,O,O,O,X,X,X,X,X
TOIZLJS,O,X,X,X,O,X,X,X
TOIZLSJ,O,X,X,X,O,X,X,X
TOIZJLS,O,X,X,X,O,X,X,X
TOIZJSL,O,X,O,X,O,X,X,X
TOIZSLJ,O,X,X,X,O,X,X,X
TOIZSJL,O,X,O,X,O,X,X,X
TOLIJSZ,O,O,O,X,O,X,X,X
TOLIJZS,O,O,O,X,O,X,X,X
TOLISJZ,O,O,O,X,O,O,X,X
TOLISZJ,O,O,O,X,O,O,X,X
TOLIZJS,O,X,O,X,O,X,X,X
TOLIZSJ,O,O,O,X,O,O,X,X
TOLJISZ,O,O,O,X,O,X,X,X
TOLJIZS,O,O,O,X,O,X,X,X
TOLJSIZ,O,O,O,X,O,X,X,X
TOLJSZI,O,O,O,X,O,X,X,X
TOLJZIS,O,O,O,X,O,X,X,X
TOLJZSI,O,O,O,X,O,X,X,X
TOLSIJZ,O,O,O,O,O,O,X,X
TOLSIZJ,O,O,O,O,O,O,X,X
TOLSJIZ,O,O,O,X,O,O,X,X
TOLSJZI,O,O,O,X,O,O,X,X
TOLSZIJ,O,O,O,O,O,O,X,X
TOLSZJI,O,X,O,O,O,O,X,X
TOLZIJS,O,X,O,X,O,X,X,X
TOLZISJ,O,O,O,X,O,O,X,X
TOLZJIS,O,X,O,O,O,X,X,X
TOLZJSI,O,X,O,O,O,X,X,X
TOLZSIJ,O,O,O,O,O,O,X,X
TOLZSJI,O,X,O,O,O,O,X,X
TOJILSZ,O,O,O,X,O,X,X,X
TOJILZS,O,O,O,X,O,X,X,X
TOJISLZ,O,O,O,X,X,X,X,X
TOJISZL,O,O,O,X,X,X,X,X
TOJIZLS,O,X,X,X,O,X,X,X
TOJIZSL,O,X,O,X,O,X,X,X
TOJLISZ,O,O,O,X,O,X,X,X
TOJLIZS,O,O,O,X,O,X,X,X
TOJLSIZ,O,O,O,X,O,X,X,X
TOJLSZI,O,O,O,X,O,X,X,X
TOJLZIS,O,O,O,X,O,X,X,X
TOJLZSI,O,O,O,X,O,X,X,X
TOJSILZ,O,O,O,X,X,X,X,X
TOJSIZL,O,O,O,X,X,X,X,X
TOJSLIZ,O,O,O,X,O,X,X,X
TOJSLZI,O,O,O,X,O,X,X,X
TOJSZIL,O,O,O,X,O,X,X,X
TOJSZLI,O,O,O,X,O,X,X,X
TOJZILS,O,O,X,X,O,X,X,X
TOJZISL,O,O,O,X,O,X,X,X
TOJZLIS,O,O,O,X,O,X,X,X
TOJZLSI,O,O,O,X,O,X,X,X
TOJZSIL,O,O,O,X,O,X,X,X
TOJZSLI,O,O,O,X,O,X,X,X
TOSILJZ,O,O,O,O,X,O,X,X
TOSILZJ,O,O,O,O,X,O,X,X
TOSIJLZ,O,O,O,X,X,X,X,X
TOSIJZL,O,O,O,X,X,X,X,X
TOSIZLJ,O,O,X,O,X,O,X,X
TOSIZJL,O,O,O,O,X,X,X,X
TOSLIJZ,O,O,O,X,O,O,X,X
TOSLIZJ,O,O,O,X,O,O,X,X
TOSLJIZ,O,O,O,X,O,O,X,X
TOSLJZI,O,O,O,X,O,O,X,X
TOSLZIJ,O,O,O,X,O,O,X,X
TOSLZJI,O,X,O,X,O,O,X,X
TOSJILZ,O,O,O,X,X,X,X,X
TOSJIZL,O,O,O,X,X,X,X,X
TOSJLIZ,O,O,O,X,O,O,X,X
TOSJLZI,O,O,O,X,O,O,X,X
TOSJZIL,O,O,O,X,O,X,X,X
TOSJZLI,O,O,O,X,O,O,X,X
TOSZILJ,O,O,X,O,O,O,X,X
TOSZIJL,O,O,O,O,O,X,X,X
TOSZLIJ,O,O,O,X,O,O,X,X
TOSZLJI,O,X,O,X,O,O,X,X
TOSZJIL,O,X,O,O,O,X,X,X
TOSZJLI,O,X,O,X,O,O,X,X
TOZILJS,O,X,X,X,O,X,X,X
TOZILSJ,O,X,X,X,O,X,X,X
TOZIJLS,O,X,X,X,O,X,X,X
TOZIJSL,O,X,O,X,O,X,X,X
TOZISLJ,O,X,X,X,O,X,X,X
TOZISJL,O,X,O,X,O,X,X,X
TOZLIJS,O,X,O,X,O,X,X,X
TOZLISJ,O,O,O,X,O,O,X,X
TOZLJIS,O,X,O,O,O,X,X,X
TOZLJSI,O,X,O,O,O,X,X,X
TOZLSIJ,O,O,O,O,O,O,X,X
TOZLSJI,O,X,O,O,O,O,X,X
TOZJILS,O,X,X,O,O,X,X,X
TOZJISL,O,X,O,O,O,X,X,X
TOZJLIS,O,X,O,O,O,X,X,X
TOZJLSI,O,X,O,O,O,X,X,X
TOZJSIL,O,X,O,O,O,X,X,X
TOZJSLI,O,X,O,X,O,X,X,X
TOZSILJ,O,O,X,O,O,O,X,X
TOZSIJL,O,O,O,O,O,X,X,X
TOZSLIJ,O,O,O,X,O,O,X,X
TOZSLJI,O,X,O,X,O,O,X,X
TOZSJIL,O,X,O,O,O,X,X,X
TOZSJLI,O,X,O,X,O,O,X,X
ITLJSZO,O,O,O,X,O,X,X,X
ITLJSOZ,O,O,O,X,X,X,X,X
ITLJZSO,O,X,O,X,O,X,X,X
ITLJZOS,O,X,X,X,O,X,X,X
ITLJOSZ,O,X,O,X,X,X,X,X
ITLJOZS,X,X,O,X,O,X,X,X
ITLSJZO,O,O,O,O,O,X,X,X
ITLSJOZ,O,O,O,O,X,X,X,X
ITLSZJO,O,O,O,O,O,X,O,X
ITLSZOJ,O,X,X,O,O,X,O,X
ITLSOJZ,O,O,O,O,X,X,X,X
ITLSOZJ,X,X,O,O,X,X,X,X
ITLZJSO,O,X,O,O,O,X,X,X
ITLZJOS,O,X,X,O,O,X,X,X
ITLZSJO,O,O,O,O,O,X,O,X
ITLZSOJ,O,X,X,O,O,X,O,X
ITLZOJS,O,X,O,X,O,X,X,X
ITLZOSJ,O,X,O,X,O,X,X,X
ITLOJSZ,O,X,O,X,X,X,X,X
ITLOJZS,X,X,O,X,O,X,X,X
ITLOSJZ,O,O,O,X,X,X,X,X
ITLOSZJ,X,X,O,X,X,X,X,X
ITLOZJS,X,X,O,X,O,X,X,X
ITLOZSJ,X,X,O,X,O,X,X,X
ITJLSZO,O,X,O,X,O,X,X,X
ITJLSOZ,O,X,O,X,X,X,X,X
ITJLZSO,O,X,O,X,O,X,X,X
ITJLZOS,O,X,X,X,O,X,X,X
ITJLOSZ,O,X,O,X,X,X,X,X
ITJLOZS,X,X,X,X,O,X,X,X
ITJSLZO,O,X,O,X,X,X,X,X
ITJSLOZ,O,X,O,X,X,X,X,X
ITJSZLO,O,X,O,X,X,X,X,X
ITJSZOL,O,X,O,X,X,X,X,X
ITJSOLZ,O,X,O,X,X,X,X,X
ITJSOZL,O,X,O,X,X,X,X,X
ITJZLSO,O,X,X,X,O,X,X,X
ITJZLOS,O,X,X,X,O,X,X,X
ITJZSLO,O,X,O,X,O,X,X,X
ITJZSOL,O,X,O,X,O,X,X,X
ITJZOLS,X,X,X,X,O,X,X,X
ITJZOSL,O,X,X,X,O,X,X,X
ITJOLSZ,O,X,O,X,O,X,X,X
ITJOLZS,X,X,X,X,O,X,X,X
ITJOSLZ,O,X,O,X,X,X,X,X
ITJOSZL,O,X,O,X,X,X,X,X
ITJOZLS,X,X,X,X,O,X,X,X
ITJOZSL,X,X,O,X,O,X,X,X
ITSLJZO,O,O,O,O,X,X,X,X
ITSLJOZ,O,O,O,O,X,X,X,X
ITSLZJO,O,O,O,O,X,X,O,X
ITSLZOJ,O,X,X,O,X,X,O,X
ITSLOJZ,O,O,O,O,X,X,X,X
ITSLOZJ,X,O,X,O,X,X,X,X
ITSJLZO,O,O,O,O,X,X,X,X
ITSJLOZ,O,O,O,O,X,X,X,X
ITSJZLO,O,O,O,O,X,X,X,X
ITSJZOL,O,O,O,O,X,X,X,X
ITSJOLZ,O,O,O,X,X,X,X,X
ITSJOZL,O,O,O,X,X,X,X,X
ITSZLJO,O,O,X,O,X,X,O,X
ITSZLOJ,X,X,X,O,X,X,O,X
ITSZJLO,O,O,O,O,X,X,O,X
ITSZJOL,O,O,O,O,X,X,X,X
ITSZOLJ,X,O,X,O,X,X,X,X
ITSZOJL,O,O,X,O,X,X,X,X
ITSOLJZ,X,O,O,O,X,X,X,X
ITSOLZJ,X,O,X,O,X,X,X,X
ITSOJLZ,O,O,O,X,X,X,X,X
ITSOJZL,O,O,O,X,X,X,X,X
ITSOZLJ,X,O,X,O,X,X,X,X
ITSOZJL,X,O,O,O,X,X,X,X
ITZLJSO,O,X,X,O,O,X,X,X
ITZLJOS,O,X,X,O,O,X,X,X
ITZLSJO,O,X,X,O,O,X,O,X
ITZLSOJ,O,X,X,O,O,X,O,X
ITZLOJS,O,X,X,X,O,X,X,X
ITZLOSJ,O,X,X,X,O,X,X,X
ITZJLSO,O,X,X,O,O,X,X,X
ITZJLOS,O,X,X,O,O,X,X,X
ITZJSLO,O,X,O,O,O,X,X,X
ITZJSOL,O,X,O,O,O,X,X,X
ITZJOLS,X,X,X,O,O,X,X,X
ITZJOSL,O,X,X,O,O,X,X,X
ITZSLJO,O,X,X,O,O,X,O,X
ITZSLOJ,X,X,X,O,O,X,O,X
ITZSJLO,O,X,O,O,O,X,O,X
ITZSJOL,O,X,O,O,O,X,X,X
ITZSOLJ,X,X,X,O,O,X,X,X
ITZSOJL,O,X,X,O,O,X,X,X
ITZOLJS,X,X,X,X,O,X,X,X
ITZOLSJ,X,X,X,X,O,X,X,X
ITZOJLS,X,X,X,X,O,X,X,X
ITZOJSL,O,X,O,X,O,X,X,X
ITZOSLJ,X,X,X,X,O,X,X,X
ITZOSJL,O,X,O,X,O,X,X,X
ITOLJSZ,O,O,O,X,O,X,X,X
ITOLJZS,X,X,O,X,O,X,X,X
ITOLSJZ,O,O,O,X,O,X,X,X
ITOLSZJ,X,O,O,X,O,X,X,X
ITOLZJS,X,X,O,X,O,X,X,X
ITOLZSJ,X,O,O,X,O,X,X,X
ITOJLSZ,O,X,O,X,O,X,X,X
ITOJLZS,X,X,O,X,O,X,X,X
ITOJSLZ,O,X,O,X,X,X,X,X
ITOJSZL,O,X,O,X,X,X,X,X
ITOJZLS,X,X,X,X,O,X,X,X
ITOJZSL,X,X,O,X,O,X,X,X
ITOSLJZ,X,O,O,X,X,X,X,X
ITOSLZJ,X,O,O,X,X,X,X,X
ITOSJLZ,O,O,O,X,X,X,X,X
ITOSJZL,O,O,O,X,X,X,X,X
ITOSZLJ,X,O,X,X,X,X,X,X
ITOSZJL,X,O,O,X,X,X,X,X
ITOZLJS,X,X,X,X,O,X,X,X
ITOZLSJ,X,X,X,X,O,X,X,X
ITOZJLS,X,X,X,X,O,X,X,X
ITOZJSL,X,X,O,X,O,X,X,X
ITOZSLJ,X,X,X,X,O,X,X,X
ITOZSJL,X,X,O,X,O,X,X,X
ILTJSZO,O,O,O,X,O,X,X,O
ILTJSOZ,O,O,O,X,X,X,X,O
ILTJZSO,O,O,O,X,O,X,X,O
ILTJZOS,O,O,X,X,O,X,X,X
ILTJOSZ,O,O,O,X,X,X,X,X
ILTJOZS,X,X,O,X,O,X,X,X
ILTSJZO,O,O,O,O,O,X,X,X
ILTSJOZ,O,O,O,O,X,X,X,X
ILTSZJO,O,O,O,O,O,X,O,X
ILTSZOJ,O,X,X,O,O,X,O,X
ILTSOJZ,O,O,O,O,X,X,X,X
ILTSOZJ,X,X,O,O,X,X,X,X
ILTZJSO,O,X,O,O,O,X,X,O
ILTZJOS,O,X,X,O,O,X,X,X
ILTZSJO,O,O,O,O,O,X,O,X
ILTZSOJ,O,X,X,O,O,X,O,X
ILTZOJS,O,X,O,X,O,X,X,X
ILTZOSJ,O,X,O,X,O,X,X,X
ILTOJSZ,O,X,O,X,X,X,X,X
ILTOJZS,X,X,O,X,O,X,X,X
ILTOSJZ,O,O,O,X,X,X,X,X
ILTOSZJ,X,X,O,X,X,X,X,X
ILTOZJS,X,X,O,X,O,X,X,X
ILTOZSJ,X,X,O,X,O,X,X,X
ILJTSZO,O,O,O,X,O,X,O,O
ILJTSOZ,O,O,O,X,X,X,X,O
ILJTZSO,O,O,O,X,O,X,O,O
ILJTZOS,O,O,X,X,O,X,X,X
ILJTOSZ,O,O,O,X,X,X,X,X
ILJTOZS,X,X,O,X,O,X,X,X
ILJSTZO,O,O,O,X,O,X,O,X
ILJSTOZ,O,O,O,X,X,X,X,X
ILJSZTO,O,O,O,X,X,X,O,X
ILJSZOT,X,O,X,X,X,X,O,X
ILJSOTZ,X,O,O,X,X,X,X,X
ILJSOZT,X,O,X,X,X,X,O,X
ILJZTSO,O,O,O,X,O,X,O,O
ILJZTOS,O,O,X,X,O,X,X,X
ILJZSTO,O,O,O,X,X,X,O,X
ILJZSOT,X,O,X,X,X,X,O,X
ILJZOTS,X,O,X,X,X,X,X,X
ILJZOST,X,O,X,X,X,X,O,X
ILJOTSZ,X,O,O,X,X,X,X,X
ILJOTZS,X,X,O,X,O,X,X,X
ILJOSTZ,X,O,O,X,X,X,X,X
ILJOSZT,X,O,O,X,X,X,O,X
ILJOZTS,X,O,O,X,X,X,X,X
ILJOZST,X,O,O,X,X,X,O,X
ILSTJZO,O,O,O,O,O,X,X,X
ILSTJOZ,O,O,O,O,X,X,X,X
ILSTZJO,O,O,O,O,O,X,O,X
ILSTZOJ,O,X,X,O,O,O,O,X
ILSTOJZ,O,O,O,O,X,X,X,X
ILSTOZJ,O,X,O,O,X,X,X,X
ILSJTZO,O,O,O,O,O,X,O,X
ILSJTOZ,O,O,O,O,X,X,X,X
ILSJZTO,O,O,O,X,X,X,O,X
ILSJZOT,X,O,X,X,X,X,O,X
ILSJOTZ,O,O,O,X,X,X,X,X
ILSJOZT,X,O,X,X,X,X,O,X
ILSZTJO,O,O,O,O,X,X,O,X
ILSZTOJ,O,X,X,O,X,O,O,X
ILSZJTO,O,O,O,O,X,X,O,X
ILSZJOT,O,O,X,O,X,X,O,X
ILSZOTJ,O,X,X,O,X,X,O,X
ILSZOJT,O,X,X,X,X,X,O,X
ILSOTJZ,O,O,O,O,X,X,X,X
ILSOTZJ,O,X,O,O,X,X,X,X
ILSOJTZ,O,O,O,X,X,X,X,X
ILSOJZT,X,O,O,X,X,X,X,X
ILSOZTJ,O,X,O,X,X,X,O,X
ILSOZJT,O,X,O,X,X,X,O,X
ILZTJSO,O,X,O,O,O,X,X,O
ILZTJOS,O,X,X,O,O,X,X,X
ILZTSJO,O,O,O,O,O,X,O,X
ILZTSOJ,O,X,X,O,O,X,O,X
ILZTOJS,O,X,O,X,O,X,X,X
ILZTOSJ,O,X,O,X,O,X,X,X
ILZJTSO,O,O,O,O,O,X,O,O
ILZJTOS,O,O,X,O,O,X,X,X
ILZJSTO,O,O,O,O,X,X,O,X
ILZJSOT,O,O,X,O,X,X,O,X
ILZJOTS,O,O,X,O,X,X,X,X
ILZJOST,O,O,X,O,X,X,O,X
ILZSTJO,O,O,O,O,X,X,O,X
ILZSTOJ,O,X,X,O,X,O,O,X
ILZSJTO,O,O,O,O,X,X,O,X
ILZSJOT,O,O,X,O,X,X,O,X
ILZSOTJ,O,X,X,O,X,X,O,X
ILZSOJT,O,X,X,X,X,X,O,X
ILZOTJS,O,X,O,O,X,X,X,X
ILZOTSJ,O,X,O,O,X,X,X,X
ILZOJTS,O,X,O,O,X,X,X,X
ILZOJST,O,X,O,O,X,X,X,X
ILZOSTJ,O,X,O,O,X,X,O,X
ILZOSJT,O,X,O,O,X,X,O,X
ILOTJSZ,O,X,O,X,X,X,X,X
ILOTJZS,O,X,O,X,O,X,X,X
ILOTSJZ,O,O,O,O,X,X,X,X
ILOTSZJ,O,X,O,O,X,X,X,X
ILOTZJS,O,X,O,O,O,X,X,X
ILOTZSJ,O,X,O,O,O,X,X,X
ILOJTSZ,O,O,O,X,X,X,X,X
ILOJTZS,O,X,O,X,O,X,X,X
ILOJSTZ,O,O,O,X,X,X,X,X
ILOJSZT,X,O,O,X,X,X,X,X
ILOJZTS,X,O,O,X,X,X,X,X
ILOJZST,X,O,O,X,X,X,X,X
ILOSTJZ,O,O,O,O,X,X,X,X
ILOSTZJ,O,X,O,O,X,X,X,X
ILOSJTZ,O,O,O,O,X,X,X,X
ILOSJZT,X,O,O,X,X,X,X,X
ILOSZTJ,O,X,O,O,X,X,O,X
ILOSZJT,O,X,O,O,X,X,O,X
ILOZTJS,O,X,O,O,X,X,X,X
ILOZTSJ,O,X,O,O,X,X,X,X
ILOZJTS,O,X,O,O,X,X,X,X
ILOZJST,O,X,O,O,X,X,X,X
ILOZSTJ,O,X,O,O,X,X,O,X
ILOZSJT,O,X,O,O,X,X,O,X
IJTLSZO,O,O,O,X,O,X,O,X
IJTLSOZ,O,O,O,X,X,X,X,X
IJTLZSO,O,O,O,X,O,X,O,X
IJTLZOS,O,X,X,X,O,X,X,X
IJTLOSZ,O,O,O,X,X,X,X,X
IJTLOZS,X,X,X,X,O,X,X,X
IJTSLZO,O,O,O,X,X,X,O,X
IJTSLOZ,O,O,O,X,X,X,X,X
IJTSZLO,O,O,O,X,X,X,O,X
IJTSZOL,O,O,O,X,X,X,X,X
IJTSOLZ,O,O,O,X,X,X,X,X
IJTSOZL,O,O,O,X,X,X,X,X
IJTZLSO,O,X,X,X,O,X,O,X
IJTZLOS,O,X,X,X,O,X,X,X
IJTZSLO,O,X,O,X,O,X,O,X
IJTZSOL,O,X,O,X,O,X,X,X
IJTZOLS,X,X,X,X,O,X,X,X
IJTZOSL,O,X,X,X,O,X,X,X
IJTOLSZ,O,O,O,X,O,X,X,X
IJTOLZS,X,O,X,X,O,X,X,X
IJTOSLZ,O,O,O,X,X,X,X,X
IJTOSZL,O,O,O,X,X,X,X,X
IJTOZLS,X,X,X,X,O,X,X,X
IJTOZSL,X,X,O,X,O,X,X,X
IJLTSZO,O,O,O,X,O,X,O,O
IJLTSOZ,O,O,O,X,X,X,X,O
IJLTZSO,O,O,O,X,O,X,O,O
IJLTZOS,O,O,X,X,O,X,X,X
IJLTOSZ,O,O,O,X,X,X,X,X
IJLTOZS,X,X,O,X,O,X,X,X
IJLSTZO,O,O,O,X,O,X,O,X
IJLSTOZ,O,O,O,X,X,X,X,X
IJLSZTO,O,O,O,X,X,X,O,X
IJLSZOT,X,O,X,X,X,X,O,X
IJLSOTZ,X,O,O,X,X,X,X,X
IJLSOZT,X,O,X,X,X,X,O,X
IJLZTSO,O,O,O,X,O,X,O,O
IJLZTOS,O,O,X,X,O,X,X,X
IJLZSTO,O,O,O,X,X,X,O,X
IJLZSOT,X,O,X,X,X,X,O,X
IJLZOTS,X,O,X,X,X,X,X,X
IJLZOST,X,O,X,X,X,X,O,X
IJLOTSZ,X,O,O,X,X,X,X,X
IJLOTZS,X,X,O,X,O,X,X,X
IJLOSTZ,X,O,O,X,X,X,X,X
IJLOSZT,X,O,O,X,X,X,O,X
IJLOZTS,X,O,O,X,X,X,X,X
IJLOZST,X,O,O,X,X,X,O,X
IJSTLZO,O,O,O,X,X,X,O,X
IJSTLOZ,O,O,O,X,X,X,X,X
IJSTZLO,O,O,O,X,X,X,O,X
IJSTZOL,O,O,O,X,X,X,X,X
IJSTOLZ,O,O,O,X,X,X,X,X
IJSTOZL,O,O,O,X,X,X,X,X
IJSLTZO,O,O,O,X,X,X,O,X
IJSLTOZ,O,O,O,X,X,X,X,X
IJSLZTO,O,O,O,X,X,X,O,X
IJSLZOT,X,O,X,X,X,X,O,X
IJSLOTZ,X,O,O,X,X,X,X,X
IJSLOZT,X,O,X,X,X,X,O,X
IJSZTLO,O,O,O,X,X,X,O,X
IJSZTOL,O,O,O,X,X,X,X,X
IJSZLTO,X,O,O,X,X,X,O,X
IJSZLOT,X,O,X,X,X,X,O,X
IJSZOTL,X,O,X,X,X,X,X,X
IJSZOLT,X,O,X,X,X,X,O,X
IJSOTLZ,X,O,O,X,X,X,X,X
IJSOTZL,X,O,O,X,X,X,X,X
IJSOLTZ,X,O,O,X,X,X,X,X
IJSOLZT,X,O,X,X,X,X,O,X
IJSOZTL,X,O,X,X,X,X,X,X
IJSOZLT,X,O,X,X,X,X,O,X
IJZTLSO,O,O,X,X,X,X,O,X
IJZTLOS,O,O,X,X,X,X,X,X
IJZTSLO,O,O,O,X,X,X,O,X
IJZTSOL,O,O,O,X,X,X,X,X
IJZTOLS,X,O,X,X,X,X,X,X
IJZTOSL,O,O,X,X,X,X,X,X
IJZLTSO,O,O,O,X,X,X,O,O
IJZLTOS,O,O,X,X,X,X,X,X
IJZLSTO,O,O,O,X,X,X,O,X
IJZLSOT,X,O,X,X,X,X,O,X
IJZLOTS,X,O,X,X,X,X,X,X
IJZLOST,X,O,X,X,X,X,O,X
IJZSTLO,O,O,O,X,X,X,O,X
IJZSTOL,O,O,O,X,X,X,X,X
IJZSLTO,X,O,O,X,X,X,O,X
IJZSLOT,X,O,X,X,X,X,O,X
IJZSOTL,X,O,X,X,X,X,X,X
IJZSOLT,X,O,X,X,X,X,O,X
IJZOTLS,X,O,X,X,X,X,X,X
IJZOTSL,X,O,X,X,X,X,X,X
IJZOLTS,X,O,X,X,X,X,X,X
IJZOLST,X,O,X,X,X,X,O,X
IJZOSTL,X,O,X,X,X,X,X,X
IJZOSLT,X,O,X,X,X,X,O,X
IJOTLSZ,X,O,O,X,O,X,X,X
IJOTLZS,X,O,O,X,O,X,X,X
IJOTSLZ,X,O,O,X,X,X,X,X
IJOTSZL,X,O,O,X,X,X,X,X
IJOTZLS,X,X,X,X,O,X,X,X
IJOTZSL,X,X,O,X,O,X,X,X
IJOLTSZ,X,O,O,X,O,X,X,X
IJOLTZS,X,O,O,X,O,X,X,X
IJOLSTZ,X,O,O,X,O,X,X,X
IJOLSZT,X,O,O,X,X,X,O,X
IJOLZTS,X,O,O,X,O,X,X,X
IJOLZST,X,O,O,X,X,X,O,X
IJOSTLZ,X,O,O,X,X,X,X,X
IJOSTZL,X,O,O,X,X,X,X,X
IJOSLTZ,X,O,O,X,X,X,X,X
IJOSLZT,X,O,O,X,X,X,O,X
IJOSZTL,X,O,O,X,X,X,X,X
IJOSZLT,X,O,O,X,X,X,O,X
IJOZTLS,X,O,X,X,X,X,X,X
IJOZTSL,X,O,O,X,X,X,X,X
IJOZLTS,X,O,O,X,X,X,X,X
IJOZLST,X,O,O,X,X,X,O,X
IJOZSTL,X,O,O,X,X,X,X,X
IJOZSLT,X,O,O,X,X,X,O,X
ISTLJZO,O,O,O,O,X,X,X,X
ISTLJOZ,O,O,O,O,X,X,X,X
ISTLZJO,O,O,O,O,X,X,O,X
ISTLZOJ,O,X,X,O,X,O,O,X
ISTLOJZ,O,O,O,O,X,X,X,X
ISTLOZJ,X,O,X,O,X,X,X,X
ISTJLZO,O,O,O,O,X,X,X,X
ISTJLOZ,O,O,O,O,X,X,X,X
ISTJZLO,O,O,O,O,X,X,X,X
ISTJZOL,O,O,O,O,X,X,X,X
ISTJOLZ,O,O,O,X,X,X,X,X
ISTJOZL,O,O,O,X,X,X,X,X
ISTZLJO,O,O,X,O,X,X,O,X
ISTZLOJ,X,X,X,O,X,O,O,X
ISTZJLO,O,O,O,O,X,X,O,X
ISTZJOL,O,O,O,O,X,X,X,X
ISTZOLJ,X,O,X,O,X,O,X,X
ISTZOJL,O,O,X,O,X,X,X,X
ISTOLJZ,O,O,O,O,X,O,X,X
ISTOLZJ,X,O,X,O,X,O,X,X
ISTOJLZ,O,O,O,X,X,X,X,X
ISTOJZL,O,O,O,X,X,X,X,X
ISTOZLJ,X,O,X,O,X,O,X,X
ISTOZJL,O,O,O,O,X,X,X,X
