sequence,v115@IhA8FeA8BeB8EeA8BeD8BeC8JeZEJvhFUgBGhBTiB6?oBVrBXsB,v115@IhA8FeA8BeB8EeA8BeD8BeC8JeZEJvhFFgB8lB+mBT?iB6oBXsB,v115@IhA8FeA8BeB8EeA8BeD8BeC8JeZEJvhFUgBGhB6oBV?rBTnBXsB
TOZSLJI,X,X,X
TOZSJIL,X,X,X
TOZSJLI,X,X,X
ITLJSZO,O,X,X
ITLJSOZ,O,X,X
ITLJZSO,O,X,X
ITLJZOS,X,X,O
ITLJOSZ,X,X,X
ITLJOZS,X,X,O
ITLSJZO,O,X,X
ITLSJOZ,O,X,X
ITLSZJO,O,O,X
ITLSZOJ,O,X,X
ITLSOJZ,O,X,X
ITLSOZJ,O,X,X
ITLZJSO,O,O,X
ITLZJOS,X,X,O
ITLZSJO,O,O,X
ITLZSOJ,O,X,X
ITLZOJS,X,X,O
ITLZOSJ,X,X,X
ITLOJSZ,X,X,X
ITLOJZS,X,X,O
ITLOSJZ,X,X,X
ITLOSZJ,X,X,X
ITLOZJS,X,X,O
ITLOZSJ,X,X,X
ITJLSZO,O,X,X
ITJLSOZ,O,X,X
ITJLZSO,O,X,X
ITJLZOS,X,X,O
ITJLOSZ,X,X,X
ITJLOZS,X,X,O
ITJSLZO,O,X,X
ITJSLOZ,O,X,X
ITJSZLO,O,X,X
ITJSZOL,O,X,X
ITJSOLZ,O,X,X
ITJSOZL,O,X,X
ITJZLSO,O,X,X
ITJZLOS,X,X,O
ITJZSLO,O,X,X
ITJZSOL,O,X,X
ITJZOLS,X,X,O
ITJZOSL,X,X,X
ITJOLSZ,X,X,X
ITJOLZS,X,X,O
ITJOSLZ,X,X,X
ITJOSZL,X,X,X
ITJOZLS,X,X,O
ITJOZSL,X,X,X
ITSLJZO,O,X,X
ITSLJOZ,O,X,X
ITSLZJO,O,O,X
ITSLZOJ,O,X,X
ITSLOJZ,O,X,X
ITSLOZJ,O,X,X
ITSJLZO,O,X,X
ITSJLOZ,O,X,X
ITSJZLO,O,X,X
ITSJZOL,O,X,X
ITSJOLZ,O,X,X
ITSJOZL,O,X,X
ITSZLJO,O,O,X
ITSZLOJ,O,X,X
ITSZJLO,O,O,X
ITSZJOL,O,O,X
ITSZOLJ,O,X,X
ITSZOJL,O,X,X
ITSOLJZ,O,X,X
ITSOLZJ,O,X,X
ITSOJLZ,O,X,X
ITSOJZL,O,X,X
ITSOZLJ,O,X,X
ITSOZJL,O,X,X
ITZLJSO,O,O,X
ITZLJOS,X,X,O
ITZLSJO,O,O,X
ITZLSOJ,O,X,X
ITZLOJS,X,X,O
ITZLOSJ,X,X,X
ITZJLSO,O,O,X
ITZJLOS,X,X,O
ITZJSLO,O,O,X
ITZJSOL,O,O,X
ITZJOLS,X,X,O
ITZJOSL,X,X,X
ITZSLJO,O,O,X
ITZSLOJ,O,X,X
ITZSJLO,O,O,X
ITZSJOL,O,O,X
ITZSOLJ,O,X,X
ITZSOJL,O,X,X
ITZOLJS,X,X,O
ITZOLSJ,X,X,X
ITZOJLS,X,X,O
ITZOJSL,X,X,X
ITZOSLJ,X,X,X
ITZOSJL,X,X,X
ITOLJSZ,X,X,X
ITOLJZS,X,X,O
ITOLSJZ,X,X,X
ITOLSZJ,X,X,X
ITOLZJS,X,X,O
ITOLZSJ,X,X,X
ITOJLSZ,X,X,X
ITOJLZS,X,X,O
ITOJSLZ,X,X,X
ITOJSZL,X,X,X
ITOJZLS,X,X,O
ITOJZSL,X,X,X
ITOSLJZ,X,X,X
ITOSLZJ,X,X,X
ITOSJLZ,X,X,X
ITOSJZL,X,X,X
ITOSZLJ,X,X,X
ITOSZJL,X,X,X
ITOZLJS,X,X,O
ITOZLSJ,X,X,X
ITOZJLS,X,X,O
ITOZJSL,X,X,X
ITOZSLJ,X,X,X
ITOZSJL,X,X,X
ILTJSZO,O,X,X
ILTJSOZ,O,X,X
ILTJZSO,O,X,X
ILTJZOS,X,X,O
ILTJOSZ,X,X,X
ILTJOZS,X,X,O
ILTSJZO,O,X,X
ILTSJOZ,O,X,X
ILTSZJO,O,O,X
ILTSZOJ,O,X,X
ILTSOJZ,O,X,X
ILTSOZJ,O,X,X
ILTZJSO,O,O,X
ILTZJOS,X,X,O
ILTZSJO,O,O,X
ILTZSOJ,O,X,X
ILTZOJS,X,X,O
ILTZOSJ,X,X,X
ILTOJSZ,X,X,X
ILTOJZS,X,X,O
ILTOSJZ,X,X,X
ILTOSZJ,X,X,X
ILTOZJS,X,X,O
ILTOZSJ,X,X,X
ILJTSZO,X,X,X
ILJTSOZ,X,X,X
ILJTZSO,X,X,X
ILJTZOS,X,X,X
ILJTOSZ,X,X,X
ILJTOZS,X,X,X
ILJSTZO,X,X,X
ILJSTOZ,X,X,X
ILJSZTO,X,O,X
ILJSZOT,X,O,X
ILJSOTZ,X,X,X
ILJSOZT,X,O,X
ILJZTSO,X,O,X
ILJZTOS,X,X,X
ILJZSTO,X,O,X
ILJZSOT,X,O,X
ILJZOTS,X,X,X
ILJZOST,X,X,X
ILJOTSZ,X,X,X
ILJOTZS,X,X,X
ILJOSTZ,X,X,X
ILJOSZT,X,X,X
ILJOZTS,X,X,X
ILJOZST,X,X,X
ILSTJZO,O,X,X
ILSTJOZ,O,X,X
ILSTZJO,O,O,X
ILSTZOJ,O,X,X
ILSTOJZ,O,X,X
ILSTOZJ,O,X,X
ILSJTZO,X,X,X
ILSJTOZ,X,X,X
ILSJZTO,X,O,X
ILSJZOT,X,O,X
ILSJOTZ,X,X,X
ILSJOZT,X,O,X
ILSZTJO,X,O,X
ILSZTOJ,X,X,X
ILSZJTO,X,O,X
ILSZJOT,X,O,X
ILSZOTJ,O,X,X
ILSZOJT,X,X,X
ILSOTJZ,O,X,X
ILSOTZJ,O,X,X
ILSOJTZ,X,X,X
ILSOJZT,X,O,X
ILSOZTJ,O,X,X
ILSOZJT,X,X,X
ILZTJSO,O,O,X
ILZTJOS,X,X,O
ILZTSJO,O,O,X
ILZTSOJ,O,X,X
ILZTOJS,X,X,O
ILZTOSJ,X,X,X
ILZJTSO,O,O,X
ILZJTOS,X,X,O
ILZJSTO,X,O,X
ILZJSOT,X,O,X
ILZJOTS,X,X,X
ILZJOST,X,X,X
ILZSTJO,X,O,X
ILZSTOJ,X,X,X
ILZSJTO,X,O,X
ILZSJOT,X,O,X
ILZSOTJ,O,X,X
ILZSOJT,X,X,X
ILZOTJS,X,X,O
