sequence,v115@IhA8FeA8BeB8EeA8BeD8BeC8JeZEJvhFUgBGhBTiB6?oBVrBXsB,v115@IhA8FeA8BeB8EeA8BeD8BeC8JeZEJvhFFgB8lB+mBT?iB6oBXsB,v115@IhA8FeA8BeB8EeA8BeD8BeC8JeZEJvhFUgBGhB6oBV?rBTnBXsB
STLIOZJ,O,X,X
STLJIZO,O,X,X
STLJIOZ,O,X,X
STLJZIO,O,X,X
STLJZOI,O,X,X
STLJOIZ,O,X,X
STLJOZI,O,X,X
STLZIJO,O,O,X
STLZIOJ,O,X,X
STLZJIO,O,O,X
STLZJOI,O,O,X
STLZOIJ,O,X,X
STLZOJI,O,X,X
STLOIJZ,O,X,X
STLOIZJ,O,X,X
STLOJIZ,O,X,X
STLOJZI,O,X,X
STLOZIJ,O,X,X
STLOZJI,O,X,X
STJILZO,O,X,X
STJILOZ,O,X,X
STJIZLO,O,X,X
STJIZOL,O,X,X
STJIOLZ,O,X,X
STJIOZL,O,X,X
STJLIZO,O,X,X
STJLIOZ,O,X,X
STJLZIO,O,X,X
STJLZOI,O,X,X
STJLOIZ,O,X,X
STJLOZI,O,X,X
STJZILO,O,X,X
STJZIOL,O,X,X
STJZLIO,O,X,X
STJZLOI,O,X,X
STJZOIL,O,X,X
STJZOLI,O,X,X
STJOILZ,O,X,X
STJOIZL,O,X,X
STJOLIZ,O,X,X
STJOLZI,O,X,X
STJOZIL,O,X,X
STJOZLI,O,X,X
STZILJO,O,O,X
STZILOJ,O,X,X
STZIJLO,O,O,X
STZIJOL,O,O,X
STZIOLJ,O,X,X
STZIOJL,O,X,X
STZLIJO,O,O,X
STZLIOJ,O,X,X
STZLJIO,O,O,X
STZLJOI,O,O,X
STZLOIJ,O,X,X
STZLOJI,O,X,X
STZJILO,O,O,X
STZJIOL,O,O,X
STZJLIO,O,O,X
STZJLOI,O,O,X
STZJOIL,O,O,X
STZJOLI,O,O,X
STZOILJ,O,X,X
STZOIJL,O,X,X
STZOLIJ,O,X,X
STZOLJI,O,X,X
STZOJIL,O,X,X
STZOJLI,O,X,X
STOILJZ,O,X,X
STOILZJ,O,X,X
STOIJLZ,O,X,X
STOIJZL,O,X,X
STOIZLJ,O,X,X
STOIZJL,O,X,X
STOLIJZ,O,X,X
STOLIZJ,O,X,X
STOLJIZ,O,X,X
STOLJZI,O,X,X
STOLZIJ,O,X,X
STOLZJI,O,X,X
STOJILZ,O,X,X
STOJIZL,O,X,X
STOJLIZ,O,X,X
STOJLZI,O,X,X
STOJZIL,O,X,X
STOJZLI,O,X,X
STOZILJ,O,X,X
STOZIJL,O,X,X
STOZLIJ,O,X,X
STOZLJI,O,X,X
STOZJIL,O,X,X
STOZJLI,O,X,X
SITLJZO,O,X,X
SITLJOZ,O,X,X
SITLZJO,O,O,X
SITLZOJ,O,X,X
SITLOJZ,O,X,X
SITLOZJ,O,X,X
SITJLZO,O,X,X
SITJLOZ,O,X,X
SITJZLO,O,X,X
SITJZOL,O,X,X
SITJOLZ,O,X,X
SITJOZL,O,X,X
SITZLJO,O,O,X
SITZLOJ,O,X,X
SITZJLO,O,O,X
SITZJOL,O,O,X
SITZOLJ,O,X,X
SITZOJL,O,X,X
SITOLJZ,O,X,X
SITOLZJ,O,X,X
SITOJLZ,O,X,X
SITOJZL,O,X,X
SITOZLJ,O,X,X
SITOZJL,O,X,X
SILTJZO,O,X,X
SILTJOZ,O,X,X
SILTZJO,O,O,X
SILTZOJ,O,X,X
SILTOJZ,O,X,X
SILTOZJ,O,X,X
SILJTZO,X,X,X
SILJTOZ,X,X,X
SILJZTO,X,O,X
SILJZOT,X,O,X
SILJOTZ,X,X,X
SILJOZT,X,O,X
SILZTJO,X,O,X
SILZTOJ,X,X,X
SILZJTO,X,O,X
SILZJOT,X,O,X
SILZOTJ,O,X,X
SILZOJT,X,X,X
SILOTJZ,O,X,X
SILOTZJ,O,X,X
SILOJTZ,X,X,X
SILOJZT,X,O,X
SILOZTJ,O,X,X
SILOZJT,X,X,X
SIJTLZO,X,X,X
SIJTLOZ,X,X,X
SIJTZLO,X,X,X
SIJTZOL,X,X,X
SIJTOLZ,X,X,X
SIJTOZL,X,X,X
SIJLTZO,X,X,X
SIJLTOZ,X,X,X
SIJLZTO,X,O,X
SIJLZOT,X,O,X
SIJLOTZ,X,X,X
SIJLOZT,X,O,X
SIJZTLO,X,O,X
SIJZTOL,X,O,X
SIJZLTO,X,O,X
SIJZLOT,X,O,X
SIJZOTL,X,O,X
SIJZOLT,X,O,X
SIJOTLZ,X,X,X
SIJOTZL,X,X,X
SIJOLTZ,X,X,X
SIJOLZT,X,O,X
SIJOZTL,X,O,X
SIJOZLT,X,O,X
SIZTLJO,X,O,X
SIZTLOJ,X,X,X
SIZTJLO,X,O,X
SIZTJOL,X,O,X
SIZTOLJ,X,X,X
SIZTOJL,X,X,X
SIZLTJO,X,O,X
SIZLTOJ,X,X,X
SIZLJTO,X,O,X
SIZLJOT,X,O,X
SIZLOTJ,O,X,X
SIZLOJT,X,X,X
SIZJTLO,X,O,X
SIZJTOL,X,O,X
SIZJLTO,X,O,X
SIZJLOT,X,O,X
SIZJOTL,X,O,X
SIZJOLT,X,O,X
SIZOTLJ,O,X,X
SIZOTJL,O,X,X
SIZOLTJ,O,X,X
SIZOLJT,X,X,X
SIZOJTL,X,X,X
SIZOJLT,X,X,X
SIOTLJZ,O,X,X
SIOTLZJ,O,X,X
SIOTJLZ,O,X,X
SIOTJZL,O,X,X
SIOTZLJ,O,X,X
SIOTZJL,O,X,X
SIOLTJZ,O,X,X
SIOLTZJ,O,X,X
SIOLJTZ,X,X,X
SIOLJZT,X,O,X
SIOLZTJ,O,X,X
SIOLZJT,X,X,X
SIOJTLZ,X,X,X
SIOJTZL,X,X,X
SIOJLTZ,X,X,X
SIOJLZT,X,O,X
SIOJZTL,X,O,X
SIOJZLT,X,O,X
SIOZTLJ,O,X,X
SIOZTJL,O,X,X
SIOZLTJ,O,X,X
SIOZLJT,X,X,X
SIOZJTL,X,X,X
SIOZJLT,X,X,X
SLTIJZO,O,X,X
SLTIJOZ,O,X,X
SLTIZJO,O,O,X
SLTIZOJ,O,X,X
SLTIOJZ,O,X,X
SLTIOZJ,O,X,X
SLTJIZO,O,X,X
SLTJIOZ,O,X,X
SLTJZIO,O,X,X
SLTJZOI,O,X,X
SLTJOIZ,O,X,X
SLTJOZI,O,X,X
SLTZIJO,O,O,X
SLTZIOJ,O,X,X
SLTZJIO,O,O,X
SLTZJOI,O,O,X
SLTZOIJ,O,X,X
SLTZOJI,O,X,X
SLTOIJZ,O,X,X
SLTOIZJ,O,X,X
SLTOJIZ,O,X,X
SLTOJZI,O,X,X
SLTOZIJ,O,X,X
SLTOZJI,O,X,X
SLITJZO,O,X,X
SLITJOZ,O,X,X
SLITZJO,O,O,X
SLITZOJ,O,X,X
SLITOJZ,O,X,X
SLITOZJ,O,X,X
SLIJTZO,X,X,X
SLIJTOZ,X,X,X
SLIJZTO,X,O,X
SLIJZOT,X,O,X
SLIJOTZ,X,X,X
SLIJOZT,X,O,X
SLIZTJO,X,O,X
SLIZTOJ,X,X,X
SLIZJTO,X,O,X
SLIZJOT,X,O,X
SLIZOTJ,O,X,X
SLIZOJT,X,X,X
SLIOTJZ,O,X,X
SLIOTZJ,O,X,X
SLIOJTZ,X,X,X
SLIOJZT,X,O,X
SLIOZTJ,O,X,X
SLIOZJT,X,X,X
SLJTIZO,X,X,X
SLJTIOZ,X,X,X
SLJTZIO,X,X,X
SLJTZOI,X,X,X
SLJTOIZ,X,X,X
SLJTOZI,X,X,X
SLJITZO,X,X,X
SLJITOZ,X,X,X
SLJIZTO,X,O,X
SLJIZOT,X,O,X
SLJIOTZ,X,X,X
SLJIOZT,X,O,X
SLJZTIO,X,O,X
SLJZTOI,X,O,X
SLJZITO,X,O,X
SLJZIOT,X,O,X
SLJZOTI,X,O,X
SLJZOIT,X,O,X
SLJOTIZ,X,X,X
SLJOTZI,X,X,X
SLJOITZ,X,X,X
SLJOIZT,X,O,X
SLJOZTI,X,O,X
SLJOZIT,X,O,X
SLZTIJO,X,O,X
SLZTIOJ,X,X,X
SLZTJIO,X,O,X
SLZTJOI,X,O,X
SLZTOIJ,X,X,X
SLZTOJI,X,X,X
SLZITJO,X,O,X
SLZITOJ,X,X,X
SLZIJTO,X,O,X
SLZIJOT,X,O,X
SLZIOTJ,O,X,X
SLZIOJT,X,X,X
SLZJTIO,X,O,X
SLZJTOI,X,O,X
SLZJITO,X,O,X
SLZJIOT,X,O,X
SLZJOTI,X,O,X
SLZJOIT,X,O,X
SLZOTIJ,O,X,X
SLZOTJI,O,X,X
SLZOITJ,O,X,X
SLZOIJT,X,X,X
SLZOJTI,X,X,X
SLZOJIT,X,X,X
SLOTIJZ,O,X,X
SLOTIZJ,O,X,X
SLOTJIZ,O,X,X
SLOTJZI,O,X,X
SLOTZIJ,O,X,X
SLOTZJI,O,X,X
SLOITJZ,O,X,X
SLOITZJ,O,X,X
SLOIJTZ,X,X,X
SLOIJZT,X,O,X
SLOIZTJ,O,X,X
SLOIZJT,X,X,X
SLOJTIZ,X,X,X
SLOJTZI,X,X,X
SLOJITZ,X,X,X
SLOJIZT,X,O,X
SLOJZTI,X,O,X
SLOJZIT,X,O,X
SLOZTIJ,O,X,X
SLOZTJI,O,X,X
SLOZITJ,O,X,X
SLOZIJT,X,X,X
SLOZJTI,X,X,X
SLOZJIT,X,X,X
SJTILZO,X,X,X
SJTILOZ,X,X,X
SJTIZLO,X,X,X
SJTIZOL,X,X,X
SJTIOLZ,X,X,X
SJTIOZL,X,X,X
SJTLIZO,X,X,X
SJTLIOZ,X,X,X
SJTLZIO,X,X,X
SJTLZOI,X,X,X
SJTLOIZ,X,X,X
SJTLOZI,X,X,X
SJTZILO,X,X,X
SJTZIOL,X,X,X
SJTZLIO,X,X,X
SJTZLOI,X,X,X
SJTZOIL,X,X,X
SJTZOLI,X,X,X
SJTOILZ,X,X,X
SJTOIZL,X,X,X
SJTOLIZ,X,X,X
SJTOLZI,X,X,X
SJTOZIL,X,X,X
SJTOZLI,X,X,X
SJITLZO,X,X,X
SJITLOZ,X,X,X
SJITZLO,X,X,X
SJITZOL,X,X,X
SJITOLZ,X,X,X
SJITOZL,X,X,X
SJILTZO,X,X,X
SJILTOZ,X,X,X
SJILZTO,X,O,X
SJILZOT,X,O,X
SJILOTZ,X,X,X
SJILOZT,X,O,X
SJIZTLO,X,O,X
SJIZTOL,X,O,X
SJIZLTO,X,O,X
SJIZLOT,X,O,X
SJIZOTL,X,O,X
SJIZOLT,X,O,X
SJIOTLZ,X,X,X
SJIOTZL,X,X,X
SJIOLTZ,X,X,X
SJIOLZT,X,O,X
SJIOZTL,X,O,X
SJIOZLT,X,O,X
SJLTIZO,X,X,X
SJLTIOZ,X,X,X
SJLTZIO,X,X,X
SJLTZOI,X,X,X
SJLTOIZ,X,X,X
SJLTOZI,X,X,X
SJLITZO,X,X,X
SJLITOZ,X,X,X
SJLIZTO,X,O,X
SJLIZOT,X,O,X
SJLIOTZ,X,X,X
SJLIOZT,X,O,X
SJLZTIO,X,O,X
SJLZTOI,X,O,X
SJLZITO,X,O,X
SJLZIOT,X,O,X
SJLZOTI,X,O,X
SJLZOIT,X,O,X
SJLOTIZ,X,X,X
SJLOTZI,X,X,X
SJLOITZ,X,X,X
SJLOIZT,X,O,X
SJLOZTI,X,O,X
SJLOZIT,X,O,X
SJZTILO,X,O,X
SJZTIOL,X,O,X
SJZTLIO,X,O,X
SJZTLOI,X,O,X
SJZTOIL,X,O,X
SJZTOLI,X,O,X
SJZITLO,X,O,X
SJZITOL,X,O,X
SJZILTO,X,O,X
SJZILOT,X,O,X
SJZIOTL,X,O,X
SJZIOLT,X,O,X
SJZLTIO,X,O,X
SJZLTOI,X,O,X
SJZLITO,X,O,X
SJZLIOT,X,O,X
SJZLOTI,X,O,X
SJZLOIT,X,O,X
SJZOTIL,X,O,X
SJZOTLI,X,O,X
SJZOITL,X,O,X
SJZOILT,X,O,X
SJZOLTI,X,O,X
SJZOLIT,X,O,X
SJOTILZ,X,X,X
SJOTIZL,X,X,X
SJOTLIZ,X,X,X
SJOTLZI,X,X,X
SJOTZIL,X,X,X
SJOTZLI,X,X,X
SJOITLZ,X,X,X
SJOITZL,X,X,X
SJOILTZ,X,X,X
SJOILZT,X,O,X
SJOIZTL,X,O,X
SJOIZLT,X,O,X
SJOLTIZ,X,X,X
SJOLTZI,X,X,X
SJOLITZ,X,X,X
SJOLIZT,X,O,X
SJOLZTI,X,O,X
SJOLZIT,X,O,X
SJOZTIL,X,O,X
SJOZTLI,X,O,X
SJOZITL,X,O,X
SJOZILT,X,O,X
SJOZLTI,X,O,X
SJOZLIT,X,O,X
SZTILJO,X,O,X
SZTILOJ,X,X,X
SZTIJLO,X,O,X
SZTIJOL,X,O,X
SZTIOLJ,X,X,X
SZTIOJL,X,X,X
SZTLIJO,X,O,X
SZTLIOJ,X,X,X
SZTLJIO,X,O,X
SZTLJOI,X,O,X
SZTLOIJ,X,X,X
SZTLOJI,X,X,X
SZTJILO,X,O,X
SZTJIOL,X,O,X
SZTJLIO,X,O,X
SZTJLOI,X,O,X
SZTJOIL,X,O,X
SZTJOLI,X,O,X
SZTOILJ,X,X,X
SZTOIJL,X,X,X
SZTOLIJ,X,X,X
SZTOLJI,X,X,X
SZTOJIL,X,X,X
SZTOJLI,X,X,X
SZITLJO,X,O,X
SZITLOJ,X,X,X
SZITJLO,X,O,X
SZITJOL,X,O,X
SZITOLJ,X,X,X
SZITOJL,X,X,X
SZILTJO,X,O,X
SZILTOJ,X,X,X
SZILJTO,X,O,X
SZILJOT,X,O,X
SZILOTJ,O,X,X
SZILOJT,X,X,X
SZIJTLO,X,O,X
SZIJTOL,X,O,X
SZIJLTO,X,O,X
SZIJLOT,X,O,X
SZIJOTL,X,O,X
SZIJOLT,X,O,X
SZIOTLJ,O,X,X
SZIOTJL,O,X,X
SZIOLTJ,O,X,X
SZIOLJT,X,X,X
SZIOJTL,X,X,X
SZIOJLT,X,X,X
SZLTIJO,X,O,X
SZLTIOJ,X,X,X
SZLTJIO,X,O,X
SZLTJOI,X,O,X
SZLTOIJ,X,X,X
SZLTOJI,X,X,X
SZLITJO,X,O,X
SZLITOJ,X,X,X
SZLIJTO,X,O,X
SZLIJOT,X,O,X
SZLIOTJ,O,X,X
SZLIOJT,X,X,X
SZLJTIO,X,O,X
SZLJTOI,X,O,X
SZLJITO,X,O,X
SZLJIOT,X,O,X
SZLJOTI,X,O,X
SZLJOIT,X,O,X
SZLOTIJ,O,X,X
SZLOTJI,O,X,X
SZLOITJ,O,X,X
SZLOIJT,X,X,X
SZLOJTI,X,X,X
SZLOJIT,X,X,X
SZJTILO,X,O,X
SZJTIOL,X,O,X
SZJTLIO,X,O,X
SZJTLOI,X,O,X
SZJTOIL,X,O,X
SZJTOLI,X,O,X
SZJITLO,X,O,X
SZJITOL,X,O,X
SZJILTO,X,O,X
SZJILOT,X,O,X
SZJIOTL,X,O,X
SZJIOLT,X,O,X
SZJLTIO,X,O,X
SZJLTOI,X,O,X
SZJLITO,X,O,X
SZJLIOT,X,O,X
SZJLOTI,X,O,X
SZJLOIT,X,O,X
SZJOTIL,X,O,X
SZJOTLI,X,O,X
SZJOITL,X,O,X
SZJOILT,X,O,X
SZJOLTI,X,O,X
SZJOLIT,X,O,X
SZOTILJ,O,X,X
SZOTIJL,O,X,X
SZOTLIJ,O,X,X
SZOTLJI,O,X,X
SZOTJIL,O,X,X
SZOTJLI,O,X,X
SZOITLJ,O,X,X
SZOITJL,O,X,X
SZOILTJ,O,X,X
SZOILJT,X,X,X
SZOIJTL,X,X,X
SZOIJLT,X,X,X
SZOLTIJ,O,X,X
SZOLTJI,O,X,X
SZOLITJ,O,X,X
SZOLIJT,X,X,X
SZOLJTI,X,X,X
SZOLJIT,X,X,X
SZOJTIL,X,X,X
SZOJTLI,X,X,X
SZOJITL,X,X,X
SZOJILT,X,X,X
SZOJLTI,X,X,X
SZOJLIT,X,X,X
SOTILJZ,O,X,X
SOTILZJ,O,X,X
SOTIJLZ,O,X,X
SOTIJZL,O,X,X
SOTIZLJ,O,X,X
SOTIZJL,O,X,X
SOTLIJZ,O,X,X
SOTLIZJ,O,X,X
SOTLJIZ,O,X,X
SOTLJZI,O,X,X
SOTLZIJ,O,X,X
SOTLZJI,O,X,X
SOTJILZ,O,X,X
SOTJIZL,O,X,X
SOTJLIZ,O,X,X
SOTJLZI,O,X,X
SOTJZIL,O,X,X
SOTJZLI,O,X,X
SOTZILJ,O,X,X
SOTZIJL,O,X,X
SOTZLIJ,O,X,X
SOTZLJI,O,X,X
SOTZJIL,O,X,X
SOTZJLI,O,X,X
SOITLJZ,O,X,X
SOITLZJ,O,X,X
SOITJLZ,O,X,X
SOITJZL,O,X,X
SOITZLJ,O,X,X
SOITZJL,O,X,X
SOILTJZ,O,X,X
SOILTZJ,O,X,X
SOILJTZ,X,X,X
SOILJZT,X,O,X
SOILZTJ,O,X,X
SOILZJT,X,X,X
SOIJTLZ,X,X,X
SOIJTZL,X,X,X
SOIJLTZ,X,X,X
SOIJLZT,X,O,X
SOIJZTL,X,O,X
SOIJZLT,X,O,X
SOIZTLJ,O,X,X
SOIZTJL,O,X,X
SOIZLTJ,O,X,X
SOIZLJT,X,X,X
SOIZJTL,X,X,X
SOIZJLT,X,X,X
SOLTIJZ,O,X,X
SOLTIZJ,O,X,X
SOLTJIZ,O,X,X
SOLTJZI,O,X,X
SOLTZIJ,O,X,X
SOLTZJI,O,X,X
SOLITJZ,O,X,X
SOLITZJ,O,X,X
SOLIJTZ,X,X,X
SOLIJZT,X,O,X
SOLIZTJ,O,X,X
SOLIZJT,X,X,X
SOLJTIZ,X,X,X
SOLJTZI,X,X,X
SOLJITZ,X,X,X
SOLJIZT,X,O,X
SOLJZTI,X,O,X
SOLJZIT,X,O,X
SOLZTIJ,O,X,X
SOLZTJI,O,X,X
SOLZITJ,O,X,X
SOLZIJT,X,X,X
SOLZJTI,X,X,X
SOLZJIT,X,X,X
SOJTILZ,X,X,X
SOJTIZL,X,X,X
SOJTLIZ,X,X,X
SOJTLZI,X,X,X
SOJTZIL,X,X,X
SOJTZLI,X,X,X
SOJITLZ,X,X,X
SOJITZL,X,X,X
SOJILTZ,X,X,X
SOJILZT,X,O,X
SOJIZTL,X,O,X
SOJIZLT,X,O,X
SOJLTIZ,X,X,X
SOJLTZI,X,X,X
SOJLITZ,X,X,X
SOJLIZT,X,O,X
SOJLZTI,X,O,X
SOJLZIT,X,O,X
SOJZTIL,X,O,X
SOJZTLI,X,O,X
SOJZITL,X,O,X
SOJZILT,X,O,X
SOJZLTI,X,O,X
SOJZLIT,X,O,X
SOZTILJ,O,X,X
SOZTIJL,O,X,X
SOZTLIJ,O,X,X
SOZTLJI,O,X,X
SOZTJIL,O,X,X
SOZTJLI,O,X,X
SOZITLJ,O,X,X
SOZITJL,O,X,X
SOZILTJ,O,X,X
SOZILJT,X,X,X
SOZIJTL,X,X,X
SOZIJLT,X,X,X
SOZLTIJ,O,X,X
SOZLTJI,O,X,X
SOZLITJ,O,X,X
SOZLIJT,X,X,X
SOZLJTI,X,X,X
SOZLJIT,X,X,X
SOZJTIL,X,X,X
SOZJTLI,X,X,X
SOZJITL,X,X,X
SOZJILT,X,X,X
SOZJLTI,X,X,X
SOZJLIT,X,X,X
ZTILJSO,O,O,X
ZTILJOS,X,X,O
ZTILSJO,O,O,X
ZTILSOJ,O,X,X
ZTILOJS,X,X,O
ZTILOSJ,X,X,X
ZTIJLSO,O,O,X
ZTIJLOS,X,X,O
ZTIJSLO,O,O,X
ZTIJSOL,O,O,X
ZTIJOLS,X,X,O
ZTIJOSL,X,X,X
ZTISLJO,O,O,X
ZTISLOJ,O,X,X
ZTISJLO,O,O,X
ZTISJOL,O,O,X
ZTISOLJ,O,X,X
ZTISOJL,O,X,X
ZTIOLJS,X,X,O
ZTIOLSJ,X,X,X
ZTIOJLS,X,X,O
ZTIOJSL,X,X,X
ZTIOSLJ,X,X,X
ZTIOSJL,X,X,X
ZTLIJSO,O,O,X
ZTLIJOS,X,X,O
ZTLISJO,O,O,X
ZTLISOJ,O,X,X
ZTLIOJS,X,X,O
ZTLIOSJ,X,X,X
ZTLJISO,O,O,X
ZTLJIOS,X,X,O
ZTLJSIO,O,O,X
ZTLJSOI,O,O,X
ZTLJOIS,X,X,O
ZTLJOSI,X,X,X
ZTLSIJO,O,O,X
ZTLSIOJ,O,X,X
ZTLSJIO,O,O,X
ZTLSJOI,O,O,X
ZTLSOIJ,O,X,X
ZTLSOJI,O,X,X
ZTLOIJS,X,X,O
ZTLOISJ,X,X,X
ZTLOJIS,X,X,O
ZTLOJSI,X,X,X
ZTLOSIJ,X,X,X
ZTLOSJI,X,X,X
ZTJILSO,O,O,X
ZTJILOS,X,X,O
ZTJISLO,O,O,X
ZTJISOL,O,O,X
ZTJIOLS,X,X,O
ZTJIOSL,X,X,X
ZTJLISO,O,O,X
ZTJLIOS,X,X,O
ZTJLSIO,O,O,X
ZTJLSOI,O,O,X
ZTJLOIS,X,X,O
ZTJLOSI,X,X,X
ZTJSILO,O,O,X
ZTJSIOL,O,O,X
ZTJSLIO,O,O,X
ZTJSLOI,O,O,X
ZTJSOIL,O,O,X
ZTJSOLI,O,O,X
ZTJOILS,X,X,O
ZTJOISL,X,X,X
ZTJOLIS,X,X,O
ZTJOLSI,X,X,X
ZTJOSIL,X,X,X
ZTJOSLI,X,X,X
ZTSILJO,O,O,X
ZTSILOJ,O,X,X
ZTSIJLO,O,O,X
ZTSIJOL,O,O,X
ZTSIOLJ,O,X,X
ZTSIOJL,O,X,X
ZTSLIJO,O,O,X
ZTSLIOJ,O,X,X
ZTSLJIO,O,O,X
ZTSLJOI,O,O,X
ZTSLOIJ,O,X,X
ZTSLOJI,O,X,X
ZTSJILO,O,O,X
ZTSJIOL,O,O,X
ZTSJLIO,O,O,X
ZTSJLOI,O,O,X
ZTSJOIL,O,O,X
ZTSJOLI,O,O,X
ZTSOILJ,O,X,X
ZTSOIJL,O,X,X
ZTSOLIJ,O,X,X
ZTSOLJI,O,X,X
ZTSOJIL,O,X,X
ZTSOJLI,O,X,X
ZTOILJS,X,X,O
ZTOILSJ,X,X,X
ZTOIJLS,X,X,O
ZTOIJSL,X,X,X
ZTOISLJ,X,X,X
ZTOISJL,X,X,X
ZTOLIJS,X,X,O
ZTOLISJ,X,X,X
ZTOLJIS,X,X,O
ZTOLJSI,X,X,X
ZTOLSIJ,X,X,X
ZTOLSJI,X,X,X
ZTOJILS,X,X,O
ZTOJISL,X,X,X
ZTOJLIS,X,X,O
ZTOJLSI,X,X,X
ZTOJSIL,X,X,X
ZTOJSLI,X,X,X
ZTOSILJ,X,X,X
ZTOSIJL,X,X,X
ZTOSLIJ,X,X,X
ZTOSLJI,X,X,X
ZTOSJIL,X,X,X
ZTOSJLI,X,X,X
ZITLJSO,O,O,X
ZITLJOS,X,X,O
ZITLSJO,O,O,X
ZITLSOJ,O,X,X
ZITLOJS,X,X,O
ZITLOSJ,X,X,X
ZITJLSO,O,O,X
ZITJLOS,X,X,O
ZITJSLO,O,O,X
ZITJSOL,O,O,X
ZITJOLS,X,X,O
ZITJOSL,X,X,X
ZITSLJO,O,O,X
ZITSLOJ,O,X,X
ZITSJLO,O,O,X
ZITSJOL,O,O,X
ZITSOLJ,O,X,X
ZITSOJL,O,X,X
ZITOLJS,X,X,O
ZITOLSJ,X,X,X
ZITOJLS,X,X,O
ZITOJSL,X,X,X
ZITOSLJ,X,X,X
ZITOSJL,X,X,X
ZILTJSO,O,O,X
ZILTJOS,X,X,O
ZILTSJO,O,O,X
ZILTSOJ,O,X,X
ZILTOJS,X,X,O
ZILTOSJ,X,X,X
ZILJTSO,O,O,X
ZILJTOS,X,X,O
ZILJSTO,X,O,X
ZILJSOT,X,O,X
ZILJOTS,X,X,X
ZILJOST,X,X,X
ZILSTJO,X,O,X
ZILSTOJ,X,X,X
ZILSJTO,X,O,X
ZILSJOT,X,O,X
ZILSOTJ,O,X,X
ZILSOJT,X,X,X
ZILOTJS,X,X,O
ZILOTSJ,X,X,X
ZILOJTS,X,X,X
ZILOJST,X,X,X
ZILOSTJ,X,X,X
ZILOSJT,X,X,X
ZIJTLSO,O,O,X
ZIJTLOS,X,X,O
ZIJTSLO,O,O,X
ZIJTSOL,O,O,X
ZIJTOLS,X,X,O
ZIJTOSL,X,X,X
ZIJLTSO,O,O,X
ZIJLTOS,X,X,O
ZIJLSTO,X,O,X
ZIJLSOT,X,O,X
ZIJLOTS,X,X,X
ZIJLOST,X,X,X
ZIJSTLO,X,O,X
ZIJSTOL,X,O,X
ZIJSLTO,X,O,X
ZIJSLOT,X,O,X
ZIJSOTL,X,O,X
ZIJSOLT,X,O,X
ZIJOTLS,X,X,X
ZIJOTSL,X,X,X
ZIJOLTS,X,X,X
ZIJOLST,X,X,X
ZIJOSTL,X,X,X
ZIJOSLT,X,X,X
ZISTLJO,X,O,X
ZISTLOJ,X,X,X
ZISTJLO,X,O,X
ZISTJOL,X,O,X
ZISTOLJ,X,X,X
ZISTOJL,X,X,X
ZISLTJO,X,O,X
ZISLTOJ,X,X,X
ZISLJTO,X,O,X
ZISLJOT,X,O,X
ZISLOTJ,O,X,X
ZISLOJT,X,X,X
ZISJTLO,X,O,X
ZISJTOL,X,O,X
ZISJLTO,X,O,X
ZISJLOT,X,O,X
ZISJOTL,X,O,X
ZISJOLT,X,O,X
ZISOTLJ,O,X,X
ZISOTJL,O,X,X
ZISOLTJ,O,X,X
ZISOLJT,X,X,X
ZISOJTL,X,X,X
ZISOJLT,X,X,X
ZIOTLJS,X,X,O
ZIOTLSJ,X,X,X
ZIOTJLS,X,X,O
ZIOTJSL,X,X,X
ZIOTSLJ,X,X,X
ZIOTSJL,X,X,X
ZIOLTJS,X,X,O
ZIOLTSJ,X,X,X
ZIOLJTS,X,X,X
ZIOLJST,X,X,X
ZIOLSTJ,X,X,X
ZIOLSJT,X,X,X
ZIOJTLS,X,X,X
ZIOJTSL,X,X,X
ZIOJLTS,X,X,X
ZIOJLST,X,X,X
ZIOJSTL,X,X,X
ZIOJSLT,X,X,X
ZIOSTLJ,X,X,X
ZIOSTJL,X,X,X
ZIOSLTJ,X,X,X
ZIOSLJT,X,X,X
ZIOSJTL,X,X,X
ZIOSJLT,X,X,X
ZLTIJSO,O,O,X
ZLTIJOS,X,X,O
ZLTISJO,O,O,X
ZLTISOJ,O,X,X
ZLTIOJS,X,X,O
ZLTIOSJ,X,X,X
ZLTJISO,O,O,X
ZLTJIOS,X,X,O
ZLTJSIO,O,O,X
ZLTJSOI,O,O,X
ZLTJOIS,X,X,O
ZLTJOSI,X,X,X
ZLTSIJO,O,O,X
ZLTSIOJ,O,X,X
ZLTSJIO,O,O,X
ZLTSJOI,O,O,X
ZLTSOIJ,O,X,X
ZLTSOJI,O,X,X
ZLTOIJS,X,X,O
ZLTOISJ,X,X,X
ZLTOJIS,X,X,O
ZLTOJSI,X,X,X
ZLTOSIJ,X,X,X
ZLTOSJI,X,X,X
ZLITJSO,O,O,X
ZLITJOS,X,X,O
ZLITSJO,O,O,X
ZLITSOJ,O,X,X
ZLITOJS,X,X,O
ZLITOSJ,X,X,X
ZLIJTSO,O,O,X
ZLIJTOS,X,X,O
ZLIJSTO,X,O,X
ZLIJSOT,X,O,X
ZLIJOTS,X,X,X
ZLIJOST,X,X,X
ZLISTJO,X,O,X
ZLISTOJ,X,X,X
ZLISJTO,X,O,X
ZLISJOT,X,O,X
ZLISOTJ,O,X,X
ZLISOJT,X,X,X
ZLIOTJS,X,X,O
ZLIOTSJ,X,X,X
ZLIOJTS,X,X,X
