sequence,v115@OhA8EeA8AeC8BeA8BeF8KeXAJvhFdmBzhBaoB5oB2p?B0pB,v115@OhA8EeA8AeC8BeA8BeF8KeT/IvhFNlBRhBGjBimB/t?B0pB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB2p?BXqB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB/p?BOqB,v115@OhA8EeA8AeC8BeA8BeF8Kex/IvhFdmBzhBGjBypB/t?B0pB
TSOJZIL,O,O,O,O,O
TSOJZLI,O,O,O,O,O
TSOZILJ,O,O,X,O,X
TSOZIJL,O,O,X,O,O
TSOZLIJ,O,O,X,O,O
TSOZLJI,O,O,X,O,O
TSOZJIL,O,O,X,O,O
TSOZJLI,O,O,X,O,O
TZILJSO,O,O,O,X,X
TZILJOS,O,O,O,X,X
TZILSJO,O,O,X,O,X
TZILSOJ,O,O,X,O,X
TZILOJS,O,O,O,X,X
TZILOSJ,O,O,X,O,X
TZIJLSO,O,X,O,X,X
TZIJLOS,O,X,O,X,X
TZIJSLO,O,O,O,X,X
TZIJSOL,O,O,O,X,X
TZIJOLS,O,X,O,X,X
TZIJOSL,O,O,O,X,X
TZISLJO,O,O,X,O,X
TZISLOJ,O,O,X,O,X
TZISJLO,O,O,X,O,X
TZISJOL,O,O,X,O,O
TZISOLJ,O,O,X,O,X
TZISOJL,O,O,X,O,O
TZIOLJS,O,O,O,X,X
TZIOLSJ,O,O,X,O,X
TZIOJLS,O,X,O,X,X
TZIOJSL,O,O,O,X,X
TZIOSLJ,O,O,X,O,X
TZIOSJL,O,O,X,O,O
TZLIJSO,O,O,O,X,X
TZLIJOS,O,O,O,X,X
TZLISJO,O,O,X,O,O
TZLISOJ,O,O,X,O,O
TZLIOJS,O,O,O,X,X
TZLIOSJ,O,O,X,O,O
TZLJISO,O,O,O,X,X
TZLJIOS,O,O,O,X,X
TZLJSIO,O,O,O,X,X
TZLJSOI,O,O,O,X,X
TZLJOIS,O,O,O,X,X
TZLJOSI,O,O,O,X,X
TZLSIJO,O,O,X,O,O
TZLSIOJ,O,O,X,O,O
TZLSJIO,O,O,X,O,O
TZLSJOI,O,O,X,O,O
TZLSOIJ,O,O,X,O,O
TZLSOJI,O,O,X,O,O
TZLOIJS,O,O,O,X,X
TZLOISJ,O,O,X,O,O
TZLOJIS,O,O,O,X,X
TZLOJSI,O,O,O,X,X
TZLOSIJ,O,O,X,O,O
TZLOSJI,O,O,X,O,O
TZJILSO,O,X,O,X,X
TZJILOS,O,X,O,X,X
TZJISLO,O,O,O,X,X
TZJISOL,O,O,O,X,X
TZJIOLS,O,X,O,X,X
TZJIOSL,O,O,O,X,X
TZJLISO,O,O,O,X,X
TZJLIOS,O,O,O,X,X
TZJLSIO,O,O,O,X,X
TZJLSOI,O,O,O,X,X
