sequence,v115@OhB8GeE8DeE8JeKEJvhFflBzhBGjBUmBllBRvB,v115@OhB8GeE8DeE8Jex/IvhFKmBzhBGjB/pB0qBFqB,v115@OhB8GeE8DeE8Je0/IvhFlgBzhBGjB/pBxqByvB,v115@OhB8GeE8DeE8JeKEJvhFzfB8mBGjB3lBFmBRvB,v115@OhB8GeE8DeE8Je3AJvhFzhBGjB0kBVrBikBRvB,v115@OhB8GeE8DeE8JeRAJvhFzhBGjBypBUmB1vB/pB
TJSIOZL,X,X,O,X,O,X
TJSLIZO,X,X,X,X,O,X
TJSLIOZ,X,O,X,X,O,X
TJSLZIO,X,O,X,X,X,O
TJSLZOI,X,O,X,X,X,O
TJSLOIZ,X,O,X,X,O,X
TJSLOZI,X,O,X,X,X,X
TJSZILO,X,O,O,X,O,X
TJSZIOL,X,X,O,X,O,X
TJSZLIO,X,O,O,X,X,O
TJSZLOI,X,O,O,X,X,O
TJSZOIL,X,X,O,X,O,X
TJSZOLI,X,O,O,X,X,O
TJSOILZ,X,X,O,X,O,X
TJSOIZL,X,X,O,X,O,X
TJSOLIZ,X,O,X,X,O,X
TJSOLZI,X,O,X,X,X,X
TJSOZIL,X,X,O,X,O,X
TJSOZLI,X,O,O,X,X,X
TJZILSO,O,X,X,O,O,O
TJZILOS,O,X,X,O,O,O
TJZISLO,X,X,X,O,O,X
TJZISOL,X,X,X,X,O,X
TJZIOLS,O,X,X,X,O,O
TJZIOSL,X,X,X,X,O,X
TJZLISO,X,X,X,O,X,O
TJZLIOS,X,X,X,O,X,O
TJZLSIO,X,O,X,X,X,O
TJZLSOI,O,O,X,X,X,O
TJZLOIS,X,X,X,O,X,O
TJZLOSI,O,O,X,X,X,O
TJZSILO,X,O,X,X,O,X
TJZSIOL,X,X,X,X,O,X
TJZSLIO,X,O,X,X,X,O
TJZSLOI,X,O,X,X,X,O
TJZSOIL,X,X,X,X,O,X
TJZSOLI,X,O,X,X,X,O
TJZOILS,O,X,X,X,O,O
TJZOISL,X,X,X,X,O,X
TJZOLIS,X,X,X,X,X,O
TJZOLSI,O,O,X,X,X,O
TJZOSIL,X,X,X,X,O,X
TJZOSLI,X,O,X,X,X,O
TJOILSZ,O,X,O,X,O,X
TJOILZS,O,X,X,X,O,X
TJOISLZ,X,X,O,X,O,X
TJOISZL,X,X,O,X,O,X
TJOIZLS,O,X,X,X,O,X
TJOIZSL,X,X,O,X,O,X
TJOLISZ,O,X,X,X,O,X
TJOLIZS,O,X,X,X,O,X
TJOLSIZ,O,O,X,X,O,X
TJOLSZI,O,O,X,X,X,X
TJOLZIS,X,X,X,X,X,O
TJOLZSI,O,O,X,X,X,O
TJOSILZ,X,X,O,X,O,X
TJOSIZL,X,X,O,X,O,X
TJOSLIZ,X,O,X,X,O,X
TJOSLZI,X,O,X,X,X,X
TJOSZIL,X,X,O,X,O,X
TJOSZLI,X,O,O,X,X,X
TJOZILS,O,X,X,X,O,O
TJOZISL,X,X,X,X,O,X
TJOZLIS,X,X,X,X,X,O
TJOZLSI,O,O,X,X,X,O
TJOZSIL,X,X,X,X,O,X
TJOZSLI,X,O,X,X,X,O
TSILJZO,X,X,O,X,O,X
TSILJOZ,X,O,O,X,O,X
TSILZJO,X,X,O,X,O,X
TSILZOJ,X,X,O,X,O,X
TSILOJZ,X,O,O,X,O,X
TSILOZJ,X,X,O,X,O,X
TSIJLZO,X,X,O,X,O,X
TSIJLOZ,X,O,O,X,O,X
TSIJZLO,X,O,O,X,O,X
TSIJZOL,X,X,O,X,O,X
TSIJOLZ,X,X,O,X,O,X
TSIJOZL,X,X,O,X,O,X
TSIZLJO,X,O,O,X,O,X
TSIZLOJ,X,O,O,X,O,X
TSIZJLO,X,O,O,X,O,X
TSIZJOL,X,X,O,X,O,X
TSIZOLJ,X,X,O,X,O,X
TSIZOJL,X,X,O,X,O,X
TSIOLJZ,X,X,O,X,O,X
TSIOLZJ,X,X,O,X,O,X
TSIOJLZ,X,X,O,X,O,X
TSIOJZL,X,X,O,X,O,X
TSIOZLJ,X,X,O,X,O,X
TSIOZJL,X,X,O,X,O,X
TSLIJZO,X,X,X,X,O,X
TSLIJOZ,X,O,X,X,O,X
TSLIZJO,X,X,X,X,O,X
TSLIZOJ,X,X,X,X,O,X
TSLIOJZ,X,O,X,X,O,X
TSLIOZJ,X,X,X,X,O,X
TSLJIZO,X,X,X,X,O,X
TSLJIOZ,X,O,X,X,O,X
TSLJZIO,X,O,X,X,X,O
TSLJZOI,X,O,X,X,X,O
TSLJOIZ,X,O,X,X,O,X
TSLJOZI,X,O,X,X,X,X
TSLZIJO,X,O,X,X,X,O
TSLZIOJ,X,O,X,X,X,O
TSLZJIO,X,O,X,X,X,O
TSLZJOI,X,O,X,X,X,O
TSLZOIJ,X,O,X,X,X,O
TSLZOJI,X,O,X,X,X,O
TSLOIJZ,X,O,X,X,O,X
TSLOIZJ,X,X,X,X,O,X
TSLOJIZ,X,O,X,X,O,X
TSLOJZI,X,O,X,X,X,X
TSLOZIJ,X,O,X,X,X,X
TSLOZJI,X,O,X,X,X,X
