sequence,v115@OhA8EeA8AeC8BeA8BeF8KeXAJvhFdmBzhBaoB5oB2p?B0pB,v115@OhA8EeA8AeC8BeA8BeF8KeT/IvhFNlBRhBGjBimB/t?B0pB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB2p?BXqB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB/p?BOqB,v115@OhA8EeA8AeC8BeA8BeF8Kex/IvhFdmBzhBGjBypB/t?B0pB
TSIOLZJ,X,X,X,O,X
TSIOJLZ,O,X,X,X,O
TSIOJZL,X,X,X,X,X
TSIOZLJ,X,X,X,O,X
TSIOZJL,X,X,X,X,X
TSLIJZO,X,O,X,X,X
TSLIJOZ,O,X,X,X,O
TSLIZJO,X,O,X,X,X
TSLIZOJ,X,O,X,O,X
TSLIOJZ,O,X,X,X,O
TSLIOZJ,X,X,X,O,X
TSLJIZO,X,O,X,X,X
TSLJIOZ,O,X,X,X,O
TSLJZIO,X,O,X,X,O
TSLJZOI,X,O,X,X,O
TSLJOIZ,O,X,X,X,O
TSLJOZI,X,X,X,X,O
TSLZIJO,X,O,X,X,O
TSLZIOJ,X,O,X,O,O
TSLZJIO,X,O,X,X,O
TSLZJOI,X,O,X,X,O
TSLZOIJ,X,O,X,O,O
TSLZOJI,X,O,X,X,O
TSLOIJZ,O,X,X,X,O
TSLOIZJ,X,X,X,O,X
TSLOJIZ,O,X,X,X,O
TSLOJZI,X,X,X,X,O
TSLOZIJ,X,X,X,O,O
TSLOZJI,X,X,X,X,O
TSJILZO,X,X,X,X,X
TSJILOZ,O,X,X,X,X
TSJIZLO,X,X,X,X,X
TSJIZOL,X,O,X,X,X
TSJIOLZ,O,X,X,X,O
TSJIOZL,X,X,X,X,X
TSJLIZO,X,O,X,X,X
TSJLIOZ,O,X,X,X,O
TSJLZIO,X,O,X,X,O
TSJLZOI,X,O,X,X,O
TSJLOIZ,O,X,X,X,O
TSJLOZI,X,X,X,X,O
TSJZILO,X,X,X,X,X
TSJZIOL,X,O,X,X,X
TSJZLIO,X,O,X,X,X
TSJZLOI,X,O,X,X,X
TSJZOIL,X,O,X,X,X
TSJZOLI,X,O,X,X,X
TSJOILZ,O,X,X,X,O
TSJOIZL,X,X,X,X,X
TSJOLIZ,O,X,X,X,O
TSJOLZI,X,X,X,X,O
TSJOZIL,X,X,X,X,X
TSJOZLI,X,X,X,X,X
TSZILJO,X,X,X,X,X
TSZILOJ,X,X,X,O,X
TSZIJLO,X,X,X,X,X
TSZIJOL,X,O,X,X,X
TSZIOLJ,X,X,X,O,X
TSZIOJL,X,O,X,X,X
TSZLIJO,X,O,X,X,X
TSZLIOJ,X,O,X,O,X
TSZLJIO,X,O,X,X,X
TSZLJOI,X,O,X,X,X
TSZLOIJ,X,O,X,O,X
TSZLOJI,X,O,X,X,X
TSZJILO,X,X,X,X,X
TSZJIOL,X,O,X,X,X
TSZJLIO,X,O,X,X,X
TSZJLOI,X,O,X,X,X
TSZJOIL,X,O,X,X,X
TSZJOLI,X,O,X,X,X
TSZOILJ,X,X,X,O,X
TSZOIJL,X,O,X,X,X
TSZOLIJ,X,O,X,O,X
TSZOLJI,X,O,X,X,X
TSZOJIL,X,O,X,X,X
TSZOJLI,X,O,X,X,X
TSOILJZ,O,X,X,X,X
TSOILZJ,X,X,X,O,X
TSOIJLZ,O,X,X,X,O
TSOIJZL,X,X,X,X,X
TSOIZLJ,X,X,X,O,X
TSOIZJL,X,X,X,X,X
TSOLIJZ,O,X,X,X,O
TSOLIZJ,X,X,X,O,X
TSOLJIZ,O,X,X,X,O
TSOLJZI,X,X,X,X,O
TSOLZIJ,X,X,X,O,O
TSOLZJI,X,X,X,X,O
TSOJILZ,O,X,X,X,O
TSOJIZL,X,X,X,X,X
TSOJLIZ,O,X,X,X,O
TSOJLZI,X,X,X,X,O
TSOJZIL,X,X,X,X,X
TSOJZLI,X,X,X,X,X
TSOZILJ,X,X,X,O,X
TSOZIJL,X,X,X,X,X
TSOZLIJ,X,X,X,O,X
TSOZLJI,X,X,X,X,X
TSOZJIL,X,X,X,X,X
TSOZJLI,X,X,X,X,X
TZILJSO,X,X,X,X,X
TZILJOS,X,X,X,X,X
TZILSJO,X,X,X,X,X
TZILSOJ,X,X,X,X,X
TZILOJS,X,X,X,X,X
TZILOSJ,X,X,X,X,X
TZIJLSO,X,X,X,X,X
TZIJLOS,X,X,X,X,X
TZIJSLO,X,X,X,X,X
TZIJSOL,X,X,X,X,X
TZIJOLS,X,X,X,X,X
TZIJOSL,X,X,X,X,X
TZISLJO,X,X,X,X,X
TZISLOJ,X,X,X,X,X
TZISJLO,X,X,X,X,X
TZISJOL,X,O,X,X,X
TZISOLJ,X,X,X,X,X
TZISOJL,X,O,X,X,X
TZIOLJS,X,X,X,X,X
TZIOLSJ,X,X,X,X,X
TZIOJLS,X,X,X,X,X
TZIOJSL,X,X,X,X,X
TZIOSLJ,X,X,X,X,X
TZIOSJL,X,O,X,X,X
TZLIJSO,X,X,X,X,X
TZLIJOS,X,X,X,X,X
TZLISJO,X,O,X,X,X
TZLISOJ,X,O,X,X,X
TZLIOJS,X,X,X,X,X
TZLIOSJ,X,O,X,X,X
TZLJISO,X,X,X,X,X
TZLJIOS,X,X,X,X,X
TZLJSIO,X,X,X,X,X
TZLJSOI,X,X,X,X,X
TZLJOIS,X,X,X,X,X
TZLJOSI,X,X,X,X,X
TZLSIJO,X,O,X,X,X
TZLSIOJ,X,O,X,X,X
TZLSJIO,X,O,X,X,X
TZLSJOI,X,O,X,X,X
TZLSOIJ,X,O,X,X,X
TZLSOJI,X,O,X,X,X
TZLOIJS,X,X,X,X,X
TZLOISJ,X,O,X,X,X
TZLOJIS,X,X,X,X,X
TZLOJSI,X,X,X,X,X
TZLOSIJ,X,O,X,X,X
TZLOSJI,X,O,X,X,X
TZJILSO,X,X,X,X,X
TZJILOS,X,X,X,X,X
TZJISLO,X,X,X,X,X
TZJISOL,X,X,X,X,X
TZJIOLS,X,X,X,X,X
TZJIOSL,X,X,X,X,X
TZJLISO,X,X,X,X,X
TZJLIOS,X,X,X,X,X
TZJLSIO,X,X,X,X,X
TZJLSOI,X,X,X,X,X
TZJLOIS,X,X,X,X,X
TZJLOSI,X,X,X,X,X
TZJSILO,X,X,X,X,X
TZJSIOL,X,X,X,X,X
TZJSLIO,X,X,X,X,X
TZJSLOI,X,X,X,X,X
TZJSOIL,X,X,X,X,X
TZJSOLI,X,X,X,X,X
TZJOILS,X,X,X,X,X
TZJOISL,X,X,X,X,X
TZJOLIS,X,X,X,X,X
TZJOLSI,X,X,X,X,X
TZJOSIL,X,X,X,X,X
TZJOSLI,X,X,X,X,X
TZSILJO,X,X,X,X,X
TZSILOJ,X,X,X,X,X
TZSIJLO,X,X,X,X,X
TZSIJOL,X,O,X,X,X
TZSIOLJ,X,X,X,X,X
TZSIOJL,X,O,X,X,X
TZSLIJO,X,O,X,X,X
TZSLIOJ,X,O,X,X,X
TZSLJIO,X,O,X,X,X
TZSLJOI,X,O,X,X,X
TZSLOIJ,X,O,X,X,X
TZSLOJI,X,O,X,X,X
TZSJILO,X,X,X,X,X
TZSJIOL,X,O,X,X,X
TZSJLIO,X,O,X,X,X
TZSJLOI,X,O,X,X,X
TZSJOIL,X,O,X,X,X
TZSJOLI,X,O,X,X,X
TZSOILJ,X,X,X,X,X
TZSOIJL,X,O,X,X,X
TZSOLIJ,X,O,X,X,X
TZSOLJI,X,O,X,X,X
TZSOJIL,X,O,X,X,X
TZSOJLI,X,O,X,X,X
TZOILJS,X,X,X,X,X
TZOILSJ,X,X,X,X,X
TZOIJLS,X,X,X,X,X
TZOIJSL,X,X,X,X,X
TZOISLJ,X,X,X,X,X
TZOISJL,X,O,X,X,X
TZOLIJS,X,X,X,X,X
TZOLISJ,X,O,X,X,X
TZOLJIS,X,X,X,X,X
TZOLJSI,X,X,X,X,X
TZOLSIJ,X,O,X,X,X
TZOLSJI,X,O,X,X,X
TZOJILS,X,X,X,X,X
TZOJISL,X,X,X,X,X
TZOJLIS,X,X,X,X,X
TZOJLSI,X,X,X,X,X
TZOJSIL,X,X,X,X,X
TZOJSLI,X,X,X,X,X
TZOSILJ,X,X,X,X,X
TZOSIJL,X,O,X,X,X
TZOSLIJ,X,O,X,X,X
TZOSLJI,X,O,X,X,X
TZOSJIL,X,O,X,X,X
TZOSJLI,X,O,X,X,X
TOILJSZ,O,X,X,X,X
