sequence,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeTAJvhFihBGjB/tB0?qBxrBFsB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeUCJvhFGjBxlB/tBi?lBzqBFsB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KexAJvhFXiBTlBerBU?oBFsB6tB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeTAJvhFKmBmiB5oB1?sB0qBfsB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeFBJvhF8mBziB5oBm?qBisB/qB,v115@9gB8HeB8HeB8HeC8BeA8AeB8Ke0AJvhFxhBTjB/qBi?rBGtBFsB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeTAJvhFGjBxmB/tBi?mB0qBFsB,v115@9gB8HeB8HeB8HeC8BeA8AeB8Ke2FJvhFiiB5oBfsBz?nBFmB0qB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KexAJvhFXiB2qBUoBF?sB6tBzqB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeOFJvhFVmBxiB0nB6?tBfsBzqB,v115@9gB8HeB8HeB8HeC8BeA8AeB8Ke/HJvhFaoB5oBTlBm?rBcrBlqB,v115@9gB8HeB8HeB8HeC8BeA8AeB8Ke3BJvhFeoB5oBTlBi?rBcsBlqB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeKGJvhFmiB5oBTlB1?sBfsB0qB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeiBJvhFGjBTlB/tBx?rBFsB0qB
IZLTOSJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IZLJTSO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLJTOS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLJSTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLJSOT,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLJOTS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
IZLJOST,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IZLSTJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLSTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLSJTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLSJOT,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IZLSOTJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLSOJT,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IZLOTJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IZLOTSJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IZLOJTS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
IZLOJST,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IZLOSTJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLOSJT,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IZJTLSO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
IZJTLOS,X,X,X,O,O,X,X,X,O,X,X,X,X,X
IZJTSLO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJTSOL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZJTOLS,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IZJTOSL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZJLTSO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJLTOS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJLSTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLSOT,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJLOTS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
IZJLOST,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IZJSTLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJSLTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSLOT,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IZJSOTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJSOLT,O,X,X,X,X,X,X,O,X,X,O,X,X,X
IZJOTLS,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZJOTSL,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZJOLTS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
IZJOLST,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IZJOSTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJOSLT,O,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSTLJO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IZSTJLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSTJOL,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZSTOLJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X
IZSTOJL,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZSLTJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSLJTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLJOT,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IZSLOTJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZSLOJT,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IZSJTLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZSJLTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSJLOT,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IZSJOTL,O,X,X,X,X,X,O,O,X,X,X,X,X,O
IZSJOLT,O,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSOTLJ,O,X,X,O,X,X,O,O,X,X,X,X,X,O
IZSOTJL,O,X,X,X,X,X,O,O,X,X,X,X,X,O
IZSOLTJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZSOLJT,O,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSOJTL,O,X,X,X,X,X,O,O,X,X,X,X,X,O
IZSOJLT,O,X,X,X,X,X,X,O,X,X,O,X,X,X
IZOTLJS,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZOTLSJ,O,X,X,O,X,X,O,X,X,X,X,X,O,X
IZOTJLS,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZOTJSL,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IZOTSLJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X
IZOTSJL,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZOLTJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IZOLTSJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IZOLJTS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
IZOLJST,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IZOLSTJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOLSJT,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IZOJTLS,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZOJTSL,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZOJLTS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
IZOJLST,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IZOJSTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOJSLT,O,X,X,X,X,X,X,O,X,X,O,X,X,X
IZOSTLJ,O,X,X,O,X,X,O,O,X,X,X,X,X,O
IZOSTJL,O,X,X,X,X,X,O,O,X,X,X,X,X,O
IZOSLTJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOSLJT,O,X,X,X,X,X,X,O,X,X,O,X,X,X
IZOSJTL,O,X,X,X,X,X,O,O,X,X,X,X,X,O
IZOSJLT,O,X,X,X,X,X,X,O,X,X,O,X,X,X
IOTLJSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTLJZS,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOTLSJZ,X,O,X,X,X,X,X,X,X,X,O,X,O,X
IOTLSZJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IOTLZJS,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTLZSJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X
IOTJLSZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOTJLZS,X,X,O,X,X,X,X,X,X,O,X,O,X,X
IOTJSLZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOTJSZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTJZLS,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOTJZSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,X,O,X,X,X,X,X,X,X,X,O,X,O,O
IOTSLZJ,X,O,X,X,X,X,X,O,X,X,X,X,O,O
IOTSJLZ,X,O,X,X,X,X,X,X,X,X,O,X,X,O
IOTSJZL,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IOTSZLJ,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IOTSZJL,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IOTZLJS,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTZLSJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X
IOTZJLS,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOTZJSL,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IOTZSLJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOTZSJL,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTJZS,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IOLTSJZ,X,O,X,X,X,X,X,X,X,X,O,X,O,X
IOLTSZJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IOLTZJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IOLTZSJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X
IOLJTSZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOLJTZS,X,X,O,X,O,X,X,X,X,O,X,O,X,X
IOLJSTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLJSZT,X,X,X,X,O,X,X,X,X,X,O,O,X,X
IOLJZTS,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IOLJZST,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOLSTJZ,X,O,X,X,X,X,X,X,X,X,O,X,O,O
IOLSTZJ,X,O,X,X,X,X,X,O,X,X,X,X,O,O
IOLSJTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IOLSJZT,O,O,X,X,O,X,X,O,X,X,O,O,X,X
IOLSZTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLSZJT,O,O,X,X,O,X,X,O,X,X,O,X,X,X
IOLZTJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IOLZTSJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOLZJTS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
IOLZJST,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IOLZSTJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLZSJT,O,O,X,X,O,X,X,O,X,X,O,X,X,X
IOJTLSZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOJTLZS,X,X,O,X,X,X,X,X,X,O,X,O,X,X
IOJTSLZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOJTSZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJTZLS,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJTZSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOJLTZS,X,X,O,X,O,X,X,X,X,O,X,O,X,X
IOJLSTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJLSZT,X,X,X,X,O,X,X,X,X,X,O,O,X,X
IOJLZTS,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IOJLZST,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOJSTLZ,X,O,O,X,X,X,X,X,X,X,O,X,X,O
IOJSTZL,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IOJSLTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IOJSLZT,X,O,X,X,X,X,X,O,X,X,O,O,X,X
IOJSZTL,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IOJSZLT,X,O,X,X,X,X,X,O,X,X,O,X,X,X
IOJZTLS,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJZTSL,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOJZLTS,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IOJZLST,X,X,X,X,O,X,X,O,X,X,X,O,X,X
IOJZSTL,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOJZSLT,X,O,X,X,X,X,X,O,X,X,O,X,X,X
IOSTLJZ,X,O,X,X,X,X,X,X,X,X,O,X,O,O
IOSTLZJ,X,O,X,X,X,X,X,O,X,X,X,X,O,O
IOSTJLZ,X,O,X,X,X,X,X,X,X,X,O,X,X,O
IOSTJZL,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IOSTZLJ,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IOSTZJL,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IOSLTJZ,X,O,X,X,X,X,X,X,X,X,O,X,O,O
IOSLTZJ,X,O,X,X,X,X,X,O,X,X,X,X,O,O
IOSLJTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IOSLJZT,O,O,X,X,X,X,X,O,X,X,O,O,X,X
IOSLZTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSLZJT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IOSJTLZ,X,O,O,X,X,X,X,X,X,X,O,X,X,O
IOSJTZL,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IOSJLTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IOSJLZT,O,O,X,X,X,X,X,O,X,X,O,O,X,X
IOSJZTL,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IOSJZLT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IOSZTLJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IOSZTJL,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IOSZLTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSZLJT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IOSZJTL,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IOSZJLT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IOZTLJS,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOZTLSJ,O,O,X,O,X,X,X,X,X,X,X,X,O,X
IOZTJLS,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOZTJSL,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IOZTSLJ,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IOZTSJL,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOZLTJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IOZLTSJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZLJTS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
IOZLJST,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IOZLSTJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZLSJT,O,O,X,X,O,X,X,O,X,X,O,X,X,X
IOZJTLS,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOZJTSL,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOZJLTS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
IOZJLST,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IOZJSTL,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOZJSLT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IOZSTLJ,O,O,X,O,X,X,X,O,X,X,X,X,X,O
IOZSTJL,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IOZSLTJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZSLJT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IOZSJTL,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IOZSJLT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
LTIJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZSO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTIJZOS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTIJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIJOZS,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LTISJZO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTISJOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTISZJO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTISZOJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTISOJZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X
LTISOZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIZJSO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTIZJOS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTIZSJO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTIZSOJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTIZOJS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTIZOSJ,X,X,X,O,X,X,O,X,X,X,X,X,O,X
LTIOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIOJZS,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LTIOSJZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X
LTIOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIOZJS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LTJISZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTJISOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTJIZOS,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTJIOSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTJIOZS,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LTJSIZO,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LTJSIOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSZIO,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LTJSZOI,X,X,O,X,X,O,X,X,O,X,X,X,X,X
LTJSOIZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJSOZI,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJZISO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTJZIOS,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTJZSIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTJZSOI,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTJZOIS,X,X,O,O,O,X,X,X,O,O,X,X,X,X
LTJZOSI,X,X,O,X,X,X,X,X,O,O,X,X,X,X
LTJOISZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X
LTJOIZS,X,X,O,X,O,X,X,X,X,O,X,O,X,X
LTJOSIZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJOSZI,X,X,O,X,X,O,X,X,X,O,X,X,X,X
LTJOZIS,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTJOZSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTSIJZO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSIJOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSIZJO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTSIZOJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTSIOJZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X
LTSIOZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSJIZO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
LTSJIOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTSJZIO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
LTSJZOI,X,O,O,X,X,O,O,X,O,X,X,X,X,X
LTSJOIZ,X,O,O,X,X,O,X,X,X,X,O,X,X,X
LTSJOZI,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTSZIJO,X,O,X,O,X,O,O,X,X,X,X,X,X,X
LTSZIOJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTSZJIO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
LTSZJOI,X,O,O,X,X,O,O,X,O,X,X,X,X,X
LTSZOIJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTSZOJI,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSOIJZ,X,O,X,X,X,X,X,X,X,X,O,X,O,X
LTSOIZJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X
LTSOJIZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTSOJZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSOZIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSOZJI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJSO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTZIJOS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTZISJO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTZISOJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTZIOJS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTZIOSJ,X,X,X,O,X,X,O,X,X,X,X,X,O,X
LTZJISO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTZJIOS,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTZJSIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTZJSOI,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTZJOIS,X,X,O,O,O,X,X,X,O,O,X,X,X,X
LTZJOSI,X,X,O,X,X,X,X,X,O,O,X,X,X,X
LTZSIJO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTZSIOJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTZSJIO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTZSJOI,X,O,O,X,X,X,O,X,O,X,X,X,X,X
LTZSOIJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTZSOJI,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTZOIJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTZOISJ,X,O,X,O,X,X,O,X,X,X,X,X,O,X
LTZOJIS,X,X,O,O,O,X,X,X,X,O,X,X,X,X
LTZOJSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTZOSIJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTZOSJI,X,O,X,X,X,X,O,X,X,O,X,X,X,X
LTOIJSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTOIJZS,X,X,X,X,O,X,X,X,X,O,X,O,X,X
LTOISJZ,X,O,X,X,X,X,X,X,X,X,O,X,O,X
LTOISZJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X
LTOIZJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTOIZSJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X
LTOJISZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X
LTOJIZS,X,X,O,X,O,X,X,X,X,O,X,O,X,X
LTOJSIZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOJSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTOJZIS,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTOJZSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTOSIJZ,X,O,X,X,X,X,X,X,X,X,O,X,O,X
LTOSIZJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X
LTOSJIZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTOSJZI,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTOSZIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOSZJI,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTOZIJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTOZISJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X
LTOZJIS,X,X,O,O,O,X,X,X,X,O,X,X,X,X
LTOZJSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTOZSIJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOZSJI,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LITJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJZSO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LITJZOS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LITJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITJOZS,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LITSJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LITSJOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LITSZJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITSZOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITSOJZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X
LITSOZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITZJSO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LITZJOS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LITZSJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITZSOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITZOJS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LITZOSJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
LITOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITOJZS,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LITOSJZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X
LITOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITOZJS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LITOZSJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LIJTSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJTSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJTZSO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LIJTZOS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LIJTOSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LIJTOZS,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LIJSTZO,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJSTOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LIJSZTO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LIJSZOT,O,X,X,X,O,O,X,X,X,X,O,X,X,X
