sequence,v115@OhA8IeC8AeC8AeE8JeZEJvhFqkB/lBFhBOnBTjBcrB,v115@OhA8IeC8AeC8AeE8JeZEJvhFUgBFhBXiBTjBWqBirB,v115@OhA8IeC8AeC8AeE8JeZEJvhFCgBXhBOnBTjBVqBcrB
TZOJILS,X,X,O
TZOJISL,X,X,O
TZOJLIS,X,X,O
TZOJLSI,X,X,O
TZOJSIL,X,X,O
TZOJSLI,X,X,O
TZOSILJ,X,X,O
TZOSIJL,X,X,O
TZOSLIJ,X,X,O
TZOSLJI,X,X,O
TZOSJIL,X,X,O
TZOSJLI,X,X,O
TOILJSZ,X,X,X
TOILJZS,X,X,O
TOILSJZ,X,X,X
TOILSZJ,X,X,X
TOILZJS,X,X,O
TOILZSJ,X,X,O
TOIJLSZ,X,X,X
TOIJLZS,X,X,O
TOIJSLZ,X,X,X
TOIJSZL,X,X,X
TOIJZLS,X,X,O
TOIJZSL,X,X,O
TOISLJZ,X,X,X
TOISLZJ,X,X,X
TOISJLZ,X,X,X
TOISJZL,X,X,X
TOISZLJ,X,X,X
TOISZJL,X,X,X
TOIZLJS,X,X,O
TOIZLSJ,X,X,O
TOIZJLS,X,X,O
TOIZJSL,X,X,O
TOIZSLJ,X,X,O
TOIZSJL,X,X,O
TOLIJSZ,X,X,X
TOLIJZS,X,X,O
TOLISJZ,X,X,X
TOLISZJ,X,X,X
TOLIZJS,X,X,O
TOLIZSJ,X,X,O
TOLJISZ,X,X,X
TOLJIZS,X,X,O
TOLJSIZ,X,X,X
TOLJSZI,X,X,X
TOLJZIS,X,X,O
TOLJZSI,X,X,O
TOLSIJZ,X,X,X
TOLSIZJ,X,X,X
TOLSJIZ,X,X,X
TOLSJZI,X,X,X
TOLSZIJ,X,X,X
TOLSZJI,X,X,X
TOLZIJS,X,X,O
TOLZISJ,X,X,O
TOLZJIS,X,X,O
TOLZJSI,X,X,O
TOLZSIJ,X,X,O
TOLZSJI,X,X,O
TOJILSZ,X,X,X
TOJILZS,X,X,O
TOJISLZ,X,X,X
TOJISZL,X,X,X
TOJIZLS,X,X,O
TOJIZSL,X,X,O
TOJLISZ,X,X,X
TOJLIZS,X,X,O
TOJLSIZ,X,X,X
TOJLSZI,X,X,X
TOJLZIS,X,X,O
TOJLZSI,X,X,O
TOJSILZ,X,X,X
TOJSIZL,X,X,X
TOJSLIZ,X,X,X
TOJSLZI,X,X,X
TOJSZIL,X,X,X
TOJSZLI,X,X,X
TOJZILS,X,X,O
TOJZISL,X,X,O
TOJZLIS,X,X,O
TOJZLSI,X,X,O
TOJZSIL,X,X,O
TOJZSLI,X,X,O
TOSILJZ,X,X,X
TOSILZJ,X,X,X
TOSIJLZ,X,X,X
TOSIJZL,X,X,X
TOSIZLJ,X,X,X
TOSIZJL,X,X,X
TOSLIJZ,X,X,X
TOSLIZJ,X,X,X
TOSLJIZ,X,X,X
TOSLJZI,X,X,X
TOSLZIJ,X,X,X
TOSLZJI,X,X,X
TOSJILZ,X,X,X
TOSJIZL,X,X,X
