sequence,v115@IhA8CeA8EeA8CeB8DeA8BeF8JeZEJvhFalBzgBUiBG?jBVtB3qB,v115@IhA8CeA8EeA8CeB8DeA8BeF8JeZEJvhFalBzgBFiB8?nB+oB3qB,v115@IhA8CeA8EeA8CeB8DeA8BeF8JeZEJvhFUgBFiBTjBy?qBWtB3qB,v115@IhA8CeA8EeA8CeB8DeA8BeF8JeZEJvhFalBUiBGjBz?lBVtB3qB
TZOLISJ,O,X,X,O
TZOLJIS,O,X,O,O
TZOLJSI,O,X,O,O
TZOLSIJ,O,X,X,O
TZOLSJI,O,X,X,O
TZOJILS,O,X,O,O
TZOJISL,O,X,O,O
TZOJLIS,O,X,O,O
TZOJLSI,O,X,O,O
TZOJSIL,O,X,O,O
TZOJSLI,O,X,O,O
TZOSILJ,O,X,X,O
TZOSIJL,O,X,X,O
TZOSLIJ,O,X,X,O
TZOSLJI,O,X,X,O
TZOSJIL,O,X,X,O
TZOSJLI,O,X,X,O
TOILJSZ,O,X,O,O
TOILJZS,O,X,O,O
TOILSJZ,O,X,X,O
TOILSZJ,O,X,X,O
TOILZJS,O,X,O,O
TOILZSJ,O,X,X,O
TOIJLSZ,O,X,O,O
TOIJLZS,O,X,O,O
TOIJSLZ,O,X,O,O
TOIJSZL,O,X,O,O
TOIJZLS,O,X,O,O
TOIJZSL,O,X,O,O
TOISLJZ,O,X,X,O
TOISLZJ,O,X,X,O
TOISJLZ,O,X,X,O
TOISJZL,O,X,X,O
TOISZLJ,O,X,X,O
TOISZJL,O,X,X,O
TOIZLJS,O,X,O,O
TOIZLSJ,O,X,X,O
TOIZJLS,O,X,O,O
TOIZJSL,O,X,O,O
TOIZSLJ,O,X,X,O
TOIZSJL,O,X,X,O
TOLIJSZ,O,X,O,O
TOLIJZS,O,X,O,O
TOLISJZ,O,X,X,O
TOLISZJ,O,X,X,O
TOLIZJS,O,X,O,O
TOLIZSJ,O,X,X,O
TOLJISZ,O,X,O,O
TOLJIZS,O,X,O,O
TOLJSIZ,O,X,O,O
TOLJSZI,O,X,O,O
TOLJZIS,O,X,O,O
TOLJZSI,O,X,O,O
TOLSIJZ,O,X,X,O
TOLSIZJ,O,X,X,O
TOLSJIZ,O,X,X,O
TOLSJZI,O,X,X,O
TOLSZIJ,O,X,X,O
TOLSZJI,O,X,X,O
TOLZIJS,O,X,O,O
TOLZISJ,O,X,X,O
TOLZJIS,O,X,O,O
TOLZJSI,O,X,O,O
TOLZSIJ,O,X,X,O
TOLZSJI,O,X,X,O
TOJILSZ,O,X,O,O
TOJILZS,O,X,O,O
TOJISLZ,O,X,O,O
TOJISZL,O,X,O,O
TOJIZLS,O,X,O,O
TOJIZSL,O,X,O,O
TOJLISZ,O,X,O,O
TOJLIZS,O,X,O,O
TOJLSIZ,O,X,O,O
TOJLSZI,O,X,O,O
TOJLZIS,O,X,O,O
TOJLZSI,O,X,O,O
TOJSILZ,O,X,O,O
TOJSIZL,O,X,O,O
TOJSLIZ,O,X,O,O
TOJSLZI,O,X,O,O
TOJSZIL,O,X,O,O
TOJSZLI,O,X,O,O
TOJZILS,O,X,O,O
TOJZISL,O,X,O,O
TOJZLIS,O,X,O,O
TOJZLSI,O,X,O,O
TOJZSIL,O,X,O,O
TOJZSLI,O,X,O,O
TOSILJZ,O,X,X,O
TOSILZJ,O,X,X,O
TOSIJLZ,O,X,X,O
TOSIJZL,O,X,X,O
TOSIZLJ,O,X,X,O
TOSIZJL,O,X,X,O
TOSLIJZ,O,X,X,O
TOSLIZJ,O,X,X,O
TOSLJIZ,O,X,X,O
TOSLJZI,O,X,X,O
TOSLZIJ,O,X,X,O
TOSLZJI,O,X,X,O
TOSJILZ,O,X,X,O
TOSJIZL,O,X,X,O
TOSJLIZ,O,X,X,O
TOSJLZI,O,X,X,O
TOSJZIL,O,X,X,O
TOSJZLI,O,X,X,O
TOSZILJ,O,X,X,O
TOSZIJL,O,X,X,O
TOSZLIJ,O,X,X,O
TOSZLJI,O,X,X,O
TOSZJIL,O,X,X,O
TOSZJLI,O,X,X,O
TOZILJS,O,X,O,O
TOZILSJ,O,X,X,O
TOZIJLS,O,X,O,O
TOZIJSL,O,X,O,O
TOZISLJ,O,X,X,O
TOZISJL,O,X,X,O
TOZLIJS,O,X,O,O
TOZLISJ,O,X,X,O
TOZLJIS,O,X,O,O
TOZLJSI,O,X,O,O
TOZLSIJ,O,X,X,O
TOZLSJI,O,X,X,O
TOZJILS,O,X,O,O
TOZJISL,O,X,O,O
TOZJLIS,O,X,O,O
TOZJLSI,O,X,O,O
TOZJSIL,O,X,O,O
TOZJSLI,O,X,O,O
TOZSILJ,O,X,X,O
TOZSIJL,O,X,X,O
TOZSLIJ,O,X,X,O
TOZSLJI,O,X,X,O
TOZSJIL,O,X,X,O
TOZSJLI,O,X,X,O
ITLJSZO,O,O,O,O
ITLJSOZ,O,O,O,O
ITLJZSO,O,O,O,O
ITLJZOS,O,O,O,O
ITLJOSZ,O,X,O,O
ITLJOZS,O,X,O,O
ITLSJZO,O,O,O,O
ITLSJOZ,O,O,O,O
ITLSZJO,O,X,O,O
ITLSZOJ,O,X,X,O
ITLSOJZ,O,O,X,O
ITLSOZJ,O,X,X,O
ITLZJSO,O,X,O,O
ITLZJOS,O,X,O,O
ITLZSJO,O,X,O,O
ITLZSOJ,O,X,X,O
ITLZOJS,O,X,O,O
ITLZOSJ,O,X,X,O
ITLOJSZ,O,X,O,O
ITLOJZS,O,X,O,O
ITLOSJZ,O,X,X,O
ITLOSZJ,O,X,X,O
ITLOZJS,O,X,O,O
ITLOZSJ,O,X,X,O
ITJLSZO,O,O,O,O
ITJLSOZ,O,O,O,O
ITJLZSO,O,O,O,O
ITJLZOS,O,O,O,O
ITJLOSZ,O,X,O,O
ITJLOZS,O,X,O,O
ITJSLZO,O,O,O,O
ITJSLOZ,O,O,O,O
ITJSZLO,O,O,O,O
ITJSZOL,O,O,O,O
ITJSOLZ,O,O,O,O
ITJSOZL,O,O,O,O
ITJZLSO,O,O,O,O
ITJZLOS,O,O,O,O
ITJZSLO,O,O,O,O
ITJZSOL,O,O,O,O
ITJZOLS,O,O,O,O
ITJZOSL,O,O,O,O
ITJOLSZ,O,X,O,O
ITJOLZS,O,X,O,O
ITJOSLZ,O,X,O,O
