sequence,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeFBJvhFxiBfqB0lBG?nBToBSwB,v115@9gC8GeA8IeA8EeA8CeB8DeD8Je3AJvhFUiBFjBWqBT?mBStBxvB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeUCJvhFFjBfqBxlBS?tBuqBTrB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeUCJvhFGjBfqBxlBV?tBzlBSwB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeRBJvhFGjBzkBCnBV?tB3qBUrB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeUCJvhFGjBClBTmBV?tB3lBxvB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeSFJvhFxhBTjBVrBW?tBUqB3rB
TZOSJLI,X,X,X,O,X,X,X
TOILJSZ,O,X,X,X,O,O,X
TOILJZS,O,X,X,X,O,O,X
TOILSJZ,O,X,X,X,O,O,X
TOILSZJ,O,X,X,X,O,O,X
TOILZJS,X,X,X,X,O,O,X
TOILZSJ,X,X,X,X,X,O,X
TOIJLSZ,O,X,X,X,O,O,X
TOIJLZS,O,X,X,X,O,O,X
TOIJSLZ,O,X,X,X,X,O,X
TOIJSZL,O,X,X,X,X,O,X
TOIJZLS,O,X,X,X,X,O,X
TOIJZSL,O,X,X,X,X,O,X
TOISLJZ,O,X,X,X,O,O,X
TOISLZJ,O,X,X,X,O,O,X
TOISJLZ,O,X,X,X,X,O,X
TOISJZL,O,X,X,X,X,O,X
TOISZLJ,O,X,X,X,X,O,X
TOISZJL,O,X,X,X,X,O,X
TOIZLJS,X,X,X,X,X,O,X
TOIZLSJ,X,X,X,X,X,O,X
TOIZJLS,X,X,X,X,X,O,X
TOIZJSL,X,X,X,X,X,O,X
TOIZSLJ,X,X,X,X,X,O,X
TOIZSJL,X,X,X,X,X,O,X
TOLIJSZ,O,X,X,X,O,O,X
TOLIJZS,O,X,X,X,O,O,X
TOLISJZ,O,X,O,X,O,O,X
TOLISZJ,O,X,O,X,O,O,X
TOLIZJS,X,X,X,X,O,O,X
TOLIZSJ,X,X,O,X,X,O,X
TOLJISZ,O,X,X,X,O,O,X
TOLJIZS,O,X,X,X,O,O,X
TOLJSIZ,O,X,O,O,O,X,X
TOLJSZI,O,X,O,O,O,X,X
TOLJZIS,O,X,X,X,O,X,X
TOLJZSI,X,X,O,O,O,X,X
TOLSIJZ,O,X,O,O,O,X,X
TOLSIZJ,O,X,O,O,O,X,X
TOLSJIZ,O,X,O,O,O,X,X
TOLSJZI,O,X,O,O,O,X,X
TOLSZIJ,O,X,O,O,O,X,X
TOLSZJI,O,X,O,O,O,X,X
TOLZIJS,X,X,X,X,O,X,X
TOLZISJ,X,X,O,X,X,X,X
TOLZJIS,X,X,X,X,O,X,X
TOLZJSI,X,X,O,O,O,X,X
TOLZSIJ,X,X,O,O,O,X,X
TOLZSJI,X,X,O,O,O,X,X
TOJILSZ,O,X,X,X,O,O,X
TOJILZS,O,X,X,X,O,O,X
TOJISLZ,O,X,X,X,X,O,X
TOJISZL,O,X,X,X,X,O,X
TOJIZLS,O,X,X,X,X,O,X
TOJIZSL,O,X,X,X,X,O,X
TOJLISZ,O,X,X,X,O,O,X
TOJLIZS,O,X,X,X,O,O,X
TOJLSIZ,O,X,X,O,O,X,X
TOJLSZI,O,X,X,O,O,X,X
TOJLZIS,O,X,X,X,O,X,X
TOJLZSI,X,X,X,O,O,X,X
TOJSILZ,O,X,X,X,X,X,X
TOJSIZL,O,X,X,O,X,X,X
TOJSLIZ,O,X,X,O,O,X,X
TOJSLZI,O,X,X,O,O,X,X
TOJSZIL,O,X,X,O,X,X,X
TOJSZLI,O,X,X,O,X,X,X
TOJZILS,O,X,X,X,X,O,X
TOJZISL,O,X,X,X,X,O,X
TOJZLIS,X,X,X,X,O,X,X
TOJZLSI,X,X,X,O,O,X,X
TOJZSIL,X,X,X,O,X,X,X
TOJZSLI,X,X,X,O,X,X,X
TOSILJZ,O,X,O,X,O,X,X
TOSILZJ,O,X,O,X,O,X,X
TOSIJLZ,O,X,X,X,X,X,X
TOSIJZL,O,X,X,O,X,X,X
TOSIZLJ,O,X,O,X,X,X,X
TOSIZJL,O,X,X,O,X,X,X
TOSLIJZ,O,X,O,O,O,X,X
TOSLIZJ,O,X,O,O,O,X,X
TOSLJIZ,O,X,O,O,O,X,X
TOSLJZI,O,X,O,O,O,X,X
TOSLZIJ,O,X,O,O,O,X,X
TOSLZJI,O,X,O,O,O,X,X
TOSJILZ,O,X,X,X,X,X,X
TOSJIZL,O,X,X,O,X,X,X
TOSJLIZ,O,X,X,O,O,X,X
TOSJLZI,O,X,X,O,O,X,X
TOSJZIL,O,X,X,O,X,X,X
TOSJZLI,O,X,X,O,X,X,X
TOSZILJ,O,X,O,X,X,X,X
TOSZIJL,O,X,X,O,X,X,X
TOSZLIJ,O,X,O,O,O,X,X
TOSZLJI,O,X,O,O,O,X,X
TOSZJIL,O,X,X,O,X,X,X
TOSZJLI,O,X,X,O,X,X,X
TOZILJS,X,X,X,X,X,O,X
TOZILSJ,X,X,X,X,X,O,X
TOZIJLS,X,X,X,X,X,O,X
TOZIJSL,X,X,X,X,X,O,X
TOZISLJ,X,X,X,X,X,O,X
TOZISJL,X,X,X,X,X,O,X
TOZLIJS,X,X,X,X,O,X,X
TOZLISJ,X,X,O,X,X,X,X
TOZLJIS,X,X,X,X,O,X,X
TOZLJSI,X,X,O,O,O,X,X
TOZLSIJ,X,X,O,O,O,X,X
TOZLSJI,X,X,O,O,O,X,X
TOZJILS,X,X,X,X,X,O,X
TOZJISL,X,X,X,X,X,O,X
TOZJLIS,X,X,X,X,O,X,X
TOZJLSI,X,X,X,O,O,X,X
TOZJSIL,X,X,X,O,X,X,X
TOZJSLI,X,X,X,O,X,X,X
TOZSILJ,X,X,O,X,X,X,X
TOZSIJL,X,X,X,O,X,X,X
TOZSLIJ,X,X,O,O,O,X,X
TOZSLJI,X,X,O,O,O,X,X
TOZSJIL,X,X,X,O,X,X,X
TOZSJLI,X,X,X,O,X,X,X
ITLJSZO,X,O,X,O,O,X,X
ITLJSOZ,X,O,X,O,O,O,X
ITLJZSO,X,O,X,O,O,X,X
ITLJZOS,X,O,X,X,O,O,X
ITLJOSZ,X,O,X,X,O,O,X
ITLJOZS,X,O,X,X,O,O,X
ITLSJZO,X,O,X,O,O,X,X
ITLSJOZ,X,O,X,O,O,O,X
ITLSZJO,X,O,X,O,O,X,X
ITLSZOJ,X,O,X,O,X,X,X
ITLSOJZ,X,O,X,O,O,O,X
ITLSOZJ,X,O,X,O,X,O,X
ITLZJSO,X,O,X,O,O,X,X
ITLZJOS,X,O,X,X,O,O,X
ITLZSJO,X,O,X,O,X,X,X
ITLZSOJ,X,O,X,O,X,X,X
ITLZOJS,X,O,X,X,X,O,X
ITLZOSJ,X,O,X,X,X,O,X
ITLOJSZ,X,O,X,X,O,O,X
ITLOJZS,X,O,X,X,O,O,X
ITLOSJZ,X,O,X,X,O,O,X
ITLOSZJ,X,O,X,X,O,O,X
ITLOZJS,X,O,X,X,O,O,X
ITLOZSJ,X,O,X,X,X,O,X
ITJLSZO,X,O,X,O,O,X,X
ITJLSOZ,X,O,X,O,O,O,X
ITJLZSO,X,O,X,O,O,X,X
ITJLZOS,X,O,X,X,O,O,X
ITJLOSZ,X,O,X,X,O,O,X
ITJLOZS,X,O,X,X,O,O,X
ITJSLZO,X,O,X,O,X,X,X
ITJSLOZ,X,O,X,O,X,O,X
ITJSZLO,X,O,X,O,X,X,X
ITJSZOL,X,O,X,O,X,O,X
ITJSOLZ,X,X,X,X,X,O,X
ITJSOZL,X,X,X,O,X,O,X
ITJZLSO,X,O,X,O,X,X,X
ITJZLOS,X,O,X,X,X,O,X
ITJZSLO,X,O,X,O,X,X,X
ITJZSOL,X,O,X,O,X,O,X
ITJZOLS,X,X,X,X,X,O,X
ITJZOSL,X,O,X,X,X,O,X
ITJOLSZ,X,O,X,X,O,O,X
ITJOLZS,X,O,X,X,O,O,X
ITJOSLZ,X,O,X,X,X,O,X
ITJOSZL,X,O,X,X,X,O,X
ITJOZLS,X,O,X,X,X,O,X
ITJOZSL,X,O,X,X,X,O,X
ITSLJZO,X,X,X,O,O,X,X
ITSLJOZ,X,X,X,O,O,O,X
ITSLZJO,X,X,X,O,O,X,X
ITSLZOJ,X,X,X,O,X,X,X
ITSLOJZ,X,X,X,O,O,O,X
ITSLOZJ,X,X,X,O,X,O,X
ITSJLZO,X,X,X,O,X,X,X
ITSJLOZ,X,X,X,O,X,O,X
ITSJZLO,X,X,X,O,X,X,X
ITSJZOL,X,X,X,O,X,O,X
ITSJOLZ,X,X,X,X,X,O,X
ITSJOZL,X,X,X,O,X,O,X
ITSZLJO,X,X,X,O,X,X,X
ITSZLOJ,X,X,X,O,X,X,X
ITSZJLO,X,X,X,O,X,X,X
ITSZJOL,X,X,X,O,X,O,X
ITSZOLJ,X,X,X,X,X,O,X
ITSZOJL,X,X,X,O,X,O,X
ITSOLJZ,X,X,X,X,X,O,X
ITSOLZJ,X,X,X,X,X,O,X
ITSOJLZ,X,X,X,X,X,O,X
ITSOJZL,X,X,X,O,X,O,X
ITSOZLJ,X,X,X,X,X,O,X
ITSOZJL,X,X,X,O,X,O,X
ITZLJSO,X,O,X,O,X,X,X
ITZLJOS,X,O,X,X,X,O,X
ITZLSJO,X,O,X,O,X,X,X
ITZLSOJ,X,O,X,O,X,X,X
ITZLOJS,X,O,X,X,X,O,X
ITZLOSJ,X,O,X,X,X,O,X
ITZJLSO,X,O,X,O,X,X,X
ITZJLOS,X,O,X,X,X,O,X
ITZJSLO,X,O,X,O,X,X,X
ITZJSOL,X,O,X,O,X,O,X
ITZJOLS,X,O,X,X,X,O,X
ITZJOSL,X,O,X,X,X,O,X
ITZSLJO,X,X,X,O,X,X,X
ITZSLOJ,X,X,X,O,X,X,X
ITZSJLO,X,O,X,O,X,X,X
ITZSJOL,X,O,X,O,X,O,X
ITZSOLJ,X,O,X,X,X,O,X
ITZSOJL,X,O,X,O,X,O,X
ITZOLJS,X,O,X,X,X,O,X
ITZOLSJ,X,O,X,X,X,O,X
ITZOJLS,X,O,X,X,X,O,X
ITZOJSL,X,O,X,X,X,O,X
ITZOSLJ,X,O,X,X,X,O,X
ITZOSJL,X,O,X,X,X,O,X
ITOLJSZ,X,O,X,X,O,O,X
ITOLJZS,X,O,X,X,O,O,X
ITOLSJZ,X,O,X,X,O,O,X
ITOLSZJ,X,O,X,X,O,O,X
ITOLZJS,X,O,X,X,O,O,X
ITOLZSJ,X,O,X,X,X,O,X
ITOJLSZ,X,O,X,X,O,O,X
ITOJLZS,X,O,X,X,O,O,X
ITOJSLZ,X,O,X,X,X,O,X
ITOJSZL,X,O,X,X,X,O,X
ITOJZLS,X,O,X,X,X,O,X
ITOJZSL,X,O,X,X,X,O,X
ITOSLJZ,X,O,X,X,O,O,X
ITOSLZJ,X,O,X,X,O,O,X
ITOSJLZ,X,X,X,X,X,O,X
ITOSJZL,X,X,X,X,X,O,X
ITOSZLJ,X,O,X,X,X,O,X
ITOSZJL,X,O,X,X,X,O,X
ITOZLJS,X,O,X,X,X,O,X
ITOZLSJ,X,O,X,X,X,O,X
ITOZJLS,X,O,X,X,X,O,X
ITOZJSL,X,O,X,X,X,O,X
ITOZSLJ,X,O,X,X,X,O,X
ITOZSJL,X,O,X,X,X,O,X
ILTJSZO,X,O,X,O,O,X,X
ILTJSOZ,X,O,X,O,O,O,X
ILTJZSO,X,O,X,O,O,X,X
ILTJZOS,X,O,X,X,O,O,X
ILTJOSZ,X,O,X,X,O,O,X
ILTJOZS,X,O,X,X,O,O,X
ILTSJZO,X,O,O,O,O,X,X
ILTSJOZ,X,O,X,O,O,O,X
ILTSZJO,X,O,O,O,O,X,X
ILTSZOJ,X,O,O,O,X,X,X
ILTSOJZ,X,O,O,O,O,O,X
ILTSOZJ,X,O,O,O,X,O,X
ILTZJSO,X,O,X,O,O,X,X
ILTZJOS,X,O,X,X,O,O,X
ILTZSJO,X,O,O,O,X,X,X
ILTZSOJ,X,O,O,O,X,X,X
ILTZOJS,X,O,X,X,X,O,X
ILTZOSJ,X,O,O,X,X,O,X
ILTOJSZ,X,O,X,X,O,O,X
ILTOJZS,X,O,X,X,O,O,X
ILTOSJZ,X,O,O,X,O,O,X
ILTOSZJ,X,O,O,X,O,O,X
ILTOZJS,X,O,X,X,O,O,X
ILTOZSJ,X,O,O,X,X,O,X
ILJTSZO,O,O,X,X,O,X,X
ILJTSOZ,O,O,X,X,O,O,X
ILJTZSO,O,O,X,X,O,X,X
ILJTZOS,O,O,X,X,O,O,X
ILJTOSZ,O,O,X,X,O,O,X
ILJTOZS,O,O,X,X,O,O,X
ILJSTZO,O,O,X,X,X,X,X
ILJSTOZ,O,O,X,X,X,X,X
ILJSZTO,O,O,X,X,X,X,X
ILJSZOT,O,O,X,X,X,X,X
ILJSOTZ,O,O,X,X,X,X,X
ILJSOZT,O,O,X,X,X,X,X
ILJZTSO,O,O,X,X,X,X,X
ILJZTOS,O,O,X,X,X,X,X
ILJZSTO,O,O,X,X,X,X,X
ILJZSOT,O,O,X,X,X,X,X
ILJZOTS,X,O,X,X,X,X,X
ILJZOST,X,O,X,X,X,X,X
ILJOTSZ,O,O,X,X,X,O,X
ILJOTZS,O,O,X,X,X,O,X
ILJOSTZ,O,O,X,X,X,X,X
ILJOSZT,O,O,X,X,X,X,X
ILJOZTS,O,O,X,X,X,O,X
ILJOZST,O,O,X,X,X,X,X
ILSTJZO,X,O,O,O,O,X,X
ILSTJOZ,X,O,X,O,O,O,X
ILSTZJO,X,O,O,O,O,X,X
ILSTZOJ,X,O,O,O,X,X,X
ILSTOJZ,X,O,O,O,O,O,X
ILSTOZJ,X,O,O,O,X,O,X
ILSJTZO,O,O,O,O,O,X,X
ILSJTOZ,O,O,X,O,O,X,X
ILSJZTO,O,O,O,O,X,X,X
ILSJZOT,O,O,X,X,X,X,X
ILSJOTZ,O,O,X,X,X,X,X
ILSJOZT,O,O,X,X,X,X,X
ILSZTJO,O,O,O,O,O,X,X
ILSZTOJ,O,O,O,O,X,X,X
ILSZJTO,O,O,O,O,X,X,X
ILSZJOT,O,O,X,X,X,X,X
ILSZOTJ,O,O,O,O,X,X,X
ILSZOJT,O,O,O,X,X,X,X
ILSOTJZ,O,O,O,O,O,O,X
ILSOTZJ,O,O,O,O,X,O,X
ILSOJTZ,O,O,O,X,X,X,X
ILSOJZT,O,O,O,X,X,X,X
ILSOZTJ,O,O,O,O,X,O,X
ILSOZJT,O,O,O,X,X,X,X
ILZTJSO,X,O,X,O,O,X,X
ILZTJOS,X,O,X,X,O,O,X
ILZTSJO,X,O,O,O,X,X,X
ILZTSOJ,X,O,O,O,X,X,X
ILZTOJS,X,O,X,X,X,O,X
ILZTOSJ,X,O,O,X,X,O,X
ILZJTSO,X,O,X,X,X,X,X
ILZJTOS,X,O,X,X,X,X,X
ILZJSTO,X,O,X,X,X,X,X
ILZJSOT,X,O,X,X,X,X,X
ILZJOTS,X,O,X,X,X,X,X
ILZJOST,X,O,X,X,X,X,X
ILZSTJO,X,O,O,O,X,X,X
ILZSTOJ,X,O,O,O,X,X,X
ILZSJTO,X,O,O,O,X,X,X
ILZSJOT,X,O,X,X,X,X,X
ILZSOTJ,X,O,O,O,X,X,X
ILZSOJT,X,O,O,X,X,X,X
ILZOTJS,X,O,X,X,X,O,X
ILZOTSJ,X,O,O,X,X,O,X
ILZOJTS,X,O,X,X,X,O,X
ILZOJST,X,O,X,X,X,X,X
ILZOSTJ,X,O,O,X,X,O,X
ILZOSJT,X,O,O,X,X,X,X
ILOTJSZ,O,O,X,X,O,O,X
ILOTJZS,O,O,X,X,O,O,X
ILOTSJZ,O,O,O,X,O,O,X
ILOTSZJ,O,O,O,X,O,O,X
ILOTZJS,X,O,X,X,O,O,X
ILOTZSJ,X,O,O,X,X,O,X
ILOJTSZ,O,O,X,X,O,O,X
ILOJTZS,O,O,X,X,O,O,X
ILOJSTZ,O,O,X,X,X,X,X
ILOJSZT,O,O,X,X,X,X,X
ILOJZTS,O,O,X,X,X,O,X
ILOJZST,O,O,X,X,X,X,X
ILOSTJZ,O,O,O,X,O,O,X
ILOSTZJ,O,O,O,X,O,O,X
ILOSJTZ,O,O,O,X,O,X,X
ILOSJZT,O,O,O,X,X,X,X
ILOSZTJ,O,O,O,X,O,O,X
ILOSZJT,O,O,O,X,X,X,X
ILOZTJS,X,O,X,X,O,O,X
ILOZTSJ,X,O,O,X,X,O,X
ILOZJTS,O,O,X,X,X,O,X
ILOZJST,O,O,X,X,X,X,X
ILOZSTJ,O,O,O,X,X,O,X
ILOZSJT,O,O,O,X,X,X,X
IJTLSZO,O,O,X,X,X,X,X
IJTLSOZ,O,O,X,X,X,O,X
IJTLZSO,O,O,X,X,X,X,X
IJTLZOS,O,O,X,X,X,O,X
IJTLOSZ,O,O,X,X,X,O,X
IJTLOZS,O,O,X,X,X,O,X
IJTSLZO,O,O,X,X,X,X,X
IJTSLOZ,O,O,X,X,X,O,X
IJTSZLO,O,O,X,X,X,X,X
IJTSZOL,O,O,X,X,X,O,X
IJTSOLZ,O,X,X,X,X,O,X
IJTSOZL,O,X,X,X,X,O,X
IJTZLSO,O,O,X,X,X,X,X
IJTZLOS,O,O,X,X,X,O,X
IJTZSLO,O,O,X,X,X,X,X
IJTZSOL,O,O,X,X,X,O,X
IJTZOLS,O,X,X,X,X,O,X
IJTZOSL,O,O,X,X,X,O,X
IJTOLSZ,O,O,X,X,X,O,X
IJTOLZS,O,O,X,X,X,O,X
IJTOSLZ,O,O,X,X,X,O,X
IJTOSZL,O,O,X,X,X,O,X
IJTOZLS,O,O,X,X,X,O,X
IJTOZSL,O,O,X,X,X,O,X
IJLTSZO,O,O,X,X,X,X,X
IJLTSOZ,O,O,X,X,X,O,X
IJLTZSO,O,O,X,X,X,X,X
IJLTZOS,O,O,X,X,X,O,X
IJLTOSZ,O,O,X,X,X,O,X
IJLTOZS,O,O,X,X,X,O,X
IJLSTZO,O,O,X,X,X,X,X
IJLSTOZ,O,O,X,X,X,X,X
IJLSZTO,O,O,X,X,X,X,X
IJLSZOT,O,O,X,X,X,X,X
IJLSOTZ,O,O,X,X,X,X,X
IJLSOZT,O,O,X,X,X,X,X
IJLZTSO,O,O,X,X,X,X,X
IJLZTOS,O,O,X,X,X,X,X
IJLZSTO,O,O,X,X,X,X,X
IJLZSOT,O,O,X,X,X,X,X
IJLZOTS,X,O,X,X,X,X,X
IJLZOST,X,O,X,X,X,X,X
IJLOTSZ,O,O,X,X,X,O,X
IJLOTZS,O,O,X,X,X,O,X
IJLOSTZ,O,O,X,X,X,X,X
IJLOSZT,O,O,X,X,X,X,X
IJLOZTS,O,O,X,X,X,O,X
IJLOZST,O,O,X,X,X,X,X
IJSTLZO,O,O,X,X,X,X,X
IJSTLOZ,O,O,X,X,X,X,X
IJSTZLO,O,O,X,X,X,X,X
IJSTZOL,O,O,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,X,X
IJSTOZL,O,X,X,X,X,X,X
IJSLTZO,O,O,X,X,X,X,X
IJSLTOZ,O,O,X,X,X,X,X
IJSLZTO,O,O,X,X,X,X,X
IJSLZOT,O,O,X,X,X,X,X
IJSLOTZ,O,O,X,X,X,X,X
IJSLOZT,O,O,X,X,X,X,X
IJSZTLO,O,O,X,X,X,X,X
IJSZTOL,O,O,X,X,X,X,X
IJSZLTO,O,O,X,X,X,X,X
IJSZLOT,O,O,X,X,X,X,X
IJSZOTL,O,O,X,X,X,X,X
IJSZOLT,O,O,X,X,X,X,X
IJSOTLZ,O,O,X,X,X,X,X
IJSOTZL,O,O,X,X,X,X,X
IJSOLTZ,O,O,X,X,X,X,X
IJSOLZT,O,O,X,X,X,X,X
IJSOZTL,O,O,X,X,X,X,X
IJSOZLT,O,O,X,X,X,X,X
IJZTLSO,O,O,X,X,X,X,O
IJZTLOS,O,O,X,X,X,O,O
IJZTSLO,O,O,X,X,X,X,O
IJZTSOL,O,O,X,X,X,O,O
IJZTOLS,O,O,X,X,X,O,O
IJZTOSL,O,O,X,X,X,O,O
IJZLTSO,O,O,X,X,X,X,O
IJZLTOS,O,O,X,X,X,X,O
IJZLSTO,O,O,X,X,X,X,X
IJZLSOT,O,O,X,X,X,X,O
IJZLOTS,X,O,X,X,X,X,O
IJZLOST,X,O,X,X,X,X,O
IJZSTLO,O,O,X,X,X,X,X
IJZSTOL,O,O,X,X,X,X,X
IJZSLTO,O,O,X,X,X,X,X
IJZSLOT,O,O,X,X,X,X,O
IJZSOTL,O,O,X,X,X,X,X
IJZSOLT,X,O,X,X,X,X,O
IJZOTLS,X,O,X,X,X,O,O
IJZOTSL,X,O,X,X,X,O,O
IJZOLTS,X,O,X,X,X,O,O
IJZOLST,X,O,X,X,X,X,O
IJZOSTL,X,O,X,X,X,X,X
IJZOSLT,X,O,X,X,X,X,O
IJOTLSZ,O,O,X,X,X,O,X
IJOTLZS,O,O,X,X,X,O,X
IJOTSLZ,O,O,X,X,X,O,X
IJOTSZL,O,O,X,X,X,O,X
IJOTZLS,O,O,X,X,X,O,X
IJOTZSL,O,O,X,X,X,O,X
IJOLTSZ,O,O,X,X,X,O,X
IJOLTZS,O,O,X,X,X,O,X
IJOLSTZ,O,O,X,X,X,X,X
IJOLSZT,O,O,X,X,X,X,X
IJOLZTS,O,O,X,X,X,O,X
IJOLZST,O,O,X,X,X,X,X
IJOSTLZ,O,O,X,X,X,X,X
IJOSTZL,O,O,X,X,X,X,X
IJOSLTZ,O,O,X,X,X,X,X
IJOSLZT,O,O,X,X,X,X,X
IJOSZTL,O,O,X,X,X,X,X
IJOSZLT,O,O,X,X,X,X,X
IJOZTLS,O,O,X,X,X,O,O
IJOZTSL,O,O,X,X,X,O,O
IJOZLTS,O,O,X,X,X,O,O
IJOZLST,O,O,X,X,X,X,O
IJOZSTL,O,O,X,X,X,X,X
IJOZSLT,O,O,X,X,X,X,O
ISTLJZO,X,X,O,O,O,X,X
ISTLJOZ,X,X,X,O,O,O,X
ISTLZJO,X,X,O,O,O,X,X
ISTLZOJ,X,X,O,O,X,X,X
ISTLOJZ,X,X,X,O,O,O,X
ISTLOZJ,X,X,O,O,X,O,X
ISTJLZO,X,X,X,O,X,X,X
ISTJLOZ,X,X,X,O,X,O,X
ISTJZLO,X,X,X,O,X,X,X
ISTJZOL,X,X,X,O,X,O,X
ISTJOLZ,X,X,X,X,X,O,X
ISTJOZL,X,X,X,O,X,O,X
ISTZLJO,X,X,O,O,X,X,X
ISTZLOJ,X,X,O,O,X,X,X
ISTZJLO,X,X,X,O,X,X,X
ISTZJOL,X,X,X,O,X,O,X
ISTZOLJ,X,X,X,X,X,O,X
ISTZOJL,X,X,X,O,X,O,X
ISTOLJZ,X,X,X,X,X,O,X
ISTOLZJ,X,X,X,X,X,O,X
ISTOJLZ,X,X,X,X,X,O,X
ISTOJZL,X,X,X,O,X,O,X
ISTOZLJ,X,X,X,X,X,O,X
ISTOZJL,X,X,X,O,X,O,X
ISLTJZO,X,O,O,O,O,X,X
ISLTJOZ,X,O,X,O,O,O,X
ISLTZJO,X,O,O,O,O,X,X
ISLTZOJ,X,O,O,O,X,X,X
ISLTOJZ,X,O,O,O,O,O,X
ISLTOZJ,X,O,O,O,X,O,X
ISLJTZO,O,O,O,O,O,X,X
ISLJTOZ,O,O,X,O,O,X,X
ISLJZTO,O,O,O,O,X,X,X
ISLJZOT,O,O,X,X,X,X,X
ISLJOTZ,O,O,X,X,X,X,X
ISLJOZT,O,O,X,X,X,X,X
ISLZTJO,O,O,O,O,O,X,X
ISLZTOJ,O,O,O,O,X,X,X
ISLZJTO,O,O,O,O,X,X,X
ISLZJOT,O,O,X,X,X,X,X
ISLZOTJ,O,O,O,O,X,X,X
ISLZOJT,O,O,O,X,X,X,X
ISLOTJZ,O,O,O,O,O,O,X
ISLOTZJ,O,O,O,O,X,O,X
ISLOJTZ,O,O,O,X,X,X,X
ISLOJZT,O,O,O,X,X,X,X
ISLOZTJ,O,O,O,O,X,O,X
ISLOZJT,O,O,O,X,X,X,X
ISJTLZO,O,O,X,O,X,X,X
ISJTLOZ,O,O,X,X,X,X,X
ISJTZLO,O,O,X,O,X,X,X
ISJTZOL,O,O,X,O,X,X,X
ISJTOLZ,O,X,X,X,X,X,X
ISJTOZL,O,X,X,O,X,X,X
ISJLTZO,O,O,O,X,X,X,X
ISJLTOZ,O,O,X,X,X,X,X
ISJLZTO,O,O,O,X,X,X,X
ISJLZOT,O,O,X,X,X,X,X
ISJLOTZ,O,O,X,X,X,X,X
ISJLOZT,O,O,X,X,X,X,X
ISJZTLO,O,O,X,O,X,X,X
ISJZTOL,O,O,X,O,X,X,X
ISJZLTO,O,O,O,X,X,X,X
ISJZLOT,O,O,X,X,X,X,X
ISJZOTL,O,O,X,X,X,X,X
ISJZOLT,O,O,X,X,X,X,X
ISJOTLZ,O,O,X,X,X,X,X
ISJOTZL,O,O,X,X,X,X,X
ISJOLTZ,O,O,X,X,X,X,X
ISJOLZT,O,O,X,X,X,X,X
ISJOZTL,O,O,X,X,X,X,X
ISJOZLT,O,O,X,X,X,X,X
ISZTLJO,X,X,O,O,X,X,X
ISZTLOJ,X,X,O,O,X,X,X
ISZTJLO,O,O,X,O,X,X,X
ISZTJOL,O,O,X,O,X,O,X
ISZTOLJ,O,O,X,X,X,O,X
ISZTOJL,O,O,X,O,X,O,X
ISZLTJO,O,O,O,O,X,X,X
ISZLTOJ,O,O,O,O,X,X,X
ISZLJTO,O,O,O,O,X,X,X
ISZLJOT,O,O,X,X,X,X,X
ISZLOTJ,O,O,O,O,X,X,X
ISZLOJT,O,O,O,X,X,X,X
ISZJTLO,O,O,X,O,X,X,X
ISZJTOL,O,O,X,O,X,X,X
ISZJLTO,O,O,O,X,X,X,X
ISZJLOT,X,O,X,X,X,X,X
ISZJOTL,O,O,X,X,X,X,X
ISZJOLT,O,O,X,X,X,X,X
ISZOTLJ,O,O,O,X,X,O,X
ISZOTJL,O,O,X,O,X,O,X
ISZOLTJ,O,O,O,X,X,O,X
ISZOLJT,O,O,O,X,X,X,X
ISZOJTL,O,O,X,X,X,X,X
ISZOJLT,O,O,O,X,X,X,X
ISOTLJZ,O,O,O,X,X,O,X
ISOTLZJ,O,O,O,X,X,O,X
ISOTJLZ,O,X,X,X,X,O,X
ISOTJZL,O,X,X,O,X,O,X
ISOTZLJ,O,O,O,X,X,O,X
ISOTZJL,O,O,X,O,X,O,X
ISOLTJZ,O,O,O,X,X,O,X
ISOLTZJ,O,O,O,X,X,O,X
ISOLJTZ,O,O,O,X,X,X,X
ISOLJZT,O,O,O,X,X,X,X
ISOLZTJ,O,O,O,X,X,O,X
ISOLZJT,O,O,O,X,X,X,X
ISOJTLZ,O,O,X,X,X,X,X
ISOJTZL,O,O,X,X,X,X,X
ISOJLTZ,O,O,O,X,X,X,X
ISOJLZT,O,O,O,X,X,X,X
ISOJZTL,O,O,X,X,X,X,X
ISOJZLT,O,O,O,X,X,X,X
ISOZTLJ,O,O,O,X,X,O,X
ISOZTJL,O,O,X,O,X,O,X
ISOZLTJ,O,O,O,X,X,O,X
ISOZLJT,O,O,O,X,X,X,X
ISOZJTL,O,O,X,X,X,X,X
ISOZJLT,O,O,O,X,X,X,X
IZTLJSO,X,O,X,O,X,X,O
IZTLJOS,X,O,X,X,X,O,O
IZTLSJO,X,O,X,O,X,X,O
IZTLSOJ,X,O,X,O,X,X,X
IZTLOJS,X,O,X,X,X,O,O
IZTLOSJ,X,O,X,X,X,O,X
IZTJLSO,X,O,X,O,X,X,O
IZTJLOS,X,O,X,X,X,O,O
IZTJSLO,X,O,X,O,X,X,O
IZTJSOL,X,O,X,O,X,O,O
