sequence,v115@QhA8BeA8EeH8BeB8Jem/IvhFChBxiBTkBXmBlnBUsB,v115@QhA8BeA8EeH8BeB8Jex/IvhF/mBanBFjBTkB0lB+sB,v115@QhA8BeA8EeH8BeB8JeOEJvhF8kBqlBThBxiBVsB3sB,v115@QhA8BeA8EeH8BeB8Jex/IvhF0hBXjBTkBllB6sBmrB,v115@QhA8BeA8EeH8BeB8JeKEJvhFzfBFhBxiBWrB3nBUsB,v115@QhA8BeA8EeH8BeB8Jei/IvhFzgBFjB3kBGnBRrBUsB,v115@QhA8BeA8EeH8BeB8JeOEJvhF8kBRhBzlBfsBlnBCtB
TOILZSJ,X,X,O,O,X,X,X
TOIJLSZ,O,O,X,O,X,O,X
TOIJLZS,X,O,O,O,X,X,X
TOIJSLZ,O,O,X,O,X,O,X
TOIJSZL,O,O,X,O,X,O,X
TOIJZLS,X,O,X,O,X,X,X
TOIJZSL,O,O,X,O,X,O,X
TOISLJZ,O,O,X,O,X,O,X
TOISLZJ,O,X,O,O,X,O,O
TOISJLZ,O,O,X,O,X,O,X
TOISJZL,O,O,X,O,X,O,O
TOISZLJ,O,X,X,O,X,O,O
TOISZJL,O,O,X,O,X,O,O
TOIZLJS,X,O,O,O,X,X,X
TOIZLSJ,X,X,O,O,X,X,X
TOIZJLS,X,O,O,O,X,X,X
TOIZJSL,O,O,X,O,X,O,O
TOIZSLJ,O,O,X,O,X,O,O
TOIZSJL,O,O,X,O,X,O,O
TOLIJSZ,O,O,X,O,X,X,X
TOLIJZS,X,O,O,O,X,X,X
TOLISJZ,O,X,X,O,X,X,X
TOLISZJ,O,X,O,O,X,X,X
TOLIZJS,X,O,O,O,X,X,X
TOLIZSJ,X,X,O,O,X,X,X
TOLJISZ,O,O,X,O,X,X,X
TOLJIZS,X,O,O,O,X,X,X
TOLJSIZ,O,O,X,O,X,X,X
TOLJSZI,O,O,X,O,X,X,X
TOLJZIS,X,O,O,O,X,X,X
TOLJZSI,X,O,O,O,X,X,X
TOLSIJZ,O,X,X,O,X,X,X
TOLSIZJ,O,X,O,O,X,X,X
TOLSJIZ,O,X,X,O,X,X,X
TOLSJZI,O,X,X,O,X,X,X
TOLSZIJ,O,X,O,O,X,X,X
TOLSZJI,O,X,O,O,X,X,X
TOLZIJS,X,O,O,O,X,X,X
TOLZISJ,X,X,O,O,X,X,X
TOLZJIS,X,O,O,O,X,X,X
TOLZJSI,X,O,O,O,X,X,X
TOLZSIJ,X,X,O,O,X,X,X
TOLZSJI,X,X,O,O,X,X,X
TOJILSZ,O,O,X,O,X,X,X
TOJILZS,X,O,O,O,X,X,X
TOJISLZ,O,O,X,O,X,X,X
TOJISZL,O,O,X,O,X,X,X
TOJIZLS,X,O,X,O,X,X,X
TOJIZSL,O,O,X,O,X,X,X
TOJLISZ,O,O,X,O,X,X,X
TOJLIZS,X,O,O,O,X,X,X
TOJLSIZ,O,O,X,O,X,X,X
TOJLSZI,O,O,X,O,X,X,X
TOJLZIS,X,O,O,O,X,X,X
TOJLZSI,X,O,O,O,X,X,X
TOJSILZ,O,O,X,O,X,X,X
TOJSIZL,O,O,X,O,X,X,X
TOJSLIZ,O,O,X,O,X,X,X
TOJSLZI,O,O,X,O,X,X,X
TOJSZIL,O,O,X,O,X,X,X
TOJSZLI,O,O,X,O,X,X,X
TOJZILS,O,O,X,O,X,X,X
TOJZISL,O,O,X,O,X,X,X
TOJZLIS,O,O,X,O,X,X,X
TOJZLSI,O,O,X,O,X,X,X
TOJZSIL,O,O,X,O,X,X,X
TOJZSLI,O,O,X,O,X,X,X
TOSILJZ,O,O,X,O,X,O,X
TOSILZJ,O,X,O,O,X,O,O
TOSIJLZ,O,O,X,O,X,O,X
TOSIJZL,O,O,X,O,X,O,O
TOSIZLJ,O,X,X,O,X,O,O
TOSIZJL,O,O,X,O,X,O,O
TOSLIJZ,O,O,X,O,X,O,X
TOSLIZJ,O,X,O,O,X,O,O
TOSLJIZ,O,O,X,O,X,X,X
TOSLJZI,O,O,X,O,X,X,X
TOSLZIJ,O,X,O,O,X,X,O
TOSLZJI,O,X,O,O,X,X,O
TOSJILZ,O,O,X,O,X,X,X
TOSJIZL,O,O,X,O,X,X,O
TOSJLIZ,O,O,X,O,X,X,X
TOSJLZI,O,O,X,O,X,X,X
TOSJZIL,O,O,X,O,X,X,O
TOSJZLI,O,O,X,O,X,X,O
TOSZILJ,O,X,X,O,X,X,O
TOSZIJL,O,O,X,O,X,X,O
TOSZLIJ,O,X,X,O,X,X,O
TOSZLJI,O,X,X,O,X,X,O
TOSZJIL,O,O,X,O,X,X,O
TOSZJLI,O,O,X,O,X,X,O
TOZILJS,O,O,O,O,X,X,X
TOZILSJ,O,X,O,O,X,X,X
TOZIJLS,O,O,O,O,X,X,X
TOZIJSL,O,O,X,O,X,X,O
TOZISLJ,O,O,X,O,X,X,O
TOZISJL,O,O,X,O,X,X,O
TOZLIJS,O,O,O,O,X,X,X
TOZLISJ,O,X,O,O,X,X,X
TOZLJIS,O,O,O,O,X,X,X
TOZLJSI,O,O,O,O,X,X,X
TOZLSIJ,O,X,O,O,X,X,X
TOZLSJI,O,X,O,O,X,X,X
TOZJILS,O,O,O,O,X,X,X
TOZJISL,O,O,X,O,X,X,O
TOZJLIS,O,O,O,O,X,X,X
TOZJLSI,O,O,O,O,X,X,X
TOZJSIL,O,O,X,O,X,X,O
TOZJSLI,O,O,X,O,X,X,O
TOZSILJ,O,O,X,O,X,X,O
TOZSIJL,O,O,X,O,X,X,O
TOZSLIJ,O,O,X,O,X,X,O
TOZSLJI,O,O,X,O,X,X,O
TOZSJIL,O,O,X,O,X,X,O
TOZSJLI,O,O,X,O,X,X,O
ITLJSZO,O,X,X,X,X,O,X
ITLJSOZ,O,X,X,X,O,O,X
ITLJZSO,X,X,O,X,X,X,X
ITLJZOS,X,X,O,X,O,X,X
ITLJOSZ,X,X,X,X,O,O,X
ITLJOZS,X,X,O,X,O,X,X
ITLSJZO,O,X,X,X,O,O,X
ITLSJOZ,O,X,X,X,O,O,X
ITLSZJO,O,X,O,X,X,O,X
ITLSZOJ,O,X,O,X,X,O,X
ITLSOJZ,O,X,X,X,O,O,X
ITLSOZJ,O,X,O,X,X,O,X
ITLZJSO,X,X,O,X,X,X,X
ITLZJOS,X,X,O,X,X,X,X
ITLZSJO,X,X,O,X,X,X,X
ITLZSOJ,X,X,O,X,X,X,X
ITLZOJS,X,X,O,X,X,X,X
ITLZOSJ,X,X,O,X,X,X,X
ITLOJSZ,O,X,X,X,O,O,X
ITLOJZS,X,X,O,X,O,X,X
ITLOSJZ,O,X,X,X,O,O,X
ITLOSZJ,O,X,O,X,X,O,X
ITLOZJS,X,X,O,X,X,X,X
ITLOZSJ,X,X,O,X,X,X,X
ITJLSZO,O,X,X,X,X,O,X
ITJLSOZ,O,O,X,X,O,O,X
ITJLZSO,X,X,O,X,X,X,X
ITJLZOS,X,X,O,X,O,X,X
ITJLOSZ,X,O,X,X,O,O,X
ITJLOZS,X,X,O,X,O,X,X
ITJSLZO,O,X,X,X,X,O,X
ITJSLOZ,O,O,X,X,O,O,X
ITJSZLO,O,X,X,X,X,O,X
ITJSZOL,X,X,X,O,X,O,X
ITJSOLZ,O,O,X,O,X,O,X
ITJSOZL,O,O,X,O,X,O,X
ITJZLSO,X,O,O,X,X,X,X
ITJZLOS,X,X,O,X,O,X,X
ITJZSLO,O,O,O,X,X,O,X
ITJZSOL,X,O,X,O,X,O,X
ITJZOLS,X,O,O,O,X,X,X
ITJZOSL,X,O,X,O,X,O,X
ITJOLSZ,O,O,X,O,O,O,X
ITJOLZS,X,O,O,O,O,X,X
ITJOSLZ,O,O,X,O,X,O,X
ITJOSZL,O,O,X,O,X,O,X
ITJOZLS,X,O,X,O,X,X,X
ITJOZSL,O,O,X,O,X,O,X
ITSLJZO,O,X,X,X,O,O,X
ITSLJOZ,O,X,X,X,O,O,X
ITSLZJO,O,X,O,X,X,O,X
ITSLZOJ,O,X,O,X,X,O,X
ITSLOJZ,O,X,X,X,O,O,X
ITSLOZJ,O,X,O,X,X,O,X
ITSJLZO,O,X,X,X,O,O,X
ITSJLOZ,O,X,X,X,O,O,X
ITSJZLO,O,X,X,X,O,O,X
ITSJZOL,X,X,X,O,X,O,X
ITSJOLZ,O,X,X,O,O,O,X
ITSJOZL,O,X,X,O,X,O,X
ITSZLJO,O,X,O,X,X,O,X
ITSZLOJ,O,X,O,X,X,O,X
ITSZJLO,O,X,O,X,X,O,X
ITSZJOL,X,X,X,X,X,O,X
ITSZOLJ,O,X,X,O,X,O,X
ITSZOJL,O,X,X,O,X,O,X
ITSOLJZ,O,X,X,O,X,O,X
ITSOLZJ,O,X,O,O,X,O,X
ITSOJLZ,O,X,X,O,X,O,X
ITSOJZL,O,X,X,O,X,O,X
ITSOZLJ,O,X,X,O,X,O,X
ITSOZJL,O,X,X,O,X,O,X
ITZLJSO,X,O,O,X,X,X,X
ITZLJOS,X,X,O,X,X,X,X
ITZLSJO,X,X,O,X,X,X,X
ITZLSOJ,X,X,O,X,X,X,X
ITZLOJS,X,X,O,X,X,X,X
ITZLOSJ,X,X,O,X,X,X,X
ITZJLSO,X,O,O,X,X,X,X
ITZJLOS,X,X,O,X,X,X,X
ITZJSLO,O,O,O,X,X,O,X
ITZJSOL,X,O,X,O,X,O,X
ITZJOLS,X,O,O,O,X,X,X
ITZJOSL,X,O,X,O,X,O,X
ITZSLJO,O,X,O,X,X,O,X
ITZSLOJ,O,X,O,X,X,O,X
ITZSJLO,O,O,O,X,X,O,X
ITZSJOL,X,O,X,X,X,O,X
ITZSOLJ,O,X,X,O,X,O,X
ITZSOJL,O,X,X,O,X,O,X
ITZOLJS,X,O,O,O,X,X,X
ITZOLSJ,X,X,O,O,X,X,X
ITZOJLS,X,O,O,O,X,X,X
ITZOJSL,O,O,X,O,X,O,X
ITZOSLJ,O,X,X,O,X,O,X
ITZOSJL,O,O,X,O,X,O,X
ITOLJSZ,O,O,X,O,X,O,X
ITOLJZS,X,O,O,O,X,X,X
ITOLSJZ,O,X,X,O,X,O,X
ITOLSZJ,O,X,O,O,X,O,X
ITOLZJS,X,O,O,O,X,X,X
ITOLZSJ,X,X,O,O,X,X,X
ITOJLSZ,O,O,X,O,X,O,X
ITOJLZS,X,O,O,O,X,X,X
ITOJSLZ,O,O,X,O,X,O,X
ITOJSZL,O,O,X,O,X,O,X
ITOJZLS,X,O,X,O,X,X,X
ITOJZSL,O,O,X,O,X,O,X
ITOSLJZ,O,X,X,O,X,O,X
ITOSLZJ,O,X,O,O,X,O,X
ITOSJLZ,O,O,X,O,X,O,X
ITOSJZL,O,O,X,O,X,O,X
ITOSZLJ,O,X,X,O,X,O,X
ITOSZJL,O,O,X,O,X,O,X
ITOZLJS,X,O,O,O,X,X,X
ITOZLSJ,X,X,O,O,X,X,X
ITOZJLS,X,O,O,O,X,X,X
ITOZJSL,O,O,X,O,X,O,X
ITOZSLJ,O,X,X,O,X,O,X
ITOZSJL,O,O,X,O,X,O,X
ILTJSZO,O,X,X,X,X,O,X
ILTJSOZ,O,X,X,X,O,O,X
ILTJZSO,X,X,O,X,X,X,X
ILTJZOS,X,X,O,X,O,X,X
ILTJOSZ,X,X,X,X,O,O,X
ILTJOZS,X,X,O,X,O,X,X
ILTSJZO,O,X,X,X,O,O,X
ILTSJOZ,O,X,X,X,O,O,X
ILTSZJO,O,X,O,X,X,O,X
ILTSZOJ,O,X,O,X,X,O,X
ILTSOJZ,O,X,X,X,O,O,X
ILTSOZJ,O,X,O,X,X,O,X
ILTZJSO,X,X,O,X,X,X,X
ILTZJOS,X,X,O,X,X,X,X
ILTZSJO,X,X,O,X,X,X,X
ILTZSOJ,X,X,O,X,X,X,X
ILTZOJS,X,X,O,X,X,X,X
ILTZOSJ,X,X,O,X,X,X,X
ILTOJSZ,O,X,X,X,O,O,X
ILTOJZS,X,X,O,X,O,X,X
ILTOSJZ,O,X,X,X,O,O,X
ILTOSZJ,O,X,O,X,X,O,X
ILTOZJS,X,X,O,X,X,X,X
ILTOZSJ,X,X,O,X,X,X,X
ILJTSZO,O,X,X,X,O,O,X
ILJTSOZ,O,X,X,X,O,O,X
ILJTZSO,X,X,O,X,X,X,X
ILJTZOS,X,X,O,X,O,X,X
ILJTOSZ,X,X,X,X,O,O,X
ILJTOZS,X,X,O,X,O,X,X
ILJSTZO,O,X,X,X,O,O,X
ILJSTOZ,O,X,X,X,O,O,X
ILJSZTO,O,X,X,X,O,O,X
ILJSZOT,O,X,X,X,O,O,X
ILJSOTZ,O,X,X,X,O,O,X
ILJSOZT,O,X,X,X,O,O,X
ILJZTSO,X,X,O,X,X,X,X
ILJZTOS,X,X,O,X,O,X,X
ILJZSTO,O,X,O,X,X,X,X
ILJZSOT,O,X,O,X,X,X,X
ILJZOTS,X,X,O,X,O,X,X
ILJZOST,X,X,O,X,X,X,X
ILJOTSZ,X,X,X,X,O,O,X
ILJOTZS,X,X,X,X,O,X,X
ILJOSTZ,X,X,X,X,O,O,X
ILJOSZT,X,X,X,X,O,O,X
ILJOZTS,X,X,O,X,O,X,X
ILJOZST,X,X,O,X,X,X,X
ILSTJZO,O,X,X,X,O,O,X
ILSTJOZ,O,X,X,X,O,O,X
ILSTZJO,X,X,O,X,X,O,X
ILSTZOJ,X,X,O,X,X,O,X
ILSTOJZ,O,X,X,X,O,O,X
ILSTOZJ,X,X,O,X,X,O,X
ILSJTZO,O,X,X,X,O,O,X
ILSJTOZ,O,X,X,X,O,O,X
ILSJZTO,O,X,X,X,O,O,X
ILSJZOT,O,X,X,X,O,O,X
ILSJOTZ,O,X,X,X,O,O,X
ILSJOZT,O,X,X,X,O,O,X
ILSZTJO,X,X,O,X,X,O,X
ILSZTOJ,X,X,O,X,X,O,X
ILSZJTO,O,X,O,X,O,O,X
ILSZJOT,O,X,O,X,O,O,X
ILSZOTJ,X,X,X,X,X,O,X
ILSZOJT,O,X,O,X,O,O,X
ILSOTJZ,O,X,X,X,O,O,X
ILSOTZJ,X,X,X,X,X,O,X
ILSOJTZ,O,X,X,X,O,O,X
ILSOJZT,O,X,X,X,O,O,X
ILSOZTJ,X,X,X,X,X,O,X
ILSOZJT,O,X,O,X,O,O,X
ILZTJSO,X,X,O,X,X,X,X
ILZTJOS,X,X,O,X,X,X,X
ILZTSJO,X,X,O,X,X,X,X
ILZTSOJ,X,X,O,X,X,X,X
ILZTOJS,X,X,O,X,X,X,X
ILZTOSJ,X,X,O,X,X,X,X
ILZJTSO,X,X,O,X,X,X,X
ILZJTOS,X,X,O,X,O,X,X
ILZJSTO,O,X,O,X,X,X,X
ILZJSOT,O,X,O,X,X,X,X
ILZJOTS,X,X,O,X,O,X,X
ILZJOST,X,X,O,X,X,X,X
ILZSTJO,O,X,O,X,X,X,X
ILZSTOJ,O,X,O,X,X,X,X
ILZSJTO,O,X,O,X,O,X,X
ILZSJOT,O,X,O,X,O,X,X
ILZSOTJ,O,X,X,X,X,X,X
ILZSOJT,O,X,O,X,O,X,X
ILZOTJS,X,X,O,X,X,X,X
ILZOTSJ,X,X,O,X,X,X,X
ILZOJTS,X,X,O,X,O,X,X
ILZOJST,O,X,O,X,X,X,X
ILZOSTJ,O,X,X,X,X,X,X
ILZOSJT,O,X,O,X,O,X,X
ILOTJSZ,O,X,X,X,O,O,X
ILOTJZS,X,X,O,X,O,X,X
ILOTSJZ,O,X,X,X,O,O,X
ILOTSZJ,O,X,O,X,X,O,X
ILOTZJS,X,X,O,X,X,X,X
ILOTZSJ,X,X,O,X,X,X,X
ILOJTSZ,O,X,X,X,O,O,X
ILOJTZS,X,X,X,X,O,X,X
ILOJSTZ,O,X,X,X,O,O,X
ILOJSZT,O,X,X,X,O,O,X
ILOJZTS,X,X,O,X,O,X,X
ILOJZST,O,X,O,X,X,X,X
ILOSTJZ,O,X,X,X,O,O,X
ILOSTZJ,X,X,X,X,X,O,X
ILOSJTZ,O,X,X,X,O,O,X
ILOSJZT,O,X,X,X,O,O,X
ILOSZTJ,X,X,X,X,X,O,X
ILOSZJT,O,X,O,X,O,O,X
ILOZTJS,X,X,O,X,X,X,X
ILOZTSJ,X,X,O,X,X,X,X
ILOZJTS,X,X,O,X,O,X,X
ILOZJST,O,X,O,X,X,X,X
ILOZSTJ,O,X,X,X,X,X,X
ILOZSJT,O,X,O,X,O,X,X
IJTLSZO,O,X,X,X,O,O,X
IJTLSOZ,O,O,X,X,O,O,X
IJTLZSO,X,X,O,X,X,X,X
IJTLZOS,X,X,O,X,O,X,X
IJTLOSZ,X,O,X,X,O,O,X
IJTLOZS,X,X,O,X,O,X,X
IJTSLZO,O,X,X,X,O,O,X
IJTSLOZ,O,O,X,X,O,O,X
IJTSZLO,O,X,X,X,O,O,X
IJTSZOL,X,X,X,O,X,O,X
IJTSOLZ,O,O,X,O,O,O,X
IJTSOZL,O,O,X,O,X,O,X
IJTZLSO,X,O,O,X,X,X,X
IJTZLOS,X,X,O,X,O,X,X
IJTZSLO,O,O,O,X,X,O,X
IJTZSOL,X,O,X,O,X,O,X
IJTZOLS,X,O,O,O,X,X,X
IJTZOSL,X,O,X,O,X,O,X
IJTOLSZ,O,O,X,O,O,O,X
IJTOLZS,X,O,O,O,O,X,X
IJTOSLZ,O,O,X,O,X,O,X
IJTOSZL,O,O,X,O,X,O,X
IJTOZLS,X,O,X,O,X,X,X
IJTOZSL,O,O,X,O,X,O,X
IJLTSZO,O,X,X,X,O,O,X
IJLTSOZ,O,O,X,X,O,O,X
IJLTZSO,X,X,O,X,X,X,X
IJLTZOS,X,X,O,X,O,X,X
IJLTOSZ,X,O,X,X,O,O,X
IJLTOZS,X,X,O,X,O,X,X
IJLSTZO,O,X,X,X,O,O,X
IJLSTOZ,O,O,X,X,O,O,X
IJLSZTO,O,X,X,X,O,O,X
IJLSZOT,O,X,X,X,O,O,X
IJLSOTZ,O,O,X,X,O,O,X
IJLSOZT,O,O,X,X,O,O,X
IJLZTSO,X,X,O,X,X,X,X
IJLZTOS,X,X,O,X,O,X,X
IJLZSTO,O,X,O,X,X,X,X
IJLZSOT,O,X,O,X,X,X,X
IJLZOTS,X,X,O,X,O,X,X
IJLZOST,X,X,O,X,X,X,X
IJLOTSZ,X,O,X,X,O,O,X
IJLOTZS,X,X,X,X,O,X,X
IJLOSTZ,X,O,X,X,O,O,X
IJLOSZT,X,O,X,X,O,O,X
IJLOZTS,X,X,O,X,O,X,X
IJLOZST,X,X,O,X,X,X,X
IJSTLZO,O,X,X,X,O,O,X
IJSTLOZ,O,O,X,X,O,O,X
IJSTZLO,O,X,X,X,O,O,X
IJSTZOL,X,X,X,O,X,O,X
IJSTOLZ,O,O,X,O,O,O,X
IJSTOZL,X,O,X,O,X,O,X
IJSLTZO,O,X,X,X,O,O,X
IJSLTOZ,O,O,X,X,O,O,X
IJSLZTO,O,X,X,X,O,O,X
IJSLZOT,O,X,X,X,O,O,X
IJSLOTZ,O,O,X,X,O,O,X
IJSLOZT,O,O,X,X,O,O,X
IJSZTLO,O,X,X,X,O,O,X
IJSZTOL,O,X,X,O,X,O,X
IJSZLTO,O,X,X,X,O,O,X
IJSZLOT,O,X,X,X,O,O,X
IJSZOTL,X,X,X,O,X,O,X
IJSZOLT,O,X,X,X,X,O,X
IJSOTLZ,O,O,X,O,O,O,X
IJSOTZL,X,O,X,O,X,O,X
IJSOLTZ,O,O,X,X,O,O,X
IJSOLZT,O,O,X,X,O,O,X
IJSOZTL,X,O,X,O,X,O,X
IJSOZLT,O,O,X,X,X,O,X
IJZTLSO,O,O,O,X,X,X,X
IJZTLOS,X,X,O,X,O,X,X
IJZTSLO,O,O,O,X,X,O,X
IJZTSOL,O,O,X,O,X,O,X
IJZTOLS,X,O,O,O,X,X,X
IJZTOSL,O,O,X,O,X,O,X
IJZLTSO,X,O,O,X,X,X,X
IJZLTOS,X,X,O,X,O,X,X
IJZLSTO,O,O,O,X,X,X,X
IJZLSOT,O,O,O,X,X,X,X
IJZLOTS,X,X,O,X,O,X,X
IJZLOST,X,X,O,X,X,X,X
IJZSTLO,O,O,O,X,X,O,X
IJZSTOL,O,O,X,O,X,O,X
IJZSLTO,O,O,O,X,X,O,X
IJZSLOT,O,O,O,X,X,O,X
IJZSOTL,O,O,X,O,X,O,X
IJZSOLT,O,O,X,X,X,O,X
IJZOTLS,X,O,O,O,X,X,X
IJZOTSL,O,O,X,O,X,O,X
IJZOLTS,X,O,O,X,X,X,X
IJZOLST,O,O,O,X,X,X,X
IJZOSTL,O,O,X,O,X,O,X
IJZOSLT,O,O,X,X,X,O,X
IJOTLSZ,O,O,X,O,O,O,X
IJOTLZS,X,O,X,O,O,X,X
IJOTSLZ,O,O,X,O,X,O,X
IJOTSZL,O,O,X,O,X,O,X
IJOTZLS,X,O,X,O,X,X,X
IJOTZSL,O,O,X,O,X,O,X
IJOLTSZ,O,O,X,X,O,O,X
IJOLTZS,X,O,X,X,O,X,X
IJOLSTZ,O,O,X,X,O,O,X
IJOLSZT,O,O,X,X,X,O,X
IJOLZTS,X,O,X,X,O,X,X
IJOLZST,O,O,X,X,X,X,X
IJOSTLZ,O,O,X,O,X,O,X
IJOSTZL,O,O,X,O,X,O,X
IJOSLTZ,O,O,X,X,X,O,X
IJOSLZT,O,O,X,X,X,O,X
IJOSZTL,O,O,X,O,X,O,X
IJOSZLT,O,O,X,X,X,O,X
IJOZTLS,X,O,X,O,X,X,X
IJOZTSL,O,O,X,O,X,O,X
IJOZLTS,X,O,X,X,X,X,X
IJOZLST,O,O,X,X,X,X,X
IJOZSTL,O,O,X,O,X,O,X
IJOZSLT,O,O,X,X,X,O,X
ISTLJZO,O,X,X,X,O,O,X
ISTLJOZ,O,X,X,X,O,O,X
ISTLZJO,O,X,O,X,X,O,X
ISTLZOJ,O,X,O,X,X,O,X
ISTLOJZ,O,X,X,X,O,O,X
ISTLOZJ,O,X,O,X,X,O,X
ISTJLZO,O,X,X,X,O,O,X
ISTJLOZ,O,X,X,X,O,O,X
ISTJZLO,O,X,X,X,O,O,X
ISTJZOL,X,X,X,O,X,O,X
ISTJOLZ,O,X,X,O,O,O,X
ISTJOZL,O,X,X,O,X,O,X
ISTZLJO,O,X,O,X,X,O,X
ISTZLOJ,O,X,O,X,X,O,X
ISTZJLO,O,X,O,X,X,O,X
ISTZJOL,X,X,X,X,X,O,O
ISTZOLJ,O,X,X,O,X,O,O
ISTZOJL,O,X,X,O,X,O,O
ISTOLJZ,O,X,X,O,X,O,X
ISTOLZJ,O,X,O,O,X,O,O
ISTOJLZ,O,X,X,O,X,O,X
ISTOJZL,O,X,X,O,X,O,O
ISTOZLJ,O,X,X,O,X,O,O
ISTOZJL,O,X,X,O,X,O,O
ISLTJZO,O,X,X,X,O,O,X
ISLTJOZ,O,X,X,X,O,O,X
ISLTZJO,O,X,O,X,X,O,X
ISLTZOJ,O,X,O,X,X,O,X
ISLTOJZ,O,X,X,X,O,O,X
ISLTOZJ,O,X,O,X,X,O,X
ISLJTZO,O,X,X,X,O,O,X
ISLJTOZ,O,O,X,X,O,O,X
ISLJZTO,O,X,X,X,O,O,X
ISLJZOT,O,X,X,X,O,O,X
ISLJOTZ,O,O,X,X,O,O,X
ISLJOZT,O,O,X,X,O,O,X
ISLZTJO,O,X,O,X,X,O,X
ISLZTOJ,O,X,O,X,X,O,X
ISLZJTO,O,X,O,X,O,O,X
ISLZJOT,O,X,O,X,O,O,X
ISLZOTJ,O,X,X,X,X,O,X
ISLZOJT,O,X,O,X,O,O,X
ISLOTJZ,O,O,X,X,O,O,X
ISLOTZJ,O,X,X,X,X,O,X
ISLOJTZ,O,O,X,X,O,O,X
ISLOJZT,O,O,X,X,O,O,X
ISLOZTJ,O,X,X,X,X,O,X
ISLOZJT,O,O,O,X,O,O,X
ISJTLZO,O,X,X,X,O,O,X
ISJTLOZ,O,O,X,X,O,O,X
ISJTZLO,O,X,X,X,O,O,X
ISJTZOL,X,X,X,O,X,O,X
ISJTOLZ,O,O,X,O,O,O,X
ISJTOZL,X,O,X,O,X,O,X
ISJLTZO,O,X,X,X,O,O,X
ISJLTOZ,O,O,X,X,O,O,X
ISJLZTO,O,X,X,X,O,O,X
ISJLZOT,O,X,X,X,O,O,X
ISJLOTZ,O,O,X,X,O,O,X
ISJLOZT,O,O,X,X,O,O,X
ISJZTLO,O,X,X,X,O,O,X
ISJZTOL,O,X,X,O,X,O,X
ISJZLTO,O,X,X,X,O,O,X
ISJZLOT,O,X,X,X,O,O,X
ISJZOTL,X,X,X,O,X,O,X
ISJZOLT,O,X,X,X,X,O,X
ISJOTLZ,O,O,X,O,O,O,X
ISJOTZL,X,O,X,O,X,O,X
ISJOLTZ,O,O,X,X,O,O,X
ISJOLZT,O,O,X,X,O,O,X
ISJOZTL,X,O,X,O,X,O,X
ISJOZLT,O,O,X,X,X,O,X
ISZTLJO,O,X,O,X,X,O,X
ISZTLOJ,O,X,O,X,X,O,X
ISZTJLO,O,X,O,X,X,O,X
ISZTJOL,O,X,X,X,X,O,O
ISZTOLJ,O,X,X,X,X,O,O
ISZTOJL,O,X,X,X,X,O,O
ISZLTJO,O,X,O,X,X,O,X
ISZLTOJ,O,X,O,X,X,O,X
ISZLJTO,O,X,O,X,O,O,X
ISZLJOT,O,X,O,X,O,O,X
ISZLOTJ,O,X,X,X,X,O,X
ISZLOJT,O,X,O,X,O,O,X
ISZJTLO,O,X,O,X,O,O,X
ISZJTOL,O,X,X,X,X,O,O
ISZJLTO,O,X,O,X,O,O,X
ISZJLOT,O,X,O,X,O,O,X
ISZJOTL,O,X,X,X,X,O,O
ISZJOLT,O,X,X,X,X,O,O
ISZOTLJ,O,X,X,X,X,O,O
ISZOTJL,O,X,X,X,X,O,O
ISZOLTJ,O,X,X,X,X,O,O
ISZOLJT,O,X,X,X,X,O,O
ISZOJTL,O,X,X,X,X,O,O
ISZOJLT,O,X,X,X,X,O,O
ISOTLJZ,O,O,X,O,X,O,X
ISOTLZJ,O,X,X,O,X,O,O
ISOTJLZ,O,O,X,O,X,O,X
ISOTJZL,O,O,X,O,X,O,O
ISOTZLJ,O,X,X,O,X,O,O
ISOTZJL,O,X,X,O,X,O,O
ISOLTJZ,O,O,X,O,O,O,X
ISOLTZJ,O,X,X,O,X,O,O
ISOLJTZ,O,O,X,X,O,O,X
ISOLJZT,O,O,X,X,O,O,X
ISOLZTJ,O,X,X,X,X,O,O
ISOLZJT,O,O,X,X,O,O,O
ISOJTLZ,O,O,X,O,O,O,X
ISOJTZL,O,O,X,O,X,O,O
ISOJLTZ,O,O,X,X,O,O,X
ISOJLZT,O,O,X,X,O,O,X
ISOJZTL,O,O,X,O,X,O,O
ISOJZLT,O,O,X,X,X,O,O
ISOZTLJ,O,X,X,O,X,O,O
ISOZTJL,O,X,X,O,X,O,O
ISOZLTJ,O,X,X,X,X,O,O
ISOZLJT,O,O,X,X,X,O,O
ISOZJTL,O,O,X,X,X,O,O
ISOZJLT,O,O,X,X,X,O,O
IZTLJSO,O,O,O,X,X,X,X
IZTLJOS,X,X,O,X,X,X,X
IZTLSJO,O,X,O,X,X,X,X
IZTLSOJ,O,X,O,X,X,X,X
IZTLOJS,O,X,O,X,X,X,X
IZTLOSJ,O,X,O,X,X,X,X
IZTJLSO,O,O,O,X,X,X,X
IZTJLOS,X,X,O,X,X,X,X
IZTJSLO,O,O,O,X,X,O,X
IZTJSOL,O,O,X,X,X,O,X
IZTJOLS,O,O,O,X,X,X,X
IZTJOSL,O,O,X,X,X,O,X
IZTSLJO,O,O,O,X,X,O,X
IZTSLOJ,O,X,O,X,X,O,X
IZTSJLO,O,O,O,X,X,O,X
IZTSJOL,O,O,X,X,X,O,X
IZTSOLJ,O,X,X,X,X,O,X
IZTSOJL,O,X,X,X,X,O,X
