sequence,v115@QhA8GeC8AeE8AeC8JeZEJvhFukBamBUiBFjBTlBfsB,v115@QhA8GeC8AeE8AeC8JeZEJvhFqkBTgBemBUiBFjBfsB,v115@QhA8GeC8AeE8AeC8JeZEJvhFzfBUhBFiBXjBSqBmrB
ILJTZSO,X,X,O
ILJTZOS,X,X,O
ILJTOSZ,X,O,O
ILJTOZS,X,X,O
ILJSTZO,O,O,O
ILJSTOZ,X,O,O
ILJSZTO,O,O,O
ILJSZOT,X,O,O
ILJSOTZ,X,O,O
ILJSOZT,X,O,O
ILJZTSO,X,X,O
ILJZTOS,X,X,O
ILJZSTO,X,X,O
ILJZSOT,X,X,O
ILJZOTS,X,X,O
ILJZOST,X,X,O
ILJOTSZ,X,O,O
ILJOTZS,X,X,O
ILJOSTZ,X,O,O
ILJOSZT,X,O,O
ILJOZTS,X,X,O
ILJOZST,X,X,O
ILSTJZO,O,O,X
ILSTJOZ,X,O,X
ILSTZJO,O,O,X
ILSTZOJ,O,X,O
ILSTOJZ,O,O,X
ILSTOZJ,O,X,O
ILSJTZO,O,O,O
ILSJTOZ,X,O,O
ILSJZTO,O,O,O
ILSJZOT,X,O,O
ILSJOTZ,X,O,O
ILSJOZT,X,O,O
ILSZTJO,O,O,X
ILSZTOJ,O,X,O
ILSZJTO,O,O,O
ILSZJOT,X,O,O
ILSZOTJ,O,X,O
ILSZOJT,O,X,O
ILSOTJZ,O,O,X
ILSOTZJ,O,X,O
ILSOJTZ,O,O,O
ILSOJZT,O,O,O
ILSOZTJ,O,X,O
ILSOZJT,O,X,O
ILZTJSO,X,X,X
ILZTJOS,X,X,X
ILZTSJO,X,X,X
ILZTSOJ,X,X,O
ILZTOJS,X,X,X
ILZTOSJ,X,X,O
ILZJTSO,X,X,O
ILZJTOS,X,X,O
ILZJSTO,X,X,O
ILZJSOT,X,X,O
ILZJOTS,X,X,O
ILZJOST,X,X,O
ILZSTJO,X,X,X
ILZSTOJ,X,X,O
ILZSJTO,X,X,O
ILZSJOT,X,X,O
ILZSOTJ,X,X,O
ILZSOJT,X,X,O
ILZOTJS,X,X,X
ILZOTSJ,X,X,O
ILZOJTS,X,X,O
ILZOJST,X,X,O
ILZOSTJ,X,X,O
ILZOSJT,X,X,O
ILOTJSZ,O,O,X
ILOTJZS,X,X,X
ILOTSJZ,O,O,X
ILOTSZJ,O,X,X
ILOTZJS,X,X,X
ILOTZSJ,X,X,X
ILOJTSZ,O,O,O
ILOJTZS,X,X,O
ILOJSTZ,O,O,O
ILOJSZT,O,O,O
ILOJZTS,X,X,O
ILOJZST,X,X,O
ILOSTJZ,O,O,X
ILOSTZJ,O,X,O
