sequence,v115@GhA8HeB8HeE8AeB8BeB8Jei/IvhFzgBRiB3kBGnBlq?BUsB,v115@GhA8HeB8HeE8AeB8BeB8Jex/IvhFlhBunBTkB/qBUm?BKsB,v115@GhA8HeB8HeE8AeB8BeB8JeOEJvhF8kBzgBRiBfsB6s?BlqB,v115@GhA8HeB8HeE8AeB8BeB8Jex/IvhFlhB3iBikBUmBGq?BTsB,v115@GhA8HeB8HeE8AeB8BeB8Jei/IvhF3gBRiB1pB8qBzm?B+sB
TSZOLIJ,O,O,O,O,O
TSZOLJI,O,O,O,O,O
TSZOJIL,O,O,O,O,O
TSZOJLI,O,O,O,O,O
TSOILJZ,O,O,O,X,X
TSOILZJ,O,O,O,X,X
TSOIJLZ,O,O,X,X,X
TSOIJZL,X,O,O,X,X
TSOIZLJ,O,O,O,X,X
TSOIZJL,O,O,O,X,X
TSOLIJZ,O,O,O,O,X
TSOLIZJ,O,O,O,O,X
TSOLJIZ,O,O,O,X,X
TSOLJZI,O,O,O,X,X
TSOLZIJ,O,O,O,X,X
TSOLZJI,O,O,O,X,X
TSOJILZ,O,O,X,X,X
TSOJIZL,X,O,O,X,X
TSOJLIZ,O,O,O,O,X
TSOJLZI,O,O,O,X,X
TSOJZIL,O,O,O,X,X
TSOJZLI,O,O,O,X,X
TSOZILJ,O,O,O,O,X
TSOZIJL,O,O,O,O,X
TSOZLIJ,O,O,O,O,X
TSOZLJI,O,O,O,O,X
TSOZJIL,O,O,O,O,X
TSOZJLI,O,O,O,O,X
TZILJSO,O,X,X,O,O
TZILJOS,O,X,O,X,O
TZILSJO,O,X,X,O,O
TZILSOJ,O,X,X,O,O
TZILOJS,X,X,O,X,X
TZILOSJ,O,X,X,O,O
TZIJLSO,O,X,X,O,O
TZIJLOS,O,X,O,O,O
TZIJSLO,O,X,O,O,O
TZIJSOL,O,X,O,O,O
TZIJOLS,O,X,O,X,O
TZIJOSL,O,X,O,O,O
TZISLJO,O,X,O,O,O
TZISLOJ,O,X,O,O,O
TZISJLO,O,X,O,O,O
TZISJOL,O,X,O,O,O
TZISOLJ,O,X,O,O,O
TZISOJL,O,X,O,O,X
TZIOLJS,X,X,O,X,X
TZIOLSJ,O,X,X,O,O
TZIOJLS,O,X,O,X,X
TZIOJSL,O,X,O,O,X
TZIOSLJ,O,X,O,O,O
TZIOSJL,O,X,O,O,X
TZLIJSO,O,O,X,O,O
TZLIJOS,O,O,O,X,O
TZLISJO,O,O,X,O,O
TZLISOJ,O,O,X,O,O
TZLIOJS,X,O,O,O,X
TZLIOSJ,O,O,X,O,O
TZLJISO,O,O,X,O,O
TZLJIOS,O,O,O,O,O
TZLJSIO,O,O,O,O,O
TZLJSOI,O,O,O,O,O
