sequence,v115@vhGc/I5oB6rBmnBTpB3qB0sB,v115@vhG8/IZkBasBusBctBzpBXrB,v115@vhGz8I5oBOpBXlB0mBUrByxB,v115@vhH+CJzfBKpBUmB/tBFqB0sBRwB,v115@vhGz7IWnBKpBUmB/tB0sBRwB,v115@vhG0AJ5oB3mBatB2uB0qBTsB,v115@vhG8AJZkBzkBusBctB3qBywB
TOISLZJ,O,O,X,X,X,O,X
TOISJLZ,O,O,X,X,X,O,X
TOISJZL,O,O,X,X,X,O,X
TOISZLJ,O,O,X,X,X,O,X
TOISZJL,O,O,X,X,X,O,X
TOIZLJS,O,O,X,X,X,O,X
TOIZLSJ,O,O,X,X,X,O,X
TOIZJLS,O,O,X,X,X,O,X
TOIZJSL,O,O,X,X,X,O,X
TOIZSLJ,O,O,X,X,X,O,X
TOIZSJL,O,O,X,X,X,O,X
TOLIJSZ,O,O,X,X,X,O,X
TOLIJZS,O,O,X,X,X,O,X
TOLISJZ,O,O,X,X,X,O,X
TOLISZJ,O,O,X,X,X,O,X
TOLIZJS,O,O,X,X,X,O,X
TOLIZSJ,O,O,X,X,X,O,X
TOLJISZ,O,O,X,X,X,O,X
TOLJIZS,O,O,X,X,X,O,X
TOLJSIZ,O,O,X,X,X,O,X
TOLJSZI,O,O,X,X,X,O,X
TOLJZIS,O,O,X,X,X,O,X
TOLJZSI,O,O,X,X,X,O,X
TOLSIJZ,O,O,X,X,X,O,X
TOLSIZJ,O,O,X,X,X,O,X
TOLSJIZ,O,O,X,X,X,O,X
TOLSJZI,O,O,X,X,X,O,X
TOLSZIJ,O,O,X,X,X,O,X
TOLSZJI,O,O,X,X,X,O,X
TOLZIJS,O,O,X,X,X,O,X
TOLZISJ,O,O,X,X,X,O,X
TOLZJIS,O,O,X,X,X,O,X
TOLZJSI,O,O,X,X,X,O,X
TOLZSIJ,O,O,X,X,X,O,X
TOLZSJI,O,O,X,X,X,O,X
TOJILSZ,O,O,X,X,X,O,X
TOJILZS,O,O,X,X,X,O,X
TOJISLZ,O,O,X,X,X,O,X
TOJISZL,O,O,X,X,X,O,X
TOJIZLS,O,O,X,X,X,O,X
TOJIZSL,O,O,X,X,X,O,X
TOJLISZ,O,O,X,X,X,O,X
TOJLIZS,O,O,X,X,X,O,X
TOJLSIZ,O,O,X,X,X,O,X
TOJLSZI,O,O,X,X,X,O,X
TOJLZIS,O,O,X,X,X,O,X
TOJLZSI,O,O,X,X,X,O,X
TOJSILZ,O,O,X,X,X,O,X
TOJSIZL,O,O,X,X,X,O,X
TOJSLIZ,O,O,X,X,X,O,X
TOJSLZI,O,O,X,X,X,O,X
TOJSZIL,O,O,X,X,X,O,X
TOJSZLI,O,O,X,X,X,O,X
TOJZILS,O,O,X,X,X,O,X
TOJZISL,O,O,X,X,X,O,X
TOJZLIS,O,O,X,X,X,O,X
TOJZLSI,O,O,X,X,X,O,X
TOJZSIL,O,O,X,X,X,O,X
TOJZSLI,O,O,X,X,X,O,X
TOSILJZ,O,O,X,X,X,O,X
TOSILZJ,O,O,X,X,X,O,X
TOSIJLZ,O,O,X,X,X,O,X
TOSIJZL,O,O,X,X,X,O,X
TOSIZLJ,O,O,X,X,X,O,X
TOSIZJL,O,O,X,X,X,O,X
TOSLIJZ,O,O,X,X,X,O,X
TOSLIZJ,O,O,X,X,X,O,X
TOSLJIZ,O,O,X,X,X,O,X
TOSLJZI,O,O,X,X,X,O,X
TOSLZIJ,O,O,X,X,X,O,X
TOSLZJI,O,O,X,X,X,O,X
TOSJILZ,O,O,X,X,X,O,X
TOSJIZL,O,O,X,X,X,O,X
TOSJLIZ,O,O,X,X,X,O,X
TOSJLZI,O,O,X,X,X,O,X
TOSJZIL,O,O,X,X,X,O,X
TOSJZLI,O,O,X,X,X,O,X
TOSZILJ,O,O,X,X,X,O,X
TOSZIJL,O,O,X,X,X,O,X
TOSZLIJ,O,O,X,X,X,O,X
TOSZLJI,O,O,X,X,X,O,X
TOSZJIL,O,O,X,X,X,O,X
TOSZJLI,O,O,X,X,X,O,X
TOZILJS,O,O,X,X,X,O,X
TOZILSJ,O,O,X,X,X,O,X
TOZIJLS,O,O,X,X,X,O,X
TOZIJSL,O,O,X,X,X,O,X
TOZISLJ,O,O,X,X,X,O,X
TOZISJL,O,O,X,X,X,O,X
TOZLIJS,O,O,X,X,X,O,X
TOZLISJ,O,O,X,X,X,O,X
TOZLJIS,O,O,X,X,X,O,X
TOZLJSI,O,O,X,X,X,O,X
TOZLSIJ,O,O,X,X,X,O,X
TOZLSJI,O,O,X,X,X,O,X
TOZJILS,O,O,X,X,X,O,X
TOZJISL,O,O,X,X,X,O,X
TOZJLIS,O,O,X,X,X,O,X
TOZJLSI,O,O,X,X,X,O,X
TOZJSIL,O,O,X,X,X,O,X
TOZJSLI,O,O,X,X,X,O,X
TOZSILJ,O,O,X,X,X,O,X
TOZSIJL,O,O,X,X,X,O,X
TOZSLIJ,O,O,X,X,X,O,X
TOZSLJI,O,O,X,X,X,O,X
TOZSJIL,O,O,X,X,X,O,X
TOZSJLI,O,O,X,X,X,O,X
ITLJSZO,X,X,O,O,O,X,O
ITLJSOZ,O,O,X,X,X,X,O
ITLJZSO,X,X,O,O,O,X,X
ITLJZOS,X,X,O,X,O,O,X
ITLJOSZ,O,O,X,X,X,O,X
ITLJOZS,O,O,X,X,O,O,X
ITLSJZO,X,X,O,O,O,X,O
ITLSJOZ,O,O,X,X,X,X,O
ITLSZJO,X,X,O,O,O,X,O
ITLSZOJ,X,X,O,X,O,X,O
ITLSOJZ,O,O,X,X,X,X,O
ITLSOZJ,O,O,X,X,X,X,O
ITLZJSO,X,X,O,O,O,X,X
ITLZJOS,X,X,O,X,O,O,X
ITLZSJO,X,X,O,O,O,X,X
ITLZSOJ,X,X,O,X,O,X,X
ITLZOJS,X,X,O,X,O,O,X
ITLZOSJ,X,X,O,X,O,O,X
ITLOJSZ,O,O,X,X,X,O,X
ITLOJZS,O,O,X,X,O,O,X
ITLOSJZ,O,O,X,X,X,O,X
ITLOSZJ,O,O,X,X,X,O,X
ITLOZJS,O,O,X,X,O,O,X
ITLOZSJ,O,O,X,X,O,O,X
ITJLSZO,X,X,O,O,O,X,O
ITJLSOZ,O,O,X,X,X,X,O
ITJLZSO,X,X,O,O,O,X,X
ITJLZOS,X,X,O,X,O,O,X
ITJLOSZ,O,O,X,X,X,O,X
ITJLOZS,O,O,X,X,O,O,X
ITJSLZO,X,X,O,O,O,X,O
ITJSLOZ,O,O,X,X,X,X,O
ITJSZLO,X,X,O,O,O,X,O
ITJSZOL,X,X,O,X,O,O,O
ITJSOLZ,O,O,X,X,X,O,O
ITJSOZL,O,O,X,X,X,O,O
ITJZLSO,X,X,O,O,O,X,X
ITJZLOS,X,X,O,X,O,O,X
ITJZSLO,X,X,O,O,O,X,X
ITJZSOL,X,X,O,X,O,O,X
ITJZOLS,X,X,O,X,O,O,X
ITJZOSL,X,X,O,X,O,O,X
ITJOLSZ,O,O,X,X,X,O,X
ITJOLZS,O,O,X,X,O,O,X
ITJOSLZ,O,O,X,X,X,O,X
ITJOSZL,O,O,X,X,X,O,X
ITJOZLS,O,O,X,X,O,O,X
ITJOZSL,O,O,X,X,O,O,X
ITSLJZO,X,X,O,O,O,X,O
ITSLJOZ,O,O,X,X,X,X,O
ITSLZJO,X,X,O,O,O,X,O
ITSLZOJ,X,X,O,X,O,X,O
ITSLOJZ,O,O,X,X,X,X,O
ITSLOZJ,O,O,X,X,X,X,O
ITSJLZO,X,X,O,O,O,X,O
ITSJLOZ,O,O,X,X,X,X,O
ITSJZLO,X,X,O,O,O,X,O
ITSJZOL,X,X,O,X,O,O,O
ITSJOLZ,O,O,X,X,X,O,O
ITSJOZL,O,O,X,X,X,O,O
ITSZLJO,X,X,O,O,O,X,O
ITSZLOJ,X,X,O,X,O,X,O
ITSZJLO,X,X,O,O,O,X,O
ITSZJOL,X,X,O,X,O,O,O
ITSZOLJ,X,X,O,X,O,O,O
ITSZOJL,X,X,O,X,O,O,O
ITSOLJZ,O,O,X,X,X,O,O
ITSOLZJ,O,O,X,X,X,O,O
ITSOJLZ,O,O,X,X,X,O,O
ITSOJZL,O,O,X,X,X,O,O
ITSOZLJ,O,O,X,X,X,O,O
ITSOZJL,O,O,X,X,X,O,O
ITZLJSO,X,X,O,O,O,X,X
ITZLJOS,X,X,O,X,O,O,X
ITZLSJO,X,X,O,O,O,X,X
ITZLSOJ,X,X,O,X,O,X,X
ITZLOJS,X,X,O,X,O,O,X
ITZLOSJ,X,X,O,X,O,O,X
ITZJLSO,X,X,O,O,O,X,X
ITZJLOS,X,X,O,X,O,O,X
ITZJSLO,X,X,O,O,O,X,X
ITZJSOL,X,X,O,X,O,O,X
ITZJOLS,X,X,O,X,O,O,X
ITZJOSL,X,X,O,X,O,O,X
ITZSLJO,X,X,O,O,O,X,X
ITZSLOJ,X,X,O,X,O,X,X
ITZSJLO,X,X,O,O,O,X,X
ITZSJOL,X,X,O,X,O,O,X
ITZSOLJ,X,X,O,X,O,O,X
ITZSOJL,X,X,O,X,O,O,X
ITZOLJS,X,X,O,X,O,O,X
ITZOLSJ,X,X,O,X,O,O,X
ITZOJLS,X,X,O,X,O,O,X
ITZOJSL,X,X,O,X,O,O,X
ITZOSLJ,X,X,O,X,O,O,X
ITZOSJL,X,X,O,X,O,O,X
ITOLJSZ,O,O,X,X,X,O,X
ITOLJZS,O,O,X,X,O,O,X
ITOLSJZ,O,O,X,X,X,O,X
ITOLSZJ,O,O,X,X,X,O,X
ITOLZJS,O,O,X,X,O,O,X
ITOLZSJ,O,O,X,X,O,O,X
ITOJLSZ,O,O,X,X,X,O,X
ITOJLZS,O,O,X,X,O,O,X
ITOJSLZ,O,O,X,X,X,O,X
ITOJSZL,O,O,X,X,X,O,X
ITOJZLS,O,O,X,X,O,O,X
ITOJZSL,O,O,X,X,O,O,X
ITOSLJZ,O,O,X,X,X,O,X
ITOSLZJ,O,O,X,X,X,O,X
ITOSJLZ,O,O,X,X,X,O,X
ITOSJZL,O,O,X,X,X,O,X
ITOSZLJ,O,O,X,X,X,O,X
ITOSZJL,O,O,X,X,X,O,X
ITOZLJS,O,O,X,X,O,O,X
ITOZLSJ,O,O,X,X,O,O,X
ITOZJLS,O,O,X,X,O,O,X
ITOZJSL,O,O,X,X,O,O,X
ITOZSLJ,O,O,X,X,O,O,X
ITOZSJL,O,O,X,X,O,O,X
ILTJSZO,X,X,O,O,O,X,O
ILTJSOZ,O,O,X,X,X,X,O
ILTJZSO,X,X,O,O,O,X,X
ILTJZOS,X,X,O,X,O,O,X
ILTJOSZ,O,O,X,X,X,O,X
ILTJOZS,O,O,O,X,O,O,X
ILTSJZO,X,X,O,O,O,X,O
ILTSJOZ,O,O,X,X,X,X,O
ILTSZJO,X,X,O,O,O,X,O
ILTSZOJ,X,X,O,X,O,X,O
ILTSOJZ,O,O,X,X,X,X,O
ILTSOZJ,O,O,X,X,X,X,O
ILTZJSO,X,X,O,O,O,X,X
ILTZJOS,X,X,O,X,O,O,X
ILTZSJO,X,X,O,O,O,X,X
ILTZSOJ,X,X,O,X,O,X,X
ILTZOJS,X,X,O,X,O,O,X
ILTZOSJ,X,X,O,X,O,O,X
ILTOJSZ,O,O,X,X,X,O,X
ILTOJZS,O,O,O,X,O,O,X
ILTOSJZ,O,O,X,X,X,O,X
ILTOSZJ,O,O,X,X,X,O,X
ILTOZJS,O,O,O,X,O,O,X
ILTOZSJ,O,O,O,X,O,O,X
ILJTSZO,X,X,O,O,O,X,O
ILJTSOZ,O,O,X,X,X,X,O
ILJTZSO,X,X,O,O,O,X,X
ILJTZOS,X,X,O,X,O,O,X
ILJTOSZ,O,O,X,X,X,O,X
ILJTOZS,O,O,O,X,O,O,X
ILJSTZO,X,X,O,O,O,X,O
ILJSTOZ,O,O,X,X,X,X,O
ILJSZTO,X,X,O,O,O,X,O
ILJSZOT,O,O,O,O,O,O,O
ILJSOTZ,O,O,X,X,X,O,O
ILJSOZT,O,O,O,O,O,O,O
ILJZTSO,X,X,O,O,O,X,X
ILJZTOS,X,X,O,X,O,O,X
ILJZSTO,X,X,O,O,O,X,O
ILJZSOT,O,O,O,O,O,O,O
ILJZOTS,O,O,O,X,O,O,X
ILJZOST,O,O,O,O,O,O,X
ILJOTSZ,O,O,X,X,X,O,X
ILJOTZS,O,O,O,X,O,O,X
ILJOSTZ,O,O,X,X,X,O,O
ILJOSZT,O,O,O,O,O,O,O
ILJOZTS,O,O,O,X,O,O,X
ILJOZST,O,O,O,O,O,O,X
ILSTJZO,X,X,O,O,O,X,O
ILSTJOZ,O,O,X,X,X,X,O
ILSTZJO,X,X,O,O,O,X,O
ILSTZOJ,X,X,O,X,O,X,O
ILSTOJZ,O,O,X,X,X,X,O
ILSTOZJ,O,O,X,X,X,X,O
ILSJTZO,X,X,O,O,O,X,O
ILSJTOZ,O,O,X,X,X,X,O
ILSJZTO,X,X,O,O,O,X,O
ILSJZOT,O,O,O,O,O,O,O
ILSJOTZ,O,O,X,X,X,O,O
ILSJOZT,O,O,O,O,O,O,O
ILSZTJO,X,X,O,O,O,X,O
ILSZTOJ,X,X,O,X,O,X,O
ILSZJTO,X,X,O,O,O,X,O
ILSZJOT,O,O,O,O,O,O,O
ILSZOTJ,O,O,O,X,O,O,O
ILSZOJT,O,O,O,O,O,O,O
ILSOTJZ,O,O,X,X,X,O,O
ILSOTZJ,O,O,X,X,X,O,O
ILSOJTZ,O,O,X,X,X,O,O
ILSOJZT,O,O,O,O,O,O,O
ILSOZTJ,O,O,O,X,O,O,O
ILSOZJT,O,O,O,O,O,O,O
ILZTJSO,X,X,O,O,O,X,X
ILZTJOS,X,X,O,X,O,O,X
ILZTSJO,X,X,O,O,O,X,X
ILZTSOJ,X,X,O,X,O,X,X
ILZTOJS,X,X,O,X,O,O,X
ILZTOSJ,X,X,O,X,O,O,X
ILZJTSO,X,X,O,O,O,X,X
ILZJTOS,X,X,O,X,O,O,X
ILZJSTO,X,X,O,O,O,X,O
ILZJSOT,O,O,O,O,O,O,O
ILZJOTS,O,O,O,X,O,O,X
ILZJOST,O,O,O,O,O,O,X
ILZSTJO,X,X,O,O,O,X,O
ILZSTOJ,X,X,O,X,O,X,O
ILZSJTO,X,X,O,O,O,X,O
ILZSJOT,O,O,O,O,O,O,O
ILZSOTJ,O,O,O,X,O,O,O
ILZSOJT,O,O,O,O,O,O,O
ILZOTJS,O,O,O,X,O,O,X
ILZOTSJ,O,O,O,X,O,O,X
ILZOJTS,O,O,O,X,O,O,X
ILZOJST,O,O,O,O,O,O,X
ILZOSTJ,O,O,O,X,O,O,X
ILZOSJT,O,O,O,O,O,O,X
ILOTJSZ,O,O,X,X,X,O,X
ILOTJZS,O,O,O,X,O,O,X
ILOTSJZ,O,O,X,X,X,O,X
ILOTSZJ,O,O,X,X,X,O,X
ILOTZJS,O,O,O,X,O,O,X
ILOTZSJ,O,O,O,X,O,O,X
ILOJTSZ,O,O,X,X,X,O,X
ILOJTZS,O,O,O,X,O,O,X
ILOJSTZ,O,O,X,X,X,O,O
ILOJSZT,O,O,O,O,O,O,O
ILOJZTS,O,O,O,X,O,O,X
ILOJZST,O,O,O,O,O,O,X
ILOSTJZ,O,O,X,X,X,O,O
ILOSTZJ,O,O,X,X,X,O,O
ILOSJTZ,O,O,X,X,X,O,O
ILOSJZT,O,O,O,O,O,O,O
ILOSZTJ,O,O,O,X,O,O,O
ILOSZJT,O,O,O,O,O,O,O
ILOZTJS,O,O,O,X,O,O,X
ILOZTSJ,O,O,O,X,O,O,X
ILOZJTS,O,O,O,X,O,O,X
ILOZJST,O,O,O,O,O,O,X
ILOZSTJ,O,O,O,X,O,O,X
ILOZSJT,O,O,O,O,O,O,X
IJTLSZO,X,X,O,O,O,X,O
IJTLSOZ,O,O,X,X,X,X,O
IJTLZSO,X,X,O,O,O,X,X
IJTLZOS,X,X,O,X,O,O,X
IJTLOSZ,O,O,X,X,X,O,X
IJTLOZS,O,O,X,X,O,O,X
IJTSLZO,X,X,O,O,O,X,O
IJTSLOZ,O,O,X,X,X,X,O
IJTSZLO,X,X,O,O,O,X,O
IJTSZOL,X,X,O,X,O,O,O
IJTSOLZ,O,O,X,X,X,O,O
IJTSOZL,O,O,X,X,X,O,O
IJTZLSO,X,X,O,O,O,X,X
IJTZLOS,X,X,O,X,O,O,X
IJTZSLO,X,X,O,O,O,X,X
IJTZSOL,X,X,O,X,O,O,X
IJTZOLS,X,X,O,X,O,O,X
IJTZOSL,X,X,O,X,O,O,X
IJTOLSZ,O,O,X,X,X,O,X
IJTOLZS,O,O,X,X,O,O,X
IJTOSLZ,O,O,X,X,X,O,X
IJTOSZL,O,O,X,X,X,O,X
IJTOZLS,O,O,X,X,O,O,X
IJTOZSL,O,O,X,X,O,O,X
IJLTSZO,X,X,O,O,O,X,O
IJLTSOZ,O,O,X,X,X,X,O
IJLTZSO,X,X,O,O,O,X,X
IJLTZOS,X,X,O,X,O,O,X
IJLTOSZ,O,O,X,X,X,O,X
IJLTOZS,O,O,O,X,O,O,X
IJLSTZO,X,X,O,O,O,X,O
IJLSTOZ,O,O,X,X,X,X,O
IJLSZTO,X,X,O,O,O,X,O
IJLSZOT,O,O,O,O,O,O,O
IJLSOTZ,O,O,X,X,X,O,O
IJLSOZT,O,O,O,O,O,O,O
IJLZTSO,X,X,O,O,O,X,X
IJLZTOS,X,X,O,X,O,O,X
IJLZSTO,X,X,O,O,O,X,O
IJLZSOT,O,O,O,O,O,O,O
IJLZOTS,O,O,O,X,O,O,X
IJLZOST,O,O,O,O,O,O,X
IJLOTSZ,O,O,X,X,X,O,X
IJLOTZS,O,O,O,X,O,O,X
IJLOSTZ,O,O,X,X,X,O,O
IJLOSZT,O,O,O,O,O,O,O
IJLOZTS,O,O,O,X,O,O,X
IJLOZST,O,O,O,O,O,O,X
IJSTLZO,X,X,O,O,O,X,O
IJSTLOZ,O,O,X,X,X,X,O
IJSTZLO,X,X,O,O,O,X,O
IJSTZOL,X,X,O,X,O,O,O
IJSTOLZ,O,O,X,X,X,O,O
IJSTOZL,O,O,X,X,X,O,O
IJSLTZO,X,X,O,O,O,X,O
IJSLTOZ,O,O,X,X,X,X,O
IJSLZTO,X,X,O,O,O,X,O
IJSLZOT,O,O,O,O,O,O,O
IJSLOTZ,O,O,X,X,X,O,O
IJSLOZT,O,O,O,O,O,O,O
IJSZTLO,X,X,O,O,O,X,O
IJSZTOL,X,X,O,X,O,O,O
IJSZLTO,X,X,O,O,O,X,O
IJSZLOT,O,O,O,O,O,O,O
IJSZOTL,O,O,O,X,O,O,O
IJSZOLT,O,O,O,O,O,O,O
IJSOTLZ,O,O,X,X,X,O,O
IJSOTZL,O,O,X,X,X,O,O
IJSOLTZ,O,O,X,X,X,O,O
IJSOLZT,O,O,O,O,O,O,O
IJSOZTL,O,O,O,X,O,O,O
IJSOZLT,O,O,O,O,O,O,O
IJZTLSO,X,X,O,O,O,X,X
IJZTLOS,X,X,O,X,O,O,X
IJZTSLO,X,X,O,O,O,X,X
IJZTSOL,X,X,O,X,O,O,X
IJZTOLS,X,X,O,X,O,O,X
IJZTOSL,X,X,O,X,O,O,X
IJZLTSO,X,X,O,O,O,X,X
IJZLTOS,X,X,O,X,O,O,X
IJZLSTO,X,X,O,O,O,X,O
IJZLSOT,O,O,O,O,O,O,O
IJZLOTS,O,O,O,X,O,O,X
IJZLOST,O,O,O,O,O,O,X
IJZSTLO,X,X,O,O,O,X,O
IJZSTOL,X,X,O,X,O,O,O
IJZSLTO,X,X,O,O,O,X,O
IJZSLOT,O,O,O,O,O,O,O
IJZSOTL,O,O,O,X,O,O,O
IJZSOLT,O,O,O,O,O,O,O
IJZOTLS,O,O,O,X,O,O,X
IJZOTSL,O,O,O,X,O,O,X
IJZOLTS,O,O,O,X,O,O,X
IJZOLST,O,O,O,O,O,O,X
IJZOSTL,O,O,O,X,O,O,X
IJZOSLT,O,O,O,O,O,O,X
IJOTLSZ,O,O,X,X,X,O,X
IJOTLZS,O,O,X,X,O,O,X
IJOTSLZ,O,O,X,X,X,O,X
IJOTSZL,O,O,X,X,X,O,X
IJOTZLS,O,O,X,X,O,O,X
IJOTZSL,O,O,X,X,O,O,X
IJOLTSZ,O,O,X,X,X,O,X
IJOLTZS,O,O,X,X,O,O,X
IJOLSTZ,O,O,X,X,X,O,O
IJOLSZT,O,O,O,O,O,O,O
IJOLZTS,O,O,O,X,O,O,X
IJOLZST,O,O,O,O,O,O,X
IJOSTLZ,O,O,X,X,X,O,O
IJOSTZL,O,O,X,X,X,O,O
IJOSLTZ,O,O,X,X,X,O,O
IJOSLZT,O,O,O,O,O,O,O
IJOSZTL,O,O,O,X,O,O,O
IJOSZLT,O,O,O,O,O,O,O
IJOZTLS,O,O,O,X,O,O,X
IJOZTSL,O,O,O,X,O,O,X
IJOZLTS,O,O,O,X,O,O,X
IJOZLST,O,O,O,O,O,O,X
IJOZSTL,O,O,O,X,O,O,X
IJOZSLT,O,O,O,O,O,O,X
ISTLJZO,X,X,O,O,O,X,O
ISTLJOZ,O,O,X,X,X,X,O
ISTLZJO,X,X,O,O,O,X,O
ISTLZOJ,X,X,O,X,O,X,O
ISTLOJZ,O,O,X,X,X,X,O
ISTLOZJ,O,O,X,X,X,X,O
ISTJLZO,X,X,O,O,O,X,O
ISTJLOZ,O,O,X,X,X,X,O
ISTJZLO,X,X,O,O,O,X,O
ISTJZOL,X,X,O,X,O,O,O
ISTJOLZ,O,O,X,X,X,O,O
ISTJOZL,O,O,X,X,X,O,O
ISTZLJO,X,X,O,O,O,X,O
ISTZLOJ,X,X,O,X,O,X,O
ISTZJLO,X,X,O,O,O,X,O
ISTZJOL,X,X,O,X,O,O,O
ISTZOLJ,X,X,O,X,O,O,O
ISTZOJL,X,X,O,X,O,O,O
ISTOLJZ,O,O,X,X,X,O,O
ISTOLZJ,O,O,X,X,X,O,O
ISTOJLZ,O,O,X,X,X,O,O
ISTOJZL,O,O,X,X,X,O,O
ISTOZLJ,O,O,X,X,X,O,O
ISTOZJL,O,O,X,X,X,O,O
ISLTJZO,X,X,O,O,O,X,O
ISLTJOZ,O,O,X,X,X,X,O
ISLTZJO,X,X,O,O,O,X,O
ISLTZOJ,X,X,O,X,O,X,O
ISLTOJZ,O,O,X,X,X,X,O
ISLTOZJ,O,O,X,X,X,X,O
ISLJTZO,X,X,O,O,O,X,O
ISLJTOZ,O,O,X,X,X,X,O
ISLJZTO,X,X,O,O,O,X,O
ISLJZOT,O,O,O,O,O,O,O
ISLJOTZ,O,O,X,X,X,O,O
ISLJOZT,O,O,O,O,O,O,O
ISLZTJO,X,X,O,O,O,X,O
ISLZTOJ,X,X,O,X,O,X,O
ISLZJTO,X,X,O,O,O,X,O
ISLZJOT,O,O,O,O,O,O,O
ISLZOTJ,O,O,O,X,O,O,O
ISLZOJT,O,O,O,O,O,O,O
ISLOTJZ,O,O,X,X,X,O,O
ISLOTZJ,O,O,X,X,X,O,O
ISLOJTZ,O,O,X,X,X,O,O
ISLOJZT,O,O,O,O,O,O,O
ISLOZTJ,O,O,O,X,O,O,O
ISLOZJT,O,O,O,O,O,O,O
ISJTLZO,X,X,O,O,O,X,O
ISJTLOZ,O,O,X,X,X,X,O
ISJTZLO,X,X,O,O,O,X,O
ISJTZOL,X,X,O,X,O,O,O
ISJTOLZ,O,O,X,X,X,O,O
ISJTOZL,O,O,X,X,X,O,O
ISJLTZO,X,X,O,O,O,X,O
ISJLTOZ,O,O,X,X,X,X,O
ISJLZTO,X,X,O,O,O,X,O
ISJLZOT,O,O,O,O,O,O,O
ISJLOTZ,O,O,X,X,X,O,O
ISJLOZT,O,O,O,O,O,O,O
ISJZTLO,X,X,O,O,O,X,O
ISJZTOL,X,X,O,X,O,O,O
ISJZLTO,X,X,O,O,O,X,O
ISJZLOT,O,O,O,O,O,O,O
ISJZOTL,O,O,O,X,O,O,O
ISJZOLT,O,O,O,O,O,O,O
ISJOTLZ,O,O,X,X,X,O,O
ISJOTZL,O,O,X,X,X,O,O
ISJOLTZ,O,O,X,X,X,O,O
ISJOLZT,O,O,O,O,O,O,O
ISJOZTL,O,O,O,X,O,O,O
ISJOZLT,O,O,O,O,O,O,O
ISZTLJO,X,X,O,O,O,X,O
ISZTLOJ,X,X,O,X,O,X,O
ISZTJLO,X,X,O,O,O,X,O
ISZTJOL,X,X,O,X,O,O,O
ISZTOLJ,X,X,O,X,O,O,O
ISZTOJL,X,X,O,X,O,O,O
ISZLTJO,X,X,O,O,O,X,O
ISZLTOJ,X,X,O,X,O,X,O
ISZLJTO,X,X,O,O,O,X,O
ISZLJOT,O,O,O,O,O,O,O
ISZLOTJ,O,O,O,X,O,O,O
ISZLOJT,O,O,O,O,O,O,O
ISZJTLO,X,X,O,O,O,X,O
ISZJTOL,X,X,O,X,O,O,O
ISZJLTO,X,X,O,O,O,X,O
ISZJLOT,O,O,O,O,O,O,O
ISZJOTL,O,O,O,X,O,O,O
ISZJOLT,O,O,O,O,O,O,O
ISZOTLJ,O,O,O,X,O,O,O
ISZOTJL,O,O,O,X,O,O,O
ISZOLTJ,O,O,O,X,O,O,O
ISZOLJT,O,O,O,O,O,O,O
ISZOJTL,O,O,O,X,O,O,O
ISZOJLT,O,O,O,O,O,O,O
ISOTLJZ,O,O,X,X,X,O,O
ISOTLZJ,O,O,X,X,X,O,O
ISOTJLZ,O,O,X,X,X,O,O
ISOTJZL,O,O,X,X,X,O,O
ISOTZLJ,O,O,X,X,X,O,O
ISOTZJL,O,O,X,X,X,O,O
ISOLTJZ,O,O,X,X,X,O,O
ISOLTZJ,O,O,X,X,X,O,O
ISOLJTZ,O,O,X,X,X,O,O
ISOLJZT,O,O,O,O,O,O,O
ISOLZTJ,O,O,O,X,O,O,O
ISOLZJT,O,O,O,O,O,O,O
ISOJTLZ,O,O,X,X,X,O,O
ISOJTZL,O,O,X,X,X,O,O
ISOJLTZ,O,O,X,X,X,O,O
ISOJLZT,O,O,O,O,O,O,O
ISOJZTL,O,O,O,X,O,O,O
ISOJZLT,O,O,O,O,O,O,O
ISOZTLJ,O,O,O,X,O,O,O
ISOZTJL,O,O,O,X,O,O,O
ISOZLTJ,O,O,O,X,O,O,O
ISOZLJT,O,O,O,O,O,O,O
ISOZJTL,O,O,O,X,O,O,O
ISOZJLT,O,O,O,O,O,O,O
IZTLJSO,X,X,O,O,O,X,X
IZTLJOS,X,X,O,X,O,O,X
IZTLSJO,X,X,O,O,O,X,X
IZTLSOJ,X,X,O,X,O,X,X
IZTLOJS,X,X,O,X,O,O,X
IZTLOSJ,X,X,O,X,O,O,X
IZTJLSO,X,X,O,O,O,X,X
IZTJLOS,X,X,O,X,O,O,X
IZTJSLO,X,X,O,O,O,X,X
IZTJSOL,X,X,O,X,O,O,X
IZTJOLS,X,X,O,X,O,O,X
IZTJOSL,X,X,O,X,O,O,X
IZTSLJO,X,X,O,O,O,X,X
IZTSLOJ,X,X,O,X,O,X,X
IZTSJLO,X,X,O,O,O,X,X
IZTSJOL,X,X,O,X,O,O,X
IZTSOLJ,X,X,O,X,O,O,X
IZTSOJL,X,X,O,X,O,O,X
IZTOLJS,X,X,O,X,O,O,X
IZTOLSJ,X,X,O,X,O,O,X
IZTOJLS,X,X,O,X,O,O,X
IZTOJSL,X,X,O,X,O,O,X
IZTOSLJ,X,X,O,X,O,O,X
IZTOSJL,X,X,O,X,O,O,X
IZLTJSO,X,X,O,O,O,X,X
IZLTJOS,X,X,O,X,O,O,X
IZLTSJO,X,X,O,O,O,X,X
IZLTSOJ,X,X,O,X,O,X,X
IZLTOJS,X,X,O,X,O,O,X
IZLTOSJ,X,X,O,X,O,O,X
IZLJTSO,X,X,O,O,O,X,X
IZLJTOS,X,X,O,X,O,O,X
