sequence,v115@KhB8EeA8BeB8EeF8CeA8Je/EJvhFalBRhBFjBzmB+s?BctB,v115@KhB8EeA8BeB8EeF8CeA8Jem/IvhFRhBSnBTjB0kBFs?BXtB,v115@KhB8EeA8BeB8EeF8CeA8Jei/IvhFRhBGjBzkBfsBVt?B0sB,v115@KhB8EeA8BeB8EeF8CeA8JeT/IvhFelBRhBFjBfsBSt?B0sB,v115@KhB8EeA8BeB8EeF8CeA8JeT/IvhFelBRhBfsBlnBct?BCtB,v115@KhB8EeA8BeB8EeF8CeA8Jem/IvhFRhB0kBzmBStB3s?BFtB,v115@KhB8EeA8BeB8EeF8CeA8JeyEJvhFRhB+oBfsBlnB0k?BzsB
TOILSJZ,X,O,O,X,X,X,X
TOILSZJ,X,O,O,X,X,X,X
TOILZJS,X,O,O,X,X,O,X
TOILZSJ,X,O,X,X,X,O,X
TOIJLSZ,X,X,O,X,X,X,X
TOIJLZS,X,X,O,X,X,X,X
TOIJSLZ,O,X,O,X,X,X,X
TOIJSZL,O,X,O,X,X,X,X
TOIJZLS,O,X,O,X,X,X,X
TOIJZSL,O,X,X,X,X,X,X
TOISLJZ,O,O,O,X,X,X,X
TOISLZJ,O,O,O,X,X,X,X
TOISJLZ,O,O,O,X,X,X,X
TOISJZL,O,O,O,X,X,X,X
TOISZLJ,O,O,O,X,X,X,X
TOISZJL,O,O,O,X,X,X,X
TOIZLJS,X,O,O,X,X,O,X
TOIZLSJ,X,O,X,X,X,O,X
TOIZJLS,O,O,O,X,X,O,X
TOIZJSL,O,O,X,X,X,X,X
TOIZSLJ,O,O,X,X,X,X,X
TOIZSJL,O,O,X,X,X,X,X
TOLIJSZ,X,X,O,O,X,X,X
TOLIJZS,X,X,O,O,X,X,X
TOLISJZ,X,O,O,O,X,X,X
TOLISZJ,X,O,O,X,X,X,X
TOLIZJS,X,O,O,X,X,O,X
TOLIZSJ,X,O,X,X,X,O,X
TOLJISZ,X,X,O,O,X,X,X
TOLJIZS,X,X,O,O,X,X,X
TOLJSIZ,X,X,O,O,X,X,X
TOLJSZI,X,X,O,O,X,X,X
TOLJZIS,X,X,O,O,X,X,X
TOLJZSI,X,X,O,O,X,X,X
TOLSIJZ,X,O,O,O,X,X,X
TOLSIZJ,X,O,O,X,X,X,X
TOLSJIZ,X,O,O,O,X,X,X
TOLSJZI,X,O,O,O,X,X,X
TOLSZIJ,X,O,O,X,X,X,X
TOLSZJI,X,O,O,O,X,X,X
TOLZIJS,X,O,O,X,X,O,X
TOLZISJ,X,O,X,X,X,O,X
TOLZJIS,X,O,O,O,X,O,X
TOLZJSI,X,O,O,O,X,O,X
TOLZSIJ,X,O,O,X,X,O,X
TOLZSJI,X,O,O,O,X,O,X
TOJILSZ,X,X,O,O,X,X,X
TOJILZS,X,X,O,O,X,X,X
TOJISLZ,O,X,O,O,X,X,X
TOJISZL,O,X,O,X,O,X,X
TOJIZLS,O,X,O,X,X,X,X
TOJIZSL,O,X,X,X,O,X,X
TOJLISZ,X,X,O,O,X,X,X
TOJLIZS,X,X,O,O,X,X,X
TOJLSIZ,X,X,O,O,X,X,X
TOJLSZI,X,X,O,O,X,X,X
TOJLZIS,X,X,O,O,X,X,X
TOJLZSI,X,X,O,O,X,X,X
TOJSILZ,O,X,O,O,X,X,X
TOJSIZL,O,X,O,X,O,X,X
TOJSLIZ,O,X,O,O,X,X,X
TOJSLZI,O,X,O,O,X,X,X
TOJSZIL,O,X,O,X,O,X,X
TOJSZLI,O,X,O,X,O,X,X
TOJZILS,O,X,O,X,X,X,X
TOJZISL,O,X,X,X,O,X,X
TOJZLIS,O,X,O,X,X,X,X
TOJZLSI,O,X,O,X,X,X,X
TOJZSIL,O,X,O,X,O,X,X
TOJZSLI,O,X,O,X,O,X,X
TOSILJZ,O,O,O,X,X,X,X
TOSILZJ,O,O,O,X,X,X,X
TOSIJLZ,O,O,O,X,X,X,X
TOSIJZL,O,O,O,X,X,X,X
TOSIZLJ,O,O,O,X,X,X,X
TOSIZJL,O,O,O,X,X,X,X
TOSLIJZ,O,O,O,O,X,X,X
TOSLIZJ,O,O,O,X,X,X,X
TOSLJIZ,O,O,O,O,X,X,X
TOSLJZI,O,O,O,O,X,X,X
TOSLZIJ,O,O,O,X,X,X,X
TOSLZJI,O,O,O,O,X,X,X
TOSJILZ,O,O,O,O,X,X,X
TOSJIZL,O,O,O,X,O,X,X
TOSJLIZ,O,O,O,O,X,X,X
TOSJLZI,O,O,O,O,X,X,X
TOSJZIL,O,O,O,X,O,X,X
TOSJZLI,O,O,O,X,O,X,X
TOSZILJ,O,O,O,X,X,X,X
TOSZIJL,O,O,O,X,O,X,X
TOSZLIJ,O,O,O,X,X,X,X
TOSZLJI,O,O,O,X,O,X,X
TOSZJIL,O,O,O,X,O,X,X
TOSZJLI,O,O,O,X,O,X,X
TOZILJS,X,O,O,X,X,O,X
TOZILSJ,X,O,X,X,X,O,X
TOZIJLS,O,O,O,X,X,O,X
TOZIJSL,O,O,X,X,X,X,X
TOZISLJ,O,O,X,X,X,X,X
TOZISJL,O,O,X,X,X,X,X
TOZLIJS,X,O,O,X,X,O,X
TOZLISJ,X,O,X,X,X,O,X
TOZLJIS,X,O,O,X,X,O,X
TOZLJSI,X,O,O,X,X,O,X
TOZLSIJ,X,O,O,X,X,O,X
TOZLSJI,X,O,O,X,X,O,X
TOZJILS,O,O,O,X,X,O,X
TOZJISL,O,O,X,X,O,X,X
TOZJLIS,O,O,O,X,X,O,X
TOZJLSI,O,O,O,X,X,O,X
TOZJSIL,O,O,O,X,O,X,X
TOZJSLI,O,O,O,X,O,X,X
TOZSILJ,O,O,O,X,X,X,X
TOZSIJL,O,O,O,X,O,X,X
TOZSLIJ,O,O,O,X,X,X,X
TOZSLJI,O,O,O,X,O,X,X
TOZSJIL,O,O,O,X,O,X,X
TOZSJLI,O,O,O,X,O,X,X
ITLJSZO,X,O,O,X,X,X,O
ITLJSOZ,X,O,O,O,X,X,O
ITLJZSO,X,O,O,X,X,X,X
ITLJZOS,X,O,O,O,X,X,X
ITLJOSZ,X,X,O,O,X,X,X
ITLJOZS,X,X,O,O,X,X,X
ITLSJZO,X,O,O,X,X,X,O
ITLSJOZ,X,O,O,O,X,X,O
ITLSZJO,X,O,O,X,X,X,X
ITLSZOJ,X,O,X,X,X,X,X
ITLSOJZ,X,O,O,X,X,X,X
ITLSOZJ,X,O,X,X,X,X,X
ITLZJSO,X,O,O,X,X,X,X
ITLZJOS,X,O,O,O,X,X,X
ITLZSJO,X,O,X,X,X,X,X
ITLZSOJ,X,O,X,X,X,X,X
ITLZOJS,X,O,X,X,X,X,X
ITLZOSJ,X,O,X,X,X,X,X
ITLOJSZ,X,X,O,O,X,X,X
ITLOJZS,X,X,O,O,X,X,X
ITLOSJZ,X,O,O,X,X,X,X
ITLOSZJ,X,O,X,X,X,X,X
ITLOZJS,X,O,O,X,X,X,X
ITLOZSJ,X,O,X,X,X,X,X
ITJLSZO,X,O,O,X,X,X,O
ITJLSOZ,X,O,O,O,X,X,O
ITJLZSO,X,O,O,X,X,X,X
ITJLZOS,X,O,O,O,X,X,X
ITJLOSZ,X,X,O,O,X,X,X
ITJLOZS,X,X,O,O,X,X,X
ITJSLZO,O,O,O,O,X,X,O
ITJSLOZ,X,O,O,O,X,X,O
ITJSZLO,O,O,O,X,O,X,O
ITJSZOL,O,O,O,X,O,X,X
ITJSOLZ,X,O,O,O,X,X,O
ITJSOZL,X,O,O,X,O,X,X
ITJZLSO,O,O,O,X,X,X,X
ITJZLOS,X,O,O,X,X,X,X
ITJZSLO,O,O,X,X,O,X,X
ITJZSOL,O,O,X,X,O,X,X
ITJZOLS,X,O,O,X,X,X,X
ITJZOSL,O,O,X,X,O,X,X
ITJOLSZ,X,X,O,O,X,X,X
ITJOLZS,X,X,O,O,X,X,X
ITJOSLZ,X,X,O,O,X,X,X
ITJOSZL,X,X,O,X,O,X,X
ITJOZLS,X,X,O,X,X,X,X
ITJOZSL,X,X,X,X,O,X,X
ITSLJZO,O,O,O,O,X,X,O
ITSLJOZ,X,O,O,O,X,X,O
ITSLZJO,O,O,O,O,X,X,X
ITSLZOJ,O,O,X,X,X,X,X
ITSLOJZ,O,O,O,O,X,X,X
ITSLOZJ,O,O,O,X,X,X,X
ITSJLZO,O,O,O,O,X,X,O
ITSJLOZ,X,O,O,O,X,X,O
ITSJZLO,O,O,O,X,O,X,O
ITSJZOL,O,O,O,X,O,X,X
ITSJOLZ,X,O,O,O,X,X,O
ITSJOZL,X,O,O,X,O,X,X
ITSZLJO,O,O,O,X,O,X,X
ITSZLOJ,O,O,X,X,X,X,X
ITSZJLO,O,O,O,X,O,X,X
ITSZJOL,O,O,O,X,O,X,X
ITSZOLJ,O,O,O,X,X,X,X
ITSZOJL,X,O,O,X,O,X,X
ITSOLJZ,O,O,O,X,X,X,X
ITSOLZJ,O,O,O,X,X,X,X
ITSOJLZ,O,O,O,X,X,X,X
ITSOJZL,O,O,O,X,X,X,X
ITSOZLJ,O,O,O,X,X,X,X
ITSOZJL,O,O,O,X,X,X,X
ITZLJSO,X,O,O,X,X,X,X
ITZLJOS,X,O,O,X,X,X,X
ITZLSJO,O,O,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,X
ITZLOJS,X,O,X,X,X,X,X
ITZLOSJ,X,O,X,X,X,X,X
ITZJLSO,O,O,O,X,X,X,X
ITZJLOS,X,O,O,X,X,X,X
ITZJSLO,O,O,X,X,O,X,X
ITZJSOL,O,O,X,X,O,X,X
ITZJOLS,X,O,O,X,X,O,X
ITZJOSL,O,O,X,X,O,X,X
ITZSLJO,O,O,X,X,O,X,X
ITZSLOJ,O,O,X,X,X,X,X
ITZSJLO,O,O,X,X,O,X,X
ITZSJOL,O,O,X,X,O,X,X
ITZSOLJ,O,O,X,X,X,X,X
ITZSOJL,X,O,X,X,O,X,X
ITZOLJS,X,O,O,X,X,O,X
ITZOLSJ,X,O,X,X,X,O,X
ITZOJLS,X,O,O,X,X,O,X
ITZOJSL,X,O,X,X,X,X,X
ITZOSLJ,O,O,X,X,X,X,X
ITZOSJL,X,O,X,X,X,X,X
ITOLJSZ,X,X,O,X,X,X,X
ITOLJZS,X,X,O,X,X,X,X
ITOLSJZ,X,O,O,X,X,X,X
ITOLSZJ,X,O,O,X,X,X,X
ITOLZJS,X,O,O,X,X,O,X
ITOLZSJ,X,O,X,X,X,O,X
ITOJLSZ,X,X,O,X,X,X,X
ITOJLZS,X,X,O,X,X,X,X
ITOJSLZ,O,X,O,X,X,X,X
ITOJSZL,O,X,O,X,X,X,X
ITOJZLS,O,X,O,X,X,X,X
ITOJZSL,O,X,X,X,X,X,X
ITOSLJZ,O,O,O,X,X,X,X
ITOSLZJ,O,O,O,X,X,X,X
ITOSJLZ,O,O,O,X,X,X,X
ITOSJZL,O,O,O,X,X,X,X
ITOSZLJ,O,O,O,X,X,X,X
ITOSZJL,O,O,O,X,X,X,X
ITOZLJS,X,O,O,X,X,O,X
ITOZLSJ,X,O,X,X,X,O,X
ITOZJLS,O,O,O,X,X,O,X
ITOZJSL,O,O,X,X,X,X,X
ITOZSLJ,O,O,X,X,X,X,X
ITOZSJL,O,O,X,X,X,X,X
ILTJSZO,X,O,O,O,X,X,O
ILTJSOZ,X,O,O,O,X,X,O
ILTJZSO,X,O,O,X,X,X,X
ILTJZOS,X,O,O,O,X,X,X
ILTJOSZ,X,X,O,O,X,X,X
ILTJOZS,X,X,O,O,X,X,X
ILTSJZO,X,O,O,O,X,X,O
ILTSJOZ,X,O,O,O,X,X,O
ILTSZJO,X,O,O,O,X,X,X
ILTSZOJ,X,O,X,X,X,X,X
ILTSOJZ,X,O,O,O,X,X,X
ILTSOZJ,X,O,X,X,X,X,X
ILTZJSO,X,O,O,X,X,X,X
ILTZJOS,X,O,O,O,X,X,X
ILTZSJO,X,O,X,X,X,X,X
ILTZSOJ,X,O,X,X,X,X,X
ILTZOJS,X,O,X,X,X,X,X
ILTZOSJ,X,O,X,X,X,X,X
ILTOJSZ,X,X,O,O,X,X,X
ILTOJZS,X,X,O,O,X,X,X
ILTOSJZ,X,O,O,O,X,X,X
ILTOSZJ,X,O,X,X,X,X,X
ILTOZJS,X,O,O,X,X,X,X
ILTOZSJ,X,O,X,X,X,X,X
ILJTSZO,X,X,O,O,X,X,O
ILJTSOZ,X,X,O,O,X,X,O
ILJTZSO,X,X,O,X,X,X,X
ILJTZOS,X,X,O,O,X,X,X
ILJTOSZ,X,X,O,O,X,X,X
ILJTOZS,X,X,O,O,X,X,X
ILJSTZO,O,X,O,O,X,X,O
ILJSTOZ,X,X,O,O,X,X,O
ILJSZTO,O,X,X,O,O,X,O
ILJSZOT,O,X,X,O,O,X,X
ILJSOTZ,X,X,X,O,X,X,O
ILJSOZT,O,X,X,O,O,X,X
ILJZTSO,O,X,X,X,X,X,X
ILJZTOS,X,X,X,O,X,X,X
ILJZSTO,O,X,X,X,O,X,O
ILJZSOT,O,X,X,X,O,X,X
ILJZOTS,X,X,X,O,X,X,X
ILJZOST,X,X,X,X,O,X,X
ILJOTSZ,X,X,X,O,X,X,X
ILJOTZS,X,X,X,O,X,X,X
ILJOSTZ,X,X,X,O,X,X,O
ILJOSZT,X,X,X,O,O,X,X
ILJOZTS,X,X,X,O,X,X,X
ILJOZST,X,X,X,X,O,X,X
ILSTJZO,O,O,O,O,X,X,O
ILSTJOZ,X,O,O,O,X,X,O
ILSTZJO,O,O,O,O,X,X,X
ILSTZOJ,O,O,X,X,X,X,X
ILSTOJZ,O,O,O,O,X,X,X
ILSTOZJ,O,O,O,X,X,X,X
ILSJTZO,O,X,O,O,X,X,O
ILSJTOZ,X,X,O,O,X,X,O
ILSJZTO,O,X,X,O,O,X,O
ILSJZOT,O,X,X,O,O,X,X
ILSJOTZ,O,X,X,O,X,X,O
ILSJOZT,O,X,X,O,O,X,X
ILSZTJO,O,O,O,O,O,X,X
ILSZTOJ,O,O,X,X,X,X,X
ILSZJTO,O,O,X,O,O,X,O
ILSZJOT,O,X,X,O,O,X,X
ILSZOTJ,O,X,X,X,X,X,X
ILSZOJT,O,X,X,X,X,X,X
ILSOTJZ,O,X,O,O,X,X,X
ILSOTZJ,O,X,O,X,X,X,X
ILSOJTZ,O,X,O,O,X,X,O
ILSOJZT,O,X,X,O,X,X,X
ILSOZTJ,O,X,O,X,X,X,X
ILSOZJT,O,X,X,X,X,X,X
ILZTJSO,X,O,O,X,X,X,X
ILZTJOS,X,O,O,O,X,X,X
ILZTSJO,O,O,X,X,X,X,X
ILZTSOJ,O,O,X,X,X,X,X
ILZTOJS,X,O,X,X,X,X,X
ILZTOSJ,X,O,X,X,X,X,X
ILZJTSO,O,O,X,X,X,X,X
ILZJTOS,X,O,X,O,X,X,X
ILZJSTO,O,O,X,X,O,X,O
ILZJSOT,O,X,X,X,O,X,X
ILZJOTS,X,X,X,O,X,O,X
ILZJOST,X,X,X,X,O,O,X
ILZSTJO,O,O,O,X,O,X,X
ILZSTOJ,O,O,X,X,X,X,X
ILZSJTO,O,O,X,X,O,X,O
ILZSJOT,O,X,X,X,O,X,X
ILZSOTJ,O,X,X,X,X,X,X
ILZSOJT,O,X,X,X,X,X,X
ILZOTJS,X,X,X,X,X,O,X
ILZOTSJ,X,X,X,X,X,O,X
ILZOJTS,X,X,X,X,X,O,X
ILZOJST,X,X,X,X,X,O,X
ILZOSTJ,X,X,X,X,X,O,X
ILZOSJT,X,X,X,X,X,O,X
ILOTJSZ,X,X,O,O,X,X,X
ILOTJZS,X,X,O,O,X,X,X
ILOTSJZ,X,X,O,O,X,X,X
ILOTSZJ,X,X,O,X,X,X,X
ILOTZJS,X,X,O,X,X,O,X
ILOTZSJ,X,X,X,X,X,O,X
ILOJTSZ,X,X,O,O,X,X,X
ILOJTZS,X,X,O,O,X,X,X
ILOJSTZ,O,X,O,O,X,X,O
ILOJSZT,O,X,X,O,X,X,X
ILOJZTS,O,X,X,O,X,O,X
ILOJZST,O,X,X,X,X,O,X
ILOSTJZ,O,X,O,O,X,X,X
ILOSTZJ,O,X,O,X,X,X,X
ILOSJTZ,O,X,O,O,X,X,O
ILOSJZT,O,X,X,O,X,X,X
ILOSZTJ,O,X,O,X,X,O,X
ILOSZJT,O,X,X,X,X,O,X
ILOZTJS,X,X,O,X,X,O,X
ILOZTSJ,X,X,X,X,X,O,X
ILOZJTS,O,X,X,X,X,O,X
ILOZJST,O,X,X,X,X,O,X
ILOZSTJ,O,X,O,X,X,O,X
ILOZSJT,O,X,X,X,X,O,X
IJTLSZO,X,O,O,X,X,X,O
IJTLSOZ,X,O,O,O,X,X,O
IJTLZSO,X,O,O,X,X,X,X
IJTLZOS,X,O,O,O,X,X,X
IJTLOSZ,X,X,O,O,X,X,X
IJTLOZS,X,X,O,O,X,X,X
IJTSLZO,O,O,O,O,X,X,O
IJTSLOZ,X,O,O,O,X,X,O
IJTSZLO,O,O,X,X,O,X,O
IJTSZOL,O,O,X,X,O,X,X
IJTSOLZ,X,O,O,O,X,X,O
IJTSOZL,X,O,X,X,O,X,X
IJTZLSO,O,O,O,X,X,X,X
IJTZLOS,X,O,O,X,X,X,X
IJTZSLO,O,O,X,X,O,X,X
IJTZSOL,O,O,X,X,O,X,X
IJTZOLS,X,O,O,X,X,X,X
IJTZOSL,O,O,X,X,O,X,X
IJTOLSZ,X,X,O,O,X,X,X
IJTOLZS,X,X,O,O,X,X,X
IJTOSLZ,X,X,O,O,X,X,X
IJTOSZL,X,X,X,X,O,X,X
IJTOZLS,X,X,O,X,X,X,X
IJTOZSL,X,X,X,X,O,X,X
IJLTSZO,X,X,O,O,X,X,O
IJLTSOZ,X,X,O,O,X,X,O
IJLTZSO,X,X,O,X,X,X,X
IJLTZOS,X,X,O,O,X,X,X
IJLTOSZ,X,X,O,O,X,X,X
IJLTOZS,X,X,O,O,X,X,X
IJLSTZO,O,X,O,O,X,X,O
IJLSTOZ,X,X,O,O,X,X,O
IJLSZTO,O,X,X,O,O,X,O
IJLSZOT,O,X,X,O,O,X,X
IJLSOTZ,X,X,X,O,X,X,O
IJLSOZT,O,X,X,O,O,X,X
IJLZTSO,O,X,X,X,X,X,X
IJLZTOS,X,X,X,O,X,X,X
IJLZSTO,O,X,X,X,O,X,O
IJLZSOT,O,X,X,X,O,X,X
IJLZOTS,X,X,X,O,X,X,X
IJLZOST,X,X,X,X,O,X,X
IJLOTSZ,X,X,X,O,X,X,X
IJLOTZS,X,X,X,O,X,X,X
IJLOSTZ,X,X,X,O,X,X,O
IJLOSZT,X,X,X,O,O,X,X
IJLOZTS,X,X,X,O,X,X,X
IJLOZST,X,X,X,X,O,X,X
IJSTLZO,O,O,O,O,X,X,O
IJSTLOZ,X,O,O,O,X,X,O
IJSTZLO,O,O,O,X,O,X,O
IJSTZOL,O,O,O,X,O,X,X
IJSTOLZ,X,O,O,O,X,X,O
IJSTOZL,X,O,O,X,O,X,X
IJSLTZO,O,X,O,O,X,X,O
IJSLTOZ,X,X,O,O,X,X,O
IJSLZTO,O,X,X,O,O,X,O
IJSLZOT,O,X,X,O,O,X,X
IJSLOTZ,O,X,X,O,X,X,O
IJSLOZT,O,X,X,O,O,X,X
IJSZTLO,O,O,X,X,O,X,O
IJSZTOL,O,O,X,X,O,X,X
IJSZLTO,O,O,X,O,O,X,O
IJSZLOT,O,X,X,O,O,X,X
IJSZOTL,O,O,X,X,O,X,X
IJSZOLT,O,X,X,O,O,X,X
IJSOTLZ,O,X,O,O,X,X,O
IJSOTZL,O,X,O,X,O,X,X
IJSOLTZ,O,X,O,O,X,X,O
IJSOLZT,O,X,X,O,O,X,X
IJSOZTL,O,X,X,X,O,X,X
IJSOZLT,O,X,X,O,O,X,X
IJZTLSO,O,O,X,X,X,X,X
IJZTLOS,X,O,X,X,X,X,X
IJZTSLO,O,O,X,X,O,X,X
IJZTSOL,O,O,X,X,O,X,X
IJZTOLS,O,O,X,X,X,O,X
IJZTOSL,O,O,X,X,O,X,X
IJZLTSO,O,O,X,X,X,X,X
IJZLTOS,X,O,X,O,X,X,X
IJZLSTO,O,O,X,X,O,X,O
IJZLSOT,O,X,X,X,O,X,X
IJZLOTS,X,X,X,O,X,O,X
IJZLOST,X,X,X,X,O,O,X
IJZSTLO,O,O,X,X,O,X,O
IJZSTOL,O,O,X,X,O,X,X
IJZSLTO,O,O,X,O,O,X,O
IJZSLOT,O,X,X,O,O,X,X
IJZSOTL,O,O,X,X,O,X,X
IJZSOLT,O,X,X,O,O,O,X
IJZOTLS,O,O,X,X,X,O,X
IJZOTSL,O,O,X,X,O,X,X
IJZOLTS,O,X,X,O,X,O,X
IJZOLST,O,X,X,X,O,O,X
IJZOSTL,O,O,X,X,O,X,X
IJZOSLT,O,X,X,O,O,O,X
IJOTLSZ,X,X,O,O,X,X,X
IJOTLZS,X,X,O,O,X,X,X
IJOTSLZ,O,X,O,O,X,X,X
IJOTSZL,O,X,X,X,O,X,X
IJOTZLS,O,X,O,X,X,X,X
IJOTZSL,O,X,X,X,O,X,X
IJOLTSZ,X,X,O,O,X,X,X
IJOLTZS,X,X,O,O,X,X,X
IJOLSTZ,O,X,O,O,X,X,O
IJOLSZT,O,X,X,O,O,X,X
IJOLZTS,O,X,X,O,X,O,X
IJOLZST,O,X,X,X,O,O,X
IJOSTLZ,O,X,O,O,X,X,O
IJOSTZL,O,X,O,X,O,X,X
IJOSLTZ,O,X,O,O,X,X,O
IJOSLZT,O,X,X,O,O,X,X
IJOSZTL,O,X,X,X,O,X,X
IJOSZLT,O,X,X,O,O,X,X
IJOZTLS,O,X,X,X,X,O,X
IJOZTSL,O,X,X,X,O,X,X
IJOZLTS,O,X,X,O,X,O,X
IJOZLST,O,X,X,X,O,O,X
IJOZSTL,O,X,X,X,O,X,X
IJOZSLT,O,X,X,O,O,O,X
ISTLJZO,O,O,O,O,X,X,O
ISTLJOZ,X,O,O,O,X,X,O
ISTLZJO,O,O,O,O,X,X,X
ISTLZOJ,O,O,X,X,X,X,X
ISTLOJZ,O,O,O,O,X,X,X
ISTLOZJ,O,O,O,X,X,X,X
ISTJLZO,O,O,O,O,X,X,O
ISTJLOZ,X,O,O,O,X,X,O
ISTJZLO,O,O,O,X,O,X,O
ISTJZOL,O,O,O,X,O,X,X
ISTJOLZ,X,O,O,O,X,X,O
ISTJOZL,X,O,O,X,O,X,X
ISTZLJO,O,O,O,X,O,X,X
ISTZLOJ,O,O,X,X,X,X,X
ISTZJLO,O,O,O,X,O,X,X
ISTZJOL,O,O,O,X,O,X,X
ISTZOLJ,O,O,O,X,X,X,X
ISTZOJL,X,O,O,X,O,X,X
ISTOLJZ,O,O,O,X,X,X,X
ISTOLZJ,O,O,O,X,X,X,X
ISTOJLZ,O,O,O,X,X,X,X
ISTOJZL,O,O,O,X,X,X,X
ISTOZLJ,O,O,O,X,X,X,X
ISTOZJL,O,O,O,X,X,X,X
ISLTJZO,O,O,O,O,X,X,O
ISLTJOZ,X,O,O,O,X,X,O
ISLTZJO,O,O,O,O,X,X,X
ISLTZOJ,O,O,X,X,X,X,X
ISLTOJZ,O,O,O,O,X,X,X
ISLTOZJ,O,O,O,X,X,X,X
ISLJTZO,O,X,O,O,X,X,O
ISLJTOZ,X,X,O,O,X,X,O
ISLJZTO,O,X,X,O,O,X,O
ISLJZOT,O,X,X,O,O,X,X
ISLJOTZ,O,X,X,O,X,X,O
ISLJOZT,O,X,X,O,O,X,X
ISLZTJO,O,O,O,O,O,X,X
ISLZTOJ,O,O,X,X,X,X,X
ISLZJTO,O,O,X,O,O,X,O
ISLZJOT,O,X,X,O,O,X,X
ISLZOTJ,O,X,X,X,X,X,X
ISLZOJT,O,X,X,X,X,X,X
ISLOTJZ,O,X,O,O,X,X,X
ISLOTZJ,O,X,O,X,X,X,X
ISLOJTZ,O,X,O,O,X,X,O
ISLOJZT,O,X,X,O,X,X,X
ISLOZTJ,O,X,O,X,X,X,X
ISLOZJT,O,X,X,X,X,X,X
ISJTLZO,O,O,O,O,X,X,O
ISJTLOZ,X,O,O,O,X,X,O
ISJTZLO,O,O,O,X,O,X,O
ISJTZOL,O,O,O,X,O,X,X
ISJTOLZ,X,O,O,O,X,X,O
ISJTOZL,X,O,O,X,O,X,X
ISJLTZO,O,X,O,O,X,X,O
ISJLTOZ,X,X,O,O,X,X,O
ISJLZTO,O,X,X,O,O,X,O
ISJLZOT,O,X,X,O,O,X,X
ISJLOTZ,O,X,X,O,X,X,O
ISJLOZT,O,X,X,O,O,X,X
ISJZTLO,O,O,X,X,O,X,O
ISJZTOL,O,O,X,X,O,X,X
ISJZLTO,O,O,X,O,O,X,O
ISJZLOT,O,X,X,O,O,X,X
ISJZOTL,O,O,X,X,O,X,X
ISJZOLT,O,X,X,O,O,X,X
ISJOTLZ,O,X,O,O,X,X,O
ISJOTZL,O,X,O,X,O,X,X
ISJOLTZ,O,X,O,O,X,X,O
ISJOLZT,O,X,X,O,O,X,X
ISJOZTL,O,X,X,X,O,X,X
ISJOZLT,O,X,X,O,O,X,X
ISZTLJO,O,O,O,X,O,X,X
ISZTLOJ,O,O,X,X,X,X,X
ISZTJLO,O,O,O,X,O,X,X
ISZTJOL,O,O,O,X,O,X,X
ISZTOLJ,O,O,O,X,X,X,X
ISZTOJL,X,O,O,X,O,X,X
ISZLTJO,O,O,O,O,O,X,X
ISZLTOJ,O,O,X,X,X,X,X
ISZLJTO,O,O,X,O,O,X,O
ISZLJOT,O,X,X,O,O,X,X
ISZLOTJ,O,X,X,X,X,X,X
ISZLOJT,O,X,X,X,X,X,X
ISZJTLO,O,O,X,X,O,X,O
ISZJTOL,O,O,X,X,O,X,X
ISZJLTO,O,O,X,O,O,X,O
ISZJLOT,O,X,X,O,O,X,X
ISZJOTL,O,O,X,X,O,X,X
ISZJOLT,O,X,X,O,O,O,X
ISZOTLJ,O,O,O,X,X,X,X
ISZOTJL,O,O,O,X,O,X,X
ISZOLTJ,O,X,O,X,X,O,X
ISZOLJT,O,X,X,X,X,O,X
ISZOJTL,O,O,X,X,O,X,X
ISZOJLT,O,X,X,X,O,O,X
ISOTLJZ,O,O,O,X,X,X,X
ISOTLZJ,O,O,O,X,X,X,X
ISOTJLZ,O,O,O,X,X,X,X
ISOTJZL,O,O,O,X,X,X,X
ISOTZLJ,O,O,O,X,X,X,X
ISOTZJL,O,O,O,X,X,X,X
ISOLTJZ,O,X,O,O,X,X,X
ISOLTZJ,O,X,O,X,X,X,X
ISOLJTZ,O,X,O,O,X,X,O
ISOLJZT,O,X,X,O,X,X,X
ISOLZTJ,O,X,O,X,X,O,X
ISOLZJT,O,X,X,X,X,O,X
ISOJTLZ,O,X,O,O,X,X,O
ISOJTZL,O,X,O,X,O,X,X
ISOJLTZ,O,X,O,O,X,X,O
ISOJLZT,O,X,X,O,O,X,X
ISOJZTL,O,X,X,X,O,X,X
ISOJZLT,O,X,X,O,O,X,X
ISOZTLJ,O,O,O,X,X,X,X
ISOZTJL,O,O,O,X,O,X,X
ISOZLTJ,O,X,O,X,X,O,X
ISOZLJT,O,X,X,X,X,O,X
ISOZJTL,O,O,X,X,O,X,X
ISOZJLT,O,X,X,X,O,O,X
IZTLJSO,X,O,O,X,X,X,X
IZTLJOS,X,O,O,X,X,X,X
IZTLSJO,O,O,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,X
IZTLOJS,X,O,X,X,X,X,X
IZTLOSJ,X,O,X,X,X,X,X
IZTJLSO,O,O,O,X,X,X,X
IZTJLOS,X,O,O,X,X,X,X
IZTJSLO,O,O,X,X,O,X,X
IZTJSOL,O,O,X,X,O,X,X
IZTJOLS,O,O,O,X,X,O,X
IZTJOSL,O,O,X,X,O,X,X
IZTSLJO,O,O,X,X,O,X,X
IZTSLOJ,O,O,X,X,X,X,X
