sequence,v115@QhB8EeA8BeC8BeF8Jei/IvhFRhBFjBzkBGmB0nB3qB,v115@QhB8EeA8BeC8BeF8Jem/IvhFChBxiB0kBlmBznB3qB,v115@QhB8EeA8BeC8BeF8Je/EJvhFRgBumBFjBKqBzqB0sB,v115@QhB8EeA8BeC8BeF8JeT/IvhFigBumBFjB0nBRqB3qB
TJSZLIO,O,O,O,X
TJSZLOI,O,O,O,X
TJSZOIL,O,O,O,X
TJSZOLI,O,O,O,X
TJSOILZ,O,O,O,O
TJSOIZL,O,O,O,X
TJSOLIZ,O,O,O,X
TJSOLZI,O,O,O,X
TJSOZIL,O,O,X,X
TJSOZLI,O,O,X,X
TJZILSO,O,O,O,O
TJZILOS,O,O,O,O
TJZISLO,O,O,O,O
TJZISOL,O,O,O,O
TJZIOLS,O,O,O,O
TJZIOSL,O,O,X,O
TJZLISO,O,O,O,O
TJZLIOS,O,O,O,O
TJZLSIO,O,O,O,X
TJZLSOI,O,O,O,X
TJZLOIS,O,O,O,O
TJZLOSI,O,O,O,X
TJZSILO,O,O,O,O
TJZSIOL,O,O,O,O
TJZSLIO,O,O,O,X
TJZSLOI,O,O,O,X
TJZSOIL,O,O,O,O
TJZSOLI,O,O,O,X
TJZOILS,O,O,O,O
TJZOISL,O,O,X,O
TJZOLIS,O,O,O,O
TJZOLSI,O,O,O,X
TJZOSIL,O,O,O,O
TJZOSLI,O,O,O,X
TJOILSZ,O,O,O,O
TJOILZS,O,O,X,O
TJOISLZ,O,O,X,O
TJOISZL,O,O,X,X
TJOIZLS,O,O,X,O
TJOIZSL,O,O,X,O
TJOLISZ,O,O,O,O
TJOLIZS,O,O,X,O
TJOLSIZ,O,O,O,X
TJOLSZI,X,O,O,X
TJOLZIS,O,O,O,X
TJOLZSI,O,O,O,X
TJOSILZ,O,O,O,O
TJOSIZL,O,O,O,X
TJOSLIZ,O,O,O,X
TJOSLZI,O,O,O,X
TJOSZIL,O,O,X,X
TJOSZLI,O,O,X,X
TJOZILS,O,O,O,O
TJOZISL,O,O,X,O
TJOZLIS,O,O,O,O
TJOZLSI,O,O,O,X
TJOZSIL,O,O,X,O
TJOZSLI,O,O,O,X
TSILJZO,O,O,O,X
TSILJOZ,O,X,O,O
TSILZJO,X,O,O,X
TSILZOJ,X,O,O,X
TSILOJZ,X,O,O,O
TSILOZJ,X,O,O,X
TSIJLZO,O,O,O,X
TSIJLOZ,O,X,O,O
TSIJZLO,O,O,O,X
TSIJZOL,O,O,O,X
TSIJOLZ,O,X,O,O
TSIJOZL,O,X,O,X
TSIZLJO,X,O,O,X
TSIZLOJ,X,O,O,X
TSIZJLO,X,O,O,X
TSIZJOL,X,O,O,X
TSIZOLJ,X,O,O,X
TSIZOJL,X,O,O,X
TSIOLJZ,O,O,O,O
TSIOLZJ,X,O,X,X
TSIOJLZ,O,O,O,O
TSIOJZL,O,O,O,X
TSIOZLJ,X,O,X,X
TSIOZJL,X,O,X,X
TSLIJZO,O,O,O,X
TSLIJOZ,O,X,O,X
TSLIZJO,X,O,O,X
TSLIZOJ,X,O,O,X
TSLIOJZ,X,O,O,X
TSLIOZJ,X,O,O,X
TSLJIZO,O,O,O,X
TSLJIOZ,O,X,O,X
TSLJZIO,O,O,O,X
TSLJZOI,O,O,O,X
TSLJOIZ,O,O,O,X
TSLJOZI,O,O,O,X
TSLZIJO,O,O,O,X
TSLZIOJ,O,O,O,X
TSLZJIO,O,O,O,X
TSLZJOI,O,O,O,X
TSLZOIJ,O,O,O,X
TSLZOJI,O,O,O,X
TSLOIJZ,O,O,O,X
TSLOIZJ,X,O,O,X
TSLOJIZ,O,O,O,X
TSLOJZI,O,O,O,X
TSLOZIJ,X,O,O,X
TSLOZJI,O,O,O,X
TSJILZO,O,O,O,X
TSJILOZ,O,X,O,O
TSJIZLO,O,O,O,X
TSJIZOL,O,O,O,X
TSJIOLZ,O,X,O,O
TSJIOZL,O,X,O,X
TSJLIZO,O,O,O,X
TSJLIOZ,O,X,O,X
TSJLZIO,O,O,O,X
TSJLZOI,O,O,O,X
TSJLOIZ,O,O,O,X
TSJLOZI,O,O,O,X
