sequence,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF0iB6oBmlBz?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF8mBfoB6oBm?lBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFXiB6oBmlBz?nBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFTiB6oBmlBf?sB8sBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBimBGoBX?oBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxiBimBGoB0?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFfnBxiBUmB+?sBToBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBXjB2rBS?tBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF0hBxiB2rBS?tBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF2mBfoB6oBF?qBxrBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFOmB8mBSoBF?qBxsB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFGjBRmBUoB3?mBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8Je2FJvhFRhBSoB3mBU?oBFqBTsB
TSIJZOL,O,O,X,O,X,O,X,X,X,O,X,X,X
TSIJOLZ,O,X,X,O,X,O,X,X,X,O,X,X,X
TSIJOZL,O,X,X,O,X,O,X,X,X,O,X,X,X
TSIZLJO,O,O,X,O,X,X,X,X,X,O,O,O,X
TSIZLOJ,O,O,X,O,X,X,X,X,X,O,O,X,X
TSIZJLO,O,O,X,O,X,X,X,X,X,O,O,O,X
TSIZJOL,O,O,X,O,X,X,X,X,X,O,O,X,X
TSIZOLJ,O,O,X,O,X,X,X,X,X,O,O,X,X
TSIZOJL,O,X,X,O,X,X,X,X,X,O,O,X,X
TSIOLJZ,O,X,X,X,X,O,X,X,X,O,X,X,X
TSIOLZJ,O,X,X,O,X,X,X,X,X,O,O,X,X
TSIOJLZ,O,X,X,X,X,O,X,X,X,O,X,X,X
TSIOJZL,O,X,X,X,X,O,X,X,X,O,X,X,X
TSIOZLJ,O,X,X,O,X,X,X,X,X,O,O,X,X
TSIOZJL,O,X,X,O,X,X,X,X,X,O,O,X,X
TSLIJZO,O,O,X,O,X,O,X,O,O,O,X,X,X
TSLIJOZ,O,X,X,O,O,O,X,O,O,O,X,X,X
TSLIZJO,O,O,X,O,O,X,X,O,X,O,X,O,X
TSLIZOJ,O,O,X,O,O,X,X,O,X,O,X,X,X
TSLIOJZ,O,X,X,X,O,O,X,O,O,O,X,X,X
TSLIOZJ,O,X,X,O,O,X,X,O,X,O,X,X,X
TSLJIZO,O,O,O,O,X,O,O,O,O,O,X,X,X
TSLJIOZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TSLJZIO,O,O,O,O,X,O,O,O,O,X,X,X,X
TSLJZOI,O,O,O,O,X,O,O,O,O,X,X,X,X
TSLJOIZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TSLJOZI,O,O,O,O,O,O,O,O,O,X,X,X,X
TSLZIJO,O,O,O,O,O,X,O,O,X,O,X,O,X
TSLZIOJ,O,O,O,O,O,X,O,O,X,O,X,X,X
TSLZJIO,O,O,O,O,O,O,O,O,X,X,X,O,X
TSLZJOI,O,O,O,O,O,O,O,O,X,X,X,X,X
TSLZOIJ,O,O,O,O,O,X,O,O,X,O,X,X,X
TSLZOJI,O,O,O,O,O,O,O,O,X,X,X,X,X
TSLOIJZ,O,X,O,X,O,O,X,O,O,O,X,X,X
TSLOIZJ,O,X,O,O,O,X,X,O,X,O,X,O,X
TSLOJIZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TSLOJZI,O,O,O,O,O,O,O,O,O,X,X,X,X
TSLOZIJ,O,O,O,O,O,X,X,O,X,O,X,O,X
TSLOZJI,O,O,O,O,O,O,O,O,X,X,X,O,X
TSJILZO,O,O,O,O,X,O,O,O,X,O,X,X,X
TSJILOZ,O,X,O,O,X,O,O,O,X,O,X,X,X
TSJIZLO,O,O,O,O,X,O,O,X,X,O,X,X,X
TSJIZOL,O,O,O,O,X,O,X,X,X,O,X,X,X
TSJIOLZ,O,X,O,O,X,O,O,O,X,O,X,X,X
TSJIOZL,O,X,O,O,X,O,O,X,X,O,X,X,X
TSJLIZO,O,O,O,O,X,O,O,O,O,O,X,X,X
TSJLIOZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TSJLZIO,O,O,O,O,X,O,O,O,O,X,X,X,X
TSJLZOI,O,O,O,O,X,O,O,O,O,X,X,X,X
TSJLOIZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TSJLOZI,O,O,O,O,O,O,O,O,O,X,X,X,X
TSJZILO,O,O,O,O,X,O,O,X,X,X,O,X,X
TSJZIOL,O,O,O,O,X,O,O,X,O,X,O,X,X
TSJZLIO,O,O,O,O,O,O,O,X,O,X,X,X,X
TSJZLOI,O,O,O,O,O,O,O,X,O,X,X,X,X
TSJZOIL,O,O,O,O,X,O,O,X,O,X,O,X,X
TSJZOLI,O,O,O,O,O,O,O,X,O,X,X,X,X
TSJOILZ,O,O,O,O,X,O,O,O,X,O,X,X,O
TSJOIZL,O,O,O,O,X,O,O,X,X,O,X,X,O
TSJOLIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TSJOLZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TSJOZIL,O,O,O,O,X,O,O,X,O,X,O,X,O
TSJOZLI,O,O,O,O,O,O,O,X,O,X,X,X,O
TSZILJO,O,O,O,O,X,X,O,X,X,O,O,O,X
TSZILOJ,O,O,O,O,X,X,O,X,X,O,O,X,X
TSZIJLO,O,O,O,O,X,X,O,X,X,O,O,O,X
TSZIJOL,O,O,O,O,X,X,O,X,X,O,O,X,X
TSZIOLJ,O,O,O,O,X,X,O,X,X,O,O,X,X
TSZIOJL,O,X,O,O,X,X,X,X,X,O,O,X,X
TSZLIJO,O,O,O,O,O,X,O,X,X,O,X,O,X
TSZLIOJ,O,O,O,O,O,X,O,X,X,O,X,X,X
TSZLJIO,O,O,O,O,O,O,O,X,X,X,X,O,X
TSZLJOI,O,O,O,O,O,O,O,X,X,X,X,X,X
TSZLOIJ,O,O,O,O,O,X,O,X,X,O,X,X,X
TSZLOJI,O,O,O,O,O,O,O,X,X,X,X,X,X
TSZJILO,O,O,O,O,X,O,O,X,X,X,O,O,X
TSZJIOL,O,O,O,O,X,O,O,X,X,X,O,X,X
TSZJLIO,O,O,O,O,O,O,O,X,X,X,X,O,X
TSZJLOI,O,O,O,O,O,O,O,X,X,X,X,X,X
TSZJOIL,O,O,O,O,X,O,O,X,X,X,O,X,X
TSZJOLI,O,O,O,O,O,O,O,X,X,X,X,X,X
TSZOILJ,O,O,O,O,X,X,O,X,X,O,O,X,X
TSZOIJL,O,X,O,O,X,X,X,X,X,O,O,X,X
TSZOLIJ,O,O,O,O,O,X,O,X,X,O,X,X,X
TSZOLJI,O,O,O,O,O,O,O,X,X,X,X,X,X
TSZOJIL,O,O,O,O,X,O,O,X,X,X,O,X,X
TSZOJLI,O,O,O,O,O,O,O,X,X,X,X,X,X
TSOILJZ,O,O,O,X,X,O,X,X,X,O,X,X,O
TSOILZJ,O,O,O,O,X,X,X,X,X,O,O,O,O
TSOIJLZ,O,O,O,X,X,O,O,X,X,O,X,X,O
TSOIJZL,O,O,O,X,X,O,O,X,X,O,X,X,O
TSOIZLJ,O,O,O,O,X,X,X,X,X,O,O,O,O
TSOIZJL,O,O,X,O,X,X,X,X,X,O,O,O,O
TSOLIJZ,O,O,O,X,O,O,X,O,O,O,X,X,O
TSOLIZJ,O,O,O,O,O,X,X,O,X,O,X,O,O
TSOLJIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TSOLJZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TSOLZIJ,O,O,O,O,O,X,X,O,X,O,X,O,O
TSOLZJI,O,O,O,O,O,O,O,O,X,X,X,O,O
TSOJILZ,O,O,O,O,X,O,O,O,X,O,X,X,O
TSOJIZL,O,O,O,O,X,O,O,X,X,O,X,X,O
TSOJLIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TSOJLZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TSOJZIL,O,O,O,O,X,O,O,X,O,X,O,X,O
TSOJZLI,O,O,O,O,O,O,O,X,O,X,X,X,O
TSOZILJ,O,O,O,O,X,X,X,X,X,O,O,O,O
TSOZIJL,O,O,X,O,X,X,X,X,X,O,O,O,O
TSOZLIJ,O,O,O,O,O,X,X,X,X,O,X,O,O
TSOZLJI,O,O,O,O,O,O,O,X,X,X,X,O,O
TSOZJIL,O,O,O,O,X,O,O,X,X,X,O,O,O
TSOZJLI,O,O,O,O,O,O,O,X,X,X,X,O,O
TZILJSO,X,X,O,O,O,X,O,X,X,X,O,O,X
TZILJOS,X,X,O,O,O,X,O,X,X,X,O,O,X
TZILSJO,X,O,O,O,O,X,O,X,X,X,O,O,X
TZILSOJ,X,O,O,O,O,X,O,X,X,X,O,X,X
TZILOJS,X,X,X,X,O,X,O,X,X,X,O,O,X
TZILOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
TZIJLSO,X,O,O,O,O,X,O,X,X,X,O,O,X
TZIJLOS,X,X,O,O,O,X,O,X,X,X,O,O,X
TZIJSLO,X,O,O,O,X,X,O,X,X,O,O,O,X
TZIJSOL,X,O,O,O,X,X,O,X,X,O,O,X,X
TZIJOLS,X,X,O,O,O,X,O,X,X,X,O,O,X
TZIJOSL,X,O,O,O,X,X,O,X,X,O,O,X,X
TZISLJO,X,O,O,O,X,X,O,X,X,O,O,O,X
TZISLOJ,X,O,O,O,X,X,O,X,X,O,O,X,X
TZISJLO,X,O,O,O,X,X,O,X,X,O,O,O,X
TZISJOL,X,O,O,O,X,X,O,X,X,O,O,X,X
TZISOLJ,X,O,O,O,X,X,O,X,X,O,O,X,X
TZISOJL,X,X,O,O,X,X,X,X,X,O,O,X,X
TZIOLJS,X,X,O,X,O,X,O,X,X,X,O,O,X
TZIOLSJ,X,X,O,X,O,X,X,X,X,X,O,X,X
TZIOJLS,X,X,O,X,O,X,O,X,X,X,O,O,X
TZIOJSL,X,X,O,X,X,X,O,X,X,O,O,X,X
TZIOSLJ,X,O,O,X,X,X,X,X,X,O,O,X,X
TZIOSJL,X,X,O,X,X,X,X,X,X,O,O,X,X
TZLIJSO,X,X,O,O,O,X,O,X,O,X,O,O,X
TZLIJOS,X,X,O,O,O,X,O,X,O,X,O,O,X
TZLISJO,X,O,O,O,O,X,O,X,X,X,O,O,X
TZLISOJ,X,O,O,O,O,X,O,X,X,X,O,X,X
TZLIOJS,X,X,X,X,O,X,O,X,O,X,O,O,X
TZLIOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
TZLJISO,O,O,O,O,O,X,O,O,O,X,O,O,X
TZLJIOS,O,X,O,O,O,O,O,O,O,X,O,O,X
TZLJSIO,O,O,O,O,O,X,O,O,O,X,X,O,X
TZLJSOI,O,O,O,O,O,X,O,O,O,X,X,X,X
TZLJOIS,O,X,O,O,O,O,O,O,O,X,O,O,X
TZLJOSI,O,X,O,O,O,O,O,O,O,X,X,X,X
TZLSIJO,O,O,O,O,O,X,O,O,X,O,X,O,X
TZLSIOJ,O,O,O,O,O,X,O,O,X,O,X,X,X
TZLSJIO,O,O,O,O,O,O,O,O,X,X,X,O,X
TZLSJOI,O,O,O,O,O,O,O,O,X,X,X,X,X
TZLSOIJ,O,O,O,O,O,X,O,O,X,O,X,X,X
TZLSOJI,O,O,O,O,O,O,O,O,X,X,X,X,X
TZLOIJS,O,X,O,X,O,X,O,X,O,X,O,O,X
TZLOISJ,O,X,O,X,O,X,X,X,X,X,O,O,X
TZLOJIS,O,X,O,O,O,O,O,O,O,X,O,O,X
TZLOJSI,O,X,O,O,O,O,O,O,O,X,X,O,X
TZLOSIJ,O,X,O,O,O,X,O,O,X,O,X,O,X
TZLOSJI,O,X,O,O,O,O,O,O,X,X,X,O,X
TZJILSO,O,O,O,O,O,X,O,O,O,X,O,O,X
TZJILOS,O,X,O,O,O,O,O,O,O,X,O,O,X
TZJISLO,O,O,O,O,X,O,O,X,X,X,O,O,X
TZJISOL,O,O,O,O,X,O,O,X,O,X,O,X,X
TZJIOLS,O,X,O,O,O,O,O,O,O,X,O,O,X
TZJIOSL,O,O,O,O,X,O,O,X,O,X,O,X,X
TZJLISO,O,O,O,O,O,X,O,O,O,X,O,O,X
TZJLIOS,O,X,O,O,O,O,O,O,O,X,O,O,X
TZJLSIO,O,O,O,O,O,X,O,O,O,X,X,O,X
TZJLSOI,O,O,O,O,O,X,O,O,O,X,X,X,X
TZJLOIS,O,X,O,O,O,O,O,O,O,X,O,O,X
TZJLOSI,O,X,O,O,O,O,O,O,O,X,X,X,X
TZJSILO,O,O,O,O,X,O,O,X,X,X,O,O,X
TZJSIOL,O,O,O,O,X,O,O,X,O,X,O,X,X
TZJSLIO,O,O,O,O,O,O,O,X,O,X,X,O,X
TZJSLOI,O,O,O,O,O,O,O,X,O,X,X,X,X
TZJSOIL,O,O,O,O,X,O,O,X,O,X,O,X,X
TZJSOLI,O,O,O,O,O,O,O,X,O,X,X,X,X
TZJOILS,O,O,O,O,O,O,O,O,O,X,O,O,X
TZJOISL,O,O,O,O,X,O,O,X,O,X,O,X,X
TZJOLIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TZJOLSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TZJOSIL,O,O,O,O,X,O,O,X,O,X,O,X,O
TZJOSLI,O,O,O,O,O,O,O,X,O,X,X,X,O
TZSILJO,O,O,O,O,X,X,O,X,X,O,O,O,X
TZSILOJ,O,O,O,O,X,X,O,X,X,O,O,X,X
TZSIJLO,O,O,O,O,X,X,O,X,X,O,O,O,X
TZSIJOL,O,O,O,O,X,X,O,X,X,O,O,X,X
TZSIOLJ,O,O,O,O,X,X,O,X,X,O,O,X,X
TZSIOJL,O,X,O,O,X,X,X,X,X,O,O,X,X
TZSLIJO,O,O,O,O,O,X,O,X,X,O,X,O,X
TZSLIOJ,O,O,O,O,O,X,O,X,X,O,X,X,X
TZSLJIO,O,O,O,O,O,O,O,X,X,X,X,O,X
TZSLJOI,O,O,O,O,O,O,O,X,X,X,X,X,X
TZSLOIJ,O,O,O,O,O,X,O,X,X,O,X,X,X
TZSLOJI,O,O,O,O,O,O,O,X,X,X,X,X,X
TZSJILO,O,O,O,O,X,O,O,X,X,X,O,O,X
TZSJIOL,O,O,O,O,X,O,O,X,X,X,O,X,X
TZSJLIO,O,O,O,O,O,O,O,X,X,X,X,O,X
TZSJLOI,O,O,O,O,O,O,O,X,X,X,X,X,X
TZSJOIL,O,O,O,O,X,O,O,X,X,X,O,X,X
TZSJOLI,O,O,O,O,O,O,O,X,X,X,X,X,X
TZSOILJ,O,O,O,O,X,X,O,X,X,O,O,X,X
TZSOIJL,O,X,O,O,X,X,X,X,X,O,O,X,X
TZSOLIJ,O,O,O,O,O,X,O,X,X,O,X,X,X
TZSOLJI,O,O,O,O,O,O,O,X,X,X,X,X,X
TZSOJIL,O,O,O,O,X,O,O,X,X,X,O,X,X
TZSOJLI,O,O,O,O,O,O,O,X,X,X,X,X,X
TZOILJS,O,X,O,X,O,X,O,X,X,X,O,O,X
TZOILSJ,O,O,O,X,O,X,X,X,X,X,O,O,X
TZOIJLS,O,O,O,X,O,X,O,X,X,X,O,O,X
TZOIJSL,O,O,O,X,X,X,O,X,X,O,O,O,X
TZOISLJ,O,O,O,X,X,X,X,X,X,O,O,O,X
TZOISJL,X,O,O,X,X,X,X,X,X,O,O,O,X
TZOLIJS,O,X,O,X,O,X,O,X,O,X,O,O,X
TZOLISJ,O,O,O,X,O,X,X,X,X,X,O,O,X
TZOLJIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TZOLJSI,O,O,O,O,O,O,O,O,O,X,X,O,O
TZOLSIJ,O,O,O,O,O,X,O,O,X,O,X,O,O
TZOLSJI,O,O,O,O,O,O,O,O,X,X,X,O,O
TZOJILS,O,O,O,O,O,O,O,O,O,X,O,O,X
TZOJISL,O,O,O,O,X,O,O,X,O,X,O,O,X
TZOJLIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TZOJLSI,O,O,O,O,O,O,O,O,O,X,X,O,O
TZOJSIL,O,O,O,O,X,O,O,X,O,X,O,O,O
TZOJSLI,O,O,O,O,O,O,O,X,O,X,X,O,O
TZOSILJ,O,O,O,O,X,X,O,X,X,O,O,O,O
TZOSIJL,X,O,O,O,X,X,X,X,X,O,O,O,O
TZOSLIJ,O,O,O,O,O,X,O,X,X,O,X,O,O
TZOSLJI,O,O,O,O,O,O,O,X,X,X,X,O,O
TZOSJIL,O,O,O,O,X,O,O,X,X,X,O,O,O
TZOSJLI,O,O,O,O,O,O,O,X,X,X,X,O,O
TOILJSZ,O,X,O,X,O,O,O,O,O,O,X,X,O
TOILJZS,O,X,O,X,O,O,O,O,O,X,O,O,X
TOILSJZ,X,X,O,X,O,O,X,O,O,O,X,X,O
TOILSZJ,O,X,O,X,O,X,X,O,X,O,O,O,O
TOILZJS,O,X,X,X,O,X,O,X,O,X,O,O,X
TOILZSJ,O,X,X,X,O,X,X,X,X,X,O,O,X
TOIJLSZ,O,X,O,X,O,O,O,O,O,O,X,X,O
TOIJLZS,O,X,O,X,O,O,O,O,O,X,O,O,X
TOIJSLZ,O,O,O,X,X,O,O,O,X,O,X,X,O
TOIJSZL,O,O,O,X,X,O,O,X,X,O,X,X,O
TOIJZLS,O,O,O,X,O,O,O,O,O,X,O,O,X
TOIJZSL,O,O,O,X,X,O,O,X,O,O,O,O,X
TOISLJZ,X,O,O,X,X,O,X,X,X,O,X,X,O
TOISLZJ,O,O,O,X,X,X,X,X,X,O,O,O,O
TOISJLZ,X,O,O,X,X,O,O,X,X,O,X,X,O
TOISJZL,X,O,O,X,X,O,O,X,X,O,X,X,O
TOISZLJ,O,O,O,X,X,X,X,X,X,O,O,O,O
TOISZJL,X,O,X,X,X,X,X,X,X,O,O,O,O
TOIZLJS,O,X,X,X,O,X,O,X,X,X,O,O,X
TOIZLSJ,O,O,X,X,O,X,X,X,X,X,O,O,X
TOIZJLS,O,O,X,X,O,X,O,X,X,X,O,O,X
TOIZJSL,O,O,X,X,X,X,O,X,X,O,O,O,X
TOIZSLJ,O,O,X,X,X,X,X,X,X,O,O,O,X
TOIZSJL,X,O,X,X,X,X,X,X,X,O,O,O,X
TOLIJSZ,O,X,O,X,O,O,O,O,O,O,X,X,O
TOLIJZS,O,X,O,X,O,O,O,O,O,X,O,O,X
TOLISJZ,X,X,O,X,O,O,X,O,O,O,X,X,O
TOLISZJ,O,X,O,X,O,X,X,O,X,O,O,O,O
TOLIZJS,O,X,X,X,O,X,O,X,O,X,O,O,X
TOLIZSJ,O,X,X,X,O,X,X,X,X,X,O,O,X
TOLJISZ,O,X,O,O,O,O,O,O,O,X,X,X,O
TOLJIZS,O,X,O,O,O,O,O,O,O,X,X,O,X
TOLJSIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TOLJSZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TOLJZIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TOLJZSI,O,O,O,O,O,O,O,O,O,X,X,O,O
TOLSIJZ,O,O,O,X,O,O,X,O,O,O,X,X,O
TOLSIZJ,O,O,O,O,O,X,X,O,X,O,X,O,O
TOLSJIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TOLSJZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TOLSZIJ,O,O,O,O,O,X,X,O,X,O,X,O,O
TOLSZJI,O,O,O,O,O,O,O,O,X,X,X,O,O
TOLZIJS,O,X,X,X,O,X,O,X,O,X,O,O,X
TOLZISJ,O,O,X,X,O,X,X,X,X,X,O,O,X
TOLZJIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TOLZJSI,O,O,O,O,O,O,O,O,O,X,X,O,O
TOLZSIJ,O,O,O,O,O,X,O,O,X,O,X,O,O
TOLZSJI,O,O,O,O,O,O,O,O,X,X,X,O,O
TOJILSZ,O,X,O,O,O,O,O,O,O,O,X,X,O
TOJILZS,O,X,O,O,O,O,O,O,O,X,O,O,X
TOJISLZ,O,O,O,O,X,O,O,O,X,O,X,X,O
TOJISZL,O,O,O,O,X,O,O,X,X,O,X,X,O
TOJIZLS,O,O,O,O,O,O,O,O,O,X,O,O,X
TOJIZSL,O,O,O,O,X,O,O,X,O,O,O,O,X
TOJLISZ,O,X,O,O,O,O,O,O,O,X,X,X,O
TOJLIZS,O,X,O,O,O,O,O,O,O,X,X,O,X
TOJLSIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TOJLSZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TOJLZIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TOJLZSI,O,O,O,O,O,O,O,O,O,X,X,O,O
TOJSILZ,O,O,O,O,X,O,O,O,X,O,X,X,O
TOJSIZL,O,O,O,O,X,O,O,X,X,O,X,X,O
TOJSLIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TOJSLZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TOJSZIL,O,O,O,O,X,O,O,X,O,X,O,X,O
TOJSZLI,O,O,O,O,O,O,O,X,O,X,X,X,O
TOJZILS,O,O,O,O,O,O,O,O,O,X,O,O,X
TOJZISL,O,O,O,O,X,O,O,X,O,X,O,O,X
TOJZLIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TOJZLSI,O,O,O,O,O,O,O,O,O,X,X,O,O
TOJZSIL,O,O,O,O,X,O,O,X,O,X,O,O,O
TOJZSLI,O,O,O,O,O,O,O,X,O,X,X,O,O
TOSILJZ,O,O,O,X,X,O,X,X,X,O,X,X,O
TOSILZJ,O,O,O,O,X,X,X,X,X,O,O,O,O
TOSIJLZ,O,O,O,X,X,O,O,X,X,O,X,X,O
TOSIJZL,O,O,O,X,X,O,O,X,X,O,X,X,O
TOSIZLJ,O,O,O,O,X,X,X,X,X,O,O,O,O
TOSIZJL,O,O,X,O,X,X,X,X,X,O,O,O,O
TOSLIJZ,O,O,O,X,O,O,X,O,O,O,X,X,O
TOSLIZJ,O,O,O,O,O,X,X,O,X,O,X,O,O
TOSLJIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TOSLJZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TOSLZIJ,O,O,O,O,O,X,X,O,X,O,X,O,O
TOSLZJI,O,O,O,O,O,O,O,O,X,X,X,O,O
TOSJILZ,O,O,O,O,X,O,O,O,X,O,X,X,O
TOSJIZL,O,O,O,O,X,O,O,X,X,O,X,X,O
TOSJLIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TOSJLZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TOSJZIL,O,O,O,O,X,O,O,X,O,X,O,X,O
TOSJZLI,O,O,O,O,O,O,O,X,O,X,X,X,O
TOSZILJ,O,O,O,O,X,X,X,X,X,O,O,O,O
TOSZIJL,O,O,X,O,X,X,X,X,X,O,O,O,O
TOSZLIJ,O,O,O,O,O,X,X,X,X,O,X,O,O
TOSZLJI,O,O,O,O,O,O,O,X,X,X,X,O,O
TOSZJIL,O,O,O,O,X,O,O,X,X,X,O,O,O
TOSZJLI,O,O,O,O,O,O,O,X,X,X,X,O,O
TOZILJS,O,X,O,X,O,X,O,X,X,X,O,O,X
TOZILSJ,O,O,O,X,O,X,X,X,X,X,O,O,X
TOZIJLS,O,O,O,X,O,X,O,X,X,X,O,O,X
TOZIJSL,O,O,O,X,X,X,O,X,X,O,O,O,X
TOZISLJ,O,O,O,X,X,X,X,X,X,O,O,O,X
TOZISJL,X,O,O,X,X,X,X,X,X,O,O,O,X
TOZLIJS,O,X,O,X,O,X,O,X,O,X,O,O,X
TOZLISJ,O,O,O,X,O,X,X,X,X,X,O,O,X
TOZLJIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TOZLJSI,O,O,O,O,O,O,O,O,O,X,X,O,O
TOZLSIJ,O,O,O,O,O,X,O,O,X,O,X,O,O
TOZLSJI,O,O,O,O,O,O,O,O,X,X,X,O,O
TOZJILS,O,O,O,O,O,O,O,O,O,X,O,O,X
TOZJISL,O,O,O,O,X,O,O,X,O,X,O,O,X
TOZJLIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TOZJLSI,O,O,O,O,O,O,O,O,O,X,X,O,O
TOZJSIL,O,O,O,O,X,O,O,X,O,X,O,O,O
TOZJSLI,O,O,O,O,O,O,O,X,O,X,X,O,O
TOZSILJ,O,O,O,O,X,X,O,X,X,O,O,O,O
TOZSIJL,X,O,O,O,X,X,X,X,X,O,O,O,O
TOZSLIJ,O,O,O,O,O,X,O,X,X,O,X,O,O
TOZSLJI,O,O,O,O,O,O,O,X,X,X,X,O,O
TOZSJIL,O,O,O,O,X,O,O,X,X,X,O,O,O
TOZSJLI,O,O,O,O,O,O,O,X,X,X,X,O,O
ITLJSZO,O,O,O,O,X,X,O,O,O,O,X,X,X
ITLJSOZ,O,X,O,O,O,O,O,O,O,O,X,X,X
ITLJZSO,O,X,O,O,O,X,O,O,O,X,O,O,X
ITLJZOS,O,X,O,O,O,O,O,O,O,X,O,O,X
ITLJOSZ,O,X,O,O,O,O,O,O,O,O,X,X,X
ITLJOZS,O,X,O,O,O,O,O,O,O,X,O,X,X
ITLSJZO,O,O,X,O,X,O,X,O,O,O,X,X,X
ITLSJOZ,O,X,X,O,O,O,X,O,O,O,X,X,X
ITLSZJO,O,O,X,O,O,X,X,O,X,O,O,O,X
ITLSZOJ,O,O,X,O,O,X,X,O,X,O,O,X,X
ITLSOJZ,O,X,X,X,O,O,X,O,O,O,X,X,X
ITLSOZJ,O,X,X,O,O,X,X,O,X,O,O,X,X
ITLZJSO,X,X,O,O,O,X,O,X,O,X,O,O,X
ITLZJOS,X,X,O,O,O,X,O,X,O,X,O,O,X
ITLZSJO,X,X,O,O,O,X,O,X,X,X,O,O,X
ITLZSOJ,X,X,O,O,O,X,O,X,X,X,O,X,X
ITLZOJS,X,X,X,X,O,X,O,X,O,X,O,O,X
ITLZOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
ITLOJSZ,O,X,O,X,O,O,O,O,O,O,X,X,X
ITLOJZS,O,X,O,X,O,O,O,O,O,X,O,O,X
ITLOSJZ,X,X,O,X,O,O,X,O,O,O,X,X,X
ITLOSZJ,O,X,O,X,O,X,X,O,X,O,O,O,X
ITLOZJS,O,X,X,X,O,X,O,X,O,X,O,O,X
ITLOZSJ,O,X,X,X,O,X,X,X,X,X,O,O,X
ITJLSZO,O,O,O,O,X,O,O,O,O,O,X,X,X
ITJLSOZ,O,X,O,O,O,O,O,O,O,O,X,X,X
ITJLZSO,O,O,O,O,X,X,O,O,O,X,O,O,X
ITJLZOS,O,X,O,O,O,O,O,O,O,X,O,O,X
ITJLOSZ,O,X,O,O,O,O,O,O,O,O,X,X,X
ITJLOZS,O,X,O,O,O,O,O,O,O,X,O,X,X
ITJSLZO,O,O,O,O,X,O,O,O,X,O,X,X,X
ITJSLOZ,O,X,O,O,X,O,O,O,X,O,X,X,X
ITJSZLO,O,O,O,O,X,O,O,X,X,O,X,X,X
ITJSZOL,O,O,O,O,X,O,X,X,X,O,X,X,X
ITJSOLZ,O,X,O,O,X,O,O,O,X,O,X,X,X
ITJSOZL,O,X,O,O,X,O,O,X,X,O,X,X,X
ITJZLSO,O,O,O,O,O,X,O,O,O,X,O,O,X
ITJZLOS,O,X,O,O,O,O,O,O,O,X,O,O,X
