sequence,v115@vhGZEJXhB8mBzkB+tBSvB2wB,v115@vhG5DJ2kBaoB3lBTpB0rBWyB,v115@vhGSDJZkBupB3lBToB0rBWyB,v115@vhG+/I5jBaoB/qBUmBTpBWyB,v115@vhG/CJTjBxkBipBUrB2xBGtB,v115@vhG/CJOoBxkB+tBipBUrBTsB,v115@vhGT5IOoBKpBUmB/sB+tBRwB,v115@vhGT5I5oBOpB8pBCmBXnB2wB,v115@vhGT5I5oBOpB8pBfrB6rBOsB,v115@vhGaGJ8mB5oB/pBznBWwB2xB,v115@vhG3/I6oBRnBTpB2vBmrBUtB
TSZLJIO,O,X,X,X,X,X,X,O,O,O,X
TSZLJOI,O,X,X,X,X,X,X,X,X,O,X
TSZLOIJ,O,X,X,O,X,X,X,X,X,X,X
TSZLOJI,O,X,X,O,X,X,X,X,X,X,X
TSZJILO,O,X,X,X,X,X,X,O,O,O,X
TSZJIOL,X,X,X,X,X,X,X,O,O,O,X
TSZJLIO,O,X,X,X,X,X,X,O,O,O,X
TSZJLOI,O,X,X,X,X,X,X,X,X,O,X
TSZJOIL,X,X,X,X,X,X,X,X,X,O,X
TSZJOLI,X,X,X,X,X,X,X,X,X,O,X
TSZOILJ,X,X,X,O,X,X,X,X,X,X,X
TSZOIJL,X,X,X,O,X,X,X,X,X,O,X
TSZOLIJ,X,X,X,O,X,X,X,X,X,X,X
TSZOLJI,X,X,X,O,X,X,X,X,X,X,X
TSZOJIL,X,X,X,O,X,X,X,X,X,O,X
TSZOJLI,X,X,X,O,X,X,X,X,X,O,X
TSOILJZ,X,X,X,O,X,X,X,X,X,X,X
TSOILZJ,X,X,X,O,X,X,X,X,X,X,X
TSOIJLZ,X,X,X,O,X,X,X,X,X,O,X
TSOIJZL,X,X,X,O,X,X,X,X,X,O,X
TSOIZLJ,X,X,X,O,X,X,X,X,X,X,X
TSOIZJL,X,X,X,O,X,X,X,X,X,O,X
TSOLIJZ,X,X,X,O,O,X,X,X,X,X,X
TSOLIZJ,X,X,X,O,X,X,X,X,X,X,X
TSOLJIZ,X,X,X,O,O,X,X,X,X,X,X
TSOLJZI,X,X,X,O,O,X,X,X,X,X,X
TSOLZIJ,X,X,X,O,X,X,X,X,X,X,X
TSOLZJI,X,X,X,O,X,X,X,X,X,X,X
TSOJILZ,X,X,X,O,X,X,X,X,X,O,X
TSOJIZL,X,X,X,O,X,X,X,X,X,O,X
TSOJLIZ,X,X,X,O,O,X,X,X,X,O,X
TSOJLZI,X,X,X,O,O,X,X,X,X,O,X
TSOJZIL,X,X,X,O,X,X,X,X,X,O,X
TSOJZLI,X,X,X,O,O,X,X,X,X,O,X
TSOZILJ,X,X,X,O,X,X,X,X,X,X,X
TSOZIJL,X,X,X,O,X,X,X,X,X,O,X
TSOZLIJ,X,X,X,O,X,X,X,X,X,X,X
TSOZLJI,X,X,X,O,X,X,X,X,X,X,X
TSOZJIL,X,X,X,O,X,X,X,X,X,O,X
TSOZJLI,X,X,X,O,X,X,X,X,X,O,X
TZILJSO,O,X,X,X,X,X,X,O,X,O,X
TZILJOS,O,X,X,X,X,X,X,O,X,O,O
TZILSJO,O,X,X,X,X,X,X,O,X,O,X
TZILSOJ,O,O,X,X,X,X,X,O,X,X,X
TZILOJS,O,O,X,X,X,X,X,O,X,X,O
TZILOSJ,O,O,X,X,X,X,X,O,X,X,O
TZIJLSO,O,X,X,X,X,X,X,O,X,O,X
TZIJLOS,O,X,X,X,X,X,X,O,X,O,O
TZIJSLO,O,X,X,X,X,X,X,O,O,O,X
TZIJSOL,X,X,O,X,X,X,X,O,O,O,X
TZIJOLS,X,X,O,X,X,X,X,O,X,O,O
TZIJOSL,X,X,O,X,X,X,X,O,O,O,O
TZISLJO,O,X,X,X,X,X,X,O,O,O,X
TZISLOJ,O,O,X,X,X,X,X,O,O,X,X
TZISJLO,O,X,X,X,X,X,X,O,O,O,X
TZISJOL,X,X,O,X,X,X,X,O,O,O,X
TZISOLJ,X,O,O,X,X,X,X,O,O,X,X
TZISOJL,X,O,O,X,X,X,X,O,O,O,X
TZIOLJS,X,O,O,X,X,X,X,O,X,X,O
TZIOLSJ,X,O,O,X,X,X,X,O,X,X,O
TZIOJLS,X,O,O,X,X,X,X,O,X,O,O
TZIOJSL,X,O,O,X,X,X,X,O,O,O,O
TZIOSLJ,X,O,O,X,X,X,X,O,O,X,O
TZIOSJL,X,O,O,X,X,X,X,O,O,O,O
TZLIJSO,O,X,X,X,O,X,X,O,X,O,X
TZLIJOS,O,X,X,X,O,O,X,O,X,O,O
TZLISJO,O,X,X,X,X,X,X,O,X,O,X
TZLISOJ,O,O,X,X,X,X,X,O,X,X,X
TZLIOJS,O,O,X,X,O,O,X,O,X,X,O
TZLIOSJ,O,O,X,X,X,O,X,O,X,X,O
TZLJISO,O,X,X,X,O,X,X,O,X,O,X
TZLJIOS,O,X,X,X,O,O,X,O,X,O,O
TZLJSIO,O,X,X,X,O,X,X,O,X,O,X
TZLJSOI,O,X,X,X,O,X,X,X,X,O,X
TZLJOIS,O,X,X,X,O,O,X,X,X,O,O
TZLJOSI,O,X,X,X,O,O,X,X,X,O,O
TZLSIJO,O,X,X,X,X,X,X,O,X,O,X
TZLSIOJ,O,O,X,X,X,X,X,O,X,X,X
TZLSJIO,O,X,X,X,X,X,X,O,X,O,X
TZLSJOI,O,X,X,X,X,X,X,X,X,O,X
TZLSOIJ,O,O,X,X,X,X,X,X,X,X,X
TZLSOJI,O,O,X,X,X,X,X,X,X,X,X
TZLOIJS,O,O,X,X,O,O,X,X,X,X,O
TZLOISJ,O,O,X,X,X,O,X,X,X,X,O
TZLOJIS,O,O,X,X,O,O,X,X,X,X,O
TZLOJSI,O,O,X,X,O,O,X,X,X,X,O
TZLOSIJ,O,O,X,X,X,O,X,X,X,X,O
TZLOSJI,O,O,X,X,X,O,X,X,X,X,O
TZJILSO,O,X,X,X,X,X,X,O,X,O,X
TZJILOS,O,X,X,X,X,X,X,O,X,O,O
TZJISLO,O,X,X,X,X,X,X,O,O,O,X
TZJISOL,X,X,O,X,X,X,X,O,O,O,X
TZJIOLS,X,X,O,X,X,X,X,O,X,O,O
TZJIOSL,X,X,O,X,X,X,X,O,O,O,O
TZJLISO,O,X,X,X,O,X,X,O,X,O,X
TZJLIOS,O,X,X,X,O,O,X,O,X,O,O
TZJLSIO,O,X,X,X,O,X,X,O,X,O,X
TZJLSOI,O,X,X,X,O,X,X,X,X,O,X
TZJLOIS,O,X,X,X,O,O,X,X,X,O,O
TZJLOSI,O,X,X,X,O,O,X,X,X,O,O
TZJSILO,O,X,X,X,X,X,X,O,O,O,X
TZJSIOL,X,X,O,X,X,X,X,O,O,O,X
TZJSLIO,O,X,X,X,O,X,X,O,O,O,X
TZJSLOI,O,X,X,X,O,X,X,X,X,O,X
TZJSOIL,X,X,O,X,X,X,X,X,X,O,X
TZJSOLI,X,X,O,X,O,X,X,X,X,O,X
TZJOILS,X,X,O,X,X,X,X,X,X,O,O
TZJOISL,X,X,O,X,X,X,X,X,X,O,O
TZJOLIS,X,X,O,X,O,O,X,X,X,O,O
TZJOLSI,X,X,O,X,O,O,X,X,X,O,O
TZJOSIL,X,X,O,X,X,X,X,X,X,O,O
TZJOSLI,X,X,O,X,O,O,X,X,X,O,O
TZSILJO,O,X,X,X,X,X,X,O,O,O,X
TZSILOJ,O,O,X,X,X,X,X,O,O,X,X
TZSIJLO,O,X,X,X,X,X,X,O,O,O,X
TZSIJOL,X,X,O,X,X,X,X,O,O,O,X
TZSIOLJ,X,O,O,X,X,X,X,O,O,X,X
TZSIOJL,X,O,O,X,X,X,X,O,O,O,X
TZSLIJO,O,X,X,X,X,X,X,O,O,O,X
TZSLIOJ,O,O,X,X,X,X,X,O,O,X,X
TZSLJIO,O,X,X,X,X,X,X,O,O,O,X
TZSLJOI,O,X,X,X,X,X,X,X,X,O,X
TZSLOIJ,O,O,X,X,X,X,X,X,X,X,X
TZSLOJI,O,O,X,X,X,X,X,X,X,X,X
TZSJILO,O,X,X,X,X,X,X,O,O,O,X
TZSJIOL,X,X,O,X,X,X,X,O,O,O,X
TZSJLIO,O,X,X,X,X,X,X,O,O,O,X
TZSJLOI,O,X,X,X,X,X,X,X,X,O,X
TZSJOIL,X,X,O,X,X,X,X,X,X,O,X
TZSJOLI,X,X,O,X,X,X,X,X,X,O,X
TZSOILJ,X,O,O,X,X,X,X,X,X,X,X
TZSOIJL,X,O,O,X,X,X,X,X,X,O,X
TZSOLIJ,X,O,O,X,X,X,X,X,X,X,X
TZSOLJI,X,O,O,X,X,X,X,X,X,X,X
TZSOJIL,X,O,O,X,X,X,X,X,X,O,X
TZSOJLI,X,O,O,X,X,X,X,X,X,O,X
TZOILJS,X,O,O,X,X,X,X,X,X,X,O
TZOILSJ,X,O,O,X,X,X,X,X,X,X,O
TZOIJLS,X,O,O,X,X,X,X,X,X,O,O
TZOIJSL,X,O,O,X,X,X,X,X,X,O,O
TZOISLJ,X,O,O,X,X,X,X,X,X,X,O
TZOISJL,X,O,O,X,X,X,X,X,X,O,O
TZOLIJS,X,O,O,X,O,O,X,X,X,X,O
TZOLISJ,X,O,O,X,X,O,X,X,X,X,O
TZOLJIS,X,O,O,X,O,O,X,X,X,X,O
TZOLJSI,X,O,O,X,O,O,X,X,X,X,O
TZOLSIJ,X,O,O,X,X,O,X,X,X,X,O
TZOLSJI,X,O,O,X,X,O,X,X,X,X,O
TZOJILS,X,O,O,X,X,X,X,X,X,O,O
TZOJISL,X,O,O,X,X,X,X,X,X,O,O
TZOJLIS,X,O,O,X,O,O,X,X,X,O,O
TZOJLSI,X,O,O,X,O,O,X,X,X,O,O
TZOJSIL,X,O,O,X,X,X,X,X,X,O,O
TZOJSLI,X,O,O,X,O,O,X,X,X,O,O
TZOSILJ,X,O,O,X,X,X,X,X,X,X,O
TZOSIJL,X,O,O,X,X,X,X,X,X,O,O
TZOSLIJ,X,O,O,X,X,O,X,X,X,X,O
TZOSLJI,X,O,O,X,X,O,X,X,X,X,O
TZOSJIL,X,O,O,X,X,X,X,X,X,O,O
TZOSJLI,X,O,O,X,X,O,X,X,X,O,O
TOILJSZ,X,X,X,O,X,X,X,X,X,X,X
TOILJZS,X,O,O,X,X,X,X,X,X,X,X
TOILSJZ,X,X,X,O,X,X,X,X,X,X,X
TOILSZJ,X,X,X,O,X,X,X,X,X,X,X
TOILZJS,X,O,O,X,X,X,X,X,X,X,X
TOILZSJ,X,O,O,X,X,X,X,X,X,X,X
TOIJLSZ,X,X,X,O,X,X,X,X,X,O,X
TOIJLZS,X,O,O,X,X,X,X,X,X,O,X
TOIJSLZ,X,X,X,O,X,X,X,X,X,O,X
TOIJSZL,X,X,X,O,X,X,X,X,X,O,X
TOIJZLS,X,O,O,X,X,X,X,X,X,O,X
TOIJZSL,X,O,O,X,X,X,X,X,X,O,X
TOISLJZ,X,X,X,O,X,X,X,X,X,X,X
TOISLZJ,X,X,X,O,X,X,X,X,X,X,X
TOISJLZ,X,X,X,O,X,X,X,X,X,O,X
TOISJZL,X,X,X,O,X,X,X,X,X,O,X
TOISZLJ,X,X,X,O,X,X,X,X,X,X,X
TOISZJL,X,X,X,O,X,X,X,X,X,O,X
TOIZLJS,X,O,O,X,X,X,X,X,X,X,X
TOIZLSJ,X,O,O,X,X,X,X,X,X,X,X
TOIZJLS,X,O,O,X,X,X,X,X,X,O,X
TOIZJSL,X,O,O,X,X,X,X,X,X,O,X
TOIZSLJ,X,O,O,X,X,X,X,X,X,X,X
TOIZSJL,X,O,O,X,X,X,X,X,X,O,X
TOLIJSZ,X,X,X,O,O,O,X,X,X,X,X
TOLIJZS,X,O,O,X,O,O,X,X,X,X,X
TOLISJZ,X,X,X,O,O,O,X,X,X,X,X
TOLISZJ,X,X,X,O,X,O,X,X,X,X,X
TOLIZJS,X,O,O,X,O,O,X,X,X,X,X
TOLIZSJ,X,O,O,X,X,O,X,X,X,X,X
TOLJISZ,X,X,X,O,O,O,X,X,X,X,X
TOLJIZS,X,O,O,X,O,O,X,X,X,X,X
TOLJSIZ,X,X,X,O,O,O,X,X,X,X,X
TOLJSZI,X,X,X,O,O,O,X,X,X,X,X
TOLJZIS,X,O,O,X,O,O,X,X,X,X,X
TOLJZSI,X,O,O,X,O,O,X,X,X,X,X
TOLSIJZ,X,X,X,O,O,O,X,X,X,X,X
TOLSIZJ,X,X,X,O,X,O,X,X,X,X,X
TOLSJIZ,X,X,X,O,O,O,X,X,X,X,X
TOLSJZI,X,X,X,O,O,O,X,X,X,X,X
TOLSZIJ,X,X,X,O,X,O,X,X,X,X,X
TOLSZJI,X,X,X,O,X,O,X,X,X,X,X
TOLZIJS,X,O,O,X,O,O,X,X,X,X,X
TOLZISJ,X,O,O,X,X,O,X,X,X,X,X
TOLZJIS,X,O,O,X,O,O,X,X,X,X,X
TOLZJSI,X,O,O,X,O,O,X,X,X,X,X
TOLZSIJ,X,O,O,X,X,O,X,X,X,X,X
TOLZSJI,X,O,O,X,X,O,X,X,X,X,X
TOJILSZ,X,X,X,O,X,X,X,X,X,O,X
TOJILZS,X,O,O,X,X,X,X,X,X,O,X
TOJISLZ,X,X,X,O,X,X,X,X,X,O,X
TOJISZL,X,X,X,O,X,X,X,X,X,O,X
TOJIZLS,X,O,O,X,X,X,X,X,X,O,X
TOJIZSL,X,O,O,X,X,X,X,X,X,O,X
TOJLISZ,X,X,X,O,O,O,X,X,X,O,X
TOJLIZS,X,O,O,X,O,O,X,X,X,O,X
TOJLSIZ,X,X,X,O,O,O,X,X,X,O,X
TOJLSZI,X,X,X,O,O,O,X,X,X,O,X
TOJLZIS,X,O,O,X,O,O,X,X,X,O,X
TOJLZSI,X,O,O,X,O,O,X,X,X,O,X
TOJSILZ,X,X,X,O,X,X,X,X,X,O,X
TOJSIZL,X,X,X,O,X,X,X,X,X,O,X
TOJSLIZ,X,X,X,O,O,O,X,X,X,O,X
TOJSLZI,X,X,X,O,O,O,X,X,X,O,X
TOJSZIL,X,X,X,O,X,X,X,X,X,O,O
TOJSZLI,X,X,X,O,O,O,X,X,X,O,O
TOJZILS,X,O,O,X,X,X,X,X,X,O,O
TOJZISL,X,O,O,X,X,X,X,X,X,O,O
TOJZLIS,X,O,O,X,O,O,X,X,X,O,O
TOJZLSI,X,O,O,X,O,O,X,X,X,O,O
TOJZSIL,X,O,O,X,X,X,X,X,X,O,O
TOJZSLI,X,O,O,X,O,O,X,X,X,O,O
TOSILJZ,X,X,X,O,X,X,X,X,X,X,X
TOSILZJ,X,X,X,O,X,X,X,X,X,X,X
TOSIJLZ,X,X,X,O,X,X,X,X,X,O,X
TOSIJZL,X,X,X,O,X,X,X,X,X,O,X
TOSIZLJ,X,X,X,O,X,X,X,X,X,X,X
TOSIZJL,X,X,X,O,X,X,X,X,X,O,X
TOSLIJZ,X,X,X,O,O,O,X,X,X,X,X
TOSLIZJ,X,X,X,O,X,O,X,X,X,X,X
TOSLJIZ,X,X,X,O,O,O,X,X,X,X,X
TOSLJZI,X,X,X,O,O,O,X,X,X,X,X
TOSLZIJ,X,X,X,O,X,O,X,X,X,X,X
TOSLZJI,X,X,X,O,X,O,X,X,X,X,X
TOSJILZ,X,X,X,O,X,X,X,X,X,O,X
TOSJIZL,X,X,X,O,X,X,X,X,X,O,X
TOSJLIZ,X,X,X,O,O,O,X,X,X,O,X
TOSJLZI,X,X,X,O,O,O,X,X,X,O,X
TOSJZIL,X,X,X,O,X,X,X,X,X,O,O
TOSJZLI,X,X,X,O,O,O,X,X,X,O,O
TOSZILJ,X,X,X,O,X,X,X,X,X,X,O
TOSZIJL,X,X,X,O,X,X,X,X,X,O,O
TOSZLIJ,X,X,X,O,X,O,X,X,X,X,O
TOSZLJI,X,X,X,O,X,O,X,X,X,X,O
TOSZJIL,X,X,X,O,X,X,X,X,X,O,O
TOSZJLI,X,X,X,O,X,O,X,X,X,O,O
TOZILJS,X,O,O,X,X,X,X,X,X,X,O
TOZILSJ,X,O,O,X,X,X,X,X,X,X,O
TOZIJLS,X,O,O,X,X,X,X,X,X,O,O
TOZIJSL,X,O,O,X,X,X,X,X,X,O,O
TOZISLJ,X,O,O,X,X,X,X,X,X,X,O
TOZISJL,X,O,O,X,X,X,X,X,X,O,O
TOZLIJS,X,O,O,X,O,O,X,X,X,X,O
TOZLISJ,X,O,O,X,X,O,X,X,X,X,O
TOZLJIS,X,O,O,X,O,O,X,X,X,X,O
TOZLJSI,X,O,O,X,O,O,X,X,X,X,O
TOZLSIJ,X,O,O,X,X,O,X,X,X,X,O
TOZLSJI,X,O,O,X,X,O,X,X,X,X,O
TOZJILS,X,O,O,X,X,X,X,X,X,O,O
TOZJISL,X,O,O,X,X,X,X,X,X,O,O
TOZJLIS,X,O,O,X,O,O,X,X,X,O,O
TOZJLSI,X,O,O,X,O,O,X,X,X,O,O
TOZJSIL,X,O,O,X,X,X,X,X,X,O,O
TOZJSLI,X,O,O,X,O,O,X,X,X,O,O
TOZSILJ,X,O,O,X,X,X,X,X,X,X,O
TOZSIJL,X,O,O,X,X,X,X,X,X,O,O
TOZSLIJ,X,O,O,X,X,O,X,X,X,X,O
TOZSLJI,X,O,O,X,X,O,X,X,X,X,O
TOZSJIL,X,O,O,X,X,X,X,X,X,O,O
TOZSJLI,X,O,O,X,X,O,X,X,X,O,O
ITLJSZO,O,X,X,X,X,X,O,X,X,O,X
ITLJSOZ,O,X,X,X,X,X,O,X,X,O,X
ITLJZSO,O,X,X,X,X,X,O,X,X,O,X
ITLJZOS,O,X,X,X,X,X,O,X,X,O,X
ITLJOSZ,O,X,X,X,X,X,O,X,X,O,X
ITLJOZS,O,X,X,X,X,X,O,X,X,O,X
ITLSJZO,O,X,X,X,X,X,O,X,X,O,X
ITLSJOZ,O,X,X,X,X,X,O,X,X,O,X
ITLSZJO,O,X,X,X,X,X,O,O,O,O,X
ITLSZOJ,O,X,X,O,X,X,X,O,O,X,X
ITLSOJZ,O,X,X,O,X,X,X,X,X,X,X
ITLSOZJ,O,X,X,O,X,X,X,O,O,X,X
ITLZJSO,O,X,X,X,X,X,O,O,X,O,X
ITLZJOS,O,X,X,X,X,X,O,O,X,O,X
ITLZSJO,O,X,X,X,X,X,O,O,X,O,X
ITLZSOJ,O,O,X,X,X,X,X,O,X,X,X
ITLZOJS,O,O,X,X,X,X,X,O,X,X,X
ITLZOSJ,O,O,X,X,X,X,X,O,X,X,X
ITLOJSZ,O,X,X,O,X,X,X,X,X,X,X
ITLOJZS,O,O,X,X,X,X,X,X,X,X,X
ITLOSJZ,O,X,X,O,X,X,X,X,X,X,X
ITLOSZJ,O,X,X,O,X,X,X,O,O,X,X
ITLOZJS,O,O,X,X,X,X,X,O,X,X,X
ITLOZSJ,O,O,X,X,X,X,X,O,X,X,X
ITJLSZO,O,X,X,X,X,X,O,X,X,O,X
ITJLSOZ,O,X,X,X,X,X,O,X,X,O,X
ITJLZSO,O,X,X,X,X,X,O,X,X,O,X
ITJLZOS,O,X,X,X,X,X,O,X,X,O,X
ITJLOSZ,O,X,X,X,X,X,O,X,X,O,X
ITJLOZS,O,X,X,X,X,X,O,X,X,O,X
ITJSLZO,O,X,X,X,X,X,O,X,X,O,X
ITJSLOZ,O,X,X,X,X,X,O,X,X,O,X
ITJSZLO,O,X,X,X,X,X,O,O,X,O,X
ITJSZOL,X,X,X,X,X,X,O,O,X,O,X
ITJSOLZ,X,X,X,X,X,X,O,X,X,O,X
ITJSOZL,X,X,X,X,X,X,O,O,X,O,X
ITJZLSO,O,X,X,X,X,X,O,O,X,O,X
ITJZLOS,O,X,X,X,X,X,O,O,X,O,X
ITJZSLO,O,X,X,X,X,X,O,O,O,O,X
ITJZSOL,X,X,O,X,X,X,O,O,O,O,X
ITJZOLS,X,X,O,X,X,X,O,O,X,O,X
ITJZOSL,X,X,O,X,X,X,O,O,O,O,X
ITJOLSZ,X,X,X,X,X,X,O,X,X,O,X
ITJOLZS,X,X,O,X,X,X,O,X,X,O,X
ITJOSLZ,X,X,X,X,X,X,O,X,X,O,X
ITJOSZL,X,X,X,X,X,X,O,O,X,O,X
ITJOZLS,X,X,O,X,X,X,O,O,X,O,X
ITJOZSL,X,X,O,X,X,X,O,O,O,O,X
ITSLJZO,O,X,X,X,X,X,O,X,X,O,X
ITSLJOZ,O,X,X,X,X,X,O,X,X,O,X
ITSLZJO,O,X,X,X,X,X,O,O,O,O,X
ITSLZOJ,O,X,X,O,X,X,X,O,O,X,X
ITSLOJZ,O,X,X,O,X,X,X,X,X,X,X
ITSLOZJ,O,X,X,O,X,X,X,O,O,X,X
ITSJLZO,O,X,X,X,X,X,O,X,X,O,X
ITSJLOZ,O,X,X,X,X,X,O,X,X,O,X
ITSJZLO,O,X,X,X,X,X,O,O,X,O,X
ITSJZOL,X,X,X,X,X,X,O,O,X,O,X
ITSJOLZ,X,X,X,X,X,X,O,X,X,O,X
ITSJOZL,X,X,X,X,X,X,O,O,X,O,X
ITSZLJO,O,X,X,X,X,X,O,O,O,O,X
ITSZLOJ,O,X,X,O,X,X,X,O,O,X,X
ITSZJLO,O,X,X,X,X,X,O,O,O,O,X
ITSZJOL,X,X,X,X,X,X,O,O,O,O,X
ITSZOLJ,X,X,X,O,X,X,X,O,O,X,X
ITSZOJL,X,X,X,O,X,X,X,O,O,O,X
ITSOLJZ,X,X,X,O,X,X,X,X,X,X,X
ITSOLZJ,X,X,X,O,X,X,X,O,O,X,X
ITSOJLZ,X,X,X,O,X,X,X,X,X,O,X
ITSOJZL,X,X,X,O,X,X,X,O,X,O,X
ITSOZLJ,X,X,X,O,X,X,X,O,O,X,X
ITSOZJL,X,X,X,O,X,X,X,O,O,O,X
ITZLJSO,O,X,X,X,X,X,O,O,X,O,X
ITZLJOS,O,X,X,X,X,X,O,O,X,O,X
ITZLSJO,O,X,X,X,X,X,O,O,X,O,X
ITZLSOJ,O,O,X,X,X,X,X,O,X,X,X
ITZLOJS,O,O,X,X,X,X,X,O,X,X,X
ITZLOSJ,O,O,X,X,X,X,X,O,X,X,X
ITZJLSO,O,X,X,X,X,X,O,O,X,O,X
ITZJLOS,O,X,X,X,X,X,O,O,X,O,X
ITZJSLO,O,X,X,X,X,X,O,O,O,O,X
ITZJSOL,X,X,O,X,X,X,O,O,O,O,X
ITZJOLS,X,X,O,X,X,X,O,O,X,O,X
ITZJOSL,X,X,O,X,X,X,O,O,O,O,X
ITZSLJO,O,X,X,X,X,X,O,O,O,O,X
ITZSLOJ,O,O,X,X,X,X,X,O,O,X,X
ITZSJLO,O,X,X,X,X,X,O,O,O,O,X
ITZSJOL,X,X,O,X,X,X,O,O,O,O,X
ITZSOLJ,X,O,O,X,X,X,X,O,O,X,X
ITZSOJL,X,O,O,X,X,X,X,O,O,O,X
ITZOLJS,X,O,O,X,X,X,X,O,X,X,X
ITZOLSJ,X,O,O,X,X,X,X,O,X,X,X
ITZOJLS,X,O,O,X,X,X,X,O,X,O,X
ITZOJSL,X,O,O,X,X,X,X,O,O,O,X
ITZOSLJ,X,O,O,X,X,X,X,O,O,X,X
ITZOSJL,X,O,O,X,X,X,X,O,O,O,X
ITOLJSZ,X,X,X,O,X,X,X,X,X,X,X
ITOLJZS,X,O,O,X,X,X,X,X,X,X,X
ITOLSJZ,X,X,X,O,X,X,X,X,X,X,X
ITOLSZJ,X,X,X,O,X,X,X,O,O,X,X
ITOLZJS,X,O,O,X,X,X,X,O,X,X,X
ITOLZSJ,X,O,O,X,X,X,X,O,X,X,X
ITOJLSZ,X,X,X,O,X,X,X,X,X,O,X
ITOJLZS,X,O,O,X,X,X,X,X,X,O,X
ITOJSLZ,X,X,X,O,X,X,X,X,X,O,X
ITOJSZL,X,X,X,O,X,X,X,O,X,O,X
ITOJZLS,X,O,O,X,X,X,X,O,X,O,X
ITOJZSL,X,O,O,X,X,X,X,O,O,O,X
ITOSLJZ,X,X,X,O,X,X,X,X,X,X,X
ITOSLZJ,X,X,X,O,X,X,X,O,O,X,X
ITOSJLZ,X,X,X,O,X,X,X,X,X,O,X
ITOSJZL,X,X,X,O,X,X,X,O,X,O,X
ITOSZLJ,X,X,X,O,X,X,X,O,O,X,X
ITOSZJL,X,X,X,O,X,X,X,O,O,O,X
ITOZLJS,X,O,O,X,X,X,X,O,X,X,X
ITOZLSJ,X,O,O,X,X,X,X,O,X,X,X
ITOZJLS,X,O,O,X,X,X,X,O,X,O,X
ITOZJSL,X,O,O,X,X,X,X,O,O,O,X
ITOZSLJ,X,O,O,X,X,X,X,O,O,X,X
ITOZSJL,X,O,O,X,X,X,X,O,O,O,X
ILTJSZO,O,X,X,X,O,X,O,X,X,O,X
ILTJSOZ,O,X,X,X,O,X,O,X,X,O,X
ILTJZSO,O,X,X,X,O,X,O,X,X,O,X
ILTJZOS,O,X,X,X,O,O,O,X,X,O,X
ILTJOSZ,O,X,X,X,O,O,O,X,X,O,X
ILTJOZS,O,X,X,X,O,O,O,X,X,O,X
ILTSJZO,O,X,X,X,O,X,O,X,X,O,X
ILTSJOZ,O,X,X,X,O,X,O,X,X,O,X
ILTSZJO,O,X,X,X,X,X,O,O,O,O,X
ILTSZOJ,O,X,X,O,X,X,X,O,O,X,X
ILTSOJZ,O,X,X,O,O,X,X,X,X,X,X
ILTSOZJ,O,X,X,O,X,X,X,O,O,X,X
ILTZJSO,O,X,X,X,O,X,O,O,X,O,X
ILTZJOS,O,X,X,X,O,O,O,O,X,O,X
ILTZSJO,O,X,X,X,X,X,O,O,X,O,X
ILTZSOJ,O,O,X,X,X,X,X,O,X,X,X
ILTZOJS,O,O,X,X,O,O,X,O,X,X,X
ILTZOSJ,O,O,X,X,X,O,X,O,X,X,X
ILTOJSZ,O,X,X,O,O,O,X,X,X,X,X
ILTOJZS,O,O,X,X,O,O,X,X,X,X,X
ILTOSJZ,O,X,X,O,O,O,X,X,X,X,X
ILTOSZJ,O,X,X,O,X,O,X,O,O,X,X
ILTOZJS,O,O,X,X,O,O,X,O,X,X,X
ILTOZSJ,O,O,X,X,X,O,X,O,X,X,X
ILJTSZO,O,X,X,X,O,X,O,X,X,O,X
ILJTSOZ,O,X,X,X,O,X,O,X,X,O,X
ILJTZSO,O,X,X,X,O,X,O,X,X,O,X
ILJTZOS,O,X,X,X,O,O,O,X,X,O,X
ILJTOSZ,O,X,X,X,O,O,O,X,X,O,X
ILJTOZS,O,X,X,X,O,O,O,X,X,O,X
ILJSTZO,O,X,X,X,O,X,O,X,X,O,X
ILJSTOZ,O,X,X,X,O,X,O,X,X,O,X
ILJSZTO,O,X,X,X,O,X,O,O,O,O,X
ILJSZOT,O,X,X,O,O,O,O,O,O,O,X
ILJSOTZ,O,X,X,O,O,O,O,X,X,O,X
ILJSOZT,O,X,X,O,O,O,O,O,O,O,X
ILJZTSO,O,X,X,X,O,X,O,O,X,O,X
ILJZTOS,O,X,X,X,O,O,O,O,X,O,X
ILJZSTO,O,X,X,X,O,X,O,O,O,O,X
ILJZSOT,O,O,O,X,O,O,O,O,O,O,X
ILJZOTS,O,O,O,X,O,O,O,O,X,O,X
ILJZOST,O,O,O,X,O,O,O,O,O,O,X
ILJOTSZ,O,X,X,O,O,O,O,X,X,O,X
ILJOTZS,O,O,O,X,O,O,O,X,X,O,X
ILJOSTZ,O,X,X,O,O,O,O,X,X,O,X
ILJOSZT,O,O,O,O,O,O,O,O,O,O,X
ILJOZTS,O,O,O,X,O,O,O,O,X,O,X
ILJOZST,O,O,O,O,O,O,O,O,O,O,X
ILSTJZO,O,X,X,X,O,X,O,X,X,O,X
ILSTJOZ,O,X,X,X,O,X,O,X,X,O,X
ILSTZJO,O,X,X,X,X,X,O,O,O,O,X
ILSTZOJ,O,X,X,O,X,X,X,O,O,X,X
ILSTOJZ,O,X,X,O,O,X,X,X,X,X,X
