sequence,v115@MhB8HeB8BeB8CeF8Jel/IvhFRhBunBcoB/pBKqBzqB,v115@MhB8HeB8BeB8CeF8JeT/IvhF2lBRhBCjBXoB0pBlqB,v115@MhB8HeB8BeB8CeF8Jei/IvhFRhBGjB1pB8qBznBXqB,v115@MhB8HeB8BeB8CeF8Jel/IvhFRhBqnBTjB2pB8qBXqB,v115@MhB8HeB8BeB8CeF8JeRBJvhFqnBTjB/pBFlB8qBmpB,v115@MhB8HeB8BeB8CeF8JeRBJvhFCjB2pBzlBXoBUqBlpB,v115@MhB8HeB8BeB8CeF8JeKEJvhFRhBWoBFlB8qBXoBzpB
IZTOLJS,O,O,O,X,X,X,X
IZTOLSJ,O,O,O,X,X,X,X
IZTOJLS,O,O,O,X,X,X,X
IZTOJSL,O,O,O,X,X,X,X
IZTOSLJ,O,O,O,X,X,X,X
IZTOSJL,O,O,O,X,X,X,X
IZLTJSO,O,O,O,O,X,X,O
IZLTJOS,X,O,O,O,X,X,O
IZLTSJO,O,O,O,X,O,X,O
IZLTSOJ,O,O,O,X,O,X,X
IZLTOJS,X,O,O,O,X,X,O
IZLTOSJ,X,O,O,X,O,X,X
IZLJTSO,O,X,O,O,X,X,O
IZLJTOS,X,X,O,O,X,X,O
IZLJSTO,O,X,X,O,O,X,O
IZLJSOT,O,X,X,O,O,X,X
IZLJOTS,O,X,X,O,X,X,O
IZLJOST,O,X,X,O,O,X,X
IZLSTJO,O,O,X,X,O,X,O
IZLSTOJ,O,O,X,X,O,X,X
IZLSJTO,O,O,X,O,O,X,O
IZLSJOT,O,X,X,O,O,X,X
IZLSOTJ,O,O,X,X,O,X,X
IZLSOJT,O,X,X,O,O,X,X
IZLOTJS,O,X,O,O,X,X,O
IZLOTSJ,O,X,O,X,O,X,X
IZLOJTS,O,X,O,O,X,X,O
IZLOJST,O,X,X,O,O,X,X
IZLOSTJ,O,X,X,X,O,X,X
IZLOSJT,O,X,X,O,O,X,X
IZJTLSO,O,O,O,O,X,X,O
IZJTLOS,X,O,O,O,X,X,O
IZJTSLO,O,O,O,O,X,X,X
IZJTSOL,O,O,X,X,X,X,X
IZJTOLS,O,O,O,O,X,X,X
IZJTOSL,O,O,O,X,X,X,X
IZJLTSO,O,X,O,O,X,X,O
IZJLTOS,X,X,O,O,X,X,O
IZJLSTO,O,X,X,O,O,X,O
IZJLSOT,O,X,X,O,O,X,X
IZJLOTS,O,X,X,O,X,X,O
IZJLOST,O,X,X,O,O,X,X
IZJSTLO,O,O,O,O,O,X,X
IZJSTOL,O,O,X,X,X,X,X
IZJSLTO,O,O,X,O,O,X,O
IZJSLOT,O,X,X,O,O,X,X
IZJSOTL,O,X,X,X,X,X,X
IZJSOLT,O,X,X,X,X,X,X
IZJOTLS,O,X,O,O,X,X,X
IZJOTSL,O,X,O,X,X,X,X
IZJOLTS,O,X,O,O,X,X,O
IZJOLST,O,X,X,O,X,X,X
IZJOSTL,O,X,O,X,X,X,X
IZJOSLT,O,X,X,X,X,X,X
IZSTLJO,O,O,O,X,O,X,X
IZSTLOJ,O,O,O,X,O,X,X
IZSTJLO,O,O,O,X,O,X,X
IZSTJOL,O,O,X,X,X,X,X
IZSTOLJ,X,O,O,X,O,X,X
IZSTOJL,O,O,O,X,X,X,X
IZSLTJO,O,O,X,X,O,X,O
IZSLTOJ,O,O,X,X,O,X,X
IZSLJTO,O,O,X,O,O,X,O
IZSLJOT,O,X,X,O,O,X,X
IZSLOTJ,O,O,X,X,O,X,X
IZSLOJT,O,X,X,O,O,O,X
IZSJTLO,O,O,O,O,O,X,X
IZSJTOL,O,O,X,X,X,X,X
IZSJLTO,O,O,X,O,O,X,O
IZSJLOT,O,X,X,O,O,X,X
IZSJOTL,O,X,X,X,X,X,X
IZSJOLT,O,X,X,X,X,X,X
IZSOTLJ,O,O,O,X,O,X,X
IZSOTJL,O,O,O,X,X,X,X
IZSOLTJ,O,O,X,X,O,X,X
IZSOLJT,O,X,X,X,O,O,X
IZSOJTL,O,X,O,X,X,O,X
IZSOJLT,O,X,X,X,X,O,X
IZOTLJS,O,O,O,X,X,X,X
IZOTLSJ,O,O,O,X,X,X,X
IZOTJLS,O,O,O,X,X,X,X
IZOTJSL,O,O,O,X,X,X,X
IZOTSLJ,O,O,O,X,X,X,X
IZOTSJL,O,O,O,X,X,X,X
IZOLTJS,O,X,O,O,X,X,O
IZOLTSJ,O,X,O,X,O,X,X
IZOLJTS,O,X,O,O,X,X,O
IZOLJST,O,X,X,O,O,X,X
IZOLSTJ,O,X,X,X,O,X,X
IZOLSJT,O,X,X,O,O,X,X
IZOJTLS,O,X,O,O,X,X,X
IZOJTSL,O,X,O,X,X,X,X
IZOJLTS,O,X,O,O,X,X,O
IZOJLST,O,X,X,O,X,X,X
IZOJSTL,O,X,O,X,X,O,X
IZOJSLT,O,X,X,X,X,O,X
IZOSTLJ,O,O,O,X,O,X,X
IZOSTJL,O,O,O,X,X,X,X
IZOSLTJ,O,O,X,X,O,X,X
IZOSLJT,O,X,X,X,O,O,X
IZOSJTL,O,X,O,X,X,O,X
IZOSJLT,O,X,X,X,X,O,X
IOTLJSZ,X,X,O,X,X,X,X
IOTLJZS,X,X,O,X,X,X,X
IOTLSJZ,O,X,O,X,X,X,X
IOTLSZJ,O,X,X,X,X,X,X
IOTLZJS,O,X,O,X,X,X,X
IOTLZSJ,O,X,O,X,X,X,X
IOTJLSZ,X,X,O,X,X,X,X
IOTJLZS,X,X,O,X,X,X,X
IOTJSLZ,X,O,O,X,X,O,X
IOTJSZL,X,O,X,X,X,O,X
IOTJZLS,X,O,O,X,X,X,X
IOTJZSL,X,O,O,X,X,X,X
IOTSLJZ,O,O,O,X,X,O,X
IOTSLZJ,O,O,X,X,X,X,X
IOTSJLZ,X,O,O,X,X,O,X
IOTSJZL,X,O,X,X,X,O,X
IOTSZLJ,O,O,X,X,X,X,X
IOTSZJL,O,O,X,X,X,X,X
IOTZLJS,O,O,O,X,X,X,X
IOTZLSJ,O,O,O,X,X,X,X
IOTZJLS,O,O,O,X,X,X,X
IOTZJSL,O,O,O,X,X,X,X
IOTZSLJ,O,O,O,X,X,X,X
IOTZSJL,O,O,O,X,X,X,X
IOLTJSZ,X,X,O,O,X,X,X
IOLTJZS,X,X,O,O,X,X,X
IOLTSJZ,O,X,O,X,X,X,X
IOLTSZJ,O,X,X,X,O,X,X
IOLTZJS,O,X,O,O,X,X,X
IOLTZSJ,O,X,X,X,O,X,X
IOLJTSZ,X,X,O,O,X,X,X
IOLJTZS,X,X,O,O,X,X,X
IOLJSTZ,O,X,X,O,X,O,X
IOLJSZT,O,X,X,X,O,O,X
IOLJZTS,O,X,O,O,X,X,O
IOLJZST,O,X,X,O,O,X,X
IOLSTJZ,O,X,X,X,X,O,X
IOLSTZJ,O,X,X,X,O,X,X
IOLSJTZ,O,X,X,O,X,O,X
IOLSJZT,O,X,X,X,O,O,X
IOLSZTJ,O,X,X,X,O,X,X
IOLSZJT,O,X,X,O,O,O,X
IOLZTJS,O,X,O,O,X,X,O
IOLZTSJ,O,X,O,X,O,X,X
IOLZJTS,O,X,O,O,X,X,O
IOLZJST,O,X,X,O,O,X,X
IOLZSTJ,O,X,X,X,O,X,X
IOLZSJT,O,X,X,O,O,X,X
IOJTLSZ,X,X,O,O,X,X,X
IOJTLZS,X,X,O,O,X,X,X
IOJTSLZ,X,X,O,X,X,O,X
IOJTSZL,X,X,X,X,X,O,X
IOJTZLS,X,X,O,O,X,X,X
IOJTZSL,X,X,O,X,X,X,X
IOJLTSZ,X,X,O,O,X,X,X
IOJLTZS,X,X,O,O,X,X,X
IOJLSTZ,O,X,X,O,X,O,X
IOJLSZT,O,X,X,X,X,O,X
IOJLZTS,O,X,O,O,X,X,O
IOJLZST,O,X,X,O,X,X,X
IOJSTLZ,X,X,O,X,X,O,X
IOJSTZL,X,X,X,X,X,O,X
IOJSLTZ,O,X,X,X,X,O,X
IOJSLZT,O,X,X,X,X,O,X
IOJSZTL,O,X,O,X,X,O,X
IOJSZLT,O,X,X,X,X,O,X
IOJZTLS,O,X,O,O,X,X,X
IOJZTSL,O,X,O,X,X,X,X
IOJZLTS,O,X,O,O,X,X,O
IOJZLST,O,X,X,O,X,X,X
IOJZSTL,O,X,O,X,X,O,X
IOJZSLT,O,X,X,X,X,O,X
IOSTLJZ,O,O,O,X,X,O,X
IOSTLZJ,O,O,X,X,X,X,X
IOSTJLZ,X,O,O,X,X,O,X
IOSTJZL,X,O,X,X,X,O,X
IOSTZLJ,O,O,X,X,X,X,X
IOSTZJL,O,O,X,X,X,X,X
IOSLTJZ,O,O,X,X,X,O,X
IOSLTZJ,O,O,X,X,O,X,X
IOSLJTZ,O,X,X,X,X,O,X
IOSLJZT,O,X,X,X,O,O,X
IOSLZTJ,O,O,X,X,O,X,X
IOSLZJT,O,X,X,X,O,O,X
IOSJTLZ,X,X,O,X,X,O,X
IOSJTZL,X,X,X,X,X,O,X
IOSJLTZ,O,X,X,X,X,O,X
IOSJLZT,O,X,X,X,X,O,X
IOSJZTL,O,X,O,X,X,O,X
IOSJZLT,O,X,X,X,X,O,X
IOSZTLJ,O,O,O,X,O,X,X
IOSZTJL,O,O,O,X,X,X,X
IOSZLTJ,O,O,X,X,O,X,X
IOSZLJT,O,X,X,X,O,O,X
IOSZJTL,O,X,O,X,X,O,X
IOSZJLT,O,X,X,X,X,O,X
IOZTLJS,O,O,O,X,X,X,X
IOZTLSJ,O,O,O,X,X,X,X
IOZTJLS,O,O,O,X,X,X,X
IOZTJSL,O,O,O,X,X,X,X
IOZTSLJ,O,O,O,X,X,X,X
IOZTSJL,O,O,O,X,X,X,X
IOZLTJS,O,X,O,O,X,X,O
IOZLTSJ,O,X,O,X,O,X,X
IOZLJTS,O,X,O,O,X,X,O
IOZLJST,O,X,X,O,O,X,X
IOZLSTJ,O,X,X,X,O,X,X
IOZLSJT,O,X,X,O,O,X,X
IOZJTLS,O,X,O,O,X,X,X
IOZJTSL,O,X,O,X,X,X,X
IOZJLTS,O,X,O,O,X,X,O
IOZJLST,O,X,X,O,X,X,X
IOZJSTL,O,X,O,X,X,O,X
IOZJSLT,O,X,X,X,X,O,X
IOZSTLJ,O,O,O,X,O,X,X
IOZSTJL,O,O,O,X,X,X,X
IOZSLTJ,O,O,X,X,O,X,X
IOZSLJT,O,X,X,X,O,O,X
IOZSJTL,O,X,O,X,X,O,X
IOZSJLT,O,X,X,X,X,O,X
LTIJSZO,X,O,O,X,X,X,X
LTIJSOZ,X,O,O,O,X,X,X
LTIJZSO,X,O,O,X,X,X,O
LTIJZOS,X,O,O,O,X,X,O
LTIJOSZ,X,X,O,O,X,X,X
LTIJOZS,X,X,O,O,X,X,X
LTISJZO,O,O,O,X,X,X,X
LTISJOZ,X,O,O,X,X,X,X
LTISZJO,O,O,X,X,O,X,X
LTISZOJ,O,O,X,X,O,X,X
LTISOJZ,X,O,O,X,X,X,X
LTISOZJ,O,O,X,X,O,X,X
LTIZJSO,O,O,O,O,X,X,O
LTIZJOS,X,O,O,O,X,X,O
LTIZSJO,O,O,O,X,O,X,O
LTIZSOJ,O,O,O,X,O,X,X
LTIZOJS,X,O,O,O,X,X,O
LTIZOSJ,X,O,O,X,O,X,X
LTIOJSZ,X,X,O,O,X,X,X
LTIOJZS,X,X,O,O,X,X,X
LTIOSJZ,X,X,O,X,X,X,X
LTIOSZJ,X,X,X,X,O,X,X
LTIOZJS,X,X,O,O,X,X,X
LTIOZSJ,X,X,O,X,O,X,X
LTJISZO,X,O,O,X,X,X,X
LTJISOZ,X,O,O,O,X,X,X
LTJIZSO,X,O,O,O,X,X,O
LTJIZOS,X,O,O,O,X,X,O
LTJIOSZ,X,X,O,O,X,X,X
LTJIOZS,X,X,O,O,X,X,X
LTJSIZO,X,O,O,X,X,X,X
LTJSIOZ,X,O,O,O,X,X,X
LTJSZIO,X,O,O,O,X,X,X
LTJSZOI,X,O,X,O,X,X,X
LTJSOIZ,X,O,X,O,X,X,X
LTJSOZI,X,O,X,O,X,X,X
LTJZISO,X,O,O,O,X,X,O
LTJZIOS,X,O,O,O,X,X,O
LTJZSIO,X,O,O,O,X,X,O
LTJZSOI,X,O,X,O,X,X,O
LTJZOIS,X,O,O,O,X,X,O
LTJZOSI,X,O,O,O,X,X,O
LTJOISZ,X,X,O,O,X,X,X
LTJOIZS,X,X,O,O,X,X,X
LTJOSIZ,X,X,O,O,X,X,X
LTJOSZI,X,X,O,O,X,X,X
LTJOZIS,X,X,O,O,X,X,X
LTJOZSI,X,X,O,O,X,X,X
LTSIJZO,O,O,O,X,X,X,X
LTSIJOZ,X,O,O,X,X,X,X
LTSIZJO,O,O,X,X,O,X,X
LTSIZOJ,O,O,X,X,O,X,X
LTSIOJZ,O,O,O,X,X,X,X
LTSIOZJ,O,O,X,X,O,X,X
LTSJIZO,O,O,O,X,X,X,X
LTSJIOZ,X,O,O,X,X,X,X
LTSJZIO,O,O,O,X,X,X,X
LTSJZOI,O,O,X,X,X,X,X
LTSJOIZ,O,O,X,X,X,X,X
LTSJOZI,O,O,X,X,X,X,X
LTSZIJO,O,O,O,X,O,X,X
LTSZIOJ,O,O,O,X,O,X,X
LTSZJIO,O,O,O,X,O,X,X
LTSZJOI,O,O,X,X,O,X,X
LTSZOIJ,O,O,O,X,O,X,X
LTSZOJI,O,O,O,X,O,X,X
LTSOIJZ,O,O,O,X,X,X,X
LTSOIZJ,O,O,X,X,O,X,X
LTSOJIZ,O,O,O,X,X,X,X
LTSOJZI,O,O,O,X,X,X,X
LTSOZIJ,O,O,O,X,O,X,X
LTSOZJI,O,O,O,X,O,X,X
LTZIJSO,O,O,O,O,X,X,O
LTZIJOS,X,O,O,O,X,X,O
LTZISJO,O,O,O,X,O,X,O
LTZISOJ,O,O,O,X,O,X,X
LTZIOJS,X,O,O,O,X,X,O
LTZIOSJ,X,O,O,X,O,X,X
LTZJISO,O,O,O,O,X,X,O
LTZJIOS,X,O,O,O,X,X,O
LTZJSIO,O,O,O,O,X,X,O
LTZJSOI,O,O,X,O,X,X,O
LTZJOIS,O,O,O,O,X,X,O
LTZJOSI,O,O,O,O,X,X,O
LTZSIJO,O,O,O,X,O,X,O
LTZSIOJ,O,O,O,X,O,X,X
LTZSJIO,O,O,O,X,O,X,O
LTZSJOI,O,O,X,X,O,X,O
LTZSOIJ,O,O,O,X,O,X,X
LTZSOJI,O,O,O,X,O,X,X
LTZOIJS,O,O,O,O,X,X,O
LTZOISJ,O,O,O,X,O,X,X
LTZOJIS,O,O,O,O,X,X,O
LTZOJSI,O,O,O,O,X,X,O
LTZOSIJ,O,O,O,X,O,X,X
LTZOSJI,O,O,O,X,O,X,X
LTOIJSZ,X,X,O,O,X,X,X
LTOIJZS,X,X,O,O,X,X,X
LTOISJZ,O,X,O,X,X,X,X
LTOISZJ,O,X,X,X,O,X,X
LTOIZJS,O,X,O,O,X,X,X
LTOIZSJ,O,X,O,X,O,X,X
LTOJISZ,X,X,O,O,X,X,X
LTOJIZS,X,X,O,O,X,X,X
LTOJSIZ,X,X,O,O,X,X,X
LTOJSZI,X,X,O,O,X,X,X
LTOJZIS,X,X,O,O,X,X,X
LTOJZSI,X,X,O,O,X,X,X
LTOSIJZ,O,X,O,X,X,X,X
LTOSIZJ,O,X,X,X,O,X,X
LTOSJIZ,O,X,O,X,X,X,X
LTOSJZI,O,X,O,X,X,X,X
LTOSZIJ,O,X,O,X,O,X,X
LTOSZJI,O,X,O,X,O,X,X
LTOZIJS,O,X,O,O,X,X,X
LTOZISJ,O,X,O,X,O,X,X
LTOZJIS,O,X,O,O,X,X,X
LTOZJSI,O,X,O,O,X,X,X
LTOZSIJ,O,X,O,X,O,X,X
LTOZSJI,O,X,O,X,O,X,X
LITJSZO,X,O,O,X,X,X,X
LITJSOZ,X,O,O,O,X,X,X
LITJZSO,X,O,O,X,X,X,O
LITJZOS,X,O,O,O,X,X,O
LITJOSZ,X,X,O,O,X,X,X
LITJOZS,X,X,O,O,X,X,X
LITSJZO,O,O,O,X,X,X,X
LITSJOZ,X,O,O,X,X,X,X
LITSZJO,O,O,X,X,O,X,X
LITSZOJ,O,O,X,X,O,X,X
LITSOJZ,X,O,O,X,X,X,X
LITSOZJ,O,O,X,X,O,X,X
LITZJSO,O,O,O,O,X,X,O
LITZJOS,X,O,O,O,X,X,O
LITZSJO,O,O,X,X,O,X,O
LITZSOJ,O,O,X,X,O,X,X
LITZOJS,X,O,O,O,X,X,O
LITZOSJ,X,O,X,X,O,X,X
LITOJSZ,X,X,O,O,X,X,X
LITOJZS,X,X,O,O,X,X,X
LITOSJZ,X,X,O,X,X,X,X
LITOSZJ,X,X,X,X,O,X,X
LITOZJS,X,X,O,O,X,X,X
LITOZSJ,X,X,X,X,O,X,X
LIJTSZO,X,X,O,X,X,X,X
LIJTSOZ,X,X,O,O,X,X,X
LIJTZSO,X,X,O,O,X,X,O
LIJTZOS,X,X,O,O,X,X,O
LIJTOSZ,X,X,O,O,X,X,X
LIJTOZS,X,X,O,O,X,X,X
LIJSTZO,O,X,X,X,X,X,X
LIJSTOZ,X,X,X,O,X,X,X
LIJSZTO,O,X,X,X,O,X,O
LIJSZOT,O,X,X,X,O,X,X
LIJSOTZ,X,X,X,O,X,X,X
LIJSOZT,X,X,X,X,O,X,X
LIJZTSO,O,X,O,O,X,X,O
LIJZTOS,X,X,O,O,X,X,O
LIJZSTO,O,X,X,O,O,X,O
LIJZSOT,O,X,X,O,O,X,X
LIJZOTS,X,X,X,O,X,X,O
LIJZOST,O,X,X,O,O,X,X
LIJOTSZ,X,X,X,O,X,X,X
LIJOTZS,X,X,X,O,X,X,X
LIJOSTZ,X,X,X,O,X,X,X
LIJOSZT,X,X,X,X,O,X,X
LIJOZTS,X,X,X,O,X,X,O
LIJOZST,X,X,X,O,O,X,X
LISTJZO,O,O,X,X,X,X,X
LISTJOZ,X,O,X,X,X,X,X
LISTZJO,O,O,X,X,O,X,X
LISTZOJ,O,O,X,X,O,X,X
LISTOJZ,O,O,X,X,X,O,X
LISTOZJ,O,O,X,X,O,X,X
LISJTZO,O,O,X,X,X,X,X
LISJTOZ,X,O,X,O,X,X,X
LISJZTO,O,O,X,X,O,X,O
LISJZOT,O,X,X,X,O,X,X
LISJOTZ,X,X,X,O,X,O,X
LISJOZT,X,X,X,X,O,O,X
LISZTJO,O,O,X,X,O,X,O
LISZTOJ,O,O,X,X,O,X,X
LISZJTO,O,O,X,O,O,X,O
LISZJOT,O,X,X,O,O,X,X
LISZOTJ,O,O,X,X,O,X,X
LISZOJT,O,X,X,O,O,O,X
LISOTJZ,O,O,X,X,X,O,X
LISOTZJ,O,O,X,X,O,X,X
LISOJTZ,O,X,X,O,X,O,X
LISOJZT,O,X,X,X,O,O,X
LISOZTJ,O,O,X,X,O,X,X
LISOZJT,O,X,X,O,O,O,X
LIZTJSO,O,O,O,O,X,X,O
LIZTJOS,X,O,O,O,X,X,O
LIZTSJO,O,O,O,X,O,X,O
LIZTSOJ,O,O,O,X,O,X,X
LIZTOJS,X,O,O,O,X,X,O
LIZTOSJ,X,O,O,X,O,X,X
LIZJTSO,O,X,O,O,X,X,O
LIZJTOS,X,X,O,O,X,X,O
LIZJSTO,O,X,X,O,O,X,O
LIZJSOT,O,X,X,O,O,X,X
LIZJOTS,O,X,X,O,X,X,O
LIZJOST,O,X,X,O,O,X,X
LIZSTJO,O,O,X,X,O,X,O
LIZSTOJ,O,O,X,X,O,X,X
LIZSJTO,O,O,X,O,O,X,O
LIZSJOT,O,X,X,O,O,X,X
LIZSOTJ,O,O,X,X,O,X,X
LIZSOJT,O,X,X,O,O,X,X
LIZOTJS,O,X,O,O,X,X,O
LIZOTSJ,O,X,O,X,O,X,X
LIZOJTS,O,X,O,O,X,X,O
LIZOJST,O,X,X,O,O,X,X
LIZOSTJ,O,X,X,X,O,X,X
LIZOSJT,O,X,X,O,O,X,X
LIOTJSZ,X,X,O,O,X,X,X
LIOTJZS,X,X,O,O,X,X,X
LIOTSJZ,O,X,O,X,X,X,X
LIOTSZJ,O,X,X,X,O,X,X
LIOTZJS,O,X,O,O,X,X,X
LIOTZSJ,O,X,X,X,O,X,X
LIOJTSZ,X,X,O,O,X,X,X
LIOJTZS,X,X,O,O,X,X,X
LIOJSTZ,O,X,X,O,X,O,X
LIOJSZT,O,X,X,X,O,O,X
LIOJZTS,O,X,O,O,X,X,O
LIOJZST,O,X,X,O,O,X,X
LIOSTJZ,O,X,X,X,X,O,X
LIOSTZJ,O,X,X,X,O,X,X
LIOSJTZ,O,X,X,O,X,O,X
LIOSJZT,O,X,X,X,O,O,X
LIOSZTJ,O,X,X,X,O,X,X
LIOSZJT,O,X,X,O,O,O,X
LIOZTJS,O,X,O,O,X,X,O
LIOZTSJ,O,X,O,X,O,X,X
LIOZJTS,O,X,O,O,X,X,O
LIOZJST,O,X,X,O,O,X,X
LIOZSTJ,O,X,X,X,O,X,X
LIOZSJT,O,X,X,O,O,X,X
LJTISZO,X,X,O,X,X,X,X
LJTISOZ,X,X,O,O,X,X,X
LJTIZSO,X,X,O,O,X,X,O
LJTIZOS,X,X,O,O,X,X,O
LJTIOSZ,X,X,O,O,X,X,X
LJTIOZS,X,X,O,O,X,X,X
LJTSIZO,X,X,O,X,X,X,X
LJTSIOZ,X,X,O,O,X,X,X
LJTSZIO,X,X,O,O,X,X,X
LJTSZOI,X,X,X,O,X,X,X
LJTSOIZ,X,X,X,O,X,X,X
LJTSOZI,X,X,X,O,X,X,X
LJTZISO,X,X,O,O,X,X,O
LJTZIOS,X,X,O,O,X,X,O
LJTZSIO,X,X,O,O,X,X,O
LJTZSOI,X,X,X,O,X,X,O
LJTZOIS,X,X,O,O,X,X,O
LJTZOSI,X,X,X,O,X,X,O
LJTOISZ,X,X,O,O,X,X,X
LJTOIZS,X,X,O,O,X,X,X
LJTOSIZ,X,X,X,O,X,X,X
LJTOSZI,X,X,X,O,X,X,X
LJTOZIS,X,X,O,O,X,X,X
LJTOZSI,X,X,X,O,X,X,X
LJITSZO,X,X,O,X,X,X,X
LJITSOZ,X,X,O,O,X,X,X
LJITZSO,X,X,O,O,X,X,O
LJITZOS,X,X,O,O,X,X,O
LJITOSZ,X,X,O,O,X,X,X
LJITOZS,X,X,O,O,X,X,X
LJISTZO,O,X,X,X,X,X,X
LJISTOZ,X,X,X,O,X,X,X
LJISZTO,O,X,X,X,O,X,O
LJISZOT,O,X,X,X,O,X,X
LJISOTZ,X,X,X,O,X,X,X
LJISOZT,X,X,X,X,O,X,X
LJIZTSO,O,X,O,O,X,X,O
LJIZTOS,X,X,O,O,X,X,O
LJIZSTO,O,X,X,O,O,X,O
LJIZSOT,O,X,X,O,O,X,X
LJIZOTS,X,X,X,O,X,X,O
LJIZOST,O,X,X,O,O,X,X
LJIOTSZ,X,X,X,O,X,X,X
LJIOTZS,X,X,X,O,X,X,X
LJIOSTZ,X,X,X,O,X,X,X
LJIOSZT,X,X,X,X,O,X,X
LJIOZTS,X,X,X,O,X,X,O
LJIOZST,X,X,X,O,O,X,X
LJSTIZO,O,X,X,X,X,X,X
LJSTIOZ,X,X,X,O,X,X,X
LJSTZIO,O,X,X,O,X,X,X
LJSTZOI,O,X,X,O,X,X,X
LJSTOIZ,O,X,X,O,X,O,X
LJSTOZI,O,X,X,O,X,O,X
LJSITZO,O,X,X,X,X,X,X
LJSITOZ,X,X,X,O,X,X,X
LJSIZTO,O,X,X,X,O,X,O
LJSIZOT,O,X,X,X,O,X,X
LJSIOTZ,X,X,X,O,X,O,X
LJSIOZT,X,X,X,X,O,O,X
LJSZTIO,O,X,X,O,O,X,O
LJSZTOI,O,X,X,O,O,X,O
LJSZITO,O,X,X,O,O,X,O
LJSZIOT,O,X,X,O,O,X,X
LJSZOTI,O,X,X,O,O,O,X
LJSZOIT,O,X,X,O,O,O,X
LJSOTIZ,O,X,X,O,X,O,X
LJSOTZI,O,X,X,O,X,O,X
LJSOITZ,O,X,X,O,X,O,X
LJSOIZT,O,X,X,X,O,O,X
LJSOZTI,O,X,X,O,O,O,X
LJSOZIT,O,X,X,O,O,O,X
LJZTISO,O,X,O,O,X,X,O
LJZTIOS,X,X,O,O,X,X,O
LJZTSIO,O,X,O,O,X,X,O
LJZTSOI,O,X,X,O,X,X,O
LJZTOIS,O,X,O,O,X,X,O
LJZTOSI,O,X,X,O,X,X,O
LJZITSO,O,X,O,O,X,X,O
LJZITOS,X,X,O,O,X,X,O
LJZISTO,O,X,X,O,O,X,O
LJZISOT,O,X,X,O,O,X,X
LJZIOTS,O,X,X,O,X,X,O
LJZIOST,O,X,X,O,O,X,X
LJZSTIO,O,X,X,O,O,X,O
LJZSTOI,O,X,X,O,O,X,O
LJZSITO,O,X,X,O,O,X,O
LJZSIOT,O,X,X,O,O,X,X
LJZSOTI,O,X,X,O,O,X,X
LJZSOIT,O,X,X,O,O,X,X
LJZOTIS,O,X,X,O,X,X,O
LJZOTSI,O,X,X,O,X,X,O
LJZOITS,O,X,X,O,X,X,O
LJZOIST,O,X,X,O,O,X,X
LJZOSTI,O,X,X,O,O,X,X
LJZOSIT,O,X,X,O,O,X,X
LJOTISZ,X,X,X,O,X,X,X
LJOTIZS,X,X,X,O,X,X,X
LJOTSIZ,X,X,X,O,X,X,X
LJOTSZI,X,X,X,O,X,X,X
LJOTZIS,X,X,X,O,X,X,X
LJOTZSI,X,X,X,O,X,X,X
LJOITSZ,X,X,X,O,X,X,X
LJOITZS,X,X,X,O,X,X,X
LJOISTZ,O,X,X,O,X,O,X
LJOISZT,O,X,X,X,O,O,X
LJOIZTS,O,X,X,O,X,X,O
LJOIZST,O,X,X,O,O,X,X
LJOSTIZ,O,X,X,O,X,O,X
LJOSTZI,O,X,X,O,X,O,X
LJOSITZ,O,X,X,O,X,O,X
LJOSIZT,O,X,X,X,O,O,X
LJOSZTI,O,X,X,O,O,O,X
LJOSZIT,O,X,X,O,O,O,X
LJOZTIS,O,X,X,O,X,X,O
LJOZTSI,O,X,X,O,X,X,O
LJOZITS,O,X,X,O,X,X,O
LJOZIST,O,X,X,O,O,X,X
LJOZSTI,O,X,X,O,O,X,X
LJOZSIT,O,X,X,O,O,X,X
LSTIJZO,O,O,X,X,X,X,X
LSTIJOZ,X,O,X,X,X,X,X
LSTIZJO,O,O,X,X,O,X,X
LSTIZOJ,O,O,X,X,O,X,X
LSTIOJZ,O,O,X,X,X,O,X
LSTIOZJ,O,O,X,X,O,X,X
LSTJIZO,O,O,X,X,X,X,X
LSTJIOZ,X,O,X,X,X,X,X
LSTJZIO,O,O,X,X,X,X,X
LSTJZOI,O,O,X,X,X,X,X
LSTJOIZ,O,O,X,X,X,O,X
LSTJOZI,O,O,X,X,X,O,X
LSTZIJO,O,O,X,X,O,X,X
LSTZIOJ,O,O,X,X,O,X,X
LSTZJIO,O,O,X,X,O,X,X
LSTZJOI,O,O,X,X,O,X,X
LSTZOIJ,O,O,X,X,O,X,X
LSTZOJI,O,O,X,X,O,X,X
LSTOIJZ,O,O,X,X,X,O,X
LSTOIZJ,O,O,X,X,O,X,X
LSTOJIZ,O,O,X,X,X,O,X
LSTOJZI,O,O,X,X,X,O,X
LSTOZIJ,O,O,X,X,O,X,X
LSTOZJI,O,O,X,X,O,X,X
LSITJZO,O,O,X,X,X,X,X
LSITJOZ,X,O,X,X,X,X,X
LSITZJO,O,O,X,X,O,X,X
LSITZOJ,O,O,X,X,O,X,X
LSITOJZ,O,O,X,X,X,O,X
LSITOZJ,O,O,X,X,O,X,X
LSIJTZO,O,O,X,X,X,X,X
LSIJTOZ,X,O,X,O,X,X,X
LSIJZTO,O,O,X,X,O,X,O
LSIJZOT,O,X,X,X,O,X,X
LSIJOTZ,X,X,X,O,X,O,X
LSIJOZT,X,X,X,X,O,O,X
