sequence,v115@QhA8CeB8DeA8AeE8AeC8JeZEJvhFqkBTgB/mBFiBOo?BcsB,v115@QhA8CeB8DeA8AeE8AeC8JeZEJvhFGgBihBFjBzkBfs?B0sB,v115@QhA8CeB8DeA8AeE8AeC8JeZEJvhFGgB/mBUiBFjBzk?BisB
TSJLOZI,X,X,X
TSJZILO,X,X,X
TSJZIOL,X,X,O
TSJZLIO,X,X,X
TSJZLOI,X,X,X
TSJZOIL,X,X,X
TSJZOLI,X,X,X
TSJOILZ,X,X,X
TSJOIZL,X,X,X
TSJOLIZ,X,X,X
TSJOLZI,X,X,X
TSJOZIL,X,X,X
TSJOZLI,X,X,X
TSZILJO,X,X,X
TSZILOJ,X,X,X
TSZIJLO,X,X,X
TSZIJOL,X,X,O
TSZIOLJ,X,X,X
TSZIOJL,X,X,O
TSZLIJO,X,X,X
TSZLIOJ,X,X,X
TSZLJIO,X,X,X
TSZLJOI,X,X,X
TSZLOIJ,X,X,X
TSZLOJI,X,X,X
TSZJILO,X,X,X
TSZJIOL,X,X,O
TSZJLIO,X,X,X
TSZJLOI,X,X,X
TSZJOIL,X,X,X
TSZJOLI,X,X,X
TSZOILJ,X,X,X
TSZOIJL,X,X,O
TSZOLIJ,X,X,X
TSZOLJI,X,X,X
TSZOJIL,X,X,O
TSZOJLI,X,X,X
TSOILJZ,X,O,O
TSOILZJ,X,X,O
TSOIJLZ,X,O,O
TSOIJZL,X,X,O
TSOIZLJ,X,X,X
TSOIZJL,X,X,O
TSOLIJZ,X,O,O
TSOLIZJ,X,X,O
TSOLJIZ,X,O,O
TSOLJZI,X,X,O
TSOLZIJ,X,X,O
TSOLZJI,X,X,O
TSOJILZ,X,O,O
TSOJIZL,X,X,O
TSOJLIZ,X,O,O
TSOJLZI,X,X,O
TSOJZIL,X,X,O
TSOJZLI,X,X,X
TSOZILJ,X,X,X
TSOZIJL,X,X,O
TSOZLIJ,X,X,X
TSOZLJI,X,X,X
TSOZJIL,X,X,O
TSOZJLI,X,X,X
TZILJSO,X,X,X
TZILJOS,X,X,X
TZILSJO,X,X,X
TZILSOJ,X,X,X
TZILOJS,X,X,X
TZILOSJ,X,X,X
TZIJLSO,X,X,X
TZIJLOS,X,X,X
TZIJSLO,X,O,X
TZIJSOL,X,X,X
TZIJOLS,X,X,X
TZIJOSL,X,X,X
TZISLJO,X,O,X
TZISLOJ,X,O,X
TZISJLO,X,O,X
TZISJOL,X,X,X
TZISOLJ,X,O,X
TZISOJL,X,O,X
TZIOLJS,X,X,X
TZIOLSJ,X,X,X
TZIOJLS,X,X,X
TZIOJSL,X,O,X
TZIOSLJ,X,O,X
TZIOSJL,X,O,X
TZLIJSO,X,X,X
TZLIJOS,X,X,X
TZLISJO,X,X,X
TZLISOJ,X,X,X
TZLIOJS,X,X,X
TZLIOSJ,X,X,X
TZLJISO,X,X,X
TZLJIOS,X,X,X
TZLJSIO,X,X,X
TZLJSOI,X,X,X
TZLJOIS,X,X,X
TZLJOSI,X,X,X
TZLSIJO,X,X,X
TZLSIOJ,X,X,X
TZLSJIO,X,X,X
TZLSJOI,X,X,X
TZLSOIJ,X,X,X
TZLSOJI,X,X,X
TZLOIJS,X,X,X
TZLOISJ,X,X,X
TZLOJIS,X,X,X
TZLOJSI,X,X,X
TZLOSIJ,X,X,X
TZLOSJI,X,X,X
TZJILSO,X,X,X
TZJILOS,X,X,X
TZJISLO,X,O,X
TZJISOL,X,X,X
TZJIOLS,X,X,X
TZJIOSL,X,X,X
TZJLISO,X,X,X
TZJLIOS,X,X,X
TZJLSIO,X,X,X
TZJLSOI,X,X,X
TZJLOIS,X,X,X
TZJLOSI,X,X,X
TZJSILO,X,O,X
TZJSIOL,X,X,X
TZJSLIO,X,O,X
TZJSLOI,X,X,X
TZJSOIL,X,X,X
TZJSOLI,X,X,X
TZJOILS,X,X,X
TZJOISL,X,X,X
TZJOLIS,X,X,X
TZJOLSI,X,X,X
TZJOSIL,X,X,X
TZJOSLI,X,X,X
TZSILJO,X,O,X
TZSILOJ,X,O,X
TZSIJLO,X,O,X
TZSIJOL,X,X,X
TZSIOLJ,X,O,X
TZSIOJL,X,O,X
TZSLIJO,X,O,X
TZSLIOJ,X,O,X
TZSLJIO,X,O,X
TZSLJOI,X,X,X
