sequence,v115@VhA8AeB8CeI8JeZEJvhFupBFmB8rBftB6tBTqB,v115@VhA8AeB8CeI8JeZEJvhFClBXmB8rBznB+tBVvB,v115@VhA8AeB8CeI8Je/FJvhFFhBxiBOpBCsBTtB0pB,v115@VhA8AeB8CeI8Je/FJvhFRhBCjB0kBlmBToBOpB,v115@VhA8AeB8CeI8JeZEJvhFFlBXmB8rBCoBWvBTtB,v115@VhA8AeB8CeI8JeZEJvhFqpB/qBFmB8rBznB+tB
TOSILJZ,O,X,O,O,X,X
TOSILZJ,O,X,O,O,X,X
TOSIJLZ,O,X,O,O,X,X
TOSIJZL,O,X,X,O,X,X
TOSIZLJ,O,X,X,O,X,X
TOSIZJL,O,X,X,O,X,X
TOSLIJZ,O,X,O,O,X,X
TOSLIZJ,O,X,O,O,X,X
TOSLJIZ,O,X,O,O,X,X
TOSLJZI,O,X,O,O,X,X
TOSLZIJ,O,X,O,O,X,X
TOSLZJI,O,X,O,O,X,X
TOSJILZ,O,X,O,O,X,X
TOSJIZL,O,X,X,O,X,X
TOSJLIZ,O,X,O,O,X,X
TOSJLZI,O,X,O,O,X,X
TOSJZIL,O,X,X,O,X,X
TOSJZLI,O,X,X,O,X,X
TOSZILJ,O,X,X,O,X,X
TOSZIJL,O,X,X,O,X,X
TOSZLIJ,O,X,X,O,X,X
TOSZLJI,O,X,X,O,X,X
TOSZJIL,O,X,X,O,X,X
TOSZJLI,O,X,X,O,X,X
TOZILJS,O,O,X,X,O,X
TOZILSJ,O,O,X,O,O,X
TOZIJLS,O,O,X,X,O,X
TOZIJSL,O,O,X,X,O,X
TOZISLJ,O,O,X,O,O,X
TOZISJL,O,O,X,O,O,X
TOZLIJS,O,O,X,X,O,X
TOZLISJ,O,O,X,O,O,X
TOZLJIS,O,O,X,X,O,X
TOZLJSI,O,O,X,O,O,X
TOZLSIJ,O,O,X,O,O,X
TOZLSJI,O,O,X,O,O,X
TOZJILS,O,O,X,X,O,X
TOZJISL,O,O,X,X,O,X
TOZJLIS,O,O,X,X,O,X
TOZJLSI,O,O,X,O,O,X
TOZJSIL,O,O,X,O,O,X
TOZJSLI,O,O,X,O,O,X
TOZSILJ,O,O,X,O,O,X
TOZSIJL,O,O,X,O,O,X
TOZSLIJ,O,O,X,O,O,X
TOZSLJI,O,O,X,O,O,X
TOZSJIL,O,O,X,O,O,X
TOZSJLI,O,O,X,O,O,X
ITLJSZO,X,O,X,X,O,O
ITLJSOZ,X,O,O,X,X,O
ITLJZSO,X,O,X,X,O,O
ITLJZOS,X,O,X,X,O,O
ITLJOSZ,X,O,O,X,X,O
ITLJOZS,X,O,O,X,O,O
ITLSJZO,X,O,X,X,X,O
ITLSJOZ,X,O,O,X,X,O
ITLSZJO,X,O,X,X,X,O
ITLSZOJ,X,O,X,O,X,O
ITLSOJZ,X,X,O,O,X,X
ITLSOZJ,X,X,O,O,X,X
ITLZJSO,X,O,X,X,O,O
ITLZJOS,X,O,X,X,O,O
ITLZSJO,X,O,X,X,O,O
ITLZSOJ,X,O,X,X,O,O
ITLZOJS,X,O,X,X,X,X
ITLZOSJ,X,O,X,X,X,X
ITLOJSZ,X,O,O,O,X,X
ITLOJZS,X,O,O,X,X,X
ITLOSJZ,X,X,O,O,X,X
ITLOSZJ,X,X,O,O,X,X
ITLOZJS,X,O,O,X,X,X
ITLOZSJ,X,O,O,O,X,X
ITJLSZO,X,O,X,X,O,O
ITJLSOZ,X,O,O,X,X,O
ITJLZSO,X,O,X,X,O,O
ITJLZOS,X,O,X,X,O,O
ITJLOSZ,X,O,O,X,O,O
ITJLOZS,X,O,O,X,O,O
ITJSLZO,O,O,X,X,O,X
ITJSLOZ,X,O,O,X,X,X
ITJSZLO,O,O,X,X,O,X
ITJSZOL,O,O,X,O,O,X
ITJSOLZ,X,O,X,O,O,X
ITJSOZL,X,O,X,O,O,X
ITJZLSO,O,O,X,X,O,O
ITJZLOS,X,O,X,X,O,O
ITJZSLO,O,O,X,X,O,X
ITJZSOL,O,O,X,X,O,X
ITJZOLS,X,O,X,X,O,O
ITJZOSL,O,O,X,X,O,X
ITJOLSZ,X,O,X,O,O,O
ITJOLZS,X,O,X,X,O,O
ITJOSLZ,X,O,X,O,O,X
ITJOSZL,X,O,X,O,O,X
ITJOZLS,X,O,X,X,O,O
ITJOZSL,X,O,X,X,O,X
ITSLJZO,O,O,X,X,X,X
ITSLJOZ,X,O,O,X,X,X
ITSLZJO,O,O,X,X,X,X
ITSLZOJ,O,O,X,O,X,X
ITSLOJZ,O,X,O,O,X,X
ITSLOZJ,O,X,O,O,X,X
ITSJLZO,O,O,X,X,X,X
ITSJLOZ,X,O,O,X,X,X
ITSJZLO,O,O,X,X,X,X
ITSJZOL,O,O,X,O,X,X
ITSJOLZ,X,O,X,O,X,X
ITSJOZL,X,O,X,O,X,X
ITSZLJO,O,O,X,X,X,X
ITSZLOJ,O,O,X,O,X,X
ITSZJLO,O,O,X,X,X,X
ITSZJOL,O,O,X,O,X,X
ITSZOLJ,O,O,X,O,X,X
ITSZOJL,O,O,X,O,X,X
ITSOLJZ,O,X,X,O,X,X
ITSOLZJ,O,X,X,O,X,X
ITSOJLZ,O,X,X,O,X,X
ITSOJZL,O,X,X,O,X,X
ITSOZLJ,O,X,X,O,X,X
ITSOZJL,O,X,X,O,X,X
ITZLJSO,O,O,X,X,O,O
ITZLJOS,X,O,X,X,O,O
ITZLSJO,O,O,X,X,O,O
ITZLSOJ,O,O,X,X,O,O
ITZLOJS,O,O,X,X,X,X
ITZLOSJ,O,O,X,X,X,X
ITZJLSO,O,O,X,X,O,O
ITZJLOS,X,O,X,X,O,O
ITZJSLO,O,O,X,X,O,X
ITZJSOL,O,O,X,X,O,X
ITZJOLS,O,O,X,X,O,O
ITZJOSL,O,O,X,X,O,X
ITZSLJO,O,O,X,X,O,X
ITZSLOJ,O,O,X,O,O,X
ITZSJLO,O,O,X,X,O,X
ITZSJOL,O,O,X,O,O,X
ITZSOLJ,O,O,X,O,O,X
ITZSOJL,O,O,X,O,O,X
ITZOLJS,O,O,X,X,O,X
ITZOLSJ,O,O,X,O,O,X
ITZOJLS,O,O,X,X,O,X
ITZOJSL,O,O,X,X,O,X
ITZOSLJ,O,O,X,O,O,X
ITZOSJL,O,O,X,O,O,X
ITOLJSZ,X,O,X,O,O,X
ITOLJZS,X,O,X,X,O,X
ITOLSJZ,X,X,X,O,X,X
ITOLSZJ,X,X,X,O,X,X
ITOLZJS,X,O,X,X,O,X
ITOLZSJ,X,O,X,O,O,X
ITOJLSZ,X,O,X,O,O,X
ITOJLZS,X,O,X,X,O,X
ITOJSLZ,O,O,X,O,O,X
ITOJSZL,O,O,X,O,O,X
ITOJZLS,O,O,X,X,O,X
ITOJZSL,O,O,X,X,O,X
ITOSLJZ,O,X,X,O,X,X
ITOSLZJ,O,X,X,O,X,X
ITOSJLZ,O,X,X,O,X,X
ITOSJZL,O,X,X,O,X,X
ITOSZLJ,O,X,X,O,X,X
ITOSZJL,O,X,X,O,X,X
ITOZLJS,O,O,X,X,O,X
ITOZLSJ,O,O,X,O,O,X
ITOZJLS,O,O,X,X,O,X
ITOZJSL,O,O,X,X,O,X
ITOZSLJ,O,O,X,O,O,X
ITOZSJL,O,O,X,O,O,X
ILTJSZO,X,O,X,X,O,O
ILTJSOZ,X,O,O,X,X,O
ILTJZSO,X,O,X,X,O,O
ILTJZOS,X,O,X,X,O,O
ILTJOSZ,X,O,O,X,X,O
ILTJOZS,X,O,O,X,O,O
ILTSJZO,X,O,X,X,X,O
ILTSJOZ,X,O,O,X,X,O
ILTSZJO,X,O,X,X,X,O
ILTSZOJ,X,O,X,X,X,O
ILTSOJZ,X,X,O,X,X,X
ILTSOZJ,X,X,O,X,X,X
ILTZJSO,X,O,X,X,O,O
ILTZJOS,X,O,X,X,O,O
ILTZSJO,X,O,X,X,O,O
ILTZSOJ,X,O,X,X,O,O
ILTZOJS,X,O,X,X,X,X
ILTZOSJ,X,O,X,X,X,X
ILTOJSZ,X,O,O,X,X,X
ILTOJZS,X,O,O,X,X,X
ILTOSJZ,X,X,O,X,X,X
ILTOSZJ,X,X,O,X,X,X
ILTOZJS,X,O,O,X,X,X
ILTOZSJ,X,O,O,X,X,X
ILJTSZO,X,O,X,X,O,O
ILJTSOZ,X,O,O,X,X,O
ILJTZSO,X,O,X,X,O,O
ILJTZOS,X,O,X,X,O,O
ILJTOSZ,X,O,O,X,O,O
ILJTOZS,X,O,O,X,O,O
ILJSTZO,O,X,X,X,O,O
ILJSTOZ,X,X,O,X,X,O
ILJSZTO,O,X,X,X,O,O
ILJSZOT,O,X,X,X,O,O
ILJSOTZ,X,X,O,X,X,O
ILJSOZT,O,X,O,X,X,O
ILJZTSO,O,O,X,X,O,O
ILJZTOS,X,O,X,X,O,O
ILJZSTO,O,O,X,X,O,O
ILJZSOT,O,O,X,X,O,O
ILJZOTS,X,O,X,X,O,O
ILJZOST,X,O,X,X,O,O
ILJOTSZ,X,O,O,X,O,O
ILJOTZS,X,O,O,X,O,O
ILJOSTZ,X,X,O,X,O,O
ILJOSZT,X,X,O,X,O,O
ILJOZTS,X,O,O,X,O,O
ILJOZST,X,O,O,X,O,O
ILSTJZO,O,X,X,X,X,O
ILSTJOZ,X,X,O,X,X,O
ILSTZJO,O,X,X,X,X,O
ILSTZOJ,O,X,X,X,X,O
ILSTOJZ,O,X,O,X,X,X
ILSTOZJ,O,X,O,X,X,X
ILSJTZO,O,X,X,X,O,O
ILSJTOZ,X,X,O,X,X,O
ILSJZTO,O,X,X,X,O,O
ILSJZOT,O,X,X,X,O,O
ILSJOTZ,O,X,O,X,X,O
ILSJOZT,O,X,O,X,X,O
ILSZTJO,O,X,X,X,O,O
ILSZTOJ,O,X,X,X,O,O
ILSZJTO,O,X,X,X,O,O
ILSZJOT,O,X,X,X,O,O
ILSZOTJ,O,X,X,X,O,O
ILSZOJT,O,X,X,X,O,O
ILSOTJZ,O,X,O,X,X,X
ILSOTZJ,O,X,O,X,X,X
ILSOJTZ,O,X,O,X,X,O
ILSOJZT,O,X,O,X,X,O
ILSOZTJ,O,X,O,X,X,O
ILSOZJT,O,X,O,X,X,O
ILZTJSO,O,O,X,X,O,O
ILZTJOS,X,O,X,X,O,O
ILZTSJO,O,O,X,X,O,O
ILZTSOJ,O,O,X,X,O,O
ILZTOJS,O,O,X,X,X,X
ILZTOSJ,O,O,X,X,X,X
ILZJTSO,O,O,X,X,O,O
ILZJTOS,X,O,X,X,O,O
ILZJSTO,O,O,X,X,O,O
ILZJSOT,O,O,X,X,O,O
ILZJOTS,X,O,X,X,O,O
ILZJOST,X,O,X,X,O,O
ILZSTJO,O,O,X,X,O,O
ILZSTOJ,O,O,X,X,O,O
ILZSJTO,O,O,X,X,O,O
ILZSJOT,O,O,X,X,O,O
ILZSOTJ,O,X,X,X,O,O
ILZSOJT,O,X,X,X,O,O
ILZOTJS,O,X,X,X,O,X
ILZOTSJ,O,X,X,X,O,X
ILZOJTS,O,X,X,X,O,O
ILZOJST,O,X,X,X,O,O
ILZOSTJ,O,X,X,X,O,O
ILZOSJT,O,X,X,X,O,O
ILOTJSZ,X,X,O,X,O,X
ILOTJZS,X,X,O,X,O,X
ILOTSJZ,X,X,O,X,X,X
ILOTSZJ,X,X,O,X,X,X
ILOTZJS,X,X,O,X,O,X
ILOTZSJ,X,X,O,X,O,X
ILOJTSZ,X,X,O,X,O,O
ILOJTZS,X,X,O,X,O,O
ILOJSTZ,O,X,O,X,O,O
ILOJSZT,O,X,O,X,O,O
ILOJZTS,O,X,O,X,O,O
ILOJZST,O,X,O,X,O,O
ILOSTJZ,O,X,O,X,X,X
ILOSTZJ,O,X,O,X,X,X
ILOSJTZ,O,X,O,X,O,O
ILOSJZT,O,X,O,X,O,O
ILOSZTJ,O,X,O,X,O,O
ILOSZJT,O,X,O,X,O,O
ILOZTJS,O,X,O,X,O,X
ILOZTSJ,O,X,O,X,O,X
ILOZJTS,O,X,O,X,O,O
ILOZJST,O,X,O,X,O,O
ILOZSTJ,O,X,O,X,O,O
ILOZSJT,O,X,O,X,O,O
IJTLSZO,X,O,X,X,O,O
IJTLSOZ,X,O,O,X,X,O
IJTLZSO,X,O,X,X,O,O
IJTLZOS,X,O,X,X,O,O
IJTLOSZ,X,O,O,X,O,O
IJTLOZS,X,O,O,X,O,O
IJTSLZO,O,O,X,X,O,X
IJTSLOZ,X,O,O,X,X,X
IJTSZLO,O,O,X,X,O,X
IJTSZOL,O,O,X,X,O,X
IJTSOLZ,X,O,X,X,O,X
IJTSOZL,X,O,X,X,O,X
IJTZLSO,O,O,X,X,O,O
IJTZLOS,X,O,X,X,O,O
IJTZSLO,O,O,X,X,O,X
IJTZSOL,O,O,X,X,O,X
IJTZOLS,X,O,X,X,O,O
IJTZOSL,O,O,X,X,O,X
IJTOLSZ,X,O,X,X,O,O
IJTOLZS,X,O,X,X,O,O
IJTOSLZ,X,O,X,X,O,X
IJTOSZL,X,O,X,X,O,X
IJTOZLS,X,O,X,X,O,O
IJTOZSL,X,O,X,X,O,X
IJLTSZO,X,O,X,X,O,O
IJLTSOZ,X,O,O,X,X,O
IJLTZSO,X,O,X,X,O,O
IJLTZOS,X,O,X,X,O,O
IJLTOSZ,X,O,O,X,O,O
IJLTOZS,X,O,O,X,O,O
IJLSTZO,O,X,X,X,O,O
IJLSTOZ,X,X,O,X,X,O
IJLSZTO,O,X,X,X,O,O
IJLSZOT,O,X,X,X,O,O
IJLSOTZ,X,X,O,X,X,O
IJLSOZT,O,X,O,X,X,O
IJLZTSO,O,O,X,X,O,O
IJLZTOS,X,O,X,X,O,O
IJLZSTO,O,O,X,X,O,O
IJLZSOT,O,O,X,X,O,O
IJLZOTS,X,O,X,X,O,O
IJLZOST,X,O,X,X,O,O
IJLOTSZ,X,O,O,X,O,O
IJLOTZS,X,O,O,X,O,O
IJLOSTZ,X,X,O,X,O,O
IJLOSZT,X,X,O,X,O,O
IJLOZTS,X,O,O,X,O,O
IJLOZST,X,O,O,X,O,O
IJSTLZO,O,O,X,X,O,X
IJSTLOZ,X,O,O,X,X,X
IJSTZLO,O,O,X,X,O,X
IJSTZOL,O,O,X,X,O,X
IJSTOLZ,X,O,X,X,O,X
IJSTOZL,X,O,X,X,O,X
IJSLTZO,O,X,X,X,O,O
IJSLTOZ,X,X,O,X,X,O
IJSLZTO,O,X,X,X,O,O
IJSLZOT,O,X,X,X,O,O
IJSLOTZ,O,X,O,X,X,O
IJSLOZT,O,X,O,X,X,O
IJSZTLO,O,O,X,X,O,O
IJSZTOL,O,O,X,X,O,O
IJSZLTO,O,O,X,X,O,O
IJSZLOT,O,O,X,X,O,O
IJSZOTL,O,O,X,X,O,O
IJSZOLT,O,O,X,X,O,O
IJSOTLZ,O,O,O,X,O,X
IJSOTZL,O,O,X,X,O,X
IJSOLTZ,O,X,O,X,O,O
IJSOLZT,O,X,O,X,O,O
IJSOZTL,O,O,X,X,O,O
IJSOZLT,O,O,O,X,O,O
IJZTLSO,O,O,X,X,O,O
IJZTLOS,X,O,X,X,O,O
IJZTSLO,O,O,X,X,O,O
IJZTSOL,O,O,X,X,O,O
IJZTOLS,O,O,X,X,O,O
IJZTOSL,O,O,X,X,O,O
IJZLTSO,O,O,X,X,O,O
IJZLTOS,X,O,X,X,O,O
IJZLSTO,O,O,X,X,O,O
IJZLSOT,O,O,X,X,O,O
IJZLOTS,X,O,X,X,O,O
IJZLOST,X,O,X,X,O,O
IJZSTLO,O,O,X,X,O,O
IJZSTOL,O,O,X,X,O,O
IJZSLTO,O,O,X,X,O,O
IJZSLOT,O,O,X,X,O,O
IJZSOTL,O,O,X,X,O,O
IJZSOLT,O,O,X,X,O,O
IJZOTLS,O,O,X,X,O,O
IJZOTSL,O,O,X,X,O,O
IJZOLTS,O,O,X,X,O,O
IJZOLST,O,O,X,X,O,O
IJZOSTL,O,O,X,X,O,O
IJZOSLT,O,O,X,X,O,O
IJOTLSZ,X,O,O,X,O,O
IJOTLZS,X,O,O,X,O,O
IJOTSLZ,O,O,O,X,O,X
IJOTSZL,O,O,X,X,O,X
IJOTZLS,O,O,X,X,O,O
IJOTZSL,O,O,X,X,O,X
IJOLTSZ,X,O,O,X,O,O
IJOLTZS,X,O,O,X,O,O
IJOLSTZ,O,X,O,X,O,O
IJOLSZT,O,X,O,X,O,O
IJOLZTS,O,O,O,X,O,O
IJOLZST,O,O,O,X,O,O
IJOSTLZ,O,O,O,X,O,X
IJOSTZL,O,O,X,X,O,X
IJOSLTZ,O,X,O,X,O,O
IJOSLZT,O,X,O,X,O,O
IJOSZTL,O,O,X,X,O,O
IJOSZLT,O,O,O,X,O,O
IJOZTLS,O,O,X,X,O,O
IJOZTSL,O,O,X,X,O,O
IJOZLTS,O,O,O,X,O,O
IJOZLST,O,O,O,X,O,O
IJOZSTL,O,O,X,X,O,O
IJOZSLT,O,O,O,X,O,O
ISTLJZO,O,O,X,X,X,X
ISTLJOZ,X,O,O,X,X,X
ISTLZJO,O,O,X,X,X,X
ISTLZOJ,O,O,X,O,X,X
ISTLOJZ,O,X,O,O,X,X
ISTLOZJ,O,X,O,O,X,X
ISTJLZO,O,O,X,X,X,X
ISTJLOZ,X,O,O,X,X,X
ISTJZLO,O,O,X,X,X,X
ISTJZOL,O,O,X,O,X,X
ISTJOLZ,X,O,X,O,X,X
ISTJOZL,X,O,X,O,X,X
ISTZLJO,O,O,X,X,X,X
ISTZLOJ,O,O,X,O,X,X
ISTZJLO,O,O,X,X,X,X
ISTZJOL,O,O,X,O,X,X
ISTZOLJ,O,O,X,O,X,X
ISTZOJL,O,O,X,O,X,X
ISTOLJZ,O,X,X,O,X,X
ISTOLZJ,O,X,X,O,X,X
ISTOJLZ,O,X,X,O,X,X
ISTOJZL,O,X,X,O,X,X
ISTOZLJ,O,X,X,O,X,X
ISTOZJL,O,X,X,O,X,X
ISLTJZO,O,X,X,X,X,O
ISLTJOZ,X,X,O,X,X,O
ISLTZJO,O,X,X,X,X,O
ISLTZOJ,O,X,X,X,X,O
ISLTOJZ,O,X,O,X,X,X
ISLTOZJ,O,X,O,X,X,X
ISLJTZO,O,X,X,X,O,O
ISLJTOZ,X,X,O,X,X,O
ISLJZTO,O,X,X,X,O,O
ISLJZOT,O,X,X,X,O,O
ISLJOTZ,O,X,O,X,X,O
ISLJOZT,O,X,O,X,X,O
ISLZTJO,O,X,X,X,O,O
ISLZTOJ,O,X,X,X,O,O
ISLZJTO,O,X,X,X,O,O
ISLZJOT,O,X,X,X,O,O
ISLZOTJ,O,X,X,X,O,O
ISLZOJT,O,X,X,X,O,O
ISLOTJZ,O,X,O,X,X,X
ISLOTZJ,O,X,O,X,X,X
ISLOJTZ,O,X,O,X,X,O
ISLOJZT,O,X,O,X,X,O
ISLOZTJ,O,X,O,X,X,O
ISLOZJT,O,X,O,X,X,O
ISJTLZO,O,O,X,X,O,X
ISJTLOZ,X,O,O,X,X,X
ISJTZLO,O,O,X,X,O,X
ISJTZOL,O,O,X,X,O,X
ISJTOLZ,X,O,X,X,O,X
ISJTOZL,X,O,X,X,O,X
ISJLTZO,O,X,X,X,O,O
ISJLTOZ,X,X,O,X,X,O
ISJLZTO,O,X,X,X,O,O
ISJLZOT,O,X,X,X,O,O
ISJLOTZ,O,X,O,X,X,O
ISJLOZT,O,X,O,X,X,O
ISJZTLO,O,O,X,X,O,O
ISJZTOL,O,O,X,X,O,O
ISJZLTO,O,O,X,X,O,O
ISJZLOT,O,O,X,X,O,O
ISJZOTL,O,O,X,X,O,O
ISJZOLT,O,O,X,X,O,O
ISJOTLZ,O,O,O,X,O,X
ISJOTZL,O,O,X,X,O,X
ISJOLTZ,O,X,O,X,O,O
ISJOLZT,O,X,O,X,O,O
ISJOZTL,O,O,X,X,O,O
ISJOZLT,O,O,O,X,O,O
ISZTLJO,O,O,X,X,O,O
ISZTLOJ,O,O,X,O,O,O
ISZTJLO,O,O,X,X,O,O
ISZTJOL,O,O,X,O,O,O
ISZTOLJ,O,O,X,O,O,X
ISZTOJL,O,O,X,O,O,X
ISZLTJO,O,O,X,X,O,O
ISZLTOJ,O,O,X,X,O,O
ISZLJTO,O,O,X,X,O,O
ISZLJOT,O,O,X,X,O,O
ISZLOTJ,O,X,X,X,O,O
ISZLOJT,O,X,X,X,O,O
ISZJTLO,O,O,X,X,O,O
ISZJTOL,O,O,X,X,O,O
ISZJLTO,O,O,X,X,O,O
ISZJLOT,O,O,X,X,O,O
ISZJOTL,O,O,X,X,O,O
ISZJOLT,O,O,X,X,O,O
ISZOTLJ,O,O,X,O,O,X
ISZOTJL,O,O,X,O,O,X
ISZOLTJ,O,X,X,O,O,X
ISZOLJT,O,X,X,X,O,X
ISZOJTL,O,O,X,X,O,X
ISZOJLT,O,O,X,X,O,X
ISOTLJZ,O,X,O,O,X,X
ISOTLZJ,O,X,O,O,X,X
ISOTJLZ,O,X,O,O,X,X
ISOTJZL,O,X,X,O,X,X
ISOTZLJ,O,X,X,O,X,X
ISOTZJL,O,X,X,O,X,X
ISOLTJZ,O,X,O,O,X,X
ISOLTZJ,O,X,O,O,X,X
ISOLJTZ,O,X,O,X,O,X
ISOLJZT,O,X,O,X,O,X
ISOLZTJ,O,X,O,O,O,X
ISOLZJT,O,X,O,X,O,X
ISOJTLZ,O,X,O,X,O,X
ISOJTZL,O,X,X,X,O,X
ISOJLTZ,O,X,O,X,O,X
ISOJLZT,O,X,O,X,O,X
ISOJZTL,O,X,X,X,O,X
ISOJZLT,O,X,O,X,O,X
ISOZTLJ,O,X,X,O,O,X
ISOZTJL,O,X,X,O,O,X
ISOZLTJ,O,X,O,O,O,X
ISOZLJT,O,X,O,X,O,X
ISOZJTL,O,X,X,X,O,X
ISOZJLT,O,X,O,X,O,X
IZTLJSO,O,O,X,X,O,O
IZTLJOS,X,O,X,X,O,O
IZTLSJO,O,O,X,X,O,O
IZTLSOJ,O,O,X,X,O,O
IZTLOJS,O,O,X,X,X,X
IZTLOSJ,O,O,X,X,X,X
IZTJLSO,O,O,X,X,O,O
IZTJLOS,X,O,X,X,O,O
IZTJSLO,O,O,X,X,O,O
IZTJSOL,O,O,X,X,O,O
IZTJOLS,O,O,X,X,O,O
IZTJOSL,O,O,X,X,O,O
IZTSLJO,O,O,X,X,O,O
IZTSLOJ,O,O,X,O,O,O
IZTSJLO,O,O,X,X,O,O
IZTSJOL,O,O,X,O,O,O
IZTSOLJ,O,O,X,O,O,X
IZTSOJL,O,O,X,O,O,X
IZTOLJS,O,O,X,X,O,X
IZTOLSJ,O,O,X,O,O,X
IZTOJLS,O,O,X,X,O,X
IZTOJSL,O,O,X,X,O,X
IZTOSLJ,O,O,X,O,O,X
IZTOSJL,O,O,X,O,O,X
IZLTJSO,O,O,X,X,O,O
IZLTJOS,X,O,X,X,O,O
IZLTSJO,O,O,X,X,O,O
IZLTSOJ,O,O,X,X,O,O
IZLTOJS,O,O,X,X,X,X
IZLTOSJ,O,O,X,X,X,X
IZLJTSO,O,O,X,X,O,O
IZLJTOS,X,O,X,X,O,O
IZLJSTO,O,O,X,X,O,O
IZLJSOT,O,O,X,X,O,O
IZLJOTS,X,O,X,X,O,O
IZLJOST,X,O,X,X,O,O
IZLSTJO,O,O,X,X,O,O
IZLSTOJ,O,O,X,X,O,O
IZLSJTO,O,O,X,X,O,O
IZLSJOT,O,O,X,X,O,O
IZLSOTJ,O,X,X,X,O,O
IZLSOJT,O,X,X,X,O,O
IZLOTJS,O,X,X,X,O,X
IZLOTSJ,O,X,X,X,O,X
IZLOJTS,O,X,X,X,O,O
IZLOJST,O,X,X,X,O,O
IZLOSTJ,O,X,X,X,O,O
IZLOSJT,O,X,X,X,O,O
IZJTLSO,O,O,X,X,O,O
IZJTLOS,X,O,X,X,O,O
IZJTSLO,O,O,X,X,O,O
IZJTSOL,O,O,X,X,O,O
IZJTOLS,O,O,X,X,O,O
IZJTOSL,O,O,X,X,O,O
IZJLTSO,O,O,X,X,O,O
IZJLTOS,X,O,X,X,O,O
IZJLSTO,O,O,X,X,O,O
IZJLSOT,O,O,X,X,O,O
IZJLOTS,X,O,X,X,O,O
IZJLOST,X,O,X,X,O,O
IZJSTLO,O,O,X,X,O,O
IZJSTOL,O,O,X,X,O,O
IZJSLTO,O,O,X,X,O,O
IZJSLOT,O,O,X,X,O,O
IZJSOTL,O,O,X,X,O,O
IZJSOLT,O,O,X,X,O,O
IZJOTLS,O,O,X,X,O,O
IZJOTSL,O,O,X,X,O,O
IZJOLTS,O,O,X,X,O,O
IZJOLST,O,O,X,X,O,O
IZJOSTL,O,O,X,X,O,O
IZJOSLT,O,O,X,X,O,O
IZSTLJO,O,O,X,X,O,O
IZSTLOJ,O,O,X,O,O,O
IZSTJLO,O,O,X,X,O,O
IZSTJOL,O,O,X,O,O,O
IZSTOLJ,O,O,X,O,O,X
IZSTOJL,O,O,X,O,O,X
IZSLTJO,O,O,X,X,O,O
IZSLTOJ,O,O,X,X,O,O
IZSLJTO,O,O,X,X,O,O
IZSLJOT,O,O,X,X,O,O
IZSLOTJ,O,X,X,X,O,O
IZSLOJT,O,X,X,X,O,O
IZSJTLO,O,O,X,X,O,O
IZSJTOL,O,O,X,X,O,O
IZSJLTO,O,O,X,X,O,O
IZSJLOT,O,O,X,X,O,O
IZSJOTL,O,O,X,X,O,O
IZSJOLT,O,O,X,X,O,O
IZSOTLJ,O,O,X,O,O,X
IZSOTJL,O,O,X,O,O,X
IZSOLTJ,O,X,X,O,O,X
IZSOLJT,O,X,X,X,O,X
IZSOJTL,O,O,X,X,O,X
IZSOJLT,O,O,X,X,O,X
IZOTLJS,O,O,X,X,O,X
IZOTLSJ,O,O,X,O,O,X
IZOTJLS,O,O,X,X,O,X
IZOTJSL,O,O,X,X,O,X
IZOTSLJ,O,O,X,O,O,X
IZOTSJL,O,O,X,O,O,X
IZOLTJS,O,X,X,X,O,X
IZOLTSJ,O,X,X,O,O,X
IZOLJTS,O,X,X,X,O,O
IZOLJST,O,X,X,X,O,O
IZOLSTJ,O,X,X,O,O,O
IZOLSJT,O,X,X,X,O,O
IZOJTLS,O,O,X,X,O,O
IZOJTSL,O,O,X,X,O,X
IZOJLTS,O,O,X,X,O,O
IZOJLST,O,O,X,X,O,O
IZOJSTL,O,O,X,X,O,X
IZOJSLT,O,O,X,X,O,O
IZOSTLJ,O,O,X,O,O,X
IZOSTJL,O,O,X,O,O,X
IZOSLTJ,O,X,X,O,O,X
IZOSLJT,O,X,X,X,O,X
IZOSJTL,O,O,X,X,O,X
IZOSJLT,O,O,X,X,O,X
IOTLJSZ,X,O,O,O,O,X
IOTLJZS,X,O,O,X,O,X
IOTLSJZ,X,X,O,O,X,X
IOTLSZJ,X,X,O,O,X,X
IOTLZJS,X,O,O,X,O,X
IOTLZSJ,X,O,O,O,O,X
IOTJLSZ,X,O,O,O,O,X
IOTJLZS,X,O,O,X,O,X
IOTJSLZ,O,O,O,O,O,X
IOTJSZL,O,O,X,O,O,X
IOTJZLS,O,O,X,X,O,X
IOTJZSL,O,O,X,X,O,X
IOTSLJZ,O,X,O,O,X,X
IOTSLZJ,O,X,O,O,X,X
IOTSJLZ,O,X,O,O,X,X
IOTSJZL,O,X,X,O,X,X
IOTSZLJ,O,X,X,O,X,X
IOTSZJL,O,X,X,O,X,X
IOTZLJS,O,O,X,X,O,X
IOTZLSJ,O,O,X,O,O,X
IOTZJLS,O,O,X,X,O,X
IOTZJSL,O,O,X,X,O,X
IOTZSLJ,O,O,X,O,O,X
IOTZSJL,O,O,X,O,O,X
IOLTJSZ,X,X,O,O,O,X
IOLTJZS,X,X,O,X,O,X
IOLTSJZ,X,X,O,O,X,X
IOLTSZJ,X,X,O,O,X,X
IOLTZJS,X,X,O,X,O,X
