sequence,v115@GhA8IeA8CeA8EeE8BeD8Jei/IvhF3gBRiB1pBOrB8r?BzsB,v115@GhA8IeA8CeA8EeE8BeD8JeT/IvhFxgBmiBypBFmB0n?B3rB,v115@GhA8IeA8CeA8EeE8BeD8Jel/IvhF3gBUiBaoB2pBxr?BTrB,v115@GhA8IeA8CeA8EeE8BeD8Jel/IvhF3gBaoB2pBxmBUn?BTrB,v115@GhA8IeA8CeA8EeE8BeD8Je0/IvhFlgBziB2pBimBRs?B3rB,v115@GhA8IeA8CeA8EeE8BeD8JecGJvhFxkBlnBTkBilBmn?B3rB
TLOSJIZ,X,X,X,X,X,X
TLOSJZI,O,X,X,X,X,X
TLOSZIJ,O,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X
TLOZIJS,X,O,X,X,X,X
TLOZISJ,O,X,X,X,X,X
TLOZJIS,O,O,X,X,X,X
TLOZJSI,O,O,X,X,X,X
TLOZSIJ,O,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X
TJILZOS,X,X,X,X,O,X
TJILOSZ,X,X,X,X,X,X
TJILOZS,X,X,X,X,O,X
TJISLZO,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X
TJIZLOS,X,X,X,X,O,X
TJIZSLO,X,X,X,X,X,X
TJIZSOL,X,X,X,X,X,X
TJIZOLS,X,X,X,X,O,X
TJIZOSL,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X
TJIOLZS,X,X,X,X,O,X
TJIOSLZ,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X
TJIOZLS,X,X,X,X,O,X
TJIOZSL,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,X
TJLSIZO,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X
TJLSZOI,O,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X
TJLSOZI,O,X,X,X,X,X
TJLZISO,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X
TJLOSZI,O,X,X,X,X,X
TJLOZIS,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X
TJSILZO,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X
TJSIZLO,X,X,X,X,X,X
TJSIZOL,X,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,X
TJSIOZL,X,X,X,X,X,X
TJSLIZO,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X
TJSLZIO,O,X,X,X,X,X
TJSLZOI,O,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X
TJSLOZI,O,X,X,X,X,X
TJSZILO,O,X,X,X,X,X
TJSZIOL,X,X,X,X,X,X
TJSZLIO,O,X,X,X,X,X
TJSZLOI,O,X,X,X,X,X
TJSZOIL,O,X,X,X,X,X
TJSZOLI,O,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X
TJSOIZL,X,X,X,X,X,X
TJSOLIZ,X,X,X,X,X,X
TJSOLZI,O,X,X,X,X,X
TJSOZIL,O,X,X,X,X,X
TJSOZLI,O,X,X,X,X,X
TJZILSO,X,X,X,X,X,X
TJZILOS,X,X,X,X,O,X
TJZISLO,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,X
TJZIOLS,X,X,X,X,O,X
TJZIOSL,X,X,X,X,X,X
TJZLISO,X,X,X,X,X,X
TJZLIOS,X,X,X,X,X,X
TJZLSIO,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X
TJZSILO,X,X,X,X,X,X
TJZSIOL,X,X,X,X,X,X
TJZSLIO,X,X,X,X,X,X
TJZSLOI,X,X,X,X,X,X
TJZSOIL,X,X,X,X,X,X
TJZSOLI,X,X,X,X,X,X
TJZOILS,X,X,X,X,X,X
TJZOISL,X,X,X,X,X,X
TJZOLIS,X,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X
TJZOSIL,X,X,X,X,X,X
TJZOSLI,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X
TJOILZS,X,X,X,X,X,X
TJOISLZ,X,X,X,X,X,X
TJOISZL,X,X,X,X,X,X
TJOIZLS,X,X,X,X,X,X
TJOIZSL,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X
TJOLIZS,X,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,X
TJOLSZI,O,X,X,X,X,X
TJOLZIS,X,X,X,X,X,X
TJOLZSI,X,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X
TJOSIZL,X,X,X,X,X,X
TJOSLIZ,X,X,X,X,X,X
TJOSLZI,O,X,X,X,X,X
TJOSZIL,O,X,X,X,X,X
TJOSZLI,O,X,X,X,X,X
TJOZILS,X,X,X,X,X,X
TJOZISL,X,X,X,X,X,X
TJOZLIS,X,X,X,X,X,X
TJOZLSI,X,X,X,X,X,X
TJOZSIL,X,X,X,X,X,X
TJOZSLI,X,X,X,X,X,X
TSILJZO,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X
TSILZJO,X,X,X,X,X,X
TSILZOJ,X,X,X,X,X,X
TSILOJZ,X,X,X,X,X,X
TSILOZJ,X,X,X,X,X,X
TSIJLZO,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X
TSIJZOL,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X
TSIJOZL,X,X,X,X,X,X
TSIZLJO,X,X,X,X,X,O
TSIZLOJ,X,X,X,X,X,O
TSIZJLO,X,X,X,X,X,O
TSIZJOL,X,X,X,X,X,O
TSIZOLJ,X,X,X,X,X,O
TSIZOJL,X,X,X,X,X,O
TSIOLJZ,X,X,X,X,X,X
TSIOLZJ,X,X,X,X,X,X
TSIOJLZ,X,X,X,X,X,X
TSIOJZL,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,X
TSIOZJL,X,X,X,X,X,X
TSLIJZO,X,X,X,X,X,X
TSLIJOZ,X,X,X,X,X,X
TSLIZJO,X,X,X,X,X,X
TSLIZOJ,X,X,X,X,X,X
TSLIOJZ,X,X,X,X,X,X
TSLIOZJ,X,X,X,X,X,X
TSLJIZO,X,X,X,X,X,X
TSLJIOZ,X,X,X,X,X,X
TSLJZIO,O,X,X,X,X,X
TSLJZOI,O,X,X,X,X,X
TSLJOIZ,X,X,X,X,X,X
TSLJOZI,O,X,X,X,X,X
TSLZIJO,O,X,X,X,X,X
TSLZIOJ,O,X,X,X,X,X
TSLZJIO,X,X,X,X,X,X
TSLZJOI,X,X,X,X,X,X
TSLZOIJ,O,X,X,X,X,X
TSLZOJI,X,X,X,X,X,X
TSLOIJZ,X,X,X,X,X,X
TSLOIZJ,O,X,X,X,X,X
TSLOJIZ,X,X,X,X,X,X
TSLOJZI,O,X,X,X,X,X
TSLOZIJ,O,X,X,X,X,X
TSLOZJI,X,X,X,X,X,X
TSJILZO,X,X,X,X,X,X
TSJILOZ,X,X,X,X,X,X
TSJIZLO,X,X,X,X,X,X
TSJIZOL,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,X,X
TSJIOZL,X,X,X,X,X,X
TSJLIZO,X,X,X,X,X,X
TSJLIOZ,X,X,X,X,X,X
TSJLZIO,O,X,X,X,X,X
TSJLZOI,O,X,X,X,X,X
TSJLOIZ,X,X,X,X,X,X
TSJLOZI,O,X,X,X,X,X
TSJZILO,O,X,X,X,X,X
TSJZIOL,X,X,X,X,X,X
TSJZLIO,O,X,X,X,X,X
TSJZLOI,O,X,X,X,X,X
TSJZOIL,O,X,X,X,X,X
TSJZOLI,O,X,X,X,X,X
TSJOILZ,X,X,X,X,X,X
TSJOIZL,X,X,X,X,X,X
TSJOLIZ,X,X,X,X,X,X
TSJOLZI,O,X,X,X,X,X
TSJOZIL,O,X,X,X,X,X
TSJOZLI,O,X,X,X,X,X
TSZILJO,O,X,X,X,X,O
TSZILOJ,O,X,X,X,X,O
TSZIJLO,X,X,X,X,X,O
TSZIJOL,X,X,X,X,X,O
TSZIOLJ,X,X,X,X,X,O
TSZIOJL,X,X,X,X,X,O
TSZLIJO,O,X,X,X,X,X
TSZLIOJ,O,X,X,X,X,X
TSZLJIO,X,X,X,X,X,X
TSZLJOI,X,X,X,X,X,X
TSZLOIJ,O,X,X,X,X,X
TSZLOJI,X,X,X,X,X,X
TSZJILO,X,X,X,X,X,X
TSZJIOL,X,X,X,X,X,X
TSZJLIO,X,X,X,X,X,X
TSZJLOI,X,X,X,X,X,X
TSZJOIL,X,X,X,X,X,X
TSZJOLI,X,X,X,X,X,X
TSZOILJ,O,X,X,X,X,X
TSZOIJL,X,X,X,X,X,X
TSZOLIJ,O,X,X,X,X,X
TSZOLJI,X,X,X,X,X,X
TSZOJIL,X,X,X,X,X,X
TSZOJLI,X,X,X,X,X,X
TSOILJZ,X,X,X,X,X,X
TSOILZJ,O,X,X,X,X,X
TSOIJLZ,X,X,X,X,X,X
TSOIJZL,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,X
TSOIZJL,X,X,X,X,X,X
TSOLIJZ,X,X,X,X,X,X
TSOLIZJ,O,X,X,X,X,X
TSOLJIZ,X,X,X,X,X,X
TSOLJZI,O,X,X,X,X,X
TSOLZIJ,O,X,X,X,X,X
TSOLZJI,X,X,X,X,X,X
TSOJILZ,X,X,X,X,X,X
TSOJIZL,X,X,X,X,X,X
TSOJLIZ,X,X,X,X,X,X
TSOJLZI,O,X,X,X,X,X
TSOJZIL,O,X,X,X,X,X
TSOJZLI,O,X,X,X,X,X
TSOZILJ,O,X,X,X,X,X
TSOZIJL,X,X,X,X,X,X
TSOZLIJ,O,X,X,X,X,X
TSOZLJI,X,X,X,X,X,X
TSOZJIL,X,X,X,X,X,X
TSOZJLI,X,X,X,X,X,X
TZILJSO,X,X,X,X,X,X
TZILJOS,X,O,X,X,X,X
