sequence,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFqmBmiB5oBzlB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFUiBaoB5oBzlBWs?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBqmBmiB5oB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBUiBaoB5oBWs?B3qB
JLOZSIT,O,O,X,O
JSTILZO,X,O,X,O
JSTILOZ,X,O,X,O
JSTIZLO,X,O,X,O
JSTIZOL,X,O,X,O
JSTIOLZ,X,O,X,O
JSTIOZL,X,O,X,O
JSTLIZO,X,O,X,O
JSTLIOZ,X,O,X,O
JSTLZIO,X,O,X,O
JSTLZOI,X,O,X,O
JSTLOIZ,X,O,X,O
JSTLOZI,X,O,X,O
JSTZILO,X,O,X,O
JSTZIOL,X,O,X,O
JSTZLIO,X,O,X,O
JSTZLOI,X,O,X,O
JSTZOIL,X,O,X,O
JSTZOLI,X,O,X,O
JSTOILZ,X,O,X,O
JSTOIZL,X,O,X,O
JSTOLIZ,X,O,X,O
JSTOLZI,X,O,X,O
JSTOZIL,X,O,X,O
JSTOZLI,X,O,X,O
JSITLZO,X,O,X,O
JSITLOZ,X,O,X,O
JSITZLO,X,O,X,O
JSITZOL,X,O,X,O
JSITOLZ,X,O,X,O
JSITOZL,X,O,X,O
JSILTZO,X,O,X,O
JSILTOZ,X,O,X,O
JSILZTO,X,O,X,O
JSILZOT,X,O,X,O
JSILOTZ,X,O,X,O
JSILOZT,X,O,X,O
JSIZTLO,X,O,X,O
JSIZTOL,X,O,X,O
JSIZLTO,X,O,X,O
JSIZLOT,X,O,X,O
JSIZOTL,X,O,X,O
JSIZOLT,X,O,X,O
JSIOTLZ,X,O,X,O
JSIOTZL,X,O,X,O
JSIOLTZ,X,O,X,O
JSIOLZT,X,O,X,O
JSIOZTL,X,O,X,O
JSIOZLT,X,O,X,O
JSLTIZO,X,O,X,O
JSLTIOZ,X,O,X,O
JSLTZIO,X,O,X,O
JSLTZOI,X,O,X,O
JSLTOIZ,X,O,X,O
JSLTOZI,X,O,X,O
JSLITZO,X,O,X,O
JSLITOZ,X,O,X,O
JSLIZTO,X,O,X,O
JSLIZOT,X,O,X,O
JSLIOTZ,X,O,X,O
JSLIOZT,X,O,X,O
JSLZTIO,X,O,X,O
JSLZTOI,X,O,X,O
JSLZITO,X,O,X,O
JSLZIOT,X,O,X,O
JSLZOTI,X,O,X,O
JSLZOIT,X,O,X,O
JSLOTIZ,X,O,X,O
JSLOTZI,X,O,X,O
JSLOITZ,X,O,X,O
JSLOIZT,X,O,X,O
JSLOZTI,X,O,X,O
JSLOZIT,X,O,X,O
JSZTILO,X,O,X,O
JSZTIOL,X,O,X,O
JSZTLIO,X,O,X,O
JSZTLOI,X,O,X,O
JSZTOIL,X,O,X,O
JSZTOLI,X,O,X,O
JSZITLO,X,O,X,O
JSZITOL,X,O,X,O
JSZILTO,X,O,X,O
JSZILOT,X,O,X,O
JSZIOTL,X,O,X,O
JSZIOLT,X,O,X,O
JSZLTIO,X,O,X,O
JSZLTOI,X,O,X,O
JSZLITO,X,O,X,O
JSZLIOT,X,O,X,O
JSZLOTI,X,O,X,O
JSZLOIT,X,O,X,O
JSZOTIL,X,O,X,O
JSZOTLI,X,O,X,O
JSZOITL,X,O,X,O
JSZOILT,X,O,X,O
JSZOLTI,X,O,X,O
JSZOLIT,X,O,X,O
JSOTILZ,X,O,X,O
JSOTIZL,X,O,X,O
JSOTLIZ,X,O,X,O
JSOTLZI,X,O,X,O
JSOTZIL,X,O,X,O
JSOTZLI,X,O,X,O
JSOITLZ,X,O,X,O
JSOITZL,X,O,X,O
JSOILTZ,X,O,X,O
JSOILZT,X,O,X,O
JSOIZTL,X,O,X,O
JSOIZLT,X,O,X,O
JSOLTIZ,X,O,X,O
JSOLTZI,X,O,X,O
JSOLITZ,X,O,X,O
JSOLIZT,X,O,X,O
JSOLZTI,X,O,X,O
JSOLZIT,X,O,X,O
JSOZTIL,X,O,X,O
JSOZTLI,X,O,X,O
JSOZITL,X,O,X,O
JSOZILT,X,O,X,O
JSOZLTI,X,O,X,O
JSOZLIT,X,O,X,O
JZTILSO,O,O,O,O
JZTILOS,O,O,O,O
JZTISLO,O,O,O,O
JZTISOL,O,O,X,O
JZTIOLS,O,O,O,O
JZTIOSL,O,O,X,O
JZTLISO,O,O,O,O
JZTLIOS,O,O,O,O
JZTLSIO,O,O,O,O
JZTLSOI,O,O,O,O
JZTLOIS,O,O,O,O
JZTLOSI,O,O,O,O
JZTSILO,O,O,O,O
JZTSIOL,O,O,X,O
JZTSLIO,O,O,O,O
JZTSLOI,O,O,O,O
JZTSOIL,O,O,X,O
JZTSOLI,O,O,X,O
JZTOILS,O,O,O,O
JZTOISL,O,O,X,O
JZTOLIS,O,O,O,O
JZTOLSI,O,O,O,O
JZTOSIL,O,O,X,O
JZTOSLI,O,O,X,O
JZITLSO,O,O,O,O
JZITLOS,O,O,O,O
JZITSLO,O,O,O,O
JZITSOL,O,O,X,O
JZITOLS,O,O,O,O
JZITOSL,O,O,X,O
JZILTSO,O,O,O,O
JZILTOS,O,O,O,O
JZILSTO,O,O,O,O
JZILSOT,O,O,O,O
JZILOTS,O,O,O,O
JZILOST,O,O,O,O
JZISTLO,O,O,O,O
JZISTOL,O,O,X,O
JZISLTO,O,O,O,O
JZISLOT,O,O,O,O
JZISOTL,O,O,X,O
JZISOLT,O,O,X,O
JZIOTLS,O,O,O,O
JZIOTSL,O,O,X,O
JZIOLTS,O,O,O,O
JZIOLST,O,O,O,O
JZIOSTL,O,O,X,O
JZIOSLT,O,O,X,O
JZLTISO,O,O,O,O
JZLTIOS,O,O,O,O
JZLTSIO,O,O,O,O
JZLTSOI,O,O,O,O
JZLTOIS,O,O,O,O
JZLTOSI,O,O,O,O
JZLITSO,O,O,O,O
JZLITOS,O,O,O,O
JZLISTO,O,O,O,O
JZLISOT,O,O,O,O
JZLIOTS,O,O,O,O
JZLIOST,O,O,O,O
JZLSTIO,O,O,O,O
JZLSTOI,O,O,O,O
JZLSITO,O,O,O,O
JZLSIOT,O,O,O,O
JZLSOTI,O,O,O,O
JZLSOIT,O,O,O,O
JZLOTIS,O,O,O,O
JZLOTSI,O,O,O,O
JZLOITS,O,O,O,O
JZLOIST,O,O,O,O
JZLOSTI,O,O,O,O
JZLOSIT,O,O,O,O
JZSTILO,O,O,O,O
JZSTIOL,O,O,X,O
JZSTLIO,O,O,O,O
JZSTLOI,O,O,O,O
JZSTOIL,O,O,X,O
JZSTOLI,O,O,X,O
JZSITLO,O,O,O,O
JZSITOL,O,O,X,O
JZSILTO,O,O,O,O
JZSILOT,O,O,O,O
JZSIOTL,O,O,X,O
JZSIOLT,O,O,X,O
JZSLTIO,O,O,O,O
JZSLTOI,O,O,O,O
JZSLITO,O,O,O,O
JZSLIOT,O,O,O,O
JZSLOTI,O,O,O,O
JZSLOIT,O,O,O,O
JZSOTIL,O,O,X,O
JZSOTLI,O,O,X,O
JZSOITL,O,O,X,O
JZSOILT,O,O,X,O
JZSOLTI,O,O,X,O
JZSOLIT,O,O,X,O
JZOTILS,O,O,O,O
JZOTISL,O,O,X,O
JZOTLIS,O,O,O,O
JZOTLSI,O,O,O,O
JZOTSIL,O,O,X,O
JZOTSLI,O,O,X,O
JZOITLS,O,O,O,O
JZOITSL,O,O,X,O
JZOILTS,O,O,O,O
JZOILST,O,O,O,O
JZOISTL,O,O,X,O
JZOISLT,O,O,X,O
JZOLTIS,O,O,O,O
JZOLTSI,O,O,O,O
JZOLITS,O,O,O,O
JZOLIST,O,O,O,O
JZOLSTI,O,O,O,O
JZOLSIT,O,O,O,O
JZOSTIL,O,O,X,O
JZOSTLI,O,O,X,O
JZOSITL,O,O,X,O
JZOSILT,O,O,X,O
JZOSLTI,O,O,X,O
JZOSLIT,O,O,X,O
JOTILSZ,X,O,X,O
JOTILZS,O,O,X,O
JOTISLZ,X,O,X,O
JOTISZL,X,O,X,O
JOTIZLS,O,O,X,O
JOTIZSL,O,O,X,O
JOTLISZ,X,O,X,O
JOTLIZS,O,O,X,O
JOTLSIZ,X,O,X,O
JOTLSZI,X,O,X,O
JOTLZIS,O,O,X,O
JOTLZSI,O,O,X,O
JOTSILZ,X,O,X,O
JOTSIZL,X,O,X,O
JOTSLIZ,X,O,X,O
JOTSLZI,X,O,X,O
JOTSZIL,X,O,X,O
JOTSZLI,X,O,X,O
JOTZILS,O,O,X,O
JOTZISL,O,O,X,O
JOTZLIS,O,O,X,O
JOTZLSI,O,O,X,O
JOTZSIL,O,O,X,O
JOTZSLI,O,O,X,O
JOITLSZ,X,O,X,O
JOITLZS,O,O,X,O
JOITSLZ,X,O,X,O
JOITSZL,X,O,X,O
JOITZLS,O,O,X,O
JOITZSL,O,O,X,O
JOILTSZ,X,O,X,O
JOILTZS,O,O,X,O
JOILSTZ,X,O,X,O
JOILSZT,X,O,X,O
JOILZTS,O,O,X,O
JOILZST,O,O,X,O
JOISTLZ,X,O,X,O
JOISTZL,X,O,X,O
JOISLTZ,X,O,X,O
JOISLZT,X,O,X,O
JOISZTL,X,O,X,O
JOISZLT,X,O,X,O
JOIZTLS,O,O,X,O
JOIZTSL,O,O,X,O
JOIZLTS,O,O,X,O
JOIZLST,O,O,X,O
JOIZSTL,O,O,X,O
JOIZSLT,O,O,X,O
JOLTISZ,X,O,X,O
JOLTIZS,O,O,X,O
JOLTSIZ,X,O,X,O
JOLTSZI,X,O,X,O
JOLTZIS,O,O,X,O
JOLTZSI,O,O,X,O
JOLITSZ,X,O,X,O
JOLITZS,O,O,X,O
JOLISTZ,X,O,X,O
JOLISZT,X,O,X,O
JOLIZTS,O,O,X,O
JOLIZST,O,O,X,O
JOLSTIZ,X,O,X,O
JOLSTZI,X,O,X,O
JOLSITZ,X,O,X,O
JOLSIZT,X,O,X,O
JOLSZTI,X,O,X,O
JOLSZIT,X,O,X,O
JOLZTIS,O,O,X,O
JOLZTSI,O,O,X,O
JOLZITS,O,O,X,O
JOLZIST,O,O,X,O
JOLZSTI,O,O,X,O
JOLZSIT,O,O,X,O
JOSTILZ,X,O,X,O
JOSTIZL,X,O,X,O
JOSTLIZ,X,O,X,O
JOSTLZI,X,O,X,O
JOSTZIL,X,O,X,O
JOSTZLI,X,O,X,O
JOSITLZ,X,O,X,O
JOSITZL,X,O,X,O
JOSILTZ,X,O,X,O
JOSILZT,X,O,X,O
JOSIZTL,X,O,X,O
JOSIZLT,X,O,X,O
JOSLTIZ,X,O,X,O
JOSLTZI,X,O,X,O
JOSLITZ,X,O,X,O
JOSLIZT,X,O,X,O
JOSLZTI,X,O,X,O
JOSLZIT,X,O,X,O
JOSZTIL,X,O,X,O
JOSZTLI,X,O,X,O
JOSZITL,X,O,X,O
JOSZILT,X,O,X,O
JOSZLTI,X,O,X,O
JOSZLIT,X,O,X,O
JOZTILS,O,O,X,O
JOZTISL,O,O,X,O
JOZTLIS,O,O,X,O
JOZTLSI,O,O,X,O
JOZTSIL,O,O,X,O
JOZTSLI,O,O,X,O
JOZITLS,O,O,X,O
JOZITSL,O,O,X,O
JOZILTS,O,O,X,O
JOZILST,O,O,X,O
JOZISTL,O,O,X,O
JOZISLT,O,O,X,O
JOZLTIS,O,O,X,O
JOZLTSI,O,O,X,O
JOZLITS,O,O,X,O
JOZLIST,O,O,X,O
JOZLSTI,O,O,X,O
JOZLSIT,O,O,X,O
JOZSTIL,O,O,X,O
JOZSTLI,O,O,X,O
JOZSITL,O,O,X,O
JOZSILT,O,O,X,O
JOZSLTI,O,O,X,O
JOZSLIT,O,O,X,O
STILJZO,X,O,O,O
STILJOZ,X,O,O,O
STILZJO,O,X,O,X
STILZOJ,O,X,O,X
STILOJZ,X,O,O,X
STILOZJ,O,X,O,X
STIJLZO,X,O,X,O
STIJLOZ,X,O,X,O
STIJZLO,X,O,X,O
STIJZOL,X,O,X,O
STIJOLZ,X,O,X,O
STIJOZL,X,O,X,O
STIZLJO,O,X,O,X
STIZLOJ,O,X,O,X
STIZJLO,O,X,O,X
STIZJOL,O,X,X,X
STIZOLJ,O,X,X,X
STIZOJL,O,X,X,X
STIOLJZ,X,O,X,X
STIOLZJ,O,X,X,X
STIOJLZ,X,O,X,X
STIOJZL,X,O,X,X
STIOZLJ,O,X,X,X
STIOZJL,O,X,X,X
STLIJZO,X,O,O,O
STLIJOZ,X,O,O,O
STLIZJO,O,X,O,X
STLIZOJ,O,X,O,X
STLIOJZ,X,O,O,X
STLIOZJ,O,X,O,X
STLJIZO,X,O,O,O
STLJIOZ,X,O,O,O
STLJZIO,X,O,O,O
STLJZOI,X,O,O,O
STLJOIZ,X,O,O,O
STLJOZI,X,O,O,O
STLZIJO,O,X,O,X
STLZIOJ,O,X,O,X
STLZJIO,O,X,O,X
STLZJOI,O,X,O,X
STLZOIJ,O,X,O,X
STLZOJI,O,X,O,X
STLOIJZ,X,O,O,X
STLOIZJ,O,X,O,X
STLOJIZ,X,O,O,X
STLOJZI,X,O,O,X
STLOZIJ,O,X,O,X
STLOZJI,O,X,O,X
STJILZO,X,O,X,O
STJILOZ,X,O,X,O
STJIZLO,X,O,X,O
STJIZOL,X,O,X,O
STJIOLZ,X,O,X,O
STJIOZL,X,O,X,O
STJLIZO,X,O,X,O
STJLIOZ,X,O,X,O
STJLZIO,X,O,X,O
STJLZOI,X,O,X,O
STJLOIZ,X,O,X,O
STJLOZI,X,O,X,O
STJZILO,X,O,X,O
STJZIOL,X,O,X,O
STJZLIO,X,O,X,O
STJZLOI,X,O,X,O
STJZOIL,X,O,X,O
STJZOLI,X,O,X,O
STJOILZ,X,O,X,O
STJOIZL,X,O,X,O
STJOLIZ,X,O,X,O
STJOLZI,X,O,X,O
STJOZIL,X,O,X,O
STJOZLI,X,O,X,O
STZILJO,O,X,O,X
STZILOJ,O,X,O,X
STZIJLO,O,X,O,X
STZIJOL,O,X,X,X
STZIOLJ,O,X,X,X
STZIOJL,O,X,X,X
STZLIJO,O,X,O,X
STZLIOJ,O,X,O,X
STZLJIO,O,X,O,X
STZLJOI,O,X,O,X
STZLOIJ,O,X,O,X
STZLOJI,O,X,O,X
STZJILO,O,X,O,X
STZJIOL,O,X,X,X
STZJLIO,O,X,O,X
STZJLOI,O,X,O,X
STZJOIL,O,X,X,X
STZJOLI,O,X,X,X
STZOILJ,O,X,X,X
STZOIJL,O,X,X,X
STZOLIJ,O,X,X,X
STZOLJI,O,X,X,X
STZOJIL,O,X,X,X
STZOJLI,O,X,X,X
STOILJZ,X,O,X,X
STOILZJ,O,X,X,X
STOIJLZ,X,O,X,X
STOIJZL,X,O,X,X
STOIZLJ,O,X,X,X
STOIZJL,O,X,X,X
STOLIJZ,X,O,X,X
STOLIZJ,O,X,X,X
STOLJIZ,X,O,X,X
STOLJZI,X,O,X,X
STOLZIJ,O,X,X,X
STOLZJI,O,X,X,X
STOJILZ,X,O,X,X
STOJIZL,X,O,X,X
STOJLIZ,X,O,X,X
STOJLZI,X,O,X,X
STOJZIL,X,O,X,X
STOJZLI,X,O,X,X
STOZILJ,O,X,X,X
STOZIJL,O,X,X,X
STOZLIJ,O,X,X,X
STOZLJI,O,X,X,X
STOZJIL,O,X,X,X
STOZJLI,O,X,X,X
SITLJZO,X,O,O,O
SITLJOZ,X,O,O,O
SITLZJO,O,X,O,X
SITLZOJ,O,X,O,X
SITLOJZ,X,O,O,X
SITLOZJ,O,X,O,X
SITJLZO,X,O,X,O
SITJLOZ,X,O,X,O
SITJZLO,X,O,X,O
SITJZOL,X,O,X,O
SITJOLZ,X,O,X,O
SITJOZL,X,O,X,O
SITZLJO,O,X,O,X
SITZLOJ,O,X,O,X
SITZJLO,O,X,O,X
SITZJOL,O,X,X,X
SITZOLJ,O,X,X,X
SITZOJL,O,X,X,X
SITOLJZ,X,O,X,X
SITOLZJ,O,X,X,X
SITOJLZ,X,O,X,X
SITOJZL,X,O,X,X
SITOZLJ,O,X,X,X
SITOZJL,O,X,X,X
SILTJZO,X,O,O,O
SILTJOZ,X,O,O,O
SILTZJO,O,X,O,X
SILTZOJ,O,X,O,X
SILTOJZ,X,O,O,X
SILTOZJ,O,X,O,X
SILJTZO,X,O,O,O
SILJTOZ,X,O,O,O
SILJZTO,X,O,O,O
SILJZOT,X,O,O,O
SILJOTZ,X,O,O,O
SILJOZT,X,O,O,O
SILZTJO,O,X,O,X
SILZTOJ,O,X,O,X
SILZJTO,O,X,O,X
SILZJOT,O,X,O,X
SILZOTJ,O,X,O,X
SILZOJT,O,X,O,X
SILOTJZ,X,O,O,X
SILOTZJ,O,X,O,X
SILOJTZ,X,O,O,X
SILOJZT,X,O,O,X
SILOZTJ,O,X,O,X
SILOZJT,O,X,O,X
SIJTLZO,X,O,X,O
SIJTLOZ,X,O,X,O
SIJTZLO,X,O,X,O
SIJTZOL,X,O,X,O
SIJTOLZ,X,O,X,O
SIJTOZL,X,O,X,O
SIJLTZO,X,O,X,O
SIJLTOZ,X,O,X,O
SIJLZTO,X,O,X,O
SIJLZOT,X,O,X,O
SIJLOTZ,X,O,X,O
SIJLOZT,X,O,X,O
SIJZTLO,X,O,X,O
SIJZTOL,X,O,X,O
SIJZLTO,X,O,X,O
SIJZLOT,X,O,X,O
SIJZOTL,X,O,X,O
SIJZOLT,X,O,X,O
SIJOTLZ,X,O,X,O
SIJOTZL,X,O,X,O
SIJOLTZ,X,O,X,O
SIJOLZT,X,O,X,O
SIJOZTL,X,O,X,O
SIJOZLT,X,O,X,O
SIZTLJO,O,X,O,X
SIZTLOJ,O,X,O,X
SIZTJLO,O,X,O,X
SIZTJOL,O,X,X,X
SIZTOLJ,O,X,X,X
SIZTOJL,O,X,X,X
SIZLTJO,O,X,O,X
SIZLTOJ,O,X,O,X
SIZLJTO,O,X,O,X
SIZLJOT,O,X,O,X
SIZLOTJ,O,X,O,X
SIZLOJT,O,X,O,X
SIZJTLO,O,X,O,X
SIZJTOL,O,X,X,X
SIZJLTO,O,X,O,X
SIZJLOT,O,X,O,X
SIZJOTL,O,X,X,X
SIZJOLT,O,X,X,X
SIZOTLJ,O,X,X,X
SIZOTJL,O,X,X,X
SIZOLTJ,O,X,X,X
SIZOLJT,O,X,X,X
SIZOJTL,O,X,X,X
SIZOJLT,O,X,X,X
SIOTLJZ,X,O,X,X
SIOTLZJ,O,X,X,X
SIOTJLZ,X,O,X,X
SIOTJZL,X,O,X,X
SIOTZLJ,O,X,X,X
SIOTZJL,O,X,X,X
SIOLTJZ,X,O,X,X
SIOLTZJ,O,X,X,X
SIOLJTZ,X,O,X,X
SIOLJZT,X,O,X,X
SIOLZTJ,O,X,X,X
SIOLZJT,O,X,X,X
SIOJTLZ,X,O,X,X
SIOJTZL,X,O,X,X
SIOJLTZ,X,O,X,X
SIOJLZT,X,O,X,X
SIOJZTL,X,O,X,X
SIOJZLT,X,O,X,X
SIOZTLJ,O,X,X,X
SIOZTJL,O,X,X,X
SIOZLTJ,O,X,X,X
SIOZLJT,O,X,X,X
SIOZJTL,O,X,X,X
SIOZJLT,O,X,X,X
SLTIJZO,X,O,O,O
SLTIJOZ,X,O,O,O
SLTIZJO,O,X,O,X
SLTIZOJ,O,X,O,X
SLTIOJZ,X,O,O,X
SLTIOZJ,O,X,O,X
SLTJIZO,X,O,O,O
SLTJIOZ,X,O,O,O
SLTJZIO,X,O,O,O
SLTJZOI,X,O,O,O
SLTJOIZ,X,O,O,O
SLTJOZI,X,O,O,O
SLTZIJO,O,X,O,X
SLTZIOJ,O,X,O,X
SLTZJIO,O,X,O,X
SLTZJOI,O,X,O,X
SLTZOIJ,O,X,O,X
SLTZOJI,O,X,O,X
SLTOIJZ,X,O,O,X
SLTOIZJ,O,X,O,X
SLTOJIZ,X,O,O,X
SLTOJZI,X,O,O,X
SLTOZIJ,O,X,O,X
SLTOZJI,O,X,O,X
SLITJZO,X,O,O,O
SLITJOZ,X,O,O,O
SLITZJO,O,X,O,X
SLITZOJ,O,X,O,X
SLITOJZ,X,O,O,X
SLITOZJ,O,X,O,X
SLIJTZO,X,O,O,O
SLIJTOZ,X,O,O,O
SLIJZTO,X,O,O,O
SLIJZOT,X,O,O,O
SLIJOTZ,X,O,O,O
SLIJOZT,X,O,O,O
SLIZTJO,O,X,O,X
SLIZTOJ,O,X,O,X
SLIZJTO,O,X,O,X
SLIZJOT,O,X,O,X
SLIZOTJ,O,X,O,X
SLIZOJT,O,X,O,X
SLIOTJZ,X,O,O,X
SLIOTZJ,O,X,O,X
SLIOJTZ,X,O,O,X
SLIOJZT,X,O,O,X
SLIOZTJ,O,X,O,X
SLIOZJT,O,X,O,X
SLJTIZO,X,O,O,O
SLJTIOZ,X,O,O,O
SLJTZIO,X,O,O,O
SLJTZOI,X,O,O,O
SLJTOIZ,X,O,O,O
SLJTOZI,X,O,O,O
SLJITZO,X,O,O,O
SLJITOZ,X,O,O,O
SLJIZTO,X,O,O,O
SLJIZOT,X,O,O,O
SLJIOTZ,X,O,O,O
SLJIOZT,X,O,O,O
SLJZTIO,X,O,O,O
SLJZTOI,X,O,O,O
SLJZITO,X,O,O,O
SLJZIOT,X,O,O,O
SLJZOTI,X,O,O,O
SLJZOIT,X,O,O,O
SLJOTIZ,X,O,O,O
SLJOTZI,X,O,O,O
SLJOITZ,X,O,O,O
SLJOIZT,X,O,O,O
SLJOZTI,X,O,O,O
SLJOZIT,X,O,O,O
SLZTIJO,O,X,O,X
SLZTIOJ,O,X,O,X
SLZTJIO,O,X,O,X
SLZTJOI,O,X,O,X
SLZTOIJ,O,X,O,X
SLZTOJI,O,X,O,X
SLZITJO,O,X,O,X
SLZITOJ,O,X,O,X
SLZIJTO,O,X,O,X
SLZIJOT,O,X,O,X
SLZIOTJ,O,X,O,X
SLZIOJT,O,X,O,X
SLZJTIO,O,X,O,X
SLZJTOI,O,X,O,X
SLZJITO,O,X,O,X
SLZJIOT,O,X,O,X
SLZJOTI,O,X,O,X
SLZJOIT,O,X,O,X
SLZOTIJ,O,X,O,X
SLZOTJI,O,X,O,X
SLZOITJ,O,X,O,X
SLZOIJT,O,X,O,X
SLZOJTI,O,X,O,X
SLZOJIT,O,X,O,X
SLOTIJZ,X,O,O,X
SLOTIZJ,O,X,O,X
SLOTJIZ,X,O,O,X
SLOTJZI,X,O,O,X
SLOTZIJ,O,X,O,X
SLOTZJI,O,X,O,X
SLOITJZ,X,O,O,X
SLOITZJ,O,X,O,X
SLOIJTZ,X,O,O,X
SLOIJZT,X,O,O,X
SLOIZTJ,O,X,O,X
SLOIZJT,O,X,O,X
SLOJTIZ,X,O,O,X
SLOJTZI,X,O,O,X
SLOJITZ,X,O,O,X
SLOJIZT,X,O,O,X
SLOJZTI,X,O,O,X
SLOJZIT,X,O,O,X
SLOZTIJ,O,X,O,X
SLOZTJI,O,X,O,X
SLOZITJ,O,X,O,X
SLOZIJT,O,X,O,X
SLOZJTI,O,X,O,X
SLOZJIT,O,X,O,X
SJTILZO,X,O,X,O
SJTILOZ,X,O,X,O
SJTIZLO,X,O,X,O
SJTIZOL,X,O,X,O
SJTIOLZ,X,O,X,O
SJTIOZL,X,O,X,O
SJTLIZO,X,O,X,O
SJTLIOZ,X,O,X,O
SJTLZIO,X,O,X,O
SJTLZOI,X,O,X,O
SJTLOIZ,X,O,X,O
SJTLOZI,X,O,X,O
SJTZILO,X,O,X,O
SJTZIOL,X,O,X,O
SJTZLIO,X,O,X,O
SJTZLOI,X,O,X,O
SJTZOIL,X,O,X,O
SJTZOLI,X,O,X,O
SJTOILZ,X,O,X,O
SJTOIZL,X,O,X,O
SJTOLIZ,X,O,X,O
SJTOLZI,X,O,X,O
SJTOZIL,X,O,X,O
SJTOZLI,X,O,X,O
SJITLZO,X,O,X,O
SJITLOZ,X,O,X,O
SJITZLO,X,O,X,O
SJITZOL,X,O,X,O
SJITOLZ,X,O,X,O
SJITOZL,X,O,X,O
SJILTZO,X,O,X,O
SJILTOZ,X,O,X,O
SJILZTO,X,O,X,O
SJILZOT,X,O,X,O
SJILOTZ,X,O,X,O
SJILOZT,X,O,X,O
SJIZTLO,X,O,X,O
SJIZTOL,X,O,X,O
SJIZLTO,X,O,X,O
SJIZLOT,X,O,X,O
SJIZOTL,X,O,X,O
SJIZOLT,X,O,X,O
SJIOTLZ,X,O,X,O
SJIOTZL,X,O,X,O
SJIOLTZ,X,O,X,O
SJIOLZT,X,O,X,O
SJIOZTL,X,O,X,O
SJIOZLT,X,O,X,O
SJLTIZO,X,O,X,O
SJLTIOZ,X,O,X,O
SJLTZIO,X,O,X,O
SJLTZOI,X,O,X,O
SJLTOIZ,X,O,X,O
SJLTOZI,X,O,X,O
SJLITZO,X,O,X,O
SJLITOZ,X,O,X,O
SJLIZTO,X,O,X,O
SJLIZOT,X,O,X,O
SJLIOTZ,X,O,X,O
SJLIOZT,X,O,X,O
SJLZTIO,X,O,X,O
SJLZTOI,X,O,X,O
SJLZITO,X,O,X,O
SJLZIOT,X,O,X,O
SJLZOTI,X,O,X,O
SJLZOIT,X,O,X,O
SJLOTIZ,X,O,X,O
SJLOTZI,X,O,X,O
SJLOITZ,X,O,X,O
SJLOIZT,X,O,X,O
SJLOZTI,X,O,X,O
SJLOZIT,X,O,X,O
SJZTILO,X,O,X,O
SJZTIOL,X,O,X,O
SJZTLIO,X,O,X,O
SJZTLOI,X,O,X,O
SJZTOIL,X,O,X,O
SJZTOLI,X,O,X,O
SJZITLO,X,O,X,O
SJZITOL,X,O,X,O
SJZILTO,X,O,X,O
SJZILOT,X,O,X,O
SJZIOTL,X,O,X,O
SJZIOLT,X,O,X,O
SJZLTIO,X,O,X,O
SJZLTOI,X,O,X,O
SJZLITO,X,O,X,O
SJZLIOT,X,O,X,O
SJZLOTI,X,O,X,O
SJZLOIT,X,O,X,O
SJZOTIL,X,O,X,O
SJZOTLI,X,O,X,O
SJZOITL,X,O,X,O
SJZOILT,X,O,X,O
SJZOLTI,X,O,X,O
SJZOLIT,X,O,X,O
SJOTILZ,X,O,X,O
SJOTIZL,X,O,X,O
SJOTLIZ,X,O,X,O
SJOTLZI,X,O,X,O
SJOTZIL,X,O,X,O
SJOTZLI,X,O,X,O
SJOITLZ,X,O,X,O
SJOITZL,X,O,X,O
SJOILTZ,X,O,X,O
SJOILZT,X,O,X,O
SJOIZTL,X,O,X,O
SJOIZLT,X,O,X,O
SJOLTIZ,X,O,X,O
SJOLTZI,X,O,X,O
SJOLITZ,X,O,X,O
SJOLIZT,X,O,X,O
SJOLZTI,X,O,X,O
SJOLZIT,X,O,X,O
SJOZTIL,X,O,X,O
SJOZTLI,X,O,X,O
SJOZITL,X,O,X,O
SJOZILT,X,O,X,O
SJOZLTI,X,O,X,O
SJOZLIT,X,O,X,O
SZTILJO,O,X,O,X
SZTILOJ,O,X,O,X
SZTIJLO,O,X,O,X
SZTIJOL,O,X,X,X
SZTIOLJ,O,X,X,X
SZTIOJL,O,X,X,X
SZTLIJO,O,X,O,X
SZTLIOJ,O,X,O,X
SZTLJIO,O,X,O,X
SZTLJOI,O,X,O,X
SZTLOIJ,O,X,O,X
SZTLOJI,O,X,O,X
SZTJILO,O,X,O,X
SZTJIOL,O,X,X,X
SZTJLIO,O,X,O,X
SZTJLOI,O,X,O,X
SZTJOIL,O,X,X,X
SZTJOLI,O,X,X,X
SZTOILJ,O,X,X,X
SZTOIJL,O,X,X,X
SZTOLIJ,O,X,X,X
SZTOLJI,O,X,X,X
SZTOJIL,O,X,X,X
SZTOJLI,O,X,X,X
SZITLJO,O,X,O,X
SZITLOJ,O,X,O,X
SZITJLO,O,X,O,X
SZITJOL,O,X,X,X
SZITOLJ,O,X,X,X
SZITOJL,O,X,X,X
SZILTJO,O,X,O,X
SZILTOJ,O,X,O,X
