sequence,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFqmBmiB5oBzlB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFUiBaoB5oBzlBWs?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBqmBmiB5oB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBUiBaoB5oBWs?B3qB
TZLIOSJ,O,X,O,X
TZLJISO,O,O,O,O
TZLJIOS,O,O,O,O
TZLJSIO,O,O,O,O
TZLJSOI,O,O,O,O
TZLJOIS,O,O,O,O
TZLJOSI,O,O,O,O
TZLSIJO,O,X,O,X
TZLSIOJ,O,X,O,X
TZLSJIO,O,X,O,X
TZLSJOI,O,X,O,X
TZLSOIJ,O,X,O,X
TZLSOJI,O,X,O,X
TZLOIJS,O,O,O,X
TZLOISJ,O,X,O,X
TZLOJIS,O,O,O,X
TZLOJSI,O,O,O,X
TZLOSIJ,O,X,O,X
TZLOSJI,O,X,O,X
TZJILSO,O,O,O,O
TZJILOS,O,O,O,O
TZJISLO,O,O,O,O
TZJISOL,O,O,X,O
TZJIOLS,O,O,O,O
TZJIOSL,O,O,X,O
TZJLISO,O,O,O,O
TZJLIOS,O,O,O,O
TZJLSIO,O,O,O,O
TZJLSOI,O,O,O,O
TZJLOIS,O,O,O,O
TZJLOSI,O,O,O,O
TZJSILO,O,O,O,O
TZJSIOL,O,O,X,O
TZJSLIO,O,O,O,O
TZJSLOI,O,O,O,O
TZJSOIL,O,O,X,O
TZJSOLI,O,O,X,O
TZJOILS,O,O,O,O
TZJOISL,O,O,X,O
TZJOLIS,O,O,O,O
TZJOLSI,O,O,O,O
TZJOSIL,O,O,X,O
TZJOSLI,O,O,X,O
TZSILJO,O,X,O,X
TZSILOJ,O,X,O,X
TZSIJLO,O,X,O,X
TZSIJOL,O,X,X,X
TZSIOLJ,O,X,X,X
TZSIOJL,O,X,X,X
TZSLIJO,O,X,O,X
TZSLIOJ,O,X,O,X
TZSLJIO,O,X,O,X
TZSLJOI,O,X,O,X
TZSLOIJ,O,X,O,X
TZSLOJI,O,X,O,X
TZSJILO,O,X,O,X
TZSJIOL,O,X,X,X
TZSJLIO,O,X,O,X
TZSJLOI,O,X,O,X
TZSJOIL,O,X,X,X
TZSJOLI,O,X,X,X
TZSOILJ,O,X,X,X
TZSOIJL,O,X,X,X
TZSOLIJ,O,X,X,X
TZSOLJI,O,X,X,X
TZSOJIL,O,X,X,X
TZSOJLI,O,X,X,X
TZOILJS,O,O,O,X
TZOILSJ,O,X,O,X
TZOIJLS,O,O,O,X
TZOIJSL,O,O,X,X
TZOISLJ,O,X,X,X
TZOISJL,O,X,X,X
TZOLIJS,O,O,O,X
TZOLISJ,O,X,O,X
TZOLJIS,O,O,O,X
TZOLJSI,O,O,O,X
