sequence,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeRAJvhFUiBGjBzkBf?rB6rBVyB,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeCAJvhFxhBTjBXlBl?mBWtBUrB,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeuEJvhF3gBUiBFjBS?tBxqBTrB,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeuEJvhFUiBFjBxlBS?tB3lBTrB,v115@9gA8IeA8IeA8EeA8CeD8BeD8Jez/IvhFFiBXjBGmBS?tBRqBUrB,v115@9gA8IeA8IeA8EeA8CeD8BeD8Je/GJvhFFlBxnBClBG?nBToBUrB
IOTZLJS,O,X,X,O,O,X
IOTZLSJ,O,X,X,O,O,X
IOTZJLS,O,X,X,O,O,X
IOTZJSL,O,X,X,X,X,X
IOTZSLJ,O,X,X,X,X,O
IOTZSJL,O,X,X,X,X,O
IOLTJSZ,O,X,O,O,O,X
IOLTJZS,O,X,O,O,O,X
IOLTSJZ,O,X,O,O,O,X
IOLTSZJ,O,X,O,O,O,X
IOLTZJS,O,X,O,O,O,X
IOLTZSJ,O,X,O,O,O,X
IOLJTSZ,X,X,O,O,O,X
IOLJTZS,X,X,O,O,O,X
IOLJSTZ,X,X,O,O,O,X
IOLJSZT,X,X,O,O,O,X
IOLJZTS,X,X,O,O,O,X
IOLJZST,X,X,O,O,O,X
IOLSTJZ,O,X,O,O,O,X
IOLSTZJ,O,X,O,O,O,X
IOLSJTZ,X,X,O,O,O,X
IOLSJZT,X,X,O,O,O,X
IOLSZTJ,O,X,O,O,O,X
IOLSZJT,X,X,O,O,O,X
IOLZTJS,O,X,O,O,O,X
IOLZTSJ,O,X,O,O,O,X
IOLZJTS,X,X,O,O,O,X
IOLZJST,X,X,O,O,O,X
IOLZSTJ,O,X,O,O,O,X
IOLZSJT,O,X,O,O,O,X
IOJTLSZ,O,X,X,O,O,X
IOJTLZS,O,X,X,O,O,X
IOJTSLZ,O,X,X,X,O,X
IOJTSZL,O,X,X,X,X,X
IOJTZLS,O,X,X,O,O,X
IOJTZSL,O,X,X,X,X,X
IOJLTSZ,X,X,O,O,O,X
IOJLTZS,X,X,O,O,O,X
IOJLSTZ,X,X,O,O,O,X
IOJLSZT,X,X,O,O,O,X
IOJLZTS,X,X,O,O,O,X
IOJLZST,X,X,O,O,O,X
IOJSTLZ,O,X,X,X,O,X
IOJSTZL,O,X,X,X,X,X
IOJSLTZ,X,X,O,O,O,X
IOJSLZT,X,X,O,O,O,X
IOJSZTL,O,X,O,X,X,X
IOJSZLT,X,X,O,O,X,X
IOJZTLS,O,X,X,O,O,X
IOJZTSL,O,X,O,X,X,X
IOJZLTS,X,X,O,O,O,X
IOJZLST,X,X,O,O,O,X
IOJZSTL,X,X,O,X,X,X
IOJZSLT,X,X,O,O,X,X
IOSTLJZ,O,X,X,X,O,X
IOSTLZJ,O,X,X,X,O,X
IOSTJLZ,O,X,X,X,O,X
IOSTJZL,O,X,X,X,X,X
IOSTZLJ,O,X,X,X,X,X
IOSTZJL,O,X,X,X,X,X
IOSLTJZ,O,X,O,O,O,X
IOSLTZJ,O,X,O,O,O,X
IOSLJTZ,O,X,O,O,O,X
IOSLJZT,O,X,O,O,O,X
IOSLZTJ,O,X,O,O,O,X
IOSLZJT,O,X,O,O,O,X
IOSJTLZ,O,X,X,X,O,X
IOSJTZL,O,X,X,X,X,X
IOSJLTZ,X,X,O,O,O,X
IOSJLZT,X,X,O,O,O,X
IOSJZTL,O,X,O,X,X,X
IOSJZLT,X,X,O,O,X,X
IOSZTLJ,O,X,X,X,X,X
IOSZTJL,O,X,O,X,X,X
IOSZLTJ,O,X,O,O,X,X
IOSZLJT,X,X,O,O,X,X
IOSZJTL,O,X,O,X,X,X
IOSZJLT,X,X,O,O,X,X
IOZTLJS,O,X,X,O,O,X
IOZTLSJ,O,X,X,O,O,X
IOZTJLS,O,X,X,O,O,X
IOZTJSL,O,X,O,X,X,X
IOZTSLJ,O,X,X,X,X,O
IOZTSJL,O,X,O,X,X,O
IOZLTJS,O,X,O,O,O,X
IOZLTSJ,O,X,O,O,O,X
IOZLJTS,X,X,O,O,O,X
IOZLJST,X,X,O,O,O,X
IOZLSTJ,O,X,O,O,O,X
IOZLSJT,O,X,O,O,O,X
IOZJTLS,O,X,X,O,O,X
IOZJTSL,O,X,O,X,X,X
IOZJLTS,X,X,O,O,O,X
IOZJLST,X,X,O,O,O,X
IOZJSTL,X,X,O,X,X,X
IOZJSLT,X,X,O,O,X,X
IOZSTLJ,O,X,X,X,X,O
IOZSTJL,O,X,O,X,X,O
IOZSLTJ,O,X,O,O,X,X
IOZSLJT,X,X,O,O,X,X
IOZSJTL,O,X,O,X,X,X
IOZSJLT,X,X,O,O,X,X
LTIJSZO,X,O,O,X,O,X
LTIJSOZ,X,O,O,X,O,X
LTIJZSO,O,X,O,X,O,X
LTIJZOS,O,X,O,O,O,X
LTIJOSZ,X,O,O,O,O,X
LTIJOZS,O,X,O,O,O,X
LTISJZO,X,O,O,X,O,X
LTISJOZ,X,O,O,X,O,X
LTISZJO,X,O,O,X,O,X
LTISZOJ,X,X,O,X,O,X
LTISOJZ,X,O,O,X,O,X
LTISOZJ,X,X,O,X,O,X
LTIZJSO,O,X,O,X,O,X
LTIZJOS,O,X,O,O,O,X
LTIZSJO,O,X,O,X,O,O
LTIZSOJ,O,X,O,X,O,O
LTIZOJS,O,X,O,O,O,X
LTIZOSJ,O,X,O,O,O,X
LTIOJSZ,X,X,O,O,O,X
LTIOJZS,O,X,O,O,O,X
LTIOSJZ,X,X,O,O,O,X
LTIOSZJ,X,X,O,O,O,X
LTIOZJS,O,X,O,O,O,X
LTIOZSJ,O,X,O,O,O,X
LTJISZO,X,O,O,X,O,X
LTJISOZ,X,O,O,X,O,X
LTJIZSO,O,X,O,X,O,X
LTJIZOS,O,X,O,O,O,X
LTJIOSZ,X,O,O,O,O,X
LTJIOZS,O,X,O,O,O,X
LTJSIZO,O,O,O,X,O,X
LTJSIOZ,O,O,O,X,O,X
LTJSZIO,O,O,O,X,X,X
LTJSZOI,O,O,X,O,X,X
LTJSOIZ,O,O,X,O,X,X
LTJSOZI,O,O,X,O,X,X
LTJZISO,O,X,O,X,X,X
LTJZIOS,O,X,O,O,X,X
LTJZSIO,O,X,O,X,X,X
LTJZSOI,O,X,X,O,X,X
LTJZOIS,O,X,O,O,X,X
LTJZOSI,O,X,X,O,X,X
LTJOISZ,O,O,O,O,X,X
LTJOIZS,O,X,O,O,X,X
LTJOSIZ,O,O,X,O,X,X
LTJOSZI,O,O,X,O,X,X
LTJOZIS,O,X,O,O,X,X
LTJOZSI,O,X,X,O,X,X
LTSIJZO,O,O,O,X,O,X
LTSIJOZ,O,O,O,X,O,X
LTSIZJO,O,O,O,X,O,X
LTSIZOJ,O,X,O,X,O,X
LTSIOJZ,O,O,O,X,O,X
LTSIOZJ,O,X,O,X,O,X
LTSJIZO,O,O,O,X,O,X
LTSJIOZ,O,O,O,X,O,X
LTSJZIO,O,O,O,X,X,X
LTSJZOI,O,O,X,O,X,X
LTSJOIZ,O,O,X,O,X,X
LTSJOZI,O,O,X,O,X,X
LTSZIJO,O,O,O,X,O,X
LTSZIOJ,O,X,O,X,O,X
LTSZJIO,O,O,O,X,X,X
LTSZJOI,O,O,X,O,X,X
LTSZOIJ,O,X,X,O,X,X
LTSZOJI,O,X,X,O,X,X
LTSOIJZ,O,O,X,O,O,X
LTSOIZJ,O,X,X,O,O,X
LTSOJIZ,O,O,X,O,X,X
LTSOJZI,O,O,X,O,X,X
LTSOZIJ,O,X,X,O,X,X
LTSOZJI,O,X,X,O,X,X
LTZIJSO,O,X,O,X,O,X
LTZIJOS,O,X,O,O,O,X
LTZISJO,O,X,O,X,O,O
LTZISOJ,O,X,O,X,O,O
LTZIOJS,O,X,O,O,O,X
LTZIOSJ,O,X,O,O,O,X
LTZJISO,O,X,O,X,X,X
LTZJIOS,O,X,O,O,X,X
LTZJSIO,O,X,O,X,X,X
LTZJSOI,O,X,X,O,X,X
LTZJOIS,O,X,O,O,X,X
LTZJOSI,O,X,X,O,X,X
LTZSIJO,O,X,O,X,O,O
LTZSIOJ,O,X,O,X,O,O
LTZSJIO,O,X,O,X,X,X
LTZSJOI,O,X,X,O,X,X
LTZSOIJ,O,X,X,O,X,X
LTZSOJI,O,X,X,O,X,X
LTZOIJS,O,X,O,O,X,X
LTZOISJ,O,X,O,O,X,X
LTZOJIS,O,X,O,O,X,X
LTZOJSI,O,X,X,O,X,X
LTZOSIJ,O,X,X,O,X,X
LTZOSJI,O,X,X,O,X,X
LTOIJSZ,O,X,O,O,O,X
LTOIJZS,O,X,O,O,O,X
LTOISJZ,O,X,O,O,O,X
LTOISZJ,O,X,O,O,O,X
LTOIZJS,O,X,O,O,O,X
LTOIZSJ,O,X,O,O,O,X
LTOJISZ,O,X,O,O,X,X
LTOJIZS,O,X,O,O,X,X
LTOJSIZ,O,X,X,O,X,X
LTOJSZI,O,X,X,O,X,X
LTOJZIS,O,X,O,O,X,X
LTOJZSI,O,X,X,O,X,X
LTOSIJZ,O,X,X,O,O,X
LTOSIZJ,O,X,X,O,O,X
LTOSJIZ,O,X,X,O,X,X
LTOSJZI,O,X,X,O,X,X
LTOSZIJ,O,X,X,O,X,X
LTOSZJI,O,X,X,O,X,X
LTOZIJS,O,X,O,O,X,X
LTOZISJ,O,X,O,O,X,X
LTOZJIS,O,X,O,O,X,X
LTOZJSI,O,X,X,O,X,X
LTOZSIJ,O,X,X,O,X,X
LTOZSJI,O,X,X,O,X,X
LITJSZO,X,X,O,X,O,X
LITJSOZ,X,X,O,X,O,X
LITJZSO,O,X,O,X,O,X
LITJZOS,O,X,O,O,O,X
LITJOSZ,X,X,O,O,O,X
LITJOZS,O,X,O,O,O,X
LITSJZO,X,X,O,X,O,X
LITSJOZ,X,X,O,X,O,X
LITSZJO,X,X,O,X,O,X
LITSZOJ,X,X,O,X,O,X
LITSOJZ,X,X,O,X,O,X
LITSOZJ,X,X,O,X,O,X
LITZJSO,O,X,O,X,O,X
LITZJOS,O,X,O,O,O,X
LITZSJO,O,X,O,X,O,O
LITZSOJ,O,X,O,X,O,O
LITZOJS,O,X,O,O,O,X
LITZOSJ,O,X,O,O,O,X
LITOJSZ,X,X,O,O,O,X
LITOJZS,O,X,O,O,O,X
LITOSJZ,X,X,O,O,O,X
LITOSZJ,X,X,O,O,O,X
LITOZJS,O,X,O,O,O,X
LITOZSJ,O,X,O,O,O,X
LIJTSZO,X,X,O,X,O,X
LIJTSOZ,X,X,O,X,O,X
LIJTZSO,X,X,O,X,O,X
LIJTZOS,X,X,O,O,O,X
LIJTOSZ,X,X,O,O,O,X
LIJTOZS,X,X,O,O,O,X
LIJSTZO,X,X,O,X,O,X
LIJSTOZ,X,X,O,X,O,X
LIJSZTO,X,X,O,X,O,X
LIJSZOT,X,X,O,X,O,X
LIJSOTZ,X,X,O,X,O,X
LIJSOZT,X,X,O,X,O,X
LIJZTSO,X,X,O,X,O,X
LIJZTOS,X,X,O,O,O,X
LIJZSTO,X,X,O,X,O,X
LIJZSOT,X,X,O,X,O,X
LIJZOTS,X,X,O,O,O,X
LIJZOST,X,X,O,O,O,X
LIJOTSZ,X,X,O,O,O,X
LIJOTZS,X,X,O,O,O,X
LIJOSTZ,X,X,O,O,O,X
LIJOSZT,X,X,O,O,O,X
LIJOZTS,X,X,O,O,O,X
LIJOZST,X,X,O,O,O,X
LISTJZO,X,X,O,X,O,X
LISTJOZ,X,X,O,X,O,X
LISTZJO,X,X,O,X,O,X
LISTZOJ,X,X,O,X,O,X
LISTOJZ,X,X,O,X,O,X
LISTOZJ,X,X,O,X,O,X
LISJTZO,X,X,O,X,O,X
LISJTOZ,X,X,O,X,O,X
LISJZTO,X,X,O,X,O,X
LISJZOT,X,X,O,X,O,X
LISJOTZ,X,X,O,X,O,X
LISJOZT,X,X,O,X,O,X
LISZTJO,X,X,O,X,O,X
LISZTOJ,X,X,O,X,O,X
LISZJTO,X,X,O,X,O,X
LISZJOT,X,X,O,X,O,X
LISZOTJ,X,X,O,X,O,X
LISZOJT,X,X,O,X,O,X
LISOTJZ,X,X,O,X,O,X
LISOTZJ,X,X,O,X,O,X
LISOJTZ,X,X,O,X,O,X
LISOJZT,X,X,O,X,O,X
LISOZTJ,X,X,O,X,O,X
LISOZJT,X,X,O,X,O,X
LIZTJSO,O,X,O,X,O,X
LIZTJOS,O,X,O,O,O,X
LIZTSJO,O,X,O,X,O,O
LIZTSOJ,O,X,O,X,O,O
LIZTOJS,O,X,O,O,O,X
LIZTOSJ,O,X,O,O,O,X
LIZJTSO,X,X,O,X,O,X
LIZJTOS,X,X,O,O,O,X
LIZJSTO,X,X,O,X,O,X
LIZJSOT,X,X,O,X,O,X
LIZJOTS,X,X,O,O,O,X
LIZJOST,X,X,O,O,O,X
LIZSTJO,O,X,O,X,O,O
LIZSTOJ,O,X,O,X,O,O
LIZSJTO,O,X,O,X,O,X
LIZSJOT,X,X,O,X,O,X
LIZSOTJ,O,X,O,X,O,X
LIZSOJT,O,X,O,X,O,X
LIZOTJS,O,X,O,O,O,X
LIZOTSJ,O,X,O,O,O,X
LIZOJTS,X,X,O,O,O,X
LIZOJST,X,X,O,O,O,X
LIZOSTJ,O,X,O,O,O,X
LIZOSJT,O,X,O,O,O,X
LIOTJSZ,X,X,O,O,O,X
LIOTJZS,O,X,O,O,O,X
LIOTSJZ,X,X,O,O,O,X
LIOTSZJ,X,X,O,O,O,X
LIOTZJS,O,X,O,O,O,X
LIOTZSJ,O,X,O,O,O,X
LIOJTSZ,X,X,O,O,O,X
LIOJTZS,X,X,O,O,O,X
LIOJSTZ,X,X,O,O,O,X
LIOJSZT,X,X,O,O,O,X
LIOJZTS,X,X,O,O,O,X
LIOJZST,X,X,O,O,O,X
LIOSTJZ,X,X,O,O,O,X
LIOSTZJ,X,X,O,O,O,X
LIOSJTZ,X,X,O,O,O,X
LIOSJZT,X,X,O,O,O,X
LIOSZTJ,X,X,O,O,O,X
LIOSZJT,X,X,O,O,O,X
LIOZTJS,O,X,O,O,O,X
LIOZTSJ,O,X,O,O,O,X
LIOZJTS,X,X,O,O,O,X
LIOZJST,X,X,O,O,O,X
LIOZSTJ,O,X,O,O,O,X
LIOZSJT,O,X,O,O,O,X
LJTISZO,X,O,O,X,O,X
LJTISOZ,X,O,O,X,O,X
LJTIZSO,O,X,O,X,O,X
LJTIZOS,O,X,O,O,O,X
LJTIOSZ,X,O,O,O,O,X
LJTIOZS,O,X,O,O,O,X
LJTSIZO,X,O,O,X,O,X
LJTSIOZ,X,O,O,X,O,X
LJTSZIO,O,O,O,X,X,X
LJTSZOI,O,O,X,O,X,X
LJTSOIZ,X,O,X,O,X,X
LJTSOZI,O,O,X,O,X,X
LJTZISO,O,X,O,X,X,X
LJTZIOS,O,X,O,O,X,X
LJTZSIO,O,X,O,X,X,X
LJTZSOI,O,X,X,O,X,X
LJTZOIS,O,X,O,O,X,X
LJTZOSI,O,X,X,O,X,X
LJTOISZ,X,O,O,O,X,X
LJTOIZS,O,X,O,O,X,X
LJTOSIZ,X,O,X,O,X,X
LJTOSZI,O,O,X,O,X,X
LJTOZIS,O,X,O,O,X,X
LJTOZSI,O,X,X,O,X,X
LJITSZO,X,O,O,X,O,X
LJITSOZ,X,O,O,X,O,X
LJITZSO,X,X,O,X,O,X
LJITZOS,X,X,O,O,O,X
LJITOSZ,X,O,O,O,O,X
LJITOZS,X,X,O,O,O,X
LJISTZO,X,X,O,X,O,X
LJISTOZ,X,O,O,X,O,X
LJISZTO,X,X,O,X,O,X
LJISZOT,X,O,O,X,O,X
LJISOTZ,X,O,O,X,O,X
LJISOZT,X,O,O,X,O,X
LJIZTSO,X,X,O,X,O,X
LJIZTOS,X,X,O,O,O,X
LJIZSTO,X,O,O,X,O,X
LJIZSOT,X,O,O,X,O,X
LJIZOTS,X,X,O,O,O,X
LJIZOST,X,O,O,O,O,X
LJIOTSZ,X,O,O,O,O,X
LJIOTZS,X,X,O,O,O,X
LJIOSTZ,X,O,O,O,O,X
LJIOSZT,X,O,O,O,O,X
LJIOZTS,X,X,O,O,O,X
LJIOZST,X,O,O,O,O,X
LJSTIZO,X,O,O,X,O,X
LJSTIOZ,X,O,O,X,O,X
LJSTZIO,X,O,O,X,X,X
LJSTZOI,X,O,X,O,X,X
LJSTOIZ,X,O,X,O,X,X
LJSTOZI,X,O,X,O,X,X
LJSITZO,X,O,O,X,O,X
LJSITOZ,X,O,O,X,O,X
LJSIZTO,X,O,O,X,O,X
LJSIZOT,X,O,O,X,O,X
LJSIOTZ,X,O,O,X,O,X
LJSIOZT,X,O,O,X,O,X
LJSZTIO,X,O,O,X,X,X
LJSZTOI,X,O,X,O,X,X
LJSZITO,X,O,O,X,X,X
LJSZIOT,X,O,O,X,X,X
LJSZOTI,X,O,X,O,X,X
LJSZOIT,X,O,X,O,X,X
LJSOTIZ,X,O,X,O,X,X
LJSOTZI,X,O,X,O,X,X
LJSOITZ,X,O,X,O,X,X
LJSOIZT,X,O,X,O,X,X
LJSOZTI,X,O,X,O,X,X
LJSOZIT,X,O,X,O,X,X
LJZTISO,O,O,O,X,X,X
LJZTIOS,O,O,O,O,X,X
LJZTSIO,O,O,O,X,X,X
LJZTSOI,O,O,X,O,X,X
LJZTOIS,O,O,O,O,X,X
LJZTOSI,O,O,X,O,X,X
LJZITSO,X,X,O,X,X,X
LJZITOS,X,X,O,O,X,X
LJZISTO,X,O,O,X,X,X
LJZISOT,X,O,O,X,X,X
LJZIOTS,X,X,O,O,X,X
LJZIOST,X,O,O,O,X,X
LJZSTIO,O,O,O,X,X,X
LJZSTOI,O,O,X,O,X,X
LJZSITO,O,O,O,X,X,X
LJZSIOT,X,O,O,X,X,X
LJZSOTI,O,O,X,O,X,X
LJZSOIT,O,O,X,O,X,X
LJZOTIS,O,O,O,O,X,X
LJZOTSI,O,O,X,O,X,X
LJZOITS,X,X,O,O,X,X
LJZOIST,X,O,O,O,X,X
LJZOSTI,O,O,X,O,X,X
LJZOSIT,O,O,X,O,X,X
LJOTISZ,X,O,O,O,X,X
LJOTIZS,O,X,O,O,X,X
LJOTSIZ,X,O,X,O,X,X
LJOTSZI,O,O,X,O,X,X
LJOTZIS,O,X,O,O,X,X
LJOTZSI,O,X,X,O,X,X
LJOITSZ,X,O,O,O,X,X
LJOITZS,X,X,O,O,X,X
LJOISTZ,X,O,O,O,X,X
LJOISZT,X,O,O,O,X,X
LJOIZTS,X,X,O,O,X,X
LJOIZST,X,O,O,O,X,X
LJOSTIZ,X,O,X,O,X,X
LJOSTZI,X,O,X,O,X,X
LJOSITZ,X,O,X,O,X,X
LJOSIZT,X,O,X,O,X,X
LJOSZTI,X,O,X,O,X,X
LJOSZIT,X,O,X,O,X,X
LJOZTIS,O,O,O,O,X,X
LJOZTSI,O,O,X,O,X,X
LJOZITS,X,X,O,O,X,X
LJOZIST,X,O,O,O,X,X
LJOZSTI,O,O,X,O,X,X
LJOZSIT,O,O,X,O,X,X
LSTIJZO,O,O,O,X,O,X
LSTIJOZ,O,O,O,X,O,X
LSTIZJO,O,O,O,X,O,X
LSTIZOJ,O,X,O,X,O,X
LSTIOJZ,O,O,O,X,O,X
LSTIOZJ,O,X,O,X,O,X
LSTJIZO,O,O,O,X,O,X
LSTJIOZ,O,O,O,X,O,X
LSTJZIO,O,O,O,X,X,X
LSTJZOI,O,O,X,O,X,X
LSTJOIZ,O,O,X,O,X,X
LSTJOZI,O,O,X,O,X,X
LSTZIJO,O,O,O,X,O,X
LSTZIOJ,O,O,O,X,O,X
LSTZJIO,O,O,O,X,X,X
LSTZJOI,O,O,X,O,X,X
LSTZOIJ,O,O,X,O,X,X
LSTZOJI,O,O,X,O,X,X
LSTOIJZ,O,O,X,O,O,X
LSTOIZJ,O,X,X,O,O,X
LSTOJIZ,O,O,X,O,X,X
LSTOJZI,O,O,X,O,X,X
LSTOZIJ,O,X,X,O,X,X
LSTOZJI,O,X,X,O,X,X
LSITJZO,O,O,O,X,O,X
LSITJOZ,O,O,O,X,O,X
LSITZJO,O,O,O,X,O,X
LSITZOJ,O,X,O,X,O,X
LSITOJZ,O,O,O,X,O,X
LSITOZJ,O,X,O,X,O,X
LSIJTZO,O,O,O,X,O,X
LSIJTOZ,O,O,O,X,O,X
LSIJZTO,O,O,O,X,O,X
LSIJZOT,X,O,O,X,O,X
LSIJOTZ,X,O,O,X,O,X
LSIJOZT,X,O,O,X,O,X
LSIZTJO,O,O,O,X,O,X
LSIZTOJ,O,O,O,X,O,X
LSIZJTO,O,O,O,X,O,X
LSIZJOT,X,O,O,X,O,X
LSIZOTJ,O,X,O,X,O,X
LSIZOJT,O,X,O,X,O,X
LSIOTJZ,O,X,O,X,O,X
LSIOTZJ,O,X,O,X,O,X
LSIOJTZ,O,X,O,X,O,X
LSIOJZT,O,X,O,X,O,X
LSIOZTJ,O,X,O,X,O,X
LSIOZJT,O,X,O,X,O,X
LSJTIZO,O,O,O,X,O,X
LSJTIOZ,O,O,O,X,O,X
LSJTZIO,O,O,O,X,X,X
LSJTZOI,O,O,X,O,X,X
LSJTOIZ,O,O,X,O,X,X
LSJTOZI,O,O,X,O,X,X
LSJITZO,O,O,O,X,O,X
LSJITOZ,O,O,O,X,O,X
LSJIZTO,O,O,O,X,O,X
LSJIZOT,X,O,O,X,O,X
LSJIOTZ,X,O,O,X,O,X
LSJIOZT,X,O,O,X,O,X
LSJZTIO,O,O,O,X,X,X
LSJZTOI,O,O,X,O,X,X
LSJZITO,O,O,O,X,X,X
LSJZIOT,X,O,O,X,X,X
LSJZOTI,O,O,X,O,X,X
LSJZOIT,O,O,X,O,X,X
LSJOTIZ,O,O,X,O,X,X
LSJOTZI,O,O,X,O,X,X
LSJOITZ,O,O,X,O,X,X
LSJOIZT,O,O,X,O,X,X
LSJOZTI,O,O,X,O,X,X
LSJOZIT,O,O,X,O,X,X
LSZTIJO,O,O,O,X,O,X
LSZTIOJ,O,O,O,X,O,X
LSZTJIO,O,O,O,X,X,X
LSZTJOI,O,O,X,O,X,X
LSZTOIJ,O,O,X,O,X,X
LSZTOJI,O,O,X,O,X,X
LSZITJO,O,O,O,X,O,X
LSZITOJ,O,O,O,X,O,X
LSZIJTO,O,O,O,X,O,X
LSZIJOT,X,O,O,X,O,X
LSZIOTJ,O,X,O,X,O,X
LSZIOJT,O,X,O,X,O,X
LSZJTIO,O,O,O,X,X,X
LSZJTOI,O,O,X,O,X,X
LSZJITO,O,O,O,X,X,X
LSZJIOT,X,O,O,X,X,X
LSZJOTI,O,O,X,O,X,X
LSZJOIT,O,O,X,O,X,X
LSZOTIJ,O,O,X,O,X,X
LSZOTJI,O,O,X,O,X,X
LSZOITJ,O,X,X,O,X,X
LSZOIJT,O,X,X,O,X,X
LSZOJTI,O,O,X,O,X,X
LSZOJIT,O,O,X,O,X,X
LSOTIJZ,O,O,X,O,O,X
LSOTIZJ,O,X,X,O,O,X
LSOTJIZ,O,O,X,O,X,X
LSOTJZI,O,O,X,O,X,X
LSOTZIJ,O,X,X,O,X,X
LSOTZJI,O,X,X,O,X,X
LSOITJZ,O,X,X,O,O,X
LSOITZJ,O,X,X,O,O,X
LSOIJTZ,O,X,X,O,O,X
LSOIJZT,O,X,X,O,O,X
LSOIZTJ,O,X,X,O,O,X
LSOIZJT,O,X,X,O,O,X
LSOJTIZ,O,O,X,O,X,X
LSOJTZI,O,O,X,O,X,X
LSOJITZ,O,O,X,O,X,X
LSOJIZT,O,O,X,O,X,X
LSOJZTI,O,O,X,O,X,X
LSOJZIT,O,O,X,O,X,X
LSOZTIJ,O,O,X,O,X,X
LSOZTJI,O,O,X,O,X,X
LSOZITJ,O,X,X,O,X,X
LSOZIJT,O,X,X,O,X,X
LSOZJTI,O,O,X,O,X,X
LSOZJIT,O,O,X,O,X,X
LZTIJSO,O,O,O,X,O,X
LZTIJOS,O,O,O,O,O,X
LZTISJO,O,O,O,X,O,O
LZTISOJ,O,O,O,X,O,O
LZTIOJS,O,X,O,O,O,X
LZTIOSJ,O,X,O,O,O,X
LZTJISO,O,O,O,X,X,X
LZTJIOS,O,O,O,O,X,X
LZTJSIO,O,O,O,X,X,X
LZTJSOI,O,O,X,O,X,X
LZTJOIS,O,O,O,O,X,X
LZTJOSI,O,O,X,O,X,X
LZTSIJO,O,O,O,X,O,O
LZTSIOJ,O,O,O,X,O,O
LZTSJIO,O,O,O,X,X,X
LZTSJOI,O,O,X,O,X,X
LZTSOIJ,O,O,X,O,X,X
LZTSOJI,O,O,X,O,X,X
LZTOIJS,O,X,O,O,X,X
LZTOISJ,O,X,O,O,X,X
LZTOJIS,O,X,O,O,X,X
LZTOJSI,O,X,X,O,X,X
LZTOSIJ,O,X,X,O,X,X
LZTOSJI,O,X,X,O,X,X
LZITJSO,O,X,O,X,O,X
LZITJOS,O,X,O,O,O,X
LZITSJO,O,X,O,X,O,O
LZITSOJ,O,X,O,X,O,O
LZITOJS,O,X,O,O,O,X
LZITOSJ,O,X,O,O,O,X
LZIJTSO,X,X,O,X,O,X
LZIJTOS,X,X,O,O,O,X
LZIJSTO,X,X,O,X,O,X
LZIJSOT,X,X,O,X,O,X
LZIJOTS,X,X,O,O,O,X
LZIJOST,X,X,O,O,O,X
LZISTJO,O,X,O,X,O,O
LZISTOJ,O,X,O,X,O,O
LZISJTO,O,X,O,X,O,X
LZISJOT,X,X,O,X,O,X
LZISOTJ,O,X,O,X,O,X
LZISOJT,O,X,O,X,O,X
LZIOTJS,O,X,O,O,O,X
LZIOTSJ,O,X,O,O,O,X
LZIOJTS,X,X,O,O,O,X
LZIOJST,X,X,O,O,O,X
LZIOSTJ,O,X,O,O,O,X
LZIOSJT,O,X,O,O,O,X
LZJTISO,O,O,O,X,X,X
LZJTIOS,O,O,O,O,X,X
LZJTSIO,O,O,O,X,X,X
LZJTSOI,O,O,X,O,X,X
LZJTOIS,O,O,O,O,X,X
LZJTOSI,O,O,X,O,X,X
LZJITSO,X,X,O,X,X,X
LZJITOS,X,X,O,O,X,X
LZJISTO,X,O,O,X,X,X
LZJISOT,X,O,O,X,X,X
LZJIOTS,X,X,O,O,X,X
LZJIOST,X,O,O,O,X,X
LZJSTIO,O,O,O,X,X,X
LZJSTOI,O,O,X,O,X,X
LZJSITO,O,O,O,X,X,X
LZJSIOT,X,O,O,X,X,X
LZJSOTI,O,O,X,O,X,X
LZJSOIT,O,O,X,O,X,X
LZJOTIS,O,O,O,O,X,X
LZJOTSI,O,O,X,O,X,X
LZJOITS,X,X,O,O,X,X
LZJOIST,X,O,O,O,X,X
LZJOSTI,O,O,X,O,X,X
LZJOSIT,O,O,X,O,X,X
LZSTIJO,O,O,O,X,O,O
LZSTIOJ,O,O,O,X,O,O
LZSTJIO,O,O,O,X,X,X
LZSTJOI,O,O,X,O,X,X
LZSTOIJ,O,O,X,O,X,X
LZSTOJI,O,O,X,O,X,X
LZSITJO,O,O,O,X,O,O
LZSITOJ,O,O,O,X,O,O
LZSIJTO,O,O,O,X,O,X
LZSIJOT,X,O,O,X,O,X
LZSIOTJ,O,X,O,X,O,X
LZSIOJT,O,X,O,X,O,X
LZSJTIO,O,O,O,X,X,X
LZSJTOI,O,O,X,O,X,X
LZSJITO,O,O,O,X,X,X
LZSJIOT,X,O,O,X,X,X
LZSJOTI,O,O,X,O,X,X
LZSJOIT,O,O,X,O,X,X
LZSOTIJ,O,O,X,O,X,X
LZSOTJI,O,O,X,O,X,X
LZSOITJ,O,X,X,O,X,X
LZSOIJT,O,X,X,O,X,X
LZSOJTI,O,O,X,O,X,X
LZSOJIT,O,O,X,O,X,X
LZOTIJS,O,X,O,O,X,X
LZOTISJ,O,X,O,O,X,X
