sequence,v115@vhG8/IZkBasBGoBzpBXrBzsB,v115@vhGfDJ5oBikBuqBzpB0rBzsB,v115@vhGc/I5oB6rBTnBetBTpB3qB,v115@vhG/DJZkBqpBTlBOrBUsBTtB,v115@vhGT/IihBcqB3mB+tBTpBRwB,v115@vhGGBJTjBKpBUmB/sBTtBRwB,v115@vhGT/IXhB8mB+tBTpBiqBRwB,v115@vhGfGJ0hBTjBKpBGsBTtBRwB,v115@vhGz/IihBcqB3mB+tBTpBRwB,v115@vhGGBJziBKpBUmB/sBTtBRwB,v115@vhGz/IXhB8mB+tBTpBiqBRwB,v115@vhGfGJ0hBziBKpBGsBTtBRwB,v115@vhGSDJxkB/rB8sB+tBTpBTqB,v115@vhG2/IKpBfqBcrBxnBTsBTtB
IZTOSLJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X
IZTOSJL,O,O,X,X,O,O,X,X,O,X,X,X,X,X
IZLTJSO,X,X,O,O,X,O,O,X,X,O,O,X,X,X
IZLTJOS,X,O,O,O,X,O,O,X,X,X,O,X,X,X
IZLTSJO,X,X,O,O,X,O,O,X,X,O,O,X,X,X
IZLTSOJ,O,X,X,O,X,O,O,X,X,O,O,X,X,X
IZLTOJS,O,O,X,O,X,O,O,X,X,X,O,X,X,X
IZLTOSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,X
IZLJTSO,X,X,O,O,X,O,O,O,X,O,O,O,X,X
IZLJTOS,X,O,O,O,X,O,O,O,X,X,O,O,X,X
IZLJSTO,X,X,O,O,O,O,O,O,O,O,O,O,X,X
IZLJSOT,O,O,O,O,O,O,O,O,O,O,O,O,X,O
IZLJOTS,O,O,O,O,X,O,O,O,X,X,O,O,X,O
IZLJOST,O,O,O,O,O,O,O,O,O,O,O,O,X,O
IZLSTJO,X,X,O,O,O,O,O,O,O,O,O,O,X,X
IZLSTOJ,O,X,X,O,O,O,O,X,O,O,O,X,X,X
IZLSJTO,X,X,O,O,O,O,O,O,O,O,O,O,X,X
IZLSJOT,O,O,O,O,O,O,O,O,O,O,O,O,X,O
IZLSOTJ,O,O,X,O,O,O,O,X,O,O,O,X,X,O
IZLSOJT,O,O,O,O,O,O,O,O,O,O,O,O,X,O
IZLOTJS,O,O,X,O,X,O,O,X,X,X,O,X,X,O
IZLOTSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
IZLOJTS,O,O,O,O,X,O,O,O,X,X,O,O,X,O
IZLOJST,O,O,O,O,O,O,O,O,O,O,O,O,X,O
IZLOSTJ,O,O,X,O,O,O,O,X,O,O,O,X,X,O
IZLOSJT,O,O,O,O,O,O,O,O,O,O,O,O,X,O
IZJTLSO,X,X,O,O,X,O,O,O,X,O,O,O,X,X
IZJTLOS,X,O,O,O,X,O,O,O,X,X,O,O,O,X
IZJTSLO,X,X,O,O,O,O,O,O,O,O,O,O,X,X
IZJTSOL,X,O,O,X,O,O,X,O,O,O,X,O,X,X
IZJTOLS,X,O,O,X,X,O,O,O,X,X,O,O,O,X
IZJTOSL,X,O,O,X,O,O,X,O,O,X,X,O,O,X
IZJLTSO,X,X,O,O,X,O,O,O,X,O,O,O,X,X
IZJLTOS,X,O,O,O,X,O,O,O,X,X,O,O,O,X
IZJLSTO,X,X,O,O,O,O,O,O,O,O,O,O,X,X
IZJLSOT,O,O,O,O,O,O,O,O,O,O,O,O,O,X
IZJLOTS,O,O,O,O,X,O,O,O,X,X,O,O,O,X
IZJLOST,O,O,O,O,O,O,O,O,O,O,O,O,O,X
IZJSTLO,X,X,O,O,O,O,O,O,O,O,O,O,X,X
IZJSTOL,X,O,O,X,O,O,X,O,O,O,X,O,X,X
IZJSLTO,X,X,O,O,O,O,O,O,O,O,O,O,X,X
IZJSLOT,O,O,O,O,O,O,O,O,O,O,O,O,O,X
IZJSOTL,O,O,O,X,O,O,X,O,O,O,X,O,O,X
IZJSOLT,O,O,O,O,O,O,O,O,O,O,O,O,O,X
IZJOTLS,O,O,O,X,X,O,O,O,X,X,O,O,O,X
IZJOTSL,O,O,O,X,O,O,X,O,O,X,X,O,O,X
IZJOLTS,O,O,O,O,X,O,O,O,X,X,O,O,O,X
IZJOLST,O,O,O,O,O,O,O,O,O,O,O,O,O,X
IZJOSTL,O,O,O,X,O,O,X,O,O,O,X,O,O,X
IZJOSLT,O,O,O,O,O,O,O,O,O,O,O,O,O,X
IZSTLJO,X,X,O,O,O,O,O,O,O,O,O,O,X,X
IZSTLOJ,O,X,X,O,O,O,O,X,O,O,O,X,X,X
IZSTJLO,X,X,O,O,O,O,O,O,O,O,O,O,X,X
IZSTJOL,X,O,O,X,O,O,X,O,O,O,X,O,X,X
IZSTOLJ,O,O,X,X,O,O,X,X,O,O,X,X,X,X
IZSTOJL,O,O,X,X,O,O,X,X,O,O,X,X,X,X
IZSLTJO,X,X,O,O,O,O,O,O,O,O,O,O,X,X
IZSLTOJ,O,X,X,O,O,O,O,X,O,O,O,X,X,X
IZSLJTO,X,X,O,O,O,O,O,O,O,O,O,O,X,X
IZSLJOT,O,O,O,O,O,O,O,O,O,O,O,O,X,X
IZSLOTJ,O,O,X,O,O,O,O,X,O,O,O,X,X,X
IZSLOJT,O,O,O,O,O,O,O,O,O,O,O,O,X,X
IZSJTLO,X,X,O,O,O,O,O,O,O,O,O,O,X,X
IZSJTOL,X,O,O,X,O,O,X,O,O,O,X,O,X,X
IZSJLTO,X,X,O,O,O,O,O,O,O,O,O,O,X,X
IZSJLOT,O,O,O,O,O,O,O,O,O,O,O,O,X,X
IZSJOTL,O,O,O,X,O,O,X,O,O,O,X,O,X,X
IZSJOLT,O,O,O,O,O,O,O,O,O,O,O,O,X,X
IZSOTLJ,O,O,X,X,O,O,X,X,O,O,X,X,X,X
IZSOTJL,O,O,X,X,O,O,X,X,O,O,X,X,X,X
IZSOLTJ,O,O,X,O,O,O,O,X,O,O,O,X,X,X
IZSOLJT,O,O,O,O,O,O,O,O,O,O,O,O,X,X
IZSOJTL,O,O,O,X,O,O,X,O,O,O,X,O,X,X
IZSOJLT,O,O,O,O,O,O,O,O,O,O,O,O,X,X
IZOTLJS,O,O,X,X,X,O,O,X,X,X,O,X,X,O
IZOTLSJ,O,O,X,X,X,O,O,X,X,X,O,X,X,O
IZOTJLS,O,O,X,X,X,O,O,X,X,X,O,X,X,X
IZOTJSL,O,O,X,X,O,O,X,X,O,X,X,X,X,X
IZOTSLJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X
IZOTSJL,O,O,X,X,O,O,X,X,O,X,X,X,X,X
IZOLTJS,O,O,X,O,X,O,O,X,X,X,O,X,X,O
IZOLTSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
IZOLJTS,O,O,O,O,X,O,O,O,X,X,O,O,X,O
IZOLJST,O,O,O,O,O,O,O,O,O,O,O,O,X,O
IZOLSTJ,O,O,X,O,O,O,O,X,O,O,O,X,X,O
IZOLSJT,O,O,O,O,O,O,O,O,O,O,O,O,X,O
IZOJTLS,O,O,O,X,X,O,O,O,X,X,O,O,O,X
IZOJTSL,O,O,O,X,O,O,X,O,O,X,X,O,O,X
IZOJLTS,O,O,O,O,X,O,O,O,X,X,O,O,O,O
IZOJLST,O,O,O,O,O,O,O,O,O,O,O,O,O,O
IZOJSTL,O,O,O,X,O,O,X,O,O,O,X,O,O,X
IZOJSLT,O,O,O,O,O,O,O,O,O,O,O,O,O,X
IZOSTLJ,O,O,X,X,O,O,X,X,O,O,X,X,X,X
IZOSTJL,O,O,X,X,O,O,X,X,O,O,X,X,X,X
IZOSLTJ,O,O,X,O,O,O,O,X,O,O,O,X,X,O
IZOSLJT,O,O,O,O,O,O,O,O,O,O,O,O,X,O
IZOSJTL,O,O,O,X,O,O,X,O,O,O,X,O,O,X
IZOSJLT,O,O,O,O,O,O,O,O,O,O,O,O,O,X
IOTLJSZ,O,O,X,X,X,X,O,O,X,X,O,O,X,O
IOTLJZS,O,O,X,X,X,X,O,O,X,X,O,O,X,O
IOTLSJZ,O,O,X,X,X,X,O,O,X,X,O,O,X,O
IOTLSZJ,O,O,X,X,X,O,O,X,X,X,O,X,X,O
IOTLZJS,O,O,X,X,X,O,O,X,X,X,O,X,X,O
IOTLZSJ,O,O,X,X,X,O,O,X,X,X,O,X,X,O
IOTJLSZ,O,O,X,X,X,X,O,O,X,X,O,O,O,X
IOTJLZS,O,O,X,X,X,X,O,O,X,X,O,O,O,X
IOTJSLZ,O,O,X,X,O,X,X,O,X,X,X,O,O,X
IOTJSZL,O,O,X,X,O,X,X,O,X,X,X,O,O,X
IOTJZLS,O,O,X,X,X,X,O,O,X,X,O,O,O,X
IOTJZSL,O,O,X,X,O,X,X,O,X,X,X,O,O,X
IOTSLJZ,O,O,X,X,O,X,X,O,X,X,X,O,X,X
IOTSLZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTSJLZ,O,O,X,X,O,X,X,O,X,X,X,O,O,X
IOTSJZL,O,O,X,X,O,X,X,O,X,X,X,O,O,X
IOTSZLJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTSZJL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTZLJS,O,O,X,X,X,O,O,X,X,X,O,X,X,O
IOTZLSJ,O,O,X,X,X,O,O,X,X,X,O,X,X,O
IOTZJLS,O,O,X,X,X,O,O,X,X,X,O,X,X,X
IOTZJSL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTZSLJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTZSJL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOLTJSZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
IOLTJZS,O,O,X,O,X,X,O,O,X,X,O,O,X,O
IOLTSJZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
IOLTSZJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
IOLTZJS,O,O,X,O,X,O,O,X,X,X,O,X,X,O
IOLTZSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
IOLJTSZ,O,O,O,O,X,X,O,O,X,X,O,O,O,O
IOLJTZS,O,O,O,O,X,X,O,O,X,X,O,O,O,O
IOLJSTZ,O,O,O,O,O,X,O,O,X,X,O,O,O,O
IOLJSZT,O,O,O,O,O,O,O,O,X,X,O,O,O,O
IOLJZTS,O,O,O,O,X,O,O,O,X,X,O,O,O,O
IOLJZST,O,O,O,O,O,O,O,O,X,X,O,O,O,O
IOLSTJZ,O,O,X,O,O,X,O,O,X,X,O,O,X,O
IOLSTZJ,O,O,X,O,O,O,O,X,X,O,O,X,X,O
IOLSJTZ,O,O,O,O,O,X,O,O,X,X,O,O,O,O
IOLSJZT,O,O,O,O,O,O,O,O,X,O,O,O,O,O
IOLSZTJ,O,O,X,O,O,O,O,X,X,O,O,X,X,O
IOLSZJT,O,O,O,O,O,O,O,O,X,O,O,O,X,O
IOLZTJS,O,O,X,O,X,O,O,X,X,X,O,X,X,O
IOLZTSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
IOLZJTS,O,O,O,O,X,O,O,O,X,X,O,O,X,O
IOLZJST,O,O,O,O,O,O,O,O,X,O,O,O,X,O
IOLZSTJ,O,O,X,O,O,O,O,X,X,O,O,X,X,O
IOLZSJT,O,O,O,O,O,O,O,O,X,O,O,O,X,O
IOJTLSZ,O,O,O,X,X,X,O,O,X,X,O,O,O,X
IOJTLZS,O,O,O,X,X,X,O,O,X,X,O,O,O,X
IOJTSLZ,O,O,O,X,O,X,X,O,X,X,X,O,O,X
IOJTSZL,O,O,O,X,O,X,X,O,X,X,X,O,O,X
IOJTZLS,O,O,O,X,X,X,O,O,X,X,O,O,O,X
IOJTZSL,O,O,O,X,O,X,X,O,X,X,X,O,O,X
IOJLTSZ,O,O,O,O,X,X,O,O,X,X,O,O,O,O
IOJLTZS,O,O,O,O,X,X,O,O,X,X,O,O,O,O
IOJLSTZ,O,O,O,O,O,X,O,O,X,X,O,O,O,O
IOJLSZT,O,O,O,O,O,O,O,O,X,X,O,O,O,O
IOJLZTS,O,O,O,O,X,O,O,O,X,X,O,O,O,O
IOJLZST,O,O,O,O,O,O,O,O,X,X,O,O,O,O
IOJSTLZ,O,O,O,X,O,X,X,O,X,X,X,O,O,X
IOJSTZL,O,O,O,X,O,X,X,O,X,X,X,O,O,X
IOJSLTZ,O,O,O,O,O,X,O,O,X,X,O,O,O,X
IOJSLZT,O,O,O,O,O,O,O,O,O,X,O,O,O,X
IOJSZTL,O,O,O,X,O,O,X,O,O,X,X,O,O,X
IOJSZLT,O,O,O,O,O,O,O,O,O,X,O,O,O,X
IOJZTLS,O,O,O,X,X,O,O,O,X,X,O,O,O,X
IOJZTSL,O,O,O,X,O,O,X,O,O,X,X,O,O,X
IOJZLTS,O,O,O,O,X,O,O,O,X,X,O,O,O,O
IOJZLST,O,O,O,O,O,O,O,O,O,X,O,O,O,O
IOJZSTL,O,O,O,X,O,O,X,O,O,X,X,O,O,X
IOJZSLT,O,O,O,O,O,O,O,O,O,X,O,O,O,X
IOSTLJZ,O,O,X,X,O,X,X,O,X,X,X,O,X,X
IOSTLZJ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
IOSTJLZ,O,O,X,X,O,X,X,O,X,X,X,O,O,X
IOSTJZL,O,O,X,X,O,X,X,O,X,X,X,O,O,X
IOSTZLJ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
IOSTZJL,O,O,X,X,O,O,X,X,X,O,X,X,X,X
IOSLTJZ,O,O,X,O,O,X,O,O,X,X,O,O,X,O
IOSLTZJ,O,O,X,O,O,O,O,X,X,O,O,X,X,O
IOSLJTZ,O,O,O,O,O,X,O,O,X,X,O,O,O,O
IOSLJZT,O,O,O,O,O,O,O,O,O,O,O,O,O,O
IOSLZTJ,O,O,X,O,O,O,O,X,O,O,O,X,X,O
IOSLZJT,O,O,O,O,O,O,O,O,O,O,O,O,X,O
IOSJTLZ,O,O,O,X,O,X,X,O,X,X,X,O,O,X
IOSJTZL,O,O,O,X,O,X,X,O,X,X,X,O,O,X
IOSJLTZ,O,O,O,O,O,X,O,O,X,X,O,O,O,X
IOSJLZT,O,O,O,O,O,O,O,O,O,O,O,O,O,X
IOSJZTL,O,O,O,X,O,O,X,O,O,O,X,O,O,X
IOSJZLT,O,O,O,O,O,O,O,O,O,O,O,O,O,X
IOSZTLJ,O,O,X,X,O,O,X,X,O,O,X,X,X,X
IOSZTJL,O,O,X,X,O,O,X,X,O,O,X,X,X,X
IOSZLTJ,O,O,X,O,O,O,O,X,O,O,O,X,X,O
IOSZLJT,O,O,O,O,O,O,O,O,O,O,O,O,X,O
IOSZJTL,O,O,O,X,O,O,X,O,O,O,X,O,O,X
IOSZJLT,O,O,O,O,O,O,O,O,O,O,O,O,O,X
IOZTLJS,O,O,X,X,X,O,O,X,X,X,O,X,X,O
IOZTLSJ,O,O,X,X,X,O,O,X,X,X,O,X,X,O
IOZTJLS,O,O,X,X,X,O,O,X,X,X,O,X,X,X
IOZTJSL,O,O,X,X,O,O,X,X,O,X,X,X,X,X
IOZTSLJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X
IOZTSJL,O,O,X,X,O,O,X,X,O,X,X,X,X,X
IOZLTJS,O,O,X,O,X,O,O,X,X,X,O,X,X,O
IOZLTSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
IOZLJTS,O,O,O,O,X,O,O,O,X,X,O,O,X,O
IOZLJST,O,O,O,O,O,O,O,O,O,O,O,O,X,O
IOZLSTJ,O,O,X,O,O,O,O,X,O,O,O,X,X,O
IOZLSJT,O,O,O,O,O,O,O,O,O,O,O,O,X,O
IOZJTLS,O,O,O,X,X,O,O,O,X,X,O,O,O,X
IOZJTSL,O,O,O,X,O,O,X,O,O,X,X,O,O,X
IOZJLTS,O,O,O,O,X,O,O,O,X,X,O,O,O,O
IOZJLST,O,O,O,O,O,O,O,O,O,O,O,O,O,O
IOZJSTL,O,O,O,X,O,O,X,O,O,O,X,O,O,X
IOZJSLT,O,O,O,O,O,O,O,O,O,O,O,O,O,X
IOZSTLJ,O,O,X,X,O,O,X,X,O,O,X,X,X,X
IOZSTJL,O,O,X,X,O,O,X,X,O,O,X,X,X,X
IOZSLTJ,O,O,X,O,O,O,O,X,O,O,O,X,X,O
IOZSLJT,O,O,O,O,O,O,O,O,O,O,O,O,X,O
IOZSJTL,O,O,O,X,O,O,X,O,O,O,X,O,O,X
IOZSJLT,O,O,O,O,O,O,O,O,O,O,O,O,O,X
LTIJSZO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
LTIJSOZ,O,X,O,O,X,X,O,O,X,X,O,O,X,O
LTIJZSO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
LTIJZOS,X,O,O,O,X,X,O,O,X,X,O,O,X,X
LTIJOSZ,O,O,O,O,X,X,O,O,X,X,O,O,X,O
LTIJOZS,O,O,O,O,X,X,O,O,X,X,O,O,X,O
LTISJZO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
LTISJOZ,O,X,O,O,X,X,O,O,X,X,O,O,X,O
LTISZJO,X,X,O,O,X,O,O,O,X,O,O,O,X,X
LTISZOJ,O,X,X,O,X,O,O,X,X,O,O,X,X,X
LTISOJZ,O,X,X,O,X,X,O,O,X,X,O,O,X,O
LTISOZJ,O,X,X,O,X,O,O,X,X,O,O,X,X,O
LTIZJSO,X,X,O,O,X,O,O,X,X,O,O,X,X,X
LTIZJOS,X,O,O,O,X,O,O,X,X,X,O,X,X,X
LTIZSJO,X,X,O,O,X,O,O,X,X,O,O,X,X,X
LTIZSOJ,O,X,X,O,X,O,O,X,X,O,O,X,X,X
LTIZOJS,O,O,X,O,X,O,O,X,X,X,O,X,X,X
LTIZOSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,X
LTIOJSZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
LTIOJZS,O,O,X,O,X,X,O,O,X,X,O,O,X,O
LTIOSJZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
LTIOSZJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
LTIOZJS,O,O,X,O,X,O,O,X,X,X,O,X,X,O
LTIOZSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
LTJISZO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
LTJISOZ,O,X,O,O,X,X,O,O,X,X,O,O,X,O
LTJIZSO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
LTJIZOS,X,O,O,O,X,X,O,O,X,X,O,O,X,X
LTJIOSZ,O,O,O,O,X,X,O,O,X,X,O,O,X,O
LTJIOZS,O,O,O,O,X,X,O,O,X,X,O,O,X,O
LTJSIZO,X,X,O,O,X,X,O,X,X,X,O,X,X,X
LTJSIOZ,O,X,O,O,X,X,O,X,X,X,O,X,X,O
LTJSZIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTJSZOI,X,X,O,O,X,X,X,X,X,X,X,X,X,O
LTJSOIZ,O,X,O,O,X,X,O,X,X,X,O,X,X,O
LTJSOZI,O,X,O,O,X,X,X,X,X,X,X,X,X,O
LTJZISO,X,X,O,O,X,X,X,O,X,X,X,O,X,X
LTJZIOS,X,O,O,O,X,X,X,O,X,X,X,O,X,X
LTJZSIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTJZSOI,X,X,O,O,X,X,X,X,X,X,X,X,X,O
LTJZOIS,X,O,O,O,X,X,X,O,X,X,X,O,X,O
LTJZOSI,X,O,O,O,X,X,X,X,X,X,X,X,X,O
LTJOISZ,O,O,O,O,X,X,O,O,X,X,O,O,X,O
LTJOIZS,O,O,O,O,X,X,O,O,X,X,O,O,X,O
LTJOSIZ,O,O,O,O,X,X,O,X,X,X,O,X,X,O
LTJOSZI,O,O,O,O,X,X,X,X,X,X,X,X,X,O
LTJOZIS,O,O,O,O,X,X,X,O,X,X,X,O,X,O
LTJOZSI,O,O,O,O,X,X,X,X,X,X,X,X,X,O
LTSIJZO,X,X,O,O,X,X,O,X,X,X,O,X,X,X
LTSIJOZ,O,X,O,O,X,X,O,X,X,X,O,X,X,O
LTSIZJO,X,X,O,O,X,O,O,X,X,O,O,X,X,X
LTSIZOJ,O,X,X,O,X,O,O,X,X,O,O,X,X,X
LTSIOJZ,O,X,X,O,X,X,O,X,X,X,O,X,X,O
LTSIOZJ,O,X,X,O,X,O,O,X,X,O,O,X,X,O
LTSJIZO,X,X,O,O,X,X,O,X,X,X,O,X,X,X
LTSJIOZ,O,X,O,O,X,X,O,X,X,X,O,X,X,O
LTSJZIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTSJZOI,X,X,O,O,X,X,X,X,X,X,X,X,X,O
LTSJOIZ,O,X,O,O,X,X,O,X,X,X,O,X,X,O
LTSJOZI,O,X,O,O,X,X,X,X,X,X,X,X,X,O
LTSZIJO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTSZIOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSZJIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTSZJOI,X,X,O,O,X,X,X,X,X,X,X,X,X,O
LTSZOIJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
LTSZOJI,O,X,X,O,X,X,X,X,X,X,X,X,X,O
LTSOIJZ,O,X,X,O,X,X,O,X,X,X,O,X,X,O
LTSOIZJ,O,X,X,O,X,O,O,X,X,O,O,X,X,O
LTSOJIZ,O,X,X,O,X,X,O,X,X,X,O,X,X,O
LTSOJZI,O,X,X,O,X,X,X,X,X,X,X,X,X,O
LTSOZIJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
LTSOZJI,O,X,X,O,X,X,X,X,X,X,X,X,X,O
LTZIJSO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTZIJOS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZISJO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTZISOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZIOJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZJISO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTZJIOS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZJSIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTZJSOI,X,X,O,O,X,X,X,X,X,X,X,X,X,O
LTZJOIS,X,O,O,O,X,X,X,X,X,X,X,X,X,O
LTZJOSI,X,O,O,O,X,X,X,X,X,X,X,X,X,O
LTZSIJO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTZSIOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZSJIO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTZSJOI,X,X,O,O,X,X,X,X,X,X,X,X,X,O
LTZSOIJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
LTZSOJI,O,X,X,O,X,X,X,X,X,X,X,X,X,O
LTZOIJS,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTZOISJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTZOJIS,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTZOJSI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTZOSIJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTZOSJI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTOIJSZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
LTOIJZS,O,O,X,O,X,X,O,O,X,X,O,O,X,O
LTOISJZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
LTOISZJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
LTOIZJS,O,O,X,O,X,O,O,X,X,X,O,X,X,O
LTOIZSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
LTOJISZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
LTOJIZS,O,O,X,O,X,X,O,O,X,X,O,O,X,O
LTOJSIZ,O,O,X,O,X,X,O,X,X,X,O,X,X,O
LTOJSZI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTOJZIS,O,O,X,O,X,X,X,O,X,X,X,O,X,O
LTOJZSI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTOSIJZ,O,O,X,O,X,X,O,X,X,X,O,X,X,O
LTOSIZJ,O,O,X,O,X,O,O,X,X,O,O,X,X,O
LTOSJIZ,O,O,X,O,X,X,O,X,X,X,O,X,X,O
LTOSJZI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTOSZIJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTOSZJI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTOZIJS,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTOZISJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTOZJIS,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTOZJSI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTOZSIJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LTOZSJI,O,O,X,O,X,X,X,X,X,X,X,X,X,O
LITJSZO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
LITJSOZ,O,X,O,O,X,X,O,O,X,X,O,O,X,O
LITJZSO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
LITJZOS,X,O,O,O,X,X,O,O,X,X,O,O,X,X
LITJOSZ,O,O,O,O,X,X,O,O,X,X,O,O,X,O
LITJOZS,O,O,O,O,X,X,O,O,X,X,O,O,X,O
LITSJZO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
LITSJOZ,O,X,O,O,X,X,O,O,X,X,O,O,X,O
LITSZJO,X,X,O,O,X,O,O,O,X,O,O,O,X,X
LITSZOJ,O,X,X,O,X,O,O,X,X,O,O,X,X,X
LITSOJZ,O,X,X,O,X,X,O,O,X,X,O,O,X,O
LITSOZJ,O,X,X,O,X,O,O,X,X,O,O,X,X,O
LITZJSO,X,X,O,O,X,O,O,X,X,O,O,X,X,X
LITZJOS,X,O,O,O,X,O,O,X,X,X,O,X,X,X
LITZSJO,X,X,O,O,X,O,O,X,X,O,O,X,X,X
LITZSOJ,O,X,X,O,X,O,O,X,X,O,O,X,X,X
LITZOJS,O,O,X,O,X,O,O,X,X,X,O,X,X,X
LITZOSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,X
LITOJSZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
LITOJZS,O,O,X,O,X,X,O,O,X,X,O,O,X,O
LITOSJZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
LITOSZJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
LITOZJS,O,O,X,O,X,O,O,X,X,X,O,X,X,O
LITOZSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
LIJTSZO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
LIJTSOZ,O,X,O,O,X,X,O,O,X,X,O,O,X,O
LIJTZSO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
LIJTZOS,X,O,O,O,X,X,O,O,X,X,O,O,O,X
LIJTOSZ,O,O,O,O,X,X,O,O,X,X,O,O,O,O
LIJTOZS,O,O,O,O,X,X,O,O,X,X,O,O,O,O
LIJSTZO,X,X,O,O,O,X,O,O,O,X,O,O,X,X
LIJSTOZ,O,X,O,O,O,X,O,O,X,X,O,O,X,O
LIJSZTO,X,X,O,O,O,O,O,O,O,O,O,O,X,X
LIJSZOT,O,O,O,O,O,O,O,O,O,O,O,O,O,O
LIJSOTZ,O,O,O,O,O,X,O,O,X,X,O,O,O,O
LIJSOZT,O,O,O,O,O,O,O,O,O,O,O,O,O,O
LIJZTSO,X,X,O,O,X,O,O,O,X,O,O,O,X,X
