sequence,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFXgBxhBzlBCnBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBfmBxhBCnBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF0gBxhBzkBCnB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFTgBxhBfqB8qBCn?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JexAJvhFTiBikBGmB0kB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFTiBikBGmBXmBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhF8lBGiBTkBKqB3m?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je0/IvhFxgBTiB2pBSrBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFXhBTiB2pBSrBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBSmBTiBxqBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFfmB6mBTiBxpBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFGiB3kBRmBUmBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFRhBSnBUmB3kBTq?BlsB
TSIZLJO,X,O,O,O,X,X,O,X,X,O,O,O,X
TSIZLOJ,X,O,O,O,X,X,O,X,X,O,O,X,X
TSIZJLO,X,O,O,O,X,X,O,X,X,O,O,O,X
TSIZJOL,X,O,O,O,X,X,O,X,X,O,O,X,X
TSIZOLJ,X,X,O,O,X,X,X,X,X,O,O,X,X
TSIZOJL,X,O,O,O,X,X,O,X,X,O,O,X,X
TSIOLJZ,X,X,O,X,O,X,O,X,X,X,O,O,X
TSIOLZJ,X,X,O,X,X,X,O,X,X,O,O,X,X
TSIOJLZ,X,X,O,X,O,X,O,X,X,X,O,O,X
TSIOJZL,X,X,O,X,O,X,X,X,X,X,O,X,X
TSIOZLJ,X,X,O,X,X,X,X,X,X,O,O,X,X
TSIOZJL,X,O,O,X,X,X,X,X,X,O,O,X,X
TSLIJZO,O,O,O,O,O,X,O,O,O,X,O,O,X
TSLIJOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TSLIZJO,O,O,O,O,X,O,O,X,X,X,O,O,X
TSLIZOJ,O,O,O,O,X,O,O,X,O,X,O,X,X
TSLIOJZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TSLIOZJ,O,O,O,O,X,O,O,X,O,X,O,X,X
TSLJIZO,O,O,O,O,O,X,O,O,O,X,O,O,X
TSLJIOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TSLJZIO,O,O,O,O,O,X,O,O,O,X,X,O,X
TSLJZOI,O,O,O,O,O,X,O,O,O,X,X,X,X
TSLJOIZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TSLJOZI,O,X,O,O,O,O,O,O,O,X,X,X,X
TSLZIJO,O,O,O,O,X,O,O,X,X,X,O,O,X
TSLZIOJ,O,O,O,O,X,O,O,X,O,X,O,X,X
TSLZJIO,O,O,O,O,O,O,O,X,O,X,X,O,X
TSLZJOI,O,O,O,O,O,O,O,X,O,X,X,X,X
TSLZOIJ,O,O,O,O,X,O,O,X,O,X,O,X,X
TSLZOJI,O,O,O,O,O,O,O,X,O,X,X,X,X
TSLOIJZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TSLOIZJ,O,O,O,O,X,O,O,X,O,X,O,X,X
TSLOJIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TSLOJZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TSLOZIJ,O,O,O,O,X,O,O,X,O,X,O,X,O
TSLOZJI,O,O,O,O,O,O,O,X,O,X,X,X,O
TSJILZO,X,X,O,O,O,X,O,X,O,X,O,O,X
TSJILOZ,X,X,O,O,O,X,O,X,O,X,O,O,X
TSJIZLO,X,O,O,O,O,X,O,X,X,X,O,O,X
TSJIZOL,X,O,O,O,O,X,O,X,X,X,O,X,X
TSJIOLZ,X,X,X,X,O,X,O,X,O,X,O,O,X
TSJIOZL,X,X,X,X,O,X,X,X,X,X,O,X,X
TSJLIZO,O,O,O,O,O,X,O,O,O,X,O,O,X
TSJLIOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TSJLZIO,O,O,O,O,O,X,O,O,O,X,X,O,X
TSJLZOI,O,O,O,O,O,X,O,O,O,X,X,X,X
TSJLOIZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TSJLOZI,O,X,O,O,O,O,O,O,O,X,X,X,X
TSJZILO,O,O,O,O,O,X,O,O,X,O,X,O,X
TSJZIOL,O,O,O,O,O,X,O,O,X,O,X,X,X
TSJZLIO,O,O,O,O,O,O,O,O,X,X,X,O,X
TSJZLOI,O,O,O,O,O,O,O,O,X,X,X,X,X
TSJZOIL,O,O,O,O,O,X,O,O,X,O,X,X,X
TSJZOLI,O,O,O,O,O,O,O,O,X,X,X,X,X
TSJOILZ,O,X,O,X,O,X,O,X,O,X,O,O,X
TSJOIZL,O,X,O,X,O,X,X,X,X,X,O,O,X
TSJOLIZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TSJOLZI,O,X,O,O,O,O,O,O,O,X,X,O,X
TSJOZIL,O,X,O,O,O,X,O,O,X,O,X,O,X
TSJOZLI,O,X,O,O,O,O,O,O,X,X,X,O,X
TSZILJO,O,O,O,O,X,X,O,X,X,O,O,O,X
TSZILOJ,O,O,O,O,X,X,O,X,X,O,O,X,X
TSZIJLO,O,O,O,O,X,X,O,X,X,O,O,O,X
TSZIJOL,O,O,O,O,X,X,O,X,X,O,O,X,X
TSZIOLJ,O,X,O,O,X,X,X,X,X,O,O,X,X
TSZIOJL,O,O,O,O,X,X,O,X,X,O,O,X,X
TSZLIJO,O,O,O,O,X,O,O,X,X,X,O,O,X
TSZLIOJ,O,O,O,O,X,O,O,X,X,X,O,X,X
TSZLJIO,O,O,O,O,O,O,O,X,X,X,X,O,X
TSZLJOI,O,O,O,O,O,O,O,X,X,X,X,X,X
TSZLOIJ,O,O,O,O,X,O,O,X,X,X,O,X,X
TSZLOJI,O,O,O,O,O,O,O,X,X,X,X,X,X
TSZJILO,O,O,O,O,O,X,O,X,X,O,X,O,X
TSZJIOL,O,O,O,O,O,X,O,X,X,O,X,X,X
TSZJLIO,O,O,O,O,O,O,O,X,X,X,X,O,X
TSZJLOI,O,O,O,O,O,O,O,X,X,X,X,X,X
TSZJOIL,O,O,O,O,O,X,O,X,X,O,X,X,X
TSZJOLI,O,O,O,O,O,O,O,X,X,X,X,X,X
TSZOILJ,O,X,O,O,X,X,X,X,X,O,O,X,X
TSZOIJL,O,O,O,O,X,X,O,X,X,O,O,X,X
TSZOLIJ,O,O,O,O,X,O,O,X,X,X,O,X,X
TSZOLJI,O,O,O,O,O,O,O,X,X,X,X,X,X
TSZOJIL,O,O,O,O,O,X,O,X,X,O,X,X,X
TSZOJLI,O,O,O,O,O,O,O,X,X,X,X,X,X
TSOILJZ,O,O,O,X,O,X,O,X,X,X,O,O,X
TSOILZJ,O,O,O,X,X,X,O,X,X,O,O,O,X
TSOIJLZ,O,X,O,X,O,X,O,X,X,X,O,O,X
TSOIJZL,O,O,O,X,O,X,X,X,X,X,O,O,X
TSOIZLJ,X,O,O,X,X,X,X,X,X,O,O,O,X
TSOIZJL,O,O,O,X,X,X,X,X,X,O,O,O,X
TSOLIJZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TSOLIZJ,O,O,O,O,X,O,O,X,O,X,O,O,X
TSOLJIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TSOLJZI,O,O,O,O,O,O,O,O,O,X,X,O,O
TSOLZIJ,O,O,O,O,X,O,O,X,O,X,O,O,O
TSOLZJI,O,O,O,O,O,O,O,X,O,X,X,O,O
TSOJILZ,O,X,O,X,O,X,O,X,O,X,O,O,X
TSOJIZL,O,O,O,X,O,X,X,X,X,X,O,O,X
TSOJLIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TSOJLZI,O,O,O,O,O,O,O,O,O,X,X,O,O
TSOJZIL,O,O,O,O,O,X,O,O,X,O,X,O,O
TSOJZLI,O,O,O,O,O,O,O,O,X,X,X,O,O
TSOZILJ,X,O,O,O,X,X,X,X,X,O,O,O,O
TSOZIJL,O,O,O,O,X,X,O,X,X,O,O,O,O
TSOZLIJ,O,O,O,O,X,O,O,X,X,X,O,O,O
TSOZLJI,O,O,O,O,O,O,O,X,X,X,X,O,O
TSOZJIL,O,O,O,O,O,X,O,X,X,O,X,O,O
TSOZJLI,O,O,O,O,O,O,O,X,X,X,X,O,O
TZILJSO,O,O,X,O,X,O,X,X,X,O,X,X,X
TZILJOS,O,X,X,O,X,O,X,X,X,O,X,X,X
TZILSJO,O,O,X,O,X,O,X,X,X,O,X,X,X
TZILSOJ,O,O,X,O,X,O,X,X,X,O,X,X,X
TZILOJS,O,X,X,O,X,O,X,X,X,O,X,X,X
TZILOSJ,O,X,X,O,X,O,X,X,X,O,X,X,X
TZIJLSO,O,O,X,O,X,O,X,X,X,O,X,X,X
TZIJLOS,O,X,X,O,X,O,X,X,X,O,X,X,X
TZIJSLO,O,O,X,O,X,X,X,X,X,O,O,O,X
TZIJSOL,O,O,X,O,X,X,X,X,X,O,O,X,X
TZIJOLS,O,X,X,X,X,O,X,X,X,O,X,X,X
TZIJOSL,O,X,X,O,X,X,X,X,X,O,O,X,X
TZISLJO,O,O,X,O,X,X,X,X,X,O,O,O,X
TZISLOJ,O,O,X,O,X,X,X,X,X,O,O,X,X
TZISJLO,O,O,X,O,X,X,X,X,X,O,O,O,X
TZISJOL,O,O,X,O,X,X,X,X,X,O,O,X,X
TZISOLJ,O,X,X,O,X,X,X,X,X,O,O,X,X
TZISOJL,O,O,X,O,X,X,X,X,X,O,O,X,X
TZIOLJS,O,X,X,X,X,O,X,X,X,O,X,X,X
TZIOLSJ,O,X,X,X,X,O,X,X,X,O,X,X,X
TZIOJLS,O,X,X,X,X,O,X,X,X,O,X,X,X
TZIOJSL,O,X,X,O,X,X,X,X,X,O,O,X,X
TZIOSLJ,O,X,X,O,X,X,X,X,X,O,O,X,X
TZIOSJL,O,X,X,O,X,X,X,X,X,O,O,X,X
TZLIJSO,O,O,O,O,X,O,O,O,X,O,X,X,X
TZLIJOS,O,X,O,O,X,O,O,O,X,O,X,X,X
TZLISJO,O,O,O,O,X,O,O,X,X,O,X,X,X
TZLISOJ,O,O,O,O,X,O,X,X,X,O,X,X,X
TZLIOJS,O,X,O,O,X,O,O,O,X,O,X,X,X
TZLIOSJ,O,X,O,O,X,O,O,X,X,O,X,X,X
TZLJISO,O,O,O,O,X,O,O,O,O,O,X,X,X
TZLJIOS,O,X,O,O,O,O,O,O,O,O,X,X,X
TZLJSIO,O,O,O,O,X,O,O,O,O,X,X,X,X
TZLJSOI,O,O,O,O,X,O,O,O,O,X,X,X,X
TZLJOIS,O,X,O,O,O,O,O,O,O,O,X,X,X
TZLJOSI,O,O,O,O,O,O,O,O,O,X,X,X,X
TZLSIJO,O,O,O,O,X,O,O,X,X,X,O,X,X
TZLSIOJ,O,O,O,O,X,O,O,X,O,X,O,X,X
TZLSJIO,O,O,O,O,O,O,O,X,O,X,X,X,X
TZLSJOI,O,O,O,O,O,O,O,X,O,X,X,X,X
TZLSOIJ,O,O,O,O,X,O,O,X,O,X,O,X,X
TZLSOJI,O,O,O,O,O,O,O,X,O,X,X,X,X
TZLOIJS,O,O,O,O,X,O,O,O,X,O,X,X,O
TZLOISJ,O,O,O,O,X,O,O,X,X,O,X,X,O
TZLOJIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TZLOJSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TZLOSIJ,O,O,O,O,X,O,O,X,O,X,O,X,O
TZLOSJI,O,O,O,O,O,O,O,X,O,X,X,X,O
TZJILSO,O,O,X,O,X,O,X,O,O,O,X,X,X
TZJILOS,O,X,X,O,O,O,X,O,O,O,X,X,X
TZJISLO,O,O,X,O,O,X,X,O,X,O,X,O,X
TZJISOL,O,O,X,O,O,X,X,O,X,O,X,X,X
TZJIOLS,O,X,X,X,O,O,X,O,O,O,X,X,X
TZJIOSL,O,X,X,O,O,X,X,O,X,O,X,X,X
TZJLISO,O,O,O,O,X,O,O,O,O,O,X,X,X
TZJLIOS,O,X,O,O,O,O,O,O,O,O,X,X,X
TZJLSIO,O,O,O,O,X,O,O,O,O,X,X,X,X
TZJLSOI,O,O,O,O,X,O,O,O,O,X,X,X,X
TZJLOIS,O,X,O,O,O,O,O,O,O,O,X,X,X
TZJLOSI,O,O,O,O,O,O,O,O,O,X,X,X,X
TZJSILO,O,O,O,O,O,X,O,O,X,O,X,O,X
TZJSIOL,O,O,O,O,O,X,O,O,X,O,X,X,X
TZJSLIO,O,O,O,O,O,O,O,O,X,X,X,O,X
TZJSLOI,O,O,O,O,O,O,O,O,X,X,X,X,X
TZJSOIL,O,O,O,O,O,X,O,O,X,O,X,X,X
TZJSOLI,O,O,O,O,O,O,O,O,X,X,X,X,X
TZJOILS,O,X,O,X,O,O,X,O,O,O,X,X,X
TZJOISL,O,X,O,O,O,X,X,O,X,O,X,O,X
TZJOLIS,O,X,O,O,O,O,O,O,O,O,X,X,X
TZJOLSI,O,O,O,O,O,O,O,O,O,X,X,X,X
TZJOSIL,O,O,O,O,O,X,X,O,X,O,X,O,X
TZJOSLI,O,O,O,O,O,O,O,O,X,X,X,O,X
TZSILJO,O,O,O,O,X,X,O,X,X,O,O,O,X
TZSILOJ,O,O,O,O,X,X,O,X,X,O,O,X,X
TZSIJLO,O,O,O,O,X,X,O,X,X,O,O,O,X
TZSIJOL,O,O,O,O,X,X,O,X,X,O,O,X,X
TZSIOLJ,O,X,O,O,X,X,X,X,X,O,O,X,X
TZSIOJL,O,O,O,O,X,X,O,X,X,O,O,X,X
TZSLIJO,O,O,O,O,X,O,O,X,X,X,O,O,X
TZSLIOJ,O,O,O,O,X,O,O,X,X,X,O,X,X
TZSLJIO,O,O,O,O,O,O,O,X,X,X,X,O,X
TZSLJOI,O,O,O,O,O,O,O,X,X,X,X,X,X
TZSLOIJ,O,O,O,O,X,O,O,X,X,X,O,X,X
TZSLOJI,O,O,O,O,O,O,O,X,X,X,X,X,X
TZSJILO,O,O,O,O,O,X,O,X,X,O,X,O,X
TZSJIOL,O,O,O,O,O,X,O,X,X,O,X,X,X
TZSJLIO,O,O,O,O,O,O,O,X,X,X,X,O,X
TZSJLOI,O,O,O,O,O,O,O,X,X,X,X,X,X
TZSJOIL,O,O,O,O,O,X,O,X,X,O,X,X,X
TZSJOLI,O,O,O,O,O,O,O,X,X,X,X,X,X
TZSOILJ,O,X,O,O,X,X,X,X,X,O,O,X,X
TZSOIJL,O,O,O,O,X,X,O,X,X,O,O,X,X
TZSOLIJ,O,O,O,O,X,O,O,X,X,X,O,X,X
TZSOLJI,O,O,O,O,O,O,O,X,X,X,X,X,X
TZSOJIL,O,O,O,O,O,X,O,X,X,O,X,X,X
TZSOJLI,O,O,O,O,O,O,O,X,X,X,X,X,X
TZOILJS,O,O,O,X,X,O,O,X,X,O,X,X,O
TZOILSJ,O,O,O,X,X,O,O,X,X,O,X,X,O
TZOIJLS,O,O,O,X,X,O,X,X,X,O,X,X,O
TZOIJSL,O,O,O,O,X,X,X,X,X,O,O,O,O
TZOISLJ,O,O,X,O,X,X,X,X,X,O,O,O,O
TZOISJL,O,O,O,O,X,X,X,X,X,O,O,O,O
TZOLIJS,O,O,O,O,X,O,O,O,X,O,X,X,O
TZOLISJ,O,O,O,O,X,O,O,X,X,O,X,X,O
TZOLJIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TZOLJSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TZOLSIJ,O,O,O,O,X,O,O,X,O,X,O,X,O
TZOLSJI,O,O,O,O,O,O,O,X,O,X,X,X,O
TZOJILS,O,O,O,X,O,O,X,O,O,O,X,X,O
TZOJISL,O,O,O,O,O,X,X,O,X,O,X,O,O
TZOJLIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TZOJLSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TZOJSIL,O,O,O,O,O,X,X,O,X,O,X,O,O
TZOJSLI,O,O,O,O,O,O,O,O,X,X,X,O,O
TZOSILJ,O,O,X,O,X,X,X,X,X,O,O,O,O
TZOSIJL,O,O,O,O,X,X,X,X,X,O,O,O,O
TZOSLIJ,O,O,O,O,X,O,O,X,X,X,O,O,O
TZOSLJI,O,O,O,O,O,O,O,X,X,X,X,O,O
TZOSJIL,O,O,O,O,O,X,X,X,X,O,X,O,O
TZOSJLI,O,O,O,O,O,O,O,X,X,X,X,O,O
TOILJSZ,O,X,O,X,O,O,O,O,O,X,O,O,X
TOILJZS,O,X,O,X,O,O,O,O,O,O,X,X,O
TOILSJZ,O,O,O,X,O,O,O,O,O,X,O,O,X
TOILSZJ,O,O,O,X,X,O,O,X,O,O,O,O,X
TOILZJS,O,O,O,X,X,O,O,O,X,O,X,X,O
TOILZSJ,O,O,O,X,X,O,O,X,X,O,X,X,O
TOIJLSZ,O,X,O,X,O,O,O,O,O,X,O,O,X
TOIJLZS,O,X,O,X,O,O,O,O,O,O,X,X,O
TOIJSLZ,O,X,X,X,O,X,O,X,O,X,O,O,X
TOIJSZL,O,X,X,X,O,X,X,X,X,X,O,O,X
TOIJZLS,X,X,O,X,O,O,X,O,O,O,X,X,O
TOIJZSL,O,X,O,X,O,X,X,O,X,O,O,O,O
TOISLJZ,O,O,X,X,O,X,O,X,X,X,O,O,X
TOISLZJ,O,O,X,X,X,X,O,X,X,O,O,O,X
TOISJLZ,O,X,X,X,O,X,O,X,X,X,O,O,X
TOISJZL,O,O,X,X,O,X,X,X,X,X,O,O,X
TOISZLJ,X,O,X,X,X,X,X,X,X,O,O,O,X
TOISZJL,O,O,X,X,X,X,X,X,X,O,O,O,X
TOIZLJS,X,O,O,X,X,O,O,X,X,O,X,X,O
TOIZLSJ,X,O,O,X,X,O,O,X,X,O,X,X,O
TOIZJLS,X,O,O,X,X,O,X,X,X,O,X,X,O
TOIZJSL,O,O,O,X,X,X,X,X,X,O,O,O,O
TOIZSLJ,X,O,X,X,X,X,X,X,X,O,O,O,O
TOIZSJL,O,O,O,X,X,X,X,X,X,O,O,O,O
TOLIJSZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TOLIJZS,O,X,O,O,O,O,O,O,O,O,X,X,O
TOLISJZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TOLISZJ,O,O,O,O,X,O,O,X,O,O,O,O,X
TOLIZJS,O,O,O,O,X,O,O,O,X,O,X,X,O
TOLIZSJ,O,O,O,O,X,O,O,X,X,O,X,X,O
TOLJISZ,O,X,O,O,O,O,O,O,O,X,X,O,X
TOLJIZS,O,X,O,O,O,O,O,O,O,X,X,X,O
TOLJSIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TOLJSZI,O,O,O,O,O,O,O,O,O,X,X,O,O
TOLJZIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TOLJZSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TOLSIJZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TOLSIZJ,O,O,O,O,X,O,O,X,O,X,O,O,X
TOLSJIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TOLSJZI,O,O,O,O,O,O,O,O,O,X,X,O,O
TOLSZIJ,O,O,O,O,X,O,O,X,O,X,O,O,O
TOLSZJI,O,O,O,O,O,O,O,X,O,X,X,O,O
TOLZIJS,O,O,O,O,X,O,O,O,X,O,X,X,O
TOLZISJ,O,O,O,O,X,O,O,X,X,O,X,X,O
TOLZJIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TOLZJSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TOLZSIJ,O,O,O,O,X,O,O,X,O,X,O,X,O
TOLZSJI,O,O,O,O,O,O,O,X,O,X,X,X,O
TOJILSZ,O,X,O,X,O,O,O,O,O,X,O,O,X
TOJILZS,O,X,O,X,O,O,O,O,O,O,X,X,O
TOJISLZ,O,X,X,X,O,X,O,X,O,X,O,O,X
TOJISZL,O,X,X,X,O,X,X,X,X,X,O,O,X
TOJIZLS,X,X,O,X,O,O,X,O,O,O,X,X,O
TOJIZSL,O,X,O,X,O,X,X,O,X,O,O,O,O
TOJLISZ,O,X,O,O,O,O,O,O,O,X,X,O,X
TOJLIZS,O,X,O,O,O,O,O,O,O,X,X,X,O
TOJLSIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TOJLSZI,O,O,O,O,O,O,O,O,O,X,X,O,O
TOJLZIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TOJLZSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TOJSILZ,O,X,X,X,O,X,O,X,O,X,O,O,X
TOJSIZL,O,O,X,X,O,X,X,X,X,X,O,O,X
TOJSLIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TOJSLZI,O,O,O,O,O,O,O,O,O,X,X,O,O
TOJSZIL,O,O,O,O,O,X,O,O,X,O,X,O,O
TOJSZLI,O,O,O,O,O,O,O,O,X,X,X,O,O
TOJZILS,O,O,O,X,O,O,X,O,O,O,X,X,O
TOJZISL,O,O,O,O,O,X,X,O,X,O,X,O,O
TOJZLIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TOJZLSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TOJZSIL,O,O,O,O,O,X,X,O,X,O,X,O,O
TOJZSLI,O,O,O,O,O,O,O,O,X,X,X,O,O
TOSILJZ,O,O,O,X,O,X,O,X,X,X,O,O,X
TOSILZJ,O,O,O,X,X,X,O,X,X,O,O,O,X
TOSIJLZ,O,X,O,X,O,X,O,X,X,X,O,O,X
TOSIJZL,O,O,O,X,O,X,X,X,X,X,O,O,X
TOSIZLJ,X,O,O,X,X,X,X,X,X,O,O,O,X
TOSIZJL,O,O,O,X,X,X,X,X,X,O,O,O,X
TOSLIJZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TOSLIZJ,O,O,O,O,X,O,O,X,O,X,O,O,X
TOSLJIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TOSLJZI,O,O,O,O,O,O,O,O,O,X,X,O,O
TOSLZIJ,O,O,O,O,X,O,O,X,O,X,O,O,O
TOSLZJI,O,O,O,O,O,O,O,X,O,X,X,O,O
TOSJILZ,O,X,O,X,O,X,O,X,O,X,O,O,X
TOSJIZL,O,O,O,X,O,X,X,X,X,X,O,O,X
TOSJLIZ,O,O,O,O,O,O,O,O,O,X,O,O,X
TOSJLZI,O,O,O,O,O,O,O,O,O,X,X,O,O
TOSJZIL,O,O,O,O,O,X,O,O,X,O,X,O,O
TOSJZLI,O,O,O,O,O,O,O,O,X,X,X,O,O
TOSZILJ,X,O,O,O,X,X,X,X,X,O,O,O,O
TOSZIJL,O,O,O,O,X,X,O,X,X,O,O,O,O
TOSZLIJ,O,O,O,O,X,O,O,X,X,X,O,O,O
TOSZLJI,O,O,O,O,O,O,O,X,X,X,X,O,O
TOSZJIL,O,O,O,O,O,X,O,X,X,O,X,O,O
TOSZJLI,O,O,O,O,O,O,O,X,X,X,X,O,O
TOZILJS,O,O,O,X,X,O,O,X,X,O,X,X,O
TOZILSJ,O,O,O,X,X,O,O,X,X,O,X,X,O
TOZIJLS,O,O,O,X,X,O,X,X,X,O,X,X,O
TOZIJSL,O,O,O,O,X,X,X,X,X,O,O,O,O
TOZISLJ,O,O,X,O,X,X,X,X,X,O,O,O,O
TOZISJL,O,O,O,O,X,X,X,X,X,O,O,O,O
TOZLIJS,O,O,O,O,X,O,O,O,X,O,X,X,O
TOZLISJ,O,O,O,O,X,O,O,X,X,O,X,X,O
TOZLJIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TOZLJSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TOZLSIJ,O,O,O,O,X,O,O,X,O,X,O,X,O
TOZLSJI,O,O,O,O,O,O,O,X,O,X,X,X,O
TOZJILS,O,O,O,X,O,O,X,O,O,O,X,X,O
TOZJISL,O,O,O,O,O,X,X,O,X,O,X,O,O
TOZJLIS,O,O,O,O,O,O,O,O,O,O,X,X,O
TOZJLSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TOZJSIL,O,O,O,O,O,X,X,O,X,O,X,O,O
TOZJSLI,O,O,O,O,O,O,O,O,X,X,X,O,O
TOZSILJ,O,O,X,O,X,X,X,X,X,O,O,O,O
TOZSIJL,O,O,O,O,X,X,X,X,X,O,O,O,O
TOZSLIJ,O,O,O,O,X,O,O,X,X,X,O,O,O
TOZSLJI,O,O,O,O,O,O,O,X,X,X,X,O,O
TOZSJIL,O,O,O,O,O,X,X,X,X,O,X,O,O
TOZSJLI,O,O,O,O,O,O,O,X,X,X,X,O,O
ITLJSZO,O,O,O,O,X,X,O,O,O,X,O,O,X
ITLJSOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
ITLJZSO,O,O,O,O,X,O,O,O,O,O,X,X,X
ITLJZOS,O,X,O,O,O,O,O,O,O,O,X,X,X
ITLJOSZ,O,X,O,O,O,O,O,O,O,X,O,X,X
ITLJOZS,O,X,O,O,O,O,O,O,O,O,X,X,X
ITLSJZO,O,O,O,O,O,X,O,O,O,X,O,O,X
ITLSJOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
ITLSZJO,O,O,O,O,X,O,O,X,X,O,O,O,X
ITLSZOJ,O,O,O,O,X,O,O,X,O,O,O,X,X
ITLSOJZ,O,X,O,O,O,O,O,O,O,X,O,O,X
ITLSOZJ,O,O,O,O,X,O,O,X,O,O,O,X,X
ITLZJSO,O,O,O,O,X,O,O,O,X,O,X,X,X
ITLZJOS,O,X,O,O,X,O,O,O,X,O,X,X,X
ITLZSJO,O,O,O,O,X,O,O,X,X,O,X,X,X
ITLZSOJ,O,O,O,O,X,O,X,X,X,O,X,X,X
ITLZOJS,O,X,O,O,X,O,O,O,X,O,X,X,X
ITLZOSJ,O,X,O,O,X,O,O,X,X,O,X,X,X
ITLOJSZ,O,X,O,O,O,O,O,O,O,X,O,X,X
ITLOJZS,O,X,O,O,O,O,O,O,O,O,X,X,O
ITLOSJZ,O,O,O,O,O,O,O,O,O,X,O,X,X
ITLOSZJ,O,O,O,O,X,O,O,X,O,O,O,X,X
ITLOZJS,O,O,O,O,X,O,O,O,X,O,X,X,O
ITLOZSJ,O,O,O,O,X,O,O,X,X,O,X,X,O
ITJLSZO,O,X,O,O,O,X,O,O,O,X,O,O,X
ITJLSOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
ITJLZSO,O,O,O,O,X,X,O,O,O,O,X,X,X
ITJLZOS,O,X,O,O,O,O,O,O,O,O,X,X,X
ITJLOSZ,O,X,O,O,O,O,O,O,O,X,O,X,X
ITJLOZS,O,X,O,O,O,O,O,O,O,O,X,X,X
ITJSLZO,X,X,O,O,O,X,O,X,O,X,O,O,X
ITJSLOZ,X,X,O,O,O,X,O,X,O,X,O,O,X
ITJSZLO,X,X,O,O,O,X,O,X,X,X,O,O,X
ITJSZOL,X,X,O,O,O,X,O,X,X,X,O,X,X
ITJSOLZ,X,X,X,X,O,X,O,X,O,X,O,O,X
ITJSOZL,X,X,X,X,O,X,X,X,X,X,O,X,X
ITJZLSO,O,O,X,O,X,O,X,O,O,O,X,X,X
ITJZLOS,O,X,X,O,O,O,X,O,O,O,X,X,X
ITJZSLO,O,O,X,O,O,X,X,O,X,O,O,O,X
ITJZSOL,O,O,X,O,O,X,X,O,X,O,O,X,X
ITJZOLS,O,X,X,X,O,O,X,O,O,O,X,X,X
ITJZOSL,O,X,X,O,O,X,X,O,X,O,O,X,X
