sequence,v115@vhG/DJZkBClBOrBXqBUsBTtB,v115@vhGfDJ5oB/pBaqBuqB0rBzsB,v115@vhGz7IZkBXmB0nB6tBWvB3rB,v115@vhHKAJziBcpB3mB+tBXqBlsBRwB,v115@vhGz8IylBcpB3mB+tBXqBRwB,v115@vhGZEJXiBupBUmBTqBXsBSyB,v115@vhGfCJ5oB/pBaqBznBWwBUsB
IZLJSTO,X,X,O,O,O,X,O
IZLJSOT,O,O,O,O,O,O,O
IZLJOTS,O,O,X,X,X,O,O
IZLJOST,O,O,O,O,O,O,O
IZLSTJO,X,X,O,O,O,X,O
IZLSTOJ,X,X,O,X,O,O,O
IZLSJTO,X,X,O,O,O,X,O
IZLSJOT,O,O,O,O,O,O,O
IZLSOTJ,O,O,O,X,O,O,O
IZLSOJT,O,O,O,O,O,O,O
IZLOTJS,O,O,X,X,X,O,O
IZLOTSJ,O,O,X,X,X,O,O
IZLOJTS,O,O,X,X,X,O,O
IZLOJST,O,O,O,O,O,O,O
IZLOSTJ,O,O,O,X,O,O,O
IZLOSJT,O,O,O,O,O,O,O
IZJTLSO,X,X,O,O,O,X,O
IZJTLOS,O,O,X,X,X,X,O
IZJTSLO,X,X,O,O,O,X,O
IZJTSOL,X,X,O,X,O,X,O
IZJTOLS,O,O,X,X,X,X,O
IZJTOSL,O,O,X,X,X,X,O
IZJLTSO,X,X,O,O,O,X,O
IZJLTOS,O,O,X,X,X,X,O
IZJLSTO,X,X,O,O,O,X,O
IZJLSOT,O,O,O,O,O,O,O
IZJLOTS,O,O,X,X,X,O,O
IZJLOST,O,O,O,O,O,O,O
IZJSTLO,X,X,O,O,O,X,O
IZJSTOL,X,X,O,X,O,X,O
IZJSLTO,X,X,O,O,O,X,O
IZJSLOT,O,O,O,O,O,O,O
IZJSOTL,O,O,O,X,O,O,O
IZJSOLT,O,O,O,O,O,O,O
IZJOTLS,O,O,X,X,X,O,O
IZJOTSL,O,O,X,X,X,O,O
IZJOLTS,O,O,X,X,X,O,O
IZJOLST,O,O,O,O,O,O,O
IZJOSTL,O,O,O,X,O,O,O
IZJOSLT,O,O,O,O,O,O,O
IZSTLJO,X,X,O,O,O,X,O
IZSTLOJ,X,X,O,X,O,O,O
IZSTJLO,X,X,O,O,O,X,O
IZSTJOL,X,X,O,X,O,X,O
IZSTOLJ,X,X,O,X,O,O,O
IZSTOJL,X,X,O,X,O,O,O
IZSLTJO,X,X,O,O,O,X,O
IZSLTOJ,X,X,O,X,O,O,O
IZSLJTO,X,X,O,O,O,X,O
IZSLJOT,O,O,O,O,O,O,O
IZSLOTJ,O,O,O,X,O,O,O
IZSLOJT,O,O,O,O,O,O,O
IZSJTLO,X,X,O,O,O,X,O
IZSJTOL,X,X,O,X,O,X,O
IZSJLTO,X,X,O,O,O,X,O
IZSJLOT,O,O,O,O,O,O,O
IZSJOTL,O,O,O,X,O,O,O
IZSJOLT,O,O,O,O,O,O,O
IZSOTLJ,O,O,O,X,O,O,O
IZSOTJL,O,O,O,X,O,O,O
IZSOLTJ,O,O,O,X,O,O,O
IZSOLJT,O,O,O,O,O,O,O
IZSOJTL,O,O,O,X,O,O,O
IZSOJLT,O,O,O,O,O,O,O
IZOTLJS,O,O,X,X,X,O,O
IZOTLSJ,O,O,X,X,X,O,O
IZOTJLS,O,O,X,X,X,O,O
IZOTJSL,O,O,X,X,X,O,O
IZOTSLJ,O,O,X,X,X,O,O
IZOTSJL,O,O,X,X,X,O,O
IZOLTJS,O,O,X,X,X,O,O
IZOLTSJ,O,O,X,X,X,O,O
IZOLJTS,O,O,X,X,X,O,O
IZOLJST,O,O,O,O,O,O,O
IZOLSTJ,O,O,O,X,O,O,O
IZOLSJT,O,O,O,O,O,O,O
IZOJTLS,O,O,X,X,X,O,O
IZOJTSL,O,O,X,X,X,O,O
IZOJLTS,O,O,X,X,X,O,O
IZOJLST,O,O,O,O,O,O,O
IZOJSTL,O,O,O,X,O,O,O
IZOJSLT,O,O,O,O,O,O,O
IZOSTLJ,O,O,O,X,O,O,O
IZOSTJL,O,O,O,X,O,O,O
IZOSLTJ,O,O,O,X,O,O,O
IZOSLJT,O,O,O,O,O,O,O
IZOSJTL,O,O,O,X,O,O,O
IZOSJLT,O,O,O,O,O,O,O
IOTLJSZ,O,O,X,X,O,O,X
IOTLJZS,O,O,X,X,X,O,X
IOTLSJZ,O,O,X,X,O,O,X
IOTLSZJ,O,O,X,X,O,O,X
IOTLZJS,O,O,X,X,X,O,X
IOTLZSJ,O,O,X,X,X,O,X
IOTJLSZ,O,O,X,X,O,O,X
IOTJLZS,O,O,X,X,X,O,X
IOTJSLZ,O,O,X,X,O,O,X
IOTJSZL,O,O,X,X,O,O,X
IOTJZLS,O,O,X,X,X,O,X
IOTJZSL,O,O,X,X,X,O,X
IOTSLJZ,O,O,X,X,O,O,X
IOTSLZJ,O,O,X,X,O,O,X
IOTSJLZ,O,O,X,X,O,O,X
IOTSJZL,O,O,X,X,O,O,X
IOTSZLJ,O,O,X,X,O,O,X
IOTSZJL,O,O,X,X,O,O,X
IOTZLJS,O,O,X,X,X,O,X
IOTZLSJ,O,O,X,X,X,O,X
IOTZJLS,O,O,X,X,X,O,X
IOTZJSL,O,O,X,X,X,O,X
IOTZSLJ,O,O,X,X,X,O,X
IOTZSJL,O,O,X,X,X,O,X
IOLTJSZ,O,O,X,X,O,O,X
IOLTJZS,O,O,X,X,X,O,X
IOLTSJZ,O,O,X,X,O,O,X
IOLTSZJ,O,O,X,X,O,O,X
IOLTZJS,O,O,X,X,X,O,X
IOLTZSJ,O,O,X,X,X,O,X
IOLJTSZ,O,O,X,X,O,O,X
IOLJTZS,O,O,X,X,X,O,X
IOLJSTZ,O,O,O,X,O,O,X
IOLJSZT,O,O,O,O,O,O,X
IOLJZTS,O,O,X,X,X,O,O
IOLJZST,O,O,O,O,O,O,O
IOLSTJZ,O,O,O,X,O,O,X
IOLSTZJ,O,O,O,X,O,O,X
IOLSJTZ,O,O,O,X,O,O,X
IOLSJZT,O,O,O,O,O,O,X
IOLSZTJ,O,O,O,X,O,O,X
IOLSZJT,O,O,O,O,O,O,X
IOLZTJS,O,O,X,X,X,O,O
IOLZTSJ,O,O,X,X,X,O,O
IOLZJTS,O,O,X,X,X,O,O
IOLZJST,O,O,O,O,O,O,O
IOLZSTJ,O,O,O,X,O,O,O
IOLZSJT,O,O,O,O,O,O,O
IOJTLSZ,O,O,X,X,O,O,X
IOJTLZS,O,O,X,X,X,O,X
IOJTSLZ,O,O,X,X,O,O,X
IOJTSZL,O,O,X,X,O,O,X
IOJTZLS,O,O,X,X,X,O,X
IOJTZSL,O,O,X,X,X,O,X
IOJLTSZ,O,O,X,X,O,O,X
IOJLTZS,O,O,X,X,X,O,X
IOJLSTZ,O,O,O,X,O,O,X
IOJLSZT,O,O,O,O,O,O,X
IOJLZTS,O,O,X,X,X,O,O
IOJLZST,O,O,O,O,O,O,O
IOJSTLZ,O,O,O,X,O,O,X
IOJSTZL,O,O,O,X,O,O,X
IOJSLTZ,O,O,O,X,O,O,X
IOJSLZT,O,O,O,O,O,O,X
IOJSZTL,O,O,O,X,O,O,X
IOJSZLT,O,O,O,O,O,O,X
IOJZTLS,O,O,X,X,X,O,O
IOJZTSL,O,O,X,X,X,O,O
IOJZLTS,O,O,X,X,X,O,O
IOJZLST,O,O,O,O,O,O,O
IOJZSTL,O,O,O,X,O,O,O
IOJZSLT,O,O,O,O,O,O,O
IOSTLJZ,O,O,O,X,O,O,X
IOSTLZJ,O,O,O,X,O,O,X
IOSTJLZ,O,O,O,X,O,O,X
IOSTJZL,O,O,O,X,O,O,X
IOSTZLJ,O,O,O,X,O,O,X
IOSTZJL,O,O,O,X,O,O,X
IOSLTJZ,O,O,O,X,O,O,X
IOSLTZJ,O,O,O,X,O,O,X
IOSLJTZ,O,O,O,X,O,O,X
IOSLJZT,O,O,O,O,O,O,X
IOSLZTJ,O,O,O,X,O,O,X
IOSLZJT,O,O,O,O,O,O,X
IOSJTLZ,O,O,O,X,O,O,X
IOSJTZL,O,O,O,X,O,O,X
IOSJLTZ,O,O,O,X,O,O,X
IOSJLZT,O,O,O,O,O,O,X
IOSJZTL,O,O,O,X,O,O,X
IOSJZLT,O,O,O,O,O,O,X
IOSZTLJ,O,O,O,X,O,O,X
IOSZTJL,O,O,O,X,O,O,X
IOSZLTJ,O,O,O,X,O,O,X
IOSZLJT,O,O,O,O,O,O,X
IOSZJTL,O,O,O,X,O,O,X
IOSZJLT,O,O,O,O,O,O,X
IOZTLJS,O,O,X,X,X,O,O
IOZTLSJ,O,O,X,X,X,O,O
IOZTJLS,O,O,X,X,X,O,O
IOZTJSL,O,O,X,X,X,O,O
IOZTSLJ,O,O,X,X,X,O,O
IOZTSJL,O,O,X,X,X,O,O
IOZLTJS,O,O,X,X,X,O,O
IOZLTSJ,O,O,X,X,X,O,O
IOZLJTS,O,O,X,X,X,O,O
IOZLJST,O,O,O,O,O,O,O
IOZLSTJ,O,O,O,X,O,O,O
IOZLSJT,O,O,O,O,O,O,O
IOZJTLS,O,O,X,X,X,O,O
IOZJTSL,O,O,X,X,X,O,O
IOZJLTS,O,O,X,X,X,O,O
IOZJLST,O,O,O,O,O,O,O
IOZJSTL,O,O,O,X,O,O,O
IOZJSLT,O,O,O,O,O,O,O
IOZSTLJ,O,O,O,X,O,O,O
IOZSTJL,O,O,O,X,O,O,O
IOZSLTJ,O,O,O,X,O,O,O
IOZSLJT,O,O,O,O,O,O,O
IOZSJTL,O,O,O,X,O,O,O
IOZSJLT,O,O,O,O,O,O,O
LTIJSZO,X,X,O,O,O,X,X
LTIJSOZ,X,X,O,X,O,O,X
LTIJZSO,X,X,O,O,O,X,O
LTIJZOS,O,O,X,X,X,X,O
LTIJOSZ,O,O,X,X,X,O,X
LTIJOZS,O,O,X,X,X,O,X
LTISJZO,X,X,O,O,O,X,X
LTISJOZ,X,X,O,X,O,O,X
LTISZJO,X,X,O,O,O,X,X
LTISZOJ,X,X,O,X,O,O,X
LTISOJZ,X,X,O,X,O,O,X
LTISOZJ,X,X,O,X,O,O,X
LTIZJSO,X,X,O,O,O,X,O
LTIZJOS,O,O,X,X,X,X,O
LTIZSJO,X,X,O,O,O,X,O
LTIZSOJ,X,X,O,X,O,O,O
LTIZOJS,O,O,X,X,X,O,O
LTIZOSJ,O,O,X,X,X,O,O
LTIOJSZ,O,O,X,X,X,O,X
LTIOJZS,O,O,X,X,X,O,X
LTIOSJZ,O,O,X,X,X,O,X
LTIOSZJ,O,O,X,X,X,O,X
LTIOZJS,O,O,X,X,X,O,X
LTIOZSJ,O,O,X,X,X,O,X
LTJISZO,X,X,O,O,O,X,X
LTJISOZ,X,X,O,X,O,O,X
LTJIZSO,X,X,O,O,O,X,O
LTJIZOS,O,O,X,X,X,X,O
LTJIOSZ,O,O,X,X,X,O,X
LTJIOZS,O,O,X,X,X,O,X
LTJSIZO,X,X,O,X,X,X,X
LTJSIOZ,X,X,O,X,X,O,X
LTJSZIO,X,X,O,X,X,X,X
LTJSZOI,X,X,O,X,X,X,X
LTJSOIZ,X,X,O,X,X,O,X
LTJSOZI,X,X,O,X,X,O,X
LTJZISO,X,X,O,O,O,X,O
LTJZIOS,O,O,X,X,X,X,O
LTJZSIO,X,X,O,X,X,X,O
LTJZSOI,X,X,O,X,X,X,O
LTJZOIS,O,O,X,X,X,X,O
LTJZOSI,O,O,X,X,X,X,O
LTJOISZ,O,O,X,X,X,O,X
LTJOIZS,O,O,X,X,X,O,X
LTJOSIZ,O,O,X,X,X,O,X
LTJOSZI,O,O,X,X,X,O,X
LTJOZIS,O,O,X,X,X,O,X
LTJOZSI,O,O,X,X,X,O,X
LTSIJZO,X,X,O,X,X,X,X
LTSIJOZ,X,X,O,X,X,O,X
LTSIZJO,X,X,O,X,X,X,X
LTSIZOJ,X,X,O,X,X,O,X
LTSIOJZ,X,X,O,X,X,O,X
LTSIOZJ,X,X,O,X,X,O,X
LTSJIZO,X,X,O,X,X,X,X
LTSJIOZ,X,X,O,X,X,O,X
LTSJZIO,X,X,O,X,X,X,X
LTSJZOI,X,X,O,X,X,X,X
LTSJOIZ,X,X,O,X,X,O,X
LTSJOZI,X,X,O,X,X,O,X
LTSZIJO,X,X,O,X,X,X,X
LTSZIOJ,X,X,O,X,X,O,X
LTSZJIO,X,X,O,X,X,X,X
LTSZJOI,X,X,O,X,X,X,X
LTSZOIJ,X,X,O,X,X,O,X
LTSZOJI,X,X,O,X,X,O,X
LTSOIJZ,X,X,O,X,X,O,X
LTSOIZJ,X,X,O,X,X,O,X
LTSOJIZ,X,X,O,X,X,O,X
LTSOJZI,X,X,O,X,X,O,X
LTSOZIJ,X,X,O,X,X,O,X
LTSOZJI,X,X,O,X,X,O,X
LTZIJSO,X,X,O,O,O,X,O
LTZIJOS,O,O,X,X,X,X,O
LTZISJO,X,X,O,O,O,X,O
LTZISOJ,X,X,O,X,O,O,O
LTZIOJS,O,O,X,X,X,O,O
LTZIOSJ,O,O,X,X,X,O,O
LTZJISO,X,X,O,O,O,X,O
LTZJIOS,O,O,X,X,X,X,O
LTZJSIO,X,X,O,X,X,X,O
LTZJSOI,X,X,O,X,X,X,O
LTZJOIS,O,O,X,X,X,X,O
LTZJOSI,O,O,X,X,X,X,O
LTZSIJO,X,X,O,X,X,X,O
LTZSIOJ,X,X,O,X,X,O,O
LTZSJIO,X,X,O,X,X,X,O
LTZSJOI,X,X,O,X,X,X,O
LTZSOIJ,X,X,O,X,X,O,O
LTZSOJI,X,X,O,X,X,O,O
LTZOIJS,O,O,X,X,X,O,O
LTZOISJ,O,O,X,X,X,O,O
LTZOJIS,O,O,X,X,X,O,O
LTZOJSI,O,O,X,X,X,O,O
LTZOSIJ,O,O,X,X,X,O,O
LTZOSJI,O,O,X,X,X,O,O
LTOIJSZ,O,O,X,X,X,O,X
LTOIJZS,O,O,X,X,X,O,X
LTOISJZ,O,O,X,X,X,O,X
LTOISZJ,O,O,X,X,X,O,X
LTOIZJS,O,O,X,X,X,O,X
LTOIZSJ,O,O,X,X,X,O,X
LTOJISZ,O,O,X,X,X,O,X
LTOJIZS,O,O,X,X,X,O,X
LTOJSIZ,O,O,X,X,X,O,X
LTOJSZI,O,O,X,X,X,O,X
LTOJZIS,O,O,X,X,X,O,X
LTOJZSI,O,O,X,X,X,O,X
LTOSIJZ,O,O,X,X,X,O,X
LTOSIZJ,O,O,X,X,X,O,X
LTOSJIZ,O,O,X,X,X,O,X
LTOSJZI,O,O,X,X,X,O,X
LTOSZIJ,O,O,X,X,X,O,X
LTOSZJI,O,O,X,X,X,O,X
LTOZIJS,O,O,X,X,X,O,X
LTOZISJ,O,O,X,X,X,O,X
LTOZJIS,O,O,X,X,X,O,X
LTOZJSI,O,O,X,X,X,O,X
LTOZSIJ,O,O,X,X,X,O,X
LTOZSJI,O,O,X,X,X,O,X
LITJSZO,X,X,O,O,O,X,X
LITJSOZ,X,X,O,X,O,O,X
LITJZSO,X,X,O,O,O,X,O
LITJZOS,O,O,X,X,X,X,O
LITJOSZ,O,O,X,X,X,O,X
LITJOZS,O,O,X,X,X,O,X
LITSJZO,X,X,O,O,O,X,X
LITSJOZ,X,X,O,X,O,O,X
LITSZJO,X,X,O,O,O,X,X
LITSZOJ,X,X,O,X,O,O,X
LITSOJZ,X,X,O,X,O,O,X
LITSOZJ,X,X,O,X,O,O,X
LITZJSO,X,X,O,O,O,X,O
LITZJOS,O,O,X,X,X,X,O
LITZSJO,X,X,O,O,O,X,O
LITZSOJ,X,X,O,X,O,O,O
LITZOJS,O,O,X,X,X,O,O
LITZOSJ,O,O,X,X,X,O,O
LITOJSZ,O,O,X,X,X,O,X
LITOJZS,O,O,X,X,X,O,X
LITOSJZ,O,O,X,X,X,O,X
LITOSZJ,O,O,X,X,X,O,X
LITOZJS,O,O,X,X,X,O,X
LITOZSJ,O,O,X,X,X,O,X
LIJTSZO,X,X,O,O,O,X,X
LIJTSOZ,X,X,O,X,O,O,X
LIJTZSO,X,X,O,O,O,X,O
LIJTZOS,O,O,X,X,X,X,O
LIJTOSZ,O,O,O,X,X,O,X
LIJTOZS,O,O,X,X,X,O,X
LIJSTZO,X,X,O,O,O,X,X
LIJSTOZ,X,X,O,X,O,O,X
LIJSZTO,X,X,O,O,O,X,O
LIJSZOT,O,O,O,O,O,O,O
LIJSOTZ,O,O,O,X,O,O,X
LIJSOZT,O,O,O,O,O,O,X
LIJZTSO,X,X,O,O,O,X,O
LIJZTOS,O,O,X,X,X,X,O
LIJZSTO,X,X,O,O,O,X,O
LIJZSOT,O,O,O,O,O,O,O
LIJZOTS,O,O,X,X,X,O,O
LIJZOST,O,O,O,O,O,O,O
LIJOTSZ,O,O,O,X,X,O,X
LIJOTZS,O,O,X,X,X,O,X
LIJOSTZ,O,O,O,X,O,O,X
LIJOSZT,O,O,O,O,O,O,X
LIJOZTS,O,O,X,X,X,O,O
LIJOZST,O,O,O,O,O,O,O
LISTJZO,X,X,O,O,O,X,X
LISTJOZ,X,X,O,X,O,O,X
LISTZJO,X,X,O,O,O,X,X
LISTZOJ,X,X,O,X,O,O,X
LISTOJZ,X,X,O,X,O,O,X
LISTOZJ,X,X,O,X,O,O,X
LISJTZO,X,X,O,O,O,X,X
LISJTOZ,X,X,O,X,O,O,X
LISJZTO,X,X,O,O,O,X,O
LISJZOT,O,O,O,O,O,O,O
LISJOTZ,O,O,O,X,O,O,X
LISJOZT,O,O,O,O,O,O,X
LISZTJO,X,X,O,O,O,X,O
LISZTOJ,X,X,O,X,O,O,O
LISZJTO,X,X,O,O,O,X,O
LISZJOT,O,O,O,O,O,O,O
LISZOTJ,O,O,O,X,O,O,O
LISZOJT,O,O,O,O,O,O,O
LISOTJZ,O,O,O,X,O,O,X
LISOTZJ,O,O,O,X,O,O,X
LISOJTZ,O,O,O,X,O,O,X
LISOJZT,O,O,O,O,O,O,X
LISOZTJ,O,O,O,X,O,O,X
LISOZJT,O,O,O,O,O,O,X
LIZTJSO,X,X,O,O,O,X,O
LIZTJOS,O,O,X,X,X,X,O
LIZTSJO,X,X,O,O,O,X,O
LIZTSOJ,X,X,O,X,O,O,O
LIZTOJS,O,O,X,X,X,O,O
LIZTOSJ,O,O,X,X,X,O,O
LIZJTSO,X,X,O,O,O,X,O
LIZJTOS,O,O,X,X,X,X,O
LIZJSTO,X,X,O,O,O,X,O
LIZJSOT,O,O,O,O,O,O,O
LIZJOTS,O,O,X,X,X,O,O
LIZJOST,O,O,O,O,O,O,O
LIZSTJO,X,X,O,O,O,X,O
LIZSTOJ,X,X,O,X,O,O,O
LIZSJTO,X,X,O,O,O,X,O
LIZSJOT,O,O,O,O,O,O,O
LIZSOTJ,O,O,O,X,O,O,O
LIZSOJT,O,O,O,O,O,O,O
LIZOTJS,O,O,X,X,X,O,O
LIZOTSJ,O,O,X,X,X,O,O
LIZOJTS,O,O,X,X,X,O,O
LIZOJST,O,O,O,O,O,O,O
LIZOSTJ,O,O,O,X,O,O,O
LIZOSJT,O,O,O,O,O,O,O
LIOTJSZ,O,O,X,X,X,O,X
LIOTJZS,O,O,X,X,X,O,X
LIOTSJZ,O,O,X,X,X,O,X
LIOTSZJ,O,O,X,X,X,O,X
LIOTZJS,O,O,X,X,X,O,X
LIOTZSJ,O,O,X,X,X,O,X
LIOJTSZ,O,O,X,X,X,O,X
LIOJTZS,O,O,X,X,X,O,X
LIOJSTZ,O,O,O,X,O,O,X
LIOJSZT,O,O,O,O,O,O,X
LIOJZTS,O,O,X,X,X,O,O
LIOJZST,O,O,O,O,O,O,O
LIOSTJZ,O,O,O,X,O,O,X
LIOSTZJ,O,O,O,X,O,O,X
LIOSJTZ,O,O,O,X,O,O,X
LIOSJZT,O,O,O,O,O,O,X
LIOSZTJ,O,O,O,X,O,O,X
LIOSZJT,O,O,O,O,O,O,X
LIOZTJS,O,O,X,X,X,O,O
LIOZTSJ,O,O,X,X,X,O,O
LIOZJTS,O,O,X,X,X,O,O
LIOZJST,O,O,O,O,O,O,O
LIOZSTJ,O,O,O,X,O,O,O
LIOZSJT,O,O,O,O,O,O,O
LJTISZO,X,X,O,O,O,X,X
LJTISOZ,X,X,O,X,O,O,X
LJTIZSO,X,X,O,O,O,X,O
LJTIZOS,O,O,X,X,X,X,O
LJTIOSZ,O,O,O,X,X,O,X
LJTIOZS,O,O,X,X,X,O,X
LJTSIZO,X,X,O,X,X,X,X
LJTSIOZ,X,X,O,X,X,O,X
LJTSZIO,X,X,O,X,X,X,X
LJTSZOI,X,X,O,X,X,X,X
LJTSOIZ,X,X,O,X,X,O,X
LJTSOZI,X,X,O,X,X,O,X
LJTZISO,X,X,O,O,O,X,O
LJTZIOS,O,O,X,X,X,X,O
LJTZSIO,X,X,O,X,X,X,O
LJTZSOI,X,X,O,X,X,X,O
LJTZOIS,O,O,X,X,X,X,O
LJTZOSI,O,O,X,X,X,X,O
LJTOISZ,O,O,O,X,X,O,X
LJTOIZS,O,O,X,X,X,O,X
LJTOSIZ,O,O,O,X,X,O,X
LJTOSZI,O,O,O,X,X,O,X
LJTOZIS,O,O,X,X,X,O,X
LJTOZSI,O,O,X,X,X,O,X
LJITSZO,X,X,O,O,O,X,X
LJITSOZ,X,X,O,X,O,O,X
LJITZSO,X,X,O,O,O,X,O
LJITZOS,O,O,X,X,X,X,O
LJITOSZ,O,O,O,X,X,O,X
LJITOZS,O,O,X,X,X,O,X
LJISTZO,X,X,O,O,O,X,X
LJISTOZ,X,X,O,X,O,O,X
LJISZTO,X,X,O,O,O,X,O
LJISZOT,O,O,O,O,O,O,O
LJISOTZ,O,O,O,X,O,O,X
LJISOZT,O,O,O,O,O,O,X
LJIZTSO,X,X,O,O,O,X,O
LJIZTOS,O,O,X,X,X,X,O
LJIZSTO,X,X,O,O,O,X,O
LJIZSOT,O,O,O,O,O,O,O
LJIZOTS,O,O,X,X,X,O,O
LJIZOST,O,O,O,O,O,O,O
LJIOTSZ,O,O,O,X,X,O,X
LJIOTZS,O,O,X,X,X,O,X
LJIOSTZ,O,O,O,X,O,O,X
LJIOSZT,O,O,O,O,O,O,X
LJIOZTS,O,O,X,X,X,O,O
LJIOZST,O,O,O,O,O,O,O
LJSTIZO,X,X,O,X,X,X,X
LJSTIOZ,X,X,O,X,X,O,X
LJSTZIO,X,X,O,X,X,X,X
LJSTZOI,X,X,O,X,X,X,X
LJSTOIZ,X,X,O,X,X,O,X
LJSTOZI,X,X,O,X,X,O,X
LJSITZO,X,X,O,O,O,X,X
LJSITOZ,X,X,O,X,O,O,X
LJSIZTO,X,X,O,O,O,X,O
LJSIZOT,O,O,O,O,O,O,O
LJSIOTZ,O,O,O,X,O,O,X
LJSIOZT,O,O,O,O,O,O,X
LJSZTIO,X,X,O,X,X,X,O
LJSZTOI,X,X,O,X,X,X,O
LJSZITO,X,X,O,O,O,X,O
LJSZIOT,O,O,O,O,O,O,O
LJSZOTI,O,O,O,X,X,O,O
LJSZOIT,O,O,O,X,X,O,O
LJSOTIZ,O,O,O,X,X,O,X
LJSOTZI,O,O,O,X,X,O,X
LJSOITZ,O,O,O,X,X,O,X
LJSOIZT,O,O,O,X,X,O,X
LJSOZTI,O,O,O,X,X,O,X
LJSOZIT,O,O,O,X,X,O,X
LJZTISO,X,X,O,O,O,X,O
LJZTIOS,O,O,X,X,X,X,O
LJZTSIO,X,X,O,X,X,X,O
LJZTSOI,X,X,O,X,X,X,O
LJZTOIS,O,O,X,X,X,X,O
LJZTOSI,O,O,X,X,X,X,O
LJZITSO,X,X,O,O,O,X,O
LJZITOS,O,O,X,X,X,X,O
LJZISTO,X,X,O,O,O,X,O
LJZISOT,O,O,O,O,O,O,O
LJZIOTS,O,O,X,X,X,O,O
LJZIOST,O,O,O,O,O,O,O
LJZSTIO,X,X,O,X,X,X,O
LJZSTOI,X,X,O,X,X,X,O
LJZSITO,X,X,O,O,O,X,O
LJZSIOT,O,O,O,O,O,O,O
LJZSOTI,O,O,O,X,X,O,O
LJZSOIT,O,O,O,X,X,O,O
LJZOTIS,O,O,X,X,X,O,O
LJZOTSI,O,O,X,X,X,O,O
LJZOITS,O,O,X,X,X,O,O
LJZOIST,O,O,O,O,O,O,O
LJZOSTI,O,O,O,X,X,O,O
LJZOSIT,O,O,O,X,X,O,O
LJOTISZ,O,O,O,X,X,O,X
LJOTIZS,O,O,X,X,X,O,X
LJOTSIZ,O,O,O,X,X,O,X
LJOTSZI,O,O,O,X,X,O,X
LJOTZIS,O,O,X,X,X,O,X
LJOTZSI,O,O,X,X,X,O,X
LJOITSZ,O,O,O,X,X,O,X
LJOITZS,O,O,X,X,X,O,X
LJOISTZ,O,O,O,X,O,O,X
LJOISZT,O,O,O,O,O,O,X
LJOIZTS,O,O,X,X,X,O,O
LJOIZST,O,O,O,O,O,O,O
LJOSTIZ,O,O,O,X,X,O,X
LJOSTZI,O,O,O,X,X,O,X
LJOSITZ,O,O,O,X,X,O,X
LJOSIZT,O,O,O,X,X,O,X
LJOSZTI,O,O,O,X,X,O,X
LJOSZIT,O,O,O,X,X,O,X
LJOZTIS,O,O,X,X,X,O,O
LJOZTSI,O,O,X,X,X,O,O
LJOZITS,O,O,X,X,X,O,O
LJOZIST,O,O,O,O,O,O,O
LJOZSTI,O,O,O,X,X,O,O
LJOZSIT,O,O,O,X,X,O,O
LSTIJZO,X,X,O,X,X,X,X
LSTIJOZ,X,X,O,X,X,O,X
LSTIZJO,X,X,O,X,X,X,X
LSTIZOJ,X,X,O,X,X,O,X
LSTIOJZ,X,X,O,X,X,O,X
LSTIOZJ,X,X,O,X,X,O,X
LSTJIZO,X,X,O,X,X,X,X
LSTJIOZ,X,X,O,X,X,O,X
LSTJZIO,X,X,O,X,X,X,X
LSTJZOI,X,X,O,X,X,X,X
LSTJOIZ,X,X,O,X,X,O,X
LSTJOZI,X,X,O,X,X,O,X
LSTZIJO,X,X,O,X,X,X,X
LSTZIOJ,X,X,O,X,X,O,X
LSTZJIO,X,X,O,X,X,X,X
LSTZJOI,X,X,O,X,X,X,X
LSTZOIJ,X,X,O,X,X,O,X
LSTZOJI,X,X,O,X,X,O,X
LSTOIJZ,X,X,O,X,X,O,X
LSTOIZJ,X,X,O,X,X,O,X
LSTOJIZ,X,X,O,X,X,O,X
LSTOJZI,X,X,O,X,X,O,X
LSTOZIJ,X,X,O,X,X,O,X
LSTOZJI,X,X,O,X,X,O,X
LSITJZO,X,X,O,O,O,X,X
LSITJOZ,X,X,O,X,O,O,X
LSITZJO,X,X,O,O,O,X,X
LSITZOJ,X,X,O,X,O,O,X
LSITOJZ,X,X,O,X,O,O,X
LSITOZJ,X,X,O,X,O,O,X
LSIJTZO,X,X,O,O,O,X,X
LSIJTOZ,X,X,O,X,O,O,X
LSIJZTO,X,X,O,O,O,X,O
LSIJZOT,O,O,O,O,O,O,O
LSIJOTZ,O,O,O,X,O,O,X
LSIJOZT,O,O,O,O,O,O,X
LSIZTJO,X,X,O,O,O,X,O
LSIZTOJ,X,X,O,X,O,O,O
LSIZJTO,X,X,O,O,O,X,O
LSIZJOT,O,O,O,O,O,O,O
LSIZOTJ,O,O,O,X,O,O,O
LSIZOJT,O,O,O,O,O,O,O
LSIOTJZ,O,O,O,X,O,O,X
LSIOTZJ,O,O,O,X,O,O,X
LSIOJTZ,O,O,O,X,O,O,X
LSIOJZT,O,O,O,O,O,O,X
LSIOZTJ,O,O,O,X,O,O,X
LSIOZJT,O,O,O,O,O,O,X
LSJTIZO,X,X,O,X,X,X,X
LSJTIOZ,X,X,O,X,X,O,X
LSJTZIO,X,X,O,X,X,X,X
LSJTZOI,X,X,O,X,X,X,X
LSJTOIZ,X,X,O,X,X,O,X
LSJTOZI,X,X,O,X,X,O,X
LSJITZO,X,X,O,O,O,X,X
