sequence,v115@QhA8GeG8AeA8AeC8JeOEJvhF6lBZmBUiBFjBzkBfsB,v115@QhA8GeG8AeA8AeC8JeKEJvhFzfB+lBZmBUiBFjBfsB,v115@QhA8GeG8AeA8AeC8JeOEJvhF0gBxhBXjBzkBasBFrB,v115@QhA8GeG8AeA8AeC8Je0AJvhFxhBXjBmkBasBTkBFrB
TZJLISO,O,O,O,O
TZJLIOS,X,O,O,O
TZJLSIO,O,O,O,O
TZJLSOI,O,O,O,O
TZJLOIS,X,O,O,O
TZJLOSI,X,O,O,O
TZJSILO,O,O,O,O
TZJSIOL,O,O,O,X
TZJSLIO,O,O,O,O
TZJSLOI,O,O,O,O
TZJSOIL,O,O,O,X
TZJSOLI,O,O,O,O
TZJOILS,O,X,O,X
TZJOISL,O,X,O,X
TZJOLIS,O,X,O,O
TZJOLSI,O,X,O,O
TZJOSIL,O,X,O,X
TZJOSLI,O,X,O,O
TZSILJO,O,O,O,O
TZSILOJ,O,O,O,O
TZSIJLO,O,O,O,O
TZSIJOL,O,O,O,X
TZSIOLJ,O,O,O,X
TZSIOJL,O,O,O,X
TZSLIJO,O,O,O,O
TZSLIOJ,O,O,O,O
TZSLJIO,O,O,O,O
TZSLJOI,O,O,O,O
TZSLOIJ,O,O,O,O
TZSLOJI,O,O,O,O
TZSJILO,O,O,O,O
TZSJIOL,O,O,O,X
TZSJLIO,O,O,O,O
TZSJLOI,O,O,O,O
TZSJOIL,O,O,O,X
TZSJOLI,O,O,O,O
TZSOILJ,O,O,O,X
TZSOIJL,O,O,O,X
TZSOLIJ,O,O,O,O
TZSOLJI,O,O,O,O
TZSOJIL,O,O,O,X
TZSOJLI,O,O,O,O
TZOILJS,O,X,O,X
TZOILSJ,O,X,O,X
TZOIJLS,O,X,O,X
TZOIJSL,O,X,O,X
TZOISLJ,O,X,O,X
TZOISJL,O,X,O,X
TZOLIJS,O,X,O,O
TZOLISJ,O,X,O,O
TZOLJIS,O,X,O,O
TZOLJSI,O,X,O,O
TZOLSIJ,O,X,O,O
TZOLSJI,O,X,O,O
TZOJILS,O,X,O,X
TZOJISL,O,X,O,X
TZOJLIS,O,X,O,O
TZOJLSI,O,X,O,O
TZOJSIL,O,X,O,X
TZOJSLI,O,X,O,O
TZOSILJ,O,X,O,X
TZOSIJL,O,X,O,X
TZOSLIJ,O,X,O,O
TZOSLJI,O,X,O,O
TZOSJIL,O,X,O,X
TZOSJLI,O,X,O,O
TOILJSZ,O,O,O,X
TOILJZS,O,O,O,X
TOILSJZ,O,O,O,X
TOILSZJ,O,O,O,X
TOILZJS,O,X,O,X
TOILZSJ,O,X,O,X
TOIJLSZ,O,O,O,X
TOIJLZS,O,O,O,X
TOIJSLZ,O,O,O,X
TOIJSZL,O,O,O,X
TOIJZLS,O,X,O,X
TOIJZSL,O,X,O,X
TOISLJZ,O,O,O,X
TOISLZJ,O,O,O,X
TOISJLZ,O,O,O,X
TOISJZL,O,O,O,X
TOISZLJ,O,O,O,X
TOISZJL,O,O,O,X
TOIZLJS,O,X,O,X
TOIZLSJ,O,X,O,X
TOIZJLS,O,X,O,X
TOIZJSL,O,X,O,X
TOIZSLJ,O,X,O,X
TOIZSJL,O,X,O,X
TOLIJSZ,O,O,O,O
TOLIJZS,O,O,O,O
TOLISJZ,O,O,O,O
TOLISZJ,O,O,O,O
TOLIZJS,O,X,O,O
TOLIZSJ,O,X,O,O
TOLJISZ,O,O,O,O
TOLJIZS,O,O,O,O
TOLJSIZ,O,O,O,O
TOLJSZI,O,O,O,O
TOLJZIS,O,O,O,O
TOLJZSI,O,O,O,O
TOLSIJZ,O,O,O,O
TOLSIZJ,O,O,O,O
TOLSJIZ,O,O,O,O
TOLSJZI,O,O,O,O
TOLSZIJ,O,O,O,O
TOLSZJI,O,O,O,O
TOLZIJS,O,X,O,O
TOLZISJ,O,X,O,O
TOLZJIS,O,O,O,O
TOLZJSI,O,O,O,O
TOLZSIJ,O,O,O,O
TOLZSJI,O,O,O,O
TOJILSZ,O,O,O,X
TOJILZS,O,O,O,X
TOJISLZ,O,O,O,X
TOJISZL,O,O,O,X
TOJIZLS,O,X,O,X
TOJIZSL,O,X,O,X
TOJLISZ,O,O,O,O
TOJLIZS,O,O,O,O
TOJLSIZ,O,O,O,O
TOJLSZI,O,O,O,O
TOJLZIS,O,O,O,O
TOJLZSI,O,O,O,O
TOJSILZ,O,O,O,X
TOJSIZL,O,O,O,X
TOJSLIZ,O,O,O,O
TOJSLZI,O,O,O,O
TOJSZIL,O,O,O,X
TOJSZLI,O,O,O,O
TOJZILS,O,X,O,X
TOJZISL,O,X,O,X
TOJZLIS,O,X,O,O
TOJZLSI,O,X,O,O
TOJZSIL,O,X,O,X
TOJZSLI,O,X,O,O
TOSILJZ,O,O,O,X
TOSILZJ,O,O,O,X
TOSIJLZ,O,O,O,X
TOSIJZL,O,O,O,X
TOSIZLJ,O,O,O,X
TOSIZJL,O,O,O,X
TOSLIJZ,O,O,O,O
TOSLIZJ,O,O,O,O
TOSLJIZ,O,O,O,O
TOSLJZI,O,O,O,O
TOSLZIJ,O,O,O,O
TOSLZJI,O,O,O,O
TOSJILZ,O,O,O,X
TOSJIZL,O,O,O,X
TOSJLIZ,O,O,O,O
TOSJLZI,O,O,O,O
TOSJZIL,O,O,O,X
TOSJZLI,O,O,O,O
TOSZILJ,O,O,O,X
TOSZIJL,O,O,O,X
TOSZLIJ,O,O,O,O
TOSZLJI,O,O,O,O
TOSZJIL,O,O,O,X
TOSZJLI,O,O,O,O
TOZILJS,O,X,O,X
TOZILSJ,O,X,O,X
TOZIJLS,O,X,O,X
TOZIJSL,O,X,O,X
TOZISLJ,O,X,O,X
TOZISJL,O,X,O,X
TOZLIJS,O,X,O,O
TOZLISJ,O,X,O,O
TOZLJIS,O,X,O,O
TOZLJSI,O,X,O,O
TOZLSIJ,O,X,O,O
TOZLSJI,O,X,O,O
TOZJILS,O,X,O,X
TOZJISL,O,X,O,X
TOZJLIS,O,X,O,O
TOZJLSI,O,X,O,O
TOZJSIL,O,X,O,X
TOZJSLI,O,X,O,O
TOZSILJ,O,X,O,X
TOZSIJL,O,X,O,X
TOZSLIJ,O,X,O,O
TOZSLJI,O,X,O,O
TOZSJIL,O,X,O,X
TOZSJLI,O,X,O,O
ITLJSZO,O,O,O,O
ITLJSOZ,O,O,O,O
ITLJZSO,O,O,O,O
ITLJZOS,X,O,O,O
ITLJOSZ,O,O,O,O
ITLJOZS,O,O,O,O
ITLSJZO,O,O,O,O
ITLSJOZ,O,O,O,O
ITLSZJO,O,O,O,O
ITLSZOJ,O,O,O,O
ITLSOJZ,O,O,O,O
ITLSOZJ,O,O,O,O
ITLZJSO,O,O,O,O
ITLZJOS,X,O,O,O
ITLZSJO,O,O,O,O
ITLZSOJ,O,O,O,O
ITLZOJS,O,X,O,O
ITLZOSJ,O,X,O,O
ITLOJSZ,O,O,O,O
ITLOJZS,O,O,O,O
ITLOSJZ,O,O,O,O
ITLOSZJ,O,O,O,O
ITLOZJS,O,X,O,O
ITLOZSJ,O,X,O,O
ITJLSZO,O,O,O,O
ITJLSOZ,O,O,O,O
ITJLZSO,O,O,O,O
ITJLZOS,X,O,O,O
ITJLOSZ,O,O,O,O
ITJLOZS,O,O,O,O
ITJSLZO,O,O,O,O
ITJSLOZ,O,O,O,O
ITJSZLO,O,O,O,O
ITJSZOL,O,O,O,X
ITJSOLZ,O,O,X,X
ITJSOZL,O,O,O,X
ITJZLSO,O,O,O,O
ITJZLOS,X,O,O,O
ITJZSLO,O,O,O,O
ITJZSOL,O,O,O,X
ITJZOLS,O,X,X,X
ITJZOSL,O,X,O,X
ITJOLSZ,O,O,X,X
ITJOLZS,O,O,X,X
ITJOSLZ,O,O,X,X
ITJOSZL,O,O,X,X
ITJOZLS,O,X,X,X
ITJOZSL,O,X,X,X
ITSLJZO,O,O,O,O
ITSLJOZ,O,O,O,O
ITSLZJO,O,O,O,O
ITSLZOJ,O,O,O,O
ITSLOJZ,O,O,O,O
ITSLOZJ,O,O,O,O
ITSJLZO,O,O,O,O
ITSJLOZ,O,O,O,O
ITSJZLO,O,O,O,O
ITSJZOL,O,O,O,X
ITSJOLZ,O,O,O,X
ITSJOZL,O,O,O,X
ITSZLJO,O,O,O,O
ITSZLOJ,O,O,O,O
ITSZJLO,O,O,O,O
ITSZJOL,O,O,O,X
ITSZOLJ,O,O,O,X
ITSZOJL,O,O,O,X
ITSOLJZ,O,O,O,X
ITSOLZJ,O,O,O,X
ITSOJLZ,O,O,O,X
ITSOJZL,O,O,O,X
ITSOZLJ,O,O,O,X
ITSOZJL,O,O,O,X
ITZLJSO,O,O,O,O
ITZLJOS,X,O,O,O
ITZLSJO,O,O,O,O
ITZLSOJ,O,O,O,O
ITZLOJS,O,X,O,O
ITZLOSJ,O,X,O,O
ITZJLSO,O,O,O,O
ITZJLOS,X,O,O,O
ITZJSLO,O,O,O,O
ITZJSOL,O,O,O,X
ITZJOLS,O,X,O,X
ITZJOSL,O,X,O,X
ITZSLJO,O,O,O,O
ITZSLOJ,O,O,O,O
ITZSJLO,O,O,O,O
ITZSJOL,O,O,O,X
ITZSOLJ,O,O,O,X
ITZSOJL,O,O,O,X
ITZOLJS,O,X,O,X
ITZOLSJ,O,X,O,X
ITZOJLS,O,X,O,X
ITZOJSL,O,X,O,X
ITZOSLJ,O,X,O,X
ITZOSJL,O,X,O,X
ITOLJSZ,O,O,O,X
ITOLJZS,O,O,O,X
ITOLSJZ,O,O,O,X
ITOLSZJ,O,O,O,X
ITOLZJS,O,X,O,X
ITOLZSJ,O,X,O,X
