sequence,v115@9gB8HeB8HeB8HeB8AeA8AeB8BeA8JeZFJvhFulBfnB?0iB6oBNrBzsB,v115@9gB8HeB8HeB8HeB8AeA8AeB8BeA8JeZFJvhFulBzhB?foB6oBNrB0sB,v115@9gB8HeB8HeB8HeB8AeA8AeB8BeA8JeZFJvhFChB8mB?+nBTjBdrBXtB,v115@9gB8HeB8HeB8HeB8AeA8AeB8BeA8JeiAJvhFRiB9oB?cqBOrBXnBzsB,v115@9gB8HeB8HeB8HeB8AeA8AeB8BeA8JeZFJvhFulB3hB?9oB0nBirBzsB
JTZOILS,O,O,O,O,X
JTZOISL,O,O,O,O,X
JTZOLIS,O,O,O,O,X
JTZOLSI,O,O,O,O,X
JTZOSIL,O,O,O,O,X
JTZOSLI,O,O,O,O,X
JTOILSZ,O,X,X,X,O
JTOILZS,O,O,X,O,O
JTOISLZ,O,X,O,O,X
JTOISZL,O,O,O,O,X
JTOIZLS,O,O,O,O,X
JTOIZSL,O,O,O,O,X
JTOLISZ,O,X,X,X,O
JTOLIZS,O,O,X,O,O
JTOLSIZ,O,X,X,O,O
JTOLSZI,O,X,X,O,O
JTOLZIS,O,O,X,O,O
JTOLZSI,O,O,X,O,O
JTOSILZ,O,X,O,O,X
JTOSIZL,O,O,O,O,X
JTOSLIZ,O,X,O,O,X
JTOSLZI,O,X,O,O,X
JTOSZIL,O,O,O,O,X
JTOSZLI,O,O,O,O,X
JTOZILS,O,O,O,O,X
JTOZISL,O,O,O,O,X
JTOZLIS,O,O,O,O,X
JTOZLSI,O,O,O,O,X
JTOZSIL,O,O,O,O,X
JTOZSLI,O,O,O,O,X
JITLSZO,O,X,O,X,O
JITLSOZ,O,X,O,X,O
JITLZSO,O,O,O,O,O
JITLZOS,O,O,O,O,O
JITLOSZ,O,X,X,X,O
JITLOZS,O,O,X,X,O
JITSLZO,O,X,O,O,O
JITSLOZ,O,X,O,X,O
JITSZLO,O,O,O,O,X
JITSZOL,O,O,O,O,X
JITSOLZ,O,X,O,X,X
JITSOZL,O,O,O,O,X
JITZLSO,O,O,O,O,O
JITZLOS,O,O,O,O,O
JITZSLO,O,O,O,O,X
JITZSOL,O,O,O,O,X
JITZOLS,O,O,O,O,X
JITZOSL,O,O,O,X,X
JITOLSZ,O,X,X,X,O
JITOLZS,O,O,X,X,O
JITOSLZ,O,X,O,X,X
JITOSZL,O,O,O,X,X
JITOZLS,O,O,O,O,X
JITOZSL,O,O,O,X,X
JILTSZO,O,X,O,X,O
JILTSOZ,O,X,O,X,O
JILTZSO,O,O,O,X,O
JILTZOS,O,O,O,X,O
JILTOSZ,O,X,X,X,O
JILTOZS,O,O,X,X,O
JILSTZO,O,X,O,X,O
JILSTOZ,O,X,O,X,O
JILSZTO,O,X,O,X,O
JILSZOT,X,X,O,X,O
JILSOTZ,O,X,O,X,O
JILSOZT,X,X,O,X,O
JILZTSO,O,X,O,X,O
JILZTOS,O,X,O,X,O
JILZSTO,X,X,O,X,O
JILZSOT,X,X,O,X,O
JILZOTS,O,X,X,X,O
JILZOST,X,X,X,X,O
JILOTSZ,O,X,X,X,O
JILOTZS,O,X,X,X,O
JILOSTZ,O,X,X,X,O
JILOSZT,O,X,X,X,O
JILOZTS,O,X,X,X,O
JILOZST,O,X,X,X,O
JISTLZO,O,X,O,O,O
JISTLOZ,O,X,O,X,O
JISTZLO,O,O,O,O,X
JISTZOL,O,O,O,O,X
JISTOLZ,O,X,O,X,X
JISTOZL,O,O,O,O,X
JISLTZO,O,X,O,X,O
JISLTOZ,O,X,O,X,O
JISLZTO,O,X,O,X,O
JISLZOT,X,X,O,X,O
JISLOTZ,O,X,O,X,O
JISLOZT,X,X,O,X,O
JISZTLO,O,X,O,O,X
JISZTOL,O,X,O,O,X
JISZLTO,O,X,O,O,X
JISZLOT,X,X,O,X,X
JISZOTL,X,X,O,X,X
JISZOLT,X,X,O,X,X
JISOTLZ,O,X,O,X,X
JISOTZL,O,X,O,X,X
JISOLTZ,O,X,O,X,X
JISOLZT,O,X,O,X,X
JISOZTL,O,X,O,X,X
JISOZLT,O,X,O,X,X
JIZTLSO,O,O,O,O,O
JIZTLOS,O,O,O,O,O
JIZTSLO,O,O,O,O,X
JIZTSOL,O,O,O,O,X
JIZTOLS,O,O,O,O,X
JIZTOSL,O,O,O,X,X
JIZLTSO,O,X,O,O,O
JIZLTOS,O,X,O,O,O
JIZLSTO,X,X,O,O,O
JIZLSOT,X,X,O,X,O
JIZLOTS,O,X,X,O,O
JIZLOST,X,X,X,O,O
JIZSTLO,X,O,O,O,X
JIZSTOL,X,O,O,O,X
JIZSLTO,X,O,O,O,X
JIZSLOT,X,O,O,X,X
JIZSOTL,X,O,O,X,X
JIZSOLT,X,O,O,X,X
JIZOTLS,O,O,O,O,X
JIZOTSL,O,O,O,O,X
JIZOLTS,O,X,X,O,X
JIZOLST,X,X,X,O,X
JIZOSTL,X,O,O,O,X
JIZOSLT,X,O,O,O,X
JIOTLSZ,O,X,X,X,O
JIOTLZS,O,O,X,O,O
JIOTSLZ,O,X,O,O,X
JIOTSZL,O,O,O,O,X
JIOTZLS,O,O,O,O,X
JIOTZSL,O,O,O,O,X
JIOLTSZ,O,X,X,X,O
JIOLTZS,O,X,X,X,O
JIOLSTZ,O,X,X,X,O
JIOLSZT,O,X,X,X,O
JIOLZTS,O,X,X,X,O
JIOLZST,O,X,X,X,O
JIOSTLZ,O,X,O,O,X
JIOSTZL,O,X,O,O,X
JIOSLTZ,O,X,O,X,X
JIOSLZT,O,X,O,X,X
JIOSZTL,O,X,O,O,X
JIOSZLT,O,X,O,O,X
JIOZTLS,O,X,O,O,X
JIOZTSL,O,X,O,O,X
JIOZLTS,O,X,X,O,X
JIOZLST,O,X,X,O,X
JIOZSTL,O,X,O,O,X
JIOZSLT,O,X,O,O,X
JLTISZO,O,X,O,X,O
JLTISOZ,O,X,O,X,O
JLTIZSO,O,O,O,O,O
JLTIZOS,O,O,O,O,O
JLTIOSZ,O,X,X,X,O
JLTIOZS,O,O,X,X,O
JLTSIZO,O,X,O,O,O
JLTSIOZ,O,X,O,X,O
JLTSZIO,O,X,O,O,O
JLTSZOI,O,X,O,O,O
JLTSOIZ,O,X,O,X,O
JLTSOZI,O,X,O,X,O
JLTZISO,O,O,O,O,O
JLTZIOS,O,O,O,O,O
JLTZSIO,O,O,O,O,O
JLTZSOI,O,O,O,O,O
JLTZOIS,O,O,O,O,O
JLTZOSI,O,O,O,O,O
JLTOISZ,O,X,X,X,O
JLTOIZS,O,O,X,X,O
JLTOSIZ,O,X,X,X,O
JLTOSZI,O,X,X,X,O
JLTOZIS,O,O,X,X,O
JLTOZSI,O,O,X,X,O
JLITSZO,O,X,O,X,O
JLITSOZ,O,X,O,X,O
JLITZSO,O,O,O,X,O
JLITZOS,O,O,O,X,O
JLITOSZ,O,X,X,X,O
JLITOZS,O,O,X,X,O
JLISTZO,O,X,O,X,O
JLISTOZ,O,X,O,X,O
JLISZTO,O,X,O,X,O
JLISZOT,X,X,O,X,O
JLISOTZ,O,X,O,X,O
JLISOZT,X,X,O,X,O
JLIZTSO,O,X,O,X,O
JLIZTOS,O,X,O,X,O
JLIZSTO,X,X,O,X,O
JLIZSOT,X,X,O,X,O
JLIZOTS,O,X,X,X,O
JLIZOST,X,X,X,X,O
JLIOTSZ,O,X,X,X,O
JLIOTZS,O,X,X,X,O
JLIOSTZ,O,X,X,X,O
JLIOSZT,O,X,X,X,O
JLIOZTS,O,X,X,X,O
JLIOZST,O,X,X,X,O
JLSTIZO,O,X,O,O,O
JLSTIOZ,O,X,O,X,O
JLSTZIO,O,X,O,O,O
JLSTZOI,O,X,O,O,O
JLSTOIZ,O,X,O,X,O
JLSTOZI,O,X,O,X,O
JLSITZO,O,X,O,X,O
JLSITOZ,O,X,O,X,O
JLSIZTO,O,X,O,X,O
JLSIZOT,X,X,O,X,O
JLSIOTZ,O,X,O,X,O
JLSIOZT,X,X,O,X,O
JLSZTIO,O,X,O,O,O
JLSZTOI,O,X,O,O,O
JLSZITO,O,X,O,O,O
JLSZIOT,X,X,O,X,O
JLSZOTI,X,X,O,O,O
JLSZOIT,X,X,O,X,O
JLSOTIZ,O,X,O,X,O
JLSOTZI,O,X,O,X,O
JLSOITZ,O,X,O,X,O
JLSOIZT,X,X,O,X,O
JLSOZTI,X,X,O,X,O
JLSOZIT,X,X,O,X,O
JLZTISO,O,X,O,O,O
JLZTIOS,O,X,O,O,O
JLZTSIO,O,X,O,O,O
JLZTSOI,O,X,O,O,O
JLZTOIS,O,X,O,O,O
JLZTOSI,O,X,O,O,O
JLZITSO,O,X,O,O,O
JLZITOS,O,X,O,O,O
JLZISTO,X,X,O,O,O
JLZISOT,X,X,O,X,O
JLZIOTS,O,X,X,O,O
JLZIOST,X,X,X,O,O
JLZSTIO,X,X,O,O,O
JLZSTOI,X,X,O,O,O
JLZSITO,X,X,O,O,O
JLZSIOT,X,X,O,X,O
JLZSOTI,X,X,O,O,O
JLZSOIT,X,X,O,O,O
JLZOTIS,O,X,X,O,O
JLZOTSI,O,X,X,O,O
JLZOITS,O,X,X,O,O
JLZOIST,X,X,X,O,O
JLZOSTI,X,X,X,O,O
JLZOSIT,X,X,X,O,O
JLOTISZ,O,X,X,X,O
JLOTIZS,O,X,X,O,O
JLOTSIZ,O,X,X,O,O
JLOTSZI,O,X,X,O,O
JLOTZIS,O,X,X,O,O
JLOTZSI,O,X,X,O,O
JLOITSZ,O,X,X,X,O
JLOITZS,O,X,X,X,O
JLOISTZ,O,X,X,X,O
JLOISZT,O,X,X,X,O
JLOIZTS,O,X,X,X,O
JLOIZST,O,X,X,X,O
JLOSTIZ,O,X,X,O,O
JLOSTZI,O,X,X,O,O
JLOSITZ,O,X,X,X,O
JLOSIZT,O,X,X,X,O
JLOSZTI,O,X,X,O,O
JLOSZIT,O,X,X,O,O
JLOZTIS,O,X,X,O,O
JLOZTSI,O,X,X,O,O
JLOZITS,O,X,X,O,O
JLOZIST,O,X,X,O,O
JLOZSTI,O,X,X,O,O
JLOZSIT,O,X,X,O,O
JSTILZO,O,X,O,O,O
JSTILOZ,O,X,O,X,O
JSTIZLO,O,O,O,O,X
JSTIZOL,O,O,O,O,X
JSTIOLZ,O,X,O,X,X
JSTIOZL,O,O,O,O,X
JSTLIZO,O,X,O,O,O
JSTLIOZ,O,X,O,X,O
JSTLZIO,O,X,O,O,O
JSTLZOI,O,X,O,O,O
JSTLOIZ,O,X,O,X,O
JSTLOZI,O,X,O,X,O
JSTZILO,O,O,O,O,X
JSTZIOL,O,O,O,O,X
JSTZLIO,O,O,O,O,X
JSTZLOI,O,O,O,O,X
JSTZOIL,O,O,O,O,X
JSTZOLI,O,O,O,O,X
JSTOILZ,O,X,O,X,X
JSTOIZL,O,O,O,O,X
JSTOLIZ,O,X,O,X,X
JSTOLZI,O,X,O,X,X
JSTOZIL,O,O,O,O,X
JSTOZLI,O,O,O,O,X
JSITLZO,O,X,O,O,O
JSITLOZ,O,X,O,X,O
JSITZLO,O,O,O,O,X
JSITZOL,O,O,O,O,X
JSITOLZ,O,X,O,X,X
JSITOZL,O,O,O,O,X
JSILTZO,O,X,O,X,O
JSILTOZ,O,X,O,X,O
JSILZTO,O,X,O,X,O
JSILZOT,X,X,O,X,O
JSILOTZ,O,X,O,X,O
JSILOZT,X,X,O,X,O
JSIZTLO,O,X,O,O,X
JSIZTOL,O,X,O,O,X
JSIZLTO,O,X,O,O,X
JSIZLOT,X,X,O,X,X
JSIZOTL,X,X,O,X,X
JSIZOLT,X,X,O,X,X
JSIOTLZ,O,X,O,X,X
JSIOTZL,O,X,O,X,X
JSIOLTZ,O,X,O,X,X
JSIOLZT,O,X,O,X,X
JSIOZTL,O,X,O,X,X
JSIOZLT,O,X,O,X,X
JSLTIZO,O,X,O,O,O
JSLTIOZ,O,X,O,X,O
JSLTZIO,O,X,O,O,O
JSLTZOI,O,X,O,O,O
JSLTOIZ,O,X,O,X,O
JSLTOZI,O,X,O,X,O
JSLITZO,O,X,O,X,O
JSLITOZ,O,X,O,X,O
JSLIZTO,O,X,O,X,O
JSLIZOT,X,X,O,X,O
JSLIOTZ,O,X,O,X,O
JSLIOZT,X,X,O,X,O
JSLZTIO,O,X,O,O,O
JSLZTOI,O,X,O,O,O
JSLZITO,O,X,O,O,O
JSLZIOT,X,X,O,X,O
JSLZOTI,X,X,O,O,O
JSLZOIT,X,X,O,X,O
JSLOTIZ,O,X,O,X,O
JSLOTZI,O,X,O,X,O
JSLOITZ,O,X,O,X,O
JSLOIZT,X,X,O,X,O
JSLOZTI,X,X,O,X,O
JSLOZIT,X,X,O,X,O
JSZTILO,O,X,O,O,X
JSZTIOL,O,X,O,O,X
JSZTLIO,O,X,O,O,X
JSZTLOI,O,X,O,O,X
JSZTOIL,O,X,O,O,X
JSZTOLI,O,X,O,O,X
JSZITLO,O,X,O,O,X
JSZITOL,O,X,O,O,X
JSZILTO,O,X,O,O,X
JSZILOT,X,X,O,X,X
JSZIOTL,X,X,O,X,X
JSZIOLT,X,X,O,X,X
JSZLTIO,O,X,O,O,X
JSZLTOI,O,X,O,O,X
JSZLITO,O,X,O,O,X
JSZLIOT,X,X,O,X,X
JSZLOTI,X,X,O,O,X
JSZLOIT,X,X,O,O,X
JSZOTIL,X,X,O,O,X
JSZOTLI,X,X,O,O,X
JSZOITL,X,X,O,O,X
JSZOILT,X,X,O,O,X
JSZOLTI,X,X,O,O,X
JSZOLIT,X,X,O,O,X
JSOTILZ,O,X,O,O,X
JSOTIZL,O,X,O,O,X
JSOTLIZ,O,X,O,O,X
JSOTLZI,O,X,O,O,X
JSOTZIL,O,X,O,O,X
JSOTZLI,O,X,O,O,X
JSOITLZ,O,X,O,O,X
JSOITZL,O,X,O,O,X
JSOILTZ,O,X,O,X,X
JSOILZT,O,X,O,X,X
JSOIZTL,O,X,O,O,X
JSOIZLT,O,X,O,O,X
JSOLTIZ,O,X,O,O,X
JSOLTZI,O,X,O,O,X
JSOLITZ,O,X,O,X,X
JSOLIZT,O,X,O,X,X
JSOLZTI,O,X,O,O,X
JSOLZIT,O,X,O,O,X
JSOZTIL,O,X,O,O,X
JSOZTLI,O,X,O,O,X
JSOZITL,O,X,O,O,X
JSOZILT,O,X,O,O,X
JSOZLTI,O,X,O,O,X
JSOZLIT,O,X,O,O,X
JZTILSO,O,O,O,O,O
JZTILOS,O,O,O,O,O
JZTISLO,O,O,O,O,X
JZTISOL,O,O,O,O,X
JZTIOLS,O,O,O,O,X
JZTIOSL,O,O,O,X,X
JZTLISO,O,O,O,O,O
JZTLIOS,O,O,O,O,O
JZTLSIO,O,O,O,O,O
JZTLSOI,O,O,O,O,O
JZTLOIS,O,O,O,O,O
JZTLOSI,O,O,O,O,O
JZTSILO,O,O,O,O,X
JZTSIOL,O,O,O,O,X
JZTSLIO,O,O,O,O,X
JZTSLOI,O,O,O,O,X
JZTSOIL,O,O,O,O,X
JZTSOLI,O,O,O,O,X
JZTOILS,O,O,O,O,X
JZTOISL,O,O,O,O,X
JZTOLIS,O,O,O,O,X
JZTOLSI,O,O,O,O,X
JZTOSIL,O,O,O,O,X
JZTOSLI,O,O,O,O,X
JZITLSO,O,O,O,O,O
JZITLOS,O,O,O,O,O
JZITSLO,O,O,O,O,X
JZITSOL,O,O,O,O,X
JZITOLS,O,O,O,O,X
JZITOSL,O,O,O,X,X
JZILTSO,O,X,O,O,O
JZILTOS,O,X,O,O,O
JZILSTO,X,X,O,O,O
JZILSOT,X,X,O,X,O
JZILOTS,O,X,X,O,O
JZILOST,X,X,X,O,O
JZISTLO,X,O,O,O,X
JZISTOL,X,O,O,O,X
JZISLTO,X,O,O,O,X
JZISLOT,X,O,O,X,X
JZISOTL,X,O,O,X,X
JZISOLT,X,O,O,X,X
JZIOTLS,O,O,O,O,X
JZIOTSL,O,O,O,O,X
JZIOLTS,O,X,X,O,X
JZIOLST,X,X,X,O,X
JZIOSTL,X,O,O,O,X
JZIOSLT,X,O,O,O,X
JZLTISO,O,X,O,O,O
JZLTIOS,O,X,O,O,O
JZLTSIO,O,X,O,O,O
JZLTSOI,O,X,O,O,O
JZLTOIS,O,X,O,O,O
JZLTOSI,O,X,O,O,O
JZLITSO,O,X,O,O,O
JZLITOS,O,X,O,O,O
JZLISTO,X,X,O,O,O
JZLISOT,X,X,O,X,O
JZLIOTS,O,X,X,O,O
JZLIOST,X,X,X,O,O
JZLSTIO,X,X,O,O,O
JZLSTOI,X,X,O,O,O
JZLSITO,X,X,O,O,O
JZLSIOT,X,X,O,X,O
JZLSOTI,X,X,O,O,O
JZLSOIT,X,X,O,O,O
JZLOTIS,O,X,X,O,O
JZLOTSI,O,X,X,O,O
JZLOITS,O,X,X,O,O
JZLOIST,X,X,X,O,O
JZLOSTI,X,X,X,O,O
JZLOSIT,X,X,X,O,O
JZSTILO,X,O,O,O,X
JZSTIOL,X,O,O,O,X
JZSTLIO,X,O,O,O,X
JZSTLOI,X,O,O,O,X
JZSTOIL,X,O,O,O,X
JZSTOLI,X,O,O,O,X
JZSITLO,X,O,O,O,X
JZSITOL,X,O,O,O,X
JZSILTO,X,O,O,O,X
JZSILOT,X,O,O,X,X
JZSIOTL,X,O,O,X,X
JZSIOLT,X,O,O,X,X
JZSLTIO,X,O,O,O,X
JZSLTOI,X,O,O,O,X
JZSLITO,X,O,O,O,X
JZSLIOT,X,O,O,X,X
JZSLOTI,X,O,O,O,X
JZSLOIT,X,O,O,O,X
JZSOTIL,X,O,O,O,X
JZSOTLI,X,O,O,O,X
JZSOITL,X,O,O,O,X
JZSOILT,X,O,O,O,X
JZSOLTI,X,O,O,O,X
JZSOLIT,X,O,O,O,X
JZOTILS,O,O,O,O,X
JZOTISL,O,O,O,O,X
JZOTLIS,O,O,O,O,X
JZOTLSI,O,O,O,O,X
JZOTSIL,O,O,O,O,X
JZOTSLI,O,O,O,O,X
JZOITLS,O,O,O,O,X
JZOITSL,O,O,O,O,X
JZOILTS,O,X,X,O,X
JZOILST,X,X,X,O,X
JZOISTL,X,O,O,O,X
JZOISLT,X,O,O,O,X
JZOLTIS,O,X,X,O,X
JZOLTSI,O,X,X,O,X
JZOLITS,O,X,X,O,X
JZOLIST,X,X,X,O,X
JZOLSTI,X,X,X,O,X
JZOLSIT,X,X,X,O,X
JZOSTIL,X,O,O,O,X
JZOSTLI,X,O,O,O,X
JZOSITL,X,O,O,O,X
JZOSILT,X,O,O,O,X
JZOSLTI,X,O,O,O,X
JZOSLIT,X,O,O,O,X
JOTILSZ,O,X,X,X,O
JOTILZS,O,O,X,O,O
JOTISLZ,O,X,O,O,X
JOTISZL,O,O,O,O,X
JOTIZLS,O,O,O,O,X
JOTIZSL,O,O,O,O,X
JOTLISZ,O,X,X,X,O
JOTLIZS,O,O,X,O,O
JOTLSIZ,O,X,X,O,O
JOTLSZI,O,X,X,O,O
JOTLZIS,O,O,X,O,O
JOTLZSI,O,O,X,O,O
JOTSILZ,O,X,O,O,X
JOTSIZL,O,O,O,O,X
JOTSLIZ,O,X,O,O,X
JOTSLZI,O,X,O,O,X
JOTSZIL,O,O,O,O,X
JOTSZLI,O,O,O,O,X
JOTZILS,O,O,O,O,X
JOTZISL,O,O,O,O,X
JOTZLIS,O,O,O,O,X
JOTZLSI,O,O,O,O,X
JOTZSIL,O,O,O,O,X
JOTZSLI,O,O,O,O,X
JOITLSZ,O,X,X,X,O
JOITLZS,O,O,X,O,O
JOITSLZ,O,X,O,O,X
JOITSZL,O,O,O,O,X
JOITZLS,O,O,O,O,X
JOITZSL,O,O,O,O,X
JOILTSZ,O,X,X,X,O
JOILTZS,O,X,X,X,O
JOILSTZ,O,X,X,X,O
JOILSZT,O,X,X,X,O
JOILZTS,O,X,X,X,O
JOILZST,O,X,X,X,O
JOISTLZ,O,X,O,O,X
JOISTZL,O,X,O,O,X
JOISLTZ,O,X,O,X,X
JOISLZT,O,X,O,X,X
JOISZTL,O,X,O,O,X
JOISZLT,O,X,O,O,X
JOIZTLS,O,X,O,O,X
JOIZTSL,O,X,O,O,X
JOIZLTS,O,X,X,O,X
JOIZLST,O,X,X,O,X
JOIZSTL,O,X,O,O,X
JOIZSLT,O,X,O,O,X
JOLTISZ,O,X,X,X,O
JOLTIZS,O,X,X,O,O
JOLTSIZ,O,X,X,O,O
JOLTSZI,O,X,X,O,O
JOLTZIS,O,X,X,O,O
JOLTZSI,O,X,X,O,O
JOLITSZ,O,X,X,X,O
JOLITZS,O,X,X,X,O
JOLISTZ,O,X,X,X,O
JOLISZT,O,X,X,X,O
JOLIZTS,O,X,X,X,O
JOLIZST,O,X,X,X,O
JOLSTIZ,O,X,X,O,O
JOLSTZI,O,X,X,O,O
JOLSITZ,O,X,X,X,O
JOLSIZT,O,X,X,X,O
JOLSZTI,O,X,X,O,O
JOLSZIT,O,X,X,O,O
JOLZTIS,O,X,X,O,O
JOLZTSI,O,X,X,O,O
JOLZITS,O,X,X,O,O
JOLZIST,O,X,X,O,O
JOLZSTI,O,X,X,O,O
JOLZSIT,O,X,X,O,O
JOSTILZ,O,X,O,O,X
JOSTIZL,O,X,O,O,X
JOSTLIZ,O,X,O,O,X
JOSTLZI,O,X,O,O,X
JOSTZIL,O,X,O,O,X
JOSTZLI,O,X,O,O,X
JOSITLZ,O,X,O,O,X
JOSITZL,O,X,O,O,X
JOSILTZ,O,X,O,X,X
JOSILZT,O,X,O,X,X
JOSIZTL,O,X,O,O,X
JOSIZLT,O,X,O,O,X
JOSLTIZ,O,X,O,O,X
JOSLTZI,O,X,O,O,X
JOSLITZ,O,X,O,X,X
JOSLIZT,O,X,O,X,X
JOSLZTI,O,X,O,O,X
JOSLZIT,O,X,O,O,X
JOSZTIL,O,X,O,O,X
JOSZTLI,O,X,O,O,X
JOSZITL,O,X,O,O,X
JOSZILT,O,X,O,O,X
JOSZLTI,O,X,O,O,X
JOSZLIT,O,X,O,O,X
JOZTILS,O,X,O,O,X
JOZTISL,O,X,O,O,X
JOZTLIS,O,X,O,O,X
JOZTLSI,O,X,O,O,X
JOZTSIL,O,X,O,O,X
JOZTSLI,O,X,O,O,X
JOZITLS,O,X,O,O,X
JOZITSL,O,X,O,O,X
JOZILTS,O,X,X,O,X
JOZILST,O,X,X,O,X
JOZISTL,O,X,O,O,X
JOZISLT,O,X,O,O,X
JOZLTIS,O,X,X,O,X
JOZLTSI,O,X,X,O,X
JOZLITS,O,X,X,O,X
JOZLIST,O,X,X,O,X
JOZLSTI,O,X,X,O,X
JOZLSIT,O,X,X,O,X
JOZSTIL,O,X,O,O,X
JOZSTLI,O,X,O,O,X
JOZSITL,O,X,O,O,X
JOZSILT,O,X,O,O,X
JOZSLTI,O,X,O,O,X
JOZSLIT,O,X,O,O,X
STILJZO,O,X,O,X,O
STILJOZ,O,X,O,X,O
STILZJO,O,X,O,O,O
STILZOJ,O,X,O,O,O
STILOJZ,O,X,O,X,O
STILOZJ,O,X,O,X,O
STIJLZO,O,X,O,O,O
STIJLOZ,O,X,O,X,O
STIJZLO,O,O,O,O,X
STIJZOL,O,O,O,O,X
STIJOLZ,O,X,O,X,X
STIJOZL,O,O,O,O,X
STIZLJO,O,O,O,O,X
STIZLOJ,O,O,O,O,X
STIZJLO,O,O,O,O,X
STIZJOL,O,O,O,O,X
STIZOLJ,O,O,O,O,X
STIZOJL,O,O,O,X,X
STIOLJZ,O,X,O,X,X
STIOLZJ,O,X,O,X,X
STIOJLZ,O,X,O,X,X
STIOJZL,O,O,O,X,X
STIOZLJ,O,O,O,O,X
STIOZJL,O,O,O,X,X
STLIJZO,O,X,O,X,O
STLIJOZ,O,X,O,X,O
STLIZJO,O,X,O,O,O
STLIZOJ,O,X,O,O,O
STLIOJZ,O,X,O,X,O
STLIOZJ,O,X,O,X,O
STLJIZO,O,X,O,O,O
STLJIOZ,O,X,O,X,O
STLJZIO,O,X,O,O,O
STLJZOI,O,X,O,O,O
STLJOIZ,O,X,O,X,O
STLJOZI,O,X,O,X,O
STLZIJO,O,X,O,O,O
STLZIOJ,O,X,O,O,O
STLZJIO,O,X,O,O,O
STLZJOI,O,X,O,O,O
STLZOIJ,O,X,O,O,O
STLZOJI,O,X,O,X,O
STLOIJZ,O,X,O,X,O
STLOIZJ,O,X,O,X,O
STLOJIZ,O,X,O,X,O
STLOJZI,O,X,O,X,O
STLOZIJ,O,X,O,X,O
STLOZJI,O,X,O,X,O
STJILZO,O,X,O,O,O
STJILOZ,O,X,O,X,O
STJIZLO,O,O,O,O,X
STJIZOL,O,O,O,O,X
STJIOLZ,O,X,O,X,X
STJIOZL,O,O,O,O,X
STJLIZO,O,X,O,O,O
STJLIOZ,O,X,O,X,O
STJLZIO,O,X,O,O,O
STJLZOI,O,X,O,O,O
STJLOIZ,O,X,O,X,O
STJLOZI,O,X,O,X,O
STJZILO,O,O,O,O,X
STJZIOL,O,O,O,O,X
STJZLIO,O,O,O,O,X
STJZLOI,O,O,O,O,X
STJZOIL,O,O,O,O,X
STJZOLI,O,O,O,O,X
STJOILZ,O,X,O,X,X
STJOIZL,O,O,O,O,X
STJOLIZ,O,X,O,X,X
STJOLZI,O,X,O,X,X
STJOZIL,O,O,O,O,X
STJOZLI,O,O,O,O,X
STZILJO,O,O,O,O,X
STZILOJ,O,O,O,O,X
STZIJLO,O,O,O,O,X
STZIJOL,O,O,O,O,X
STZIOLJ,O,O,O,O,X
STZIOJL,O,O,O,X,X
STZLIJO,O,O,O,O,X
STZLIOJ,O,O,O,O,X
STZLJIO,O,O,O,O,X
STZLJOI,O,O,O,O,X
STZLOIJ,O,O,O,O,X
STZLOJI,O,O,O,X,X
STZJILO,O,O,O,O,X
STZJIOL,O,O,O,O,X
STZJLIO,O,O,O,O,X
STZJLOI,O,O,O,O,X
STZJOIL,O,O,O,O,X
STZJOLI,O,O,O,O,X
STZOILJ,O,O,O,O,X
STZOIJL,O,O,O,X,X
STZOLIJ,O,O,O,O,X
STZOLJI,O,O,O,X,X
STZOJIL,O,O,O,O,X
STZOJLI,O,O,O,O,X
STOILJZ,O,X,O,X,X
STOILZJ,O,X,O,X,X
STOIJLZ,O,X,O,X,X
STOIJZL,O,O,O,X,X
STOIZLJ,O,O,O,O,X
STOIZJL,O,O,O,X,X
STOLIJZ,O,X,O,X,X
STOLIZJ,O,X,O,X,X
STOLJIZ,O,X,O,X,X
STOLJZI,O,X,O,X,X
STOLZIJ,O,X,O,X,X
STOLZJI,O,X,O,X,X
STOJILZ,O,X,O,X,X
STOJIZL,O,O,O,O,X
STOJLIZ,O,X,O,X,X
STOJLZI,O,X,O,X,X
STOJZIL,O,O,O,O,X
STOJZLI,O,O,O,O,X
STOZILJ,O,O,O,O,X
STOZIJL,O,O,O,X,X
STOZLIJ,O,O,O,O,X
STOZLJI,O,O,O,X,X
STOZJIL,O,O,O,O,X
STOZJLI,O,O,O,O,X
SITLJZO,O,X,O,X,O
SITLJOZ,O,X,O,X,O
SITLZJO,O,X,O,O,O
SITLZOJ,O,X,O,O,O
SITLOJZ,O,X,O,X,O
SITLOZJ,O,X,O,X,O
SITJLZO,O,X,O,O,O
SITJLOZ,O,X,O,X,O
SITJZLO,O,O,O,O,X
SITJZOL,O,O,O,O,X
SITJOLZ,O,X,O,X,X
SITJOZL,O,O,O,O,X
SITZLJO,O,O,O,O,X
SITZLOJ,O,O,O,O,X
SITZJLO,O,O,O,O,X
SITZJOL,O,O,O,O,X
SITZOLJ,O,O,O,O,X
SITZOJL,O,O,O,X,X
SITOLJZ,O,X,O,X,X
SITOLZJ,O,X,O,X,X
SITOJLZ,O,X,O,X,X
SITOJZL,O,O,O,X,X
SITOZLJ,O,O,O,O,X
SITOZJL,O,O,O,X,X
SILTJZO,O,X,O,X,O
SILTJOZ,O,X,O,X,O
SILTZJO,O,X,O,X,O
