sequence,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBamB8nB5oBurBFsB,v115@RhC8EeA8AeE8AeC8KeT/IvhF2lBXiB8nB5oBCmBlrB,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBUhBynB5oBGnBlrB,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBUhBxnBGnB6tBlrB
LJTZOIS,X,O,X,X
LJTZOSI,X,O,X,X
LJTOISZ,X,X,O,X
LJTOIZS,X,O,X,X
LJTOSIZ,X,X,O,X
LJTOSZI,X,X,O,X
LJTOZIS,X,O,X,X
LJTOZSI,X,O,X,X
LJITSZO,X,X,O,X
LJITSOZ,X,X,O,X
LJITZSO,X,O,X,X
LJITZOS,X,O,X,X
LJITOSZ,X,X,O,X
LJITOZS,X,O,X,X
LJISTZO,O,X,O,X
LJISTOZ,O,X,O,X
LJISZTO,O,X,X,X
LJISZOT,O,X,O,X
LJISOTZ,O,X,O,X
LJISOZT,O,X,O,X
LJIZTSO,X,O,X,X
LJIZTOS,X,O,X,X
LJIZSTO,O,X,X,X
LJIZSOT,O,O,X,X
LJIZOTS,X,O,X,X
LJIZOST,O,O,X,X
LJIOTSZ,X,X,O,X
LJIOTZS,X,O,X,X
LJIOSTZ,O,X,O,X
LJIOSZT,O,X,O,X
LJIOZTS,X,O,X,X
LJIOZST,O,O,X,X
LJSTIZO,O,X,O,X
LJSTIOZ,O,X,O,X
LJSTZIO,O,X,O,X
LJSTZOI,O,X,O,X
LJSTOIZ,O,X,O,X
LJSTOZI,O,X,O,X
LJSITZO,O,X,O,X
LJSITOZ,O,X,O,X
LJSIZTO,O,X,X,X
LJSIZOT,O,X,O,X
LJSIOTZ,O,X,O,X
LJSIOZT,O,X,O,X
LJSZTIO,O,X,X,X
LJSZTOI,O,X,X,X
LJSZITO,O,X,X,X
LJSZIOT,O,X,O,X
LJSZOTI,O,X,X,X
LJSZOIT,O,X,O,X
LJSOTIZ,O,X,O,X
LJSOTZI,O,X,O,X
LJSOITZ,O,X,O,X
LJSOIZT,O,X,O,X
LJSOZTI,O,X,X,X
LJSOZIT,O,X,O,X
LJZTISO,X,O,X,X
LJZTIOS,X,O,X,X
LJZTSIO,X,O,X,X
LJZTSOI,X,O,X,X
LJZTOIS,X,O,X,X
LJZTOSI,X,O,X,X
LJZITSO,X,O,X,X
LJZITOS,X,O,X,X
LJZISTO,O,X,X,X
LJZISOT,O,O,X,X
LJZIOTS,X,O,X,X
LJZIOST,O,O,X,X
LJZSTIO,O,X,X,X
LJZSTOI,O,X,X,X
LJZSITO,O,X,X,X
LJZSIOT,O,O,X,X
LJZSOTI,O,X,X,X
LJZSOIT,O,O,X,X
LJZOTIS,X,O,X,X
LJZOTSI,X,O,X,X
LJZOITS,X,O,X,X
LJZOIST,O,O,X,X
LJZOSTI,O,X,X,X
LJZOSIT,O,O,X,X
LJOTISZ,X,X,O,X
LJOTIZS,X,O,X,X
LJOTSIZ,X,X,O,X
LJOTSZI,X,X,O,X
LJOTZIS,X,O,X,X
LJOTZSI,X,O,X,X
LJOITSZ,X,X,O,X
LJOITZS,X,O,X,X
LJOISTZ,O,X,O,X
LJOISZT,O,X,O,X
LJOIZTS,X,O,X,X
LJOIZST,O,O,X,X
LJOSTIZ,O,X,O,X
LJOSTZI,O,X,O,X
LJOSITZ,O,X,O,X
LJOSIZT,O,X,O,X
LJOSZTI,O,X,X,X
LJOSZIT,O,X,O,X
LJOZTIS,X,O,X,X
LJOZTSI,X,O,X,X
LJOZITS,X,O,X,X
LJOZIST,O,O,X,X
LJOZSTI,O,X,X,X
LJOZSIT,O,O,X,X
LSTIJZO,O,X,O,X
LSTIJOZ,O,X,O,X
LSTIZJO,O,X,O,X
LSTIZOJ,O,X,O,O
LSTIOJZ,O,X,O,X
LSTIOZJ,O,X,O,O
LSTJIZO,O,X,O,X
LSTJIOZ,O,X,O,X
LSTJZIO,O,X,O,X
LSTJZOI,O,X,O,X
LSTJOIZ,O,X,O,X
LSTJOZI,O,X,O,X
LSTZIJO,O,X,O,X
LSTZIOJ,O,X,O,O
LSTZJIO,O,X,O,X
LSTZJOI,O,X,O,X
LSTZOIJ,O,X,O,O
LSTZOJI,O,X,O,X
LSTOIJZ,O,X,O,X
LSTOIZJ,O,X,O,O
LSTOJIZ,O,X,O,X
LSTOJZI,O,X,O,X
LSTOZIJ,O,X,O,O
LSTOZJI,O,X,O,X
LSITJZO,O,X,O,X
LSITJOZ,O,X,O,X
LSITZJO,O,X,O,X
LSITZOJ,O,X,O,O
LSITOJZ,O,X,O,X
LSITOZJ,O,X,O,O
LSIJTZO,O,X,O,X
LSIJTOZ,O,X,O,X
LSIJZTO,O,X,X,X
LSIJZOT,O,X,O,X
LSIJOTZ,O,X,O,X
LSIJOZT,O,X,O,X
LSIZTJO,O,X,O,X
LSIZTOJ,O,X,O,X
LSIZJTO,O,X,X,X
LSIZJOT,O,X,O,X
LSIZOTJ,O,X,O,O
LSIZOJT,O,X,O,O
LSIOTJZ,O,X,O,X
LSIOTZJ,O,X,O,O
LSIOJTZ,O,X,O,X
LSIOJZT,O,X,O,X
LSIOZTJ,O,X,O,O
LSIOZJT,O,X,O,O
LSJTIZO,O,X,O,X
LSJTIOZ,O,X,O,X
LSJTZIO,O,X,O,X
LSJTZOI,O,X,O,X
LSJTOIZ,O,X,O,X
LSJTOZI,O,X,O,X
LSJITZO,O,X,O,X
LSJITOZ,O,X,O,X
LSJIZTO,O,X,X,X
LSJIZOT,O,X,O,X
LSJIOTZ,O,X,O,X
LSJIOZT,O,X,O,X
LSJZTIO,O,X,X,X
LSJZTOI,O,X,X,X
LSJZITO,O,X,X,X
LSJZIOT,O,X,O,X
LSJZOTI,O,X,X,X
LSJZOIT,O,X,O,X
LSJOTIZ,O,X,O,X
LSJOTZI,O,X,O,X
LSJOITZ,O,X,O,X
LSJOIZT,O,X,O,X
LSJOZTI,O,X,X,X
LSJOZIT,O,X,O,X
LSZTIJO,O,X,O,X
LSZTIOJ,O,X,O,X
LSZTJIO,O,X,O,X
LSZTJOI,O,X,O,X
LSZTOIJ,O,X,O,X
LSZTOJI,O,X,O,X
LSZITJO,O,X,O,X
LSZITOJ,O,X,O,X
LSZIJTO,O,X,X,X
LSZIJOT,O,X,O,X
LSZIOTJ,O,X,O,O
LSZIOJT,O,X,O,O
LSZJTIO,O,X,X,X
LSZJTOI,O,X,X,X
LSZJITO,O,X,X,X
LSZJIOT,O,X,O,X
LSZJOTI,O,X,X,X
LSZJOIT,O,X,O,X
LSZOTIJ,O,X,O,X
LSZOTJI,O,X,O,X
LSZOITJ,O,X,O,O
LSZOIJT,O,X,O,O
LSZOJTI,O,X,X,X
LSZOJIT,O,X,O,X
LSOTIJZ,O,X,O,X
LSOTIZJ,O,X,O,O
LSOTJIZ,O,X,O,X
LSOTJZI,O,X,O,X
LSOTZIJ,O,X,O,O
LSOTZJI,O,X,O,X
LSOITJZ,O,X,O,X
LSOITZJ,O,X,O,O
LSOIJTZ,O,X,O,X
LSOIJZT,O,X,O,X
LSOIZTJ,O,X,O,O
LSOIZJT,O,X,O,O
LSOJTIZ,O,X,O,X
LSOJTZI,O,X,O,X
LSOJITZ,O,X,O,X
LSOJIZT,O,X,O,X
LSOJZTI,O,X,X,X
LSOJZIT,O,X,O,X
LSOZTIJ,O,X,O,X
LSOZTJI,O,X,O,X
LSOZITJ,O,X,O,O
LSOZIJT,O,X,O,O
LSOZJTI,O,X,X,X
LSOZJIT,O,X,O,X
LZTIJSO,X,O,X,X
LZTIJOS,X,O,X,X
LZTISJO,X,O,O,X
LZTISOJ,X,O,O,X
LZTIOJS,X,O,X,X
LZTIOSJ,X,O,O,X
LZTJISO,X,O,X,X
LZTJIOS,X,O,X,X
LZTJSIO,X,O,X,X
LZTJSOI,X,O,X,X
LZTJOIS,X,O,X,X
LZTJOSI,X,O,X,X
LZTSIJO,X,O,O,X
LZTSIOJ,X,O,O,X
LZTSJIO,X,O,O,X
LZTSJOI,X,O,O,X
LZTSOIJ,X,O,O,X
LZTSOJI,X,O,O,X
LZTOIJS,X,O,X,X
LZTOISJ,X,O,O,X
LZTOJIS,X,O,X,X
LZTOJSI,X,O,X,X
LZTOSIJ,X,O,O,X
LZTOSJI,X,O,O,X
LZITJSO,X,O,X,X
LZITJOS,X,O,X,X
LZITSJO,X,O,O,X
LZITSOJ,X,O,O,X
LZITOJS,X,O,X,X
LZITOSJ,X,O,O,X
LZIJTSO,X,O,X,X
LZIJTOS,X,O,X,X
LZIJSTO,O,X,X,X
LZIJSOT,O,O,X,X
LZIJOTS,X,O,X,X
LZIJOST,O,O,X,X
LZISTJO,O,X,O,X
LZISTOJ,O,X,O,X
LZISJTO,O,X,X,X
LZISJOT,O,O,O,X
LZISOTJ,O,X,O,X
LZISOJT,O,O,O,X
LZIOTJS,X,O,X,X
LZIOTSJ,X,O,O,X
LZIOJTS,X,O,X,X
LZIOJST,O,O,X,X
LZIOSTJ,O,X,O,X
LZIOSJT,O,O,O,X
LZJTISO,X,O,X,X
LZJTIOS,X,O,X,X
LZJTSIO,X,O,X,X
LZJTSOI,X,O,X,X
LZJTOIS,X,O,X,X
LZJTOSI,X,O,X,X
LZJITSO,X,O,X,X
LZJITOS,X,O,X,X
LZJISTO,O,X,X,X
LZJISOT,O,O,X,X
LZJIOTS,X,O,X,X
LZJIOST,O,O,X,X
LZJSTIO,O,X,X,X
LZJSTOI,O,X,X,X
LZJSITO,O,X,X,X
LZJSIOT,O,O,X,X
LZJSOTI,O,X,X,X
LZJSOIT,O,O,X,X
LZJOTIS,X,O,X,X
LZJOTSI,X,O,X,X
LZJOITS,X,O,X,X
LZJOIST,O,O,X,X
LZJOSTI,O,X,X,X
LZJOSIT,O,O,X,X
LZSTIJO,O,X,O,X
LZSTIOJ,O,X,O,X
LZSTJIO,O,X,O,X
LZSTJOI,O,X,O,X
LZSTOIJ,O,X,O,X
LZSTOJI,O,X,O,X
LZSITJO,O,X,O,X
LZSITOJ,O,X,O,X
LZSIJTO,O,X,X,X
LZSIJOT,O,O,O,X
LZSIOTJ,O,X,O,X
LZSIOJT,O,O,O,X
LZSJTIO,O,X,X,X
LZSJTOI,O,X,X,X
LZSJITO,O,X,X,X
LZSJIOT,O,O,O,X
LZSJOTI,O,X,X,X
LZSJOIT,O,O,O,X
LZSOTIJ,O,X,O,X
LZSOTJI,O,X,O,X
LZSOITJ,O,X,O,X
LZSOIJT,O,O,O,X
LZSOJTI,O,X,X,X
LZSOJIT,O,O,O,X
LZOTIJS,X,O,X,X
LZOTISJ,X,O,O,X
LZOTJIS,X,O,X,X
LZOTJSI,X,O,X,X
LZOTSIJ,X,O,O,X
LZOTSJI,X,O,O,X
LZOITJS,X,O,X,X
LZOITSJ,X,O,O,X
LZOIJTS,X,O,X,X
LZOIJST,O,O,X,X
LZOISTJ,O,X,O,X
LZOISJT,O,O,O,X
LZOJTIS,X,O,X,X
LZOJTSI,X,O,X,X
LZOJITS,X,O,X,X
LZOJIST,O,O,X,X
LZOJSTI,O,X,X,X
LZOJSIT,O,O,X,X
LZOSTIJ,O,X,O,X
LZOSTJI,O,X,O,X
LZOSITJ,O,X,O,X
LZOSIJT,O,O,O,X
LZOSJTI,O,X,X,X
LZOSJIT,O,O,O,X
LOTIJSZ,X,X,O,X
LOTIJZS,X,O,X,X
LOTISJZ,X,X,O,X
LOTISZJ,X,X,O,O
LOTIZJS,X,O,X,X
LOTIZSJ,X,O,O,X
LOTJISZ,X,X,O,X
LOTJIZS,X,O,X,X
LOTJSIZ,X,X,O,X
LOTJSZI,X,X,O,X
LOTJZIS,X,O,X,X
LOTJZSI,X,O,X,X
LOTSIJZ,X,X,O,X
LOTSIZJ,X,X,O,O
LOTSJIZ,X,X,O,X
LOTSJZI,X,X,O,X
LOTSZIJ,X,X,O,O
LOTSZJI,X,X,O,X
LOTZIJS,X,O,X,X
LOTZISJ,X,O,O,X
LOTZJIS,X,O,X,X
LOTZJSI,X,O,X,X
LOTZSIJ,X,O,O,X
LOTZSJI,X,O,O,X
LOITJSZ,X,X,O,X
LOITJZS,X,O,X,X
LOITSJZ,X,X,O,X
LOITSZJ,X,X,O,O
LOITZJS,X,O,X,X
LOITZSJ,X,O,O,X
LOIJTSZ,X,X,O,X
LOIJTZS,X,O,X,X
LOIJSTZ,O,X,O,X
LOIJSZT,O,X,O,X
LOIJZTS,X,O,X,X
LOIJZST,O,O,X,X
LOISTJZ,O,X,O,X
LOISTZJ,O,X,O,O
LOISJTZ,O,X,O,X
LOISJZT,O,X,O,X
LOISZTJ,O,X,O,O
LOISZJT,O,X,O,O
LOIZTJS,X,O,X,X
LOIZTSJ,X,O,O,X
LOIZJTS,X,O,X,X
LOIZJST,O,O,X,X
LOIZSTJ,O,X,O,X
LOIZSJT,O,O,O,X
LOJTISZ,X,X,O,X
LOJTIZS,X,O,X,X
LOJTSIZ,X,X,O,X
LOJTSZI,X,X,O,X
LOJTZIS,X,O,X,X
LOJTZSI,X,O,X,X
LOJITSZ,X,X,O,X
LOJITZS,X,O,X,X
LOJISTZ,O,X,O,X
LOJISZT,O,X,O,X
LOJIZTS,X,O,X,X
LOJIZST,O,O,X,X
LOJSTIZ,O,X,O,X
LOJSTZI,O,X,O,X
LOJSITZ,O,X,O,X
LOJSIZT,O,X,O,X
LOJSZTI,O,X,X,X
LOJSZIT,O,X,O,X
LOJZTIS,X,O,X,X
LOJZTSI,X,O,X,X
LOJZITS,X,O,X,X
LOJZIST,O,O,X,X
LOJZSTI,O,X,X,X
LOJZSIT,O,O,X,X
LOSTIJZ,O,X,O,X
LOSTIZJ,O,X,O,O
LOSTJIZ,O,X,O,X
LOSTJZI,O,X,O,X
LOSTZIJ,O,X,O,O
LOSTZJI,O,X,O,X
LOSITJZ,O,X,O,X
LOSITZJ,O,X,O,O
LOSIJTZ,O,X,O,X
LOSIJZT,O,X,O,X
LOSIZTJ,O,X,O,O
LOSIZJT,O,X,O,O
LOSJTIZ,O,X,O,X
LOSJTZI,O,X,O,X
LOSJITZ,O,X,O,X
LOSJIZT,O,X,O,X
LOSJZTI,O,X,X,X
LOSJZIT,O,X,O,X
LOSZTIJ,O,X,O,X
LOSZTJI,O,X,O,X
LOSZITJ,O,X,O,O
LOSZIJT,O,X,O,O
LOSZJTI,O,X,X,X
LOSZJIT,O,X,O,X
LOZTIJS,X,O,X,X
LOZTISJ,X,O,O,X
LOZTJIS,X,O,X,X
LOZTJSI,X,O,X,X
LOZTSIJ,X,O,O,X
LOZTSJI,X,O,O,X
LOZITJS,X,O,X,X
LOZITSJ,X,O,O,X
LOZIJTS,X,O,X,X
LOZIJST,O,O,X,X
LOZISTJ,O,X,O,X
LOZISJT,O,O,O,X
LOZJTIS,X,O,X,X
LOZJTSI,X,O,X,X
LOZJITS,X,O,X,X
LOZJIST,O,O,X,X
LOZJSTI,O,X,X,X
LOZJSIT,O,O,X,X
LOZSTIJ,O,X,O,X
LOZSTJI,O,X,O,X
LOZSITJ,O,X,O,X
LOZSIJT,O,O,O,X
LOZSJTI,O,X,X,X
LOZSJIT,O,O,O,X
JTILSZO,X,X,O,X
JTILSOZ,X,X,O,X
JTILZSO,X,O,X,X
JTILZOS,X,O,X,X
JTILOSZ,X,X,O,X
JTILOZS,X,O,X,X
JTISLZO,O,X,O,X
JTISLOZ,O,X,O,X
JTISZLO,O,O,O,X
JTISZOL,O,O,O,O
JTISOLZ,O,X,O,X
JTISOZL,O,O,O,O
JTIZLSO,X,O,X,X
JTIZLOS,X,O,X,X
JTIZSLO,O,O,X,X
JTIZSOL,O,O,X,X
JTIZOLS,X,O,X,X
JTIZOSL,O,O,X,X
JTIOLSZ,X,X,O,X
JTIOLZS,X,O,X,X
JTIOSLZ,O,X,O,X
JTIOSZL,O,O,O,O
JTIOZLS,X,O,X,X
JTIOZSL,O,O,X,X
JTLISZO,X,X,O,X
JTLISOZ,X,X,O,X
JTLIZSO,X,O,X,X
JTLIZOS,X,O,X,X
JTLIOSZ,X,X,O,X
JTLIOZS,X,O,X,X
JTLSIZO,X,X,O,X
JTLSIOZ,X,X,O,X
JTLSZIO,X,X,O,X
JTLSZOI,X,X,O,X
JTLSOIZ,X,X,O,X
JTLSOZI,X,X,O,X
JTLZISO,X,O,X,X
JTLZIOS,X,O,X,X
JTLZSIO,X,O,X,X
JTLZSOI,X,O,X,X
JTLZOIS,X,O,X,X
JTLZOSI,X,O,X,X
JTLOISZ,X,X,O,X
JTLOIZS,X,O,X,X
JTLOSIZ,X,X,O,X
JTLOSZI,X,X,O,X
JTLOZIS,X,O,X,X
JTLOZSI,X,O,X,X
JTSILZO,O,X,O,X
JTSILOZ,O,X,O,X
JTSIZLO,O,O,O,X
JTSIZOL,O,O,O,O
JTSIOLZ,O,X,O,X
JTSIOZL,O,O,O,O
JTSLIZO,O,X,O,X
JTSLIOZ,O,X,O,X
JTSLZIO,O,X,O,X
JTSLZOI,O,X,O,X
JTSLOIZ,O,X,O,X
JTSLOZI,O,X,O,X
JTSZILO,O,O,O,X
JTSZIOL,O,O,O,O
JTSZLIO,O,O,O,X
JTSZLOI,O,O,O,X
JTSZOIL,O,O,O,O
JTSZOLI,O,O,O,X
JTSOILZ,O,X,O,X
JTSOIZL,O,O,O,O
JTSOLIZ,O,X,O,X
JTSOLZI,O,X,O,X
JTSOZIL,O,O,O,O
JTSOZLI,O,O,O,X
JTZILSO,X,O,X,X
JTZILOS,X,O,X,X
JTZISLO,O,O,X,X
JTZISOL,O,O,X,X
JTZIOLS,X,O,X,X
JTZIOSL,O,O,X,X
JTZLISO,X,O,X,X
JTZLIOS,X,O,X,X
JTZLSIO,X,O,X,X
JTZLSOI,X,O,X,X
JTZLOIS,X,O,X,X
JTZLOSI,X,O,X,X
JTZSILO,O,O,X,X
JTZSIOL,O,O,X,X
JTZSLIO,O,O,X,X
JTZSLOI,O,O,X,X
JTZSOIL,O,O,X,X
JTZSOLI,O,O,X,X
JTZOILS,X,O,X,X
JTZOISL,O,O,X,X
JTZOLIS,X,O,X,X
JTZOLSI,X,O,X,X
JTZOSIL,O,O,X,X
JTZOSLI,O,O,X,X
JTOILSZ,X,X,O,X
JTOILZS,X,O,X,X
JTOISLZ,O,X,O,X
JTOISZL,O,O,O,O
JTOIZLS,X,O,X,X
JTOIZSL,O,O,X,X
JTOLISZ,X,X,O,X
JTOLIZS,X,O,X,X
JTOLSIZ,X,X,O,X
JTOLSZI,X,X,O,X
JTOLZIS,X,O,X,X
JTOLZSI,X,O,X,X
JTOSILZ,O,X,O,X
JTOSIZL,O,O,O,O
JTOSLIZ,O,X,O,X
JTOSLZI,O,X,O,X
JTOSZIL,O,O,O,O
JTOSZLI,O,O,O,X
JTOZILS,X,O,X,X
JTOZISL,O,O,X,X
JTOZLIS,X,O,X,X
JTOZLSI,X,O,X,X
JTOZSIL,O,O,X,X
JTOZSLI,O,O,X,X
JITLSZO,X,X,O,X
JITLSOZ,X,X,O,X
JITLZSO,X,O,X,X
JITLZOS,X,O,X,X
JITLOSZ,X,X,O,X
JITLOZS,X,O,X,X
JITSLZO,O,X,O,X
JITSLOZ,O,X,O,X
JITSZLO,O,O,O,X
JITSZOL,O,O,O,O
JITSOLZ,O,X,O,X
JITSOZL,O,O,O,O
JITZLSO,X,O,X,X
JITZLOS,X,O,X,X
JITZSLO,O,O,X,X
JITZSOL,O,O,X,X
JITZOLS,X,O,X,X
JITZOSL,O,O,X,X
JITOLSZ,X,X,O,X
JITOLZS,X,O,X,X
JITOSLZ,O,X,O,X
JITOSZL,O,O,O,O
JITOZLS,X,O,X,X
JITOZSL,O,O,X,X
JILTSZO,X,X,O,X
JILTSOZ,X,X,O,X
JILTZSO,X,O,X,X
JILTZOS,X,O,X,X
JILTOSZ,X,X,O,X
JILTOZS,X,O,X,X
JILSTZO,O,X,O,X
JILSTOZ,O,X,O,X
JILSZTO,O,X,X,X
JILSZOT,O,X,O,X
JILSOTZ,O,X,O,X
JILSOZT,O,X,O,X
JILZTSO,X,O,X,X
JILZTOS,X,O,X,X
JILZSTO,O,X,X,X
JILZSOT,O,O,X,X
JILZOTS,X,O,X,X
JILZOST,O,O,X,X
JILOTSZ,X,X,O,X
JILOTZS,X,O,X,X
JILOSTZ,O,X,O,X
JILOSZT,O,X,O,X
JILOZTS,X,O,X,X
JILOZST,O,O,X,X
JISTLZO,O,X,O,X
JISTLOZ,O,X,O,X
JISTZLO,O,O,O,X
JISTZOL,O,O,O,O
JISTOLZ,O,X,O,X
JISTOZL,O,O,O,O
JISLTZO,O,X,O,X
JISLTOZ,O,X,O,X
JISLZTO,O,X,X,X
JISLZOT,O,X,O,X
JISLOTZ,O,X,O,X
JISLOZT,O,X,O,X
JISZTLO,O,O,X,X
JISZTOL,O,O,X,X
JISZLTO,O,X,X,X
JISZLOT,O,O,O,X
JISZOTL,O,O,X,O
JISZOLT,O,O,O,O
JISOTLZ,O,X,O,X
JISOTZL,O,O,O,O
JISOLTZ,O,X,O,X
JISOLZT,O,X,O,X
JISOZTL,O,O,X,O
JISOZLT,O,O,O,O
JIZTLSO,X,O,X,X
JIZTLOS,X,O,X,X
JIZTSLO,O,O,X,X
JIZTSOL,O,O,X,X
JIZTOLS,X,O,X,X
JIZTOSL,O,O,X,X
JIZLTSO,X,O,X,X
JIZLTOS,X,O,X,X
JIZLSTO,O,X,X,X
JIZLSOT,O,O,X,X
JIZLOTS,X,O,X,X
JIZLOST,O,O,X,X
JIZSTLO,O,O,X,X
JIZSTOL,O,O,X,X
JIZSLTO,O,X,X,X
JIZSLOT,O,O,X,X
JIZSOTL,O,O,X,X
JIZSOLT,O,O,X,X
JIZOTLS,X,O,X,X
JIZOTSL,O,O,X,X
JIZOLTS,X,O,X,X
JIZOLST,O,O,X,X
JIZOSTL,O,O,X,X
JIZOSLT,O,O,X,X
JIOTLSZ,X,X,O,X
JIOTLZS,X,O,X,X
JIOTSLZ,O,X,O,X
JIOTSZL,O,O,O,O
JIOTZLS,X,O,X,X
JIOTZSL,O,O,X,X
JIOLTSZ,X,X,O,X
JIOLTZS,X,O,X,X
JIOLSTZ,O,X,O,X
JIOLSZT,O,X,O,X
JIOLZTS,X,O,X,X
JIOLZST,O,O,X,X
JIOSTLZ,O,X,O,X
JIOSTZL,O,O,O,O
JIOSLTZ,O,X,O,X
JIOSLZT,O,X,O,X
JIOSZTL,O,O,X,O
JIOSZLT,O,O,O,O
JIOZTLS,X,O,X,X
JIOZTSL,O,O,X,X
JIOZLTS,X,O,X,X
JIOZLST,O,O,X,X
JIOZSTL,O,O,X,X
JIOZSLT,O,O,X,X
JLTISZO,X,X,O,X
JLTISOZ,X,X,O,X
JLTIZSO,X,O,X,X
JLTIZOS,X,O,X,X
JLTIOSZ,X,X,O,X
JLTIOZS,X,O,X,X
JLTSIZO,X,X,O,X
JLTSIOZ,X,X,O,X
JLTSZIO,X,X,O,X
JLTSZOI,X,X,O,X
JLTSOIZ,X,X,O,X
JLTSOZI,X,X,O,X
JLTZISO,X,O,X,X
JLTZIOS,X,O,X,X
JLTZSIO,X,O,X,X
JLTZSOI,X,O,X,X
JLTZOIS,X,O,X,X
JLTZOSI,X,O,X,X
JLTOISZ,X,X,O,X
JLTOIZS,X,O,X,X
JLTOSIZ,X,X,O,X
JLTOSZI,X,X,O,X
JLTOZIS,X,O,X,X
JLTOZSI,X,O,X,X
JLITSZO,X,X,O,X
JLITSOZ,X,X,O,X
JLITZSO,X,O,X,X
JLITZOS,X,O,X,X
JLITOSZ,X,X,O,X
JLITOZS,X,O,X,X
JLISTZO,O,X,O,X
JLISTOZ,O,X,O,X
JLISZTO,O,X,X,X
JLISZOT,O,X,O,X
JLISOTZ,O,X,O,X
JLISOZT,O,X,O,X
JLIZTSO,X,O,X,X
JLIZTOS,X,O,X,X
JLIZSTO,O,X,X,X
JLIZSOT,O,O,X,X
JLIZOTS,X,O,X,X
JLIZOST,O,O,X,X
JLIOTSZ,X,X,O,X
JLIOTZS,X,O,X,X
JLIOSTZ,O,X,O,X
JLIOSZT,O,X,O,X
JLIOZTS,X,O,X,X
JLIOZST,O,O,X,X
JLSTIZO,O,X,O,X
JLSTIOZ,O,X,O,X
JLSTZIO,O,X,O,X
JLSTZOI,O,X,O,X
JLSTOIZ,O,X,O,X
JLSTOZI,O,X,O,X
JLSITZO,O,X,O,X
JLSITOZ,O,X,O,X
JLSIZTO,O,X,X,X
JLSIZOT,O,X,O,X
JLSIOTZ,O,X,O,X
JLSIOZT,O,X,O,X
JLSZTIO,O,X,X,X
JLSZTOI,O,X,X,X
JLSZITO,O,X,X,X
JLSZIOT,O,X,O,X
JLSZOTI,O,X,X,X
JLSZOIT,O,X,O,X
JLSOTIZ,O,X,O,X
JLSOTZI,O,X,O,X
JLSOITZ,O,X,O,X
JLSOIZT,O,X,O,X
JLSOZTI,O,X,X,X
JLSOZIT,O,X,O,X
JLZTISO,X,O,X,X
JLZTIOS,X,O,X,X
JLZTSIO,X,O,X,X
JLZTSOI,X,O,X,X
JLZTOIS,X,O,X,X
JLZTOSI,X,O,X,X
JLZITSO,X,O,X,X
JLZITOS,X,O,X,X
JLZISTO,O,X,X,X
JLZISOT,O,O,X,X
JLZIOTS,X,O,X,X
JLZIOST,O,O,X,X
JLZSTIO,O,X,X,X
JLZSTOI,O,X,X,X
JLZSITO,O,X,X,X
JLZSIOT,O,O,X,X
JLZSOTI,O,X,X,X
JLZSOIT,O,O,X,X
JLZOTIS,X,O,X,X
JLZOTSI,X,O,X,X
JLZOITS,X,O,X,X
JLZOIST,O,O,X,X
JLZOSTI,O,X,X,X
JLZOSIT,O,O,X,X
JLOTISZ,X,X,O,X
JLOTIZS,X,O,X,X
JLOTSIZ,X,X,O,X
JLOTSZI,X,X,O,X
JLOTZIS,X,O,X,X
JLOTZSI,X,O,X,X
JLOITSZ,X,X,O,X
JLOITZS,X,O,X,X
JLOISTZ,O,X,O,X
JLOISZT,O,X,O,X
JLOIZTS,X,O,X,X
JLOIZST,O,O,X,X
JLOSTIZ,O,X,O,X
JLOSTZI,O,X,O,X
JLOSITZ,O,X,O,X
JLOSIZT,O,X,O,X
JLOSZTI,O,X,X,X
JLOSZIT,O,X,O,X
JLOZTIS,X,O,X,X
JLOZTSI,X,O,X,X
JLOZITS,X,O,X,X
JLOZIST,O,O,X,X
JLOZSTI,O,X,X,X
JLOZSIT,O,O,X,X
JSTILZO,O,X,O,X
JSTILOZ,O,X,O,X
JSTIZLO,O,O,O,X
JSTIZOL,O,O,O,O
JSTIOLZ,O,X,O,X
JSTIOZL,O,O,O,O
JSTLIZO,O,X,O,X
JSTLIOZ,O,X,O,X
JSTLZIO,O,X,O,X
JSTLZOI,O,X,O,X
JSTLOIZ,O,X,O,X
JSTLOZI,O,X,O,X
JSTZILO,O,O,O,X
JSTZIOL,O,O,O,O
JSTZLIO,O,O,O,X
JSTZLOI,O,O,O,X
JSTZOIL,O,O,O,O
JSTZOLI,O,O,O,X
JSTOILZ,O,X,O,X
JSTOIZL,O,O,O,O
JSTOLIZ,O,X,O,X
JSTOLZI,O,X,O,X
JSTOZIL,O,O,O,O
JSTOZLI,O,O,O,X
JSITLZO,O,X,O,X
JSITLOZ,O,X,O,X
JSITZLO,O,O,O,X
JSITZOL,O,O,O,O
JSITOLZ,O,X,O,X
JSITOZL,O,O,O,O
JSILTZO,O,X,O,X
JSILTOZ,O,X,O,X
JSILZTO,O,X,X,X
JSILZOT,O,X,O,X
JSILOTZ,O,X,O,X
JSILOZT,O,X,O,X
JSIZTLO,O,O,X,X
JSIZTOL,O,O,X,X
JSIZLTO,O,X,X,X
JSIZLOT,O,O,O,X
JSIZOTL,O,O,X,O
JSIZOLT,O,O,O,O
JSIOTLZ,O,X,O,X
JSIOTZL,O,O,O,O
