sequence,v115@RhA8EeB8BeD8AeE8Je/EJvhFUgBRhBCjBlmBToBmqB,v115@RhA8EeB8BeD8AeE8Jex/IvhFXhB8mBCjBlkBToBmqB,v115@RhA8EeB8BeD8AeE8Je/EJvhFUgBFhBxiBCnBToBmqB,v115@RhA8EeB8BeD8AeE8Jem/IvhFFhBxiB0kBfrBCsBTtB,v115@RhA8EeB8BeD8AeE8JeT/IvhFelBSoBRmBfrBlrBUtB,v115@RhA8EeB8BeD8AeE8JeT/IvhFxgBymBGjBXlBUoBFrB,v115@RhA8EeB8BeD8AeE8Je/EJvhFRgBzhBGjBilBUoBFrB,v115@RhA8EeB8BeD8AeE8JemAJvhFzhBfoB6oBxkB0kBFrB
TJSIOLZ,O,O,O,X,X,O,X,O
TJSIOZL,O,O,O,X,X,O,O,O
TJSLIZO,O,O,O,X,X,O,O,O
TJSLIOZ,O,X,O,X,X,O,O,O
TJSLZIO,O,O,O,X,X,O,O,O
TJSLZOI,O,O,O,X,X,O,O,O
TJSLOIZ,O,X,O,X,X,O,O,O
TJSLOZI,O,X,O,X,X,O,O,O
TJSZILO,O,O,O,X,X,O,O,O
TJSZIOL,O,O,O,X,X,O,O,O
TJSZLIO,O,O,O,X,X,O,O,O
TJSZLOI,O,O,O,X,X,O,O,O
TJSZOIL,O,O,O,X,X,O,O,O
TJSZOLI,O,O,O,X,X,O,O,O
TJSOILZ,O,O,O,X,X,O,X,O
TJSOIZL,O,O,O,X,X,O,O,O
TJSOLIZ,O,O,O,X,X,O,O,O
TJSOLZI,O,O,O,X,X,O,O,O
TJSOZIL,O,O,O,X,X,O,O,O
TJSOZLI,O,O,O,X,X,O,O,O
TJZILSO,O,O,X,X,X,O,O,X
TJZILOS,X,O,X,X,X,O,O,X
TJZISLO,O,O,X,X,X,O,O,O
TJZISOL,O,O,X,X,X,O,O,O
TJZIOLS,O,O,X,X,X,O,O,X
TJZIOSL,O,O,X,X,X,X,O,O
TJZLISO,O,O,O,X,X,O,O,X
TJZLIOS,X,O,X,X,X,O,O,X
TJZLSIO,O,O,O,X,X,O,O,X
TJZLSOI,O,O,O,X,X,O,O,X
TJZLOIS,X,O,O,X,X,O,O,X
TJZLOSI,X,O,O,X,X,O,O,X
TJZSILO,O,O,O,X,X,O,O,O
TJZSIOL,O,O,O,X,X,O,O,O
TJZSLIO,O,O,O,X,X,O,O,O
TJZSLOI,O,O,O,X,X,O,O,O
TJZSOIL,O,O,O,X,X,O,O,O
TJZSOLI,O,O,O,X,X,O,O,O
TJZOILS,O,O,X,X,X,O,O,X
TJZOISL,O,O,O,X,X,X,O,O
TJZOLIS,O,O,X,X,X,O,O,X
TJZOLSI,O,O,X,X,X,O,O,X
TJZOSIL,O,O,O,X,X,O,O,O
TJZOSLI,O,O,O,X,X,O,O,O
TJOILSZ,O,O,O,X,O,X,X,O
TJOILZS,O,O,O,X,O,X,X,X
TJOISLZ,O,O,O,X,X,X,X,O
TJOISZL,O,O,O,X,X,X,X,O
TJOIZLS,O,O,X,X,X,X,X,X
TJOIZSL,O,O,O,X,X,X,X,O
TJOLISZ,O,O,O,X,O,X,X,O
TJOLIZS,O,O,O,X,O,O,X,X
TJOLSIZ,O,O,O,X,X,X,O,O
TJOLSZI,O,O,O,X,X,X,O,O
TJOLZIS,O,O,O,X,X,O,O,X
TJOLZSI,O,O,O,X,X,O,O,X
TJOSILZ,O,O,O,X,X,X,X,O
TJOSIZL,O,O,O,X,X,X,O,O
TJOSLIZ,O,O,O,X,X,X,O,O
TJOSLZI,O,O,O,X,X,X,O,O
TJOSZIL,O,O,O,X,X,X,O,O
TJOSZLI,O,O,O,X,X,X,O,O
TJOZILS,O,O,X,X,X,O,O,X
TJOZISL,O,O,O,X,X,X,O,O
TJOZLIS,O,O,X,X,X,O,O,X
TJOZLSI,O,O,X,X,X,O,O,X
TJOZSIL,O,O,O,X,X,X,O,O
TJOZSLI,O,O,O,X,X,O,O,O
TSILJZO,O,X,X,O,X,O,O,O
TSILJOZ,O,X,X,X,X,O,O,O
TSILZJO,O,O,X,O,X,O,O,O
TSILZOJ,O,O,X,O,X,O,O,O
TSILOJZ,O,X,X,O,X,O,O,O
TSILOZJ,O,X,X,O,X,O,O,O
TSIJLZO,O,X,X,X,X,O,O,O
TSIJLOZ,O,X,X,X,X,O,O,O
TSIJZLO,O,X,X,X,X,O,O,O
TSIJZOL,O,X,X,X,X,O,O,O
TSIJOLZ,O,X,X,X,X,O,X,O
TSIJOZL,O,X,X,X,X,O,O,O
TSIZLJO,O,O,X,O,X,O,O,O
TSIZLOJ,O,O,X,O,X,O,O,O
TSIZJLO,O,O,X,O,X,O,O,O
TSIZJOL,O,O,X,O,X,O,O,O
TSIZOLJ,O,O,X,O,X,O,O,O
TSIZOJL,O,O,X,O,X,O,O,O
TSIOLJZ,O,X,X,X,X,O,O,O
TSIOLZJ,O,O,X,O,X,O,O,O
TSIOJLZ,O,X,X,X,X,O,X,O
TSIOJZL,O,X,X,O,X,O,O,O
TSIOZLJ,O,O,X,O,X,O,O,O
TSIOZJL,O,O,X,O,X,O,O,O
TSLIJZO,O,X,O,O,X,O,O,O
TSLIJOZ,O,X,O,X,X,O,O,O
TSLIZJO,O,O,O,O,X,O,O,O
TSLIZOJ,O,O,O,O,X,O,O,O
TSLIOJZ,O,X,O,O,X,O,O,O
TSLIOZJ,O,X,O,O,X,O,O,O
TSLJIZO,O,X,O,O,X,O,O,O
TSLJIOZ,O,X,O,X,X,O,O,O
TSLJZIO,O,X,O,O,X,O,O,O
TSLJZOI,O,X,O,O,X,O,O,O
TSLJOIZ,O,X,O,O,X,O,O,O
TSLJOZI,O,X,O,O,X,O,O,O
TSLZIJO,O,O,O,O,X,O,O,O
TSLZIOJ,O,O,O,O,X,O,O,O
TSLZJIO,O,O,O,O,X,O,O,O
TSLZJOI,O,O,O,O,X,O,O,O
TSLZOIJ,O,O,O,O,X,O,O,O
TSLZOJI,O,X,O,O,X,O,O,O
TSLOIJZ,O,X,O,O,X,O,O,O
TSLOIZJ,O,X,O,O,X,O,O,O
TSLOJIZ,O,X,O,O,X,O,O,O
TSLOJZI,O,X,O,O,X,O,O,O
TSLOZIJ,O,X,O,O,X,O,O,O
TSLOZJI,O,X,O,O,X,O,O,O
TSJILZO,O,X,O,X,X,O,O,O
TSJILOZ,O,X,O,X,X,O,O,O
TSJIZLO,O,X,O,X,X,O,O,O
TSJIZOL,O,X,O,X,X,O,O,O
TSJIOLZ,O,X,O,X,X,O,X,O
TSJIOZL,O,X,O,X,X,O,O,O
TSJLIZO,O,X,O,O,X,O,O,O
TSJLIOZ,O,X,O,X,X,O,O,O
TSJLZIO,O,X,O,O,X,O,O,O
TSJLZOI,O,X,O,O,X,O,O,O
TSJLOIZ,O,X,O,O,X,O,O,O
TSJLOZI,O,X,O,O,X,O,O,O
TSJZILO,O,X,O,O,X,O,O,O
TSJZIOL,O,X,O,O,X,O,O,O
TSJZLIO,O,X,O,O,X,O,O,O
TSJZLOI,O,X,O,O,X,O,O,O
TSJZOIL,O,X,O,O,X,O,O,O
TSJZOLI,O,X,O,O,X,O,O,O
TSJOILZ,O,X,O,X,X,O,X,O
TSJOIZL,O,X,O,O,X,O,O,O
TSJOLIZ,O,X,O,X,X,O,O,O
TSJOLZI,O,X,O,X,X,O,O,O
TSJOZIL,O,X,O,O,X,O,O,O
TSJOZLI,O,X,O,O,X,O,O,O
TSZILJO,O,O,O,O,X,O,O,O
TSZILOJ,O,O,O,O,X,O,O,O
TSZIJLO,O,O,X,O,X,O,O,O
TSZIJOL,O,O,X,O,X,O,O,O
TSZIOLJ,O,O,O,O,X,O,O,O
TSZIOJL,O,O,O,O,X,O,O,O
TSZLIJO,O,O,O,O,X,O,O,O
TSZLIOJ,O,O,O,O,X,O,O,O
TSZLJIO,O,O,O,O,X,O,O,O
TSZLJOI,O,O,O,O,X,O,O,O
TSZLOIJ,O,O,O,O,X,O,O,O
TSZLOJI,O,O,O,O,X,O,O,O
TSZJILO,O,O,O,O,X,O,O,O
TSZJIOL,O,O,O,O,X,O,O,O
TSZJLIO,O,O,O,O,X,O,O,O
TSZJLOI,O,O,O,O,X,O,O,O
TSZJOIL,O,O,O,O,X,O,O,O
TSZJOLI,O,O,O,O,X,O,O,O
TSZOILJ,O,O,O,O,X,O,O,O
TSZOIJL,O,O,O,O,X,O,O,O
TSZOLIJ,O,O,O,O,X,O,O,O
TSZOLJI,O,O,O,O,X,O,O,O
TSZOJIL,O,O,O,O,X,O,O,O
TSZOJLI,O,O,O,O,X,O,O,O
TSOILJZ,O,X,O,O,X,O,O,O
TSOILZJ,O,O,O,O,X,O,O,O
TSOIJLZ,O,X,O,X,X,O,X,O
TSOIJZL,O,X,O,O,X,O,O,O
TSOIZLJ,O,O,O,O,X,O,O,O
TSOIZJL,O,O,O,O,X,O,O,O
TSOLIJZ,O,X,O,O,X,O,O,O
TSOLIZJ,O,O,O,O,X,O,O,O
TSOLJIZ,O,X,O,O,X,O,O,O
TSOLJZI,O,X,O,O,X,O,O,O
TSOLZIJ,O,O,O,O,X,O,O,O
TSOLZJI,O,O,O,O,X,O,O,O
TSOJILZ,O,X,O,X,X,O,X,O
TSOJIZL,O,X,O,O,X,O,O,O
TSOJLIZ,O,X,O,X,X,O,O,O
TSOJLZI,O,X,O,X,X,O,O,O
TSOJZIL,O,X,O,O,X,O,O,O
TSOJZLI,O,X,O,O,X,O,O,O
TSOZILJ,O,O,O,O,X,O,O,O
TSOZIJL,O,O,O,O,X,O,O,O
TSOZLIJ,O,O,O,O,X,O,O,O
TSOZLJI,O,O,O,O,X,O,O,O
TSOZJIL,O,O,O,O,X,O,O,O
TSOZJLI,O,O,O,O,X,O,O,O
TZILJSO,O,O,X,X,X,O,O,X
TZILJOS,X,O,X,X,X,O,O,X
TZILSJO,O,O,X,X,X,O,O,X
TZILSOJ,O,O,X,X,X,O,O,X
TZILOJS,X,O,X,X,X,O,O,X
TZILOSJ,X,O,X,X,X,O,O,X
TZIJLSO,O,O,X,X,X,O,O,X
TZIJLOS,X,O,X,X,X,O,O,X
TZIJSLO,O,O,X,X,X,O,O,O
TZIJSOL,O,O,X,X,X,O,O,O
TZIJOLS,O,O,X,X,X,O,O,X
TZIJOSL,O,O,X,X,X,X,O,O
TZISLJO,O,O,X,X,X,O,O,O
TZISLOJ,O,O,X,X,X,O,O,O
TZISJLO,O,O,X,X,X,O,O,O
TZISJOL,O,O,X,X,X,O,O,O
TZISOLJ,O,O,X,X,X,O,O,O
TZISOJL,O,O,X,X,X,O,O,O
TZIOLJS,O,O,X,X,X,O,O,X
TZIOLSJ,O,O,X,X,X,O,O,X
TZIOJLS,O,O,X,X,X,O,O,X
TZIOJSL,O,O,X,X,X,X,O,O
TZIOSLJ,O,O,X,X,X,X,O,O
TZIOSJL,O,O,X,X,X,X,O,O
TZLIJSO,O,O,X,O,X,O,O,X
TZLIJOS,X,O,X,X,X,O,O,X
TZLISJO,O,O,X,O,X,O,O,X
TZLISOJ,O,O,X,O,X,O,O,X
