sequence,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGGgBZmBtmB0iB6o?B/qBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGalBtlB0hBxiBGo?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je2EJvhGRgB3hB9oBSqB0n?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Jem/IvhGRhB3iB9oB0kBCm?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBtmBXjBTlBer?BctB6sB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBumB9nBTjByq?BXtB0qB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBtmB0iB2qBSt?BzqBXtB,v115@RhA8EeA8CeC8BeB8BeA8Jem/IvhGRhB9nBTjB0kBCm?BXrBXtB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGalBRhB9nBTjBuq?BcrBXtB
STJSOLZI,X,X,X,X,X,O,X,X,X
STJSOZIL,X,X,X,X,X,X,X,X,X
STJSOZLI,X,X,X,X,X,X,X,X,X
STJZILSO,X,X,X,X,X,X,X,X,X
STJZILOS,X,X,X,X,X,X,X,X,X
STJZISLO,X,O,X,X,X,X,X,X,X
STJZISOL,X,X,X,X,X,X,X,X,X
STJZIOLS,X,X,X,X,X,X,X,X,X
STJZIOSL,X,X,X,X,X,X,X,X,X
STJZLISO,X,X,O,X,X,X,X,X,X
STJZLIOS,X,X,X,X,X,X,X,X,X
STJZLSIO,X,X,O,X,X,X,X,X,X
STJZLSOI,X,X,O,X,X,X,X,X,X
STJZLOIS,X,X,X,X,X,X,O,X,X
STJZLOSI,X,X,X,X,X,X,O,X,X
STJZSILO,X,O,X,X,X,X,X,X,X
STJZSIOL,X,X,X,X,X,X,X,X,X
STJZSLIO,X,O,O,X,X,X,X,X,X
STJZSLOI,X,O,O,X,X,X,X,X,X
STJZSOIL,X,X,X,X,O,X,X,X,X
STJZSOLI,X,X,X,X,O,X,X,X,X
STJZOILS,X,X,X,X,X,X,X,X,X
STJZOISL,X,X,X,X,O,X,X,X,X
STJZOLIS,X,X,X,X,X,X,X,X,X
STJZOLSI,X,X,X,X,X,X,X,X,X
STJZOSIL,X,X,X,X,O,X,X,X,X
STJZOSLI,X,X,X,X,O,X,X,X,X
STJOILSZ,X,X,X,X,X,X,X,X,X
STJOILZS,X,X,X,X,X,X,X,X,X
STJOISLZ,X,X,X,X,X,X,X,X,X
STJOISZL,X,X,X,X,X,X,X,X,X
STJOIZLS,X,X,X,X,X,X,X,X,X
STJOIZSL,X,X,X,X,O,X,X,X,X
STJOLISZ,X,X,X,X,X,X,X,X,X
STJOLIZS,X,X,X,X,X,X,X,X,X
STJOLSIZ,X,X,X,X,X,O,X,X,X
STJOLSZI,X,X,X,X,X,O,X,X,X
STJOLZIS,X,X,X,X,X,X,X,X,X
STJOLZSI,X,X,X,X,X,X,X,X,X
STJOSILZ,X,X,X,X,X,O,X,X,X
STJOSIZL,X,X,X,X,X,X,X,X,X
STJOSLIZ,X,X,X,X,X,O,X,X,X
STJOSLZI,X,X,X,X,X,O,X,X,X
STJOSZIL,X,X,X,X,X,X,X,X,X
STJOSZLI,X,X,X,X,X,X,X,X,X
STJOZILS,X,X,X,X,X,X,X,X,X
STJOZISL,X,X,X,X,O,X,X,X,X
STJOZLIS,X,X,X,X,X,X,X,X,X
STJOZLSI,X,X,X,X,X,X,X,X,X
STJOZSIL,X,X,X,X,O,X,X,X,X
STJOZSLI,X,X,X,X,O,X,X,X,X
STSILJZO,O,X,X,X,X,X,X,X,X
STSILJOZ,X,X,X,X,X,O,X,X,X
STSILZJO,O,X,X,O,X,X,X,O,X
STSILZOJ,X,X,X,X,X,X,X,O,X
STSILOJZ,X,X,X,X,X,O,X,X,X
STSILOZJ,X,X,X,X,X,X,X,O,O
STSIJLZO,O,X,X,X,X,X,X,X,X
STSIJLOZ,X,X,X,X,X,X,X,X,X
STSIJZLO,O,X,X,X,X,X,X,X,X
STSIJZOL,X,X,X,X,X,X,X,X,X
STSIJOLZ,O,X,X,X,X,O,X,X,X
STSIJOZL,O,X,X,X,X,X,X,X,X
STSIZLJO,O,X,X,X,X,X,X,X,X
STSIZLOJ,X,X,X,X,X,X,X,X,X
STSIZJLO,O,X,X,O,X,X,X,X,X
STSIZJOL,X,X,X,X,X,X,X,O,X
