sequence,v115@UhA8EeB8BeB8BeC8JeOEJvhGXgBdmB5mBiiBcoBcsB?zpB,v115@UhA8EeB8BeB8BeC8Jex/IvhGXhBdnBunBcoBikBzpB?0rB,v115@UhA8EeB8BeB8BeC8JeNEJvhGUhBRiBSoBXlB2sB0rB?zpB,v115@UhA8EeB8BeB8BeC8JeNEJvhGUgBRhBCjBmmBXoBzpB?0rB,v115@UhA8EeB8BeB8BeC8Je0/IvhGdmBRiBcoB/pBqrBTnB?OqB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBamBRiBcoBWsB0pB?XsB,v115@UhA8EeB8BeB8BeC8JeXAJvhGdmBRiBcoB2pBSsBzrB?0pB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBRhBCjBmmBXoB0pB?0rB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBRhBunBcoB/rBasB?0pB
ZTLZSIJO,X,O,X,X,X,X,X,X,X
ZTLZSIOJ,X,X,X,X,X,X,X,X,X
ZTLZSJIO,X,O,O,X,X,X,X,X,X
ZTLZSJOI,X,O,O,X,X,X,X,X,X
ZTLZSOIJ,X,X,X,X,X,X,X,X,X
ZTLZSOJI,X,X,X,X,X,X,X,X,X
ZTLZOIJS,X,X,X,X,X,O,X,X,X
ZTLZOISJ,X,X,X,X,X,X,X,X,X
ZTLZOJIS,X,X,X,X,X,O,X,X,X
ZTLZOJSI,X,X,X,X,X,O,X,X,X
ZTLZOSIJ,X,X,X,X,X,X,X,X,X
ZTLZOSJI,X,X,X,X,X,X,X,X,X
ZTLOIJSZ,X,X,X,X,X,X,X,X,X
ZTLOIJZS,X,X,X,X,X,X,X,X,X
ZTLOISJZ,X,X,X,X,X,X,X,X,X
ZTLOISZJ,X,X,X,X,O,X,X,X,X
ZTLOIZJS,X,X,X,X,X,X,X,X,X
ZTLOIZSJ,X,X,X,X,X,X,X,X,X
ZTLOJISZ,X,X,X,X,X,X,X,X,X
ZTLOJIZS,X,X,X,X,X,X,X,X,X
ZTLOJSIZ,X,X,X,X,X,X,X,X,X
ZTLOJSZI,X,X,X,X,X,X,X,X,X
ZTLOJZIS,X,X,X,X,X,O,X,X,X
ZTLOJZSI,X,X,X,X,X,O,X,X,X
ZTLOSIJZ,X,X,X,X,X,X,X,X,X
ZTLOSIZJ,X,X,X,X,O,X,X,X,X
ZTLOSJIZ,X,X,X,X,X,X,X,X,X
ZTLOSJZI,X,X,X,X,X,X,X,X,X
ZTLOSZIJ,X,X,X,X,O,X,X,X,X
ZTLOSZJI,X,X,X,X,O,X,X,X,X
ZTLOZIJS,X,X,X,X,X,O,X,X,X
ZTLOZISJ,X,X,X,X,X,X,X,X,X
ZTLOZJIS,X,X,X,X,X,O,X,X,X
ZTLOZJSI,X,X,X,X,X,O,X,X,X
ZTLOZSIJ,X,X,X,X,X,X,X,X,X
ZTLOZSJI,X,X,X,X,X,X,X,X,X
ZTJILSZO,X,X,O,X,X,X,X,X,X
ZTJILSOZ,X,X,X,X,X,X,X,X,X
ZTJILZSO,X,X,O,X,X,X,X,X,X
ZTJILZOS,X,X,X,X,X,O,X,X,X
ZTJILOSZ,X,X,X,X,X,X,X,X,X
ZTJILOZS,X,X,X,X,X,X,X,X,X
ZTJISLZO,X,X,O,O,X,X,X,O,X
ZTJISLOZ,X,X,X,X,X,X,X,X,X
ZTJISZLO,O,X,O,O,X,X,X,O,X
ZTJISZOL,X,X,X,X,X,X,X,O,X
ZTJISOLZ,X,X,X,X,X,X,X,X,X
ZTJISOZL,X,X,X,X,X,X,X,X,X
ZTJIZLSO,O,X,O,X,X,X,X,X,X
ZTJIZLOS,X,X,X,X,X,O,X,X,X
ZTJIZSLO,O,X,O,O,X,X,X,O,X
ZTJIZSOL,X,X,X,X,X,X,X,O,X
ZTJIZOLS,X,X,X,X,X,O,X,X,X
ZTJIZOSL,X,X,X,X,X,X,X,O,O
ZTJIOLSZ,X,X,X,X,X,X,X,X,X
ZTJIOLZS,X,X,X,X,X,X,X,X,X
ZTJIOSLZ,X,X,X,X,X,X,X,X,X
ZTJIOSZL,X,X,X,X,X,X,X,X,X
ZTJIOZLS,X,X,X,X,X,X,X,X,X
ZTJIOZSL,X,X,X,X,X,X,X,X,X
ZTJLISZO,X,X,O,X,X,X,X,X,X
ZTJLISOZ,X,X,X,X,X,X,X,X,X
ZTJLIZSO,X,X,O,X,X,X,X,X,X
ZTJLIZOS,X,X,X,X,X,O,X,X,X
ZTJLIOSZ,X,X,X,X,X,X,X,X,X
ZTJLIOZS,X,X,X,X,X,X,X,X,X
ZTJLSIZO,X,X,O,X,X,X,X,X,X
ZTJLSIOZ,X,X,X,X,X,X,X,X,X
ZTJLSZIO,X,X,O,X,X,X,X,X,X
ZTJLSZOI,X,X,O,X,X,X,X,X,X
ZTJLSOIZ,X,X,X,X,X,X,O,X,X
ZTJLSOZI,X,X,X,X,X,X,O,X,X
ZTJLZISO,X,X,O,X,X,X,X,X,X
ZTJLZIOS,X,X,X,X,X,O,X,X,X
ZTJLZSIO,X,X,O,X,X,O,X,X,X
ZTJLZSOI,X,X,O,X,X,O,X,X,X
ZTJLZOIS,X,X,X,X,X,O,X,X,X
ZTJLZOSI,X,X,X,X,X,O,X,X,X
ZTJLOISZ,X,X,X,X,X,X,O,X,X
ZTJLOIZS,X,X,X,X,X,X,X,X,X
ZTJLOSIZ,X,X,X,X,X,X,O,X,X
ZTJLOSZI,X,X,X,X,X,X,O,X,X
ZTJLOZIS,X,X,X,X,X,O,X,X,X
ZTJLOZSI,X,X,X,X,X,O,X,X,X
ZTJSILZO,X,X,O,O,X,X,X,O,X
ZTJSILOZ,X,X,X,X,X,X,X,X,X
ZTJSIZLO,O,X,O,O,X,X,X,O,X
ZTJSIZOL,X,X,X,X,X,X,X,O,O
ZTJSIOLZ,X,X,X,X,X,X,X,X,X
ZTJSIOZL,X,X,X,X,X,X,X,X,X
ZTJSLIZO,X,X,O,O,X,X,X,O,O
ZTJSLIOZ,X,X,X,X,X,X,X,X,X
ZTJSLZIO,X,X,O,O,X,X,X,O,O
ZTJSLZOI,X,X,O,X,X,X,X,O,O
ZTJSLOIZ,X,X,X,X,X,X,O,X,X
ZTJSLOZI,X,X,X,X,X,X,O,X,X
ZTJSZILO,O,X,O,O,X,X,X,O,X
ZTJSZIOL,X,X,X,X,X,X,X,O,O
ZTJSZLIO,O,X,O,O,X,X,X,O,O
ZTJSZLOI,X,X,O,X,X,X,X,O,O
ZTJSZOIL,X,X,X,X,X,X,X,O,O
ZTJSZOLI,X,X,X,X,X,X,X,O,O
ZTJSOILZ,X,X,X,X,X,X,X,X,X
ZTJSOIZL,X,X,X,X,X,X,X,X,X
ZTJSOLIZ,X,X,X,X,X,X,X,X,X
ZTJSOLZI,X,X,X,X,X,X,X,X,X
ZTJSOZIL,X,X,X,X,X,X,X,X,X
ZTJSOZLI,X,X,X,X,X,X,X,X,X
ZTJZILSO,O,X,O,X,X,X,X,X,X
ZTJZILOS,X,X,X,X,X,O,X,X,X
ZTJZISLO,O,X,O,O,X,X,X,O,X
ZTJZISOL,X,X,X,X,X,X,X,O,X
ZTJZIOLS,X,X,X,X,X,O,X,X,X
ZTJZIOSL,X,X,X,X,X,X,X,O,O
ZTJZLISO,O,X,O,X,X,X,X,X,X
ZTJZLIOS,X,X,X,X,X,O,X,X,X
ZTJZLSIO,O,X,O,X,X,O,X,X,X
ZTJZLSOI,X,X,O,X,X,O,X,X,X
ZTJZLOIS,X,X,X,X,X,O,X,X,X
ZTJZLOSI,X,X,X,X,X,O,X,X,X
ZTJZSILO,O,X,O,O,X,X,X,O,X
ZTJZSIOL,X,X,X,X,X,X,X,O,O
ZTJZSLIO,O,X,O,O,X,X,X,O,O
ZTJZSLOI,X,X,O,X,X,X,X,O,O
ZTJZSOIL,X,X,X,X,X,X,X,O,O
ZTJZSOLI,X,X,X,X,X,X,X,O,O
ZTJZOILS,X,X,X,X,X,O,X,X,X
ZTJZOISL,X,X,X,X,X,X,X,O,O
ZTJZOLIS,X,X,X,X,X,O,X,X,X
ZTJZOLSI,X,X,X,X,X,O,X,X,X
ZTJZOSIL,X,X,X,X,X,X,X,O,O
ZTJZOSLI,X,X,X,X,X,X,X,O,O
ZTJOILSZ,X,X,X,X,X,X,X,X,X
ZTJOILZS,X,X,X,X,X,X,X,X,X
ZTJOISLZ,X,X,X,X,X,X,X,X,X
ZTJOISZL,X,X,X,X,X,X,X,X,X
ZTJOIZLS,X,X,X,X,X,X,X,X,X
ZTJOIZSL,X,X,X,X,X,X,X,X,X
ZTJOLISZ,X,X,X,X,X,X,X,X,X
ZTJOLIZS,X,X,X,X,X,X,X,X,X
ZTJOLSIZ,X,X,X,X,X,X,X,X,X
ZTJOLSZI,X,X,X,X,X,X,X,X,X
ZTJOLZIS,X,X,X,X,X,O,X,X,X
ZTJOLZSI,X,X,X,X,X,O,X,X,X
ZTJOSILZ,X,X,X,X,X,X,X,X,X
ZTJOSIZL,X,X,X,X,X,X,X,X,X
ZTJOSLIZ,X,X,X,X,X,X,X,X,X
ZTJOSLZI,X,X,X,X,X,X,X,X,X
ZTJOSZIL,X,X,X,X,X,X,X,X,X
ZTJOSZLI,X,X,X,X,X,X,X,X,X
ZTJOZILS,X,X,X,X,X,O,X,X,X
ZTJOZISL,X,X,X,X,X,X,X,X,X
ZTJOZLIS,X,X,X,X,X,O,X,X,X
ZTJOZLSI,X,X,X,X,X,O,X,X,X
ZTJOZSIL,X,X,X,X,X,X,X,X,X
ZTJOZSLI,X,X,X,X,X,X,X,X,X
ZTSILJZO,X,X,X,X,X,X,X,X,X
ZTSILJOZ,X,X,X,X,X,X,X,X,X
ZTSILZJO,X,X,X,X,X,X,X,X,X
ZTSILZOJ,X,X,X,X,X,X,X,O,X
ZTSILOJZ,X,X,X,X,X,X,X,X,X
ZTSILOZJ,X,X,X,X,X,X,X,O,X
ZTSIJLZO,X,X,X,X,X,X,X,X,X
ZTSIJLOZ,X,X,X,X,X,X,X,X,X
ZTSIJZLO,O,X,X,X,X,X,X,X,X
ZTSIJZOL,X,X,X,X,X,X,X,X,O
ZTSIJOLZ,X,X,X,X,X,X,X,X,X
ZTSIJOZL,X,X,X,X,X,X,X,X,X
ZTSIZLJO,O,X,X,X,X,X,X,X,X
ZTSIZLOJ,X,X,X,X,X,X,X,O,X
ZTSIZJLO,O,O,X,X,X,X,X,X,X
ZTSIZJOL,X,O,X,X,X,X,X,X,O
ZTSIZOLJ,X,X,X,X,X,X,X,O,X
ZTSIZOJL,X,X,X,X,X,X,X,X,O
ZTSIOLJZ,X,X,X,X,X,X,X,X,X
ZTSIOLZJ,X,X,X,X,X,X,X,O,X
ZTSIOJLZ,X,X,X,X,X,X,X,X,X
ZTSIOJZL,X,X,X,X,X,X,X,X,X
ZTSIOZLJ,X,X,X,X,X,X,X,X,X
ZTSIOZJL,X,X,X,X,X,X,X,X,O
ZTSLIJZO,X,X,X,X,X,X,X,X,O
ZTSLIJOZ,X,X,X,X,X,X,X,X,X
ZTSLIZJO,X,O,X,X,X,X,X,X,O
ZTSLIZOJ,X,X,X,X,X,X,X,O,O
ZTSLIOJZ,X,X,X,X,X,X,X,X,X
ZTSLIOZJ,X,X,X,X,X,X,X,O,O
ZTSLJIZO,X,X,O,O,X,X,X,O,O
ZTSLJIOZ,X,X,X,X,X,X,X,X,X
ZTSLJZIO,X,X,O,O,X,X,X,O,O
ZTSLJZOI,X,X,O,X,X,X,X,O,O
ZTSLJOIZ,X,X,X,X,X,X,O,X,X
ZTSLJOZI,X,X,X,X,X,X,O,X,X
ZTSLZIJO,X,O,X,O,X,X,X,X,O
ZTSLZIOJ,X,X,X,X,X,X,X,O,O
ZTSLZJIO,X,O,O,O,X,X,X,O,O
ZTSLZJOI,X,O,O,X,X,X,X,O,O
ZTSLZOIJ,X,X,X,X,O,X,X,O,O
ZTSLZOJI,X,X,X,X,O,X,X,O,O
ZTSLOIJZ,X,X,X,X,X,X,X,X,X
ZTSLOIZJ,X,X,X,X,O,X,X,O,O
ZTSLOJIZ,X,X,X,X,X,X,X,X,X
ZTSLOJZI,X,X,X,X,X,X,X,X,X
ZTSLOZIJ,X,X,X,X,O,X,X,O,O
ZTSLOZJI,X,X,X,X,O,X,X,O,O
ZTSJILZO,X,X,O,O,X,X,X,O,X
ZTSJILOZ,X,X,X,X,X,X,X,X,X
ZTSJIZLO,O,X,O,O,X,X,X,O,X
ZTSJIZOL,X,X,X,X,X,X,X,O,O
ZTSJIOLZ,X,X,X,X,X,X,X,X,X
ZTSJIOZL,X,X,X,X,X,X,X,X,X
ZTSJLIZO,X,X,O,O,X,X,X,O,O
ZTSJLIOZ,X,X,X,X,X,X,X,X,X
ZTSJLZIO,X,X,O,O,X,X,X,O,O
ZTSJLZOI,X,X,O,X,X,X,X,O,O
ZTSJLOIZ,X,X,X,X,X,X,O,X,X
ZTSJLOZI,X,X,X,X,X,X,O,X,X
ZTSJZILO,O,X,O,O,X,X,X,O,X
ZTSJZIOL,X,X,X,X,X,X,X,O,O
ZTSJZLIO,O,X,O,O,X,X,X,O,O
ZTSJZLOI,X,X,O,X,X,X,X,O,O
ZTSJZOIL,X,X,X,X,X,X,X,O,O
ZTSJZOLI,X,X,X,X,X,X,X,O,O
ZTSJOILZ,X,X,X,X,X,X,X,X,X
ZTSJOIZL,X,X,X,X,X,X,X,X,X
ZTSJOLIZ,X,X,X,X,X,X,X,X,X
ZTSJOLZI,X,X,X,X,X,X,X,X,X
ZTSJOZIL,X,X,X,X,X,X,X,X,X
ZTSJOZLI,X,X,X,X,X,X,X,X,X
