sequence,v115@RhA8BeA8AeB8CeG8AeA8Kei/IvhFfmB0hBmiB5oBzk?BtsB,v115@RhA8BeA8AeB8CeG8AeA8Kei/IvhFfmB0hBxiBzkBus?B9tB,v115@RhA8BeA8AeB8CeG8AeA8KeT/IvhFelBfmB0hBdoB5o?B6sB,v115@RhA8BeA8AeB8CeG8AeA8KeT/IvhF0hBxiBmlBtsB6t?BXqB,v115@RhA8BeA8AeB8CeG8AeA8KeT/IvhF0hBdoB5oBmlBXl?B6sB
JTOISZL,O,O,O,X,O
JTOIZLS,O,O,X,O,O
JTOIZSL,O,O,O,X,O
JTOLISZ,O,O,O,O,X
JTOLIZS,O,O,X,O,O
JTOLSIZ,O,O,O,O,X
JTOLSZI,O,O,O,O,X
JTOLZIS,O,O,X,O,O
JTOLZSI,O,O,X,O,X
JTOSILZ,O,O,O,X,X
JTOSIZL,O,O,O,X,O
JTOSLIZ,O,O,O,O,X
JTOSLZI,O,O,O,O,X
JTOSZIL,O,O,O,X,O
JTOSZLI,O,O,O,O,X
JTOZILS,O,O,X,O,O
JTOZISL,O,O,O,X,O
JTOZLIS,O,O,X,O,O
JTOZLSI,O,O,X,O,X
JTOZSIL,O,O,O,X,O
JTOZSLI,O,O,O,O,X
JITLSZO,O,X,O,O,X
JITLSOZ,O,X,O,O,X
JITLZSO,O,X,X,O,X
JITLZOS,X,X,X,O,O
JITLOSZ,O,X,O,O,X
JITLOZS,O,X,X,O,O
JITSLZO,O,X,O,X,X
JITSLOZ,O,X,O,X,X
JITSZLO,O,X,O,X,X
JITSZOL,O,X,O,X,O
JITSOLZ,O,X,O,X,X
JITSOZL,O,X,O,X,O
JITZLSO,O,X,X,O,X
JITZLOS,X,X,X,O,O
JITZSLO,O,X,O,X,X
JITZSOL,O,X,O,X,O
JITZOLS,O,X,X,O,O
JITZOSL,O,X,O,X,O
JITOLSZ,O,X,O,O,X
JITOLZS,O,X,X,O,O
JITOSLZ,O,X,O,X,X
JITOSZL,O,X,O,X,O
JITOZLS,O,X,X,O,O
JITOZSL,O,X,O,X,O
JILTSZO,O,X,O,X,X
JILTSOZ,O,X,O,X,X
JILTZSO,O,X,X,X,X
JILTZOS,X,X,X,X,O
JILTOSZ,O,X,O,X,X
JILTOZS,X,X,X,X,O
JILSTZO,O,X,O,X,X
JILSTOZ,O,X,O,X,X
JILSZTO,O,X,O,X,X
JILSZOT,X,X,O,X,X
JILSOTZ,X,X,O,X,X
JILSOZT,X,X,O,X,X
JILZTSO,X,X,X,X,X
JILZTOS,X,X,X,X,O
JILZSTO,X,X,X,X,X
JILZSOT,X,X,X,X,X
JILZOTS,X,X,X,X,O
JILZOST,X,X,X,X,X
JILOTSZ,X,X,O,X,X
JILOTZS,X,X,X,X,O
JILOSTZ,X,X,O,X,X
JILOSZT,X,X,O,X,X
JILOZTS,X,X,X,X,O
JILOZST,X,X,X,X,X
JISTLZO,O,X,O,X,X
JISTLOZ,O,X,O,X,X
JISTZLO,O,X,O,X,X
JISTZOL,O,X,O,X,O
JISTOLZ,O,X,O,X,X
JISTOZL,O,X,O,X,O
JISLTZO,O,X,O,X,X
JISLTOZ,O,X,O,X,X
JISLZTO,O,X,O,X,X
JISLZOT,X,X,O,X,X
JISLOTZ,X,X,O,X,X
JISLOZT,X,X,O,X,X
JISZTLO,O,X,O,X,X
JISZTOL,O,X,O,X,O
JISZLTO,O,X,O,X,X
JISZLOT,X,X,O,X,X
JISZOTL,O,X,O,X,O
JISZOLT,O,X,O,X,X
JISOTLZ,O,X,O,X,X
JISOTZL,O,X,O,X,O
JISOLTZ,O,X,O,X,X
JISOLZT,O,X,O,X,X
JISOZTL,O,X,O,X,O
JISOZLT,O,X,O,X,X
JIZTLSO,X,X,X,O,X
JIZTLOS,X,X,X,O,O
JIZTSLO,X,X,O,X,X
JIZTSOL,X,X,O,X,O
JIZTOLS,X,X,X,O,O
JIZTOSL,X,X,O,X,O
JIZLTSO,X,X,X,X,X
JIZLTOS,X,X,X,X,O
JIZLSTO,X,X,X,X,X
JIZLSOT,X,X,X,X,X
JIZLOTS,X,X,X,X,O
JIZLOST,X,X,X,X,X
JIZSTLO,X,X,O,X,X
JIZSTOL,X,X,O,X,O
JIZSLTO,X,X,O,X,X
JIZSLOT,X,X,O,X,X
JIZSOTL,X,X,O,X,O
JIZSOLT,X,X,O,X,X
JIZOTLS,X,X,X,O,O
JIZOTSL,X,X,O,X,O
JIZOLTS,X,X,X,X,O
JIZOLST,X,X,X,X,X
JIZOSTL,X,X,O,X,O
JIZOSLT,X,X,O,X,X
JIOTLSZ,O,X,O,O,X
JIOTLZS,O,X,X,O,O
JIOTSLZ,O,X,O,X,X
JIOTSZL,O,X,O,X,O
JIOTZLS,O,X,X,O,O
JIOTZSL,O,X,O,X,O
JIOLTSZ,O,X,O,X,X
JIOLTZS,O,X,X,X,O
JIOLSTZ,O,X,O,X,X
JIOLSZT,O,X,O,X,X
JIOLZTS,X,X,X,X,O
JIOLZST,X,X,X,X,X
JIOSTLZ,O,X,O,X,X
JIOSTZL,O,X,O,X,O
JIOSLTZ,O,X,O,X,X
JIOSLZT,O,X,O,X,X
JIOSZTL,O,X,O,X,O
JIOSZLT,O,X,O,X,X
JIOZTLS,X,X,X,O,O
JIOZTSL,X,X,O,X,O
JIOZLTS,X,X,X,X,O
JIOZLST,X,X,X,X,X
JIOZSTL,X,X,O,X,O
JIOZSLT,X,X,O,X,X
JLTISZO,O,O,O,O,X
JLTISOZ,O,O,O,O,X
JLTIZSO,O,O,X,O,X
JLTIZOS,X,X,X,O,O
JLTIOSZ,O,O,O,O,X
JLTIOZS,X,X,X,O,O
JLTSIZO,O,O,O,O,X
JLTSIOZ,O,O,O,O,X
JLTSZIO,O,O,O,O,X
JLTSZOI,O,O,O,O,X
JLTSOIZ,O,O,O,O,X
JLTSOZI,O,O,O,O,X
JLTZISO,O,O,X,O,X
JLTZIOS,X,X,X,O,O
JLTZSIO,O,O,X,O,X
JLTZSOI,O,O,X,O,X
JLTZOIS,X,X,X,O,O
JLTZOSI,X,X,X,O,X
JLTOISZ,O,O,O,O,X
JLTOIZS,X,X,X,O,O
JLTOSIZ,O,O,O,O,X
JLTOSZI,O,O,O,O,X
JLTOZIS,X,X,X,O,O
JLTOZSI,X,X,X,O,X
JLITSZO,O,X,O,X,X
JLITSOZ,O,X,O,X,X
JLITZSO,O,X,X,X,X
JLITZOS,X,X,X,X,O
JLITOSZ,O,X,O,X,X
JLITOZS,X,X,X,X,O
JLISTZO,O,X,O,X,X
JLISTOZ,O,X,O,X,X
JLISZTO,O,X,O,X,X
JLISZOT,X,X,O,X,X
JLISOTZ,X,X,O,X,X
JLISOZT,X,X,O,X,X
JLIZTSO,X,X,X,X,X
JLIZTOS,X,X,X,X,O
JLIZSTO,X,X,X,X,X
JLIZSOT,X,X,X,X,X
JLIZOTS,X,X,X,X,O
JLIZOST,X,X,X,X,X
JLIOTSZ,X,X,O,X,X
JLIOTZS,X,X,X,X,O
JLIOSTZ,X,X,O,X,X
JLIOSZT,X,X,O,X,X
JLIOZTS,X,X,X,X,O
JLIOZST,X,X,X,X,X
JLSTIZO,O,O,O,X,X
JLSTIOZ,O,O,O,X,X
JLSTZIO,O,O,O,X,X
JLSTZOI,O,O,O,X,X
JLSTOIZ,O,O,O,X,X
JLSTOZI,O,O,O,X,X
JLSITZO,O,X,O,X,X
JLSITOZ,O,X,O,X,X
JLSIZTO,O,X,O,X,X
JLSIZOT,X,X,O,X,X
JLSIOTZ,X,X,O,X,X
JLSIOZT,X,X,O,X,X
JLSZTIO,O,O,O,X,X
JLSZTOI,O,O,O,X,X
JLSZITO,O,O,O,X,X
JLSZIOT,X,O,O,X,X
JLSZOTI,X,X,O,X,X
JLSZOIT,X,X,O,X,X
JLSOTIZ,X,X,O,X,X
JLSOTZI,X,X,O,X,X
JLSOITZ,X,X,O,X,X
JLSOIZT,X,X,O,X,X
JLSOZTI,X,X,O,X,X
JLSOZIT,X,X,O,X,X
JLZTISO,X,X,X,O,X
JLZTIOS,X,X,X,O,O
JLZTSIO,X,X,X,O,X
JLZTSOI,X,X,X,O,X
JLZTOIS,X,X,X,O,O
JLZTOSI,X,X,X,O,X
JLZITSO,X,X,X,X,X
JLZITOS,X,X,X,X,O
JLZISTO,X,X,X,X,X
JLZISOT,X,X,X,X,X
JLZIOTS,X,X,X,X,O
JLZIOST,X,X,X,X,X
JLZSTIO,X,X,X,X,X
JLZSTOI,X,X,X,X,X
JLZSITO,X,X,X,X,X
JLZSIOT,X,X,X,X,X
JLZSOTI,X,X,X,X,X
JLZSOIT,X,X,X,X,X
JLZOTIS,X,X,X,O,O
JLZOTSI,X,X,X,O,X
JLZOITS,X,X,X,X,O
JLZOIST,X,X,X,X,X
JLZOSTI,X,X,X,X,X
JLZOSIT,X,X,X,X,X
JLOTISZ,X,X,O,O,X
JLOTIZS,X,X,X,O,O
JLOTSIZ,X,X,O,O,X
JLOTSZI,X,X,O,O,X
JLOTZIS,X,X,X,O,O
JLOTZSI,X,X,X,O,X
JLOITSZ,X,X,O,X,X
JLOITZS,X,X,X,X,O
JLOISTZ,X,X,O,X,X
JLOISZT,X,X,O,X,X
JLOIZTS,X,X,X,X,O
JLOIZST,X,X,X,X,X
JLOSTIZ,X,X,O,X,X
JLOSTZI,X,X,O,X,X
JLOSITZ,X,X,O,X,X
JLOSIZT,X,X,O,X,X
JLOSZTI,X,X,O,X,X
JLOSZIT,X,X,O,X,X
JLOZTIS,X,X,X,O,O
JLOZTSI,X,X,X,O,X
JLOZITS,X,X,X,X,O
JLOZIST,X,X,X,X,X
JLOZSTI,X,X,X,X,X
JLOZSIT,X,X,X,X,X
JSTILZO,O,O,O,X,X
JSTILOZ,O,O,O,X,X
JSTIZLO,O,O,O,X,X
JSTIZOL,O,O,O,X,O
JSTIOLZ,O,O,O,X,X
JSTIOZL,O,O,O,X,O
JSTLIZO,O,O,O,O,X
JSTLIOZ,O,O,O,O,X
JSTLZIO,O,O,O,O,X
JSTLZOI,O,O,O,O,X
JSTLOIZ,O,O,O,O,X
JSTLOZI,O,O,O,O,X
JSTZILO,O,O,O,X,X
JSTZIOL,O,O,O,X,O
JSTZLIO,O,O,O,O,X
JSTZLOI,O,O,O,O,X
JSTZOIL,O,O,O,X,O
JSTZOLI,O,O,O,O,X
JSTOILZ,O,O,O,X,X
JSTOIZL,O,O,O,X,O
JSTOLIZ,O,O,O,O,X
JSTOLZI,O,O,O,O,X
JSTOZIL,O,O,O,X,O
JSTOZLI,O,O,O,O,X
JSITLZO,O,X,O,X,X
JSITLOZ,O,X,O,X,X
JSITZLO,O,X,O,X,X
JSITZOL,O,X,O,X,O
JSITOLZ,O,X,O,X,X
JSITOZL,O,X,O,X,O
JSILTZO,O,X,O,X,X
JSILTOZ,O,X,O,X,X
JSILZTO,O,X,O,X,X
JSILZOT,X,X,O,X,X
JSILOTZ,X,X,O,X,X
JSILOZT,X,X,O,X,X
JSIZTLO,O,X,O,X,X
JSIZTOL,O,X,O,X,O
JSIZLTO,O,X,O,X,X
JSIZLOT,X,X,O,X,X
JSIZOTL,O,X,O,X,O
JSIZOLT,O,X,O,X,X
JSIOTLZ,O,X,O,X,X
JSIOTZL,O,X,O,X,O
JSIOLTZ,O,X,O,X,X
JSIOLZT,O,X,O,X,X
JSIOZTL,O,X,O,X,O
JSIOZLT,O,X,O,X,X
JSLTIZO,O,O,O,X,X
JSLTIOZ,O,O,O,X,X
JSLTZIO,O,O,O,X,X
JSLTZOI,O,O,O,X,X
JSLTOIZ,O,O,O,X,X
JSLTOZI,O,O,O,X,X
JSLITZO,O,X,O,X,X
JSLITOZ,O,X,O,X,X
JSLIZTO,O,X,O,X,X
JSLIZOT,X,X,O,X,X
JSLIOTZ,X,X,O,X,X
JSLIOZT,X,X,O,X,X
JSLZTIO,O,O,O,X,X
JSLZTOI,O,O,O,X,X
JSLZITO,O,O,O,X,X
JSLZIOT,X,O,O,X,X
JSLZOTI,X,X,O,X,X
JSLZOIT,X,X,O,X,X
JSLOTIZ,X,X,O,X,X
JSLOTZI,X,X,O,X,X
JSLOITZ,X,X,O,X,X
JSLOIZT,X,X,O,X,X
JSLOZTI,X,X,O,X,X
JSLOZIT,X,X,O,X,X
JSZTILO,O,O,O,X,X
JSZTIOL,O,O,O,X,O
JSZTLIO,O,O,O,O,X
JSZTLOI,O,O,O,O,X
JSZTOIL,O,O,O,X,O
JSZTOLI,O,O,O,O,X
JSZITLO,O,X,O,X,X
JSZITOL,O,X,O,X,O
JSZILTO,O,O,O,X,X
JSZILOT,X,O,O,X,X
JSZIOTL,O,X,O,X,O
JSZIOLT,O,O,O,X,X
JSZLTIO,O,O,O,X,X
JSZLTOI,O,O,O,X,X
JSZLITO,O,O,O,X,X
JSZLIOT,X,O,O,X,X
JSZLOTI,X,X,O,X,X
JSZLOIT,X,X,O,X,X
JSZOTIL,O,O,O,X,O
JSZOTLI,O,O,O,O,X
JSZOITL,O,X,O,X,O
JSZOILT,O,O,O,X,X
JSZOLTI,O,O,O,X,X
JSZOLIT,O,O,O,X,X
JSOTILZ,O,O,O,X,X
JSOTIZL,O,O,O,X,O
JSOTLIZ,O,O,O,O,X
JSOTLZI,O,O,O,O,X
JSOTZIL,O,O,O,X,O
JSOTZLI,O,O,O,O,X
JSOITLZ,O,X,O,X,X
JSOITZL,O,X,O,X,O
JSOILTZ,O,X,O,X,X
JSOILZT,O,X,O,X,X
JSOIZTL,O,X,O,X,O
JSOIZLT,O,X,O,X,X
JSOLTIZ,O,O,O,X,X
JSOLTZI,O,O,O,X,X
JSOLITZ,O,X,O,X,X
JSOLIZT,O,X,O,X,X
JSOLZTI,O,O,O,X,X
JSOLZIT,O,O,O,X,X
JSOZTIL,O,O,O,X,O
JSOZTLI,O,O,O,O,X
JSOZITL,O,X,O,X,O
JSOZILT,O,O,O,X,X
JSOZLTI,O,O,O,X,X
JSOZLIT,O,O,O,X,X
JZTILSO,X,X,X,O,X
JZTILOS,X,X,X,O,O
JZTISLO,X,X,O,X,X
JZTISOL,X,X,O,X,O
JZTIOLS,X,X,X,O,O
JZTIOSL,X,X,O,X,O
JZTLISO,X,X,X,O,X
JZTLIOS,X,X,X,O,O
JZTLSIO,X,X,X,O,X
JZTLSOI,X,X,X,O,X
JZTLOIS,X,X,X,O,O
JZTLOSI,X,X,X,O,X
JZTSILO,X,X,O,X,X
JZTSIOL,X,X,O,X,O
JZTSLIO,X,X,O,O,X
JZTSLOI,X,X,O,O,X
JZTSOIL,X,X,O,X,O
JZTSOLI,X,X,O,O,X
JZTOILS,X,X,X,O,O
JZTOISL,X,X,O,X,O
JZTOLIS,X,X,X,O,O
JZTOLSI,X,X,X,O,X
JZTOSIL,X,X,O,X,O
JZTOSLI,X,X,O,O,X
JZITLSO,X,X,X,O,X
JZITLOS,X,X,X,O,O
JZITSLO,X,X,O,X,X
JZITSOL,X,X,O,X,O
JZITOLS,X,X,X,O,O
JZITOSL,X,X,O,X,O
JZILTSO,X,X,X,X,X
JZILTOS,X,X,X,X,O
JZILSTO,X,X,X,X,X
JZILSOT,X,X,X,X,X
JZILOTS,X,X,X,X,O
JZILOST,X,X,X,X,X
JZISTLO,X,X,O,X,X
JZISTOL,X,X,O,X,O
JZISLTO,X,X,O,X,X
JZISLOT,X,X,O,X,X
JZISOTL,X,X,O,X,O
JZISOLT,X,X,O,X,X
JZIOTLS,X,X,X,O,O
JZIOTSL,X,X,O,X,O
JZIOLTS,X,X,X,X,O
JZIOLST,X,X,X,X,X
JZIOSTL,X,X,O,X,O
JZIOSLT,X,X,O,X,X
JZLTISO,X,X,X,O,X
JZLTIOS,X,X,X,O,O
JZLTSIO,X,X,X,O,X
JZLTSOI,X,X,X,O,X
JZLTOIS,X,X,X,O,O
JZLTOSI,X,X,X,O,X
JZLITSO,X,X,X,X,X
JZLITOS,X,X,X,X,O
JZLISTO,X,X,X,X,X
JZLISOT,X,X,X,X,X
JZLIOTS,X,X,X,X,O
JZLIOST,X,X,X,X,X
JZLSTIO,X,X,X,X,X
JZLSTOI,X,X,X,X,X
JZLSITO,X,X,X,X,X
JZLSIOT,X,X,X,X,X
JZLSOTI,X,X,X,X,X
JZLSOIT,X,X,X,X,X
JZLOTIS,X,X,X,O,O
JZLOTSI,X,X,X,O,X
JZLOITS,X,X,X,X,O
JZLOIST,X,X,X,X,X
JZLOSTI,X,X,X,X,X
JZLOSIT,X,X,X,X,X
JZSTILO,X,X,O,X,X
JZSTIOL,X,X,O,X,O
JZSTLIO,X,X,O,O,X
JZSTLOI,X,X,O,O,X
JZSTOIL,X,X,O,X,O
JZSTOLI,X,X,O,O,X
JZSITLO,X,X,O,X,X
JZSITOL,X,X,O,X,O
JZSILTO,X,X,O,X,X
JZSILOT,X,X,O,X,X
JZSIOTL,X,X,O,X,O
JZSIOLT,X,X,O,X,X
JZSLTIO,X,X,O,X,X
JZSLTOI,X,X,O,X,X
JZSLITO,X,X,O,X,X
JZSLIOT,X,X,O,X,X
JZSLOTI,X,X,O,X,X
JZSLOIT,X,X,O,X,X
JZSOTIL,X,X,O,X,O
JZSOTLI,X,X,O,O,X
JZSOITL,X,X,O,X,O
JZSOILT,X,X,O,X,X
JZSOLTI,X,X,O,X,X
JZSOLIT,X,X,O,X,X
JZOTILS,X,X,X,O,O
JZOTISL,X,X,O,X,O
JZOTLIS,X,X,X,O,O
JZOTLSI,X,X,X,O,X
JZOTSIL,X,X,O,X,O
JZOTSLI,X,X,O,O,X
JZOITLS,X,X,X,O,O
JZOITSL,X,X,O,X,O
JZOILTS,X,X,X,X,O
JZOILST,X,X,X,X,X
JZOISTL,X,X,O,X,O
JZOISLT,X,X,O,X,X
JZOLTIS,X,X,X,O,O
JZOLTSI,X,X,X,O,X
JZOLITS,X,X,X,X,O
JZOLIST,X,X,X,X,X
JZOLSTI,X,X,X,X,X
JZOLSIT,X,X,X,X,X
JZOSTIL,X,X,O,X,O
JZOSTLI,X,X,O,O,X
JZOSITL,X,X,O,X,O
JZOSILT,X,X,O,X,X
JZOSLTI,X,X,O,X,X
JZOSLIT,X,X,O,X,X
JOTILSZ,O,O,O,O,X
JOTILZS,O,O,X,O,O
JOTISLZ,O,O,O,X,X
JOTISZL,O,O,O,X,O
JOTIZLS,O,O,X,O,O
JOTIZSL,O,O,O,X,O
JOTLISZ,O,O,O,O,X
JOTLIZS,O,O,X,O,O
JOTLSIZ,O,O,O,O,X
JOTLSZI,O,O,O,O,X
JOTLZIS,O,O,X,O,O
JOTLZSI,O,O,X,O,X
JOTSILZ,O,O,O,X,X
JOTSIZL,O,O,O,X,O
JOTSLIZ,O,O,O,O,X
JOTSLZI,O,O,O,O,X
JOTSZIL,O,O,O,X,O
JOTSZLI,O,O,O,O,X
JOTZILS,O,O,X,O,O
JOTZISL,O,O,O,X,O
JOTZLIS,O,O,X,O,O
JOTZLSI,O,O,X,O,X
JOTZSIL,O,O,O,X,O
JOTZSLI,O,O,O,O,X
JOITLSZ,O,X,O,O,X
JOITLZS,O,X,X,O,O
JOITSLZ,O,X,O,X,X
JOITSZL,O,X,O,X,O
JOITZLS,O,X,X,O,O
JOITZSL,O,X,O,X,O
JOILTSZ,O,X,O,X,X
JOILTZS,O,X,X,X,O
JOILSTZ,O,X,O,X,X
JOILSZT,O,X,O,X,X
JOILZTS,X,X,X,X,O
JOILZST,X,X,X,X,X
JOISTLZ,O,X,O,X,X
JOISTZL,O,X,O,X,O
JOISLTZ,O,X,O,X,X
JOISLZT,O,X,O,X,X
JOISZTL,O,X,O,X,O
JOISZLT,O,X,O,X,X
JOIZTLS,X,X,X,O,O
JOIZTSL,X,X,O,X,O
JOIZLTS,X,X,X,X,O
JOIZLST,X,X,X,X,X
JOIZSTL,X,X,O,X,O
JOIZSLT,X,X,O,X,X
JOLTISZ,O,O,O,O,X
JOLTIZS,O,O,X,O,O
JOLTSIZ,O,O,O,O,X
JOLTSZI,O,O,O,O,X
JOLTZIS,O,O,X,O,O
JOLTZSI,O,O,X,O,X
JOLITSZ,O,X,O,X,X
JOLITZS,O,X,X,X,O
JOLISTZ,O,X,O,X,X
JOLISZT,O,X,O,X,X
JOLIZTS,X,X,X,X,O
JOLIZST,X,X,X,X,X
JOLSTIZ,O,O,O,X,X
JOLSTZI,O,O,O,X,X
JOLSITZ,O,X,O,X,X
JOLSIZT,O,X,O,X,X
JOLSZTI,O,O,O,X,X
JOLSZIT,O,O,O,X,X
JOLZTIS,X,X,X,O,O
JOLZTSI,X,X,X,O,X
JOLZITS,X,X,X,X,O
JOLZIST,X,X,X,X,X
JOLZSTI,X,X,X,X,X
JOLZSIT,X,X,X,X,X
JOSTILZ,O,O,O,X,X
JOSTIZL,O,O,O,X,O
JOSTLIZ,O,O,O,O,X
JOSTLZI,O,O,O,O,X
JOSTZIL,O,O,O,X,O
JOSTZLI,O,O,O,O,X
JOSITLZ,O,X,O,X,X
JOSITZL,O,X,O,X,O
JOSILTZ,O,X,O,X,X
JOSILZT,O,X,O,X,X
JOSIZTL,O,X,O,X,O
JOSIZLT,O,X,O,X,X
JOSLTIZ,O,O,O,X,X
JOSLTZI,O,O,O,X,X
JOSLITZ,O,X,O,X,X
JOSLIZT,O,X,O,X,X
JOSLZTI,O,O,O,X,X
JOSLZIT,O,O,O,X,X
JOSZTIL,O,O,O,X,O
JOSZTLI,O,O,O,O,X
JOSZITL,O,X,O,X,O
JOSZILT,O,O,O,X,X
JOSZLTI,O,O,O,X,X
JOSZLIT,O,O,O,X,X
JOZTILS,X,X,X,O,O
JOZTISL,X,X,O,X,O
JOZTLIS,X,X,X,O,O
JOZTLSI,X,X,X,O,X
JOZTSIL,X,X,O,X,O
JOZTSLI,X,X,O,O,X
JOZITLS,X,X,X,O,O
JOZITSL,X,X,O,X,O
JOZILTS,X,X,X,X,O
JOZILST,X,X,X,X,X
JOZISTL,X,X,O,X,O
JOZISLT,X,X,O,X,X
JOZLTIS,X,X,X,O,O
JOZLTSI,X,X,X,O,X
JOZLITS,X,X,X,X,O
JOZLIST,X,X,X,X,X
JOZLSTI,X,X,X,X,X
JOZLSIT,X,X,X,X,X
JOZSTIL,X,X,O,X,O
JOZSTLI,X,X,O,O,X
JOZSITL,X,X,O,X,O
JOZSILT,X,X,O,X,X
JOZSLTI,X,X,O,X,X
JOZSLIT,X,X,O,X,X
STILJZO,O,O,O,X,X
STILJOZ,O,O,O,X,X
STILZJO,O,O,O,X,X
STILZOJ,O,O,X,X,X
STILOJZ,O,O,X,X,X
STILOZJ,O,O,X,X,X
STIJLZO,O,O,O,X,X
STIJLOZ,O,O,O,X,X
STIJZLO,O,O,O,X,X
STIJZOL,O,O,O,X,O
STIJOLZ,O,O,O,X,X
STIJOZL,O,O,O,X,O
STIZLJO,O,O,O,X,X
STIZLOJ,O,O,X,X,X
STIZJLO,O,O,O,X,X
STIZJOL,O,O,O,X,O
STIZOLJ,O,O,X,X,X
STIZOJL,O,O,O,X,O
STIOLJZ,O,O,X,X,X
STIOLZJ,O,O,X,X,X
STIOJLZ,O,O,O,X,X
STIOJZL,O,O,O,X,O
STIOZLJ,O,O,X,X,X
STIOZJL,O,O,O,X,O
STLIJZO,O,O,O,O,X
STLIJOZ,O,O,O,O,X
STLIZJO,O,O,O,O,X
STLIZOJ,O,O,X,O,X
STLIOJZ,O,O,X,O,X
STLIOZJ,O,O,X,O,X
STLJIZO,O,O,O,O,X
STLJIOZ,O,O,O,O,X
STLJZIO,O,O,O,O,X
STLJZOI,O,O,O,O,X
STLJOIZ,O,O,O,O,X
STLJOZI,O,O,O,O,X
STLZIJO,O,O,O,O,X
STLZIOJ,O,O,X,O,X
STLZJIO,O,O,O,O,X
STLZJOI,O,O,O,O,X
STLZOIJ,O,O,X,O,X
STLZOJI,O,O,X,O,X
STLOIJZ,O,O,X,O,X
STLOIZJ,O,O,X,O,X
STLOJIZ,O,O,X,O,X
STLOJZI,O,O,X,O,X
STLOZIJ,O,O,X,O,X
STLOZJI,O,O,X,O,X
STJILZO,O,O,O,X,X
STJILOZ,O,O,O,X,X
STJIZLO,O,O,O,X,X
STJIZOL,O,O,O,X,O
STJIOLZ,O,O,O,X,X
STJIOZL,O,O,O,X,O
STJLIZO,O,O,O,O,X
STJLIOZ,O,O,O,O,X
STJLZIO,O,O,O,O,X
STJLZOI,O,O,O,O,X
STJLOIZ,O,O,O,O,X
STJLOZI,O,O,O,O,X
STJZILO,O,O,O,X,X
STJZIOL,O,O,O,X,O
STJZLIO,O,O,O,O,X
STJZLOI,O,O,O,O,X
STJZOIL,O,O,O,X,O
STJZOLI,O,O,O,O,X
STJOILZ,O,O,O,X,X
STJOIZL,O,O,O,X,O
STJOLIZ,O,O,O,O,X
STJOLZI,O,O,O,O,X
STJOZIL,O,O,O,X,O
STJOZLI,O,O,O,O,X
STZILJO,O,O,O,X,X
STZILOJ,O,O,X,X,X
STZIJLO,O,O,O,X,X
STZIJOL,O,O,O,X,O
STZIOLJ,O,O,X,X,X
STZIOJL,O,O,O,X,O
STZLIJO,O,O,O,O,X
STZLIOJ,O,O,X,O,X
STZLJIO,O,O,O,O,X
STZLJOI,O,O,O,O,X
STZLOIJ,O,O,X,O,X
STZLOJI,O,O,X,O,X
STZJILO,O,O,O,X,X
STZJIOL,O,O,O,X,O
STZJLIO,O,O,O,O,X
STZJLOI,O,O,O,O,X
STZJOIL,O,O,O,X,O
STZJOLI,O,O,O,O,X
STZOILJ,O,O,X,X,X
STZOIJL,O,O,O,X,O
STZOLIJ,O,O,X,O,X
STZOLJI,O,O,X,O,X
STZOJIL,O,O,O,X,O
STZOJLI,O,O,O,O,X
STOILJZ,O,O,X,X,X
STOILZJ,O,O,X,X,X
STOIJLZ,O,O,O,X,X
STOIJZL,O,O,O,X,O
STOIZLJ,O,O,X,X,X
STOIZJL,O,O,O,X,O
STOLIJZ,O,O,X,O,X
STOLIZJ,O,O,X,O,X
STOLJIZ,O,O,X,O,X
STOLJZI,O,O,X,O,X
STOLZIJ,O,O,X,O,X
STOLZJI,O,O,X,O,X
STOJILZ,O,O,O,X,X
STOJIZL,O,O,O,X,O
STOJLIZ,O,O,O,O,X
STOJLZI,O,O,O,O,X
STOJZIL,O,O,O,X,O
STOJZLI,O,O,O,O,X
STOZILJ,O,O,X,X,X
STOZIJL,O,O,O,X,O
STOZLIJ,O,O,X,O,X
STOZLJI,O,O,X,O,X
STOZJIL,O,O,O,X,O
STOZJLI,O,O,O,O,X
SITLJZO,O,O,O,X,X
SITLJOZ,O,O,O,X,X
SITLZJO,O,O,O,X,X
SITLZOJ,O,O,X,X,X
SITLOJZ,O,O,X,X,X
SITLOZJ,O,O,X,X,X
SITJLZO,O,O,O,X,X
SITJLOZ,O,O,O,X,X
SITJZLO,O,O,O,X,X
SITJZOL,O,O,O,X,O
SITJOLZ,O,O,O,X,X
SITJOZL,O,O,O,X,O
SITZLJO,O,O,O,X,X
SITZLOJ,O,O,X,X,X
SITZJLO,O,O,O,X,X
SITZJOL,O,O,O,X,O
SITZOLJ,O,O,X,X,X
SITZOJL,O,O,O,X,O
SITOLJZ,O,O,X,X,X
SITOLZJ,O,O,X,X,X
SITOJLZ,O,O,O,X,X
SITOJZL,O,O,O,X,O
SITOZLJ,O,O,X,X,X
SITOZJL,O,O,O,X,O
SILTJZO,O,O,O,X,X
SILTJOZ,O,O,O,X,X
SILTZJO,O,O,O,X,X
SILTZOJ,O,O,X,X,X
SILTOJZ,O,X,X,X,X
SILTOZJ,O,O,X,X,X
SILJTZO,O,X,O,X,X
SILJTOZ,O,X,O,X,X
SILJZTO,O,X,O,X,X
SILJZOT,X,X,O,X,X
SILJOTZ,X,X,O,X,X
SILJOZT,X,X,O,X,X
SILZTJO,O,O,O,X,X
SILZTOJ,O,O,X,X,X
