sequence,v115@ThB8AeA8DeI8KeOEJvhF8kBfmBlhBaoB5oBTsB,v115@ThB8AeA8DeI8KeKEJvhFzfBfmB0hBmiB5oB1xB,v115@ThB8AeA8DeI8Kex/IvhFlhBcnBTkBmlB6tBXtB,v115@ThB8AeA8DeI8Kem/IvhFRhBcnBTkBFmBXoB6tB,v115@ThB8AeA8DeI8Kem/IvhFfmB0hBliB5oBTpByxB,v115@ThB8AeA8DeI8KeKEJvhFzfBfmBlhBcnBeoB5oB
TOSILJZ,O,O,X,X,O,X
TOSILZJ,O,O,X,X,O,X
TOSIJLZ,O,O,X,X,O,X
TOSIJZL,O,O,X,O,O,X
TOSIZLJ,O,O,X,O,O,X
TOSIZJL,O,O,X,O,O,X
TOSLIJZ,O,O,X,X,O,X
TOSLIZJ,O,O,X,X,O,X
TOSLJIZ,O,O,X,X,O,X
TOSLJZI,O,O,X,O,O,X
TOSLZIJ,O,O,X,O,O,X
TOSLZJI,O,O,X,O,O,X
TOSJILZ,O,O,X,X,O,X
TOSJIZL,O,O,X,O,O,X
TOSJLIZ,O,O,X,X,O,X
TOSJLZI,O,O,X,O,O,X
TOSJZIL,O,O,X,O,O,X
TOSJZLI,O,O,X,O,O,X
TOSZILJ,O,O,X,O,O,X
TOSZIJL,O,O,X,O,O,X
TOSZLIJ,O,O,X,O,O,X
TOSZLJI,O,O,X,O,O,X
TOSZJIL,O,O,X,O,O,X
TOSZJLI,O,O,X,O,O,X
TOZILJS,O,X,O,O,X,X
TOZILSJ,O,X,X,O,X,X
TOZIJLS,O,X,O,O,X,X
TOZIJSL,O,X,O,O,X,X
TOZISLJ,O,X,X,O,X,X
TOZISJL,O,X,X,O,X,X
TOZLIJS,O,X,O,O,X,X
TOZLISJ,O,X,X,O,X,X
TOZLJIS,O,X,O,O,X,X
TOZLJSI,O,X,O,O,X,X
TOZLSIJ,O,X,X,O,X,X
TOZLSJI,O,X,X,O,X,X
TOZJILS,O,X,O,O,X,X
TOZJISL,O,X,O,O,X,X
TOZJLIS,O,X,O,O,X,X
TOZJLSI,O,X,O,O,X,X
TOZJSIL,O,X,O,O,X,X
TOZJSLI,O,X,O,O,X,X
TOZSILJ,O,X,X,O,X,X
TOZSIJL,O,X,X,O,X,X
TOZSLIJ,O,X,X,O,X,X
TOZSLJI,O,X,X,O,X,X
TOZSJIL,O,X,X,O,X,X
TOZSJLI,O,X,X,O,X,X
ITLJSZO,X,O,X,X,O,O
ITLJSOZ,X,O,X,X,O,O
ITLJZSO,X,O,X,X,O,O
ITLJZOS,X,O,O,X,X,O
ITLJOSZ,X,O,O,X,O,O
ITLJOZS,X,O,O,X,O,O
ITLSJZO,O,O,X,X,O,O
ITLSJOZ,X,O,X,X,O,O
ITLSZJO,O,O,X,X,O,X
ITLSZOJ,O,O,X,X,O,X
ITLSOJZ,X,O,X,X,O,O
ITLSOZJ,O,O,X,X,O,X
ITLZJSO,O,O,X,X,O,X
ITLZJOS,X,O,O,X,X,X
ITLZSJO,O,O,X,X,O,X
ITLZSOJ,O,O,X,O,O,X
ITLZOJS,X,O,X,O,O,X
ITLZOSJ,X,O,X,O,O,X
ITLOJSZ,X,O,X,X,O,O
ITLOJZS,X,O,X,O,O,O
ITLOSJZ,X,O,X,X,O,O
ITLOSZJ,X,O,X,X,O,X
ITLOZJS,X,O,X,O,O,X
ITLOZSJ,X,O,X,O,O,X
ITJLSZO,X,O,X,X,O,O
ITJLSOZ,X,O,X,X,O,O
ITJLZSO,X,O,X,X,O,O
ITJLZOS,X,O,O,X,X,O
ITJLOSZ,X,O,O,X,O,O
ITJLOZS,X,O,O,X,X,O
ITJSLZO,X,O,X,X,O,O
ITJSLOZ,X,O,X,X,O,O
ITJSZLO,X,O,X,X,O,O
ITJSZOL,X,O,X,X,O,O
ITJSOLZ,X,O,X,X,X,X
ITJSOZL,X,O,X,X,X,X
ITJZLSO,X,O,X,X,X,O
ITJZLOS,X,O,O,X,X,O
ITJZSLO,X,O,X,X,X,O
ITJZSOL,X,O,X,O,X,O
ITJZOLS,X,X,O,O,X,X
ITJZOSL,X,X,O,O,X,X
ITJOLSZ,X,O,O,X,X,X
ITJOLZS,X,O,O,O,X,X
ITJOSLZ,X,O,O,X,X,X
ITJOSZL,X,O,O,O,X,X
ITJOZLS,X,X,O,O,X,X
ITJOZSL,X,X,O,O,X,X
ITSLJZO,O,O,X,X,O,O
ITSLJOZ,X,O,X,X,O,O
ITSLZJO,O,O,X,X,O,X
ITSLZOJ,O,O,X,X,O,X
ITSLOJZ,O,O,X,X,O,O
ITSLOZJ,O,O,X,X,O,X
ITSJLZO,O,O,X,X,O,O
ITSJLOZ,X,O,X,X,O,O
ITSJZLO,O,O,X,X,O,O
ITSJZOL,O,O,X,X,O,O
ITSJOLZ,O,O,X,X,X,X
ITSJOZL,O,O,X,X,X,X
ITSZLJO,O,O,X,X,O,X
ITSZLOJ,O,O,X,O,O,X
ITSZJLO,O,O,X,X,O,X
ITSZJOL,O,O,X,O,O,X
ITSZOLJ,O,O,X,O,O,X
ITSZOJL,O,O,X,O,O,X
ITSOLJZ,O,O,X,X,O,X
ITSOLZJ,O,O,X,X,O,X
ITSOJLZ,O,O,X,X,O,X
ITSOJZL,O,O,X,O,O,X
ITSOZLJ,O,O,X,O,O,X
ITSOZJL,O,O,X,O,O,X
ITZLJSO,O,O,X,X,X,X
ITZLJOS,X,O,O,X,X,X
ITZLSJO,O,O,X,X,X,X
ITZLSOJ,O,O,X,O,X,X
ITZLOJS,X,O,X,O,X,X
ITZLOSJ,X,O,X,O,X,X
ITZJLSO,O,O,X,X,X,X
ITZJLOS,X,O,O,X,X,X
ITZJSLO,O,O,X,X,X,X
ITZJSOL,O,O,X,O,X,X
ITZJOLS,O,X,O,O,X,X
ITZJOSL,O,X,O,O,X,X
ITZSLJO,O,O,X,X,X,X
ITZSLOJ,O,O,X,O,X,X
ITZSJLO,O,O,X,X,X,X
ITZSJOL,O,O,X,O,X,X
ITZSOLJ,O,O,X,O,X,X
ITZSOJL,O,O,X,O,X,X
ITZOLJS,O,X,X,O,X,X
ITZOLSJ,O,X,X,O,X,X
ITZOJLS,O,X,X,O,X,X
ITZOJSL,O,X,X,O,X,X
ITZOSLJ,O,X,X,O,X,X
ITZOSJL,O,X,X,O,X,X
ITOLJSZ,X,O,X,X,O,X
ITOLJZS,X,O,X,O,O,X
ITOLSJZ,O,O,X,X,O,X
ITOLSZJ,O,O,X,X,O,X
ITOLZJS,O,O,X,O,O,X
ITOLZSJ,O,O,X,O,O,X
ITOJLSZ,X,O,X,X,O,X
ITOJLZS,X,O,X,O,O,X
ITOJSLZ,X,O,X,X,O,X
ITOJSZL,X,O,X,O,O,X
ITOJZLS,X,X,X,O,X,X
ITOJZSL,X,X,X,O,X,X
ITOSLJZ,O,O,X,X,O,X
ITOSLZJ,O,O,X,X,O,X
ITOSJLZ,O,O,X,X,O,X
ITOSJZL,O,O,X,O,O,X
ITOSZLJ,O,O,X,O,O,X
ITOSZJL,O,O,X,O,O,X
ITOZLJS,O,X,X,O,X,X
ITOZLSJ,O,X,X,O,X,X
ITOZJLS,O,X,X,O,X,X
ITOZJSL,O,X,X,O,X,X
ITOZSLJ,O,X,X,O,X,X
ITOZSJL,O,X,X,O,X,X
ILTJSZO,X,O,X,X,O,O
ILTJSOZ,X,O,X,X,O,O
ILTJZSO,X,O,X,X,O,O
ILTJZOS,X,O,O,X,X,O
ILTJOSZ,X,O,O,X,O,O
ILTJOZS,X,O,O,X,O,O
ILTSJZO,O,O,X,X,O,O
ILTSJOZ,X,O,X,X,O,O
ILTSZJO,O,O,X,X,O,X
ILTSZOJ,O,O,X,X,O,X
ILTSOJZ,X,O,X,X,O,O
ILTSOZJ,O,O,X,X,O,X
ILTZJSO,O,O,X,X,O,X
ILTZJOS,X,O,O,X,X,X
ILTZSJO,O,O,X,X,O,X
ILTZSOJ,O,O,X,X,O,X
ILTZOJS,X,O,X,X,O,X
ILTZOSJ,X,O,X,X,O,X
ILTOJSZ,X,O,X,X,O,O
ILTOJZS,X,O,X,X,O,O
ILTOSJZ,X,O,X,X,O,O
ILTOSZJ,X,O,X,X,O,X
ILTOZJS,X,O,X,X,O,X
ILTOZSJ,X,O,X,X,O,X
ILJTSZO,X,O,X,X,O,O
ILJTSOZ,X,O,X,X,O,O
ILJTZSO,X,O,X,X,O,O
ILJTZOS,X,O,O,X,X,O
ILJTOSZ,X,O,O,X,O,O
ILJTOZS,X,O,O,X,O,O
ILJSTZO,O,O,X,X,O,O
ILJSTOZ,X,O,X,X,O,O
ILJSZTO,O,O,X,X,O,O
ILJSZOT,O,O,X,X,O,O
ILJSOTZ,X,O,X,X,O,O
ILJSOZT,X,O,X,X,O,O
ILJZTSO,O,X,X,X,O,O
ILJZTOS,X,X,O,X,X,O
ILJZSTO,O,X,X,X,O,O
ILJZSOT,O,X,X,X,O,O
ILJZOTS,X,X,O,X,X,O
ILJZOST,O,X,O,X,X,O
ILJOTSZ,X,O,O,X,O,O
ILJOTZS,X,O,O,X,O,O
ILJOSTZ,X,O,O,X,O,O
ILJOSZT,X,O,O,X,O,O
ILJOZTS,X,X,O,X,O,O
ILJOZST,X,X,O,X,O,O
ILSTJZO,O,O,X,X,O,O
ILSTJOZ,X,O,X,X,O,O
ILSTZJO,O,O,X,X,O,O
ILSTZOJ,O,O,X,X,O,O
ILSTOJZ,O,O,X,X,O,O
ILSTOZJ,O,O,X,X,O,O
ILSJTZO,O,O,X,X,O,O
ILSJTOZ,X,O,X,X,O,O
ILSJZTO,O,O,X,X,O,O
ILSJZOT,O,O,X,X,O,O
ILSJOTZ,X,O,X,X,O,O
ILSJOZT,X,O,X,X,O,O
ILSZTJO,O,O,X,X,O,O
ILSZTOJ,O,O,X,X,O,O
ILSZJTO,O,O,X,X,O,O
ILSZJOT,O,O,X,X,O,O
ILSZOTJ,O,O,X,X,O,O
ILSZOJT,O,O,X,X,O,O
ILSOTJZ,O,O,X,X,O,O
ILSOTZJ,O,O,X,X,O,O
ILSOJTZ,O,O,X,X,O,O
ILSOJZT,O,O,X,X,O,O
ILSOZTJ,O,O,X,X,O,O
ILSOZJT,O,O,X,X,O,O
ILZTJSO,O,O,X,X,O,X
ILZTJOS,X,O,O,X,X,X
ILZTSJO,O,O,X,X,O,X
ILZTSOJ,O,O,X,X,O,X
ILZTOJS,X,O,X,X,O,X
ILZTOSJ,X,O,X,X,O,X
ILZJTSO,O,X,X,X,O,O
ILZJTOS,X,X,O,X,X,O
ILZJSTO,O,X,X,X,O,O
ILZJSOT,O,X,X,X,O,O
ILZJOTS,O,X,O,X,X,O
ILZJOST,O,X,O,X,X,O
ILZSTJO,O,O,X,X,O,O
ILZSTOJ,O,O,X,X,O,O
ILZSJTO,O,O,X,X,O,O
ILZSJOT,O,O,X,X,O,O
ILZSOTJ,O,O,X,X,O,O
ILZSOJT,O,O,X,X,O,O
ILZOTJS,O,O,O,X,O,X
ILZOTSJ,O,O,X,X,O,X
ILZOJTS,O,X,O,X,O,O
ILZOJST,O,X,O,X,O,O
ILZOSTJ,O,O,X,X,O,O
ILZOSJT,O,O,O,X,O,O
ILOTJSZ,X,O,O,X,O,O
ILOTJZS,X,O,O,X,O,O
ILOTSJZ,O,O,X,X,O,O
ILOTSZJ,O,O,X,X,O,X
ILOTZJS,O,O,O,X,O,X
ILOTZSJ,O,O,X,X,O,X
ILOJTSZ,X,O,O,X,O,O
ILOJTZS,X,O,O,X,O,O
ILOJSTZ,O,O,O,X,O,O
ILOJSZT,O,O,O,X,O,O
ILOJZTS,O,X,O,X,O,O
ILOJZST,O,X,O,X,O,O
ILOSTJZ,O,O,X,X,O,O
ILOSTZJ,O,O,X,X,O,O
ILOSJTZ,O,O,O,X,O,O
ILOSJZT,O,O,O,X,O,O
ILOSZTJ,O,O,X,X,O,O
ILOSZJT,O,O,O,X,O,O
ILOZTJS,O,O,O,X,O,X
ILOZTSJ,O,O,X,X,O,X
ILOZJTS,O,X,O,X,O,O
ILOZJST,O,X,O,X,O,O
ILOZSTJ,O,O,X,X,O,O
ILOZSJT,O,O,O,X,O,O
IJTLSZO,X,O,X,X,O,O
IJTLSOZ,X,O,X,X,O,O
IJTLZSO,X,O,X,X,O,O
IJTLZOS,X,O,O,X,X,O
IJTLOSZ,X,O,O,X,O,O
IJTLOZS,X,O,O,X,X,O
IJTSLZO,X,O,X,X,O,O
IJTSLOZ,X,O,X,X,O,O
IJTSZLO,X,O,X,X,O,O
IJTSZOL,X,O,X,X,O,O
IJTSOLZ,X,O,X,X,X,X
IJTSOZL,X,O,X,X,X,X
IJTZLSO,X,O,X,X,X,O
IJTZLOS,X,O,O,X,X,O
IJTZSLO,X,O,X,X,X,O
IJTZSOL,X,O,X,X,X,O
IJTZOLS,X,X,O,X,X,X
IJTZOSL,X,X,O,X,X,X
IJTOLSZ,X,O,O,X,X,X
IJTOLZS,X,O,O,X,X,X
IJTOSLZ,X,O,O,X,X,X
IJTOSZL,X,O,O,X,X,X
IJTOZLS,X,X,O,X,X,X
IJTOZSL,X,X,O,X,X,X
IJLTSZO,X,O,X,X,O,O
IJLTSOZ,X,O,X,X,O,O
IJLTZSO,X,O,X,X,O,O
IJLTZOS,X,O,O,X,X,O
IJLTOSZ,X,O,O,X,O,O
IJLTOZS,X,O,O,X,O,O
IJLSTZO,O,O,X,X,O,O
IJLSTOZ,X,O,X,X,O,O
IJLSZTO,O,O,X,X,O,O
IJLSZOT,O,O,X,X,O,O
IJLSOTZ,X,O,X,X,O,O
IJLSOZT,X,O,X,X,O,O
IJLZTSO,O,X,X,X,O,O
IJLZTOS,X,X,O,X,X,O
IJLZSTO,O,X,X,X,O,O
IJLZSOT,O,X,X,X,O,O
IJLZOTS,X,X,O,X,X,O
IJLZOST,O,X,O,X,X,O
IJLOTSZ,X,O,O,X,O,O
IJLOTZS,X,O,O,X,O,O
IJLOSTZ,X,O,O,X,O,O
IJLOSZT,X,O,O,X,O,O
IJLOZTS,X,X,O,X,O,O
IJLOZST,X,X,O,X,O,O
IJSTLZO,O,O,X,X,O,O
IJSTLOZ,X,O,X,X,O,O
IJSTZLO,O,O,X,X,O,O
IJSTZOL,O,O,X,X,O,O
IJSTOLZ,O,O,X,X,X,X
IJSTOZL,O,O,X,X,X,X
IJSLTZO,O,O,X,X,O,O
IJSLTOZ,X,O,X,X,O,O
IJSLZTO,O,O,X,X,O,O
IJSLZOT,O,O,X,X,O,O
IJSLOTZ,X,O,X,X,O,O
IJSLOZT,X,O,X,X,O,O
IJSZTLO,O,O,X,X,O,O
IJSZTOL,O,O,X,X,O,O
IJSZLTO,O,O,X,X,O,O
IJSZLOT,O,O,X,X,O,O
IJSZOTL,O,X,X,X,O,O
IJSZOLT,O,X,X,X,O,O
IJSOTLZ,O,X,X,X,O,X
IJSOTZL,O,X,X,X,O,X
IJSOLTZ,O,X,X,X,O,O
IJSOLZT,O,X,X,X,O,O
IJSOZTL,O,X,X,X,O,O
IJSOZLT,O,X,X,X,O,O
IJZTLSO,O,X,X,X,X,O
IJZTLOS,X,X,O,X,X,O
IJZTSLO,O,X,X,X,X,O
IJZTSOL,O,X,X,X,X,O
IJZTOLS,O,X,O,X,X,X
IJZTOSL,O,X,O,X,X,X
IJZLTSO,O,X,X,X,O,O
IJZLTOS,X,X,O,X,X,O
IJZLSTO,O,X,X,X,O,O
IJZLSOT,O,X,X,X,O,O
IJZLOTS,O,X,O,X,X,O
IJZLOST,O,X,O,X,X,O
IJZSTLO,O,X,X,X,O,O
IJZSTOL,O,X,X,X,O,O
IJZSLTO,O,X,X,X,O,O
IJZSLOT,O,X,X,X,O,O
IJZSOTL,O,X,X,X,O,O
IJZSOLT,O,X,X,X,O,O
IJZOTLS,O,X,O,X,X,X
IJZOTSL,O,X,O,X,X,X
IJZOLTS,O,X,O,X,X,O
IJZOLST,O,X,O,X,X,O
IJZOSTL,O,X,O,X,X,O
IJZOSLT,O,X,O,X,X,O
IJOTLSZ,X,X,O,X,O,X
IJOTLZS,X,X,O,X,O,X
IJOTSLZ,X,X,O,X,O,X
IJOTSZL,X,X,O,X,O,X
IJOTZLS,X,X,O,X,X,X
IJOTZSL,X,X,O,X,X,X
IJOLTSZ,X,X,O,X,O,O
IJOLTZS,X,X,O,X,O,O
IJOLSTZ,O,X,O,X,O,O
IJOLSZT,O,X,O,X,O,O
IJOLZTS,O,X,O,X,O,O
IJOLZST,O,X,O,X,O,O
IJOSTLZ,O,X,O,X,O,X
IJOSTZL,O,X,O,X,O,X
IJOSLTZ,O,X,O,X,O,O
IJOSLZT,O,X,O,X,O,O
IJOSZTL,O,X,O,X,O,O
IJOSZLT,O,X,O,X,O,O
IJOZTLS,O,X,O,X,X,X
IJOZTSL,O,X,O,X,X,X
IJOZLTS,O,X,O,X,O,O
IJOZLST,O,X,O,X,O,O
IJOZSTL,O,X,O,X,O,O
IJOZSLT,O,X,O,X,O,O
ISTLJZO,O,O,X,X,O,O
ISTLJOZ,X,O,X,X,O,O
ISTLZJO,O,O,X,X,O,O
ISTLZOJ,O,O,X,X,O,O
ISTLOJZ,O,O,X,X,O,O
ISTLOZJ,O,O,X,X,O,O
ISTJLZO,O,O,X,X,O,O
ISTJLOZ,X,O,X,X,O,O
ISTJZLO,O,O,X,X,O,O
ISTJZOL,O,O,X,X,O,O
ISTJOLZ,O,O,X,X,X,X
ISTJOZL,O,O,X,X,X,X
ISTZLJO,O,O,X,X,O,O
ISTZLOJ,O,O,X,O,O,O
ISTZJLO,O,O,X,X,O,O
ISTZJOL,O,O,X,O,O,O
ISTZOLJ,O,O,X,O,O,X
ISTZOJL,O,O,X,O,O,X
ISTOLJZ,O,O,X,X,O,X
ISTOLZJ,O,O,X,X,O,X
ISTOJLZ,O,O,X,X,O,X
ISTOJZL,O,O,X,O,O,X
ISTOZLJ,O,O,X,O,O,X
ISTOZJL,O,O,X,O,O,X
ISLTJZO,O,O,X,X,O,O
ISLTJOZ,X,O,X,X,O,O
ISLTZJO,O,O,X,X,O,O
ISLTZOJ,O,O,X,X,O,O
ISLTOJZ,O,O,X,X,O,O
ISLTOZJ,O,O,X,X,O,O
ISLJTZO,O,O,X,X,O,O
ISLJTOZ,X,O,X,X,O,O
ISLJZTO,O,O,X,X,O,O
ISLJZOT,O,O,X,X,O,O
ISLJOTZ,X,O,X,X,O,O
ISLJOZT,X,O,X,X,O,O
ISLZTJO,O,O,X,X,O,O
ISLZTOJ,O,O,X,X,O,O
ISLZJTO,O,O,X,X,O,O
ISLZJOT,O,O,X,X,O,O
ISLZOTJ,O,O,X,X,O,O
ISLZOJT,O,O,X,X,O,O
ISLOTJZ,O,O,X,X,O,O
ISLOTZJ,O,O,X,X,O,O
ISLOJTZ,O,O,X,X,O,O
ISLOJZT,O,O,X,X,O,O
ISLOZTJ,O,O,X,X,O,O
ISLOZJT,O,O,X,X,O,O
ISJTLZO,O,O,X,X,O,O
ISJTLOZ,X,O,X,X,O,O
ISJTZLO,O,O,X,X,O,O
ISJTZOL,O,O,X,X,O,O
ISJTOLZ,O,O,X,X,X,X
ISJTOZL,O,O,X,X,X,X
ISJLTZO,O,O,X,X,O,O
ISJLTOZ,X,O,X,X,O,O
ISJLZTO,O,O,X,X,O,O
ISJLZOT,O,O,X,X,O,O
ISJLOTZ,X,O,X,X,O,O
ISJLOZT,X,O,X,X,O,O
ISJZTLO,O,O,X,X,O,O
ISJZTOL,O,O,X,X,O,O
ISJZLTO,O,O,X,X,O,O
ISJZLOT,O,O,X,X,O,O
ISJZOTL,O,X,X,X,O,O
ISJZOLT,O,X,X,X,O,O
ISJOTLZ,O,X,X,X,O,X
ISJOTZL,O,X,X,X,O,X
ISJOLTZ,O,X,X,X,O,O
ISJOLZT,O,X,X,X,O,O
ISJOZTL,O,X,X,X,O,O
ISJOZLT,O,X,X,X,O,O
ISZTLJO,O,O,X,X,O,O
ISZTLOJ,O,O,X,O,O,O
ISZTJLO,O,O,X,X,O,O
ISZTJOL,O,O,X,O,O,O
ISZTOLJ,O,O,X,O,O,X
ISZTOJL,O,O,X,O,O,X
ISZLTJO,O,O,X,X,O,O
ISZLTOJ,O,O,X,X,O,O
ISZLJTO,O,O,X,X,O,O
ISZLJOT,O,O,X,X,O,O
ISZLOTJ,O,O,X,X,O,O
ISZLOJT,O,O,X,X,O,O
ISZJTLO,O,O,X,X,O,O
ISZJTOL,O,O,X,X,O,O
ISZJLTO,O,O,X,X,O,O
ISZJLOT,O,O,X,X,O,O
ISZJOTL,O,X,X,X,O,O
ISZJOLT,O,X,X,X,O,O
ISZOTLJ,O,O,X,O,O,X
ISZOTJL,O,O,X,O,O,X
ISZOLTJ,O,O,X,X,O,X
ISZOLJT,O,O,X,X,O,X
ISZOJTL,O,X,X,O,O,X
ISZOJLT,O,X,X,X,O,X
ISOTLJZ,O,O,X,X,O,X
ISOTLZJ,O,O,X,X,O,X
ISOTJLZ,O,O,X,X,O,X
ISOTJZL,O,O,X,O,O,X
ISOTZLJ,O,O,X,O,O,X
ISOTZJL,O,O,X,O,O,X
ISOLTJZ,O,O,X,X,O,O
ISOLTZJ,O,O,X,X,O,X
ISOLJTZ,O,O,X,X,O,O
ISOLJZT,O,O,X,X,O,O
ISOLZTJ,O,O,X,X,O,X
ISOLZJT,O,O,X,X,O,O
ISOJTLZ,O,X,X,X,O,X
ISOJTZL,O,X,X,O,O,X
ISOJLTZ,O,X,X,X,O,O
ISOJLZT,O,X,X,X,O,O
ISOJZTL,O,X,X,O,O,O
ISOJZLT,O,X,X,X,O,O
ISOZTLJ,O,O,X,O,O,X
ISOZTJL,O,O,X,O,O,X
ISOZLTJ,O,O,X,X,O,X
ISOZLJT,O,O,X,X,O,X
ISOZJTL,O,X,X,O,O,X
ISOZJLT,O,X,X,X,O,X
IZTLJSO,O,O,X,X,X,X
IZTLJOS,X,O,O,X,X,X
IZTLSJO,O,O,X,X,X,X
IZTLSOJ,O,O,X,O,X,X
IZTLOJS,X,O,X,O,X,X
IZTLOSJ,X,O,X,O,X,X
IZTJLSO,O,O,X,X,X,X
IZTJLOS,X,O,O,X,X,X
IZTJSLO,O,O,X,X,X,X
IZTJSOL,O,O,X,O,X,X
IZTJOLS,O,X,O,O,X,X
IZTJOSL,O,X,O,O,X,X
IZTSLJO,O,O,X,X,X,X
IZTSLOJ,O,O,X,O,X,X
IZTSJLO,O,O,X,X,X,X
IZTSJOL,O,O,X,O,X,X
IZTSOLJ,O,O,X,O,X,X
IZTSOJL,O,O,X,O,X,X
IZTOLJS,O,X,X,O,X,X
IZTOLSJ,O,X,X,O,X,X
IZTOJLS,O,X,X,O,X,X
IZTOJSL,O,X,X,O,X,X
IZTOSLJ,O,X,X,O,X,X
IZTOSJL,O,X,X,O,X,X
IZLTJSO,O,O,X,X,O,X
IZLTJOS,X,O,O,X,X,X
IZLTSJO,O,O,X,X,O,X
IZLTSOJ,O,O,X,X,O,X
IZLTOJS,X,O,X,X,O,X
IZLTOSJ,X,O,X,X,O,X
IZLJTSO,O,X,X,X,O,O
IZLJTOS,X,X,O,X,X,O
IZLJSTO,O,X,X,X,O,O
IZLJSOT,O,X,X,X,O,O
IZLJOTS,O,X,O,X,X,O
IZLJOST,O,X,O,X,X,O
IZLSTJO,O,O,X,X,O,O
IZLSTOJ,O,O,X,X,O,O
IZLSJTO,O,O,X,X,O,O
IZLSJOT,O,O,X,X,O,O
IZLSOTJ,O,O,X,X,O,O
IZLSOJT,O,O,X,X,O,O
IZLOTJS,O,O,O,X,O,X
IZLOTSJ,O,O,X,X,O,X
IZLOJTS,O,X,O,X,O,O
IZLOJST,O,X,O,X,O,O
IZLOSTJ,O,O,X,X,O,O
IZLOSJT,O,O,O,X,O,O
IZJTLSO,O,X,X,X,X,O
IZJTLOS,X,X,O,X,X,O
IZJTSLO,O,X,X,X,X,O
IZJTSOL,O,X,X,X,X,O
IZJTOLS,O,X,O,X,X,X
IZJTOSL,O,X,O,X,X,X
IZJLTSO,O,X,X,X,O,O
IZJLTOS,X,X,O,X,X,O
IZJLSTO,O,X,X,X,O,O
IZJLSOT,O,X,X,X,O,O
IZJLOTS,O,X,O,X,X,O
IZJLOST,O,X,O,X,X,O
IZJSTLO,O,X,X,X,O,O
IZJSTOL,O,X,X,X,O,O
IZJSLTO,O,X,X,X,O,O
IZJSLOT,O,X,X,X,O,O
IZJSOTL,O,X,X,X,O,O
IZJSOLT,O,X,X,X,O,O
IZJOTLS,O,X,O,X,X,X
IZJOTSL,O,X,O,X,X,X
IZJOLTS,O,X,O,X,X,O
IZJOLST,O,X,O,X,X,O
IZJOSTL,O,X,O,X,X,O
IZJOSLT,O,X,O,X,X,O
IZSTLJO,O,O,X,X,O,O
IZSTLOJ,O,O,X,O,O,O
IZSTJLO,O,O,X,X,O,O
IZSTJOL,O,O,X,O,O,O
IZSTOLJ,O,O,X,O,O,X
IZSTOJL,O,O,X,O,O,X
IZSLTJO,O,O,X,X,O,O
IZSLTOJ,O,O,X,X,O,O
IZSLJTO,O,O,X,X,O,O
IZSLJOT,O,O,X,X,O,O
IZSLOTJ,O,O,X,X,O,O
IZSLOJT,O,O,X,X,O,O
IZSJTLO,O,O,X,X,O,O
IZSJTOL,O,O,X,X,O,O
IZSJLTO,O,O,X,X,O,O
IZSJLOT,O,O,X,X,O,O
IZSJOTL,O,X,X,X,O,O
IZSJOLT,O,X,X,X,O,O
IZSOTLJ,O,O,X,O,O,X
IZSOTJL,O,O,X,O,O,X
IZSOLTJ,O,O,X,X,O,X
IZSOLJT,O,O,X,X,O,X
IZSOJTL,O,X,X,O,O,X
IZSOJLT,O,X,X,X,O,X
IZOTLJS,O,X,O,O,X,X
IZOTLSJ,O,X,X,O,X,X
IZOTJLS,O,X,O,O,X,X
IZOTJSL,O,X,O,O,X,X
IZOTSLJ,O,X,X,O,X,X
IZOTSJL,O,X,X,O,X,X
IZOLTJS,O,X,O,X,O,X
IZOLTSJ,O,X,X,X,O,X
IZOLJTS,O,X,O,X,O,X
IZOLJST,O,X,O,X,O,X
IZOLSTJ,O,X,X,X,O,X
IZOLSJT,O,X,O,X,O,X
IZOJTLS,O,X,O,O,X,X
IZOJTSL,O,X,O,O,X,X
IZOJLTS,O,X,O,X,O,X
IZOJLST,O,X,O,X,O,X
IZOJSTL,O,X,O,O,O,X
IZOJSLT,O,X,O,X,O,X
IZOSTLJ,O,X,X,O,O,X
IZOSTJL,O,X,X,O,O,X
IZOSLTJ,O,X,X,X,O,X
IZOSLJT,O,X,O,X,O,X
IZOSJTL,O,X,O,O,O,X
IZOSJLT,O,X,O,X,O,X
IOTLJSZ,X,O,O,X,O,X
IOTLJZS,X,O,O,O,O,X
IOTLSJZ,O,O,X,X,O,X
IOTLSZJ,O,O,X,X,O,X
IOTLZJS,O,O,O,O,O,X
IOTLZSJ,O,O,X,O,O,X
IOTJLSZ,X,O,O,X,O,X
IOTJLZS,X,O,O,O,O,X
IOTJSLZ,X,O,O,X,O,X
IOTJSZL,X,O,O,O,O,X
IOTJZLS,X,X,O,O,X,X
IOTJZSL,X,X,O,O,X,X
IOTSLJZ,O,O,X,X,O,X
IOTSLZJ,O,O,X,X,O,X
IOTSJLZ,O,O,X,X,O,X
IOTSJZL,O,O,X,O,O,X
IOTSZLJ,O,O,X,O,O,X
IOTSZJL,O,O,X,O,O,X
IOTZLJS,O,X,O,O,X,X
IOTZLSJ,O,X,X,O,X,X
IOTZJLS,O,X,O,O,X,X
IOTZJSL,O,X,O,O,X,X
IOTZSLJ,O,X,X,O,X,X
IOTZSJL,O,X,X,O,X,X
IOLTJSZ,X,O,O,X,O,O
IOLTJZS,X,O,O,X,O,O
IOLTSJZ,O,O,X,X,O,O
IOLTSZJ,O,O,X,X,O,X
IOLTZJS,O,O,O,X,O,X
