sequence,v115@vhHT/IfnB0iBypBGtBxuBRxBFrB,v115@vhHXAJ8lBTjBWtBipBRvBxxBlrB,v115@vhHT/IGiBypBUnB/tBxuBRxBFrB,v115@vhHiAJTjBcpB3lBWtBRvBxxBlrB,v115@vhH0/ICiB2pBTnB/tBxuBRxBFrB,v115@vhHmAJXjBcpBTlBStBRvBxxBlrB,v115@vhHaFJfnB0iBTkBGtBxuBRxBFrB,v115@vhHXAJ8lBunBToBipBRvBxxBlrB,v115@vhHaFJGiBTkBUnB/tBxuBRxBFrB,v115@vhHiAJunBcpB3lBToBRvBxxBlrB,v115@vhHcEJelBCiBTnB/tBxuBRxBFrB,v115@vhHmAJqnB/oBcpBTlBRvBxxBlrB,v115@vhHPHJ0gBToBqsBxqB2uBRwBlkB,v115@vhH8FJXiBTkBeqBxrBSyBRwBFoB,v115@vhHy/IclB+nBTkB/tBxuBRxBFrB,v115@vhHWDJKlB/nBcpBToBRvBxxBlrB,v115@vhHfDJ5jBzkBqqB0nB2uBxxBlrB,v115@vhHZ/I8fBXlBesBznBSyBxuBFrB,v115@vhHc/I5oBxmBetBTpB3qBCsBFlB,v115@vhH/DJZkBqpBxlBmqBUsBTtBlnB,v115@vhHs/IZkBStBRnB2xBXrBzpBllB,v115@vhHfDJ5oB2pBRlBSvB0rBzsBFnB,v115@vhH2BJxkByqBfsBctBTpBxvBlnB,v115@vhHSBJ/pB8qBWsBxnBTtBxwBFlB,v115@vhHxAJ/oBTkBilBGrBUtBRvBFnB,v115@vhHcEJxhBGnBToB3pBirBRxBllB,v115@vhHRPJTkBGrBilBUtBpjBPjBFnB,v115@vhHRRJToBirBGnB3pBJfB8fBllB,v115@vhHxQJRrBMtB3hBTpBKfBOqBlnB,v115@vhHxPJRrB/pBUhBTtB+jB6sBFlB,v115@vhHxPJpoBetBTpBKfBXmBMlBFsB,v115@vhHxQJJkBqpBTtB+jB0mB/nBlqB,v115@vhHxOJTkBMlBSyBXsBmnBpeBFrB,v115@vhHxRJToB/nB2uB0qBClBJaBlrB
IISLOZTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,O,O,O,X
IISLOZJT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X,O,O,O,O,O,O,X
IISJTLZO,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IISJTLOZ,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O
IISJTZLO,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IISJTZOL,X,X,X,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,X,O
IISJTOLZ,X,X,X,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,O
IISJTOZL,X,X,X,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,O
IISJLTZO,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IISJLTOZ,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O
IISJLZTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IISJLZOT,O,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IISJLOTZ,O,O,X,O,O,X,O,X,X,O,O,O,O,O,O,O,X,O,O,X,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IISJLOZT,O,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IISJZTLO,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IISJZTOL,X,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,X,O
IISJZLTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IISJZLOT,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IISJZOTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,O,X,O,O,O,O,O,X,O
IISJZOLT,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IISJOTLZ,X,X,X,O,O,X,O,X,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O,O,O,X,O
IISJOTZL,X,X,X,O,O,X,O,X,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O,O,O,X,O
IISJOLTZ,O,O,X,O,O,X,O,X,X,O,O,O,O,O,O,O,X,O,O,X,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IISJOLZT,O,O,X,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IISJOZTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,O,X,O,O,O,O,O,X,O
IISJOZLT,O,O,X,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IISZTLJO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IISZTLOJ,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IISZTJLO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IISZTJOL,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
IISZTOLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X
IISZTOJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X
IISZLTJO,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IISZLTOJ,X,X,O,X,X,O,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X
IISZLJTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
IISZLJOT,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X,O,O,O,O,O,O,X
IISZLOTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,O,O,O,X
IISZLOJT,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X,O,O,O,O,O,O,X
IISZJTLO,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IISZJTOL,X,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,X,O
IISZJLTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IISZJLOT,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X,O,O,O,O,O,X,O
IISZJOTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,O,X,O,O,O,O,O,X,O
IISZJOLT,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X,O,O,O,O,O,X,O
IISZOTLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,O,X,X
IISZOTJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,O,O,O,O,X,X
IISZOLTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,O,O,O,X
IISZOLJT,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X,O,O,O,O,O,O,X
IISZOJTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,O,X,O,O,O,O,O,X,O
IISZOJLT,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X,O,O,O,O,O,X,O
IISOTLJZ,X,X,X,X,O,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,O,X,X
IISOTLZJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,O,X,X
IISOTJLZ,X,X,X,X,O,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,O,O,O,O,X,X
IISOTJZL,X,X,X,X,O,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,O,O,O,O,X,X
IISOTZLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,O,X,X
IISOTZJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,O,O,O,O,X,X
IISOLTJZ,O,X,X,X,O,O,O,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,O,O,O,X
IISOLTZJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,O,O,O,X
IISOLJTZ,O,X,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X,O,X,O,O,O,O,O,O,X
IISOLJZT,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X,O,X,O,O,O,O,O,O,X
IISOLZTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,O,O,O,X
IISOLZJT,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X,O,X,O,O,O,O,O,O,X
IISOJTLZ,X,X,X,O,O,X,O,X,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O,O,O,X,O
IISOJTZL,X,X,X,O,O,X,O,X,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O,O,O,X,O
IISOJLTZ,O,X,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,X,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IISOJLZT,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IISOJZTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O,O,O,X,O
IISOJZLT,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IISOZTLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,O,X,X
IISOZTJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,O,O,O,O,X,X
IISOZLTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,O,O,O,X
IISOZLJT,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X,O,X,O,O,O,O,O,O,X
IISOZJTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O,O,O,X,O
IISOZJLT,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IIZTLJSO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IIZTLJOS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IIZTLSJO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IIZTLSOJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IIZTLOJS,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IIZTLOSJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IIZTJLSO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IIZTJLOS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IIZTJSLO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IIZTJSOL,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
IIZTJOLS,X,O,X,X,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
IIZTJOSL,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
IIZTSLJO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IIZTSLOJ,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IIZTSJLO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IIZTSJOL,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
IIZTSOLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IIZTSOJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IIZTOLJS,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IIZTOLSJ,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IIZTOJLS,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IIZTOJSL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IIZTOSLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IIZTOSJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IIZLTJSO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IIZLTJOS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IIZLTSJO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IIZLTSOJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X
IIZLTOJS,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X
IIZLTOSJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X
IIZLJTSO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IIZLJTOS,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IIZLJSTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IIZLJSOT,O,O,O,O,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IIZLJOTS,O,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IIZLJOST,O,O,O,O,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IIZLSTJO,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IIZLSTOJ,X,X,O,X,X,O,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X
IIZLSJTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IIZLSJOT,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IIZLSOTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IIZLSOJT,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IIZLOTJS,X,X,O,X,X,O,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IIZLOTSJ,X,X,O,X,X,O,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IIZLOJTS,O,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IIZLOJST,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IIZLOSTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IIZLOSJT,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IIZJTLSO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IIZJTLOS,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IIZJTSLO,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IIZJTSOL,X,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O
IIZJTOLS,X,O,X,X,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O
IIZJTOSL,X,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O
IIZJLTSO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IIZJLTOS,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IIZJLSTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IIZJLSOT,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IIZJLOTS,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IIZJLOST,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IIZJSTLO,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IIZJSTOL,X,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O
IIZJSLTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IIZJSLOT,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IIZJSOTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O
IIZJSOLT,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IIZJOTLS,X,O,X,X,O,O,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O
IIZJOTSL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O
IIZJOLTS,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IIZJOLST,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IIZJOSTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O
IIZJOSLT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IIZSTLJO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IIZSTLOJ,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IIZSTJLO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IIZSTJOL,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
IIZSTOLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IIZSTOJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IIZSLTJO,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IIZSLTOJ,X,X,O,X,X,O,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X
IIZSLJTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IIZSLJOT,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,O,X
IIZSLOTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,O,X,O,X,O,O,O,O,O,X
IIZSLOJT,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,O,X
IIZSJTLO,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IIZSJTOL,X,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O
IIZSJLTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IIZSJLOT,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,X,O
IIZSJOTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O
IIZSJOLT,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,X,O
IIZSOTLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,O,X,X
IIZSOTJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,X
IIZSOLTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,O,X,O,X,O,O,O,O,O,X
IIZSOLJT,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,O,X
