sequence,v115@4gB8BeA8EeB8BeA8FeD8AeA8CeF8DeE8JeZ/IvhFqf?BmbBzdBFmBXqB0qB,v115@4gB8BeA8EeB8BeA8FeD8AeA8CeF8DeE8JeZ/IvhFFb?B8gBzdBflBOrBSvB,v115@4gB8BeA8EeB8BeA8FeD8AeA8CeF8DeE8JeZ/IvhFqf?BmbBzdBFmB0qBXqB,v115@4gB8BeA8EeB8BeA8FeD8AeA8CeF8DeE8JeZ/IvhF3b?BzdBUlBFmBupByvB,v115@4gB8BeA8EeB8BeA8FeD8AeA8CeF8DeE8JeR7IvhFzd?BVmBikB0lB2vB/pB
TZSIOLJ,O,X,X,O,X
TZSIOJL,O,X,X,O,X
TZSLIJO,O,X,O,O,X
TZSLIOJ,O,X,O,O,X
TZSLJIO,O,X,O,X,X
TZSLJOI,O,X,O,X,X
TZSLOIJ,O,X,O,O,X
TZSLOJI,O,X,O,X,X
TZSJILO,O,X,X,O,X
TZSJIOL,O,X,X,O,X
TZSJLIO,O,X,O,X,X
TZSJLOI,O,X,O,X,X
TZSJOIL,O,X,X,O,X
TZSJOLI,O,X,O,X,X
TZSOILJ,O,X,X,O,X
TZSOIJL,O,X,X,O,X
TZSOLIJ,O,X,O,O,X
TZSOLJI,O,X,O,X,X
TZSOJIL,O,X,X,O,X
TZSOJLI,O,X,O,X,X
TZOILJS,O,X,O,O,X
TZOILSJ,O,X,O,O,X
TZOIJLS,O,X,O,O,X
TZOIJSL,X,X,X,O,X
TZOISLJ,O,X,X,O,X
TZOISJL,O,X,X,O,X
TZOLIJS,O,X,O,O,X
TZOLISJ,O,X,O,O,X
TZOLJIS,O,X,O,X,O
TZOLJSI,X,X,O,X,O
TZOLSIJ,X,X,O,O,X
TZOLSJI,X,X,O,X,X
TZOJILS,O,X,O,O,X
TZOJISL,X,X,X,O,X
TZOJLIS,O,X,O,X,O
TZOJLSI,X,X,O,X,O
TZOJSIL,O,X,X,O,X
TZOJSLI,O,X,O,X,X
TZOSILJ,O,X,X,O,X
TZOSIJL,O,X,X,O,X
TZOSLIJ,O,X,O,O,X
TZOSLJI,O,X,O,X,X
TZOSJIL,O,X,X,O,X
TZOSJLI,O,X,O,X,X
TOILJSZ,O,X,O,X,X
TOILJZS,O,X,O,X,O
TOILSJZ,O,X,O,X,X
TOILSZJ,O,O,O,X,X
TOILZJS,O,X,O,O,X
TOILZSJ,O,O,O,O,X
TOIJLSZ,O,O,O,X,X
TOIJLZS,O,O,O,X,O
TOIJSLZ,O,X,O,X,X
TOIJSZL,O,O,X,X,X
TOIJZLS,O,X,O,O,X
TOIJZSL,X,O,X,O,X
TOISLJZ,O,X,O,X,X
TOISLZJ,O,O,O,X,X
TOISJLZ,O,X,O,X,X
TOISJZL,O,O,X,X,X
TOISZLJ,O,X,X,O,X
TOISZJL,O,X,X,O,X
TOIZLJS,O,X,O,O,X
TOIZLSJ,O,X,O,O,X
TOIZJLS,O,X,O,O,X
TOIZJSL,X,X,X,O,X
TOIZSLJ,O,X,X,O,X
TOIZSJL,O,X,X,O,X
TOLIJSZ,O,X,O,X,X
TOLIJZS,O,X,O,X,O
TOLISJZ,O,X,O,X,X
TOLISZJ,O,O,O,X,X
TOLIZJS,O,X,O,O,X
TOLIZSJ,O,O,O,O,X
TOLJISZ,O,X,O,X,X
TOLJIZS,O,X,O,X,O
TOLJSIZ,O,X,O,X,X
TOLJSZI,O,X,X,X,O
TOLJZIS,O,X,O,X,O
TOLJZSI,X,X,X,X,O
TOLSIJZ,O,X,O,X,X
TOLSIZJ,O,O,O,X,X
TOLSJIZ,O,X,O,X,X
TOLSJZI,O,X,X,X,O
TOLSZIJ,O,O,X,X,X
TOLSZJI,O,O,X,X,X
TOLZIJS,O,X,O,O,X
TOLZISJ,O,O,O,O,X
TOLZJIS,O,X,O,X,O
TOLZJSI,X,X,O,X,O
TOLZSIJ,X,O,O,O,X
TOLZSJI,X,O,O,X,X
TOJILSZ,O,O,O,X,X
TOJILZS,O,O,O,X,O
TOJISLZ,O,X,O,X,X
TOJISZL,O,O,X,X,X
TOJIZLS,O,X,O,O,X
TOJIZSL,X,O,X,O,X
TOJLISZ,O,O,O,X,X
TOJLIZS,O,O,O,X,O
TOJLSIZ,O,O,O,X,X
TOJLSZI,O,O,X,X,O
TOJLZIS,O,O,O,X,O
TOJLZSI,X,O,X,X,O
TOJSILZ,O,X,O,X,X
TOJSIZL,O,O,X,X,X
TOJSLIZ,O,X,O,X,X
TOJSLZI,O,X,X,X,O
TOJSZIL,O,O,X,X,X
TOJSZLI,O,O,X,X,X
TOJZILS,O,X,O,O,X
TOJZISL,X,O,X,O,X
TOJZLIS,O,X,O,X,O
TOJZLSI,X,X,X,X,O
TOJZSIL,O,O,X,O,X
TOJZSLI,O,O,X,X,X
TOSILJZ,O,X,O,X,X
TOSILZJ,O,O,O,X,X
TOSIJLZ,O,X,O,X,X
TOSIJZL,O,O,X,X,X
TOSIZLJ,O,X,X,O,X
TOSIZJL,O,X,X,O,X
TOSLIJZ,O,X,O,X,X
TOSLIZJ,O,O,O,X,X
TOSLJIZ,O,X,O,X,X
TOSLJZI,O,X,X,X,O
TOSLZIJ,O,O,X,X,X
TOSLZJI,O,O,X,X,X
TOSJILZ,O,X,O,X,X
TOSJIZL,O,O,X,X,X
TOSJLIZ,O,X,O,X,X
TOSJLZI,O,X,X,X,O
TOSJZIL,O,O,X,X,X
TOSJZLI,O,O,X,X,X
TOSZILJ,O,X,X,O,X
TOSZIJL,O,X,X,O,X
TOSZLIJ,O,X,X,O,X
TOSZLJI,O,X,X,X,X
TOSZJIL,O,X,X,O,X
TOSZJLI,O,X,X,X,X
TOZILJS,O,X,O,O,X
TOZILSJ,O,X,O,O,X
TOZIJLS,O,X,O,O,X
TOZIJSL,X,X,X,O,X
TOZISLJ,O,X,X,O,X
TOZISJL,O,X,X,O,X
TOZLIJS,O,X,O,O,X
TOZLISJ,O,X,O,O,X
