sequence,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeOAJvhFXcBldBUiBS?qBTmBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeT7IvhFicB3dBWnBV?qBUmBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Jex7IvhFldBelBUiBC?mBTrB3qB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Je07IvhFlcB3dBelBz?lBCnBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Je2AJvhFRdBcmBTiB3?gBFqBSwB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhFRdBGiBXlBl?mBUrBTqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhFzcBuiB0lBl?mBXlBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhF3dB5mBTgBU?iBerBFqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeKAJvhFzbB3dB5mBU?iBerBFqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeR9IvhF/lBTiB6rBF?mBUqBmqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Jex7IvhFuiBTgBihBF?qBXrB8rB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhFUdB5mBTgB3?iBerBFqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JecBJvhFelB5lBXiBl?iBTrBiqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeuCJvhFxgBFqBXrB8?rBTqBirB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Je39IvhFelBChBxmBl?mBUrBTqB
IZJOLTS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
IZJOLST,O,X,O,O,X,X,X,X,X,O,X,O,X,X,O
IZJOSTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IZSTLJO,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSTLOJ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZSTJLO,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O
IZSTJOL,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSTOJL,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IZSLTJO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSLTOJ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZSLJTO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZSLJOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZSLOTJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSLOJT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSJTLO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,O
IZSJTOL,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSJLTO,O,O,X,O,X,X,O,O,X,X,X,O,X,X,O
IZSJLOT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
IZSJOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZSOTLJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSOTJL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSOLJT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSOJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IZOTLJS,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IZOTLSJ,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X
IZOTJLS,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IZOTJSL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOTSLJ,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IZOTSJL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOLTJS,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZOLTSJ,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X
IZOLJTS,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZOLJST,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IZOLSTJ,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IZOLSJT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IZOJTLS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
IZOJTSL,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IZOJLTS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
IZOJLST,O,X,O,O,X,X,X,X,X,O,X,O,X,X,O
IZOJSTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IZOSTLJ,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZOSTJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZOSLJT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZOSJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IOTLJSZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
IOTLJZS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X
IOTLSJZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTLSZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTLZJS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
IOTLZSJ,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X
IOTJLSZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
IOTJLZS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
IOTJSZL,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IOTJZLS,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IOTJZSL,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
IOTSLJZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTSLZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTSJZL,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IOTSZLJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTSZJL,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTZLJS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOTZLSJ,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
IOTZJLS,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTZJSL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTZSLJ,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
IOTZSJL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLTJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLTZJS,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOLJTSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOLSTJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOLSZJT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOLZTJS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOLZJTS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLZJST,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOLZSTJ,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOLZSJT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOJTLSZ,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
IOJTLZS,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X
IOJTSLZ,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
IOJTSZL,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X
IOJTZLS,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X
IOJTZSL,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
IOJLTSZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
IOJLSZT,O,X,O,O,X,X,X,O,X,X,X,X,O,X,O
IOJLZTS,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
IOJLZST,O,X,O,O,O,X,X,X,X,O,X,O,O,X,X
IOJSTLZ,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
IOJSTZL,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IOJSLTZ,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
IOJSLZT,O,X,O,O,X,X,X,O,X,X,X,X,O,X,O
IOJSZTL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOJSZLT,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOJZTLS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
IOJZTSL,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
IOJZLTS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
IOJZLST,O,X,O,O,X,X,X,X,X,O,X,O,O,X,X
IOJZSTL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOJZSLT,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IOSTLJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZJL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOSLZJT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOSJTLZ,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
IOSJTZL,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IOSJLTZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IOSJLZT,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O
IOSJZTL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOSJZLT,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOSZTLJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSZTJL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSZLJT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSZJTL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOSZJLT,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O
IOZTLJS,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IOZTLSJ,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X
IOZTJLS,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZTJSL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZTSLJ,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IOZTSJL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZLTJS,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOZLTSJ,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X
IOZLJTS,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOZLJST,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOZLSTJ,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOZLSJT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOZJTLS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
IOZJTSL,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
IOZJLTS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
IOZJLST,O,X,O,O,X,X,X,X,X,O,X,O,O,X,O
IOZJSTL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOZJSLT,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O
IOZSTLJ,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOZSTJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOZSLJT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOZSJTL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOZSJLT,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O
LTIJSZO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
LTIJSOZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
LTIJZSO,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
LTIJZOS,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
LTIJOSZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
LTIJOZS,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X
LTISJZO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
LTISJOZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
LTISZJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTISZOJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTISOJZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
LTISOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTIZJSO,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LTIZJOS,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LTIZSJO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIZSOJ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIZOJS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIZOSJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIOJSZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
LTIOJZS,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
LTIOSJZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
LTIOSZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTIOZJS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIOZSJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTJISZO,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X
LTJISOZ,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X
LTJIZSO,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X
LTJIZOS,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X
LTJIOSZ,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
LTJIOZS,O,X,O,O,O,O,O,X,O,X,X,O,X,X,X
LTJSIZO,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X
LTJSIOZ,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X
LTJSZIO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X
LTJSZOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
LTJSOIZ,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X
LTJSOZI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTJZISO,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X
LTJZIOS,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X
LTJZSIO,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
LTJZSOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
LTJZOIS,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
LTJZOSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
LTJOISZ,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTJOIZS,O,X,O,X,O,O,O,X,O,X,X,O,X,X,X
LTJOSIZ,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X
LTJOSZI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTJOZIS,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
LTJOZSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
LTSIJZO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
LTSIJOZ,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X
LTSIZJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSIOJZ,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X
LTSIOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTSJIZO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X
LTSJIOZ,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X
LTSJZIO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X
LTSJZOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
LTSJOIZ,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X
LTSJOZI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTSZIJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
LTSZIOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSZJIO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
LTSZJOI,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
LTSZOIJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSZOJI,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
LTSOIJZ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X
LTSOIZJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
LTSOJZI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTSOZIJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSOZJI,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X
LTZIJSO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZIJOS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZISJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZISOJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZIOJS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZJISO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
LTZJIOS,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
LTZJSIO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
LTZJSOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
LTZJOIS,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X
LTZJOSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
LTZSIJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZSIOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZSJIO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
LTZSJOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
LTZSOIJ,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
LTZSOJI,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
LTZOIJS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZOISJ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
LTZOJIS,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X
LTZOJSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
LTZOSIJ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
LTZOSJI,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
LTOIJSZ,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LTOIJZS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LTOISJZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
LTOISZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOIZJS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTOIZSJ,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X
LTOJISZ,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTOJIZS,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X
LTOJSIZ,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X
LTOJSZI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTOJZIS,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
LTOJZSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
LTOSIJZ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X
LTOSIZJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X
LTOSJZI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTOSZIJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOSZJI,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X
LTOZIJS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOZISJ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
LTOZJIS,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTOZJSI,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
LTOZSIJ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
LTOZSJI,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
LITJSZO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LITJSOZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LITJZSO,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LITJZOS,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LITJOSZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LITJOZS,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LITSJZO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LITSJOZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LITSZJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LITSZOJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LITSOJZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LITSOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LITZJSO,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LITZJOS,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LITZSJO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LITZSOJ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LITZOJS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LITZOSJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LITOJSZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LITOJZS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LITOSJZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LITOSZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LITOZJS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LITOZSJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LIJTSZO,O,O,X,O,X,O,X,O,O,X,X,O,X,X,O
LIJTSOZ,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X
LIJTZSO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
LIJTZOS,O,O,X,O,X,O,O,X,O,X,X,O,X,X,X
LIJTOSZ,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X
LIJTOZS,O,O,X,O,O,O,O,X,O,X,X,O,X,X,X
LIJSTZO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O
LIJSTOZ,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
LIJSZTO,O,O,X,O,X,X,X,O,X,X,X,O,X,X,O
LIJSZOT,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O
LIJSOTZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LIJSOZT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
LIJZTSO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
LIJZTOS,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
LIJZSTO,O,O,X,O,X,X,O,O,X,X,X,O,X,X,O
LIJZSOT,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O
LIJZOTS,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
LIJZOST,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LIJOTSZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJOTZS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LIJOSTZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LIJOSZT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
LIJOZTS,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
LIJOZST,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
LISTJZO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LISTJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LISTZJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LISTZOJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LISTOJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
