sequence,v115@6gC8HeB8HeE8AeF8DeF8Jei6IvhFzbBUdB3fBWnBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jei6IvhF3bBuhB1kB8lBTn?BxuB,v115@6gC8HeB8HeE8AeF8DeF8JeO/IvhF8fBzbBqhB/iBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Je06IvhFlbB3cB2kBTiBCm?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jel6IvhF3bBzcB2kB8lBSs?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jem6IvhFCcB/iBTfB0hBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jeu/IvhFcgBXhBTiBSvBZk?BlrB,v115@6gC8HeB8HeE8AeF8DeF8JeK/IvhFzaBWhB/iB0hBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jex6IvhFzcB3fBSnBllB8q?B2uB,v115@6gC8HeB8HeE8AeF8DeF8Jex6IvhFlcBTiBCmBOpB8p?B3qB,v115@6gC8HeB8HeE8AeF8DeF8Jez6IvhFCcB/iB0hBllBZk?BWvB,v115@6gC8HeB8HeE8AeF8DeF8JeK/IvhFxbB/iB0hBllB+p?BTqB
TLZSJOI,X,O,O,X,O,X,X,O,O,X,X,X
TLZSOIJ,X,O,O,X,O,X,X,X,O,X,X,X
TLZSOJI,X,O,O,X,O,X,X,O,O,X,X,X
TLZOIJS,X,O,X,X,O,X,O,X,X,O,X,X
TLZOISJ,X,O,X,X,O,X,O,X,X,O,X,X
TLZOJIS,X,O,X,X,X,X,O,X,X,O,X,X
TLZOJSI,X,O,X,X,X,X,O,O,X,X,X,X
TLZOSIJ,X,O,X,X,O,X,O,X,O,X,X,X
TLZOSJI,X,O,X,X,O,X,O,O,O,X,X,X
TLOIJSZ,O,O,X,O,O,X,X,O,X,X,X,X
TLOIJZS,O,O,X,O,O,X,O,X,X,X,X,X
TLOISJZ,O,O,X,O,X,X,X,O,O,X,O,X
TLOISZJ,O,O,X,X,X,X,O,X,O,X,O,X
TLOIZJS,X,O,X,X,O,X,O,X,X,X,X,X
TLOIZSJ,X,O,X,X,O,X,O,X,X,X,X,X
TLOJISZ,O,O,X,X,O,X,X,O,X,O,X,X
TLOJIZS,O,O,X,X,O,X,O,X,X,O,X,X
TLOJSIZ,O,O,X,X,O,X,X,O,O,X,X,X
TLOJSZI,O,O,X,X,O,X,X,O,O,X,X,X
TLOJZIS,O,O,X,X,O,X,O,X,X,O,X,X
TLOJZSI,O,O,X,X,O,X,O,O,X,X,X,X
TLOSIJZ,O,O,X,O,X,X,X,O,O,X,O,X
TLOSIZJ,X,O,X,X,X,X,O,O,O,X,O,X
TLOSJIZ,O,O,X,X,X,X,X,O,O,X,O,X
TLOSJZI,O,O,X,X,X,X,X,O,O,X,X,X
TLOSZIJ,X,O,X,X,X,X,O,X,O,X,O,X
TLOSZJI,O,O,X,X,X,X,O,O,O,X,X,X
TLOZIJS,X,O,X,X,O,X,O,X,X,O,X,X
TLOZISJ,X,O,X,X,O,X,O,X,X,O,X,X
TLOZJIS,X,O,X,X,X,X,O,X,X,O,X,X
TLOZJSI,X,O,X,X,X,X,O,O,X,X,X,X
TLOZSIJ,X,O,X,X,O,X,O,X,O,X,X,X
TLOZSJI,X,O,X,X,O,X,O,O,O,X,X,X
TJILSZO,O,O,X,X,O,O,X,O,X,X,O,X
TJILSOZ,O,X,X,X,O,O,X,O,X,X,O,X
TJILZSO,O,O,X,X,O,X,X,O,X,X,X,X
TJILZOS,O,O,X,X,O,X,X,O,X,X,X,X
TJILOSZ,O,X,X,X,O,X,X,O,X,X,O,X
TJILOZS,O,O,X,X,O,X,X,O,X,X,X,X
TJISLZO,O,O,O,X,X,O,X,O,X,X,O,X
TJISLOZ,O,X,O,X,X,O,X,O,X,X,O,X
TJISZLO,O,O,O,X,X,O,X,O,X,X,O,X
TJISZOL,O,O,O,X,X,X,X,X,X,X,O,X
TJISOLZ,O,X,X,X,X,O,X,O,X,X,O,X
TJISOZL,O,X,X,X,X,O,X,X,X,X,O,X
TJIZLSO,O,O,O,X,O,X,X,O,X,X,X,X
TJIZLOS,O,O,X,X,O,X,X,O,X,X,X,X
TJIZSLO,O,O,O,X,O,O,X,O,X,X,O,X
TJIZSOL,O,O,O,X,X,X,X,X,X,X,O,X
TJIZOLS,O,O,X,X,X,X,X,X,X,X,X,X
TJIZOSL,O,O,O,X,X,X,X,X,X,X,O,X
TJIOLSZ,O,X,X,X,X,O,X,O,X,X,O,X
TJIOLZS,O,O,X,X,X,X,X,O,X,X,X,X
TJIOSLZ,O,X,X,X,X,O,X,O,X,X,O,X
TJIOSZL,O,X,X,X,X,O,X,X,X,X,O,X
TJIOZLS,O,O,X,X,X,X,X,X,X,X,X,X
TJIOZSL,O,O,X,X,X,O,X,X,X,X,O,X
TJLISZO,O,O,X,O,O,X,X,O,X,X,O,X
TJLISOZ,O,X,X,X,O,X,X,O,X,X,O,X
TJLIZSO,O,O,X,O,O,X,X,O,X,X,X,X
TJLIZOS,O,O,X,X,O,X,O,O,X,X,X,X
TJLIOSZ,O,X,X,X,O,X,X,O,X,X,O,X
TJLIOZS,O,O,X,X,O,X,O,O,X,X,X,X
TJLSIZO,O,O,X,O,O,O,X,O,O,X,O,X
TJLSIOZ,O,X,X,X,O,O,X,O,O,X,O,X
TJLSZIO,O,O,X,O,O,O,X,X,O,X,O,X
TJLSZOI,O,O,X,O,O,O,X,X,O,X,O,X
TJLSOIZ,O,X,X,X,O,O,X,X,O,X,O,X
TJLSOZI,O,X,X,O,O,O,X,X,O,X,O,X
TJLZISO,O,O,X,O,O,X,X,X,X,X,X,X
TJLZIOS,O,O,X,X,O,X,O,X,X,X,X,X
TJLZSIO,O,O,X,O,O,X,X,X,X,X,X,X
TJLZSOI,O,O,X,O,O,X,X,X,X,X,X,X
TJLZOIS,O,O,X,X,O,X,O,X,X,X,X,X
TJLZOSI,O,O,X,O,O,X,O,X,X,X,X,X
TJLOISZ,O,O,X,X,O,X,X,X,X,X,O,X
TJLOIZS,O,O,X,X,O,X,O,X,X,X,X,X
TJLOSIZ,O,O,X,X,O,X,X,X,O,X,O,X
TJLOSZI,O,O,X,O,O,X,X,X,O,X,O,X
TJLOZIS,O,O,X,X,O,X,O,X,X,X,X,X
TJLOZSI,O,O,X,O,O,X,O,X,X,X,X,X
TJSILZO,O,O,O,X,X,O,X,O,X,X,O,X
TJSILOZ,O,X,O,X,X,O,X,O,X,X,O,X
TJSIZLO,O,O,O,X,X,O,X,O,X,X,O,X
TJSIZOL,O,O,O,X,X,X,X,X,X,X,O,X
TJSIOLZ,O,X,X,X,X,O,X,O,X,X,O,X
TJSIOZL,O,X,X,X,X,O,X,X,X,X,O,X
TJSLIZO,O,O,O,X,O,O,X,O,O,X,O,X
TJSLIOZ,O,X,O,X,O,O,X,O,O,X,O,X
TJSLZIO,O,O,O,X,O,O,X,X,O,X,O,X
TJSLZOI,O,O,O,X,O,O,X,X,O,X,O,X
TJSLOIZ,O,X,O,X,O,O,X,X,O,X,O,X
TJSLOZI,O,X,O,X,O,O,X,X,O,X,O,X
TJSZILO,O,O,O,X,O,X,X,O,X,X,O,X
TJSZIOL,O,X,O,X,X,X,X,X,X,X,O,X
TJSZLIO,O,O,O,X,O,O,X,X,X,X,O,X
TJSZLOI,O,O,O,X,O,O,X,X,X,X,O,X
TJSZOIL,O,X,X,X,X,X,X,X,X,X,O,X
TJSZOLI,O,O,O,X,O,X,X,X,X,X,O,X
TJSOILZ,O,X,X,X,X,X,X,O,X,X,O,X
TJSOIZL,O,X,X,X,X,X,X,X,X,X,O,X
TJSOLIZ,O,X,X,X,X,O,X,X,X,X,O,X
TJSOLZI,O,X,X,X,X,O,X,X,X,X,O,X
TJSOZIL,O,X,X,X,X,X,X,X,X,X,O,X
TJSOZLI,O,X,X,X,X,X,X,X,X,X,O,X
TJZILSO,O,O,O,O,O,X,X,O,X,X,X,X
TJZILOS,O,O,X,X,O,X,X,O,X,X,X,X
TJZISLO,O,O,O,X,O,X,X,O,X,X,O,X
TJZISOL,O,O,O,X,X,X,X,X,X,X,O,X
TJZIOLS,O,O,X,X,X,X,X,X,X,X,X,X
TJZIOSL,O,O,O,O,X,X,X,X,X,X,O,X
TJZLISO,O,O,X,O,O,X,X,X,X,X,X,X
TJZLIOS,O,O,X,X,O,X,X,X,X,X,X,X
TJZLSIO,O,O,O,O,O,X,X,X,X,X,X,X
TJZLSOI,O,O,O,O,O,X,X,X,X,X,X,X
TJZLOIS,O,O,X,X,O,X,X,X,X,X,X,X
TJZLOSI,O,O,X,O,O,X,X,X,X,X,X,X
TJZSILO,O,O,O,X,O,X,X,O,X,X,O,X
TJZSIOL,O,O,O,X,X,X,X,X,X,X,O,X
TJZSLIO,O,O,O,O,O,O,X,X,X,X,O,X
TJZSLOI,O,O,O,O,O,O,X,X,X,X,O,X
TJZSOIL,O,O,X,O,X,X,X,X,X,X,O,X
TJZSOLI,O,O,O,O,O,X,X,X,X,X,O,X
TJZOILS,O,O,X,O,X,X,X,X,X,X,X,X
TJZOISL,O,O,X,O,X,X,X,X,X,X,O,X
TJZOLIS,O,O,X,O,O,X,X,X,X,X,X,X
TJZOLSI,O,O,X,O,O,X,X,X,X,X,X,X
TJZOSIL,O,O,X,O,X,X,X,X,X,X,O,X
TJZOSLI,O,O,O,O,O,X,X,X,X,X,O,X
TJOILSZ,O,O,X,O,X,X,X,O,X,X,O,X
TJOILZS,O,O,X,O,X,X,X,O,X,X,X,X
TJOISLZ,O,O,X,O,X,X,X,O,X,X,O,X
TJOISZL,O,O,X,O,X,X,X,X,X,X,O,X
TJOIZLS,O,O,X,O,X,X,X,X,X,X,X,X
TJOIZSL,O,O,X,O,X,X,X,X,X,X,O,X
TJOLISZ,O,O,X,X,O,X,X,X,X,X,O,X
TJOLIZS,O,O,X,X,O,X,O,X,X,X,X,X
TJOLSIZ,O,O,X,O,O,X,X,X,X,X,O,X
TJOLSZI,O,O,X,O,O,X,X,X,X,X,O,X
TJOLZIS,O,O,X,O,O,X,O,X,X,X,X,X
TJOLZSI,O,O,X,O,O,X,O,X,X,X,X,X
TJOSILZ,O,O,X,O,X,X,X,O,X,X,O,X
TJOSIZL,O,O,X,O,X,X,X,X,X,X,O,X
TJOSLIZ,O,O,X,O,X,O,X,X,X,X,O,X
TJOSLZI,O,O,X,O,X,O,X,X,X,X,O,X
TJOSZIL,O,O,X,O,X,X,X,X,X,X,O,X
TJOSZLI,O,O,X,O,X,X,X,X,X,X,O,X
TJOZILS,O,O,X,O,X,X,X,X,X,X,X,X
TJOZISL,O,O,X,O,X,X,X,X,X,X,O,X
TJOZLIS,O,O,X,O,O,X,X,X,X,X,X,X
TJOZLSI,O,O,X,O,O,X,X,X,X,X,X,X
TJOZSIL,O,O,X,O,X,X,X,X,X,X,O,X
TJOZSLI,O,O,X,O,O,X,X,X,X,X,O,X
