sequence,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeF7IvhF0cB6iB3gBT?mB2sBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFGcBTdBylB3?mB1sBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeF7IvhFxcB3gBqnBm?mBTrBUsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFFcBXdBqnBm?lBzmBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeR7IvhFSiBTgB/mBU?iB2wBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeR7IvhFWiBigBFmB0?nB3rBTsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeaAJvhFzbBWiBFmBX?nB0nBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFWiBZmB3gBT?iBqrBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFzcB+iBZmB3?gBqrBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeR7IvhFTgBcnBOrBl?mB3sBCsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeaAJvhFxcBGhBTiB0?rBlsBfrB,v115@zgA8GeD8FeD8FeF8EeE8DeB8Je37IvhFWiBZmBUgBT?iBqrBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8Je/BJvhF0gBZnBqnBF?gBTrBGsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeaAJvhFxhB0rBlsBf?rBGrBTsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFmhBqnBxlBF?mB3rBTsB
IZJTSLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTSOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTOLS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IZJTOSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJLTSO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O
IZJLTOS,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X
IZJLSTO,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IZJLSOT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IZJLOTS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IZJLOST,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IZJSTLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZJSTOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSLTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZJSLOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZJSOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJOLTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSTLJO,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O
IZSTLOJ,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSTJLO,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSTJOL,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSTOJL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSLTJO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,O
IZSLTOJ,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSLJTO,O,O,X,O,X,O,O,O,X,X,X,O,X,X,O
IZSLJOT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
IZSLOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZSJTLO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSJTOL,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZSJLTO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O
IZSJLOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZSJOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSOTJL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSOLTJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IZSOLJT,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O
IZSOJTL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSOJLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZOTLJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOTJLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
IZOLTSJ,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IZOLJTS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IZOLJST,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O
IZOLSTJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IZOLSJT,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IZOJTLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJTSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOJLTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IZOJSLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IZOSTLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSTJL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOSLTJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IZOSLJT,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O
IZOSJTL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZOSJLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOTLJSZ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X
IOTLJZS,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
IOTLSJZ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IOTLSZJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
IOTLZJS,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
IOTLZSJ,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IOTJLSZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X
IOTJLZS,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
IOTJSZL,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X
IOTJZLS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTJZSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTSLZJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTSJLZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOTSJZL,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
IOTSZLJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTSZJL,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
IOTZLJS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTZLSJ,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IOTZJLS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTZJSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTZSJL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLTJSZ,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X
IOLTJZS,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
IOLTSJZ,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X
IOLTSZJ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
IOLTZJS,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
IOLTZSJ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X
IOLJTSZ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLJTZS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
IOLJSZT,O,X,O,O,O,X,X,X,X,O,X,O,O,X,X
IOLJZTS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
IOLJZST,O,X,O,O,X,X,X,O,X,X,X,X,O,X,O
IOLSTJZ,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
IOLSTZJ,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
IOLSJTZ,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
IOLSJZT,O,X,O,O,X,X,X,X,X,O,X,O,O,X,X
IOLSZTJ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOLSZJT,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IOLZTJS,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
IOLZTSJ,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IOLZJTS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
IOLZJST,O,X,O,O,X,X,X,O,X,X,X,X,O,X,O
IOLZSTJ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOLZSJT,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOJTLSZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJTLZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJTSZL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOJTZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJTZSL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJLTZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJLSZT,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOJLZTS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJLZST,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJSTZL,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOJSLTZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJSLZT,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOJSZTL,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOJSZLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOJZTLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJZLTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOJZSLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOSTLJZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSTLZJ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOSTJLZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IOSTJZL,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X
IOSTZLJ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOSTZJL,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IOSLTJZ,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
IOSLTZJ,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
IOSLJTZ,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
IOSLJZT,O,X,O,O,X,X,X,X,X,O,X,O,O,X,O
IOSLZTJ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOSLZJT,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O
IOSJTLZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOSJTZL,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X
IOSJLTZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOSJLZT,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOSJZTL,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOSJZLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOSZTLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSZTJL,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOSZLTJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOSZLJT,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O
IOSZJTL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSZJLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOZTLJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZTJLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTJSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
IOZLTSJ,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IOZLJTS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IOZLJST,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O
IOZLSTJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOZLSJT,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOZJTLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZJLTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOZJSLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOZSTLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZSTJL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZSLTJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOZSLJT,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O
IOZSJTL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOZSJLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTIJSZO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
LTIJSOZ,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
LTIJZSO,O,O,X,O,X,O,X,O,O,X,X,O,X,X,O
LTIJZOS,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X
LTIJOSZ,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X
LTIJOZS,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
LTISJZO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
LTISJOZ,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
LTISZJO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
LTISZOJ,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LTISOJZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTISOZJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTIZJSO,X,O,X,O,X,O,X,O,O,X,X,O,X,X,O
LTIZJOS,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
LTIZSJO,X,O,X,O,X,O,O,O,O,X,X,O,X,O,X
LTIZSOJ,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X
LTIZOJS,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X
LTIZOSJ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LTIOJSZ,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X
LTIOJZS,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
LTIOSJZ,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X
LTIOSZJ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
LTIOZJS,O,O,O,O,X,X,O,O,O,X,O,X,X,X,X
LTIOZSJ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X
LTJISZO,O,O,X,X,X,O,O,O,O,X,X,O,X,X,X
LTJISOZ,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X
LTJIZSO,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X
LTJIZOS,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X
LTJIOSZ,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X
LTJIOZS,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTJSIZO,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X
LTJSIOZ,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X
LTJSZIO,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
LTJSZOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
LTJSOIZ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
LTJSOZI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
LTJZISO,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X
LTJZIOS,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
LTJZSIO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X
LTJZSOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
LTJZOIS,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X
LTJZOSI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTJOISZ,O,X,O,X,O,O,O,X,O,X,X,O,X,X,X
LTJOIZS,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTJOSIZ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
LTJOSZI,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
LTJOZIS,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X
LTJOZSI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTSIJZO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,O
LTSIJOZ,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
LTSIZJO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,O
LTSIZOJ,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LTSIOJZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTSIOZJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTSJIZO,O,O,X,X,X,O,X,O,O,X,X,O,X,X,O
LTSJIOZ,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X
LTSJZIO,O,O,X,X,X,O,X,O,O,X,X,X,X,X,O
LTSJZOI,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
LTSJOIZ,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X
LTSJOZI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
LTSZIJO,O,O,X,O,X,O,X,O,O,X,X,X,X,O,O
LTSZIOJ,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X
LTSZJIO,O,O,X,X,X,O,X,O,O,X,X,X,X,O,O
LTSZJOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
LTSZOIJ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
LTSZOJI,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
LTSOIJZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTSOIZJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTSOJIZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTSOJZI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTSOZIJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSOZJI,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTZIJSO,X,O,X,O,X,O,X,O,O,X,X,O,X,X,O
LTZIJOS,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
LTZISJO,X,O,X,O,X,O,O,O,O,X,X,O,X,O,X
LTZISOJ,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X
LTZIOJS,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X
LTZIOSJ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LTZJISO,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X
LTZJIOS,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X
LTZJSIO,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X
LTZJSOI,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
LTZJOIS,X,O,X,X,X,X,O,O,O,X,O,X,X,X,X
LTZJOSI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTZSIJO,X,O,X,O,X,O,X,O,O,X,X,X,X,O,O
LTZSIOJ,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X
LTZSJIO,X,O,X,X,X,O,X,O,O,X,X,X,X,O,O
LTZSJOI,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
LTZSOIJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
LTZSOJI,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
LTZOIJS,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
LTZOISJ,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X
LTZOJIS,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
LTZOJSI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTZOSIJ,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X
LTZOSJI,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
LTOIJSZ,X,O,O,X,O,O,O,X,O,X,X,O,X,X,X
LTOIJZS,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTOISJZ,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTOISZJ,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X
LTOIZJS,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
LTOIZSJ,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X
LTOJISZ,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
LTOJIZS,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTOJSIZ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
LTOJSZI,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X
LTOJZIS,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
LTOJZSI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTOSIJZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOSIZJ,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X
LTOSJIZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOSJZI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTOSZIJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
LTOSZJI,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTOZIJS,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
LTOZISJ,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X
LTOZJIS,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
LTOZJSI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTOZSIJ,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X
LTOZSJI,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
LITJSZO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
LITJSOZ,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
LITJZSO,O,O,X,O,X,O,X,O,O,X,X,O,X,X,O
LITJZOS,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X
LITJOSZ,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X
LITJOZS,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
LITSJZO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
LITSJOZ,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
LITSZJO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
LITSZOJ,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LITSOJZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LITSOZJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LITZJSO,X,O,X,O,X,O,X,O,O,X,X,O,X,X,O
LITZJOS,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
LITZSJO,X,O,X,O,X,O,O,O,O,X,X,O,X,O,X
LITZSOJ,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X
LITZOJS,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X
LITZOSJ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LITOJSZ,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X
LITOJZS,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
LITOSJZ,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X
LITOSZJ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
LITOZJS,O,O,O,O,X,X,O,O,O,X,O,X,X,X,X
LITOZSJ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X
LIJTSZO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
LIJTSOZ,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
LIJTZSO,O,O,X,O,X,O,X,O,O,X,X,O,X,X,O
LIJTZOS,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X
LIJTOSZ,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X
LIJTOZS,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
LIJSTZO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
LIJSTOZ,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X
LIJSZTO,O,O,X,O,X,X,O,O,X,X,X,O,X,X,O
LIJSZOT,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O
