sequence,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhFXcB8hBCeB2?lBTjBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhFOhB8hBfjB6?jBTgBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhFicBGeBTgB3?hBUjBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhF8hBzdB+jBi?gBXhBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhF8hBWjBigBX?hBTjBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhF2hBSjBTgB3?hBUjBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jem6IvhFCdBUhBxiB3?gBTjBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jem6IvhFCdB3gBxiBU?hBTjBFtB
TZJSOIL,O,O,O,O,X,X,X,X
TZJSOLI,O,O,O,O,X,X,X,X
TZJOILS,O,O,O,O,O,O,O,X
TZJOISL,O,O,O,O,X,X,X,X
TZJOLIS,O,O,O,O,O,O,O,X
TZJOLSI,O,O,O,O,O,O,X,X
TZJOSIL,O,O,O,O,X,X,X,X
TZJOSLI,O,O,O,O,X,X,X,X
TZSILJO,O,O,O,O,O,X,O,O
TZSILOJ,O,O,O,X,X,X,X,X
TZSIJLO,O,O,O,O,O,X,O,O
TZSIJOL,O,O,O,O,X,X,X,X
TZSIOLJ,O,O,O,X,X,X,X,X
TZSIOJL,O,O,O,X,X,X,X,X
TZSLIJO,O,O,O,O,O,X,O,X
TZSLIOJ,O,O,O,X,X,X,X,X
TZSLJIO,O,O,O,O,O,X,O,X
TZSLJOI,O,O,O,O,O,X,X,X
TZSLOIJ,O,O,O,X,X,X,X,X
TZSLOJI,O,O,O,X,X,X,X,X
TZSJILO,O,O,O,O,O,X,O,O
TZSJIOL,O,O,O,O,X,X,X,X
TZSJLIO,O,O,O,O,O,X,O,X
TZSJLOI,O,O,O,O,O,X,X,X
TZSJOIL,O,O,O,O,X,X,X,X
TZSJOLI,O,O,O,O,X,X,X,X
TZSOILJ,O,O,O,X,X,X,X,X
TZSOIJL,O,O,O,X,X,X,X,X
TZSOLIJ,O,O,O,X,X,X,X,X
TZSOLJI,O,O,O,X,X,X,X,X
TZSOJIL,O,O,O,X,X,X,X,X
TZSOJLI,O,O,O,X,X,X,X,X
TZOILJS,O,O,O,O,O,O,O,X
TZOILSJ,O,O,O,X,X,X,X,X
TZOIJLS,O,O,O,O,O,O,O,X
TZOIJSL,O,O,O,O,X,X,X,X
TZOISLJ,O,O,O,X,X,X,X,X
TZOISJL,O,O,O,X,X,X,X,X
TZOLIJS,O,O,O,O,O,O,O,X
TZOLISJ,O,O,O,X,X,X,X,X
TZOLJIS,O,O,O,O,O,O,O,X
TZOLJSI,O,O,O,O,O,O,X,X
TZOLSIJ,O,O,O,X,X,X,X,X
TZOLSJI,O,O,O,X,X,X,X,X
TZOJILS,O,O,O,O,O,O,O,X
TZOJISL,O,O,O,O,X,X,X,X
TZOJLIS,O,O,O,O,O,O,O,X
TZOJLSI,O,O,O,O,O,O,X,X
TZOJSIL,O,O,O,O,X,X,X,X
TZOJSLI,O,O,O,O,X,X,X,X
TZOSILJ,O,O,O,X,X,X,X,X
TZOSIJL,O,O,O,X,X,X,X,X
TZOSLIJ,O,O,O,X,X,X,X,X
TZOSLJI,O,O,O,X,X,X,X,X
TZOSJIL,O,O,O,X,X,X,X,X
TZOSJLI,O,O,O,X,X,X,X,X
TOILJSZ,O,X,X,O,X,O,X,O
TOILJZS,O,X,X,O,O,O,O,X
TOILSJZ,O,O,O,X,X,O,X,O
TOILSZJ,O,O,O,X,X,X,X,X
TOILZJS,O,O,O,O,O,O,O,X
TOILZSJ,O,O,O,X,X,X,X,X
TOIJLSZ,O,X,X,O,X,O,X,O
TOIJLZS,O,X,X,O,O,O,O,X
TOIJSLZ,O,O,O,O,X,O,X,O
TOIJSZL,O,O,O,O,X,X,X,X
TOIJZLS,O,O,O,O,O,O,O,X
TOIJZSL,O,O,O,O,X,X,X,X
TOISLJZ,O,O,O,X,X,O,X,O
TOISLZJ,O,O,O,X,X,X,X,X
TOISJLZ,O,O,O,X,X,O,X,O
TOISJZL,O,O,O,X,X,X,X,X
TOISZLJ,O,O,O,X,X,X,X,X
TOISZJL,O,O,O,X,X,X,X,X
TOIZLJS,O,O,O,O,O,O,O,X
TOIZLSJ,O,O,O,X,X,X,X,X
TOIZJLS,O,O,O,O,O,O,O,X
TOIZJSL,O,O,O,O,X,X,X,X
TOIZSLJ,O,O,O,X,X,X,X,X
TOIZSJL,O,O,O,X,X,X,X,X
TOLIJSZ,O,X,X,O,X,O,X,X
TOLIJZS,O,X,X,O,O,O,X,X
TOLISJZ,O,O,O,X,X,O,X,X
TOLISZJ,O,O,O,X,X,X,X,X
TOLIZJS,O,O,O,O,O,O,X,X
TOLIZSJ,O,O,O,X,X,X,X,X
TOLJISZ,O,X,X,O,X,O,X,X
TOLJIZS,O,X,X,O,O,O,X,X
TOLJSIZ,O,X,X,O,X,O,X,X
TOLJSZI,O,X,X,O,X,O,X,X
TOLJZIS,O,X,X,O,O,O,X,X
TOLJZSI,O,X,X,O,O,O,X,X
TOLSIJZ,O,O,O,X,X,O,X,X
TOLSIZJ,O,O,O,X,X,X,X,X
TOLSJIZ,O,O,O,X,X,O,X,X
TOLSJZI,O,O,O,X,X,O,X,X
TOLSZIJ,O,O,O,X,X,X,X,X
TOLSZJI,O,O,O,X,X,X,X,X
TOLZIJS,O,O,O,O,O,O,X,X
TOLZISJ,O,O,O,X,X,X,X,X
TOLZJIS,O,O,O,O,O,O,X,X
TOLZJSI,O,O,O,O,O,O,X,X
TOLZSIJ,O,O,O,X,X,X,X,X
TOLZSJI,O,O,O,X,X,X,X,X
TOJILSZ,O,X,X,O,X,O,X,O
TOJILZS,O,X,X,O,O,O,O,X
TOJISLZ,O,O,O,O,X,O,X,O
TOJISZL,O,O,O,O,X,X,X,X
TOJIZLS,O,O,O,O,O,O,O,X
TOJIZSL,O,O,O,O,X,X,X,X
TOJLISZ,O,X,X,O,X,O,X,X
TOJLIZS,O,X,X,O,O,O,X,X
TOJLSIZ,O,X,X,O,X,O,X,X
TOJLSZI,O,X,X,O,X,O,X,X
TOJLZIS,O,X,X,O,O,O,X,X
TOJLZSI,O,X,X,O,O,O,X,X
TOJSILZ,O,O,O,O,X,O,X,O
TOJSIZL,O,O,O,O,X,X,X,X
TOJSLIZ,O,O,O,O,X,O,X,X
TOJSLZI,O,O,O,O,X,O,X,X
TOJSZIL,O,O,O,O,X,X,X,X
TOJSZLI,O,O,O,O,X,X,X,X
TOJZILS,O,O,O,O,O,O,O,X
TOJZISL,O,O,O,O,X,X,X,X
TOJZLIS,O,O,O,O,O,O,O,X
TOJZLSI,O,O,O,O,O,O,X,X
TOJZSIL,O,O,O,O,X,X,X,X
TOJZSLI,O,O,O,O,X,X,X,X
TOSILJZ,O,O,O,X,X,O,X,O
TOSILZJ,O,O,O,X,X,X,X,X
TOSIJLZ,O,O,O,X,X,O,X,O
TOSIJZL,O,O,O,X,X,X,X,X
TOSIZLJ,O,O,O,X,X,X,X,X
TOSIZJL,O,O,O,X,X,X,X,X
TOSLIJZ,O,O,O,X,X,O,X,X
TOSLIZJ,O,O,O,X,X,X,X,X
TOSLJIZ,O,O,O,X,X,O,X,X
TOSLJZI,O,O,O,X,X,O,X,X
TOSLZIJ,O,O,O,X,X,X,X,X
TOSLZJI,O,O,O,X,X,X,X,X
TOSJILZ,O,O,O,X,X,O,X,O
TOSJIZL,O,O,O,X,X,X,X,X
TOSJLIZ,O,O,O,X,X,O,X,X
TOSJLZI,O,O,O,X,X,O,X,X
TOSJZIL,O,O,O,X,X,X,X,X
TOSJZLI,O,O,O,X,X,X,X,X
TOSZILJ,O,O,O,X,X,X,X,X
TOSZIJL,O,O,O,X,X,X,X,X
TOSZLIJ,O,O,O,X,X,X,X,X
TOSZLJI,O,O,O,X,X,X,X,X
TOSZJIL,O,O,O,X,X,X,X,X
TOSZJLI,O,O,O,X,X,X,X,X
TOZILJS,O,O,O,O,O,O,O,X
TOZILSJ,O,O,O,X,X,X,X,X
TOZIJLS,O,O,O,O,O,O,O,X
TOZIJSL,O,O,O,O,X,X,X,X
TOZISLJ,O,O,O,X,X,X,X,X
TOZISJL,O,O,O,X,X,X,X,X
TOZLIJS,O,O,O,O,O,O,O,X
TOZLISJ,O,O,O,X,X,X,X,X
TOZLJIS,O,O,O,O,O,O,O,X
TOZLJSI,O,O,O,O,O,O,X,X
TOZLSIJ,O,O,O,X,X,X,X,X
TOZLSJI,O,O,O,X,X,X,X,X
TOZJILS,O,O,O,O,O,O,O,X
TOZJISL,O,O,O,O,X,X,X,X
TOZJLIS,O,O,O,O,O,O,O,X
TOZJLSI,O,O,O,O,O,O,X,X
TOZJSIL,O,O,O,O,X,X,X,X
TOZJSLI,O,O,O,O,X,X,X,X
TOZSILJ,O,O,O,X,X,X,X,X
TOZSIJL,O,O,O,X,X,X,X,X
TOZSLIJ,O,O,O,X,X,X,X,X
TOZSLJI,O,O,O,X,X,X,X,X
TOZSJIL,O,O,O,X,X,X,X,X
TOZSJLI,O,O,O,X,X,X,X,X
ITLJSZO,O,X,X,O,O,X,O,O
ITLJSOZ,X,X,X,O,X,X,X,O
ITLJZSO,O,X,X,O,O,X,O,O
ITLJZOS,O,X,X,O,O,X,O,X
ITLJOSZ,O,X,X,O,X,O,X,O
ITLJOZS,O,X,X,O,O,O,O,X
ITLSJZO,O,O,O,O,O,X,O,O
ITLSJOZ,X,O,X,O,X,X,X,O
ITLSZJO,O,O,O,O,O,X,O,O
ITLSZOJ,O,O,O,X,X,X,X,X
ITLSOJZ,X,O,X,X,X,O,X,O
ITLSOZJ,X,O,O,X,X,X,X,X
ITLZJSO,O,O,O,O,O,X,O,O
ITLZJOS,O,X,O,O,O,X,O,X
ITLZSJO,O,O,O,O,O,X,O,O
ITLZSOJ,O,O,O,X,X,X,X,X
ITLZOJS,O,X,O,O,O,O,O,X
ITLZOSJ,O,X,O,X,X,X,X,X
ITLOJSZ,O,X,X,O,X,O,X,O
ITLOJZS,O,X,X,O,O,O,O,X
ITLOSJZ,O,O,O,X,X,O,X,O
ITLOSZJ,O,O,O,X,X,X,X,X
ITLOZJS,O,O,O,O,O,O,O,X
ITLOZSJ,O,O,O,X,X,X,X,X
ITJLSZO,O,X,X,O,O,X,O,O
ITJLSOZ,X,X,X,O,X,X,X,O
ITJLZSO,O,X,X,O,O,X,O,O
ITJLZOS,O,X,X,O,O,X,O,X
ITJLOSZ,O,X,X,O,X,O,X,O
ITJLOZS,O,X,X,O,O,O,O,X
ITJSLZO,O,O,O,O,O,X,O,O
ITJSLOZ,X,O,X,O,X,X,X,O
ITJSZLO,O,O,O,O,O,X,O,O
ITJSZOL,O,O,O,O,X,X,X,X
ITJSOLZ,O,O,X,O,X,X,X,O
ITJSOZL,O,O,X,O,X,X,X,X
ITJZLSO,O,O,O,O,O,X,O,O
ITJZLOS,O,X,O,O,O,X,O,X
ITJZSLO,O,O,O,O,O,X,O,O
ITJZSOL,O,O,O,O,X,X,X,X
ITJZOLS,O,X,O,O,O,X,O,X
ITJZOSL,O,O,O,O,X,X,X,X
ITJOLSZ,O,X,X,O,X,O,X,O
ITJOLZS,O,X,X,O,O,O,O,X
ITJOSLZ,O,O,O,O,X,O,X,O
ITJOSZL,O,O,O,O,X,X,X,X
ITJOZLS,O,O,O,O,O,O,O,X
ITJOZSL,O,O,O,O,X,X,X,X
ITSLJZO,O,O,O,O,O,X,O,O
ITSLJOZ,X,O,X,O,X,X,X,O
ITSLZJO,O,O,O,O,O,X,O,O
ITSLZOJ,O,O,O,X,X,X,X,X
ITSLOJZ,X,O,O,X,X,O,X,O
ITSLOZJ,X,O,O,X,X,X,X,X
ITSJLZO,O,O,O,O,O,X,O,O
ITSJLOZ,X,O,X,O,X,X,X,O
ITSJZLO,O,O,O,O,O,X,O,O
ITSJZOL,O,O,O,O,X,X,X,X
ITSJOLZ,O,O,X,O,X,X,X,O
ITSJOZL,O,O,X,O,X,X,X,X
ITSZLJO,O,O,O,O,O,X,O,O
ITSZLOJ,O,O,O,X,X,X,X,X
ITSZJLO,O,O,O,O,O,X,O,O
ITSZJOL,O,O,O,O,X,X,X,X
ITSZOLJ,O,O,O,X,X,X,X,X
ITSZOJL,O,O,O,X,X,X,X,X
ITSOLJZ,O,O,O,X,X,O,X,O
ITSOLZJ,O,O,O,X,X,X,X,X
ITSOJLZ,O,O,O,X,X,O,X,O
ITSOJZL,O,O,O,X,X,X,X,X
ITSOZLJ,O,O,O,X,X,X,X,X
ITSOZJL,O,O,O,X,X,X,X,X
ITZLJSO,O,O,O,O,O,X,O,O
ITZLJOS,O,X,O,O,O,X,O,X
ITZLSJO,O,O,O,O,O,X,O,O
ITZLSOJ,O,O,O,X,X,X,X,X
ITZLOJS,O,X,O,O,O,O,O,X
ITZLOSJ,O,X,O,X,X,X,X,X
ITZJLSO,O,O,O,O,O,X,O,O
ITZJLOS,O,X,O,O,O,X,O,X
ITZJSLO,O,O,O,O,O,X,O,O
ITZJSOL,O,O,O,O,X,X,X,X
ITZJOLS,O,O,O,O,O,X,O,X
ITZJOSL,O,O,O,O,X,X,X,X
ITZSLJO,O,O,O,O,O,X,O,O
ITZSLOJ,O,O,O,X,X,X,X,X
ITZSJLO,O,O,O,O,O,X,O,O
ITZSJOL,O,O,O,O,X,X,X,X
ITZSOLJ,O,O,O,X,X,X,X,X
ITZSOJL,O,O,O,X,X,X,X,X
ITZOLJS,O,O,O,O,O,O,O,X
ITZOLSJ,O,O,O,X,X,X,X,X
ITZOJLS,O,O,O,O,O,O,O,X
ITZOJSL,O,O,O,O,X,X,X,X
ITZOSLJ,O,O,O,X,X,X,X,X
ITZOSJL,O,O,O,X,X,X,X,X
ITOLJSZ,O,X,X,O,X,O,X,O
ITOLJZS,O,X,X,O,O,O,O,X
ITOLSJZ,O,O,O,X,X,O,X,O
ITOLSZJ,O,O,O,X,X,X,X,X
ITOLZJS,O,O,O,O,O,O,O,X
ITOLZSJ,O,O,O,X,X,X,X,X
ITOJLSZ,O,X,X,O,X,O,X,O
ITOJLZS,O,X,X,O,O,O,O,X
ITOJSLZ,O,O,O,O,X,O,X,O
ITOJSZL,O,O,O,O,X,X,X,X
ITOJZLS,O,O,O,O,O,O,O,X
ITOJZSL,O,O,O,O,X,X,X,X
ITOSLJZ,O,O,O,X,X,O,X,O
ITOSLZJ,O,O,O,X,X,X,X,X
ITOSJLZ,O,O,O,X,X,O,X,O
ITOSJZL,O,O,O,X,X,X,X,X
ITOSZLJ,O,O,O,X,X,X,X,X
ITOSZJL,O,O,O,X,X,X,X,X
ITOZLJS,O,O,O,O,O,O,O,X
ITOZLSJ,O,O,O,X,X,X,X,X
ITOZJLS,O,O,O,O,O,O,O,X
ITOZJSL,O,O,O,O,X,X,X,X
ITOZSLJ,O,O,O,X,X,X,X,X
ITOZSJL,O,O,O,X,X,X,X,X
ILTJSZO,O,X,X,O,O,X,X,O
ILTJSOZ,X,X,X,O,X,X,X,O
ILTJZSO,O,X,X,O,O,X,O,X
ILTJZOS,O,X,X,O,O,X,O,X
ILTJOSZ,O,X,X,O,X,O,X,X
ILTJOZS,O,X,X,O,O,O,X,X
ILTSJZO,O,O,O,O,O,X,X,O
ILTSJOZ,X,O,X,O,X,X,X,O
ILTSZJO,O,O,O,O,O,X,X,X
ILTSZOJ,O,O,O,X,X,X,X,X
ILTSOJZ,X,O,X,X,X,O,X,X
ILTSOZJ,X,O,O,X,X,X,X,X
ILTZJSO,O,O,O,O,O,X,O,X
ILTZJOS,O,X,O,O,O,X,O,X
ILTZSJO,O,O,O,O,O,X,X,X
ILTZSOJ,O,O,O,X,X,X,X,X
ILTZOJS,O,X,O,O,O,O,X,X
ILTZOSJ,O,X,O,X,X,X,X,X
ILTOJSZ,O,X,X,O,X,O,X,X
ILTOJZS,O,X,X,O,O,O,X,X
ILTOSJZ,O,O,O,X,X,O,X,X
ILTOSZJ,O,O,O,X,X,X,X,X
ILTOZJS,O,O,O,O,O,O,X,X
ILTOZSJ,O,O,O,X,X,X,X,X
ILJTSZO,O,X,X,O,O,X,X,O
ILJTSOZ,X,X,X,O,X,X,X,O
ILJTZSO,O,X,X,O,O,X,O,X
ILJTZOS,O,X,X,O,O,X,O,X
ILJTOSZ,O,X,X,O,X,X,X,X
ILJTOZS,O,X,X,O,O,X,X,X
ILJSTZO,X,X,X,X,X,X,X,O
ILJSTOZ,X,X,X,X,X,X,X,O
ILJSZTO,O,X,X,X,O,X,O,O
ILJSZOT,O,X,X,X,O,X,O,O
ILJSOTZ,X,X,X,X,X,X,X,O
ILJSOZT,X,X,X,X,X,X,X,O
ILJZTSO,O,X,X,O,O,X,O,X
ILJZTOS,O,X,X,O,O,X,O,X
ILJZSTO,O,X,X,X,O,X,O,O
ILJZSOT,O,X,X,X,O,X,O,O
ILJZOTS,X,X,X,X,O,X,O,X
ILJZOST,O,X,X,X,O,X,O,X
ILJOTSZ,X,X,X,X,X,O,X,X
ILJOTZS,X,X,X,X,X,O,X,X
ILJOSTZ,X,X,X,X,X,O,X,O
ILJOSZT,X,X,X,X,X,O,X,O
ILJOZTS,X,X,X,X,O,O,O,X
ILJOZST,O,X,X,X,O,O,O,X
ILSTJZO,X,X,O,O,O,X,X,O
ILSTJOZ,X,X,X,O,X,X,X,O
ILSTZJO,X,O,O,O,O,X,X,X
ILSTZOJ,X,X,O,X,X,X,X,X
ILSTOJZ,X,X,X,X,X,X,X,X
ILSTOZJ,X,O,O,X,X,X,X,X
ILSJTZO,X,X,O,X,X,X,X,O
ILSJTOZ,X,X,X,X,X,X,X,O
ILSJZTO,O,O,O,X,O,X,O,O
ILSJZOT,O,O,O,X,O,X,O,O
ILSJOTZ,X,X,X,X,X,X,X,O
ILSJOZT,X,O,X,X,X,X,X,O
ILSZTJO,O,O,O,O,O,X,X,X
ILSZTOJ,O,X,O,X,X,X,X,X
ILSZJTO,O,O,O,X,O,X,O,O
ILSZJOT,O,O,O,X,O,X,O,O
ILSZOTJ,O,O,X,X,X,X,X,X
ILSZOJT,O,O,O,X,X,X,X,X
ILSOTJZ,X,X,X,X,X,X,X,X
ILSOTZJ,X,O,O,X,X,X,X,X
ILSOJTZ,X,X,X,X,X,O,X,O
ILSOJZT,X,O,X,X,X,O,X,O
ILSOZTJ,X,O,X,X,X,X,X,X
ILSOZJT,X,O,O,X,X,X,X,X
ILZTJSO,O,O,X,O,O,X,O,X
ILZTJOS,O,X,X,O,O,X,O,X
ILZTSJO,O,O,X,O,O,X,X,X
ILZTSOJ,O,O,X,X,X,X,X,X
ILZTOJS,O,X,X,O,O,X,X,X
ILZTOSJ,O,X,X,X,X,X,X,X
ILZJTSO,O,O,X,O,O,X,O,X
ILZJTOS,O,X,X,O,O,X,O,X
ILZJSTO,O,O,O,X,O,X,O,O
ILZJSOT,O,O,O,X,O,X,O,O
ILZJOTS,X,X,X,X,O,X,O,X
ILZJOST,O,X,O,X,O,X,O,X
ILZSTJO,O,O,O,O,O,X,X,X
ILZSTOJ,O,X,X,X,X,X,X,X
ILZSJTO,O,O,O,X,O,X,O,O
ILZSJOT,O,O,O,X,O,X,O,O
ILZSOTJ,O,X,X,X,X,X,X,X
ILZSOJT,O,O,O,X,X,X,X,X
ILZOTJS,X,X,X,O,O,X,X,X
ILZOTSJ,X,X,X,X,X,X,X,X
ILZOJTS,X,X,X,X,O,O,O,X
ILZOJST,O,X,O,X,O,O,O,X
ILZOSTJ,O,X,O,X,X,X,X,X
ILZOSJT,O,X,O,X,X,X,X,X
ILOTJSZ,X,X,X,O,X,O,X,X
ILOTJZS,X,X,X,O,O,O,X,X
ILOTSJZ,X,O,O,X,X,O,X,X
ILOTSZJ,X,O,O,X,X,X,X,X
ILOTZJS,X,O,O,O,O,O,X,X
ILOTZSJ,X,O,O,X,X,X,X,X
ILOJTSZ,X,X,X,X,X,O,X,X
ILOJTZS,X,X,X,X,X,O,X,X
ILOJSTZ,X,X,X,X,X,O,X,O
ILOJSZT,X,X,X,X,X,O,X,O
ILOJZTS,X,X,X,X,O,O,O,X
ILOJZST,O,X,X,X,O,O,O,X
ILOSTJZ,X,X,O,X,X,X,X,X
ILOSTZJ,X,O,O,X,X,X,X,X
ILOSJTZ,X,X,O,X,X,O,X,O
ILOSJZT,X,O,O,X,X,O,X,O
ILOSZTJ,X,O,O,X,X,X,X,X
ILOSZJT,X,O,O,X,X,X,X,X
ILOZTJS,X,O,X,O,O,X,X,X
ILOZTSJ,X,O,X,X,X,X,X,X
ILOZJTS,X,O,X,X,O,O,O,X
ILOZJST,O,O,O,X,O,O,O,X
ILOZSTJ,O,O,O,X,X,X,X,X
ILOZSJT,O,O,O,X,X,X,X,X
IJTLSZO,O,X,X,O,O,X,O,O
IJTLSOZ,X,X,X,O,X,X,X,O
IJTLZSO,O,X,X,O,O,X,O,O
IJTLZOS,O,X,X,O,O,X,O,X
IJTLOSZ,O,X,X,O,X,O,X,O
IJTLOZS,O,X,X,O,O,O,O,X
IJTSLZO,O,O,O,O,O,X,O,O
IJTSLOZ,X,O,X,O,X,X,X,O
IJTSZLO,O,O,O,O,O,X,O,O
IJTSZOL,O,O,O,O,X,X,X,X
IJTSOLZ,O,O,X,O,X,X,X,O
IJTSOZL,O,O,X,O,X,X,X,X
IJTZLSO,O,O,O,O,O,X,O,O
IJTZLOS,O,X,O,O,O,X,O,X
IJTZSLO,O,O,O,O,O,X,O,O
IJTZSOL,O,O,O,O,X,X,X,X
IJTZOLS,O,X,O,O,O,X,O,X
IJTZOSL,O,O,O,O,X,X,X,X
IJTOLSZ,O,X,X,O,X,O,X,O
IJTOLZS,O,X,X,O,O,O,O,X
IJTOSLZ,O,O,O,O,X,O,X,O
IJTOSZL,O,O,O,O,X,X,X,X
IJTOZLS,O,O,O,O,O,O,O,X
IJTOZSL,O,O,O,O,X,X,X,X
IJLTSZO,O,X,X,O,O,X,X,O
IJLTSOZ,X,X,X,O,X,X,X,O
IJLTZSO,O,X,X,O,O,X,O,X
IJLTZOS,O,X,X,O,O,X,O,X
IJLTOSZ,O,X,X,O,X,X,X,X
IJLTOZS,O,X,X,O,O,X,X,X
IJLSTZO,X,X,X,X,X,X,X,O
IJLSTOZ,X,X,X,X,X,X,X,O
IJLSZTO,O,X,X,X,O,X,O,O
IJLSZOT,O,X,X,X,O,X,O,O
IJLSOTZ,X,X,X,X,X,X,X,O
IJLSOZT,X,X,X,X,X,X,X,O
IJLZTSO,O,X,X,O,O,X,O,X
IJLZTOS,O,X,X,O,O,X,O,X
IJLZSTO,O,X,X,X,O,X,O,O
IJLZSOT,O,X,X,X,O,X,O,O
IJLZOTS,X,X,X,X,O,X,O,X
IJLZOST,O,X,X,X,O,X,O,X
IJLOTSZ,X,X,X,X,X,O,X,X
IJLOTZS,X,X,X,X,X,O,X,X
IJLOSTZ,X,X,X,X,X,O,X,O
IJLOSZT,X,X,X,X,X,O,X,O
IJLOZTS,X,X,X,X,O,O,O,X
IJLOZST,O,X,X,X,O,O,O,X
IJSTLZO,O,X,O,X,X,X,X,O
IJSTLOZ,X,X,X,X,X,X,X,O
IJSTZLO,O,X,O,X,X,X,X,O
IJSTZOL,O,X,O,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,X,X,O
IJSTOZL,O,X,X,X,X,X,X,X
IJSLTZO,X,X,O,X,X,X,X,O
IJSLTOZ,X,X,X,X,X,X,X,O
IJSLZTO,O,O,O,X,O,X,O,O
IJSLZOT,O,O,O,X,O,X,O,O
IJSLOTZ,X,X,X,X,X,X,X,O
IJSLOZT,X,O,X,X,X,X,X,O
IJSZTLO,O,O,O,X,X,X,X,X
IJSZTOL,O,X,X,X,X,X,X,X
IJSZLTO,O,O,O,X,O,X,O,O
IJSZLOT,O,O,O,X,O,X,O,O
IJSZOTL,O,X,X,X,X,X,X,X
IJSZOLT,O,O,O,X,X,X,X,X
IJSOTLZ,X,X,X,X,X,X,X,X
IJSOTZL,X,X,X,X,X,X,X,X
IJSOLTZ,X,X,X,X,X,X,X,O
IJSOLZT,X,O,X,X,X,X,X,O
IJSOZTL,X,O,X,X,X,X,X,X
IJSOZLT,X,O,X,X,X,X,X,X
IJZTLSO,O,O,X,O,O,X,O,X
IJZTLOS,O,X,X,O,O,X,O,X
IJZTSLO,O,O,O,O,O,X,O,X
IJZTSOL,O,O,X,O,X,X,X,X
IJZTOLS,O,X,X,O,O,X,O,X
IJZTOSL,O,O,O,O,X,X,X,X
IJZLTSO,O,O,X,O,O,X,O,X
IJZLTOS,O,X,X,O,O,X,O,X
IJZLSTO,O,O,O,X,O,X,O,O
IJZLSOT,O,O,O,X,O,X,O,O
IJZLOTS,X,X,X,X,O,X,O,X
IJZLOST,O,X,O,X,O,X,O,X
IJZSTLO,O,O,O,X,X,X,X,X
IJZSTOL,O,O,X,X,X,X,X,X
IJZSLTO,O,O,O,X,O,X,O,O
IJZSLOT,O,O,O,X,O,X,O,O
IJZSOTL,O,X,O,X,X,X,X,X
IJZSOLT,O,O,O,X,X,X,X,X
IJZOTLS,O,X,X,X,X,X,X,X
IJZOTSL,O,O,O,X,X,X,X,X
IJZOLTS,X,X,X,X,O,X,O,X
IJZOLST,O,X,O,X,O,X,O,X
IJZOSTL,O,X,O,X,X,X,X,X
IJZOSLT,O,O,O,X,X,X,X,X
IJOTLSZ,O,X,X,X,X,O,X,X
IJOTLZS,O,X,X,X,X,O,X,X
IJOTSLZ,O,O,O,X,X,O,X,X
IJOTSZL,O,O,O,X,X,X,X,X
IJOTZLS,O,O,O,X,X,O,X,X
IJOTZSL,O,O,O,X,X,X,X,X
IJOLTSZ,X,X,X,X,X,O,X,X
IJOLTZS,X,X,X,X,X,O,X,X
IJOLSTZ,X,X,X,X,X,O,X,O
IJOLSZT,X,X,X,X,X,O,X,O
IJOLZTS,X,X,X,X,O,O,O,X
IJOLZST,O,X,X,X,O,O,O,X
IJOSTLZ,X,X,O,X,X,O,X,X
IJOSTZL,X,X,O,X,X,X,X,X
IJOSLTZ,X,X,O,X,X,O,X,O
IJOSLZT,X,O,O,X,X,O,X,O
IJOSZTL,X,O,O,X,X,X,X,X
IJOSZLT,X,O,O,X,X,X,X,X
IJOZTLS,O,O,X,X,X,O,X,X
IJOZTSL,O,O,O,X,X,X,X,X
IJOZLTS,X,O,X,X,O,O,O,X
IJOZLST,O,O,O,X,O,O,O,X
IJOZSTL,O,O,O,X,X,X,X,X
IJOZSLT,O,O,O,X,X,X,X,X
ISTLJZO,O,O,O,O,O,X,X,O
ISTLJOZ,X,O,X,O,X,X,X,O
ISTLZJO,O,O,O,O,O,X,X,O
ISTLZOJ,O,O,O,X,X,X,X,X
ISTLOJZ,X,O,O,X,X,O,X,O
ISTLOZJ,X,O,O,X,X,X,X,X
ISTJLZO,O,O,O,O,O,X,X,O
ISTJLOZ,X,O,X,O,X,X,X,O
ISTJZLO,O,O,O,O,O,X,X,O
ISTJZOL,O,O,O,O,X,X,X,X
ISTJOLZ,O,O,X,O,X,X,X,O
ISTJOZL,O,O,X,O,X,X,X,X
ISTZLJO,O,O,O,O,O,X,X,O
ISTZLOJ,O,O,O,X,X,X,X,X
ISTZJLO,O,O,O,O,O,X,X,O
ISTZJOL,O,O,O,O,X,X,X,X
ISTZOLJ,O,O,O,X,X,X,X,X
ISTZOJL,O,O,O,X,X,X,X,X
ISTOLJZ,O,O,O,X,X,O,X,O
ISTOLZJ,O,O,O,X,X,X,X,X
ISTOJLZ,O,O,O,X,X,O,X,O
ISTOJZL,O,O,O,X,X,X,X,X
ISTOZLJ,O,O,O,X,X,X,X,X
