sequence,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeX8IvhFxdBUgB?FiBTjB6rBmqB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8Jex9IvhFUgBFhB?XiBTjB6rBmqB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeX8IvhFxdBUgB?FiBTjByqB+rB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8Jex8IvhF6jBFgB?0hBmiB3lBTrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeeCJvhFfjB6jB?UgBFhBxqBTrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeX8IvhFxdBalB?FiBTjBGmBUrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeT8IvhFeiBfjB?6jBFgBxqBUrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8Jem8IvhFCeBUgB?FhBTjBxqB3rB
TZJSLIO,O,X,O,O,O,O,O,X
TZJSLOI,O,O,O,O,O,O,O,O
TZJSOIL,O,O,O,O,X,O,X,X
TZJSOLI,O,O,O,O,O,O,O,O
TZJOILS,O,X,O,O,X,O,X,O
TZJOISL,O,O,O,O,X,O,X,X
TZJOLIS,O,X,O,O,X,O,X,O
TZJOLSI,O,O,O,O,X,O,X,O
TZJOSIL,O,O,O,O,X,O,X,X
TZJOSLI,O,O,O,O,O,O,O,O
TZSILJO,O,X,X,O,O,O,O,X
TZSILOJ,O,X,O,O,X,O,O,X
TZSIJLO,O,X,O,O,O,O,O,X
TZSIJOL,O,X,O,O,O,O,O,X
TZSIOLJ,O,O,O,O,X,O,O,X
TZSIOJL,O,O,O,O,X,O,O,X
TZSLIJO,X,X,X,O,O,O,O,X
TZSLIOJ,O,X,O,O,X,O,O,X
TZSLJIO,X,X,X,O,O,X,O,X
TZSLJOI,X,X,X,O,O,X,O,O
TZSLOIJ,O,O,O,O,X,O,X,X
TZSLOJI,X,O,X,X,X,X,X,X
TZSJILO,X,X,X,O,O,O,O,X
TZSJIOL,O,O,O,O,O,O,O,X
TZSJLIO,X,X,X,O,O,O,O,X
TZSJLOI,X,O,X,O,O,O,O,O
TZSJOIL,O,O,O,O,X,O,X,X
TZSJOLI,X,O,X,O,O,O,O,O
TZSOILJ,O,O,O,O,X,O,X,X
TZSOIJL,O,O,O,O,X,O,X,X
TZSOLIJ,O,O,O,O,X,O,X,X
TZSOLJI,X,O,X,X,X,X,X,O
TZSOJIL,O,O,O,O,X,O,X,X
TZSOJLI,X,O,X,O,X,O,X,O
TZOILJS,O,X,O,O,X,O,X,O
TZOILSJ,O,X,O,O,X,O,X,O
TZOIJLS,O,X,O,O,X,O,X,O
TZOIJSL,O,O,O,O,X,O,X,O
TZOISLJ,O,O,O,O,X,O,X,O
TZOISJL,O,O,O,O,X,O,X,O
TZOLIJS,O,X,O,O,X,O,X,O
TZOLISJ,O,X,O,O,X,O,X,O
TZOLJIS,O,X,O,O,X,O,X,O
TZOLJSI,O,X,O,O,X,O,X,O
TZOLSIJ,O,O,O,O,X,O,X,X
TZOLSJI,O,O,X,X,X,O,X,O
TZOJILS,O,X,O,O,X,O,X,O
TZOJISL,O,O,O,O,X,O,X,X
TZOJLIS,O,X,O,O,X,O,X,O
TZOJLSI,O,O,O,O,X,O,X,O
TZOJSIL,O,O,O,O,X,O,X,X
TZOJSLI,O,O,O,O,O,O,X,O
TZOSILJ,O,O,O,O,X,O,X,X
TZOSIJL,O,O,O,O,X,O,X,X
TZOSLIJ,O,O,O,O,X,O,X,X
TZOSLJI,X,O,X,X,X,X,X,O
TZOSJIL,O,O,O,O,X,O,X,X
TZOSJLI,X,O,X,O,X,O,X,O
TOILJSZ,O,X,O,O,X,O,X,X
TOILJZS,O,X,O,O,X,O,X,X
TOILSJZ,O,X,O,X,X,O,X,O
TOILSZJ,O,X,O,X,X,O,X,O
TOILZJS,X,X,X,O,X,O,X,O
TOILZSJ,O,X,O,O,X,O,X,O
TOIJLSZ,O,X,O,O,X,O,O,X
TOIJLZS,O,X,O,O,X,O,X,X
TOIJSLZ,O,X,O,O,X,O,O,X
TOIJSZL,O,O,O,X,X,X,O,X
TOIJZLS,O,X,O,O,X,O,O,X
TOIJZSL,O,O,O,O,X,O,O,X
TOISLJZ,O,X,O,X,X,O,O,O
TOISLZJ,O,X,O,X,X,O,O,O
TOISJLZ,O,X,O,X,X,O,O,O
TOISJZL,O,O,O,X,X,X,O,O
TOISZLJ,O,O,O,X,X,O,O,O
TOISZJL,O,O,O,X,X,O,O,O
TOIZLJS,O,X,O,O,X,O,O,O
TOIZLSJ,O,X,O,O,X,O,X,O
TOIZJLS,O,X,O,O,X,O,O,O
TOIZJSL,O,O,O,O,X,O,O,O
TOIZSLJ,O,O,O,O,X,O,O,O
TOIZSJL,O,O,O,O,X,O,O,O
TOLIJSZ,O,X,O,O,X,O,X,X
TOLIJZS,O,X,O,O,X,O,X,X
TOLISJZ,O,X,O,X,X,O,X,O
TOLISZJ,O,X,O,X,X,O,X,O
TOLIZJS,X,X,X,O,X,O,X,O
TOLIZSJ,O,X,O,O,X,O,X,O
TOLJISZ,O,X,O,O,X,O,X,X
TOLJIZS,O,X,O,O,X,O,X,X
TOLJSIZ,O,X,O,O,X,O,X,X
TOLJSZI,X,X,O,O,X,X,X,X
TOLJZIS,O,X,O,O,X,O,X,X
TOLJZSI,O,X,O,O,X,O,X,X
TOLSIJZ,O,X,O,X,X,O,X,X
TOLSIZJ,O,X,O,X,X,O,X,X
TOLSJIZ,O,X,X,O,X,O,X,X
TOLSJZI,X,X,X,O,X,X,X,X
TOLSZIJ,O,X,X,O,X,O,X,X
TOLSZJI,X,X,X,X,X,O,X,X
TOLZIJS,X,X,X,O,X,O,X,O
TOLZISJ,O,X,O,O,X,O,X,O
TOLZJIS,X,X,X,O,X,O,X,O
TOLZJSI,X,X,X,O,X,O,X,O
TOLZSIJ,O,X,O,O,X,O,X,X
TOLZSJI,X,X,X,X,X,O,X,O
TOJILSZ,O,X,O,O,X,O,O,X
TOJILZS,O,X,O,O,X,O,X,X
TOJISLZ,O,X,O,O,X,O,O,X
TOJISZL,O,O,O,X,X,X,O,X
TOJIZLS,O,X,O,O,X,O,O,X
TOJIZSL,O,O,O,O,X,O,O,X
TOJLISZ,O,X,O,O,X,O,X,X
TOJLIZS,O,X,O,O,X,O,X,X
TOJLSIZ,O,X,O,O,X,O,O,X
TOJLSZI,O,X,O,O,X,X,O,X
TOJLZIS,O,X,O,O,X,O,X,X
TOJLZSI,O,X,O,O,X,O,X,X
TOJSILZ,O,X,O,O,X,O,O,X
TOJSIZL,O,O,O,X,X,X,O,X
TOJSLIZ,O,X,O,O,X,X,O,X
TOJSLZI,X,X,O,O,X,X,O,X
TOJSZIL,O,O,O,O,X,X,X,X
TOJSZLI,O,O,X,O,X,X,O,X
TOJZILS,O,X,O,O,X,O,X,X
TOJZISL,O,O,O,O,X,O,X,X
TOJZLIS,O,X,O,O,X,O,X,X
TOJZLSI,O,O,O,O,X,O,X,X
TOJZSIL,O,O,O,O,X,O,X,X
TOJZSLI,O,O,O,O,X,O,O,X
TOSILJZ,O,X,O,X,X,O,O,X
TOSILZJ,O,X,O,X,X,O,O,X
TOSIJLZ,O,X,O,X,X,O,O,X
TOSIJZL,O,O,O,X,X,X,O,X
TOSIZLJ,O,O,O,X,X,O,O,X
TOSIZJL,O,O,O,X,X,O,O,X
TOSLIJZ,O,X,O,X,X,O,O,X
TOSLIZJ,O,X,O,X,X,O,O,X
TOSLJIZ,O,X,X,O,X,O,O,X
TOSLJZI,X,X,X,O,X,X,O,X
TOSLZIJ,O,X,X,O,X,O,X,X
TOSLZJI,X,X,X,X,X,O,X,X
TOSJILZ,O,X,O,O,X,O,O,X
TOSJIZL,O,O,O,X,X,X,O,X
TOSJLIZ,O,X,O,O,X,X,O,X
TOSJLZI,X,X,O,O,X,X,O,X
TOSJZIL,O,O,O,O,X,X,X,X
TOSJZLI,O,O,X,O,X,X,O,X
TOSZILJ,O,O,O,O,X,O,X,X
TOSZIJL,O,O,O,O,X,O,X,X
TOSZLIJ,O,O,O,O,X,O,X,X
TOSZLJI,X,O,X,X,X,X,X,X
TOSZJIL,O,O,O,O,X,O,X,X
TOSZJLI,X,O,X,O,X,O,X,X
TOZILJS,O,X,O,O,X,O,X,O
TOZILSJ,O,X,O,O,X,O,X,O
TOZIJLS,O,X,O,O,X,O,X,O
TOZIJSL,O,O,O,O,X,O,X,O
TOZISLJ,O,O,O,O,X,O,X,O
TOZISJL,O,O,O,O,X,O,X,O
TOZLIJS,O,X,O,O,X,O,X,O
TOZLISJ,O,X,O,O,X,O,X,O
TOZLJIS,O,X,O,O,X,O,X,O
TOZLJSI,O,X,O,O,X,O,X,O
TOZLSIJ,O,O,O,O,X,O,X,X
TOZLSJI,O,O,X,X,X,O,X,O
TOZJILS,O,X,O,O,X,O,X,O
TOZJISL,O,O,O,O,X,O,X,X
TOZJLIS,O,X,O,O,X,O,X,O
TOZJLSI,O,O,O,O,X,O,X,O
TOZJSIL,O,O,O,O,X,O,X,X
TOZJSLI,O,O,O,O,X,O,X,O
TOZSILJ,O,O,O,O,X,O,X,X
TOZSIJL,O,O,O,O,X,O,X,X
TOZSLIJ,O,O,O,O,X,O,X,X
TOZSLJI,X,O,X,X,X,X,X,O
TOZSJIL,O,O,O,O,X,O,X,X
TOZSJLI,X,O,X,O,X,O,X,O
ITLJSZO,O,X,O,O,X,X,O,X
ITLJSOZ,O,X,O,O,X,O,O,X
ITLJZSO,O,X,O,O,X,O,O,X
ITLJZOS,X,X,X,O,X,X,O,X
ITLJOSZ,X,X,O,O,X,X,O,X
ITLJOZS,X,X,X,O,X,X,X,X
ITLSJZO,O,X,O,O,X,X,O,O
ITLSJOZ,O,X,O,O,X,O,O,O
ITLSZJO,O,X,X,O,X,O,O,O
ITLSZOJ,O,X,O,O,X,O,O,O
ITLSOJZ,O,X,O,X,X,O,O,O
ITLSOZJ,O,X,O,X,X,O,O,X
ITLZJSO,X,X,X,O,X,O,O,O
ITLZJOS,X,X,X,O,X,X,O,O
ITLZSJO,O,X,X,O,X,O,O,O
ITLZSOJ,O,X,O,X,X,O,O,O
ITLZOJS,X,X,X,O,X,O,O,O
ITLZOSJ,X,X,X,X,X,O,X,X
ITLOJSZ,O,X,X,O,X,O,X,X
ITLOJZS,X,X,X,O,X,O,X,X
ITLOSJZ,O,X,X,X,X,O,X,X
ITLOSZJ,O,X,X,X,X,O,X,X
ITLOZJS,X,X,X,O,X,O,X,X
ITLOZSJ,O,X,X,O,X,O,X,X
ITJLSZO,O,X,O,O,X,X,O,X
ITJLSOZ,O,X,O,O,X,O,O,X
ITJLZSO,O,X,O,O,X,O,O,X
ITJLZOS,X,X,X,O,X,X,O,X
ITJLOSZ,X,X,O,O,X,X,O,X
ITJLOZS,X,X,O,O,X,X,X,X
ITJSLZO,O,X,O,O,O,X,O,X
ITJSLOZ,O,X,O,O,X,O,O,X
ITJSZLO,O,X,O,O,O,X,O,X
ITJSZOL,O,X,O,O,O,X,O,X
ITJSOLZ,O,X,O,O,X,O,O,X
ITJSOZL,O,X,O,X,X,X,O,X
ITJZLSO,O,X,O,O,O,O,O,X
ITJZLOS,X,X,X,O,X,X,O,X
ITJZSLO,O,X,O,O,O,O,O,X
ITJZSOL,O,X,O,X,O,O,O,X
ITJZOLS,O,X,X,O,X,X,O,X
ITJZOSL,O,X,X,X,O,O,O,X
ITJOLSZ,O,X,O,O,X,X,O,X
ITJOLZS,O,X,O,O,X,X,X,X
ITJOSLZ,O,X,O,O,X,X,O,X
ITJOSZL,O,X,O,X,X,X,O,X
ITJOZLS,O,X,O,O,X,X,O,X
ITJOZSL,O,X,O,O,X,X,O,X
ITSLJZO,O,X,O,O,O,X,O,O
ITSLJOZ,O,X,O,O,X,O,O,O
ITSLZJO,O,X,X,O,O,O,O,O
ITSLZOJ,O,X,O,O,X,O,O,O
ITSLOJZ,O,X,O,X,X,O,O,O
ITSLOZJ,O,X,O,X,X,O,O,O
ITSJLZO,O,X,O,O,O,X,O,O
ITSJLOZ,O,X,O,O,X,O,O,O
ITSJZLO,O,X,O,O,O,X,O,O
ITSJZOL,O,X,O,O,O,X,O,O
ITSJOLZ,O,X,O,O,X,O,O,O
ITSJOZL,O,X,O,X,X,X,O,O
ITSZLJO,O,X,X,O,O,O,O,O
ITSZLOJ,O,X,O,O,X,O,O,O
ITSZJLO,O,X,O,O,O,O,O,O
ITSZJOL,O,X,O,O,O,O,O,O
ITSZOLJ,O,X,O,O,X,O,O,O
ITSZOJL,O,X,O,O,X,O,O,O
ITSOLJZ,O,X,O,X,X,O,O,O
ITSOLZJ,O,X,O,X,X,O,O,O
ITSOJLZ,O,X,O,X,X,O,O,O
ITSOJZL,O,X,O,X,X,X,O,O
ITSOZLJ,O,X,O,X,X,O,O,O
ITSOZJL,O,X,O,X,X,X,O,O
ITZLJSO,X,X,X,O,O,O,O,O
ITZLJOS,X,X,X,O,X,X,O,O
ITZLSJO,O,X,X,O,X,O,O,O
ITZLSOJ,O,X,O,X,X,O,O,O
ITZLOJS,X,X,X,O,X,X,O,O
ITZLOSJ,X,X,X,X,X,O,X,O
ITZJLSO,O,X,O,O,O,O,O,O
ITZJLOS,X,X,X,O,X,X,O,O
ITZJSLO,O,X,O,O,O,O,O,O
ITZJSOL,O,X,O,X,O,O,O,O
ITZJOLS,X,X,X,O,X,O,O,O
ITZJOSL,O,X,X,X,O,O,O,O
ITZSLJO,O,X,X,O,O,O,O,O
ITZSLOJ,O,X,O,X,X,O,O,O
ITZSJLO,O,X,O,O,O,O,O,O
ITZSJOL,O,X,O,X,O,O,O,O
ITZSOLJ,O,X,O,X,X,O,O,O
ITZSOJL,O,X,O,X,X,O,O,O
ITZOLJS,X,X,X,O,X,O,O,O
ITZOLSJ,O,X,O,X,X,O,X,O
ITZOJLS,X,X,X,O,X,O,O,O
ITZOJSL,O,X,O,X,O,O,O,O
ITZOSLJ,O,X,O,X,X,O,O,O
ITZOSJL,O,X,O,X,X,O,O,O
ITOLJSZ,O,X,O,O,X,O,X,X
ITOLJZS,O,X,O,O,X,O,X,X
ITOLSJZ,O,X,O,X,X,O,X,O
ITOLSZJ,O,X,O,X,X,O,X,O
ITOLZJS,X,X,X,O,X,O,X,O
ITOLZSJ,O,X,O,O,X,O,X,O
ITOJLSZ,O,X,O,O,X,O,O,X
ITOJLZS,O,X,O,O,X,O,X,X
ITOJSLZ,O,X,O,O,X,O,O,X
ITOJSZL,O,X,O,X,X,X,O,X
ITOJZLS,O,X,O,O,X,O,O,X
ITOJZSL,O,X,O,O,X,O,O,X
ITOSLJZ,O,X,O,X,X,O,O,O
ITOSLZJ,O,X,O,X,X,O,O,O
ITOSJLZ,O,X,O,X,X,O,O,O
ITOSJZL,O,X,O,X,X,X,O,O
ITOSZLJ,O,X,O,X,X,O,O,O
ITOSZJL,O,X,O,X,X,O,O,O
ITOZLJS,X,X,X,O,X,O,O,O
ITOZLSJ,O,X,O,O,X,O,X,O
ITOZJLS,O,X,O,O,X,O,O,O
ITOZJSL,O,X,O,O,X,O,O,O
ITOZSLJ,O,X,O,O,X,O,O,O
ITOZSJL,O,X,O,O,X,O,O,O
ILTJSZO,O,X,X,O,X,X,O,X
ILTJSOZ,O,X,X,O,X,O,O,X
ILTJZSO,X,X,X,O,X,O,O,X
ILTJZOS,X,X,X,O,X,X,O,X
ILTJOSZ,X,X,X,O,X,X,O,X
ILTJOZS,X,X,X,O,X,X,X,X
ILTSJZO,O,X,X,O,X,X,O,O
ILTSJOZ,O,X,X,O,X,O,O,O
ILTSZJO,O,X,X,O,X,O,O,O
ILTSZOJ,O,X,X,O,X,O,O,O
ILTSOJZ,O,X,X,X,X,O,O,O
ILTSOZJ,O,X,X,X,X,O,O,X
ILTZJSO,X,X,X,O,X,O,O,O
ILTZJOS,X,X,X,O,X,X,O,O
ILTZSJO,O,X,X,O,X,O,O,O
ILTZSOJ,O,X,X,X,X,O,O,O
ILTZOJS,X,X,X,O,X,O,O,O
ILTZOSJ,X,X,X,X,X,O,X,X
ILTOJSZ,O,X,X,O,X,O,X,X
ILTOJZS,X,X,X,O,X,O,X,X
ILTOSJZ,O,X,X,X,X,O,X,X
ILTOSZJ,O,X,X,X,X,O,X,X
ILTOZJS,X,X,X,O,X,O,X,X
ILTOZSJ,O,X,X,O,X,O,X,X
ILJTSZO,X,X,O,O,X,X,O,X
ILJTSOZ,X,X,O,O,X,X,O,X
ILJTZSO,X,X,O,O,X,X,O,X
ILJTZOS,X,X,X,O,X,X,O,X
ILJTOSZ,X,X,O,O,X,X,O,X
ILJTOZS,X,X,O,O,X,X,X,X
ILJSTZO,X,X,O,O,O,X,O,O
ILJSTOZ,X,X,O,O,X,X,O,O
ILJSZTO,X,X,X,O,O,X,O,O
ILJSZOT,X,X,X,O,O,X,O,O
ILJSOTZ,X,X,O,O,X,X,O,O
ILJSOZT,X,X,O,O,O,X,O,O
ILJZTSO,X,X,X,O,O,X,X,O
ILJZTOS,X,X,X,O,X,X,X,O
ILJZSTO,X,X,X,O,O,X,O,O
ILJZSOT,X,X,X,O,O,X,O,O
ILJZOTS,X,X,X,O,X,X,X,X
ILJZOST,X,X,X,O,X,X,O,X
ILJOTSZ,X,X,O,O,X,X,X,X
ILJOTZS,X,X,O,O,X,X,X,X
ILJOSTZ,X,X,O,O,X,X,O,X
ILJOSZT,X,X,O,O,X,X,O,X
ILJOZTS,X,X,O,O,X,X,X,X
ILJOZST,X,X,O,O,X,X,X,X
ILSTJZO,O,X,X,X,O,X,O,O
ILSTJOZ,O,X,X,X,X,X,O,O
ILSTZJO,O,X,X,X,O,X,O,O
ILSTZOJ,O,X,X,X,X,X,O,O
ILSTOJZ,O,X,X,X,X,X,O,O
ILSTOZJ,O,X,X,X,X,X,O,O
ILSJTZO,X,X,X,O,O,X,O,O
ILSJTOZ,X,X,X,O,X,X,O,O
ILSJZTO,X,X,X,O,O,X,O,O
ILSJZOT,X,X,X,O,O,X,O,O
ILSJOTZ,X,X,X,O,X,X,O,O
ILSJOZT,X,X,X,O,O,X,O,O
ILSZTJO,X,X,X,O,O,X,O,O
ILSZTOJ,X,X,X,O,X,X,O,O
ILSZJTO,X,X,X,O,O,X,O,O
ILSZJOT,X,X,X,O,O,X,O,O
ILSZOTJ,X,X,X,O,X,X,X,O
ILSZOJT,X,X,X,O,O,X,O,O
ILSOTJZ,O,X,O,X,X,X,O,O
ILSOTZJ,O,X,O,X,X,X,O,O
ILSOJTZ,O,X,O,X,X,X,O,O
ILSOJZT,O,X,O,X,O,X,O,O
ILSOZTJ,O,X,O,X,X,X,X,O
ILSOZJT,O,X,O,X,O,X,O,O
ILZTJSO,X,X,X,O,O,O,X,O
ILZTJOS,X,X,X,O,X,X,X,O
ILZTSJO,X,X,X,O,X,O,X,O
ILZTSOJ,X,X,X,O,X,O,X,O
ILZTOJS,X,X,X,O,X,O,X,O
ILZTOSJ,X,X,X,X,X,O,X,O
ILZJTSO,X,X,X,O,O,O,X,O
ILZJTOS,X,X,X,O,X,O,X,O
ILZJSTO,X,X,X,O,O,O,O,O
ILZJSOT,X,X,X,O,O,O,O,O
ILZJOTS,X,X,X,O,X,O,X,X
ILZJOST,X,X,X,O,X,O,O,X
ILZSTJO,X,X,X,O,O,X,O,O
ILZSTOJ,X,X,X,O,X,X,X,O
ILZSJTO,X,X,X,O,O,X,O,O
ILZSJOT,X,X,X,O,O,X,O,O
ILZSOTJ,X,X,X,O,X,X,X,O
ILZSOJT,X,X,X,O,O,X,O,O
ILZOTJS,X,X,X,O,X,O,X,O
ILZOTSJ,X,X,X,X,X,O,X,O
ILZOJTS,X,X,X,O,X,O,X,O
ILZOJST,X,X,X,O,X,O,O,O
ILZOSTJ,X,X,X,O,X,O,X,O
ILZOSJT,X,X,X,O,X,O,X,O
ILOTJSZ,O,X,O,O,X,O,X,X
ILOTJZS,X,X,O,O,X,O,X,X
ILOTSJZ,O,X,O,X,X,O,X,O
ILOTSZJ,O,X,O,X,X,O,X,O
ILOTZJS,X,X,X,O,X,O,X,O
ILOTZSJ,O,X,X,O,X,O,X,O
ILOJTSZ,O,X,O,O,X,O,X,X
ILOJTZS,X,X,O,O,X,O,X,X
ILOJSTZ,O,X,O,O,X,X,X,O
ILOJSZT,O,X,O,O,X,X,X,O
ILOJZTS,X,X,O,O,X,O,X,O
ILOJZST,X,X,O,O,X,O,X,O
ILOSTJZ,O,X,O,X,X,O,X,O
ILOSTZJ,O,X,O,X,X,O,X,O
ILOSJTZ,O,X,O,O,X,X,X,O
ILOSJZT,O,X,O,O,X,X,X,O
ILOSZTJ,O,X,O,O,X,O,X,O
ILOSZJT,O,X,O,O,X,O,X,O
ILOZTJS,X,X,X,O,X,O,X,O
ILOZTSJ,O,X,X,O,X,O,X,O
ILOZJTS,X,X,O,O,X,O,X,O
ILOZJST,X,X,O,O,X,O,X,O
ILOZSTJ,O,X,O,O,X,O,X,O
ILOZSJT,O,X,O,O,X,O,X,O
IJTLSZO,O,X,O,O,X,X,O,X
IJTLSOZ,O,X,O,O,X,X,O,X
IJTLZSO,O,X,O,O,X,X,O,X
IJTLZOS,X,X,X,O,X,X,O,X
IJTLOSZ,X,X,O,O,X,X,O,X
IJTLOZS,X,X,O,O,X,X,X,X
IJTSLZO,O,X,O,O,O,X,O,X
IJTSLOZ,O,X,O,O,X,X,O,X
IJTSZLO,O,X,O,O,O,X,O,X
IJTSZOL,O,X,O,O,O,X,O,X
IJTSOLZ,O,X,O,O,X,X,O,X
IJTSOZL,O,X,O,X,X,X,O,X
IJTZLSO,O,X,O,O,O,X,O,X
IJTZLOS,X,X,X,O,X,X,O,X
IJTZSLO,O,X,O,O,O,X,O,X
IJTZSOL,O,X,O,X,O,X,O,X
IJTZOLS,O,X,X,O,X,X,O,X
IJTZOSL,O,X,X,X,O,X,O,X
IJTOLSZ,O,X,O,O,X,X,O,X
IJTOLZS,O,X,O,O,X,X,X,X
IJTOSLZ,O,X,O,O,X,X,O,X
IJTOSZL,O,X,O,X,X,X,O,X
IJTOZLS,O,X,O,O,X,X,O,X
IJTOZSL,O,X,O,O,X,X,O,X
IJLTSZO,O,X,O,O,X,X,O,X
IJLTSOZ,O,X,O,O,X,X,O,X
IJLTZSO,O,X,O,O,X,X,O,X
IJLTZOS,X,X,X,O,X,X,O,X
IJLTOSZ,O,X,O,O,X,X,O,X
IJLTOZS,O,X,O,O,X,X,X,X
IJLSTZO,O,X,O,O,O,X,O,O
IJLSTOZ,O,X,O,O,X,X,O,O
IJLSZTO,X,X,X,O,O,X,O,O
IJLSZOT,X,X,X,O,O,X,O,O
IJLSOTZ,O,X,O,O,X,X,O,O
IJLSOZT,O,X,O,O,O,X,O,O
IJLZTSO,X,X,X,O,O,X,X,O
IJLZTOS,X,X,X,O,X,X,X,O
IJLZSTO,X,X,X,O,O,X,O,O
IJLZSOT,X,X,X,O,O,X,O,O
IJLZOTS,X,X,X,O,X,X,X,X
IJLZOST,X,X,X,O,X,X,O,X
IJLOTSZ,O,X,O,O,X,X,X,X
IJLOTZS,O,X,O,O,X,X,X,X
IJLOSTZ,O,X,O,O,X,X,O,X
IJLOSZT,O,X,O,O,X,X,O,X
IJLOZTS,O,X,O,O,X,X,X,X
IJLOZST,O,X,O,O,X,X,X,X
IJSTLZO,X,X,X,O,O,X,O,O
IJSTLOZ,X,X,X,O,X,X,O,O
IJSTZLO,X,X,X,X,O,X,O,O
IJSTZOL,X,X,X,X,O,X,O,O
IJSTOLZ,X,X,X,X,X,X,O,O
IJSTOZL,X,X,X,X,X,X,O,O
IJSLTZO,X,X,X,O,O,X,O,O
IJSLTOZ,X,X,X,O,X,X,O,O
IJSLZTO,X,X,X,O,O,X,O,O
IJSLZOT,X,X,X,O,O,X,O,O
IJSLOTZ,X,X,X,O,X,X,O,O
IJSLOZT,X,X,X,O,O,X,O,O
IJSZTLO,X,X,X,O,O,X,O,O
IJSZTOL,X,O,X,X,O,X,O,O
IJSZLTO,X,X,X,O,O,X,O,O
IJSZLOT,X,X,X,O,O,X,O,O
IJSZOTL,X,O,X,X,O,X,O,O
IJSZOLT,X,O,X,O,O,X,O,O
IJSOTLZ,X,X,X,X,X,X,O,O
IJSOTZL,X,O,X,X,X,X,O,O
IJSOLTZ,X,X,X,O,X,X,O,O
IJSOLZT,X,O,X,O,O,X,O,O
IJSOZTL,X,O,X,X,O,X,O,O
IJSOZLT,X,O,X,X,O,X,O,O
IJZTLSO,O,X,O,O,O,X,O,O
IJZTLOS,X,X,X,O,X,X,O,O
IJZTSLO,O,X,O,X,O,X,O,O
IJZTSOL,O,O,O,X,O,X,O,O
IJZTOLS,O,X,O,X,X,X,O,O
IJZTOSL,O,O,O,X,O,X,O,O
IJZLTSO,O,X,X,O,O,X,X,O
IJZLTOS,O,X,X,O,X,X,X,O
IJZLSTO,O,X,X,O,O,X,O,O
IJZLSOT,O,X,X,O,O,X,O,O
IJZLOTS,O,X,X,O,X,X,X,X
IJZLOST,O,X,X,O,X,X,O,X
IJZSTLO,O,X,O,X,O,X,O,O
IJZSTOL,O,O,O,X,O,X,O,O
IJZSLTO,X,X,X,O,O,X,O,O
IJZSLOT,X,X,X,O,O,X,O,O
IJZSOTL,O,O,O,X,O,X,O,O
IJZSOLT,O,O,O,X,O,X,O,O
IJZOTLS,O,X,O,X,X,X,X,O
IJZOTSL,O,O,O,X,O,X,O,O
IJZOLTS,O,X,O,O,X,X,X,O
IJZOLST,O,O,O,O,X,X,O,O
IJZOSTL,O,O,O,X,O,X,O,O
IJZOSLT,O,O,O,X,O,X,O,O
IJOTLSZ,O,X,O,O,X,X,O,X
IJOTLZS,O,X,O,O,X,X,X,X
IJOTSLZ,O,X,O,O,X,X,O,X
IJOTSZL,O,O,O,X,X,X,O,X
IJOTZLS,O,X,O,O,X,X,O,X
IJOTZSL,O,O,O,O,X,X,O,X
IJOLTSZ,O,X,O,O,X,X,X,X
IJOLTZS,O,X,O,O,X,X,X,X
IJOLSTZ,O,X,O,O,X,X,O,O
IJOLSZT,O,O,O,O,X,X,O,O
IJOLZTS,O,X,O,O,X,X,X,O
IJOLZST,O,O,O,O,X,X,X,O
IJOSTLZ,O,X,O,O,X,X,O,O
IJOSTZL,O,O,O,X,X,X,O,O
IJOSLTZ,O,X,O,O,X,X,O,O
IJOSLZT,O,O,O,O,O,X,O,O
IJOSZTL,O,O,O,O,O,X,O,O
IJOSZLT,O,O,O,O,O,X,O,O
IJOZTLS,O,X,O,O,X,X,X,O
IJOZTSL,O,O,O,X,O,X,O,O
IJOZLTS,O,X,O,O,X,X,X,O
IJOZLST,O,O,O,O,X,X,O,O
IJOZSTL,O,O,O,X,O,X,O,O
IJOZSLT,O,O,O,O,O,X,O,O
ISTLJZO,X,X,X,X,O,X,O,O
ISTLJOZ,X,X,X,X,X,X,O,O
ISTLZJO,X,X,X,X,O,X,O,O
ISTLZOJ,X,X,X,X,X,X,O,O
ISTLOJZ,X,X,X,X,X,X,O,O
ISTLOZJ,X,X,X,X,X,X,O,O
ISTJLZO,X,X,X,X,O,X,O,O
ISTJLOZ,X,X,X,X,X,X,O,O
ISTJZLO,X,X,X,X,O,X,O,O
ISTJZOL,X,X,X,X,O,X,O,O
ISTJOLZ,X,X,X,X,X,X,O,O
ISTJOZL,X,X,X,X,X,X,O,O
ISTZLJO,X,X,X,X,O,X,O,O
ISTZLOJ,X,X,X,X,X,X,O,O
ISTZJLO,X,X,X,X,O,X,O,O
ISTZJOL,X,X,X,X,O,X,O,O
ISTZOLJ,X,X,X,X,X,X,O,O
ISTZOJL,X,X,X,X,X,X,O,O
ISTOLJZ,X,X,X,X,X,X,O,O
ISTOLZJ,X,X,X,X,X,X,O,O
