sequence,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFzcBGeB?0fBSnB/oBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFCdBTeB?0fBXiBGoBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8JeT6IvhFUdBajB?5jBWnBXgBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFGdB0fB?zhB6oBXjBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8JeT6IvhFqhBmdB?5jB0iBXgBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFGdB0fB?zhBXjB6oBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFqhB/iB?0fBTjBGoBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFFdBTeB?0fBfnBWoBCtB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFuhBciB?TeBFgBxsBCtB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFGdB6jB?zhBxsB8sBFqB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFUdBWnB?TjBFgBxsBCtB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFzcBSjB?FgBUjBxsBGsB
TSLJZIO,O,O,O,X,X,X,O,O,X,X,X,X
TSLJZOI,O,O,O,X,X,X,O,O,X,X,X,X
TSLJOIZ,O,O,O,X,X,X,X,O,X,X,X,X
TSLJOZI,O,O,O,X,X,X,O,O,X,X,X,X
TSLZIJO,O,O,X,X,O,X,O,O,X,X,X,X
TSLZIOJ,O,O,X,O,O,O,O,O,X,X,X,X
TSLZJIO,O,O,X,X,O,X,O,O,X,X,X,X
TSLZJOI,O,O,X,X,O,X,O,O,X,X,X,X
TSLZOIJ,O,O,X,O,O,O,O,O,X,X,X,X
TSLZOJI,O,O,X,O,O,O,O,O,X,X,X,X
TSLOIJZ,O,O,O,X,X,X,X,O,X,X,X,X
TSLOIZJ,O,X,X,X,O,X,O,X,X,X,X,X
TSLOJIZ,O,O,O,X,X,X,X,O,X,X,X,X
TSLOJZI,O,O,O,O,X,O,O,O,X,X,X,X
TSLOZIJ,O,O,X,O,O,O,O,O,X,X,X,X
TSLOZJI,O,O,X,O,O,O,O,O,X,X,X,X
TSJILZO,O,O,O,X,X,X,X,O,X,X,X,X
TSJILOZ,O,O,O,X,X,X,X,O,X,X,X,X
TSJIZLO,O,O,O,X,X,X,X,X,O,X,X,X
TSJIZOL,O,O,O,X,X,X,X,X,X,X,O,X
TSJIOLZ,O,O,O,X,X,X,X,X,X,X,X,X
TSJIOZL,X,O,O,X,X,X,X,X,X,X,O,X
TSJLIZO,O,O,O,X,X,X,X,O,X,X,X,X
TSJLIOZ,O,O,O,X,X,X,X,O,X,X,X,X
TSJLZIO,O,O,O,X,X,X,X,O,X,X,X,X
TSJLZOI,O,O,O,X,X,X,X,O,X,X,X,X
TSJLOIZ,O,O,O,X,X,X,X,O,X,X,X,X
TSJLOZI,O,O,O,X,X,X,X,O,X,X,X,X
TSJZILO,O,O,O,X,X,X,X,O,X,X,X,X
TSJZIOL,O,O,O,X,X,O,X,X,X,X,O,X
TSJZLIO,O,O,O,X,X,X,X,O,X,X,X,X
TSJZLOI,O,O,O,X,X,X,X,O,X,X,X,X
TSJZOIL,O,O,O,X,X,O,X,X,X,X,X,X
TSJZOLI,O,O,O,X,X,O,X,X,X,X,X,X
TSJOILZ,O,O,O,X,X,X,X,X,X,X,X,X
TSJOIZL,X,O,O,X,X,O,X,X,X,X,X,X
TSJOLIZ,O,O,O,X,X,X,X,X,X,X,X,X
TSJOLZI,O,O,O,X,X,O,X,X,X,X,X,X
TSJOZIL,O,O,O,X,X,O,X,X,X,X,X,X
TSJOZLI,O,O,O,X,X,O,X,X,X,X,X,X
TSZILJO,O,O,X,X,X,X,O,O,X,X,X,X
TSZILOJ,O,O,X,O,X,O,O,O,X,X,X,X
TSZIJLO,O,O,X,X,X,X,X,O,X,X,X,X
TSZIJOL,O,O,X,X,X,O,X,X,X,X,X,X
TSZIOLJ,O,O,X,O,X,O,O,O,X,X,X,X
TSZIOJL,O,O,X,O,X,O,X,X,X,X,X,X
TSZLIJO,O,O,X,X,X,X,O,O,X,X,X,X
TSZLIOJ,O,O,X,O,X,O,O,O,X,X,X,X
TSZLJIO,O,O,X,X,X,X,O,O,X,X,X,X
TSZLJOI,O,O,X,X,X,X,O,O,X,X,X,X
TSZLOIJ,O,O,X,O,X,O,O,O,X,X,X,X
TSZLOJI,O,O,X,O,X,O,O,O,X,X,X,X
TSZJILO,O,O,X,X,X,X,X,O,X,X,X,X
TSZJIOL,O,O,X,X,X,O,X,X,X,X,X,X
TSZJLIO,O,O,X,X,X,X,X,O,X,X,X,X
TSZJLOI,O,O,X,X,X,X,X,O,X,X,X,X
TSZJOIL,O,O,X,X,X,O,X,X,X,X,X,X
TSZJOLI,O,O,X,X,X,O,X,X,X,X,X,X
TSZOILJ,O,O,X,O,X,O,O,O,X,X,X,X
TSZOIJL,O,O,X,O,X,O,X,X,X,X,X,X
TSZOLIJ,O,O,X,O,X,O,O,O,X,X,X,X
TSZOLJI,O,O,X,O,X,O,O,O,X,X,X,X
TSZOJIL,O,O,X,O,X,O,X,X,X,X,X,X
TSZOJLI,O,O,X,O,X,O,X,X,X,X,X,X
TSOILJZ,O,O,O,X,X,X,X,O,X,X,X,X
TSOILZJ,O,X,X,X,O,X,X,X,X,X,X,X
TSOIJLZ,O,O,O,X,X,X,X,X,X,X,X,X
TSOIJZL,X,O,O,X,X,O,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,O,X,X,X,O,X,X
TSOIZJL,X,X,X,X,X,O,X,X,X,O,X,X
TSOLIJZ,O,O,O,X,X,X,X,O,X,X,X,X
TSOLIZJ,O,X,X,X,O,X,O,X,X,X,X,X
TSOLJIZ,O,O,O,X,X,X,X,O,X,X,X,X
TSOLJZI,O,O,O,O,X,O,O,O,X,X,X,X
TSOLZIJ,O,O,X,O,O,O,O,O,X,X,X,X
TSOLZJI,O,O,X,O,O,O,O,O,X,X,X,X
TSOJILZ,O,O,O,X,X,X,X,X,X,X,X,X
TSOJIZL,X,O,O,X,X,O,X,X,X,X,X,X
TSOJLIZ,O,O,O,X,X,X,X,X,X,X,X,X
TSOJLZI,O,O,O,O,X,O,X,X,X,X,X,X
TSOJZIL,O,O,O,O,X,O,X,X,X,X,X,X
TSOJZLI,O,O,O,O,X,O,X,X,X,X,X,X
TSOZILJ,O,O,X,O,X,O,O,O,X,X,X,X
TSOZIJL,O,O,X,O,X,O,X,X,X,X,X,X
TSOZLIJ,O,O,X,O,X,O,O,O,X,X,X,X
TSOZLJI,O,O,X,O,X,O,O,O,X,X,X,X
TSOZJIL,O,O,X,O,X,O,X,X,X,X,X,X
TSOZJLI,O,O,X,O,X,O,X,X,X,X,X,X
TZILJSO,O,O,O,X,O,X,O,O,X,X,X,X
TZILJOS,O,O,O,O,O,X,O,O,X,X,X,X
TZILSJO,O,O,X,X,O,X,O,O,X,X,X,X
TZILSOJ,O,O,X,O,O,O,O,O,X,X,X,X
TZILOJS,O,X,O,O,O,O,O,X,X,X,X,X
TZILOSJ,O,X,X,O,O,O,O,X,X,X,X,X
TZIJLSO,O,O,O,X,X,X,O,X,X,X,X,X
TZIJLOS,O,O,O,O,X,X,O,X,X,X,X,X
TZIJSLO,O,O,O,X,X,X,X,X,X,X,X,X
TZIJSOL,O,O,O,X,X,O,X,X,X,X,X,X
TZIJOLS,X,O,O,O,X,O,O,X,X,X,X,X
TZIJOSL,X,O,O,O,X,O,X,X,X,X,X,X
TZISLJO,O,O,X,X,X,X,O,O,X,X,X,X
TZISLOJ,O,O,X,O,X,O,O,O,X,X,X,X
TZISJLO,O,O,X,X,X,X,X,O,X,X,X,X
TZISJOL,O,O,X,X,X,O,X,X,X,X,X,X
TZISOLJ,O,O,X,O,X,O,O,O,X,X,X,X
TZISOJL,O,O,X,O,X,O,X,X,X,X,X,X
TZIOLJS,O,X,O,O,O,O,O,X,X,X,X,X
TZIOLSJ,O,X,X,O,O,O,O,X,X,X,X,X
TZIOJLS,X,O,O,O,X,O,O,X,X,X,X,X
TZIOJSL,X,O,O,O,X,O,X,X,X,X,X,X
TZIOSLJ,O,O,X,O,X,O,O,X,X,X,X,X
TZIOSJL,O,O,X,O,X,O,X,X,X,X,X,X
TZLIJSO,O,O,O,X,O,X,O,O,X,X,X,X
TZLIJOS,O,O,O,O,O,X,O,O,X,X,X,X
TZLISJO,O,O,X,X,O,X,O,O,X,X,X,X
TZLISOJ,O,O,X,O,O,O,O,O,X,X,X,X
TZLIOJS,O,X,O,O,O,O,O,X,X,X,X,X
TZLIOSJ,O,X,X,O,O,O,O,X,X,X,X,X
TZLJISO,O,O,O,X,O,X,O,O,X,X,X,X
TZLJIOS,O,O,O,O,O,X,O,O,X,X,X,X
TZLJSIO,O,O,O,X,O,X,O,O,X,X,X,X
TZLJSOI,O,O,O,X,O,X,O,O,X,X,X,X
TZLJOIS,O,O,O,O,O,X,O,O,X,X,X,X
TZLJOSI,O,O,O,O,O,X,O,O,X,X,X,X
TZLSIJO,O,O,X,X,O,X,O,O,X,X,X,X
TZLSIOJ,O,O,X,O,O,O,O,O,X,X,X,X
TZLSJIO,O,O,X,X,O,X,O,O,X,X,X,X
TZLSJOI,O,O,X,X,O,X,O,O,X,X,X,X
TZLSOIJ,O,O,X,O,O,O,O,O,X,X,X,X
TZLSOJI,O,O,X,O,O,O,O,O,X,X,X,X
TZLOIJS,O,X,O,O,O,O,O,X,X,X,X,X
TZLOISJ,O,X,X,O,O,O,O,X,X,X,X,X
TZLOJIS,O,X,O,O,O,O,O,X,X,X,X,X
TZLOJSI,O,X,O,O,O,O,O,X,X,X,X,X
TZLOSIJ,O,X,X,O,O,O,O,X,X,X,X,X
TZLOSJI,O,X,X,O,O,O,O,X,X,X,X,X
TZJILSO,O,O,O,X,X,X,O,X,X,X,X,X
TZJILOS,O,O,O,O,X,X,O,X,X,X,X,X
TZJISLO,O,O,O,X,X,X,X,X,X,X,X,X
TZJISOL,O,O,O,X,X,O,X,X,X,X,X,X
TZJIOLS,X,O,O,O,X,O,O,X,X,X,X,X
TZJIOSL,X,O,O,O,X,O,X,X,X,X,X,X
TZJLISO,O,O,O,X,X,X,O,X,X,X,X,X
TZJLIOS,O,O,O,O,X,X,O,X,X,X,X,X
TZJLSIO,O,O,O,X,X,X,O,X,X,X,X,X
TZJLSOI,O,O,O,X,X,X,O,X,X,X,X,X
TZJLOIS,O,O,O,O,X,X,O,X,X,X,X,X
TZJLOSI,O,O,O,O,X,X,O,X,X,X,X,X
TZJSILO,O,O,O,X,X,X,X,X,X,X,X,X
TZJSIOL,O,O,O,X,X,O,X,X,X,X,X,X
TZJSLIO,O,O,O,X,X,X,X,X,X,X,X,X
TZJSLOI,O,O,O,X,X,X,X,X,X,X,X,X
TZJSOIL,O,O,O,X,X,O,X,X,X,X,X,X
TZJSOLI,O,O,O,X,X,O,X,X,X,X,X,X
TZJOILS,X,O,O,O,X,O,O,X,X,X,X,X
TZJOISL,X,O,O,O,X,O,X,X,X,X,X,X
TZJOLIS,X,O,O,O,X,O,O,X,X,X,X,X
TZJOLSI,X,O,O,O,X,O,O,X,X,X,X,X
TZJOSIL,X,O,O,O,X,O,X,X,X,X,X,X
TZJOSLI,X,O,O,O,X,O,X,X,X,X,X,X
TZSILJO,O,O,X,X,X,X,O,O,X,X,X,X
TZSILOJ,O,O,X,O,X,O,O,O,X,X,X,X
TZSIJLO,O,O,X,X,X,X,X,O,X,X,X,X
TZSIJOL,O,O,X,X,X,O,X,X,X,X,X,X
TZSIOLJ,O,O,X,O,X,O,O,O,X,X,X,X
TZSIOJL,O,O,X,O,X,O,X,X,X,X,X,X
TZSLIJO,O,O,X,X,X,X,O,O,X,X,X,X
TZSLIOJ,O,O,X,O,X,O,O,O,X,X,X,X
TZSLJIO,O,O,X,X,X,X,O,O,X,X,X,X
TZSLJOI,O,O,X,X,X,X,O,O,X,X,X,X
TZSLOIJ,O,O,X,O,X,O,O,O,X,X,X,X
TZSLOJI,O,O,X,O,X,O,O,O,X,X,X,X
TZSJILO,O,O,X,X,X,X,X,O,X,X,X,X
TZSJIOL,O,O,X,X,X,O,X,X,X,X,X,X
TZSJLIO,O,O,X,X,X,X,X,O,X,X,X,X
TZSJLOI,O,O,X,X,X,X,X,O,X,X,X,X
TZSJOIL,O,O,X,X,X,O,X,X,X,X,X,X
TZSJOLI,O,O,X,X,X,O,X,X,X,X,X,X
TZSOILJ,O,O,X,O,X,O,O,O,X,X,X,X
TZSOIJL,O,O,X,O,X,O,X,X,X,X,X,X
TZSOLIJ,O,O,X,O,X,O,O,O,X,X,X,X
TZSOLJI,O,O,X,O,X,O,O,O,X,X,X,X
TZSOJIL,O,O,X,O,X,O,X,X,X,X,X,X
TZSOJLI,O,O,X,O,X,O,X,X,X,X,X,X
TZOILJS,O,X,O,O,O,O,O,X,X,X,X,X
TZOILSJ,O,X,X,O,O,O,O,X,X,X,X,X
TZOIJLS,X,O,O,O,X,O,O,X,X,X,X,X
TZOIJSL,X,O,O,O,X,O,X,X,X,X,X,X
TZOISLJ,O,O,X,O,X,O,O,X,X,X,X,X
TZOISJL,O,O,X,O,X,O,X,X,X,X,X,X
TZOLIJS,O,X,O,O,O,O,O,X,X,X,X,X
TZOLISJ,O,X,X,O,O,O,O,X,X,X,X,X
TZOLJIS,O,X,O,O,O,O,O,X,X,X,X,X
TZOLJSI,O,X,O,O,O,O,O,X,X,X,X,X
TZOLSIJ,O,X,X,O,O,O,O,X,X,X,X,X
TZOLSJI,O,X,X,O,O,O,O,X,X,X,X,X
TZOJILS,X,O,O,O,X,O,O,X,X,X,X,X
TZOJISL,X,O,O,O,X,O,X,X,X,X,X,X
TZOJLIS,X,O,O,O,X,O,O,X,X,X,X,X
TZOJLSI,X,O,O,O,X,O,O,X,X,X,X,X
TZOJSIL,X,O,O,O,X,O,X,X,X,X,X,X
TZOJSLI,X,O,O,O,X,O,X,X,X,X,X,X
TZOSILJ,O,O,X,O,X,O,O,X,X,X,X,X
TZOSIJL,O,O,X,O,X,O,X,X,X,X,X,X
TZOSLIJ,O,O,X,O,X,O,O,X,X,X,X,X
TZOSLJI,O,O,X,O,X,O,O,X,X,X,X,X
TZOSJIL,O,O,X,O,X,O,X,X,X,X,X,X
TZOSJLI,O,O,X,O,X,O,X,X,X,X,X,X
TOILJSZ,O,X,O,X,X,X,X,X,X,X,X,X
TOILJZS,X,X,O,O,O,X,X,X,X,X,X,X
TOILSJZ,O,X,O,X,X,X,X,X,X,X,X,X
TOILSZJ,O,X,X,X,O,X,O,X,X,X,X,X
TOILZJS,X,X,O,O,O,X,O,X,X,X,X,X
TOILZSJ,O,X,X,O,O,X,O,X,X,X,X,X
TOIJLSZ,X,O,O,X,X,X,X,X,X,X,X,X
TOIJLZS,X,X,O,O,O,X,X,X,X,X,X,X
TOIJSLZ,X,O,O,X,X,X,X,X,X,X,X,X
TOIJSZL,X,O,O,X,X,O,X,X,X,X,X,X
TOIJZLS,X,X,O,O,X,O,X,X,X,X,X,X
TOIJZSL,X,O,O,O,X,O,X,X,X,X,X,X
TOISLJZ,O,O,O,X,X,X,X,X,X,X,X,X
TOISLZJ,O,X,X,X,O,X,X,X,X,X,X,X
TOISJLZ,O,O,O,X,X,X,X,X,X,X,X,X
TOISJZL,X,O,O,X,X,O,X,X,X,X,X,X
TOISZLJ,X,X,X,X,X,O,X,X,X,O,X,X
TOISZJL,X,X,X,X,X,O,X,X,X,O,X,X
TOIZLJS,X,X,O,O,O,O,O,X,X,O,X,X
TOIZLSJ,X,X,X,O,O,O,O,X,X,O,X,X
TOIZJLS,X,X,O,O,X,O,O,X,X,O,X,X
TOIZJSL,X,X,O,O,X,O,X,X,X,O,X,X
TOIZSLJ,X,X,X,O,X,O,O,X,X,O,X,X
TOIZSJL,X,X,X,O,X,O,X,X,X,O,X,X
TOLIJSZ,O,X,O,X,X,X,X,X,X,X,X,X
TOLIJZS,X,X,O,O,O,X,X,X,X,X,X,X
TOLISJZ,O,X,O,X,X,X,X,X,X,X,X,X
TOLISZJ,O,X,X,X,O,X,O,X,X,X,X,X
TOLIZJS,O,X,O,O,O,X,O,X,X,X,X,X
TOLIZSJ,O,X,X,O,O,X,O,X,X,X,X,X
TOLJISZ,O,X,O,X,X,X,X,X,X,X,X,X
TOLJIZS,X,X,O,O,O,X,X,X,X,X,X,X
TOLJSIZ,O,X,O,X,X,X,X,X,X,X,X,X
TOLJSZI,O,X,O,O,X,O,O,X,X,X,X,X
TOLJZIS,O,X,O,O,O,O,O,X,X,X,X,X
TOLJZSI,O,X,O,O,O,O,O,X,X,X,X,X
TOLSIJZ,O,X,O,X,X,X,X,X,X,X,X,X
TOLSIZJ,O,X,X,X,O,X,O,X,X,X,X,X
TOLSJIZ,O,X,O,X,X,X,X,X,X,X,X,X
TOLSJZI,O,X,O,O,X,O,O,X,X,X,X,X
TOLSZIJ,O,X,X,O,O,O,O,X,X,X,X,X
TOLSZJI,O,X,X,O,O,O,O,X,X,X,X,X
TOLZIJS,O,X,O,O,O,O,O,X,X,X,X,X
TOLZISJ,O,X,X,O,O,O,O,X,X,X,X,X
TOLZJIS,O,X,O,O,O,O,O,X,X,X,X,X
TOLZJSI,O,X,O,O,O,O,O,X,X,X,X,X
TOLZSIJ,O,X,X,O,O,O,O,X,X,X,X,X
TOLZSJI,O,X,X,O,O,O,O,X,X,X,X,X
TOJILSZ,X,O,O,X,X,X,X,X,X,X,X,X
TOJILZS,X,X,O,O,O,X,X,X,X,X,X,X
TOJISLZ,X,O,O,X,X,X,X,X,X,X,X,X
TOJISZL,X,O,O,X,X,O,X,X,X,X,X,X
TOJIZLS,X,O,O,O,X,O,X,X,X,X,X,X
TOJIZSL,X,O,O,O,X,O,X,X,X,X,X,X
TOJLISZ,X,O,O,X,X,X,X,X,X,X,X,X
TOJLIZS,X,X,O,O,O,X,X,X,X,X,X,X
TOJLSIZ,X,O,O,X,X,X,X,X,X,X,X,X
TOJLSZI,X,O,O,O,X,O,O,X,X,X,X,X
TOJLZIS,X,O,O,O,O,O,O,X,X,X,X,X
TOJLZSI,X,O,O,O,O,O,O,X,X,X,X,X
TOJSILZ,X,O,O,X,X,X,X,X,X,X,X,X
TOJSIZL,X,O,O,X,X,O,X,X,X,X,X,X
TOJSLIZ,X,O,O,X,X,X,X,X,X,X,X,X
TOJSLZI,X,O,O,O,X,O,X,X,X,X,X,X
TOJSZIL,X,O,O,O,X,O,X,X,X,X,X,X
TOJSZLI,X,O,O,O,X,O,X,X,X,X,X,X
TOJZILS,X,O,O,O,X,O,O,X,X,X,X,X
TOJZISL,X,O,O,O,X,O,X,X,X,X,X,X
TOJZLIS,X,O,O,O,X,O,O,X,X,X,X,X
TOJZLSI,X,O,O,O,X,O,O,X,X,X,X,X
TOJZSIL,X,O,O,O,X,O,X,X,X,X,X,X
TOJZSLI,X,O,O,O,X,O,X,X,X,X,X,X
TOSILJZ,O,O,O,X,X,X,X,X,X,X,X,X
TOSILZJ,O,X,X,X,O,X,X,X,X,X,X,X
TOSIJLZ,O,O,O,X,X,X,X,X,X,X,X,X
TOSIJZL,X,O,O,X,X,O,X,X,X,X,X,X
TOSIZLJ,X,X,X,X,X,O,X,X,X,O,X,X
TOSIZJL,X,X,X,X,X,O,X,X,X,O,X,X
TOSLIJZ,O,O,O,X,X,X,X,X,X,X,X,X
TOSLIZJ,O,X,X,X,O,X,O,X,X,X,X,X
TOSLJIZ,O,O,O,X,X,X,X,X,X,X,X,X
TOSLJZI,O,O,O,O,X,O,O,X,X,X,X,X
TOSLZIJ,O,O,X,O,O,O,O,X,X,X,X,X
TOSLZJI,O,O,X,O,O,O,O,X,X,X,X,X
TOSJILZ,O,O,O,X,X,X,X,X,X,X,X,X
TOSJIZL,X,O,O,X,X,O,X,X,X,X,X,X
TOSJLIZ,O,O,O,X,X,X,X,X,X,X,X,X
TOSJLZI,O,O,O,O,X,O,X,X,X,X,X,X
TOSJZIL,O,O,O,O,X,O,X,X,X,X,X,X
TOSJZLI,O,O,O,O,X,O,X,X,X,X,X,X
TOSZILJ,O,O,X,O,X,O,O,X,X,X,X,X
TOSZIJL,O,O,X,O,X,O,X,X,X,X,X,X
TOSZLIJ,O,O,X,O,X,O,O,X,X,X,X,X
TOSZLJI,O,O,X,O,X,O,O,X,X,X,X,X
TOSZJIL,O,O,X,O,X,O,X,X,X,X,X,X
TOSZJLI,O,O,X,O,X,O,X,X,X,X,X,X
TOZILJS,O,X,O,O,O,O,O,X,X,X,X,X
TOZILSJ,O,X,X,O,O,O,O,X,X,X,X,X
TOZIJLS,X,O,O,O,X,O,O,X,X,X,X,X
TOZIJSL,X,O,O,O,X,O,X,X,X,X,X,X
TOZISLJ,O,O,X,O,X,O,O,X,X,X,X,X
TOZISJL,O,O,X,O,X,O,X,X,X,X,X,X
TOZLIJS,O,X,O,O,O,O,O,X,X,X,X,X
TOZLISJ,O,X,X,O,O,O,O,X,X,X,X,X
TOZLJIS,O,X,O,O,O,O,O,X,X,X,X,X
TOZLJSI,O,X,O,O,O,O,O,X,X,X,X,X
TOZLSIJ,O,X,X,O,O,O,O,X,X,X,X,X
TOZLSJI,O,X,X,O,O,O,O,X,X,X,X,X
TOZJILS,X,O,O,O,X,O,O,X,X,X,X,X
TOZJISL,X,O,O,O,X,O,X,X,X,X,X,X
TOZJLIS,X,O,O,O,X,O,O,X,X,X,X,X
TOZJLSI,X,O,O,O,X,O,O,X,X,X,X,X
TOZJSIL,X,O,O,O,X,O,X,X,X,X,X,X
TOZJSLI,X,O,O,O,X,O,X,X,X,X,X,X
TOZSILJ,O,O,X,O,X,O,O,X,X,X,X,X
TOZSIJL,O,O,X,O,X,O,X,X,X,X,X,X
TOZSLIJ,O,O,X,O,X,O,O,X,X,X,X,X
TOZSLJI,O,O,X,O,X,O,O,X,X,X,X,X
TOZSJIL,O,O,X,O,X,O,X,X,X,X,X,X
TOZSJLI,O,O,X,O,X,O,X,X,X,X,X,X
ITLJSZO,O,O,O,X,X,X,X,O,X,X,X,X
ITLJSOZ,O,O,O,X,X,X,X,O,X,X,X,X
ITLJZSO,X,X,O,X,O,X,X,X,X,X,X,X
ITLJZOS,X,X,O,X,O,X,X,X,X,X,X,X
ITLJOSZ,O,O,O,X,X,X,X,O,X,X,X,X
ITLJOZS,X,X,O,X,O,X,X,X,X,X,X,X
ITLSJZO,O,O,O,X,X,X,X,O,X,X,X,X
ITLSJOZ,O,O,O,X,X,X,X,O,X,X,X,X
ITLSZJO,O,O,X,X,O,X,O,O,O,X,X,X
ITLSZOJ,O,X,X,X,O,X,O,X,O,O,X,X
ITLSOJZ,O,O,O,X,X,X,X,O,X,X,X,X
ITLSOZJ,O,X,X,X,O,X,O,X,O,X,X,X
ITLZJSO,O,X,O,X,O,X,O,X,O,X,X,X
ITLZJOS,O,X,O,O,O,X,O,X,O,X,X,X
ITLZSJO,O,X,X,X,O,X,O,X,O,X,X,X
ITLZSOJ,O,X,X,O,O,X,O,X,O,O,X,X
ITLZOJS,O,X,O,O,O,X,O,X,O,O,X,X
ITLZOSJ,O,X,X,O,O,X,O,X,O,O,X,X
ITLOJSZ,O,X,O,X,X,X,X,X,X,X,X,X
ITLOJZS,X,X,O,O,O,X,X,X,X,X,X,X
ITLOSJZ,O,X,O,X,X,X,X,X,X,X,X,X
ITLOSZJ,O,X,X,X,O,X,O,X,O,X,X,X
ITLOZJS,O,X,O,O,O,X,O,X,O,X,X,X
ITLOZSJ,O,X,X,O,O,X,O,X,O,X,X,X
ITJLSZO,O,O,O,X,X,X,X,X,X,X,X,X
ITJLSOZ,O,O,O,X,X,X,X,X,X,X,X,O
ITJLZSO,X,X,O,X,O,X,X,X,X,X,X,X
ITJLZOS,X,X,O,X,O,X,X,X,X,X,X,X
ITJLOSZ,O,O,O,X,X,X,X,X,X,X,X,O
ITJLOZS,X,X,O,X,O,X,X,X,X,X,X,X
ITJSLZO,O,O,O,X,X,X,X,X,X,X,X,X
ITJSLOZ,O,O,O,X,X,X,X,X,X,X,X,O
ITJSZLO,O,O,O,X,X,X,X,X,O,X,X,X
ITJSZOL,X,O,O,X,X,X,X,X,X,X,O,X
ITJSOLZ,O,O,O,X,X,X,X,X,X,X,X,O
ITJSOZL,X,O,O,X,X,X,X,X,X,X,O,X
ITJZLSO,X,O,O,X,X,X,X,X,O,X,X,X
ITJZLOS,X,O,O,X,X,X,X,X,O,X,X,X
ITJZSLO,X,O,O,X,X,X,X,X,O,X,X,X
ITJZSOL,X,O,O,X,X,X,X,X,X,X,O,X
ITJZOLS,X,O,O,X,X,X,X,X,X,X,X,X
ITJZOSL,X,O,O,X,X,X,X,X,X,X,O,X
ITJOLSZ,X,O,O,X,X,X,X,X,X,X,X,O
ITJOLZS,X,X,O,X,O,X,X,X,X,X,X,X
ITJOSLZ,X,O,O,X,X,X,X,X,X,X,X,O
ITJOSZL,X,O,O,X,X,X,X,X,X,X,O,X
ITJOZLS,X,O,O,X,X,X,X,X,X,X,X,X
ITJOZSL,X,O,O,X,X,X,X,X,X,X,O,X
ITSLJZO,O,O,O,X,X,X,X,O,X,X,X,X
ITSLJOZ,O,O,O,X,X,X,X,O,X,X,X,X
ITSLZJO,O,O,X,X,O,X,X,O,O,X,X,X
ITSLZOJ,O,O,X,X,O,X,X,X,O,O,X,X
ITSLOJZ,O,O,O,X,X,X,X,O,X,X,X,X
ITSLOZJ,O,X,X,X,O,X,X,X,O,X,X,X
ITSJLZO,O,O,O,X,X,X,X,O,X,X,X,X
ITSJLOZ,O,O,O,X,X,X,X,O,X,X,X,O
ITSJZLO,O,O,O,X,X,X,X,X,O,X,X,X
ITSJZOL,O,O,O,X,X,X,X,X,X,X,O,X
ITSJOLZ,O,O,O,X,X,X,X,X,X,X,X,O
ITSJOZL,X,O,O,X,X,X,X,X,X,X,O,X
ITSZLJO,O,O,X,X,X,X,X,O,O,X,X,X
ITSZLOJ,O,O,X,X,X,O,X,X,O,O,X,X
ITSZJLO,O,O,X,X,X,X,X,X,O,X,X,X
ITSZJOL,O,O,X,X,X,O,X,X,X,X,X,X
ITSZOLJ,O,O,X,X,X,O,X,X,X,O,X,X
ITSZOJL,O,O,X,X,X,O,X,X,X,O,X,X
ITSOLJZ,O,O,O,X,X,X,X,O,X,X,X,X
ITSOLZJ,O,X,X,X,O,X,X,X,X,X,X,X
ITSOJLZ,O,O,O,X,X,X,X,X,X,X,X,X
ITSOJZL,X,O,O,X,X,O,X,X,X,X,O,X
ITSOZLJ,X,X,X,X,X,O,X,X,X,O,X,X
ITSOZJL,X,X,X,X,X,O,X,X,X,O,X,X
ITZLJSO,O,O,O,X,O,X,O,X,O,X,X,X
ITZLJOS,O,O,O,O,O,X,O,X,O,X,X,X
ITZLSJO,O,O,X,X,O,X,O,X,O,X,X,X
ITZLSOJ,O,O,X,O,O,O,O,X,O,O,X,X
ITZLOJS,O,X,O,O,O,O,O,X,O,O,X,X
ITZLOSJ,O,X,X,O,O,O,O,X,O,O,X,X
ITZJLSO,O,O,O,X,X,X,O,X,O,X,X,X
ITZJLOS,O,O,O,O,X,X,O,X,O,X,X,X
ITZJSLO,O,O,O,X,X,X,X,X,O,X,X,X
ITZJSOL,O,O,O,X,X,O,X,X,X,X,X,X
ITZJOLS,X,O,O,O,X,O,O,X,X,X,X,X
ITZJOSL,X,O,O,O,X,O,X,X,X,X,X,X
ITZSLJO,O,O,X,X,X,X,O,X,O,X,X,X
