sequence,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFfhB0cBxdBSnBTj?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFfhBxcBTeBCiBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFzbBRdBSjB3hBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBzdB+jBUiB3h?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBWjBUiB3hBTj?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBGdBTeB3hBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFzbBUdBajB5jB1m?BftB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFCcBFeBThBxnB/n?BctB
TJSOLIZ,O,X,X,X,X,X,O,X
TJSOLZI,O,X,X,X,X,X,O,X
TJSOZIL,O,X,X,X,X,X,O,X
TJSOZLI,O,X,X,X,X,X,O,X
TJZILSO,X,X,X,X,X,X,X,X
TJZILOS,X,X,X,O,X,X,X,X
TJZISLO,X,X,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,X,X,X
TJZIOLS,X,X,X,O,X,X,X,X
TJZIOSL,X,X,X,X,X,X,X,X
TJZLISO,X,X,X,X,X,X,X,X
TJZLIOS,X,X,X,O,X,X,X,X
TJZLSIO,X,X,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X,X,X
TJZLOIS,X,X,X,O,X,X,X,X
TJZLOSI,X,X,X,O,X,X,X,X
TJZSILO,X,X,X,X,X,X,O,X
TJZSIOL,X,X,X,X,X,X,O,X
TJZSLIO,X,X,X,X,X,X,O,X
TJZSLOI,X,X,X,X,X,X,O,X
TJZSOIL,X,X,X,X,X,X,O,X
TJZSOLI,X,X,X,X,X,X,O,X
TJZOILS,X,X,X,O,X,X,X,X
TJZOISL,X,X,X,X,X,X,X,X
TJZOLIS,X,X,X,O,X,X,X,X
TJZOLSI,X,X,X,O,X,X,X,X
TJZOSIL,X,X,X,X,X,X,O,X
TJZOSLI,X,X,X,X,X,X,O,X
TJOILSZ,O,X,X,X,X,X,X,X
TJOILZS,X,X,X,O,X,X,X,X
TJOISLZ,O,X,X,X,X,X,O,X
TJOISZL,O,X,X,X,X,X,O,X
TJOIZLS,X,X,X,O,X,X,X,X
TJOIZSL,X,X,X,X,X,X,X,X
TJOLISZ,O,X,X,X,X,X,X,X
TJOLIZS,X,X,X,O,X,X,X,X
TJOLSIZ,O,X,X,X,X,X,X,X
TJOLSZI,O,X,X,X,X,X,X,X
TJOLZIS,X,X,X,O,X,X,X,X
TJOLZSI,X,X,X,O,X,X,X,X
TJOSILZ,O,X,X,X,X,X,O,X
TJOSIZL,O,X,X,X,X,X,O,X
TJOSLIZ,O,X,X,X,X,X,O,X
TJOSLZI,O,X,X,X,X,X,O,X
TJOSZIL,O,X,X,X,X,X,O,X
TJOSZLI,O,X,X,X,X,X,O,X
TJOZILS,X,X,X,O,X,X,X,X
TJOZISL,X,X,X,X,X,X,X,X
TJOZLIS,X,X,X,O,X,X,X,X
TJOZLSI,X,X,X,O,X,X,X,X
TJOZSIL,X,X,X,X,X,X,O,X
TJOZSLI,X,X,X,X,X,X,O,X
TSILJZO,X,X,X,X,X,X,O,X
TSILJOZ,X,X,X,X,X,X,O,X
TSILZJO,X,X,X,X,X,X,O,X
TSILZOJ,X,X,X,X,X,X,O,X
TSILOJZ,X,X,X,X,X,X,O,X
TSILOZJ,X,X,X,X,X,X,O,X
TSIJLZO,X,X,X,X,X,X,O,X
TSIJLOZ,X,X,X,X,X,X,O,X
TSIJZLO,X,X,X,X,X,X,O,X
TSIJZOL,X,X,X,X,X,X,O,X
TSIJOLZ,X,X,X,X,X,X,O,X
TSIJOZL,X,X,X,X,X,X,O,X
TSIZLJO,X,X,X,X,X,X,O,X
TSIZLOJ,X,X,X,X,X,X,O,X
TSIZJLO,X,X,X,X,X,X,O,X
TSIZJOL,X,X,X,X,X,X,O,X
TSIZOLJ,X,X,X,X,X,X,O,X
TSIZOJL,X,X,X,X,X,X,O,X
TSIOLJZ,X,X,X,X,X,X,O,X
TSIOLZJ,X,X,X,X,X,X,O,X
TSIOJLZ,X,X,X,X,X,X,O,X
TSIOJZL,X,X,X,X,X,X,O,X
TSIOZLJ,X,X,X,X,X,X,O,X
TSIOZJL,X,X,X,X,X,X,O,X
TSLIJZO,O,X,X,X,X,X,O,X
TSLIJOZ,X,X,X,X,X,X,O,X
TSLIZJO,O,X,X,X,X,X,O,X
TSLIZOJ,X,X,X,X,X,X,O,X
TSLIOJZ,X,X,X,X,X,X,O,X
TSLIOZJ,X,X,X,X,X,X,O,X
TSLJIZO,O,X,X,X,X,X,O,X
TSLJIOZ,X,X,X,X,X,X,O,X
TSLJZIO,O,O,X,X,X,X,O,X
TSLJZOI,O,O,X,X,X,X,O,X
TSLJOIZ,O,X,X,X,X,X,O,X
TSLJOZI,O,X,X,X,X,X,O,X
TSLZIJO,O,O,X,X,X,X,O,X
TSLZIOJ,X,O,X,X,X,X,O,X
TSLZJIO,O,O,X,X,X,X,O,X
TSLZJOI,O,O,X,X,X,X,O,X
TSLZOIJ,O,O,X,X,X,X,O,X
TSLZOJI,O,O,X,X,X,X,O,X
TSLOIJZ,O,X,X,X,X,X,O,X
TSLOIZJ,O,X,X,X,X,X,O,X
TSLOJIZ,O,X,X,X,X,X,O,X
TSLOJZI,O,X,X,X,X,X,O,X
TSLOZIJ,O,X,X,X,X,X,O,X
TSLOZJI,O,X,X,X,X,X,O,X
TSJILZO,X,X,X,X,X,X,O,X
TSJILOZ,X,X,X,X,X,X,O,X
TSJIZLO,X,X,X,X,X,X,O,X
TSJIZOL,X,X,X,X,X,X,O,X
TSJIOLZ,X,X,X,X,X,X,O,X
TSJIOZL,X,X,X,X,X,X,O,X
TSJLIZO,O,X,X,X,X,X,O,X
TSJLIOZ,X,X,X,X,X,X,O,X
TSJLZIO,O,O,X,X,X,X,O,X
TSJLZOI,O,O,X,X,X,X,O,X
TSJLOIZ,O,X,X,X,X,X,O,X
TSJLOZI,O,X,X,X,X,X,O,X
TSJZILO,O,X,X,X,X,X,O,X
TSJZIOL,O,X,X,X,X,X,O,X
TSJZLIO,O,X,X,X,X,X,O,X
TSJZLOI,O,X,X,X,X,X,O,X
TSJZOIL,O,X,X,X,X,X,O,X
TSJZOLI,O,X,X,X,X,X,O,X
TSJOILZ,O,X,X,X,X,X,O,X
TSJOIZL,O,X,X,X,X,X,O,X
TSJOLIZ,O,X,X,X,X,X,O,X
TSJOLZI,O,X,X,X,X,X,O,X
TSJOZIL,O,X,X,X,X,X,O,X
TSJOZLI,O,X,X,X,X,X,O,X
TSZILJO,X,X,X,X,X,X,O,X
TSZILOJ,X,X,X,X,X,X,O,X
TSZIJLO,O,X,X,X,X,X,O,X
TSZIJOL,O,X,X,X,X,X,O,X
TSZIOLJ,X,X,X,X,X,X,O,X
TSZIOJL,X,X,X,X,X,X,O,X
TSZLIJO,O,X,X,X,X,X,O,X
TSZLIOJ,X,X,X,X,X,X,O,X
TSZLJIO,O,X,X,X,X,X,O,X
TSZLJOI,O,X,X,X,X,X,O,X
TSZLOIJ,O,X,X,X,X,X,O,X
TSZLOJI,O,X,X,X,X,X,O,X
TSZJILO,O,X,X,X,X,X,O,X
TSZJIOL,O,X,X,X,X,X,O,X
TSZJLIO,O,X,X,X,X,X,O,X
TSZJLOI,O,X,X,X,X,X,O,X
TSZJOIL,O,X,X,X,X,X,O,X
TSZJOLI,O,X,X,X,X,X,O,X
TSZOILJ,X,X,X,X,X,X,O,X
TSZOIJL,O,X,X,X,X,X,O,X
TSZOLIJ,O,X,X,X,X,X,O,X
TSZOLJI,O,X,X,X,X,X,O,X
TSZOJIL,O,X,X,X,X,X,O,X
TSZOJLI,O,X,X,X,X,X,O,X
TSOILJZ,O,X,X,X,X,X,O,X
TSOILZJ,O,X,X,X,X,X,O,X
TSOIJLZ,O,X,X,X,X,X,O,X
TSOIJZL,O,X,X,X,X,X,O,X
TSOIZLJ,X,X,X,X,X,X,O,X
TSOIZJL,O,X,X,X,X,X,O,X
TSOLIJZ,O,X,X,X,X,X,O,X
TSOLIZJ,O,X,X,X,X,X,O,X
TSOLJIZ,O,X,X,X,X,X,O,X
TSOLJZI,O,X,X,X,X,X,O,X
TSOLZIJ,O,X,X,X,X,X,O,X
TSOLZJI,O,X,X,X,X,X,O,X
TSOJILZ,O,X,X,X,X,X,O,X
TSOJIZL,O,X,X,X,X,X,O,X
TSOJLIZ,O,X,X,X,X,X,O,X
TSOJLZI,O,X,X,X,X,X,O,X
TSOJZIL,O,X,X,X,X,X,O,X
TSOJZLI,O,X,X,X,X,X,O,X
TSOZILJ,X,X,X,X,X,X,O,X
TSOZIJL,O,X,X,X,X,X,O,X
TSOZLIJ,O,X,X,X,X,X,O,X
