sequence,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jei7IvhFWiBxdB?TjBUlBFmB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhFyhBGeB?UjBFlBXmBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhF8hBCeB?mgBTjBFlB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhF8hBfjB?6jBemBFlBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jei7IvhFWiBxdB?UhBTjBFlB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8JeX8IvhFxdBCiB?TjBFlB8qBOqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhFyhBGeB?XgBUjBFmBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jem8IvhFSjBxgB?UjBFlBXmBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhFRcBCeB?3hBTjB1qBUqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhFCdBxiB?TjBUlBFmB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je/AJvhFRcBzdB?+jBlhBaqB8qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhFCdBxiB?UhBTjBFlB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8JeeAJvhFSjBRhB?fmBlhBUjBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8JeSDJvhFVlBRhB?3hBUjBmlBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je1AJvhF8hBzdB?+jBRlBKqBXrB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhF8hBfjB?6jBRlBFmBTqB
ISZJLOT,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,O
ISZJOTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZJOLT,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O
ISZOTLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ISZOTJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ISZOLTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ISZOLJT,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O
ISZOJTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ISZOJLT,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ISOTLJZ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O
ISOTLZJ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
ISOTJLZ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O
ISOTJZL,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
ISOTZLJ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
ISOTZJL,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
ISOLTJZ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O
ISOLTZJ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
ISOLJTZ,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O
ISOLJZT,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
ISOLZTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ISOLZJT,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ISOJTLZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ISOJTZL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISOJLTZ,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O
ISOJLZT,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
ISOJZTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ISOJZLT,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
ISOZTLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ISOZTJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ISOZLTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ISOZLJT,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ISOZJTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ISOZJLT,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IZTLJSO,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
IZTLJOS,O,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X
IZTLSJO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IZTLSOJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IZTLOJS,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
IZTLOSJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTJLSO,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
IZTJLOS,O,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X
IZTJSLO,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O
IZTJSOL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IZTJOLS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
IZTJOSL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IZTSLJO,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X
IZTSLOJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IZTSJLO,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O
IZTSJOL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZTSOLJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOJL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZTOLJS,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZTOLSJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTOJLS,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X
IZTOJSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTOSLJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTOSJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJSO,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
IZLTJOS,O,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X
IZLTSJO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLTSOJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLTOJS,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
IZLTOSJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLJTSO,O,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IZLJTOS,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IZLJSTO,O,O,O,X,X,X,O,X,X,O,X,X,O,X,X,O
IZLJSOT,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X,O
IZLJOTS,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IZLJOST,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X
IZLSTJO,X,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X
IZLSTOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZLSJTO,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,O
IZLSJOT,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,O
IZLSOTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZLSOJT,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
IZLOTJS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
IZLOTSJ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLOJTS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
IZLOJST,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IZLOSTJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLOSJT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZJTLSO,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZJTLOS,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X
IZJTSLO,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O
IZJTSOL,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
IZJTOLS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IZJTOSL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
IZJLTSO,O,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IZJLTOS,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IZJLSTO,O,O,O,O,X,X,O,X,X,O,X,X,O,X,X,O
IZJLSOT,O,O,O,O,O,X,O,X,X,O,X,X,O,X,X,O
IZJLOTS,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IZJLOST,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X
IZJSTLO,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O
IZJSTOL,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
IZJSLTO,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,O
IZJSLOT,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O
IZJSOTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJSOLT,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O
IZJOTLS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
IZJOTSL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZJOLTS,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IZJOLST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IZJOSTL,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IZJOSLT,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O
IZSTLJO,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X
IZSTLOJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O
IZSTJLO,X,O,O,X,X,X,O,X,X,O,O,O,X,X,X,O
IZSTJOL,X,O,O,X,X,X,O,X,X,X,O,X,X,X,O,X
IZSTOLJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSTOJL,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZSLTJO,X,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X
IZSLTOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSLJTO,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,O
IZSLJOT,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,O
IZSLOTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSLOJT,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
IZSJTLO,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O
IZSJTOL,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IZSJLTO,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,O
IZSJLOT,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,O
IZSJOTL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSJOLT,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O
IZSOTLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSOTJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSOLTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSOLJT,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
IZSOJTL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
IZSOJLT,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O
IZOTLJS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
IZOTLSJ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOTJLS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X
IZOTJSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IZOTSLJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IZOTSJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOLTJS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
IZOLTSJ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOLJTS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
IZOLJST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,O
IZOLSTJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
IZOLSJT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IZOJTLS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZOJTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOJLTS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
IZOJLST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,O
IZOJSTL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZOJSLT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZOSTLJ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
IZOSTJL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
IZOSLTJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
IZOSLJT,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O
IZOSJTL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
IZOSJLT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOTLJSZ,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
IOTLJZS,O,X,O,X,O,X,O,X,O,X,X,O,O,O,X,X
IOTLSJZ,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
IOTLSZJ,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
IOTLZJS,O,X,O,X,O,O,O,X,O,O,X,X,X,O,X,X
IOTLZSJ,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X
IOTJLSZ,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
IOTJLZS,O,X,O,X,O,X,X,X,O,X,X,O,O,O,O,X
IOTJSLZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOTJSZL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O
IOTJZLS,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
IOTJZSL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O
IOTSLJZ,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O
IOTSLZJ,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O
IOTSJLZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOTSJZL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOTSZLJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOTSZJL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOTZLJS,O,X,O,X,O,O,O,X,O,O,X,X,X,O,X,X
IOTZLSJ,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X
IOTZJLS,O,X,O,X,O,O,O,X,O,O,X,X,X,X,O,X
IOTZJSL,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O
IOTZSLJ,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O
IOTZSJL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOLTJSZ,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
IOLTJZS,O,X,O,X,O,X,O,X,O,X,X,O,O,O,X,X
IOLTSJZ,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
IOLTSZJ,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
IOLTZJS,O,X,O,X,O,O,O,X,O,O,X,X,X,O,X,X
IOLTZSJ,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X
IOLJTSZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOLJTZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOLJSTZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOLJSZT,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOLJZTS,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X
IOLJZST,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O
IOLSTJZ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O
IOLSTZJ,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOLSJTZ,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
IOLSJZT,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,O
IOLSZTJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
IOLSZJT,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOLZTJS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
IOLZTSJ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLZJTS,O,X,O,X,O,O,O,X,X,O,X,X,O,X,X,X
IOLZJST,O,X,O,X,O,X,O,X,X,O,X,X,O,X,X,O
IOLZSTJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
IOLZSJT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOJTLSZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOJTLZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IOJTSLZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOJTSZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IOJTZLS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOJTZSL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IOJLTSZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOJLTZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IOJLSTZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOJLSZT,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOJLZTS,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
IOJLZST,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOJSTLZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOJSTZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IOJSLTZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOJSLZT,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOJSZTL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOJSZLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOJZTLS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X
IOJZTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IOJZLTS,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
IOJZLST,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOJZSTL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOJZSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOSTLJZ,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X,O
IOSTLZJ,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOSTJLZ,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X,O
IOSTJZL,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOSTZLJ,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOSTZJL,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOSLTJZ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O
IOSLTZJ,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOSLJTZ,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
IOSLJZT,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,O
IOSLZTJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
IOSLZJT,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOSJTLZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOSJTZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOSJLTZ,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
IOSJLZT,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,O
IOSJZTL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOSJZLT,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOSZTLJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
IOSZTJL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOSZLTJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
IOSZLJT,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOSZJTL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOSZJLT,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
IOZTLJS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
IOZTLSJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOZTJLS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X
IOZTJSL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O
IOZTSLJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O
IOZTSJL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOZLTJS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
IOZLTSJ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IOZLJTS,O,X,O,X,O,O,O,X,X,O,X,X,O,X,X,X
IOZLJST,O,X,O,X,O,X,O,X,X,O,X,X,O,X,X,O
IOZLSTJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
IOZLSJT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOZJTLS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOZJTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZJLTS,O,X,O,X,O,O,O,X,X,O,X,X,O,X,X,X
IOZJLST,O,X,O,X,O,X,O,X,X,O,X,X,O,X,X,O
IOZJSTL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IOZJSLT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IOZSTLJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
IOZSTJL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOZSLTJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
IOZSLJT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOZSJTL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
IOZSJLT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
LTIJSZO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
LTIJSOZ,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
LTIJZSO,X,X,O,X,O,X,O,X,O,O,X,O,O,O,X,X
LTIJZOS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
LTIJOSZ,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
LTIJOZS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
LTISJZO,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X
LTISJOZ,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
LTISZJO,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X
LTISZOJ,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
LTISOJZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTISOZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LTIZJSO,X,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X
LTIZJOS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
LTIZSJO,X,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X
LTIZSOJ,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
LTIZOJS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
LTIZOSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
LTIOJSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTIOJZS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTIOSJZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTIOZJS,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTIOZSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTJISZO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
LTJISOZ,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
LTJIZSO,O,X,O,X,O,X,O,X,O,O,X,O,O,O,X,X
LTJIZOS,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
LTJIOSZ,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
LTJIOZS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
LTJSIZO,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
LTJSIOZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
LTJSZIO,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
LTJSZOI,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
LTJSOIZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
LTJSOZI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTJZISO,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X
LTJZIOS,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
LTJZSIO,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X
LTJZSOI,O,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
LTJZOIS,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
LTJZOSI,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTJOISZ,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
LTJOIZS,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTJOSIZ,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
LTJOSZI,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
LTJOZIS,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
LTJOZSI,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
LTSIJZO,X,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X
LTSIJOZ,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
LTSIZJO,X,O,O,X,X,X,O,O,O,O,X,X,X,O,X,X
