sequence,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFOiBXeBclBT?hBSoBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFXdB6jBclB2?mBziBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFidB+jBclBT?hB3iBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Je07IvhFxcBzhBGjBX?jBilBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jel7IvhFfjB6jBZmBu?rBUnBTqB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jem7IvhFzcBfjB6jBc?lBxmBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFTeBclBihBW?oBXiBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jem7IvhFSiBTeBclB3?hBxnBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jez8IvhFGeB3gBUjBx?mBilBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Je07IvhFlcBXiBTjBC?jBxqBmqB
TSOIJZL,X,O,X,O,O,O,X,X,O,O
TSOIZLJ,X,O,X,X,O,O,X,X,O,O
TSOIZJL,X,O,X,O,O,O,X,X,O,O
TSOLIJZ,O,O,X,O,O,O,X,X,X,X
TSOLIZJ,O,O,X,O,O,O,X,X,X,X
TSOLJIZ,O,O,X,O,O,X,X,X,X,X
TSOLJZI,O,O,X,O,X,X,X,X,X,X
TSOLZIJ,O,O,X,O,O,X,X,X,X,O
TSOLZJI,O,O,X,O,X,X,X,X,X,O
TSOJILZ,X,O,O,X,O,X,X,X,X,X
TSOJIZL,X,O,O,O,O,X,X,X,X,X
TSOJLIZ,O,O,O,O,O,X,X,X,X,X
TSOJLZI,O,O,O,O,X,X,X,X,X,X
TSOJZIL,O,O,O,O,X,X,X,X,X,X
TSOJZLI,O,O,O,O,X,X,X,X,X,O
TSOZILJ,O,O,X,X,O,X,X,X,X,O
TSOZIJL,O,O,O,O,O,X,X,X,X,X
TSOZLIJ,O,O,X,X,O,X,X,X,X,O
TSOZLJI,O,O,X,X,X,X,X,X,X,O
TSOZJIL,O,O,O,O,X,X,X,X,X,X
TSOZJLI,O,O,O,O,X,X,X,X,X,O
TZILJSO,O,O,O,X,O,O,O,O,O,X
TZILJOS,O,O,O,O,X,O,O,O,O,X
TZILSJO,O,O,X,X,O,O,O,O,O,X
TZILSOJ,O,O,X,O,X,O,X,O,O,O
TZILOJS,O,O,O,O,X,O,O,O,O,X
TZILOSJ,O,O,X,O,X,O,X,O,O,X
TZIJLSO,O,O,O,X,O,O,O,O,O,X
TZIJLOS,O,O,O,O,X,O,O,O,O,X
TZIJSLO,O,O,O,X,O,O,O,O,O,X
TZIJSOL,X,O,O,X,X,O,O,O,O,O
TZIJOLS,O,O,O,O,X,O,O,O,O,X
TZIJOSL,O,O,O,O,X,O,O,O,O,X
TZISLJO,O,O,X,X,O,O,O,O,O,X
TZISLOJ,O,O,X,O,X,O,X,O,O,O
TZISJLO,O,O,O,X,O,O,O,O,O,X
TZISJOL,X,O,O,X,X,O,O,O,O,O
TZISOLJ,O,O,X,X,X,O,X,O,O,O
TZISOJL,O,O,O,O,X,O,X,O,O,O
TZIOLJS,O,O,O,O,X,O,O,O,O,X
TZIOLSJ,O,O,X,O,X,O,X,O,O,X
TZIOJLS,O,O,O,O,X,O,O,O,O,X
TZIOJSL,O,O,O,O,X,O,O,O,O,X
TZIOSLJ,O,O,X,X,X,O,X,O,O,O
TZIOSJL,O,O,O,O,X,O,X,O,O,O
TZLIJSO,O,O,O,X,O,O,O,O,O,X
TZLIJOS,O,O,O,O,X,O,O,O,O,X
TZLISJO,O,O,X,X,O,O,O,O,O,X
TZLISOJ,O,O,X,O,X,O,X,O,O,O
TZLIOJS,O,O,O,O,X,O,O,O,O,X
TZLIOSJ,O,O,X,O,X,O,X,O,O,X
TZLJISO,O,O,O,X,X,O,O,O,O,X
TZLJIOS,O,O,O,O,X,O,O,O,O,X
TZLJSIO,O,O,O,X,X,O,O,X,X,X
TZLJSOI,O,O,O,O,X,X,O,X,X,X
TZLJOIS,O,O,O,O,X,X,O,X,X,X
TZLJOSI,O,O,O,O,X,X,O,X,X,X
TZLSIJO,O,O,X,X,O,O,O,X,X,X
TZLSIOJ,O,O,X,O,X,O,X,X,X,X
TZLSJIO,O,O,X,X,X,O,O,X,X,X
TZLSJOI,O,O,X,O,X,X,O,X,X,X
TZLSOIJ,O,O,X,O,O,X,X,X,X,O
TZLSOJI,O,O,X,O,X,X,X,X,X,O
TZLOIJS,O,O,O,O,O,X,O,X,X,X
TZLOISJ,O,O,X,O,O,X,X,X,X,X
TZLOJIS,O,O,O,O,X,X,O,X,X,X
TZLOJSI,O,O,O,O,X,X,O,X,X,X
TZLOSIJ,O,O,X,O,O,X,X,X,X,X
TZLOSJI,O,O,X,O,X,X,X,X,X,X
TZJILSO,O,O,O,X,X,O,O,O,O,X
TZJILOS,O,O,O,O,X,O,O,O,O,X
TZJISLO,O,O,O,X,X,O,O,O,O,X
TZJISOL,X,O,O,X,X,O,O,O,O,O
TZJIOLS,O,O,O,O,X,O,O,O,O,X
TZJIOSL,O,O,O,O,X,O,O,O,O,X
TZJLISO,O,O,O,X,X,O,O,O,O,X
TZJLIOS,O,O,O,O,X,O,O,O,O,X
TZJLSIO,O,O,O,X,X,O,O,X,X,X
TZJLSOI,O,O,O,O,X,X,O,X,X,X
TZJLOIS,O,O,O,O,X,X,O,X,X,X
TZJLOSI,O,O,O,O,X,X,O,X,X,X
TZJSILO,O,O,O,X,X,O,O,O,O,X
TZJSIOL,X,O,O,X,X,O,O,O,O,X
TZJSLIO,O,O,O,X,X,O,O,X,X,X
TZJSLOI,O,O,O,O,X,X,O,X,X,X
TZJSOIL,O,O,O,O,X,X,O,X,X,X
TZJSOLI,O,O,O,O,X,X,O,X,X,O
TZJOILS,O,O,O,O,X,O,O,O,O,X
TZJOISL,O,O,O,O,X,O,O,O,O,X
TZJOLIS,O,O,O,O,X,X,O,X,X,X
TZJOLSI,O,O,O,O,X,X,O,X,X,X
TZJOSIL,O,O,O,O,X,X,O,X,X,X
TZJOSLI,O,O,O,O,X,X,O,X,X,X
TZSILJO,O,O,X,X,O,O,O,O,O,X
TZSILOJ,O,O,X,O,X,O,X,O,O,O
TZSIJLO,O,O,O,X,O,O,O,O,O,X
TZSIJOL,X,O,O,X,X,O,O,O,O,O
TZSIOLJ,O,O,X,X,X,O,X,O,O,O
TZSIOJL,O,O,O,O,X,O,X,O,O,O
TZSLIJO,O,O,X,X,O,O,O,X,X,X
TZSLIOJ,O,O,X,O,X,O,X,X,X,X
TZSLJIO,O,O,X,X,X,O,O,X,X,X
TZSLJOI,O,O,X,O,X,X,O,X,X,X
TZSLOIJ,O,O,X,O,O,X,X,X,X,O
TZSLOJI,O,O,X,O,X,X,X,X,X,O
TZSJILO,O,O,O,X,X,O,O,O,O,X
TZSJIOL,X,O,O,X,X,O,O,O,O,X
TZSJLIO,O,O,O,X,X,O,O,X,X,X
TZSJLOI,O,O,O,O,X,X,O,X,X,X
TZSJOIL,O,O,O,O,X,X,O,X,X,X
TZSJOLI,O,O,O,O,X,X,O,X,X,O
TZSOILJ,O,O,X,X,O,X,X,X,X,O
TZSOIJL,O,O,O,O,O,X,X,X,X,X
TZSOLIJ,O,O,X,X,O,X,X,X,X,O
TZSOLJI,O,O,X,X,X,X,X,X,X,O
TZSOJIL,O,O,O,O,X,X,X,X,X,X
TZSOJLI,O,O,O,O,X,X,X,X,X,O
TZOILJS,O,O,O,O,O,O,O,O,O,X
TZOILSJ,O,O,X,O,O,O,X,O,O,X
TZOIJLS,O,O,O,O,O,O,O,O,O,X
TZOIJSL,O,O,O,O,O,O,O,O,O,X
TZOISLJ,O,O,X,X,O,O,X,O,O,O
TZOISJL,O,O,O,O,O,O,X,O,O,O
TZOLIJS,O,O,O,O,O,X,O,X,X,X
TZOLISJ,O,O,X,O,O,X,X,X,X,X
TZOLJIS,O,O,O,O,X,X,O,X,X,X
TZOLJSI,O,O,O,O,X,X,O,X,X,X
TZOLSIJ,O,O,X,O,O,X,X,X,X,X
TZOLSJI,O,O,X,O,X,X,X,X,X,X
TZOJILS,O,O,O,O,X,O,O,O,O,X
TZOJISL,O,O,O,O,X,O,O,O,O,X
TZOJLIS,O,O,O,O,X,X,O,X,X,X
TZOJLSI,O,O,O,O,X,X,O,X,X,X
TZOJSIL,O,O,O,O,X,X,O,X,X,X
TZOJSLI,O,O,O,O,X,X,O,X,X,X
TZOSILJ,O,O,X,X,O,X,X,X,X,O
TZOSIJL,O,O,O,O,O,X,X,X,X,X
TZOSLIJ,O,O,X,X,O,X,X,X,X,O
TZOSLJI,O,O,X,X,X,X,X,X,X,O
TZOSJIL,O,O,O,O,X,X,X,X,X,X
TZOSJLI,O,O,O,O,X,X,X,X,X,O
TOILJSZ,O,O,X,O,O,X,X,X,X,X
TOILJZS,O,O,X,O,O,X,X,O,X,X
TOILSJZ,O,O,X,O,O,O,X,X,X,X
TOILSZJ,O,O,X,O,O,O,X,O,O,X
TOILZJS,O,O,X,O,O,O,X,O,O,X
TOILZSJ,O,O,X,O,O,O,X,O,O,X
TOIJLSZ,O,O,X,O,O,X,X,X,X,X
TOIJLZS,O,O,X,O,O,X,X,O,X,X
TOIJSLZ,X,O,O,X,O,O,X,X,X,X
TOIJSZL,X,O,O,O,O,O,X,X,O,X
TOIJZLS,O,O,O,O,O,O,X,O,O,X
TOIJZSL,O,O,O,O,O,O,X,O,O,X
TOISLJZ,X,O,X,X,O,O,X,X,X,X
TOISLZJ,X,O,X,X,O,O,X,O,O,O
TOISJLZ,X,O,X,X,O,O,X,X,X,O
TOISJZL,X,O,X,O,O,O,X,X,O,O
TOISZLJ,X,O,X,X,O,O,X,O,O,O
TOISZJL,X,O,X,O,O,O,X,O,O,O
TOIZLJS,O,O,O,O,O,O,X,O,O,X
TOIZLSJ,O,O,X,X,O,O,X,O,O,X
TOIZJLS,O,O,O,O,O,O,X,O,O,X
TOIZJSL,O,O,O,O,O,O,X,O,O,X
TOIZSLJ,O,O,X,X,O,O,X,O,O,O
TOIZSJL,O,O,O,O,O,O,X,O,O,O
TOLIJSZ,O,O,X,O,O,X,X,X,X,X
TOLIJZS,O,O,X,O,O,X,X,X,X,X
TOLISJZ,O,O,X,O,O,X,X,X,X,X
TOLISZJ,O,O,X,O,O,X,X,X,X,X
TOLIZJS,O,O,X,O,O,X,X,X,X,X
TOLIZSJ,O,O,X,O,O,X,X,X,X,X
TOLJISZ,O,O,X,O,O,X,X,X,X,X
TOLJIZS,O,O,X,O,O,X,O,X,X,X
TOLJSIZ,O,O,O,O,O,X,X,X,X,X
TOLJSZI,O,O,O,O,X,X,O,X,X,X
TOLJZIS,O,O,O,O,X,X,O,X,X,X
TOLJZSI,O,O,O,O,X,X,O,X,X,X
TOLSIJZ,O,O,X,O,O,O,X,X,X,X
TOLSIZJ,O,O,X,O,O,O,X,X,X,X
TOLSJIZ,O,O,X,O,O,X,X,X,X,X
TOLSJZI,O,O,X,O,X,X,X,X,X,X
TOLSZIJ,O,O,X,O,O,X,X,X,X,X
TOLSZJI,O,O,X,O,X,X,X,X,X,X
TOLZIJS,O,O,O,O,O,X,O,X,X,X
TOLZISJ,O,O,X,O,O,X,X,X,X,X
TOLZJIS,O,O,O,O,X,X,O,X,X,X
TOLZJSI,O,O,O,O,X,X,O,X,X,X
TOLZSIJ,O,O,X,O,O,X,X,X,X,X
TOLZSJI,O,O,X,O,X,X,X,X,X,X
TOJILSZ,O,O,X,O,O,X,X,X,X,X
TOJILZS,O,O,X,O,O,X,O,X,X,X
TOJISLZ,X,O,O,X,O,X,X,X,X,X
TOJISZL,X,O,O,O,O,X,X,X,X,X
TOJIZLS,O,O,O,O,O,X,O,X,X,X
TOJIZSL,O,O,O,O,O,X,O,X,X,X
TOJLISZ,O,O,X,O,O,X,X,X,X,X
TOJLIZS,O,O,X,O,O,X,O,X,X,X
TOJLSIZ,O,O,O,O,O,X,X,X,X,X
TOJLSZI,O,O,O,O,X,X,O,X,X,X
TOJLZIS,O,O,O,O,X,X,O,X,X,X
TOJLZSI,O,O,O,O,X,X,O,X,X,X
TOJSILZ,X,O,O,X,O,X,X,X,X,X
TOJSIZL,X,O,O,O,O,X,X,X,X,X
TOJSLIZ,O,O,O,O,O,X,X,X,X,X
TOJSLZI,O,O,O,O,X,X,O,X,X,X
TOJSZIL,O,O,O,O,X,X,O,X,X,X
TOJSZLI,O,O,O,O,X,X,O,X,X,X
TOJZILS,O,O,O,O,X,X,O,X,X,X
TOJZISL,O,O,O,O,X,X,O,X,X,X
TOJZLIS,O,O,O,O,X,X,O,X,X,X
TOJZLSI,O,O,O,O,X,X,O,X,X,X
TOJZSIL,O,O,O,O,X,X,O,X,X,X
TOJZSLI,O,O,O,O,X,X,O,X,X,X
TOSILJZ,X,O,X,X,O,O,X,X,X,X
TOSILZJ,X,O,X,X,O,O,X,X,O,O
TOSIJLZ,X,O,X,X,O,O,X,X,X,O
TOSIJZL,X,O,X,O,O,O,X,X,O,O
TOSIZLJ,X,O,X,X,O,O,X,X,O,O
TOSIZJL,X,O,X,O,O,O,X,X,O,O
TOSLIJZ,O,O,X,O,O,O,X,X,X,X
TOSLIZJ,O,O,X,O,O,O,X,X,X,X
TOSLJIZ,O,O,X,O,O,X,X,X,X,X
TOSLJZI,O,O,X,O,X,X,X,X,X,X
TOSLZIJ,O,O,X,O,O,X,X,X,X,O
TOSLZJI,O,O,X,O,X,X,X,X,X,O
TOSJILZ,X,O,O,X,O,X,X,X,X,X
TOSJIZL,X,O,O,O,O,X,X,X,X,X
TOSJLIZ,O,O,O,O,O,X,X,X,X,X
TOSJLZI,O,O,O,O,X,X,X,X,X,X
TOSJZIL,O,O,O,O,X,X,X,X,X,X
TOSJZLI,O,O,O,O,X,X,X,X,X,O
TOSZILJ,O,O,X,X,O,X,X,X,X,O
TOSZIJL,O,O,O,O,O,X,X,X,X,X
TOSZLIJ,O,O,X,X,O,X,X,X,X,O
TOSZLJI,O,O,X,X,X,X,X,X,X,O
TOSZJIL,O,O,O,O,X,X,X,X,X,X
TOSZJLI,O,O,O,O,X,X,X,X,X,O
TOZILJS,O,O,O,O,O,O,O,O,O,X
TOZILSJ,O,O,X,O,O,O,X,O,O,X
TOZIJLS,O,O,O,O,O,O,O,O,O,X
TOZIJSL,O,O,O,O,O,O,O,O,O,X
TOZISLJ,O,O,X,X,O,O,X,O,O,O
TOZISJL,O,O,O,O,O,O,X,O,O,O
TOZLIJS,O,O,O,O,O,X,O,X,X,X
TOZLISJ,O,O,X,O,O,X,X,X,X,X
TOZLJIS,O,O,O,O,X,X,O,X,X,X
TOZLJSI,O,O,O,O,X,X,O,X,X,X
TOZLSIJ,O,O,X,O,O,X,X,X,X,X
TOZLSJI,O,O,X,O,X,X,X,X,X,X
TOZJILS,O,O,O,O,X,O,O,O,O,X
TOZJISL,O,O,O,O,X,O,O,O,O,X
TOZJLIS,O,O,O,O,X,X,O,X,X,X
TOZJLSI,O,O,O,O,X,X,O,X,X,X
TOZJSIL,O,O,O,O,X,X,O,X,X,X
TOZJSLI,O,O,O,O,X,X,O,X,X,X
TOZSILJ,O,O,X,X,O,X,X,X,X,O
TOZSIJL,O,O,O,O,O,X,X,X,X,X
TOZSLIJ,O,O,X,X,O,X,X,X,X,O
TOZSLJI,O,O,X,X,X,X,X,X,X,O
TOZSJIL,O,O,O,O,X,X,X,X,X,X
TOZSJLI,O,O,O,O,X,X,X,X,X,O
ITLJSZO,O,O,X,X,O,X,X,X,X,X
ITLJSOZ,O,X,X,X,O,X,X,X,X,X
ITLJZSO,O,O,X,X,O,X,O,O,X,X
ITLJZOS,O,O,X,O,X,X,O,O,X,X
ITLJOSZ,O,X,X,O,O,X,X,X,X,X
ITLJOZS,O,X,X,O,X,X,O,O,X,X
ITLSJZO,O,X,X,X,O,O,X,X,X,X
ITLSJOZ,O,X,X,X,O,O,X,X,X,X
ITLSZJO,O,X,X,X,O,O,X,O,O,X
ITLSZOJ,O,X,X,X,X,O,X,O,O,X
ITLSOJZ,O,X,X,X,O,O,X,X,X,X
ITLSOZJ,O,X,X,X,O,O,X,O,O,X
ITLZJSO,O,O,X,X,O,O,O,O,O,X
ITLZJOS,O,O,X,O,X,O,O,O,O,X
ITLZSJO,O,O,X,X,O,O,O,O,O,X
ITLZSOJ,O,O,X,O,X,O,X,O,O,X
ITLZOJS,O,O,X,O,X,O,O,O,O,X
ITLZOSJ,O,O,X,O,X,O,X,O,O,X
ITLOJSZ,O,O,X,O,O,X,X,X,X,X
ITLOJZS,O,O,X,O,O,X,X,O,X,X
ITLOSJZ,O,O,X,O,O,O,X,X,X,X
ITLOSZJ,O,O,X,O,O,O,X,O,O,X
ITLOZJS,O,O,X,O,O,O,X,O,O,X
ITLOZSJ,O,O,X,O,O,O,X,O,O,X
ITJLSZO,O,O,X,X,O,X,X,X,X,X
ITJLSOZ,O,X,X,X,O,X,X,X,X,X
ITJLZSO,O,O,X,X,O,X,O,O,X,X
ITJLZOS,O,O,X,O,X,X,O,O,X,X
ITJLOSZ,O,X,X,O,O,X,X,X,X,X
ITJLOZS,O,X,X,O,X,X,O,O,X,X
ITJSLZO,X,O,O,X,O,O,X,X,X,X
ITJSLOZ,X,X,O,X,O,O,X,X,X,X
ITJSZLO,X,O,O,X,O,O,X,X,O,X
ITJSZOL,X,O,O,X,X,O,X,X,O,X
ITJSOLZ,X,O,O,X,O,O,X,X,X,X
ITJSOZL,X,O,O,X,X,O,X,X,O,X
ITJZLSO,O,O,O,X,O,O,O,O,O,X
ITJZLOS,O,O,O,O,X,O,O,O,O,X
ITJZSLO,O,O,O,X,O,O,O,O,O,X
ITJZSOL,X,O,O,X,X,O,O,O,O,X
ITJZOLS,O,O,O,O,X,O,O,O,O,X
ITJZOSL,O,O,O,O,X,O,O,O,O,X
ITJOLSZ,O,O,X,O,O,X,X,X,X,X
ITJOLZS,O,O,X,O,X,X,O,O,X,X
ITJOSLZ,X,O,O,X,O,O,X,X,X,X
ITJOSZL,X,O,O,O,X,O,X,X,O,X
ITJOZLS,O,O,O,O,X,O,O,O,O,X
ITJOZSL,O,O,O,O,X,O,O,O,O,X
ITSLJZO,X,X,X,X,O,O,X,X,X,X
ITSLJOZ,X,X,X,X,O,O,X,X,X,X
ITSLZJO,X,X,X,X,O,O,X,O,O,X
ITSLZOJ,X,X,X,X,X,O,X,O,O,O
ITSLOJZ,X,X,X,X,O,O,X,X,X,X
ITSLOZJ,X,X,X,X,O,O,X,O,O,O
ITSJLZO,X,X,X,X,O,O,X,X,X,O
ITSJLOZ,X,X,X,X,O,O,X,X,X,O
ITSJZLO,X,X,X,X,O,O,X,X,O,O
ITSJZOL,X,X,X,X,X,O,X,X,O,O
ITSJOLZ,X,X,X,X,O,O,X,X,X,O
ITSJOZL,X,X,X,X,X,O,X,X,O,O
ITSZLJO,X,X,X,X,O,O,X,O,O,X
ITSZLOJ,X,X,X,X,X,O,X,O,O,O
ITSZJLO,X,X,X,X,O,O,X,O,O,X
ITSZJOL,X,X,X,X,X,O,X,O,O,O
ITSZOLJ,X,X,X,X,X,O,X,O,O,O
ITSZOJL,X,X,X,X,X,O,X,O,O,O
ITSOLJZ,X,X,X,X,O,O,X,X,X,X
ITSOLZJ,X,X,X,X,O,O,X,O,O,O
ITSOJLZ,X,X,X,X,O,O,X,X,X,O
ITSOJZL,X,X,X,X,O,O,X,X,O,O
ITSOZLJ,X,X,X,X,O,O,X,O,O,O
ITSOZJL,X,X,X,X,O,O,X,O,O,O
ITZLJSO,O,O,O,X,O,O,O,O,O,X
ITZLJOS,O,O,O,O,X,O,O,O,O,X
ITZLSJO,O,O,X,X,O,O,O,O,O,X
ITZLSOJ,O,O,X,O,X,O,X,O,O,O
ITZLOJS,O,O,O,O,X,O,O,O,O,X
ITZLOSJ,O,O,X,O,X,O,X,O,O,X
ITZJLSO,O,O,O,X,O,O,O,O,O,X
ITZJLOS,O,O,O,O,X,O,O,O,O,X
ITZJSLO,O,O,O,X,O,O,O,O,O,X
ITZJSOL,X,O,O,X,X,O,O,O,O,O
ITZJOLS,O,O,O,O,X,O,O,O,O,X
ITZJOSL,O,O,O,O,X,O,O,O,O,X
ITZSLJO,O,O,X,X,O,O,O,O,O,X
ITZSLOJ,O,O,X,O,X,O,X,O,O,O
ITZSJLO,O,O,O,X,O,O,O,O,O,X
ITZSJOL,X,O,O,X,X,O,O,O,O,O
ITZSOLJ,O,O,X,X,X,O,X,O,O,O
ITZSOJL,O,O,O,O,X,O,X,O,O,O
ITZOLJS,O,O,O,O,X,O,O,O,O,X
ITZOLSJ,O,O,X,O,X,O,X,O,O,X
ITZOJLS,O,O,O,O,X,O,O,O,O,X
ITZOJSL,O,O,O,O,X,O,O,O,O,X
ITZOSLJ,O,O,X,X,X,O,X,O,O,O
ITZOSJL,O,O,O,O,X,O,X,O,O,O
ITOLJSZ,O,O,X,O,O,X,X,X,X,X
ITOLJZS,O,O,X,O,O,X,X,O,X,X
ITOLSJZ,O,O,X,O,O,O,X,X,X,X
ITOLSZJ,O,O,X,O,O,O,X,O,O,X
ITOLZJS,O,O,X,O,O,O,X,O,O,X
ITOLZSJ,O,O,X,O,O,O,X,O,O,X
ITOJLSZ,O,O,X,O,O,X,X,X,X,X
ITOJLZS,O,O,X,O,O,X,X,O,X,X
ITOJSLZ,X,O,O,X,O,O,X,X,X,X
ITOJSZL,X,O,O,O,O,O,X,X,O,X
ITOJZLS,O,O,O,O,O,O,X,O,O,X
ITOJZSL,O,O,O,O,O,O,X,O,O,X
ITOSLJZ,X,O,X,X,O,O,X,X,X,X
ITOSLZJ,X,O,X,X,O,O,X,O,O,O
ITOSJLZ,X,O,X,X,O,O,X,X,X,O
ITOSJZL,X,O,X,O,O,O,X,X,O,O
ITOSZLJ,X,O,X,X,O,O,X,O,O,O
ITOSZJL,X,O,X,O,O,O,X,O,O,O
ITOZLJS,O,O,O,O,O,O,X,O,O,X
ITOZLSJ,O,O,X,X,O,O,X,O,O,X
ITOZJLS,O,O,O,O,O,O,X,O,O,X
ITOZJSL,O,O,O,O,O,O,X,O,O,X
ITOZSLJ,O,O,X,X,O,O,X,O,O,O
ITOZSJL,O,O,O,O,O,O,X,O,O,O
ILTJSZO,O,O,X,X,O,X,X,X,X,X
ILTJSOZ,O,X,X,X,O,X,X,X,X,X
ILTJZSO,O,O,X,X,O,X,X,O,X,X
ILTJZOS,O,O,X,X,X,X,X,O,X,X
ILTJOSZ,O,X,X,X,O,X,X,X,X,X
ILTJOZS,O,X,X,X,X,X,X,O,X,X
ILTSJZO,O,X,X,X,O,O,X,X,X,X
ILTSJOZ,O,X,X,X,O,O,X,X,X,X
ILTSZJO,O,X,X,X,O,O,X,O,X,X
ILTSZOJ,O,X,X,X,X,O,X,O,X,X
ILTSOJZ,O,X,X,X,O,O,X,X,X,X
ILTSOZJ,O,X,X,X,O,O,X,O,X,X
ILTZJSO,O,O,X,X,O,X,X,O,X,X
ILTZJOS,O,O,X,X,X,X,X,O,X,X
ILTZSJO,O,O,X,X,O,X,X,O,X,X
ILTZSOJ,O,O,X,X,X,X,X,O,X,X
ILTZOJS,O,O,X,X,X,X,X,O,X,X
ILTZOSJ,O,O,X,X,X,X,X,O,X,X
ILTOJSZ,O,O,X,X,O,X,X,X,X,X
ILTOJZS,O,O,X,X,O,X,X,O,X,X
ILTOSJZ,O,O,X,X,O,X,X,X,X,X
ILTOSZJ,O,O,X,X,O,X,X,O,X,X
ILTOZJS,O,O,X,X,O,X,X,O,X,X
ILTOZSJ,O,O,X,X,O,X,X,O,X,X
ILJTSZO,O,X,X,X,O,X,X,X,X,X
ILJTSOZ,O,X,X,X,O,X,X,X,X,X
ILJTZSO,O,X,X,X,O,X,X,O,X,X
ILJTZOS,O,X,X,X,X,X,X,O,X,X
ILJTOSZ,O,X,X,X,O,X,X,X,X,X
ILJTOZS,O,X,X,X,X,X,X,O,X,X
ILJSTZO,O,X,O,X,O,X,X,X,X,X
ILJSTOZ,O,X,X,X,O,X,X,X,X,X
ILJSZTO,O,O,O,X,O,O,X,X,X,X
ILJSZOT,O,O,O,X,X,O,X,X,X,X
ILJSOTZ,X,X,X,X,O,X,X,X,X,X
ILJSOZT,O,X,O,X,O,X,X,X,X,X
ILJZTSO,O,O,O,X,O,X,X,X,X,X
ILJZTOS,O,O,O,X,X,X,X,O,X,X
ILJZSTO,O,O,O,X,O,O,X,X,X,X
ILJZSOT,O,O,O,X,X,O,X,O,X,X
ILJZOTS,X,O,X,O,X,X,X,O,X,X
ILJZOST,O,O,X,O,X,X,X,O,X,X
ILJOTSZ,X,X,X,X,O,X,X,X,X,X
ILJOTZS,X,X,X,O,O,X,X,O,X,X
ILJOSTZ,X,X,X,X,O,X,X,X,X,X
ILJOSZT,O,O,X,O,O,X,X,X,X,X
ILJOZTS,X,X,X,O,O,X,X,O,X,X
ILJOZST,X,X,X,O,O,X,X,O,X,X
ILSTJZO,O,X,X,X,O,O,X,X,X,X
ILSTJOZ,O,X,X,X,O,O,X,X,X,X
ILSTZJO,O,X,X,X,O,O,X,O,X,X
ILSTZOJ,O,X,X,X,X,O,X,O,X,O
ILSTOJZ,O,X,X,X,O,O,X,X,X,X
ILSTOZJ,O,X,X,X,O,O,X,O,X,O
ILSJTZO,O,X,X,X,O,X,X,X,X,O
ILSJTOZ,O,X,X,X,O,X,X,X,X,O
ILSJZTO,O,X,X,X,O,O,X,X,X,O
ILSJZOT,O,X,X,X,X,O,X,X,X,O
ILSJOTZ,X,X,X,X,O,X,X,X,X,O
ILSJOZT,O,X,X,X,O,O,X,X,X,O
ILSZTJO,O,O,X,X,O,O,X,X,X,X
ILSZTOJ,O,O,X,X,X,O,X,X,X,O
ILSZJTO,O,O,X,X,O,O,X,X,X,X
ILSZJOT,O,O,X,X,X,O,X,O,O,X
ILSZOTJ,X,O,X,X,X,O,X,X,X,O
ILSZOJT,O,O,X,X,X,O,X,O,O,X
ILSOTJZ,X,X,X,X,O,X,X,X,X,X
ILSOTZJ,X,O,X,X,O,O,X,O,X,O
ILSOJTZ,X,X,X,X,O,X,X,X,X,O
ILSOJZT,O,O,X,X,O,O,X,X,X,O
ILSOZTJ,X,O,X,X,O,O,X,X,X,O
ILSOZJT,X,O,X,X,O,O,X,O,O,X
ILZTJSO,O,O,O,X,O,X,O,O,X,X
ILZTJOS,O,O,O,X,X,X,O,O,X,X
ILZTSJO,O,O,X,X,O,X,O,O,X,X
ILZTSOJ,O,O,X,X,X,X,X,O,X,O
ILZTOJS,O,O,O,O,X,X,O,O,X,X
ILZTOSJ,O,O,X,X,X,X,X,O,X,X
ILZJTSO,O,O,O,X,O,X,X,X,X,X
ILZJTOS,O,O,O,X,X,X,X,O,X,X
ILZJSTO,O,O,O,X,O,O,X,X,X,X
ILZJSOT,O,O,O,X,X,O,X,O,O,X
ILZJOTS,X,O,X,O,X,X,X,O,X,X
ILZJOST,O,O,X,O,X,O,X,O,O,X
ILZSTJO,O,O,X,X,O,O,X,X,X,X
ILZSTOJ,O,O,X,X,X,O,X,X,X,O
ILZSJTO,O,O,X,X,O,O,X,X,X,X
ILZSJOT,O,O,X,X,X,O,X,O,O,X
ILZSOTJ,X,O,X,X,X,O,X,X,X,O
ILZSOJT,O,O,X,O,X,O,X,O,O,X
ILZOTJS,O,O,X,O,X,X,X,O,X,X
ILZOTSJ,O,O,X,X,X,X,X,O,X,X
ILZOJTS,X,O,X,O,X,X,X,O,X,X
ILZOJST,O,O,X,O,X,O,X,O,O,X
ILZOSTJ,X,O,X,X,X,O,X,X,X,O
ILZOSJT,O,O,X,O,X,O,X,O,O,X
