sequence,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBciBTeBWsBFo?BSyB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBqiBTeB8mB+t?BlsB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFUdBGeB6mB/oBTn?BVyB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF8iB+jBlhB/sBCn?BTtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFGdBlhB6oBXnB8s?BTtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBFeBTiBcoBWs?BSyB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFXeBSoBUnBlmBTt?BGsB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFFdBXeB0hBSoBGs?BTtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cB+jBliBzmBCt?BUtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBliBzmBCtBct?BGtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFlhBcnBTjBCnBGt?BXtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBliBzmBGtBct?BCtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF+jBlhB3iBzmBCt?BUtB
ISTZOLJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ISTZOJL,X,X,O,O,O,X,X,X,X,X,X,X,X
ISTOLJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISTOLZJ,X,X,O,X,X,X,X,X,X,O,X,X,X
ISTOJLZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISTOJZL,X,X,O,O,O,X,X,X,X,X,X,O,X
ISTOZLJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ISTOZJL,X,X,O,O,O,X,X,X,X,X,X,X,X
ISLTJZO,O,X,O,X,O,O,X,X,X,X,X,X,O
ISLTJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ISLTZJO,O,X,O,X,O,O,X,X,X,X,X,X,X
ISLTZOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
ISLTOJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
ISLTOZJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ISLJTZO,O,X,X,X,X,O,X,X,X,X,X,X,O
ISLJTOZ,O,X,X,X,X,O,X,X,X,X,X,X,O
ISLJZTO,O,O,X,X,X,O,X,X,X,X,X,X,O
ISLJZOT,O,X,X,X,X,O,X,X,X,X,X,X,X
ISLJOTZ,X,X,X,X,X,O,X,X,O,X,X,X,O
ISLJOZT,O,X,X,X,X,O,X,X,O,X,X,X,X
ISLZTJO,X,X,O,X,O,O,X,X,X,X,X,X,X
ISLZTOJ,X,X,O,X,O,O,X,X,X,X,X,X,X
ISLZJTO,O,O,X,X,O,O,X,X,X,X,X,X,X
ISLZJOT,O,X,X,X,X,O,X,X,X,X,X,X,X
ISLZOTJ,X,X,O,X,O,O,X,X,X,X,X,X,X
ISLZOJT,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLOTJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLOTZJ,X,X,O,X,X,X,X,X,X,O,X,X,X
ISLOJTZ,X,X,X,O,X,O,X,X,X,X,X,X,X
ISLOJZT,O,X,X,O,X,O,X,X,X,O,X,O,X
ISLOZTJ,X,X,O,X,X,O,X,X,X,O,X,X,X
ISLOZJT,X,X,X,X,X,O,X,X,X,O,X,X,X
ISJTLZO,O,O,X,X,O,O,X,X,X,X,X,X,X
ISJTLOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ISJTZLO,O,O,X,X,O,X,X,X,X,X,X,X,X
ISJTZOL,O,O,X,X,O,X,X,X,X,X,X,X,X
ISJTOLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
ISJTOZL,O,O,X,O,O,X,X,X,X,X,X,X,X
ISJLTZO,O,X,X,X,X,O,X,O,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,O,X,O,X,X,X,X,X
ISJLZTO,O,O,X,X,X,O,X,O,X,X,X,X,X
ISJLZOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ISJLOTZ,X,X,X,X,X,O,X,O,X,X,X,X,X
ISJLOZT,O,X,X,X,X,O,X,O,X,X,X,X,X
ISJZTLO,O,O,X,X,O,X,X,O,X,X,X,X,X
ISJZTOL,O,O,X,X,O,X,X,O,X,X,O,X,X
ISJZLTO,O,O,X,X,O,O,X,O,X,X,X,X,X
ISJZLOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ISJZOTL,O,O,X,X,X,X,X,O,X,X,O,X,X
ISJZOLT,O,X,X,X,X,O,X,O,X,X,X,X,X
ISJOTLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
ISJOTZL,X,O,X,O,X,X,X,X,X,X,X,O,X
ISJOLTZ,X,X,X,O,X,O,X,O,X,X,X,X,X
ISJOLZT,O,X,X,O,X,O,X,O,X,O,X,O,X
ISJOZTL,O,O,X,O,X,X,X,O,X,X,O,O,X
ISJOZLT,O,X,X,O,X,O,X,O,X,X,X,O,X
ISZTLJO,X,X,X,X,O,X,X,X,X,X,X,X,X
ISZTLOJ,X,X,X,X,O,X,X,X,X,X,X,X,X
ISZTJLO,X,O,X,X,O,X,X,O,X,X,X,X,X
ISZTJOL,X,O,X,X,O,X,X,O,X,X,O,X,X
ISZTOLJ,X,X,X,X,O,X,X,O,X,X,X,X,X
ISZTOJL,X,X,X,O,O,X,X,O,X,X,X,X,X
ISZLTJO,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZLTOJ,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZLJTO,O,O,X,X,O,O,X,X,X,X,X,X,X
ISZLJOT,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZLOTJ,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZLOJT,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJTLO,O,O,X,X,O,X,X,O,X,X,X,X,X
ISZJTOL,O,O,X,X,O,X,X,O,X,X,O,X,X
ISZJLTO,O,O,X,X,O,O,X,O,X,X,X,X,X
ISZJLOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ISZJOTL,O,O,X,X,X,X,X,O,X,X,O,X,X
ISZJOLT,O,X,X,X,X,O,X,O,X,X,X,X,X
ISZOTLJ,X,X,X,X,O,X,X,O,X,X,X,X,X
ISZOTJL,X,X,X,O,O,X,X,O,X,X,X,X,X
ISZOLTJ,X,X,X,X,O,X,O,O,X,O,X,X,X
ISZOLJT,X,X,X,X,X,X,O,O,X,O,X,X,X
ISZOJTL,X,O,X,O,X,X,X,O,X,X,X,O,X
ISZOJLT,X,X,X,O,X,X,X,O,X,X,X,O,X
ISOTLJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISOTLZJ,X,X,O,X,X,X,X,X,X,O,X,X,X
ISOTJLZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISOTJZL,X,X,O,O,O,X,X,X,X,X,X,O,X
ISOTZLJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ISOTZJL,X,X,O,O,O,X,X,X,X,X,X,X,X
ISOLTJZ,X,X,X,O,X,X,X,O,X,X,X,X,X
ISOLTZJ,X,X,X,X,X,X,O,O,X,O,X,X,X
ISOLJTZ,X,X,X,O,X,O,X,O,O,X,X,X,X
ISOLJZT,O,X,X,O,X,O,O,O,O,O,X,O,X
ISOLZTJ,X,X,X,X,X,O,O,O,X,O,X,X,X
ISOLZJT,X,X,X,X,X,O,O,O,X,O,X,X,X
ISOJTLZ,X,X,X,O,X,O,X,X,X,X,X,X,X
ISOJTZL,X,X,X,O,X,X,X,X,X,X,X,O,X
ISOJLTZ,X,X,X,O,X,O,X,O,X,X,X,X,X
ISOJLZT,O,X,X,O,X,O,X,O,X,O,X,O,X
ISOJZTL,O,O,X,O,X,X,X,O,X,X,X,O,X
ISOJZLT,O,X,X,O,X,O,X,O,X,X,X,O,X
ISOZTLJ,X,X,O,X,O,X,X,O,X,X,X,X,X
ISOZTJL,X,X,O,O,O,X,X,O,X,X,X,X,X
ISOZLTJ,X,X,X,X,O,X,O,O,X,O,X,X,X
ISOZLJT,X,X,X,X,X,X,O,O,X,O,X,X,X
ISOZJTL,X,O,X,O,X,X,X,O,X,X,X,O,X
ISOZJLT,X,X,X,O,X,X,X,O,X,X,X,O,X
IZTLJSO,X,X,O,X,X,X,X,O,X,X,X,X,O
IZTLJOS,X,X,X,X,X,X,X,O,X,X,O,X,X
IZTLSJO,X,X,O,X,O,X,X,X,X,X,X,X,X
IZTLSOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
IZTLOJS,X,X,O,X,X,X,X,O,X,X,X,X,X
IZTLOSJ,X,X,O,X,X,X,X,O,X,X,X,X,X
IZTJLSO,X,O,X,X,X,X,X,O,X,X,X,X,X
IZTJLOS,X,O,X,X,X,X,X,O,X,X,O,X,X
IZTJSLO,X,O,X,X,O,X,X,O,X,X,X,X,X
IZTJSOL,X,O,X,X,O,X,X,O,X,X,O,X,X
IZTJOLS,X,O,X,X,X,X,X,O,X,X,O,X,X
IZTJOSL,X,O,X,X,X,X,X,O,X,X,O,X,X
IZTSLJO,X,X,O,X,O,X,X,X,X,X,X,X,X
IZTSLOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
IZTSJLO,X,O,O,X,O,X,X,O,X,X,X,X,X
IZTSJOL,X,O,O,X,O,X,X,O,X,X,O,X,X
IZTSOLJ,X,X,O,X,O,X,X,O,X,X,X,X,X
IZTSOJL,X,X,O,O,O,X,X,O,X,X,X,X,X
IZTOLJS,X,X,X,X,X,X,O,O,X,X,X,X,X
IZTOLSJ,X,X,O,X,X,X,O,O,X,X,X,X,X
IZTOJLS,X,X,X,O,X,X,X,O,X,X,O,X,X
IZTOJSL,X,X,O,O,X,X,X,O,X,X,O,X,X
IZTOSLJ,X,X,O,X,X,X,X,O,X,X,X,X,X
IZTOSJL,X,X,O,O,X,X,X,O,X,X,X,X,X
IZLTJSO,O,X,O,X,X,O,X,O,X,X,X,X,O
IZLTJOS,O,X,X,X,X,O,X,O,X,X,O,X,X
IZLTSJO,O,X,O,X,O,O,X,X,X,X,X,X,X
IZLTSOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
IZLTOJS,O,X,O,X,X,O,X,O,X,X,X,X,X
IZLTOSJ,O,X,O,X,X,O,X,O,X,X,X,X,X
IZLJTSO,O,O,O,X,X,O,X,O,X,X,X,X,O
IZLJTOS,O,O,X,X,X,O,X,O,X,X,O,X,X
IZLJSTO,O,O,X,X,O,O,X,O,X,X,X,X,O
IZLJSOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IZLJOTS,O,X,O,X,X,O,X,O,O,X,O,X,X
IZLJOST,O,X,X,X,X,O,X,O,O,X,X,X,X
IZLSTJO,X,X,O,X,O,O,X,X,X,X,X,X,X
IZLSTOJ,X,X,O,X,O,O,X,X,X,X,X,X,X
IZLSJTO,O,O,X,X,O,O,X,X,X,X,X,X,X
IZLSJOT,O,X,X,X,X,O,X,X,X,X,X,X,X
IZLSOTJ,X,X,O,X,O,O,X,X,X,X,X,X,X
IZLSOJT,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLOTJS,X,X,O,X,X,O,O,O,X,O,X,X,X
IZLOTSJ,X,X,O,X,X,O,O,O,X,O,X,X,X
IZLOJTS,X,X,O,X,X,O,O,O,X,O,X,X,X
IZLOJST,X,X,X,X,X,O,O,O,X,O,X,X,X
IZLOSTJ,X,X,O,X,O,O,O,O,X,O,X,X,X
IZLOSJT,X,X,X,X,X,O,O,O,X,O,X,X,X
IZJTLSO,O,O,X,X,X,X,X,O,X,X,X,X,X
IZJTLOS,O,O,X,X,X,X,X,O,X,X,O,X,X
IZJTSLO,O,O,X,X,X,X,X,O,X,X,X,X,X
IZJTSOL,O,O,X,X,X,X,X,O,X,X,O,X,X
IZJTOLS,O,O,X,X,X,X,X,O,X,X,O,X,X
IZJTOSL,O,O,X,X,X,X,X,O,X,X,O,X,X
IZJLTSO,O,O,X,X,X,O,X,O,X,X,X,X,X
IZJLTOS,O,O,X,X,X,O,X,O,X,X,O,X,X
IZJLSTO,O,O,X,X,O,O,X,O,X,X,X,X,X
IZJLSOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IZJLOTS,O,X,X,X,X,O,X,O,X,X,O,X,X
IZJLOST,O,X,X,X,X,O,X,O,X,X,X,X,X
IZJSTLO,O,O,X,X,O,X,X,O,X,X,X,X,X
IZJSTOL,O,O,X,X,O,X,X,O,X,X,O,X,X
IZJSLTO,O,O,X,X,O,O,X,O,X,X,X,X,X
IZJSLOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IZJSOTL,O,O,X,X,X,X,X,O,X,X,O,X,X
IZJSOLT,O,X,X,X,X,O,X,O,X,X,X,X,X
IZJOTLS,O,O,X,X,X,X,X,O,X,X,O,O,X
IZJOTSL,O,O,X,X,X,X,X,O,X,X,O,O,X
IZJOLTS,O,X,X,X,X,O,O,O,X,X,O,O,X
IZJOLST,O,X,X,X,X,O,O,O,X,X,X,O,X
IZJOSTL,O,O,X,X,X,X,X,O,X,X,O,O,X
IZJOSLT,O,X,X,X,X,O,X,O,X,X,X,O,X
IZSTLJO,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSTLOJ,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSTJLO,X,O,X,X,O,X,X,O,X,X,X,X,X
IZSTJOL,X,O,X,X,O,X,X,O,X,X,O,X,X
IZSTOLJ,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSTOJL,X,X,X,O,O,X,X,O,X,X,X,X,X
IZSLTJO,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSLTOJ,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSLJTO,O,O,X,X,O,O,X,X,X,X,X,X,X
IZSLJOT,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSLOJT,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSJTLO,O,O,X,X,O,X,X,O,X,X,X,X,X
IZSJTOL,O,O,X,X,O,X,X,O,X,X,O,X,X
IZSJLTO,O,O,X,X,O,O,X,O,X,X,X,X,X
IZSJLOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IZSJOTL,O,O,X,X,X,X,X,O,X,X,O,X,X
IZSJOLT,O,X,X,X,X,O,X,O,X,X,X,X,X
IZSOTLJ,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSOTJL,X,X,X,O,O,X,X,O,X,X,X,X,X
IZSOLTJ,X,X,X,X,O,X,O,O,X,O,X,X,X
IZSOLJT,X,X,X,X,X,X,O,O,X,O,X,X,X
IZSOJTL,X,O,X,O,X,X,X,O,X,X,X,O,X
IZSOJLT,X,X,X,O,X,X,X,O,X,X,X,O,X
IZOTLJS,X,X,X,X,X,X,O,O,X,X,X,X,X
IZOTLSJ,X,X,O,X,X,X,O,O,X,X,X,X,X
IZOTJLS,X,X,X,O,X,X,X,O,X,X,O,X,X
IZOTJSL,X,X,O,O,X,X,X,O,X,X,O,X,X
IZOTSLJ,X,X,O,X,X,X,X,O,X,X,X,X,X
IZOTSJL,X,X,O,O,X,X,X,O,X,X,X,X,X
IZOLTJS,X,X,X,X,X,X,O,O,X,O,X,X,X
IZOLTSJ,X,X,O,X,X,X,O,O,X,O,X,X,X
IZOLJTS,X,X,X,X,X,X,O,O,X,O,X,X,X
IZOLJST,X,X,X,X,X,X,O,O,X,O,X,X,X
IZOLSTJ,X,X,X,X,O,X,O,O,X,O,X,X,X
IZOLSJT,X,X,X,X,X,X,O,O,X,O,X,X,X
IZOJTLS,X,O,X,O,X,X,X,O,X,X,O,O,X
IZOJTSL,X,O,O,O,X,X,X,O,X,X,O,O,X
IZOJLTS,X,X,X,O,X,X,O,O,X,X,O,O,X
IZOJLST,X,X,X,X,X,X,O,O,X,X,X,O,X
IZOJSTL,X,O,X,O,X,X,X,O,X,X,O,O,X
IZOJSLT,X,X,X,O,X,X,X,O,X,X,X,O,X
IZOSTLJ,X,X,O,X,O,X,X,O,X,X,X,X,X
IZOSTJL,X,X,O,O,O,X,X,O,X,X,X,X,X
IZOSLTJ,X,X,X,X,O,X,O,O,X,O,X,X,X
IZOSLJT,X,X,X,X,X,X,O,O,X,O,X,X,X
IZOSJTL,X,O,X,O,X,X,X,O,X,X,X,O,X
IZOSJLT,X,X,X,O,X,X,X,O,X,X,X,O,X
IOTLJSZ,X,X,O,X,X,X,X,O,X,X,X,X,O
IOTLJZS,X,X,O,O,X,X,X,O,X,X,X,X,X
IOTLSJZ,X,X,O,O,X,X,X,O,X,X,X,X,X
IOTLSZJ,X,X,O,X,X,X,O,O,X,O,X,X,X
IOTLZJS,X,X,O,X,X,X,O,O,X,O,X,X,X
IOTLZSJ,X,X,O,X,X,X,O,O,X,O,X,X,X
IOTJLSZ,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTJLZS,X,X,X,O,X,X,X,O,X,X,X,X,X
IOTJSLZ,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTJSZL,X,X,O,O,O,X,X,X,X,X,X,O,X
IOTJZLS,X,X,X,O,X,X,X,O,X,X,X,O,X
IOTJZSL,X,X,O,O,X,X,X,O,X,X,X,O,X
IOTSLJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,O,X,X,X,X,X,X,O,X,X,X
IOTSJLZ,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTSJZL,X,X,O,O,O,X,X,X,X,X,X,O,X
IOTSZLJ,X,X,O,X,O,X,X,X,X,X,X,X,X
IOTSZJL,X,X,O,O,O,X,X,X,X,X,X,X,X
IOTZLJS,X,X,X,X,X,X,O,O,X,X,X,X,X
IOTZLSJ,X,X,O,X,X,X,O,O,X,X,X,X,X
IOTZJLS,X,X,X,O,X,X,X,O,X,X,O,X,X
IOTZJSL,X,X,O,O,X,X,X,O,X,X,O,X,X
IOTZSLJ,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTZSJL,X,X,O,O,X,X,X,O,X,X,X,X,X
IOLTJSZ,O,X,O,X,X,X,X,O,X,X,X,X,O
IOLTJZS,O,X,O,O,X,X,X,O,X,X,X,X,X
IOLTSJZ,O,X,O,O,X,X,X,O,X,X,X,X,X
IOLTSZJ,O,X,O,X,X,X,O,O,X,O,X,X,X
IOLTZJS,O,X,O,X,X,X,O,O,X,O,X,X,X
IOLTZSJ,O,X,O,X,X,X,O,O,X,O,X,X,X
IOLJTSZ,O,X,O,X,X,O,X,O,O,X,X,X,O
IOLJTZS,O,X,O,O,X,O,X,O,O,X,X,X,X
IOLJSTZ,X,X,X,O,X,O,X,O,O,X,X,X,O
IOLJSZT,O,X,X,O,X,O,O,O,O,O,X,O,X
IOLJZTS,O,X,O,O,X,O,O,O,O,O,X,O,X
IOLJZST,O,X,X,X,X,O,O,O,O,O,X,O,X
IOLSTJZ,X,X,O,O,X,X,X,O,X,X,X,X,X
IOLSTZJ,X,X,O,X,X,X,O,O,X,O,X,X,X
IOLSJTZ,X,X,X,O,X,O,X,O,O,X,X,X,X
IOLSJZT,O,X,X,O,X,O,O,O,O,O,X,O,X
IOLSZTJ,X,X,O,X,X,O,O,O,X,O,X,X,X
IOLSZJT,X,X,X,X,X,O,O,O,X,O,X,X,X
IOLZTJS,X,X,O,X,X,O,O,O,X,O,X,X,X
IOLZTSJ,X,X,O,X,X,O,O,O,X,O,X,X,X
IOLZJTS,X,X,O,X,X,O,O,O,X,O,X,X,X
IOLZJST,X,X,X,X,X,O,O,O,X,O,X,X,X
IOLZSTJ,X,X,O,X,X,O,O,O,X,O,X,X,X
IOLZSJT,X,X,X,X,X,O,O,O,X,O,X,X,X
IOJTLSZ,X,O,X,X,X,O,X,O,X,X,X,X,X
IOJTLZS,O,O,X,O,X,O,X,O,X,X,X,X,X
IOJTSLZ,X,O,O,O,X,O,X,X,X,X,X,X,X
IOJTSZL,O,O,O,O,X,X,X,X,X,X,X,O,X
IOJTZLS,O,O,X,O,X,X,X,O,X,X,O,O,X
IOJTZSL,O,O,O,O,X,X,X,O,X,X,O,O,X
IOJLTSZ,O,O,X,X,X,O,X,O,X,X,X,X,X
IOJLTZS,O,O,X,O,X,O,X,O,X,X,X,X,X
IOJLSTZ,X,X,X,O,X,O,X,O,X,X,X,X,X
IOJLSZT,O,X,X,O,X,O,O,O,X,O,X,O,X
IOJLZTS,O,X,X,O,X,O,O,O,X,O,O,O,X
IOJLZST,O,X,X,X,X,O,O,O,X,O,X,O,X
IOJSTLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
IOJSTZL,X,O,X,O,X,X,X,X,X,X,X,O,X
IOJSLTZ,X,X,X,O,X,O,X,O,X,X,X,X,X
IOJSLZT,O,X,X,O,X,O,X,O,X,O,X,O,X
IOJSZTL,O,O,X,O,X,X,X,O,X,X,O,O,X
IOJSZLT,O,X,X,O,X,O,X,O,X,X,X,O,X
IOJZTLS,O,O,X,O,X,X,X,O,X,X,O,O,X
IOJZTSL,O,O,O,O,X,X,X,O,X,X,O,O,X
IOJZLTS,O,X,X,O,X,O,O,O,X,X,O,O,X
IOJZLST,O,X,X,X,X,O,O,O,X,X,X,O,X
IOJZSTL,O,O,X,O,X,X,X,O,X,X,O,O,X
IOJZSLT,O,X,X,O,X,O,X,O,X,X,X,O,X
IOSTLJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,O,X,X,X,X,X,X,O,X,X,X
IOSTJLZ,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSTJZL,X,X,O,O,O,X,X,X,X,X,X,O,X
IOSTZLJ,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSTZJL,X,X,O,O,O,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSLTZJ,X,X,X,X,X,X,O,O,X,O,X,X,X
IOSLJTZ,X,X,X,O,X,O,X,O,O,X,X,X,X
IOSLJZT,O,X,X,O,X,O,O,O,O,O,X,O,X
IOSLZTJ,X,X,X,X,X,O,O,O,X,O,X,X,X
IOSLZJT,X,X,X,X,X,O,O,O,X,O,X,X,X
IOSJTLZ,X,X,X,O,X,O,X,X,X,X,X,X,X
IOSJTZL,X,X,X,O,X,X,X,X,X,X,X,O,X
IOSJLTZ,X,X,X,O,X,O,X,O,X,X,X,X,X
IOSJLZT,O,X,X,O,X,O,X,O,X,O,X,O,X
IOSJZTL,O,O,X,O,X,X,X,O,X,X,X,O,X
IOSJZLT,O,X,X,O,X,O,X,O,X,X,X,O,X
IOSZTLJ,X,X,O,X,O,X,X,O,X,X,X,X,X
IOSZTJL,X,X,O,O,O,X,X,O,X,X,X,X,X
IOSZLTJ,X,X,X,X,O,X,O,O,X,O,X,X,X
IOSZLJT,X,X,X,X,X,X,O,O,X,O,X,X,X
IOSZJTL,X,O,X,O,X,X,X,O,X,X,X,O,X
IOSZJLT,X,X,X,O,X,X,X,O,X,X,X,O,X
IOZTLJS,X,X,X,X,X,X,O,O,X,X,X,X,X
IOZTLSJ,X,X,O,X,X,X,O,O,X,X,X,X,X
IOZTJLS,X,X,X,O,X,X,X,O,X,X,O,X,X
IOZTJSL,X,X,O,O,X,X,X,O,X,X,O,X,X
IOZTSLJ,X,X,O,X,X,X,X,O,X,X,X,X,X
IOZTSJL,X,X,O,O,X,X,X,O,X,X,X,X,X
IOZLTJS,X,X,X,X,X,X,O,O,X,O,X,X,X
IOZLTSJ,X,X,O,X,X,X,O,O,X,O,X,X,X
IOZLJTS,X,X,X,X,X,X,O,O,X,O,X,X,X
IOZLJST,X,X,X,X,X,X,O,O,X,O,X,X,X
IOZLSTJ,X,X,X,X,O,X,O,O,X,O,X,X,X
IOZLSJT,X,X,X,X,X,X,O,O,X,O,X,X,X
IOZJTLS,X,O,X,O,X,X,X,O,X,X,O,O,X
IOZJTSL,X,O,O,O,X,X,X,O,X,X,O,O,X
IOZJLTS,X,X,X,O,X,X,O,O,X,X,O,O,X
IOZJLST,X,X,X,X,X,X,O,O,X,X,X,O,X
IOZJSTL,X,O,X,O,X,X,X,O,X,X,O,O,X
IOZJSLT,X,X,X,O,X,X,X,O,X,X,X,O,X
IOZSTLJ,X,X,O,X,O,X,X,O,X,X,X,X,X
IOZSTJL,X,X,O,O,O,X,X,O,X,X,X,X,X
IOZSLTJ,X,X,X,X,O,X,O,O,X,O,X,X,X
IOZSLJT,X,X,X,X,X,X,O,O,X,O,X,X,X
IOZSJTL,X,O,X,O,X,X,X,O,X,X,X,O,X
IOZSJLT,X,X,X,O,X,X,X,O,X,X,X,O,X
LTIJSZO,O,X,O,X,O,O,X,X,X,X,X,X,O
LTIJSOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
LTIJZSO,O,X,O,X,X,O,X,X,X,X,X,X,O
LTIJZOS,O,X,X,X,X,O,X,X,X,X,X,X,X
LTIJOSZ,O,X,O,X,X,O,X,X,O,X,X,X,O
LTIJOZS,O,X,O,X,X,O,X,X,O,X,X,X,X
LTISJZO,O,X,O,X,O,O,X,X,X,X,X,X,O
LTISJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
LTISZJO,O,X,O,X,O,O,X,X,X,X,X,X,X
LTISZOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
LTISOJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
LTISOZJ,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIZJSO,O,X,O,X,X,O,X,X,X,X,X,X,O
LTIZJOS,O,X,X,X,X,O,X,X,X,X,O,X,X
LTIZSJO,O,X,O,X,X,O,X,X,X,X,X,X,X
LTIZSOJ,O,X,O,X,X,O,X,X,X,X,X,X,X
LTIZOJS,O,X,O,X,X,O,X,X,X,X,X,X,X
LTIZOSJ,O,X,O,X,X,O,X,X,X,X,X,X,X
LTIOJSZ,O,X,O,X,X,X,X,X,X,X,X,X,O
LTIOJZS,O,X,O,O,X,X,X,X,X,X,X,X,X
LTIOSJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
LTIOSZJ,O,X,O,X,X,X,X,X,X,O,X,X,X
LTIOZJS,O,X,O,X,X,X,X,X,X,O,X,X,X
LTIOZSJ,O,X,O,X,X,X,X,X,X,O,X,X,X
LTJISZO,O,X,O,X,O,O,X,X,X,X,X,X,O
LTJISOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
LTJIZSO,O,X,O,X,X,O,X,X,X,X,X,X,O
LTJIZOS,O,X,X,X,X,O,X,X,X,X,X,X,X
LTJIOSZ,O,X,O,X,X,O,X,X,O,X,X,X,O
LTJIOZS,O,X,O,X,X,O,X,X,O,X,X,X,X
LTJSIZO,O,X,O,X,O,O,X,X,X,X,X,X,O
LTJSIOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
LTJSZIO,O,X,O,X,O,O,X,X,X,X,X,X,O
LTJSZOI,O,X,O,X,O,O,X,X,X,X,X,X,X
LTJSOIZ,O,X,O,X,X,O,X,X,X,X,X,X,O
LTJSOZI,O,X,O,X,X,O,X,X,X,X,X,X,X
LTJZISO,O,X,O,X,X,O,X,X,X,X,X,X,O
LTJZIOS,O,X,X,X,X,O,X,X,X,X,X,X,X
LTJZSIO,O,X,O,X,X,O,X,X,X,X,X,X,O
LTJZSOI,O,X,O,X,X,O,X,X,X,X,X,X,X
LTJZOIS,O,X,X,X,X,O,X,X,X,X,X,X,X
LTJZOSI,O,X,X,X,X,O,X,X,X,X,X,X,X
LTJOISZ,O,X,O,X,X,O,X,X,O,X,X,X,O
LTJOIZS,O,X,O,X,X,O,X,X,O,X,X,X,X
