sequence,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Jez7IvhFqhBmdB?5jB0iB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Jez7IvhFUdBajB?5jBWnB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeqBJvhFmdB5jB?zgB0iB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeU9IvhFajB5jB?zgBWnB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeF8IvhFxdB+lB?3hBcnBTjBCtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeR8IvhF1iB6jB?+lBThB/sBUtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeC8IvhFTdBejB?5jB0hB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeaBJvhFFdB5jB?+lBfnBznB8sB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeC8IvhF2iB5jB?0hBziB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeyCJvhF5jBzgB?WnB8sB3qBFsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeU9IvhFChBTjB?xmB3lBGoBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Je/CJvhF+lB0hB?TjBFhBxsBCtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Je08IvhFxdBVmB?CjB/sBTtB+qB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Je/CJvhFFhBTjB?+lB0hBxsBCtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JezAJvhFRiBUnB?FoB6oB3lBGsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Jez7IvhFRiB3lB?UnBFoB6oBGsB
TIZLOSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TIZJLSO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TIZJLOS,O,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X
TIZJSLO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O
TIZJSOL,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
TIZJOLS,O,O,O,O,X,X,O,X,O,O,O,X,X,X,O,X
TIZJOSL,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSLJO,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O
TIZSLOJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
TIZSJLO,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O
TIZSJOL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TIZSOLJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O
TIZSOJL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
TIZOLJS,O,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
TIZOLSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TIZOJLS,O,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
TIZOJSL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O
TIZOSJL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
TIOLJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIOLSZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOLZJS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOLZSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOJLSZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIOJSLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TIOJSZL,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
TIOJZLS,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIOJZSL,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TIOSLJZ,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
TIOSLZJ,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TIOSJLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TIOSJZL,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
TIOSZLJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOSZJL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOZLJS,O,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
TIOZLSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOZJLS,O,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
TIOZJSL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOZSJL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIJSZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIJZOS,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TLIJOSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TLISJZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLISOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLISOZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIZJSO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TLIZJOS,O,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TLIZSJO,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TLIZSOJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIZOJS,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TLIZOSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIOJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TLIOSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLIOSZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIOZJS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TLIOZSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJISZO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJIZOS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJSIZO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJZSIO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJZOIS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJZOSI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJOISZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJOZSI,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
