sequence,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdBlgB/?qBOrBzrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhFxdB0gBlhB/?qBOrBzrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeWAJvhF0cBxdB/mBT?gBlqBywB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeWAJvhFxdBlhBilB0?lBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFqgBxdBlhB/?qB0mB2wB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhFxdB0gBlhB/?qBmrBTrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdBlgB2?qBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdBlgB/?qBmrBTrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFCcBxdBmlBf?sB0qBlrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFCcBxdBlhB/?qBmrBUrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeG7IvhFxdBUgBlhBy?qBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhFxdB0gBlhB2?qBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdB/qBF?mBzrBmqB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeG7IvhFxdBUgBihBf?sBlqBTrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFxdBclBlhBK?rBuqBfsB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeX8IvhFxdBUgBTmBa?sBFlBWwB
IZJTLSO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IZJTLOS,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IZJTSLO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
IZJTSOL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
IZJTOLS,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IZJTOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJLTSO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZJLTOS,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IZJLSTO,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJLSOT,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZJLOST,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X
IZJSTLO,O,X,X,X,O,O,X,O,O,O,X,X,X,O,X,X
IZJSTOL,O,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X
IZJSLTO,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
IZJSLOT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
IZJSOTL,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
IZJSOLT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
IZJOTLS,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X
IZJOTSL,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IZJOLTS,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,O
IZJOLST,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,O
IZJOSTL,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X
IZJOSLT,O,X,X,X,O,X,O,O,O,O,X,X,O,X,X,X
IZSTLJO,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X
IZSTLOJ,O,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
IZSTJLO,O,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
IZSTJOL,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IZSTOLJ,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
IZSTOJL,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IZSLTJO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
IZSLTOJ,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
IZSLJTO,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X
IZSLJOT,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X
IZSLOTJ,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X
IZSLOJT,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X
IZSJTLO,O,O,X,X,O,O,X,O,O,O,X,X,X,O,X,X
IZSJTOL,O,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X
IZSJLTO,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X
IZSJLOT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
IZSJOTL,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
IZSJOLT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
IZSOTLJ,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
IZSOTJL,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZSOLTJ,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X
IZSOLJT,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X
IZSOJTL,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZSOJLT,O,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X
IZOTLJS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X
IZOTLSJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X
IZOTJLS,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
IZOTJSL,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IZOTSLJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOTSJL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IZOLTJS,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
IZOLTSJ,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
IZOLJTS,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X
IZOLJST,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X
IZOLSTJ,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X
IZOLSJT,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X
IZOJTLS,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
IZOJTSL,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IZOJLTS,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X
IZOJLST,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X
IZOJSTL,O,X,X,X,X,X,O,O,O,O,X,O,X,X,X,X
IZOJSLT,O,X,X,X,O,X,O,O,O,O,X,O,O,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
IZOSTJL,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZOSLTJ,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X
IZOSLJT,O,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
IZOSJTL,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZOSJLT,O,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X
IOTLJSZ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOTLJZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOTLSJZ,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X
IOTLZJS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
IOTLZSJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
IOTJLSZ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOTJLZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOTJSLZ,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IOTJSZL,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X
IOTJZLS,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
IOTJZSL,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTSLJZ,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
IOTSLZJ,O,O,X,X,O,X,X,X,X,O,O,X,O,O,X,X
IOTSJLZ,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
IOTSJZL,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X
IOTSZLJ,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X
IOTSZJL,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X
IOTZLJS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
IOTZLSJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
IOTZJLS,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
IOTZJSL,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IOTZSLJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOTZSJL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOLTJSZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLTJZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOLTSJZ,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IOLTSZJ,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X
IOLTZJS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
IOLTZSJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
IOLJTSZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLJTZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOLJSTZ,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOLJSZT,O,O,O,X,O,O,O,O,X,O,X,O,O,X,X,X
IOLJZTS,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
IOLJZST,O,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X
IOLSTJZ,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X
IOLSTZJ,O,O,O,X,O,X,X,O,X,O,O,X,O,O,X,X
IOLSJTZ,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOLSJZT,O,O,O,X,O,O,O,O,X,O,X,O,O,X,X,X
IOLSZTJ,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,X
IOLSZJT,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,X
IOLZTJS,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
IOLZTSJ,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOLZJTS,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X
IOLZJST,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X
IOLZSTJ,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X
IOLZSJT,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X
IOJTLSZ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOJTLZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOJTSLZ,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IOJTSZL,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X
IOJTZLS,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
IOJTZSL,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOJLTSZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOJLTZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOJLSTZ,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOJLSZT,O,O,O,X,O,O,O,O,X,O,X,O,O,X,X,X
IOJLZTS,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
IOJLZST,O,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X
IOJSTLZ,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOJSTZL,O,O,X,X,X,O,O,O,X,O,X,O,O,X,X,X
IOJSLTZ,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOJSLZT,O,O,X,X,O,O,O,O,X,O,X,O,O,X,X,X
IOJSZTL,O,O,X,X,X,O,O,O,O,O,X,O,X,X,X,X
IOJSZLT,O,O,X,X,O,O,O,O,O,O,X,O,O,X,X,X
IOJZTLS,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
IOJZTSL,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOJZLTS,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X
IOJZLST,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X
IOJZSTL,O,X,X,X,X,X,O,O,O,O,X,O,X,X,X,X
IOJZSLT,O,X,X,X,O,X,O,O,O,O,X,O,O,X,X,X
IOSTLJZ,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
IOSTLZJ,O,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X
IOSTJLZ,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
IOSTJZL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
IOSTZLJ,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
IOSTZJL,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X
IOSLTJZ,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
IOSLTZJ,O,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X
IOSLJTZ,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOSLJZT,O,O,X,X,O,O,O,O,X,O,X,O,O,X,X,X
IOSLZTJ,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X
IOSLZJT,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X
IOSJTLZ,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOSJTZL,O,O,X,X,X,O,O,O,X,O,X,O,O,X,X,X
IOSJLTZ,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOSJLZT,O,O,X,X,O,O,O,O,X,O,X,O,O,X,X,X
IOSJZTL,O,O,X,X,X,O,O,O,O,O,X,O,X,X,X,X
IOSJZLT,O,O,X,X,O,O,O,O,O,O,X,O,O,X,X,X
IOSZTLJ,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
IOSZTJL,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOSZLTJ,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X
IOSZLJT,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X
IOSZJTL,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IOSZJLT,O,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X
IOZTLJS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X
IOZTLSJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X
IOZTJLS,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
IOZTJSL,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IOZTSLJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZTSJL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOZLTJS,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
IOZLTSJ,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
IOZLJTS,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X
IOZLJST,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X
IOZLSTJ,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X
IOZLSJT,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X
IOZJTLS,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
IOZJTSL,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IOZJLTS,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X
IOZJLST,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X
IOZJSTL,O,X,X,X,X,X,O,O,O,O,X,O,X,X,X,X
IOZJSLT,O,X,X,X,O,X,O,O,O,O,X,O,O,X,X,X
IOZSTLJ,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
IOZSTJL,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOZSLTJ,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X
IOZSLJT,O,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
IOZSJTL,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IOZSJLT,O,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X
LTIJSZO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
LTIJSOZ,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LTIJZSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIJZOS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTIJOSZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTIJOZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTISJZO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTISJOZ,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LTISZJO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTISZOJ,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
LTISOJZ,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
LTISOZJ,O,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X
LTIZJSO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LTIZJOS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTIZSJO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LTIZSOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIZOJS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
LTIZOSJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
LTIOJSZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
LTIOJZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
LTIOSJZ,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
LTIOSZJ,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X
LTIOZJS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
LTJISZO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
LTJISOZ,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LTJIZSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJIZOS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJIOSZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJIOZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJSIZO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
LTJSIOZ,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LTJSZIO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
LTJSZOI,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LTJSOIZ,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LTJSOZI,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LTJZISO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJZIOS,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
LTJZSIO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
LTJZOIS,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X
LTJZOSI,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
LTJOISZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJOIZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJOSIZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJOSZI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZIS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJOZSI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSIJZO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTSIJOZ,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LTSIZJO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTSIZOJ,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
LTSIOJZ,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
LTSIOZJ,O,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X
LTSJIZO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTSJIOZ,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LTSJZIO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTSJZOI,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTSJOIZ,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X
LTSJOZI,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X
LTSZIJO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTSZIOJ,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
LTSZJIO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTSZJOI,O,O,O,X,X,O,X,O,X,X,O,X,X,O,X,X
LTSZOIJ,O,O,O,X,O,O,X,O,X,O,X,X,O,O,O,X
LTSZOJI,X,O,O,X,O,O,X,X,X,X,X,X,O,O,O,X
LTSOIJZ,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
LTSOIZJ,O,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X
LTSOJIZ,O,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X
LTSOJZI,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
LTSOZIJ,O,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X
LTSOZJI,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X
LTZIJSO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LTZIJOS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTZISJO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LTZISOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZIOJS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
LTZIOSJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
LTZJISO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTZJIOS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTZJSIO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTZJSOI,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X
LTZJOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
LTZJOSI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
LTZSIJO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTZSIOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTZSJIO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTZSJOI,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
LTZSOIJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
LTZSOJI,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
LTZOIJS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LTZOISJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LTZOJIS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LTZOJSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LTZOSIJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTZOSJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTOIJSZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
LTOIJZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
LTOISJZ,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
LTOISZJ,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X
LTOIZJS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
LTOIZSJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
LTOJISZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
LTOJIZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
LTOJSIZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
LTOJSZI,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTOJZIS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
LTOJZSI,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
LTOSIJZ,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
LTOSIZJ,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X
LTOSJIZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTOSJZI,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTOSZIJ,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
LTOSZJI,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
LTOZIJS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X
LTOZISJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X
LTOZJIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
LTOZJSI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
LTOZSIJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LTOZSJI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LITJSZO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
LITJSOZ,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LITJZSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LITJZOS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LITJOSZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LITJOZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LITSJZO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LITSJOZ,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LITSZJO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LITSZOJ,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
LITSOJZ,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
LITSOZJ,O,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X
LITZJSO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LITZJOS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
