sequence,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex7IvhF6iBTeB?XgBlhBcqBerB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex8IvhFTeBGiB?FlBXmBiqB0qB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je08IvhFxdBCjB?FlBXmBmqBTqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8JeT+IvhFXgBxhB?GiBFmB0qBiqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je/AJvhFRcBGeB?ThBliBUlByvB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex8IvhFTeBlgB?GiBaqBXmB0qB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je07IvhFxcBTeB?VlBGiBiqBXrB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex8IvhFTeBGiB?UlBFmBKqBfrB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je6CJvhFTeBlhB?RlBOqBXmB0qB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex9IvhF0gBlhB?CjBXgBOrBTqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je6CJvhFTeBRhB?UlBFmBOqBXrB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex7IvhF6iBTeB?lgB3hBmqBUqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8JeT7IvhFXhBxiB?lhBCjBmqBUqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8JeT+IvhFXgBZmB?CiBGiBcqBlqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex7IvhF6iBTeB?fmBlhBUlB2vB
ISOLTJZ,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X
ISOLTZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
ISOLJTZ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
ISOLJZT,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
ISOLZTJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
ISOLZJT,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
ISOJTLZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
ISOJTZL,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
ISOJLTZ,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
ISOJLZT,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
ISOJZTL,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
ISOJZLT,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ISOZTLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ISOZTJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
ISOZLJT,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
ISOZJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IZTLJSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZTLJOS,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
IZTLSJO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZTLSOJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZTLOJS,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
IZTLOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZTJLSO,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
IZTJLOS,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
IZTJSLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTJSOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTJOLS,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZTJOSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTSLJO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZTSLOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZTSJLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTSJOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTSOLJ,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZTSOJL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZTOLJS,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZTOLSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZTOJLS,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZTOJSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZTOSJL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLTJSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZLTJOS,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
IZLTSJO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
IZLTSOJ,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
IZLTOJS,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
IZLTOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZLJTSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJSTO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLJSOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLJOTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLSTJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IZLSTOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IZLSJTO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLSJOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZLSOTJ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O
IZLSOJT,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
IZLOTJS,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
IZLOTSJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZLOJTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O
IZLOSJT,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
IZJTLSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJTLOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJTSLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTSOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJTOLS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJTOSL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJLTSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLTOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLSTO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJLSOT,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZJLOTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZJSTLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJSTOL,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZJSLTO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJSLOT,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZJSOTL,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IZJSOLT,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IZJOTLS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJOTSL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJOLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJOSTL,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IZJOSLT,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IZSTLJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IZSTLOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IZSTJLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSTJOL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IZSTOLJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IZSTOJL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IZSLTJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IZSLTOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IZSLJTO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSLJOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSLOTJ,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O
IZSLOJT,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IZSJTLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSJTOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSJLTO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSJLOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSJOTL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IZSJOLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IZSOTLJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IZSOTJL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IZSOLTJ,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
IZSOLJT,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
IZSOJTL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IZSOJLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IZOTLJS,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZOTLSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOTJLS,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZOTJSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZOTSJL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOLTJS,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZOLTSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLJTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IZOLSJT,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IZOJTLS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOJTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOJSLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IZOSTJL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IZOSLTJ,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
IZOSLJT,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
IZOSJTL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IZOSJLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IOTLJSZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOTLJZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
IOTLSJZ,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X
IOTLSZJ,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IOTLZJS,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IOTLZSJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X
IOTJLSZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOTJLZS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
IOTJSLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTJZLS,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOTJZSL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X
IOTSLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTSJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTZLJS,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X
IOTZLSJ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOTZJLS,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IOTZJSL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOTZSLJ,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOTZSJL,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOLTJSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLTJZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
IOLTSJZ,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X
IOLTSZJ,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IOLTZJS,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IOLTZSJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X
IOLJTSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLJTZS,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X
IOLJSTZ,O,X,X,X,X,O,O,X,X,X,X,O,X,O,X
IOLJSZT,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
IOLJZTS,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X
IOLJZST,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
IOLSTJZ,O,X,X,O,X,O,X,X,O,X,X,O,X,O,X
IOLSTZJ,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X
IOLSJTZ,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X
IOLSJZT,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X
IOLSZTJ,O,X,X,O,X,X,X,X,X,O,X,O,X,O,X
IOLSZJT,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IOLZTJS,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
IOLZTSJ,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IOLZJTS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLZJST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,X,X,O,O,X,X,X,X,O,X,X,X,O,O
IOLZSJT,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
IOJTLSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOJTLZS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOJTSLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOJTZLS,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJTZSL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOJLTZS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOJLSTZ,O,O,X,X,X,O,O,X,X,X,X,O,X,O,X
IOJLSZT,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
IOJLZTS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOJLZST,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
IOJSTLZ,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X
IOJSTZL,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X
IOJSLTZ,O,O,X,O,X,O,O,X,X,X,X,O,O,O,X
IOJSLZT,X,X,X,O,X,O,X,X,X,X,X,O,O,O,X
IOJSZTL,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X
IOJSZLT,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X
IOJZTLS,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOJZTSL,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
IOJZLTS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOJZLST,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
IOJZSTL,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X
IOJZSLT,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X
IOSTLJZ,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X
IOSTLZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOSTJLZ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOSTJZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOSTZJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X
IOSLTZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOSLJTZ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IOSLJZT,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IOSLZTJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IOSLZJT,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IOSJTLZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOSJTZL,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOSJLTZ,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
IOSJLZT,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IOSJZTL,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOSJZLT,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOSZTLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOSZTJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IOSZLJT,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IOSZJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOZTLJS,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
IOZTLSJ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOZTJLS,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOZTJSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOZTSJL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZLTJS,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
IOZLTSJ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOZLJTS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZLJST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O
IOZLSJT,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IOZJTLS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZJTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZJSLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IOZSTJL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IOZSLTJ,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
IOZSLJT,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
IOZSJTL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IOZSJLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
LTIJSZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LTIJZSO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIJZOS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
LTIJOSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTIJOZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
LTISJZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTISJOZ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LTISZJO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTISZOJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTISOJZ,O,X,O,O,X,X,O,X,O,X,X,X,X,O,X
LTISOZJ,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
LTIZJSO,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
LTIZJOS,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
LTIZSJO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTIZSOJ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
LTIZOJS,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X
LTIZOSJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X
LTIOJSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTIOJZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
LTIOSJZ,O,X,O,O,X,X,O,X,O,X,X,X,X,O,X
LTIOSZJ,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
LTIOZJS,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X
LTIOZSJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X
LTJISZO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LTJISOZ,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X
LTJIZSO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJIZOS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
LTJIOSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTJIOZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
LTJSIZO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTJSIOZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTJSZIO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
LTJSZOI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
LTJSOIZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTJSOZI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
LTJZISO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTJZIOS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTJZSIO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTJZSOI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTJZOIS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTJZOSI,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X
LTJOISZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTJOIZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
LTJOSIZ,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
LTJOSZI,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X
LTJOZIS,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
LTJOZSI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
LTSIJZO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LTSIJOZ,X,X,O,X,X,O,O,X,O,X,X,O,X,X,X
LTSIZJO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTSIZOJ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
LTSIOJZ,O,X,O,X,X,O,O,X,O,X,X,O,X,O,X
LTSIOZJ,O,X,O,X,X,X,O,X,X,O,X,O,X,O,X
LTSJIZO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTSJIOZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTSJZIO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
LTSJZOI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
LTSJOIZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTSJOZI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
LTSZIJO,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
LTSZIOJ,O,X,O,X,O,X,O,X,X,X,O,O,X,X,X
LTSZJIO,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X
LTSZJOI,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X
LTSZOIJ,O,X,O,X,O,X,O,X,X,X,O,O,X,X,X
LTSZOJI,O,X,O,X,O,O,O,X,X,X,O,O,X,X,X
LTSOIJZ,O,X,O,X,X,O,O,X,O,X,X,O,X,O,X
LTSOIZJ,O,X,O,X,X,X,O,X,X,O,X,O,X,O,X
LTSOJIZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTSOJZI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
LTSOZIJ,O,X,O,X,O,X,O,X,X,O,O,O,X,X,X
LTSOZJI,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X
LTZIJSO,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
LTZIJOS,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
LTZISJO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZISOJ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
LTZIOJS,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X
LTZIOSJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X
LTZJISO,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTZJIOS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTZJSIO,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTZJSOI,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTZJOIS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTZJOSI,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X
