sequence,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFCbBTcBeiBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFygBzcBOkBfqB0q?BlrB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFqfBmbBzcB0gB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFGbB/hBaiBzfBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFVhBaiBUgBfqBTr?BGqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFmcBKkBzfBFhBcq?B3rB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFWgBicBzhBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeT6IvhF/gBRcBOmB8mBik?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jel6IvhFRcBKkBXgBmhBcq?BTrB,v115@6gC8GeC8GeC8FeF8AeG8JeR8IvhF/kBFgBmhBcqBTr?BipB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBckBTgB2mB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFTfB/lBFhB8mBim?BmpB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBXhB8mBTkB2q?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhF8gBzcB2kBlmB3k?BiqB,v115@6gC8GeC8GeC8FeF8AeG8JecAJvhF2hBTfBRmBikB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBFgB2mBTkBcq?B3rB
TLSOIZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X
TLSOJZI,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
TLSOZIJ,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
TLSOZJI,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X,X
TLZIJSO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TLZIJOS,O,X,O,X,X,O,O,O,O,X,O,X,X,O,O,X
TLZISJO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLZISOJ,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLZIOJS,X,O,O,O,X,O,O,O,O,X,O,X,X,O,O,X
TLZIOSJ,X,O,O,O,X,O,O,O,X,X,O,X,X,O,X,X
TLZJISO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TLZJIOS,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TLZJSIO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TLZJSOI,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TLZJOIS,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TLZJOSI,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TLZSIJO,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TLZSIOJ,O,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TLZSJIO,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TLZSJOI,O,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TLZSOIJ,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TLZSOJI,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TLZOIJS,X,O,O,O,X,O,O,O,O,X,O,X,X,O,O,X
TLZOISJ,X,O,O,O,X,O,O,O,X,X,O,X,X,O,X,X
TLZOJIS,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TLZOJSI,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TLZOSIJ,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TLZOSJI,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TLOIJSZ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLOIJZS,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X
TLOISJZ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOISZJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOIZJS,X,O,O,O,X,X,X,O,O,X,O,X,X,O,O,X
TLOIZSJ,X,O,O,O,O,X,X,O,X,X,O,X,X,O,X,X
TLOJISZ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLOJIZS,X,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X
TLOJSIZ,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TLOJSZI,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TLOJZIS,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X,X
TLOJZSI,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X,X
TLOSIJZ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOSIZJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOSJIZ,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X
TLOSJZI,X,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
TLOSZIJ,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
TLOSZJI,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X
TLOZIJS,X,O,O,O,X,X,X,O,O,X,O,X,X,O,O,X
TLOZISJ,X,O,O,O,O,X,X,O,X,X,O,X,X,O,X,X
TLOZJIS,X,O,O,O,X,X,X,O,O,X,O,X,X,O,X,X
TLOZJSI,X,O,O,O,X,X,X,O,O,X,O,X,X,O,X,X
TLOZSIJ,X,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X
TLOZSJI,X,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X
TJILSZO,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJILSOZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJILZSO,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TJILZOS,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X
TJILOSZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJILOZS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X
TJISLZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISLOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISZLO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJISZOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJISOLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISOZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TJIZLSO,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TJIZLOS,O,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X
TJIZSLO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJIZSOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TJIZOLS,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,O
TJIZOSL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O
TJIOLSZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIOLZS,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
TJIOSLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOSZL,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X
TJIOZLS,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
TJIOZSL,O,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O
TJLISZO,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLISOZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLIZSO,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
