sequence,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFCbBTcBeiBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFygBzcBOkBfqB0q?BlrB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFqfBmbBzcB0gB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFGbB/hBaiBzfBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFVhBaiBUgBfqBTr?BGqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFmcBKkBzfBFhBcq?B3rB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFWgBicBzhBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeT6IvhF/gBRcBOmB8mBik?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jel6IvhFRcBKkBXgBmhBcq?BTrB,v115@6gC8GeC8GeC8FeF8AeG8JeR8IvhF/kBFgBmhBcqBTr?BipB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBckBTgB2mB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFTfB/lBFhB8mBim?BmpB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBXhB8mBTkB2q?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhF8gBzcB2kBlmB3k?BiqB,v115@6gC8GeC8GeC8FeF8AeG8JecAJvhF2hBTfBRmBikB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBFgB2mBTkBcq?B3rB
ZIJOSLT,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,O
ZISTLJO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZISTLOJ,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZISTJLO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZISTJOL,O,X,X,O,X,O,O,X,X,O,X,O,O,X,O,X
ZISTOLJ,O,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X
ZISTOJL,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X
ZISLTJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZISLTOJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZISLJTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZISLJOT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZISLOTJ,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
ZISLOJT,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
ZISJTLO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZISJTOL,O,X,X,O,X,X,X,O,X,O,X,O,O,X,O,X
ZISJLTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZISJLOT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZISJOTL,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
ZISJOLT,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X
ZISOTLJ,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X
ZISOTJL,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
ZISOLTJ,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
ZISOLJT,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
ZISOJTL,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
ZISOJLT,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X
ZIOTLJS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,O
ZIOTLSJ,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,O
ZIOTJLS,O,X,X,O,X,X,O,X,X,X,X,X,O,X,O,O
ZIOTJSL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O
ZIOTSLJ,O,X,X,O,O,X,O,O,X,X,X,X,O,X,X,O
ZIOTSJL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
ZIOLTJS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
ZIOLTSJ,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
ZIOLJTS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
ZIOLJST,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
ZIOLSTJ,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
ZIOLSJT,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
ZIOJTLS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O
ZIOJTSL,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,O
ZIOJLTS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
ZIOJLST,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,O
ZIOJSTL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
ZIOJSLT,O,X,X,O,X,X,O,X,O,O,X,X,O,X,X,O
ZIOSTLJ,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
ZIOSTJL,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
ZIOSLTJ,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
ZIOSLJT,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
ZIOSJTL,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
ZIOSJLT,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X
ZLTIJSO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
ZLTIJOS,O,X,X,X,X,O,O,O,O,X,O,X,X,O,X,X
ZLTISJO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLTISOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X
ZLTIOJS,X,X,X,O,X,O,O,O,O,X,O,X,X,O,X,X
ZLTIOSJ,X,X,X,O,X,O,O,O,X,X,O,X,X,O,X,X
ZLTJISO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
ZLTJIOS,O,X,X,X,X,O,O,O,O,X,O,X,X,O,X,X
ZLTJSIO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
ZLTJSOI,O,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X
ZLTJOIS,O,X,X,X,X,O,O,O,O,X,O,X,X,O,X,X
ZLTJOSI,O,X,X,X,X,O,O,O,O,X,O,X,X,O,X,X
ZLTSIJO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
ZLTSIOJ,O,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X
ZLTSJIO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
ZLTSJOI,O,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X
ZLTSOIJ,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
ZLTSOJI,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
ZLTOIJS,X,X,X,O,X,O,O,O,O,X,O,X,X,O,X,X
ZLTOISJ,X,X,X,O,X,O,O,O,X,X,O,X,X,O,X,X
ZLTOJIS,X,X,X,O,X,O,O,O,O,X,O,X,X,O,X,X
ZLTOJSI,X,X,X,O,X,O,O,O,O,X,O,X,X,O,X,X
ZLTOSIJ,X,X,X,O,X,O,O,O,O,X,O,X,X,O,X,X
ZLTOSJI,X,X,X,O,X,O,O,O,O,X,O,X,X,O,X,X
ZLITJSO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
ZLITJOS,O,X,X,X,X,O,O,O,O,X,O,X,X,O,X,X
ZLITSJO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLITSOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X
ZLITOJS,X,X,X,O,X,O,O,O,O,X,O,X,X,O,X,X
ZLITOSJ,X,X,X,O,X,O,O,O,X,X,O,X,X,O,X,X
ZLIJTSO,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
ZLIJTOS,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X
ZLIJSTO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
ZLIJSOT,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
ZLIJOTS,O,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X
ZLIJOST,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X
ZLISTJO,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLISTOJ,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X
ZLISJTO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
ZLISJOT,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X
ZLISOTJ,X,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
ZLISOJT,O,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
ZLIOTJS,X,X,X,X,X,O,O,O,O,X,X,X,O,O,X,X
ZLIOTSJ,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X,X
ZLIOJTS,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X
ZLIOJST,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X
ZLIOSTJ,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
ZLIOSJT,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
ZLJTISO,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
ZLJTIOS,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
ZLJTSIO,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
ZLJTSOI,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X
ZLJTOIS,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
ZLJTOSI,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
ZLJITSO,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
ZLJITOS,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X
ZLJISTO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
ZLJISOT,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
ZLJIOTS,O,X,X,X,X,X,O,X,O,X,O,X,O,O,X,O
ZLJIOST,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
ZLJSTIO,O,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X
ZLJSTOI,O,X,X,X,X,O,X,O,O,O,X,O,X,O,X,X
ZLJSITO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
ZLJSIOT,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X
ZLJSOTI,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
ZLJSOIT,O,X,X,O,X,O,X,O,O,X,X,O,O,X,X,X
ZLJOTIS,O,X,X,X,X,O,O,O,O,X,X,X,O,O,X,O
ZLJOTSI,O,X,X,X,X,O,X,O,O,X,X,X,O,O,X,O
ZLJOITS,O,X,X,X,X,O,O,X,O,X,O,X,O,O,X,O
ZLJOIST,O,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O
ZLJOSTI,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
ZLJOSIT,O,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O
ZLSTIJO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
ZLSTIOJ,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X
ZLSTJIO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
ZLSTJOI,O,X,X,O,X,O,X,O,O,O,X,O,X,O,X,X
ZLSTOIJ,X,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
ZLSTOJI,X,X,X,O,X,O,X,O,O,O,O,X,X,O,X,X
ZLSITJO,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLSITOJ,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X
ZLSIJTO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
ZLSIJOT,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X
ZLSIOTJ,X,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
ZLSIOJT,O,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
ZLSJTIO,O,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X
ZLSJTOI,O,X,X,O,X,O,X,O,O,O,X,O,X,O,X,X
ZLSJITO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
ZLSJIOT,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X
ZLSJOTI,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
ZLSJOIT,O,X,X,O,X,O,X,O,O,X,X,O,O,X,X,X
ZLSOTIJ,X,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
ZLSOTJI,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X,X
ZLSOITJ,X,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
ZLSOIJT,O,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
ZLSOJTI,O,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X
ZLSOJIT,O,X,X,O,O,O,X,O,O,O,X,X,O,X,X,X
ZLOTIJS,X,X,X,X,X,O,O,O,O,X,O,X,O,O,X,O
ZLOTISJ,X,X,X,X,O,O,O,O,X,X,O,X,O,O,X,O
ZLOTJIS,X,X,X,X,X,O,O,O,O,X,O,X,O,O,X,O
ZLOTJSI,X,X,X,X,X,O,O,O,O,X,O,X,O,O,X,O
ZLOTSIJ,X,X,X,X,O,O,O,O,O,X,O,X,O,O,X,O
ZLOTSJI,X,X,X,X,O,O,O,O,O,X,O,X,X,O,X,O
ZLOITJS,X,X,X,X,X,O,O,O,O,X,X,X,O,O,X,X
ZLOITSJ,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X,X
ZLOIJTS,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,O
ZLOIJST,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,O
ZLOISTJ,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
ZLOISJT,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
ZLOJTIS,X,X,X,X,X,O,O,O,O,X,X,X,O,O,X,O
ZLOJTSI,X,X,X,X,X,O,O,O,O,X,X,X,O,O,X,O
ZLOJITS,X,X,X,X,X,O,O,X,O,X,O,X,O,O,X,O
ZLOJIST,X,X,X,X,X,O,O,O,O,O,X,X,O,X,X,O
ZLOJSTI,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X
ZLOJSIT,X,X,X,X,X,O,O,O,O,O,X,X,O,X,X,O
ZLOSTIJ,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
ZLOSTJI,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X
ZLOSITJ,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
ZLOSIJT,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
ZLOSJTI,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X
ZLOSJIT,X,X,X,X,O,O,O,O,O,O,X,X,O,X,X,O
ZJTILSO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
ZJTILOS,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X
ZJTISLO,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
ZJTISOL,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ZJTIOLS,O,O,X,O,X,O,O,X,X,X,O,X,O,X,X,O
ZJTIOSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,O
ZJTLISO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
ZJTLIOS,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X
ZJTLSIO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
ZJTLSOI,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
ZJTLOIS,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X
ZJTLOSI,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X
ZJTSILO,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X
ZJTSIOL,O,O,X,O,X,X,O,O,X,O,X,O,O,X,X,X
ZJTSLIO,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X
ZJTSLOI,O,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X
ZJTSOIL,O,O,X,O,X,X,O,O,X,O,O,O,O,X,X,X
ZJTSOLI,O,O,X,O,X,X,O,O,X,O,O,O,O,X,X,X
ZJTOILS,O,O,X,O,X,O,O,X,X,X,O,X,O,X,X,O
ZJTOISL,O,X,X,O,X,X,O,O,X,X,O,O,X,X,X,O
ZJTOLIS,O,O,X,O,X,O,O,O,X,X,O,X,O,X,X,O
ZJTOLSI,O,O,X,O,X,O,O,O,X,X,O,X,O,X,X,O
ZJTOSIL,O,O,X,O,X,X,O,O,X,X,O,O,O,X,X,O
ZJTOSLI,O,O,X,O,X,X,O,O,X,X,O,O,O,X,X,O
ZJITLSO,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
ZJITLOS,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X
ZJITSLO,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZJITSOL,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ZJITOLS,O,O,X,O,X,X,O,X,X,X,O,X,O,X,X,O
ZJITOSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,O
ZJILTSO,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
ZJILTOS,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
ZJILSTO,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
ZJILSOT,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJILOTS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
ZJILOST,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
ZJISTLO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJISTOL,O,O,X,O,X,X,X,O,X,O,X,O,O,X,X,X
ZJISLTO,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJISLOT,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X
ZJISOTL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O
ZJISOLT,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,O
ZJIOTLS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
ZJIOTSL,O,X,X,X,X,X,O,O,X,O,X,O,X,X,X,O
ZJIOLTS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
ZJIOLST,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
ZJIOSTL,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
ZJIOSLT,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X,O
ZJLTISO,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
ZJLTIOS,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
ZJLTSIO,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
ZJLTSOI,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZJLTOIS,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
ZJLTOSI,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
ZJLITSO,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
ZJLITOS,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X
ZJLISTO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
ZJLISOT,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
ZJLIOTS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
ZJLIOST,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
ZJLSTIO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
ZJLSTOI,O,X,X,X,X,O,X,O,O,O,X,O,X,X,X,X
ZJLSITO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
ZJLSIOT,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X
ZJLSOTI,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
ZJLSOIT,O,X,X,O,X,O,X,O,O,X,X,O,O,X,X,X
ZJLOTIS,O,X,X,X,X,O,O,O,O,X,X,X,O,X,X,O
ZJLOTSI,O,X,X,X,X,O,X,O,O,X,X,X,O,X,X,O
ZJLOITS,O,X,X,X,X,O,O,X,O,X,O,X,O,X,X,O
ZJLOIST,O,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O
ZJLOSTI,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
ZJLOSIT,O,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O
ZJSTILO,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X
ZJSTIOL,O,O,X,O,X,O,X,O,X,O,X,O,O,X,X,X
ZJSTLIO,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X
ZJSTLOI,O,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X
ZJSTOIL,O,O,X,O,X,O,X,O,X,O,O,O,O,X,X,X
ZJSTOLI,O,O,X,O,X,O,X,O,X,O,O,O,O,X,X,X
ZJSITLO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJSITOL,O,O,X,O,X,X,X,O,X,O,X,O,O,X,X,X
ZJSILTO,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X
ZJSILOT,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X
ZJSIOTL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O
ZJSIOLT,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,O
ZJSLTIO,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
ZJSLTOI,O,O,X,O,X,O,X,O,O,O,X,O,X,X,X,X
ZJSLITO,O,O,X,O,X,O,X,O,O,X,O,X,X,X,X,X
ZJSLIOT,O,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X
ZJSLOTI,O,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
ZJSLOIT,O,O,X,O,X,O,X,O,O,X,X,O,O,X,X,X
ZJSOTIL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,O
ZJSOTLI,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,O
ZJSOITL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,O
ZJSOILT,O,O,X,O,X,X,O,X,X,O,X,O,O,X,X,O
ZJSOLTI,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X
ZJSOLIT,O,O,X,O,X,O,O,X,X,O,X,O,O,X,X,O
ZJOTILS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
ZJOTISL,O,X,X,X,X,X,O,O,X,O,O,O,X,X,X,O
ZJOTLIS,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,O
ZJOTLSI,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,O
ZJOTSIL,O,X,X,X,X,X,O,O,X,O,O,O,O,X,X,O
ZJOTSLI,O,X,X,X,X,X,O,O,X,O,O,O,O,X,X,O
ZJOITLS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
ZJOITSL,O,X,X,X,X,X,O,O,X,O,X,O,X,X,X,O
ZJOILTS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
ZJOILST,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
ZJOISTL,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
ZJOISLT,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X,O
ZJOLTIS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
ZJOLTSI,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
ZJOLITS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
ZJOLIST,O,X,X,X,X,X,O,O,O,O,X,O,O,X,X,O
ZJOLSTI,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X
ZJOLSIT,O,X,X,X,X,X,O,O,O,O,X,O,O,X,X,O
ZJOSTIL,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
ZJOSTLI,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
ZJOSITL,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
ZJOSILT,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X,O
ZJOSLTI,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X
ZJOSLIT,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X,O
ZSTILJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSTILOJ,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSTIJLO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSTIJOL,O,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X
ZSTIOLJ,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X
ZSTIOJL,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
ZSTLIJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSTLIOJ,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSTLJIO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
ZSTLJOI,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
ZSTLOIJ,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
ZSTLOJI,O,O,O,O,X,O,X,O,X,O,O,X,X,X,X,X
ZSTJILO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
ZSTJIOL,O,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X
ZSTJLIO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
ZSTJLOI,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
ZSTJOIL,O,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X
ZSTJOLI,O,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X
ZSTOILJ,O,O,O,O,O,X,O,O,X,X,O,X,O,X,X,X
ZSTOIJL,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
ZSTOLIJ,O,O,O,O,O,O,O,O,X,X,O,X,O,X,X,X
ZSTOLJI,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X
ZSTOJIL,O,O,O,O,O,O,O,O,X,O,O,O,O,X,X,X
ZSTOJLI,O,O,O,O,O,O,O,O,X,O,O,O,O,X,X,X
ZSITLJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSITLOJ,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSITJLO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSITJOL,O,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X
ZSITOLJ,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X
ZSITOJL,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
ZSILTJO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSILTOJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSILJTO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSILJOT,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
